,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2017-12,260.00M,960.00M,1.22B,1.00B,1.427B,222.00M,397.00M,241.00M,,3.395B,698.00M,,19.03B,-5.974B,13.06B,867.00M,74.00M,941.00M,2.835B,,44.00M,,117.00M,19.34B,22.74B,,2017-12,963.00M,120.00M,181.00M,1.368B,645.00M,645.00M,645.00M,,,,1.056B,3.069B,8.195B,8.195B,3.174B,3.174B,785.00M,4.00M,,,357.00M,14.98B,18.05B,,2017-12,4.209B,,,,,,2017-12,AOR,Restated
2017-09,201.00M,1.057B,1.258B,783.00M,996.00M,252.00M,442.00M,175.00M,,2.935B,,,18.58B,-5.881B,12.70B,867.00M,,867.00M,2.844B,,56.00M,,194.00M,19.20B,22.14B,,2017-09,657.00M,,199.00M,939.00M,1.15B,1.15B,1.15B,,,,1.132B,3.221B,7.531B,7.531B,5.458B,5.458B,886.00M,10.00M,,,284.00M,15.30B,18.52B,,2017-09,4.204B,,,,,,2017-09,AOR,Restated
2017-06,248.00M,1.02B,1.268B,762.00M,953.00M,218.00M,410.00M,167.00M,,2.865B,,,18.37B,-5.73B,12.64B,867.00M,,867.00M,2.85B,,46.00M,,207.00M,19.18B,22.04B,,2017-06,631.00M,,153.00M,894.00M,1.114B,1.114B,1.114B,,,,1.03B,3.038B,7.587B,7.587B,5.364B,5.364B,908.00M,4.00M,,,292.00M,15.44B,18.48B,,2017-06,4.20B,,,,,,2017-06,AOR,Restated
2017-03,254.00M,997.00M,1.251B,840.00M,1.081B,138.00M,316.00M,184.00M,,2.896B,,,18.07B,-5.618B,12.45B,867.00M,,867.00M,2.865B,,46.00M,,204.00M,19.04B,21.93B,,2017-03,634.00M,,108.00M,832.00M,787.00M,787.00M,787.00M,,,,1.023B,2.642B,7.892B,7.892B,5.351B,5.351B,916.00M,8.00M,,,287.00M,15.75B,18.39B,,2017-03,4.195B,,,,,,2017-03,AOR,Restated
2016-12,341.00M,953.00M,1.294B,740.00M,1.105B,131.00M,312.00M,161.00M,,2.923B,689.00M,,17.83B,-5.524B,12.31B,862.00M,49.00M,911.00M,2.868B,,19.00M,,124.00M,18.91B,21.83B,,2016-12,657.00M,,172.00M,937.00M,1.06B,1.06B,1.06B,,,,1.083B,3.08B,7.532B,7.532B,5.263B,5.263B,913.00M,5.00M,,,278.00M,15.29B,18.37B,,2016-12,4.195B,,,,,,2016-12,AOR,Restated
2016-09,270.00M,814.00M,1.084B,682.00M,891.00M,160.00M,351.00M,154.00M,,2.529B,,,17.50B,-5.417B,12.08B,862.00M,,862.00M,2.898B,,24.00M,,134.00M,18.76B,21.29B,,2016-09,422.00M,,134.00M,649.00M,815.00M,815.00M,815.00M,,,,934.00M,2.398B,7.736B,7.736B,5.206B,5.206B,909.00M,4.00M,,,282.00M,15.42B,17.81B,,2016-09,4.19B,,,,,,2016-09,AOR,Restated
2016-06,271.00M,737.00M,1.008B,605.00M,799.00M,96.00M,283.00M,135.00M,,2.272B,,,17.22B,-5.32B,11.90B,861.00M,,861.00M,2.899B,0.00,22.00M,,147.00M,18.74B,21.01B,,2016-06,407.00M,,92.00M,618.00M,780.00M,780.00M,780.00M,,,,843.00M,2.241B,7.78B,7.78B,5.121B,5.121B,904.00M,6.00M,,,279.00M,15.37B,17.62B,,2016-06,4.186B,,,,,,2016-06,AOR,Restated
2016-03,218.00M,894.00M,1.112B,577.00M,787.00M,58.00M,234.00M,127.00M,,2.335B,,,16.90B,-5.182B,11.72B,840.00M,,840.00M,2.943B,0.00,28.00M,,109.00M,18.67B,21.00B,,2016-03,378.00M,,101.00M,587.00M,1.124B,1.124B,1.124B,,,,823.00M,2.534B,7.354B,7.354B,5.116B,5.116B,909.00M,3.00M,,,276.00M,14.96B,17.50B,,2016-03,4.18B,,,,,,2016-03,AOR,Restated
2015-12,264.00M,805.00M,1.069B,593.00M,1.044B,168.00M,347.00M,140.00M,,2.689B,660.00M,,16.65B,-5.113B,11.54B,840.00M,,840.00M,2.594B,363.00M,36.00M,,102.00M,18.60B,21.29B,,2015-12,483.00M,,158.00M,758.00M,904.00M,904.00M,904.00M,,,,796.00M,2.458B,7.866B,7.866B,5.047B,5.047B,904.00M,5.00M,,,273.00M,15.37B,17.83B,,2015-12,4.18B,,,,,,2015-12,AOR,Restated
2015-09,227.00M,826.00M,1.053B,568.00M,816.00M,168.00M,342.00M,111.00M,,2.40B,,,16.26B,-5.079B,11.18B,840.00M,,840.00M,3.604B,363.00M,39.00M,,148.00M,19.38B,21.78B,,2015-09,367.00M,,128.00M,613.00M,987.00M,987.00M,987.00M,,741.00M,741.00M,850.00M,3.191B,7.662B,7.662B,4.445B,4.445B,889.00M,5.00M,,,259.00M,14.53B,17.72B,,2015-09,4.176B,,,,,,2015-09,AOR,Restated
2015-06,245.00M,960.00M,1.205B,640.00M,861.00M,96.00M,274.00M,105.00M,,2.509B,,,15.97B,-5.056B,10.91B,840.00M,,840.00M,4.471B,363.00M,33.00M,,151.00M,20.09B,22.60B,,2015-06,367.00M,,90.00M,618.00M,951.00M,951.00M,951.00M,,581.00M,581.00M,975.00M,3.125B,7.614B,7.614B,4.863B,4.863B,925.00M,6.00M,,,250.00M,14.93B,18.05B,,2015-06,4.172B,,,,,,2015-06,AOR,Restated
2015-03,234.00M,913.00M,1.147B,897.00M,1.132B,37.00M,198.00M,132.00M,,2.691B,,,15.63B,-4.963B,10.67B,840.00M,,840.00M,4.501B,363.00M,35.00M,,144.00M,19.98B,22.67B,,2015-03,476.00M,,142.00M,734.00M,805.00M,805.00M,805.00M,,728.00M,728.00M,920.00M,3.187B,7.767B,7.767B,4.716B,4.716B,928.00M,2.00M,,,253.00M,14.91B,18.10B,,2015-03,4.168B,,,,,,2015-03,AOR,Restated
2014-12,298.00M,930.00M,1.228B,837.00M,1.384B,211.00M,379.00M,178.00M,,3.268B,646.00M,,15.36B,-4.856B,10.50B,840.00M,,840.00M,4.521B,363.00M,32.00M,,147.00M,19.93B,23.20B,,2014-12,716.00M,,161.00M,1.001B,848.00M,848.00M,848.00M,,,,943.00M,2.792B,8.009B,8.009B,5.44B,5.44B,953.00M,1.00M,,,251.00M,15.86B,18.65B,,2014-12,4.169B,,,,,,2014-12,AOR,Restated
2014-09,230.00M,840.00M,1.07B,712.00M,886.00M,253.00M,409.00M,177.00M,,2.576B,,,14.98B,-4.77B,10.20B,840.00M,,840.00M,4.525B,363.00M,17.00M,,150.00M,19.47B,22.05B,,2014-09,441.00M,,139.00M,690.00M,802.00M,802.00M,802.00M,,649.00M,649.00M,867.00M,3.008B,7.797B,7.797B,4.606B,4.606B,718.00M,2.00M,,,207.00M,14.57B,17.58B,,2014-09,4.167B,,,,,,2014-09,AOR,Restated
2014-06,206.00M,809.00M,1.015B,834.00M,1.02B,140.00M,295.00M,173.00M,,2.529B,,,14.67B,-4.695B,9.979B,840.00M,,840.00M,4.517B,363.00M,12.00M,,161.00M,19.39B,21.92B,,2014-06,519.00M,,129.00M,783.00M,752.00M,752.00M,752.00M,,662.00M,662.00M,829.00M,3.026B,7.755B,7.755B,4.508B,4.508B,773.00M,2.00M,,,206.00M,14.47B,17.50B,,2014-06,4.162B,,,,,,2014-06,AOR,Restated
2014-03,379.00M,737.00M,1.116B,1.142B,1.485B,26.00M,172.00M,158.00M,,2.955B,,,14.37B,-4.605B,9.763B,840.00M,,840.00M,4.54B,363.00M,9.00M,,159.00M,19.31B,22.26B,,2014-03,802.00M,,220.00M,1.129B,507.00M,507.00M,507.00M,,629.00M,629.00M,794.00M,3.059B,8.056B,8.056B,4.528B,4.528B,802.00M,2.00M,,,203.00M,14.79B,17.85B,,2014-03,4.158B,,,,,,2014-03,AOR,Restated
2013-12,208.00M,767.00M,975.00M,851.00M,1.249B,145.00M,285.00M,125.00M,,2.658B,621.00M,,14.14B,-4.545B,9.593B,840.00M,,840.00M,4.518B,363.00M,10.00M,,162.00M,19.21B,21.87B,,2013-12,689.00M,,184.00M,997.00M,540.00M,540.00M,540.00M,,608.00M,608.00M,874.00M,3.019B,7.817B,7.817B,4.542B,4.542B,802.00M,4.00M,,,205.00M,14.52B,17.54B,,2013-12,4.157B,,,,,,2013-12,AOR,Restated
2013-09,219.00M,689.00M,908.00M,617.00M,899.00M,237.00M,374.00M,112.00M,,2.319B,,,13.91B,-4.523B,9.386B,840.00M,,840.00M,4.525B,363.00M,10.00M,,140.00M,19.26B,21.58B,,2013-09,364.00M,,130.00M,616.00M,623.00M,623.00M,623.00M,,625.00M,625.00M,731.00M,2.595B,7.758B,7.758B,4.504B,4.504B,1.052B,1.00M,,,251.00M,14.72B,17.31B,,2013-09,4.151B,,,,,,2013-09,AOR,Restated
2013-06,497.00M,635.00M,1.132B,694.00M,929.00M,139.00M,276.00M,116.00M,,2.48B,,,13.62B,-4.439B,9.184B,840.00M,,840.00M,4.485B,363.00M,7.00M,,187.00M,19.18B,21.66B,,2013-06,404.00M,,95.00M,658.00M,685.00M,685.00M,685.00M,,622.00M,622.00M,710.00M,2.675B,7.919B,7.919B,4.408B,4.408B,1.102B,1.00M,,,232.00M,14.79B,17.47B,,2013-06,4.146B,,,,,,2013-06,AOR,Restated
2013-03,245.00M,614.00M,859.00M,860.00M,1.146B,22.00M,203.00M,137.00M,,2.363B,,,18.60B,-4.89B,13.71B,1.468B,,1.468B,400.00M,,5.00M,,197.00M,20.01B,22.37B,,2013-03,510.00M,,123.00M,761.00M,1.08B,1.08B,1.08B,,609.00M,609.00M,676.00M,3.126B,8.13B,8.13B,4.211B,4.211B,1.137B,2.00M,,,258.00M,14.87B,18.00B,,2013-03,4.139B,,,,,,2013-03,AOR,Restated
2012-12,646.00M,540.00M,1.186B,768.00M,1.114B,145.00M,322.00M,216.00M,,2.874B,610.00M,,18.38B,-4.78B,13.60B,1.468B,,1.468B,405.00M,0.00,6.00M,,197.00M,20.00B,22.87B,,2012-12,561.00M,,160.00M,871.00M,1.438B,1.438B,1.438B,,604.00M,604.00M,662.00M,3.575B,8.357B,8.357B,4.153B,4.153B,1.143B,2.00M,,,247.00M,15.00B,18.57B,,2012-12,4.13B,,,,,,2012-12,AOR,Restated
2012-09,722.00M,522.00M,1.244B,698.00M,870.00M,,352.00M,245.00M,,2.752B,,,18.01B,-4.673B,13.34B,1.468B,,1.468B,408.00M,,10.00M,,183.00M,19.72B,22.48B,,2012-09,371.00M,,171.00M,672.00M,1.455B,1.455B,1.455B,,617.00M,597.00M,620.00M,3.364B,8.415B,8.415B,4.07B,4.07B,994.00M,6.00M,,,276.00M,14.86B,18.22B,,2012-09,4.123B,,,,,,2012-09,AOR,Restated
2012-06,1.123B,445.00M,1.568B,643.00M,798.00M,,269.00M,253.00M,,2.955B,,,17.35B,-4.611B,12.74B,1.696B,,1.696B,476.00M,,22.00M,,4.587B,19.52B,22.48B,,2012-06,331.00M,,132.00M,644.00M,,1.639B,1.639B,,596.00M,569.00M,327.00M,3.206B,8.583B,8.583B,3.974B,3.974B,1.02B,14.00M,,,1.346B,14.94B,18.14B,,2012-06,4.125B,,,,,,2012-06,AOR,Restated
2012-03,1.096B,432.00M,1.528B,713.00M,881.00M,,255.00M,220.00M,,2.968B,,,17.07B,-4.561B,12.51B,1.696B,,1.696B,474.00M,,18.00M,,159.00M,19.38B,22.35B,,2012-03,366.00M,,164.00M,656.00M,1.018B,1.018B,1.018B,,550.00M,532.00M,511.00M,2.735B,9.005B,9.005B,3.944B,3.944B,1.066B,5.00M,,,239.00M,15.33B,18.06B,,2012-03,4.122B,,,,,,2012-03,AOR,Restated
2011-12,220.00M,386.00M,606.00M,773.00M,1.099B,187.00M,353.00M,192.00M,,2.337B,577.00M,,16.87B,-4.466B,12.40B,1.696B,,1.696B,472.00M,,20.00M,,157.00M,19.37B,21.70B,,2011-12,560.00M,,207.00M,931.00M,546.00M,546.00M,546.00M,,507.00M,507.00M,609.00M,2.593B,8.641B,8.641B,3.832B,3.832B,1.065B,6.00M,,,305.00M,14.89B,17.48B,,2011-12,4.12B,,,,,,2011-12,AOR,Restated
2011-09,103.00M,337.00M,440.00M,722.00M,882.00M,,418.00M,190.00M,,1.982B,,,16.59B,-4.433B,12.16B,1.696B,,1.696B,474.00M,,12.00M,,154.00M,18.97B,20.95B,,2011-09,417.00M,,184.00M,719.00M,567.00M,567.00M,567.00M,,547.00M,494.00M,486.00M,2.319B,8.497B,8.497B,3.814B,3.814B,842.00M,3.00M,,,236.00M,14.42B,16.74B,,2011-09,4.114B,,,,,,2011-09,AOR,Restated
2011-06,190.00M,417.00M,607.00M,750.00M,906.00M,,309.00M,181.00M,,2.042B,,,16.43B,-4.445B,11.98B,1.696B,,1.696B,474.00M,,11.00M,,158.00M,17.64B,19.68B,,2011-06,394.00M,,139.00M,707.00M,577.00M,577.00M,577.00M,,500.00M,454.00M,577.00M,2.361B,8.51B,8.51B,3.148B,3.148B,903.00M,4.00M,,,407.00M,14.00B,16.36B,,2011-06,4.111B,,,,,,2011-06,AOR,Restated
2011-03,95.00M,399.00M,494.00M,852.00M,1.088B,,194.00M,199.00M,,2.014B,,,16.24B,-4.378B,11.86B,1.696B,,1.696B,474.00M,,11.00M,,157.00M,17.58B,19.59B,,2011-03,449.00M,,140.00M,717.00M,421.00M,421.00M,421.00M,,458.00M,408.00M,605.00M,2.201B,8.732B,8.732B,2.998B,2.998B,905.00M,4.00M,,,473.00M,14.13B,16.33B,,2011-03,4.102B,,,,,,2011-03,AOR,Restated
2010-12,199.00M,367.00M,566.00M,835.00M,1.313B,,375.00M,274.00M,,2.582B,4.706B,,16.00B,-4.273B,11.73B,1.696B,,1.696B,468.00M,,15.00M,,172.00M,17.53B,20.11B,,2010-12,667.00M,,156.00M,994.00M,481.00M,481.00M,481.00M,,475.00M,407.00M,670.00M,2.62B,9.001B,9.001B,2.934B,2.934B,906.00M,16.00M,,,447.00M,14.29B,16.91B,,2010-12,4.10B,,,,,,2010-12,AOR,Restated
2010-06,583.00M,362.00M,945.00M,716.00M,885.00M,,303.00M,219.00M,,2.352B,,,15.38B,-4.165B,11.22B,1.696B,,1.696B,479.00M,,17.00M,,3.76B,17.17B,19.52B,,2010-06,418.00M,,130.00M,741.00M,,1.395B,1.395B,,446.00M,383.00M,450.00M,3.032B,8.41B,8.41B,2.786B,2.786B,861.00M,30.00M,,,1.341B,13.43B,16.46B,,2010-06,4.047B,,,,,,2010-06,AOR,Restated
2010-03,329.00M,398.00M,727.00M,933.00M,1.229B,,166.00M,262.00M,,2.384B,,,15.00B,-4.073B,10.93B,1.696B,,1.696B,478.00M,,18.00M,,3.847B,16.97B,19.35B,,2010-03,522.00M,,226.00M,896.00M,,1.174B,1.174B,,354.00M,354.00M,778.00M,3.202B,8.41B,8.41B,2.814B,2.814B,,32.00M,,,2.184B,13.44B,16.64B,,2010-03,3.701B,,,,,,2010-03,AOR,Restated
2009-12,740.00M,300.00M,1.04B,790.00M,1.275B,,327.00M,223.00M,,2.904B,3.94B,,14.77B,-3.982B,10.79B,1.696B,,1.696B,463.00M,,15.00M,,230.00M,16.87B,19.77B,,2009-12,648.00M,,148.00M,977.00M,958.00M,958.00M,958.00M,,457.00M,406.00M,646.00M,3.038B,9.119B,9.119B,2.792B,2.792B,861.00M,42.00M,,,361.00M,14.10B,17.13B,,2009-12,3.671B,,,,,,2009-12,AOR,Restated
2009-09,61.00M,336.00M,397.00M,609.00M,878.00M,,373.00M,347.00M,,1.995B,,,14.46B,-3.915B,10.55B,1.696B,,1.696B,471.00M,0.00,15.00M,,3.928B,16.66B,18.65B,,2009-09,351.00M,,138.00M,628.00M,,600.00M,600.00M,,425.00M,425.00M,659.00M,2.312B,8.827B,8.827B,2.775B,2.775B,,42.00M,,,2.109B,13.75B,16.06B,,2009-09,3.65B,,,,,,2009-09,AOR,Restated
2009-06,151.00M,322.00M,473.00M,689.00M,869.00M,,231.00M,355.00M,,1.928B,,,14.33B,-3.803B,10.52B,1.696B,,1.696B,352.00M,323.00M,16.00M,,3.878B,16.79B,18.72B,,2009-06,363.00M,,109.00M,663.00M,,419.00M,419.00M,,395.00M,395.00M,617.00M,2.094B,9.631B,9.631B,2.627B,2.627B,,50.00M,,,2.078B,14.39B,16.48B,,2009-06,3.346B,,,,,,2009-06,AOR,Restated
2009-03,65.00M,303.00M,368.00M,903.00M,1.19B,,147.00M,369.00M,,2.074B,,,14.11B,-3.709B,10.40B,1.696B,,1.696B,343.00M,323.00M,23.00M,,3.951B,16.74B,18.81B,,2009-03,436.00M,,123.00M,712.00M,,559.00M,559.00M,,392.00M,392.00M,532.00M,2.195B,9.875B,9.875B,2.608B,2.608B,,47.00M,,,2.016B,14.55B,16.74B,,2009-03,3.187B,,,,,,2009-03,AOR,Restated
2008-12,167.00M,336.00M,503.00M,1.009B,1.55B,,569.00M,413.00M,,3.035B,,,14.01B,-3.71B,10.30B,1.696B,,1.696B,345.00M,323.00M,20.00M,,3.961B,16.64B,19.68B,,2008-12,897.00M,,189.00M,1.266B,,486.00M,486.00M,,372.00M,372.00M,724.00M,2.848B,10.18B,10.18B,2.632B,2.632B,849.00M,47.00M,,,,13.71B,17.65B,,2008-12,3.158B,,,,,,2008-12,,Restated
2008-09,84.00M,,84.00M,784.00M,1.027B,,718.00M,,1.008B,2.837B,,,13.77B,-3.617B,10.15B,,,1.696B,,,,,4.35B,16.20B,19.03B,,2008-09,1.13B,,,2.391B,,481.00M,481.00M,,,,,2.872B,9.797B,9.797B,2.713B,26.00M,,,,,,9.823B,16.97B,,2008-09,3.099B,,,,,,2008-09,,Restated
2008-06,150.00M,,150.00M,991.00M,1.272B,,425.00M,,751.00M,2.598B,,,13.50B,-3.592B,9.908B,,,1.696B,,,,,3.874B,15.48B,18.08B,,2008-06,728.00M,,,2.076B,,737.00M,737.00M,,,,,2.813B,9.354B,9.354B,2.255B,28.00M,,,,,,9.382B,16.11B,,2008-06,3.078B,,,,,,2008-06,,Restated
2008-03,70.00M,,70.00M,1.097B,1.552B,,163.00M,,566.00M,2.351B,,,13.33B,-3.53B,9.802B,,,1.696B,,,,,3.686B,15.18B,17.54B,,2008-03,779.00M,,,2.174B,,1.11B,1.11B,,,,,3.284B,8.546B,8.546B,2.258B,29.00M,,,,,,8.575B,15.66B,,2008-03,3.041B,,,,,,2008-03,,Restated
2007-12,129.00M,,129.00M,910.00M,1.468B,,490.00M,,701.00M,2.788B,,,13.25B,-3.51B,9.74B,,,1.696B,,,,,3.648B,15.08B,17.87B,,2007-12,726.00M,,,2.244B,,1.547B,1.547B,,,,,3.791B,8.364B,8.364B,2.266B,31.00M,,,,,,8.395B,16.06B,,2007-12,3.023B,,,,,,2007-12,,
2007-09,54.00M,,54.00M,695.00M,928.00M,,548.00M,,820.00M,2.35B,,,13.05B,-3.417B,9.629B,,,1.705B,,,,,3.619B,14.95B,17.30B,,2007-09,455.00M,,,1.579B,,1.806B,1.806B,,,,,3.385B,8.191B,8.191B,2.295B,33.00M,,,,,,8.224B,15.57B,,2007-09,3.025B,,,,,,2007-09,,
2007-06,112.00M,,112.00M,828.00M,1.064B,,381.00M,,840.00M,2.397B,,,12.93B,-3.378B,9.549B,,,1.709B,,,,,3.62B,14.88B,17.28B,,2007-06,619.00M,,,2.09B,,1.371B,1.371B,,,,,3.461B,8.171B,8.171B,2.295B,35.00M,,,,,,8.206B,15.59B,,2007-06,3.022B,,,,,,2007-06,,
2007-03,60.00M,,60.00M,1.116B,1.452B,,182.00M,,739.00M,2.433B,,,12.82B,-3.398B,9.424B,,,1.709B,,,,,3.64B,14.77B,17.21B,,2007-03,724.00M,,,2.284B,,1.482B,1.482B,,,,,3.766B,7.818B,7.818B,2.271B,37.00M,,,,,,7.855B,15.56B,,2007-03,3.01B,,,,,,2007-03,,
