,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,165.00M,18.00M,-9.00M,,9.00M,314.00M,0.00,314.00M,314.00M,-17.00M,,1.00M,-1.00M,-54.00M,39.00M,139.00M,-241.00M,-15.00M,1.00M,144.00M,67.00M,484.00M,,2018-03,-362.00M,,,0.00,16.00M,1.00M,,2018-03,-5.00M,-39.00M,-44.00M,,,,0.00,,0.00,-136.00M,-136.00M,-12.00M,-192.00M,,296.00M,-39.00M,,257.00M,,2018-03,0.00,-1.002B,,,,,2018-03,AOR,Restated
2017-12,1.296B,-108.00M,-66.00M,,-174.00M,,,287.00M,287.00M,-955.00M,,0.00,97.00M,5.00M,-432.00M,45.00M,276.00M,-21.00M,15.00M,-57.00M,-174.00M,389.00M,,2017-12,-432.00M,,,0.00,0.00,-2.00M,,2017-12,158.00M,-9.00M,149.00M,,,,0.00,,0.00,-115.00M,-115.00M,0.00,34.00M,,233.00M,63.00M,,296.00M,,2017-12,0.00,-191.00M,,,,,2017-12,AOR,Restated
2017-09,169.00M,36.00M,-68.00M,,-32.00M,,,269.00M,269.00M,90.00M,,0.00,-37.00M,-24.00M,-18.00M,-32.00M,40.00M,8.00M,48.00M,-130.00M,-84.00M,351.00M,,2017-09,-345.00M,,,0.00,0.00,14.00M,,2017-09,-42.00M,24.00M,-18.00M,,,,0.00,,0.00,-116.00M,-116.00M,-7.00M,-141.00M,,280.00M,-47.00M,,233.00M,,2017-09,0.00,-556.00M,,,,,2017-09,AOR,Restated
2017-06,135.00M,13.00M,-59.00M,,-46.00M,,,254.00M,254.00M,10.00M,,0.00,-23.00M,2.00M,134.00M,-94.00M,29.00M,15.00M,-2.00M,-54.00M,28.00M,360.00M,,2017-06,-337.00M,,,0.00,0.00,-6.00M,,2017-06,-7.00M,24.00M,17.00M,,,,,,,-115.00M,-115.00M,-4.00M,-102.00M,,290.00M,-10.00M,,280.00M,,2017-06,,-64.00M,,,,,2017-06,AOR,Restated
2017-03,192.00M,10.00M,-72.00M,,-62.00M,,,226.00M,226.00M,85.00M,,,-44.00M,10.00M,130.00M,74.00M,-204.00M,-5.00M,-27.00M,-58.00M,-90.00M,317.00M,,2017-03,-312.00M,,,-132.00M,,-2.00M,,2017-03,120.00M,-35.00M,85.00M,,,,,,,-115.00M,-115.00M,-6.00M,-36.00M,,381.00M,-91.00M,,290.00M,,2017-03,,-405.00M,,,,,2017-03,AOR,Restated
2016-12,101.00M,155.00M,-44.00M,,111.00M,,,253.00M,253.00M,63.00M,,0.00,-139.00M,34.00M,-210.00M,39.00M,276.00M,-16.00M,-9.00M,-35.00M,45.00M,468.00M,,2016-12,-367.00M,,,0.00,0.00,-2.00M,,2016-12,21.00M,-8.00M,13.00M,,,,,,,-111.00M,-111.00M,0.00,-98.00M,,270.00M,75.00M,,381.00M,,2016-12,,-385.00M,,105.00M,-324.00M,,2016-12,AOR,Restated
2016-09,179.00M,72.00M,-73.00M,,-1.00M,,,324.00M,324.00M,81.00M,,0.00,-77.00M,10.00M,-68.00M,-68.00M,35.00M,-13.00M,10.00M,-18.00M,-122.00M,394.00M,,2016-09,-365.00M,,,-4.00M,0.00,23.00M,,2016-09,-35.00M,26.00M,-9.00M,,,,,,,-111.00M,-111.00M,-3.00M,-123.00M,,271.00M,-1.00M,,270.00M,,2016-09,,-120.00M,,21.00M,124.00M,,2016-09,AOR,Restated
2016-06,-2.00M,130.00M,-31.00M,,99.00M,,,289.00M,289.00M,4.00M,,0.00,-20.00M,12.00M,67.00M,-49.00M,-25.00M,2.00M,23.00M,24.00M,42.00M,424.00M,,2016-06,-350.00M,,,-98.00M,178.00M,-3.00M,,2016-06,101.00M,17.00M,118.00M,,,,,,,-289.00M,-289.00M,-2.00M,-173.00M,,218.00M,53.00M,,271.00M,,2016-06,,-477.00M,,32.00M,87.00M,,2016-06,AOR,Restated
2016-03,154.00M,56.00M,-60.00M,,-4.00M,,,260.00M,260.00M,65.00M,,1.00M,-90.00M,9.00M,236.00M,112.00M,-148.00M,2.00M,-2.00M,42.00M,242.00M,637.00M,,2016-03,-332.00M,,,0.00,,-11.00M,,2016-03,-258.00M,-40.00M,-298.00M,,,,,,,-110.00M,-110.00M,-6.00M,-414.00M,,264.00M,-46.00M,,218.00M,,2016-03,,-258.00M,,-158.00M,113.00M,,2016-03,AOR,Restated
2015-12,-509.00M,-12.00M,936.00M,,924.00M,,,246.00M,246.00M,-149.00M,,0.00,21.00M,15.00M,-209.00M,-5.00M,137.00M,-12.00M,-14.00M,-93.00M,-196.00M,352.00M,,2015-12,-453.00M,,,,0.00,16.00M,,2015-12,170.00M,-9.00M,161.00M,,,,,,,-107.00M,-107.00M,-6.00M,48.00M,,227.00M,37.00M,,264.00M,,2015-12,,-131.00M,,-57.00M,103.00M,,2015-12,AOR,Restated
2015-09,-391.00M,-129.00M,793.00M,,664.00M,,,268.00M,268.00M,-268.00M,,2.00M,134.00M,-22.00M,53.00M,-70.00M,22.00M,-1.00M,2.00M,3.00M,9.00M,396.00M,,2015-09,-419.00M,,,,0.00,-8.00M,,2015-09,52.00M,25.00M,77.00M,,,,,,,-138.00M,-138.00M,0.00,-61.00M,,245.00M,-18.00M,,227.00M,,2015-09,,-113.00M,,50.00M,114.00M,,2015-09,AOR,Restated
2015-06,77.00M,91.00M,30.00M,,121.00M,,,239.00M,239.00M,-3.00M,,0.00,-79.00M,12.00M,272.00M,-76.00M,-158.00M,6.00M,3.00M,42.00M,89.00M,456.00M,,2015-06,-371.00M,,,0.00,32.00M,5.00M,,2015-06,-28.00M,24.00M,-4.00M,,,,,,,-107.00M,-107.00M,0.00,-111.00M,,234.00M,11.00M,,245.00M,,2015-06,,-165.00M,,128.00M,94.00M,,2015-06,AOR,Restated
2015-03,131.00M,-24.00M,20.00M,,-4.00M,,,217.00M,217.00M,7.00M,,2.00M,17.00M,-17.00M,247.00M,179.00M,-235.00M,17.00M,-41.00M,146.00M,313.00M,666.00M,,2015-03,-341.00M,,,,,4.00M,,2015-03,-235.00M,-53.00M,-288.00M,,,,,,,-106.00M,-106.00M,1.00M,-393.00M,,298.00M,-64.00M,,234.00M,,2015-03,,-235.00M,,-166.00M,115.00M,,2015-03,AOR,Restated
2014-12,176.00M,57.00M,4.00M,,61.00M,,,229.00M,229.00M,186.00M,,6.00M,-90.00M,5.00M,-499.00M,24.00M,270.00M,-22.00M,0.00,-73.00M,-300.00M,273.00M,,2014-12,-374.00M,,,-1.00M,0.00,17.00M,,2014-12,282.00M,-27.00M,255.00M,,,,,,,-102.00M,-102.00M,0.00,153.00M,,230.00M,68.00M,,298.00M,,2014-12,,-60.00M,,35.00M,96.00M,,2014-12,AOR,Restated
2014-09,143.00M,22.00M,-8.00M,,14.00M,,,293.00M,293.00M,81.00M,,2.00M,-31.00M,-40.00M,137.00M,-116.00M,-78.00M,6.00M,30.00M,-29.00M,-50.00M,412.00M,,2014-09,-373.00M,,,1.00M,0.00,5.00M,,2014-09,45.00M,38.00M,83.00M,,,,,,,-102.00M,-102.00M,-2.00M,-21.00M,,206.00M,24.00M,,230.00M,,2014-09,,-27.00M,,17.00M,135.00M,,2014-09,AOR,Restated
2014-06,107.00M,50.00M,24.00M,,74.00M,,,256.00M,256.00M,9.00M,,0.00,-72.00M,-17.00M,464.00M,-123.00M,-365.00M,-3.00M,5.00M,-3.00M,-25.00M,332.00M,,2014-06,-324.00M,,,-1.00M,0.00,-18.00M,,2014-06,-101.00M,42.00M,-59.00M,-1.00M,,-1.00M,,,,-102.00M,-102.00M,,-162.00M,,379.00M,-173.00M,,206.00M,,2014-06,-1.00M,-101.00M,,141.00M,81.00M,,2014-06,AOR,Restated
2014-03,185.00M,-43.00M,-22.00M,,-65.00M,,,235.00M,235.00M,4.00M,,0.00,30.00M,-4.00M,-253.00M,113.00M,147.00M,20.00M,-55.00M,23.00M,-5.00M,380.00M,,2014-03,-301.00M,,,,,-15.00M,,2014-03,251.00M,-43.00M,208.00M,1.00M,,1.00M,,,,-102.00M,-102.00M,,107.00M,,208.00M,171.00M,,379.00M,,2014-03,1.00M,-349.00M,,-1.00M,122.00M,,2014-03,AOR,Restated
2013-12,113.00M,73.00M,7.00M,,80.00M,,,213.00M,213.00M,0.00,,0.00,-78.00M,16.00M,-369.00M,89.00M,410.00M,-23.00M,61.00M,-31.00M,137.00M,481.00M,,2013-12,-374.00M,,,,0.00,0.00,,2013-12,-7.00M,-27.00M,-34.00M,4.00M,,4.00M,,,,-88.00M,-88.00M,0.00,-118.00M,,219.00M,-11.00M,,208.00M,,2013-12,4.00M,-125.00M,,-42.00M,81.00M,,2013-12,AOR,Restated
2013-09,151.00M,42.00M,-40.00M,,2.00M,,,248.00M,248.00M,99.00M,,1.00M,-54.00M,-37.00M,75.00M,-99.00M,-46.00M,2.00M,-23.00M,23.00M,-68.00M,342.00M,,2013-09,-326.00M,,,,0.00,25.00M,,2013-09,-260.00M,33.00M,-227.00M,,,,,,,-89.00M,-89.00M,-3.00M,-319.00M,,497.00M,-278.00M,,219.00M,,2013-09,,-260.00M,,10.00M,147.00M,,2013-09,AOR,Restated
2013-06,-100.00M,27.00M,-29.00M,,-2.00M,,,253.00M,253.00M,200.00M,,3.00M,-30.00M,-28.00M,114.00M,-131.00M,-62.00M,11.00M,15.00M,14.00M,-39.00M,257.00M,,2013-06,-315.00M,,,0.00,9.00M,-45.00M,,2013-06,406.00M,37.00M,443.00M,-1.00M,,-1.00M,,,,-89.00M,-89.00M,-7.00M,346.00M,,245.00M,252.00M,,497.00M,,2013-06,-1.00M,-583.00M,,70.00M,100.00M,,2013-06,AOR,Restated
2013-03,147.00M,51.00M,4.00M,,55.00M,,,240.00M,240.00M,57.00M,,,-74.00M,12.00M,-69.00M,119.00M,-109.00M,8.00M,-32.00M,179.00M,96.00M,533.00M,,2013-03,-271.00M,,,,,-3.00M,,2013-03,-551.00M,-38.00M,-589.00M,1.00M,,1.00M,,,,-89.00M,-89.00M,17.00M,-660.00M,,646.00M,-401.00M,,245.00M,,2013-03,1.00M,-612.00M,,-3.00M,147.00M,,2013-03,AOR,Restated
2012-12,134.00M,-5.00M,14.00M,,9.00M,,,250.00M,250.00M,91.00M,,0.00,-18.00M,14.00M,-252.00M,30.00M,189.00M,0.00,41.00M,-7.00M,1.00M,481.00M,,2012-12,-394.00M,,,-5.00M,0.00,11.00M,,2012-12,-62.00M,-15.00M,-77.00M,1.00M,,1.00M,,,,-87.00M,-87.00M,0.00,-163.00M,,722.00M,-76.00M,,646.00M,,2012-12,1.00M,-62.00M,,0.00,110.00M,,2012-12,AOR,Restated
2012-09,10.00M,52.00M,-6.00M,,46.00M,,,301.00M,301.00M,109.00M,,252.00M,-77.00M,-161.00M,-38.00M,-83.00M,25.00M,9.00M,6.00M,53.00M,-28.00M,452.00M,,2012-09,-294.00M,,,-267.00M,0.00,3.00M,,2012-09,-225.00M,23.00M,-202.00M,1.00M,,1.00M,,,,-86.00M,-86.00M,-14.00M,-301.00M,,1.123B,-401.00M,,722.00M,,2012-09,1.00M,-1.025B,,7.00M,187.00M,,2012-09,AOR,Restated
2012-06,126.00M,-9.00M,-2.00M,,-11.00M,,,275.00M,275.00M,64.00M,,0.00,-13.00M,-34.00M,100.00M,-14.00M,-23.00M,-14.00M,28.00M,19.00M,96.00M,503.00M,,2012-06,-260.00M,,,-89.00M,0.00,-16.00M,,2012-06,-46.00M,21.00M,-25.00M,0.00,,0.00,,,,-86.00M,-86.00M,0.00,-111.00M,,1.096B,27.00M,,1.123B,,2012-06,0.00,-46.00M,,47.00M,81.00M,,2012-06,AOR,Restated
2012-03,147.00M,33.00M,2.00M,,35.00M,,,224.00M,224.00M,64.00M,,4.00M,-46.00M,12.00M,193.00M,94.00M,-259.00M,-7.00M,-57.00M,20.00M,-16.00M,424.00M,,2012-03,-264.00M,,,-4.00M,,-24.00M,,2012-03,884.00M,-53.00M,831.00M,2.00M,,2.00M,,,,-87.00M,-87.00M,-2.00M,744.00M,,220.00M,876.00M,,1.096B,,2012-03,2.00M,-811.00M,,-8.00M,178.00M,,2012-03,AOR,Restated
2011-12,704.00M,,5.00M,72.00M,42.00M,,,209.00M,209.00M,39.00M,-22.00M,4.00M,16.00M,-623.00M,-205.00M,61.00M,203.00M,-2.00M,41.00M,-28.00M,70.00M,439.00M,,2011-12,-343.00M,,,-12.00M,9.00M,-12.00M,,2011-12,44.00M,-22.00M,22.00M,6.00M,,1.00M,,,,-85.00M,-85.00M,98.00M,36.00M,,103.00M,117.00M,,220.00M,,2011-12,6.00M,-58.00M,,-205.00M,565.00M,,2011-12,AOR,Restated
2011-09,386.00M,,2.00M,-67.00M,-65.00M,,,253.00M,253.00M,195.00M,7.00M,7.00M,-58.00M,-287.00M,28.00M,-116.00M,-6.00M,-16.00M,5.00M,-21.00M,-126.00M,312.00M,,2011-09,-327.00M,,,-77.00M,-2.00M,130.00M,,2011-09,-30.00M,45.00M,15.00M,-4.00M,,1.00M,,,,-84.00M,-84.00M,-55.00M,-123.00M,,190.00M,-87.00M,,103.00M,,2011-09,-4.00M,-129.00M,,-206.00M,-276.00M,,2011-09,AOR,Restated
2011-06,119.00M,,4.00M,-5.00M,-1.00M,,,223.00M,223.00M,129.00M,8.00M,,32.00M,-51.00M,173.00M,-115.00M,-7.00M,7.00M,4.00M,-11.00M,51.00M,510.00M,,2011-06,-300.00M,,,77.00M,-4.00M,-37.00M,,2011-06,-113.00M,39.00M,-74.00M,4.00M,,2.00M,,,,-84.00M,-84.00M,5.00M,-151.00M,,95.00M,95.00M,,190.00M,,2011-06,4.00M,-14.00M,,46.00M,90.00M,,2011-06,AOR,Restated
2011-03,148.00M,,-3.00M,,-3.00M,,,201.00M,201.00M,80.00M,7.00M,0.00,-9.00M,1.00M,182.00M,181.00M,-227.00M,23.00M,-32.00M,75.00M,202.00M,627.00M,,2011-03,-333.00M,,,,-3.00M,28.00M,,2011-03,-216.00M,-53.00M,-269.00M,,,2.00M,,,,-84.00M,-84.00M,-72.00M,-423.00M,,199.00M,-104.00M,,95.00M,,2011-03,,-766.00M,,160.00M,186.00M,,2011-03,AOR,Restated
2010-12,124.00M,31.00M,9.00M,,40.00M,,,204.00M,204.00M,87.00M,-21.00M,0.00,-32.00M,4.00M,-358.00M,29.00M,303.00M,-19.00M,37.00M,5.00M,-3.00M,403.00M,,2010-12,-456.00M,,,,21.00M,47.00M,,2010-12,183.00M,-20.00M,163.00M,,,24.00M,,,,-83.00M,-83.00M,-1.00M,103.00M,,99.00M,100.00M,,199.00M,,2010-12,,0.00,,-3.00M,104.00M,,2010-12,AOR,Restated
2010-09,123.00M,-6.00M,4.00M,,-2.00M,,,243.00M,243.00M,149.00M,7.00M,6.00M,-14.00M,5.00M,-34.00M,-107.00M,-117.00M,-4.00M,-6.00M,-84.00M,-352.00M,165.00M,,2010-09,-326.00M,,,,1.00M,30.00M,,2010-09,-335.00M,41.00M,-294.00M,,,22.00M,,,,-82.00M,-82.00M,0.00,-354.00M,,583.00M,-484.00M,,99.00M,,2010-09,,-335.00M,,66.00M,213.00M,,2010-09,AOR,
2010-06,81.00M,1.00M,,,1.00M,,,217.00M,217.00M,-3.00M,7.00M,,-10.00M,6.00M,357.00M,-137.00M,-141.00M,11.00M,-16.00M,10.00M,84.00M,383.00M,,2010-06,-469.00M,,,,-2.00M,55.00M,,2010-06,-7.00M,30.00M,23.00M,,,341.00M,,,,-77.00M,-77.00M,0.00,287.00M,,329.00M,254.00M,,583.00M,,2010-06,,-7.00M,,136.00M,101.00M,,2010-06,AOR,Restated
2010-03,114.00M,5.00M,,,5.00M,,,200.00M,200.00M,-34.00M,7.00M,,-11.00M,2.00M,-2.00M,161.00M,-81.00M,10.00M,-16.00M,80.00M,152.00M,435.00M,,2010-03,-258.00M,,,,-20.00M,-25.00M,,2010-03,-441.00M,-53.00M,-494.00M,,,29.00M,,,,-77.00M,-77.00M,-1.00M,-543.00M,,740.00M,-411.00M,,329.00M,,2010-03,,-441.00M,,8.00M,191.00M,,2010-03,AOR,Restated
2009-12,105.00M,,1.00M,,1.00M,,,181.00M,181.00M,19.00M,8.00M,,-68.00M,70.00M,-405.00M,46.00M,342.00M,28.00M,24.00M,47.00M,82.00M,404.00M,,2009-12,-351.00M,,,,-4.00M,41.00M,,2009-12,647.00M,5.00M,652.00M,-489.00M,,15.00M,,,,-74.00M,-74.00M,-4.00M,589.00M,,61.00M,679.00M,,740.00M,,2009-12,-489.00M,2.00M,,-48.00M,117.00M,,2009-12,AOR,Restated
2009-09,114.00M,,4.00M,,4.00M,-354.00M,-20.00M,188.00M,188.00M,172.00M,29.00M,,30.00M,-39.00M,47.00M,-142.00M,-48.00M,-14.00M,11.00M,29.00M,-117.00M,381.00M,,2009-09,-305.00M,,,,-112.00M,339.00M,,2009-09,-94.00M,-534.00M,-628.00M,301.00M,,301.00M,,,,-69.00M,-69.00M,3.00M,-393.00M,,151.00M,-90.00M,,61.00M,,2009-09,301.00M,-643.00M,,2.00M,209.00M,,2009-09,AOR,Restated
2009-06,86.00M,,-8.00M,,-8.00M,354.00M,20.00M,208.00M,208.00M,48.00M,-10.00M,,12.00M,-22.00M,333.00M,-84.00M,-53.00M,-30.00M,35.00M,108.00M,309.00M,623.00M,,2009-06,-244.00M,,,,-1.00M,2.00M,,2009-06,710.00M,-1.091B,-381.00M,158.00M,,158.00M,,,,-67.00M,-67.00M,-4.00M,-294.00M,,65.00M,86.00M,,151.00M,,2009-06,158.00M,-300.00M,,29.00M,116.00M,,2009-06,AOR,Restated
2009-03,67.00M,,0.00,,0.00,,,166.00M,166.00M,30.00M,10.00M,,12.00M,7.00M,308.00M,416.00M,-519.00M,43.00M,-64.00M,-43.00M,141.00M,433.00M,,2009-03,-260.00M,,,,2.00M,-3.00M,,2009-03,-320.00M,81.00M,-239.00M,30.00M,,30.00M,,,,-66.00M,-66.00M,1.00M,-274.00M,,167.00M,-102.00M,,65.00M,,2009-03,30.00M,-820.00M,,26.00M,182.00M,,2009-03,AOR,Restated
2008-12,87.00M,,-6.00M,,-6.00M,,,168.00M,168.00M,16.00M,8.00M,,4.00M,-57.00M,-234.00M,143.00M,261.00M,-25.00M,35.00M,-303.00M,-123.00M,127.00M,,2008-12,-388.00M,,,,-174.00M,185.00M,,2008-12,-737.00M,1.113B,376.00M,-45.00M,,35.00M,,,,-63.00M,-63.00M,-15.00M,333.00M,,84.00M,83.00M,,167.00M,,2008-12,-45.00M,82.00M,,-104.00M,139.00M,,2008-12,,Restated
2008-09,136.00M,,-22.00M,,-22.00M,,,194.00M,194.00M,459.00M,6.00M,,3.00M,22.00M,-44.00M,-317.00M,-261.00M,91.00M,-84.00M,-327.00M,-942.00M,-144.00M,,2008-09,-213.00M,,,,51.00M,-129.00M,,2008-09,594.00M,-180.00M,414.00M,19.00M,,19.00M,,,,-63.00M,-63.00M,-1.00M,369.00M,,150.00M,-66.00M,,84.00M,,2008-09,19.00M,-132.00M,,46.00M,160.00M,,2008-09,,Restated
2008-06,101.00M,,-14.00M,,-14.00M,,,188.00M,188.00M,-15.00M,7.00M,,-50.00M,40.00M,280.00M,-262.00M,-15.00M,-127.00M,141.00M,27.00M,44.00M,301.00M,,2008-06,-232.00M,,,,-151.00M,-5.00M,,2008-06,116.00M,95.00M,211.00M,25.00M,,25.00M,,,,-60.00M,-60.00M,-9.00M,167.00M,,70.00M,80.00M,,150.00M,,2008-06,25.00M,-545.00M,,103.00M,114.00M,,2008-06,,Restated
2008-03,122.00M,,-9.00M,,-9.00M,,,158.00M,158.00M,27.00M,8.00M,,54.00M,-38.00M,-84.00M,327.00M,-16.00M,34.00M,-63.00M,47.00M,245.00M,567.00M,,2008-03,-187.00M,,,,-107.00M,-18.00M,,2008-03,-258.00M,3.00M,-255.00M,1.00M,,1.00M,,,,-60.00M,-60.00M,,-314.00M,,129.00M,-59.00M,,70.00M,,2008-03,1.00M,-778.00M,,39.00M,173.00M,,2008-03,,Restated
