,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-03,1.984B,1.984B,1.373B,611.00M,,101.00M,111.00M,,-111.00M,,361.00M,250.00M,,111.00M,-111.00M,101.00M,-111.00M,240.00M,86.00M,154.00M,,,,,154.00M,260.00M,351.00M,,2016-03,0.36,,0.3094,0.36,,2016-03,,,0.3097,2016-03,430.00M,433.00M,0.2575,,2016-03,AOR,Restated
2015-12,1.791B,1.791B,1.234B,557.00M,,85.00M,111.00M,,-111.00M,,331.00M,226.00M,,111.00M,-111.00M,-933.00M,-111.00M,-818.00M,-309.00M,-509.00M,,,,,-509.00M,246.00M,-707.00M,,2015-12,-1.18,,-1.167,-1.18,,2015-12,,,-1.167,2015-12,430.00M,430.00M,0.2475,,2015-12,AOR,Restated
2015-09,1.63B,1.63B,1.006B,624.00M,,91.00M,113.00M,,-113.00M,,359.00M,265.00M,,113.00M,-113.00M,-787.00M,-113.00M,-635.00M,-244.00M,-391.00M,,,,,-391.00M,268.00M,-522.00M,,2015-09,-0.91,,-0.9028,-0.91,,2015-09,,,-0.9028,2015-09,430.00M,430.00M,0.2475,,2015-09,AOR,Restated
2015-06,1.532B,1.532B,1.017B,515.00M,,90.00M,116.00M,,-116.00M,,329.00M,186.00M,,116.00M,-116.00M,44.00M,-116.00M,114.00M,37.00M,77.00M,,,,,77.00M,239.00M,230.00M,,2015-06,0.18,,0.1990,0.18,,2015-06,,,0.1989,2015-06,430.24M,431.73M,0.2475,,2015-06,AOR,Restated
2015-03,2.433B,2.433B,1.852B,581.00M,,108.00M,117.00M,,-117.00M,,325.00M,256.00M,,117.00M,-117.00M,70.00M,-117.00M,209.00M,78.00M,131.00M,,,,,131.00M,217.00M,326.00M,,2015-03,0.30,,0.2897,0.30,,2015-03,,,0.2898,2015-03,430.00M,431.00M,0.2475,,2015-03,AOR,Restated
2014-12,2.372B,2.372B,1.824B,548.00M,,98.00M,120.00M,,-120.00M,,327.00M,221.00M,,120.00M,-120.00M,108.00M,-120.00M,209.00M,33.00M,176.00M,,,,,176.00M,229.00M,329.00M,,2014-12,0.41,,0.3454,0.41,,2014-12,,,0.3461,2014-12,430.00M,435.00M,0.2375,,2014-12,AOR,Restated
2014-09,1.807B,1.807B,1.195B,612.00M,,86.00M,118.00M,,-118.00M,,379.00M,233.00M,,118.00M,-118.00M,98.00M,-118.00M,213.00M,70.00M,143.00M,,,,,143.00M,293.00M,331.00M,,2014-09,0.33,,0.3160,0.33,,2014-09,,,0.3160,2014-09,430.00M,432.00M,0.2375,,2014-09,AOR,Restated
2014-06,1.884B,1.884B,1.349B,535.00M,,93.00M,119.00M,,-119.00M,,349.00M,186.00M,,119.00M,-119.00M,102.00M,-119.00M,169.00M,62.00M,107.00M,,,,,107.00M,256.00M,288.00M,,2014-06,0.25,,0.2178,0.25,,2014-06,,,0.2178,2014-06,430.00M,431.00M,0.2375,,2014-06,AOR,Restated
2014-03,3.163B,3.163B,2.522B,641.00M,,111.00M,114.00M,,-114.00M,,346.00M,295.00M,,114.00M,-114.00M,113.00M,-114.00M,294.00M,109.00M,185.00M,,,,,185.00M,235.00M,408.00M,,2014-03,0.43,,0.4109,0.43,,2014-03,,,0.4110,2014-03,429.00M,431.00M,0.2375,,2014-03,AOR,Restated
2013-12,2.184B,2.184B,1.662B,522.00M,,98.00M,114.00M,,-114.00M,,311.00M,211.00M,,114.00M,-114.00M,78.00M,-114.00M,175.00M,62.00M,113.00M,,,,,113.00M,213.00M,289.00M,,2013-12,0.27,,0.2625,0.27,,2013-12,,,0.2525,2013-12,428.00M,431.00M,0.2075,,2013-12,AOR,Restated
2013-09,1.64B,1.64B,1.059B,581.00M,,89.00M,118.00M,,-118.00M,,337.00M,244.00M,,118.00M,-118.00M,103.00M,-118.00M,229.00M,78.00M,151.00M,,,,,151.00M,248.00M,347.00M,,2013-09,0.35,,0.3315,0.35,,2013-09,,,0.3316,2013-09,429.00M,431.00M,0.2075,,2013-09,AOR,Restated
2013-06,1.894B,1.894B,1.326B,568.00M,,92.00M,119.00M,,-119.00M,,345.00M,223.00M,,119.00M,-119.00M,40.00M,-119.00M,144.00M,244.00M,-100.00M,,,,,-100.00M,253.00M,263.00M,,2013-06,-0.23,,-0.2345,-0.23,,2013-06,,,-0.2345,2013-06,429.00M,431.00M,0.2075,,2013-06,AOR,Restated
2013-03,2.388B,2.388B,1.708B,680.00M,,108.00M,133.00M,,-133.00M,,348.00M,332.00M,,133.00M,-133.00M,34.00M,-133.00M,233.00M,86.00M,147.00M,,,,,147.00M,240.00M,366.00M,,2013-03,0.34,,0.3061,0.34,,2013-03,,,0.3063,2013-03,428.00M,430.00M,0.2075,,2013-03,AOR,Restated
2012-12,2.138B,2.138B,1.485B,653.00M,0.00,93.00M,139.00M,,-139.00M,,343.00M,310.00M,,139.00M,-139.00M,39.00M,-139.00M,210.00M,76.00M,134.00M,,,,,134.00M,250.00M,349.00M,,2012-12,0.32,,0.2856,0.32,,2012-12,,,0.2759,2012-12,427.00M,430.00M,0.2025,,2012-12,AOR,Restated
2012-09,1.705B,1.705B,978.00M,727.00M,-116.00M,86.00M,141.00M,,-141.00M,,387.00M,340.00M,,141.00M,-141.00M,-71.00M,-141.00M,128.00M,118.00M,10.00M,,,,,10.00M,301.00M,269.00M,,2012-09,0.02,,0.1585,0.02,,2012-09,,,0.1576,2012-09,427.00M,430.00M,0.2025,,2012-09,AOR,Restated
2012-06,1.525B,1.525B,860.00M,665.00M,,88.00M,142.00M,,-142.00M,,363.00M,302.00M,,142.00M,-142.00M,40.00M,-142.00M,200.00M,74.00M,126.00M,,,,,126.00M,275.00M,342.00M,,2012-06,0.29,,0.2575,0.29,,2012-06,,,0.2578,2012-06,427.00M,430.00M,0.2025,,2012-06,AOR,Restated
2012-03,2.084B,2.084B,1.424B,660.00M,,98.00M,147.00M,,-147.00M,,322.00M,338.00M,,147.00M,-147.00M,28.00M,-147.00M,219.00M,72.00M,147.00M,,,,,147.00M,224.00M,366.00M,,2012-03,0.34,,0.3196,0.34,,2012-03,,,0.3196,2012-03,426.00M,428.00M,0.2025,,2012-03,AOR,Restated
2011-12,2.145B,2.145B,2.901B,-756.00M,-19.00M,94.00M,146.00M,,-146.00M,,-1.03B,274.00M,,146.00M,-146.00M,31.00M,-146.00M,159.00M,42.00M,117.00M,,0.00,,,117.00M,209.00M,305.00M,,2011-12,-1.102,,-1.102,0.28,,2011-12,-0.0032,,-1.102,2011-12,426.00M,432.00M,0.1975,,2011-12,AOR,Restated
2011-09,1.881B,1.881B,735.00M,1.146B,362.00M,88.00M,145.00M,,-145.00M,,789.00M,357.00M,,145.00M,-145.00M,378.00M,-145.00M,590.00M,204.00M,386.00M,,587.00M,,,973.00M,253.00M,735.00M,,2011-09,2.28,,1.712,2.28,,2011-09,1.368,,1.706,2011-09,426.00M,429.00M,0.1975,,2011-09,AOR,Restated
2011-06,1.837B,1.837B,778.00M,1.059B,4.00M,87.00M,143.00M,,-143.00M,446.00M,756.00M,303.00M,,143.00M,-143.00M,30.00M,-143.00M,190.00M,71.00M,119.00M,,,,,119.00M,223.00M,333.00M,,2011-06,0.28,,0.2477,0.28,,2011-06,,,0.2478,2011-06,426.00M,428.00M,0.1975,,2011-06,AOR,Restated
2011-03,2.587B,2.587B,1.476B,1.111B,5.00M,107.00M,149.00M,,-149.00M,,747.00M,364.00M,,149.00M,-149.00M,20.00M,-149.00M,235.00M,87.00M,148.00M,,,,,148.00M,201.00M,384.00M,,2011-03,0.35,,0.3293,0.35,,2011-03,,,0.3294,2011-03,425.00M,427.00M,0.1975,,2011-03,AOR,Restated
2010-12,2.098B,2.098B,2.772B,-674.00M,-7.00M,88.00M,151.00M,,-151.00M,,-976.00M,302.00M,,151.00M,-151.00M,13.00M,-151.00M,164.00M,40.00M,124.00M,,0.00,,,124.00M,204.00M,315.00M,,2010-12,0.2880,,0.2987,0.29,,2010-12,0.00,,0.2986,2010-12,425.00M,428.00M,0.195,,2010-12,AOR,Restated
2010-09,1.908B,1.908B,808.00M,1.10B,3.00M,86.00M,155.00M,,-155.00M,,773.00M,327.00M,,155.00M,-155.00M,27.00M,-155.00M,199.00M,76.00M,123.00M,,0.00,,,123.00M,243.00M,354.00M,,2010-09,0.29,,0.2651,0.29,,2010-09,0.00,,0.2653,2010-09,422.00M,425.00M,0.195,,2010-09,AOR,
2010-06,1.756B,1.756B,778.00M,978.00M,3.00M,88.00M,157.00M,,-157.00M,,715.00M,263.00M,,157.00M,-157.00M,20.00M,-157.00M,126.00M,45.00M,81.00M,,,,,81.00M,217.00M,283.00M,,2010-06,0.20,,0.1791,0.20,,2010-06,,,0.1792,2010-06,400.00M,402.00M,0.195,,2010-06,AOR,Restated
2010-03,3.023B,3.023B,1.935B,1.088B,1.00M,117.00M,158.00M,,-158.00M,,731.00M,357.00M,,158.00M,-158.00M,17.00M,-158.00M,216.00M,102.00M,114.00M,,,,,114.00M,200.00M,374.00M,,2010-03,0.29,,0.2702,0.29,,2010-03,,,0.2703,2010-03,393.00M,395.00M,0.195,,2010-03,AOR,Restated
2009-12,2.299B,2.299B,1.29B,1.009B,8.00M,91.00M,162.00M,,-162.00M,,710.00M,299.00M,,162.00M,-162.00M,15.00M,-162.00M,152.00M,47.00M,105.00M,,,,,105.00M,181.00M,314.00M,,2009-12,0.27,,0.2558,0.27,,2009-12,,,0.2560,2009-12,389.00M,395.00M,0.19,,2009-12,AOR,Restated
2009-09,1.576B,1.576B,582.00M,994.00M,9.00M,84.00M,158.00M,,-158.00M,415.00M,707.00M,287.00M,,158.00M,-158.00M,23.00M,-158.00M,152.00M,38.00M,114.00M,,,,,114.00M,188.00M,310.00M,,2009-09,0.31,,0.2573,0.31,,2009-09,,,0.2576,2009-09,370.00M,372.00M,0.19,,2009-09,AOR,Restated
2009-06,1.64B,1.64B,710.00M,930.00M,18.00M,91.00M,162.00M,,-162.00M,398.00M,677.00M,253.00M,,162.00M,-162.00M,38.00M,-162.00M,129.00M,43.00M,86.00M,,,,,86.00M,208.00M,291.00M,,2009-06,0.24,,0.1889,0.24,,2009-06,,,0.1892,2009-06,352.00M,354.00M,0.19,,2009-06,AOR,Restated
2009-03,2.766B,2.766B,1.789B,977.00M,4.00M,113.00M,162.00M,,-162.00M,413.00M,692.00M,285.00M,,162.00M,-162.00M,-8.00M,-162.00M,115.00M,48.00M,67.00M,,,,,67.00M,166.00M,277.00M,,2009-03,0.19,,0.2050,0.19,,2009-03,,,0.2049,2009-03,347.00M,349.00M,0.19,,2009-03,AOR,Restated
2008-12,2.774B,2.774B,1.791B,983.00M,4.00M,88.00M,156.00M,,-156.00M,,680.00M,303.00M,,156.00M,-156.00M,5.00M,-156.00M,152.00M,65.00M,87.00M,,,,,87.00M,168.00M,308.00M,,2008-12,0.24,,0.24,0.24,,2008-12,,,0.24,2008-12,343.04M,349.44M,0.1825,,2008-12,,Restated
2008-09,2.515B,2.515B,1.532B,983.00M,6.00M,81.00M,150.00M,,-150.00M,371.00M,646.00M,337.00M,,150.00M,-150.00M,26.00M,-150.00M,213.00M,77.00M,136.00M,,,,,136.00M,194.00M,363.00M,,2008-09,0.40,,0.3944,0.40,,2008-09,,,0.3844,2008-09,342.23M,344.58M,0.1825,,2008-09,,Restated
2008-06,2.67B,2.67B,1.75B,920.00M,,93.00M,149.00M,,-149.00M,342.00M,623.00M,297.00M,,149.00M,-149.00M,14.00M,-149.00M,162.00M,61.00M,101.00M,,,,,101.00M,188.00M,311.00M,,2008-06,0.30,,0.30,0.30,,2008-06,,,0.30,2008-06,331.35M,342.03M,0.1825,,2008-06,,Restated
2008-03,3.363B,3.363B,2.393B,970.00M,4.00M,111.00M,149.00M,,-149.00M,365.00M,634.00M,336.00M,,149.00M,-149.00M,9.00M,-149.00M,196.00M,74.00M,122.00M,,,,,122.00M,158.00M,345.00M,,2008-03,0.37,,0.37,0.37,,2008-03,,,0.36,2008-03,327.28M,327.28M,0.1825,,2008-03,,Restated
2007-12,2.602B,2.602B,,,,,,,,,,8.709B,,,,,,,,108.00M,,,,,108.00M,177.00M,8.709B,,2007-12,0.34,,0.34,0.34,,2007-12,,,0.32,2007-12,322.58M,342.97M,0.17,,2007-12,,
2007-09,1.882B,1.882B,991.00M,891.00M,-18.00M,85.00M,,,,317.00M,572.00M,319.00M,,,,-18.00M,,145.00M,54.00M,91.00M,,,,,91.00M,214.00M,319.00M,,2007-09,0.29,,0.326,0.29,,2007-09,,,0.3035,2007-09,313.79M,337.04M,0.17,,2007-09,,
2007-06,2.033B,2.033B,1.208B,825.00M,7.00M,93.00M,,,,330.00M,583.00M,242.00M,,,,7.00M,,98.00M,28.00M,70.00M,,,,,70.00M,141.00M,242.00M,,2007-06,0.22,,0.2043,0.22,,2007-06,,,0.1857,2007-06,318.18M,350.00M,0.17,,2007-06,,
2007-03,3.106B,3.106B,2.15B,956.00M,3.00M,106.00M,,,,352.00M,603.00M,353.00M,,,,3.00M,,202.00M,72.00M,130.00M,,,,,130.00M,164.00M,353.00M,,2007-03,0.41,,0.4039,0.41,,2007-03,,,0.3744,2007-03,317.07M,342.11M,0.17,,2007-03,,
2006-12,2.464B,2.464B,1.623B,841.00M,18.00M,78.00M,,,,381.00M,606.00M,235.00M,,,,18.00M,,104.00M,37.00M,67.00M,,,,,67.00M,166.00M,235.00M,,2006-12,0.22,,0.1823,0.22,,2006-12,,,0.1558,2006-12,307.27M,338.72M,0.15,,2006-12,,
2006-09,1.935B,1.935B,1.058B,877.00M,20.00M,87.00M,,,,347.00M,593.00M,284.00M,,,,20.00M,,152.00M,69.00M,83.00M,,,,,83.00M,168.00M,284.00M,,2006-09,0.27,,0.2310,0.27,,2006-09,,,0.2224,2006-09,307.41M,319.23M,0.15,,2006-09,,
2006-06,1.843B,1.843B,1.035B,808.00M,9.00M,95.00M,,,,340.00M,588.00M,220.00M,,,,9.00M,,78.00M,-116.00M,194.00M,,,,,194.00M,167.00M,220.00M,,2006-06,0.62,,0.6027,0.62,,2006-06,,,0.5930,2006-06,312.90M,318.03M,0.15,,2006-06,,
2006-03,3.077B,3.077B,2.193B,884.00M,2.00M,107.00M,,,,331.00M,578.00M,306.00M,,,,2.00M,,160.00M,72.00M,88.00M,,,,,88.00M,154.00M,306.00M,,2006-03,0.28,,0.2762,0.28,,2006-03,,,0.2762,2006-03,314.29M,314.29M,0.15,,2006-03,,
2005-12,3.212B,3.212B,2.348B,864.00M,5.00M,98.00M,,,,367.00M,595.00M,269.00M,,,,5.00M,,112.00M,31.00M,81.00M,0.00,,,,81.00M,148.00M,269.00M,,2005-12,0.26,-0.0001,0.2484,0.26,,2005-12,,-0.0002,0.2293,2005-12,311.72M,338.12M,0.06,,2005-12,,
2005-09,2.073B,2.073B,1.277B,796.00M,8.00M,90.00M,,,,301.00M,536.00M,260.00M,,,,8.00M,,91.00M,41.00M,50.00M,,,,,50.00M,164.00M,260.00M,,2005-09,0.16,,0.1446,0.16,,2005-09,,,0.1356,2005-09,312.50M,333.33M,0.07,,2005-09,,
2005-06,1.842B,1.842B,1.103B,739.00M,13.00M,92.00M,,,,290.00M,518.00M,221.00M,,,,13.00M,,45.00M,18.00M,27.00M,-3.00M,30.00M,,,54.00M,156.00M,221.00M,,2005-06,0.09,,0.064,0.18,,2005-06,0.0889,,0.0669,2005-06,300.00M,337.50M,0.07,,2005-06,,
2005-03,2.595B,2.595B,1.781B,814.00M,2.00M,95.00M,,,,279.00M,504.00M,310.00M,,,,2.00M,,130.00M,63.00M,67.00M,,,,,67.00M,150.00M,310.00M,,2005-03,0.22,,0.2161,0.22,,2005-03,,,0.1964,2005-03,304.55M,335.00M,0.10,,2005-03,,
2004-12,2.102B,2.102B,1.312B,790.00M,13.00M,87.00M,,,,119.00M,334.00M,456.00M,,,,13.00M,,276.00M,113.00M,163.00M,21.00M,,,,101.00M,157.00M,456.00M,,2004-12,0.53,-0.2686,0.5047,0.33,,2004-12,,-0.2686,0.4553,2004-12,307.91M,530.37M,0.10,,2004-12,,
2004-09,1.669B,1.669B,928.00M,741.00M,4.00M,89.00M,,,,319.00M,534.00M,207.00M,,,,4.00M,,19.00M,2.00M,17.00M,-259.00M,,,,-1.136B,145.04M,207.00M,,2004-09,0.05,-2.904,0.0384,-3.69,,2004-09,,-2.904,0.0385,2004-09,307.86M,310.38M,0.10,,2004-09,,
2004-06,1.700B,1.700B,1.011B,689.77M,12.42M,86.18M,,,,299.95M,506.20M,183.57M,,,,12.42M,,-2.535M,0.191M,-2.726M,60.38M,,,,57.65M,141.98M,183.57M,,2004-06,-0.01,,-0.0346,0.19,,2004-06,,,-0.0346,2004-06,303.43M,303.43M,0.10,,2004-06,,
2004-03,2.528B,2.528B,1.762B,765.94M,4.068M,93.99M,,,,315.84M,526.05M,239.89M,,,,4.068M,,51.31M,22.42M,28.90M,44.69M,,,,73.59M,137.98M,239.89M,,2004-03,0.09,,0.0820,0.24,,2004-03,,,0.0827,2004-03,306.61M,334.49M,0.10,,2004-03,,
2003-12,2.117B,2.117B,1.224B,892.83M,-17.32M,75.62M,,,,424.00M,614.64M,278.18M,,,,-17.32M,,50.37M,3.365M,47.01M,23.28M,,,,70.29M,211.26M,278.18M,,2003-12,0.16,,0.2130,0.23,,2003-12,,,0.0998,2003-12,304.90M,406.49M,0.10,,2003-12,,
2003-09,1.608B,1.608B,681.89M,926.05M,-1.479M,90.13M,,,,298.81M,508.42M,417.63M,,,,-1.479M,,232.52M,85.54M,146.98M,34.75M,,,,181.72M,4.805M,417.63M,,2003-09,0.48,,0.4831,0.60,,2003-09,,,0.4830,2003-09,302.88M,308.01M,0.10,,2003-09,,
2003-06,2.091B,2.091B,1.104B,987.07M,16.55M,90.69M,,,,393.08M,641.04M,346.03M,,,,16.55M,,127.30M,44.35M,82.96M,-19.73M,,-6.295M,,63.22M,192.49M,346.03M,,2003-06,0.27,,0.2342,0.21,,2003-06,,,0.2342,2003-06,301.06M,301.06M,0.10,,2003-06,,
2003-03,2.900B,2.900B,1.871B,1.029B,-2.612M,102.84M,,,,412.88M,668.00M,361.03M,,,,-2.612M,,122.59M,41.11M,81.48M,6.88M,80.07M,2.066M,,168.43M,197.66M,361.03M,,2003-03,0.27,,0.2758,0.56,,2003-03,0.2662,,0.2758,2003-03,300.77M,300.77M,0.10,,2003-03,,
2002-12,644.90M,644.90M,151.36M,493.55M,29.78M,31.96M,,,,96.52M,126.47M,367.08M,,,,29.78M,,154.56M,65.50M,89.06M,-152.05M,,,,-62.99M,276.79M,367.08M,,2002-12,0.30,,0.2402,-0.20,,2002-12,,,0.2310,2002-12,298.82M,303.02M,0.16,,2002-12,,
2002-09,1.917B,1.917B,845.27M,1.072B,7.567M,94.56M,,,,385.48M,640.18M,431.33M,,,,7.567M,,254.72M,92.84M,161.89M,-4.286B,,-0.008M,,-4.124B,167.00M,431.33M,,2002-09,0.54,,0.5239,-13.80,,2002-09,,,0.5240,2002-09,298.79M,299.63M,0.16,,2002-09,,
