,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-06,586.73M,590.15M,183.96M,406.19M,89.72M,,,2.564M,,,3.419M,217.81M,188.38M,,,2.564M,,134.99M,47.62M,87.37M,,,,0.099M,87.37M,85.71M,313.05M,116.80M,188.38M,,0.61,0.00,,,0.5984,0.61,,0.60,0.00,,,0.5885,0.60,,143.33M,144.48M,0.055,,,
2003-03,580.53M,580.53M,277.76M,302.77M,,,,0.637M,,,,118.00M,184.77M,,,0.637M,,129.82M,45.90M,83.92M,,,,0.10M,83.92M,83.51M,302.77M,118.00M,184.77M,,0.59,0.00,,,0.5871,0.59,,0.58,0.00,,,0.5771,0.58,,142.90M,143.80M,0.055,,,
2002-12,585.88M,585.88M,267.61M,318.27M,,,,-67.31M,,,,129.16M,189.11M,,,-67.31M,,64.78M,24.05M,40.73M,3.614M,,,0.10M,44.34M,83.05M,306.99M,117.88M,189.11M,,0.31,-0.01,,,0.6070,0.31,,0.30,-0.01,,,0.5952,0.30,,142.48M,143.39M,0.0525,,,
2002-09,524.50M,524.50M,259.27M,265.23M,,,,0.919M,,,,107.51M,157.72M,,,0.919M,,98.61M,34.02M,64.59M,543.16M,,,0.10M,607.75M,63.99M,265.23M,107.51M,157.72M,,0.46,3.83,,,0.4558,4.29,,0.45,3.80,,,0.4458,4.25,,141.69M,142.77M,0.0525,,,
2002-06,438.70M,438.70M,235.17M,203.54M,,,,8.154M,,,,94.00M,109.53M,,,8.154M,,63.53M,22.05M,41.48M,37.28M,,,0.099M,78.76M,36.16M,203.54M,94.00M,109.53M,,0.29,0.26,,,0.2523,0.55,,0.29,0.26,,,0.2527,0.55,,141.24M,142.70M,0.0525,,,
2002-03,422.92M,422.92M,211.64M,211.28M,,,,-1.868M,,,,92.23M,119.05M,,,-1.868M,,66.53M,23.42M,43.12M,27.65M,,,0.10M,70.77M,44.33M,211.28M,92.23M,119.05M,,0.30,0.20,,,0.3086,0.50,,0.30,0.19,,,0.3085,0.49,,141.05M,142.65M,0.0525,,,
2001-12,105.18M,105.18M,17.69M,87.50M,,,,-175.10M,,,,75.41M,12.08M,,,-207.75M,,-238.96M,-89.84M,-149.12M,,,,,49.76M,-39.85M,67.28M,55.20M,12.08M,,-1.02,1.413,,,-0.2444,-1.02,,-1.02,1.398,,,-0.2528,-1.02,,140.89M,142.43M,0.05,,,
2001-09,539.38M,539.38M,275.36M,264.02M,,,,44.25M,,,,120.21M,143.81M,,,60.87M,,147.42M,55.12M,92.30M,,,-2.819M,,92.30M,64.60M,264.02M,120.21M,143.81M,,0.66,0.00,,,0.4632,0.66,,0.65,0.00,,,0.4553,0.65,,140.77M,142.26M,0.05,,,
2001-06,518.94M,518.94M,267.54M,251.40M,,,,161.01M,,,,116.20M,135.20M,,,171.71M,,246.30M,92.05M,154.24M,,,-3.263M,,154.24M,53.41M,268.02M,132.81M,135.20M,,1.10,0.00,,,0.3835,1.10,,1.09,0.00,,,0.3802,1.09,,140.72M,142.06M,0.05,,,
2001-03,411.60M,411.60M,208.48M,203.13M,,,,2.467M,,,,98.82M,104.31M,,,2.467M,,45.07M,18.22M,26.85M,19.87M,,,,46.72M,25.37M,203.13M,98.82M,104.31M,,0.19,0.14,,,0.1795,0.33,,0.19,0.14,,,0.1796,0.33,,140.57M,142.48M,0.05,,,
2000-12,83.61M,83.61M,6.939M,76.67M,,,,-37.59M,,,,73.91M,2.764M,,,-37.59M,,-89.86M,-39.74M,-50.12M,,,,,57.12M,-27.57M,55.26M,52.50M,2.764M,,-0.33,0.7657,,,-0.1693,-0.33,,-0.33,0.7560,,,-0.1713,-0.33,,140.31M,142.15M,0.0475,,,
2000-09,482.63M,482.63M,235.84M,246.80M,,,,17.98M,,,,99.74M,147.06M,,,17.98M,,113.25M,46.03M,67.22M,,,-2.889M,,67.22M,56.43M,246.80M,99.74M,147.06M,,0.48,0.00,,,0.4030,0.48,,0.47,0.00,,,0.3939,0.47,,140.22M,141.85M,0.0475,,,
2000-06,423.16M,423.16M,212.50M,210.66M,,,,11.86M,,,,85.77M,124.89M,,,11.86M,,98.61M,40.77M,57.84M,,,-2.871M,,57.84M,50.73M,210.66M,85.77M,124.89M,,0.41,0.00,,,0.3592,0.41,,0.41,0.00,,,0.3598,0.41,,140.00M,141.73M,0.0475,,,
2000-03,412.96M,412.96M,216.72M,196.23M,,,,12.68M,,,,84.81M,111.42M,,,12.68M,,85.77M,36.48M,49.28M,,,-2.292M,,49.28M,41.68M,196.23M,84.81M,111.42M,,0.35,0.00,,,0.2956,0.35,,0.35,0.00,,,0.2963,0.35,,139.74M,141.73M,0.0475,,,
1999-12,426.50M,426.50M,221.20M,205.30M,,,,14.90M,,,,88.50M,116.80M,,,14.90M,,93.50M,32.80M,60.70M,,,-2.30M,,60.70M,51.03M,205.30M,88.50M,116.80M,,0.43,0.00,,,0.3604,0.43,,0.43,0.00,,,0.3622,0.43,,138.88M,142.66M,0.045,,,
1999-09,419.20M,419.20M,204.80M,214.40M,,,,13.10M,,,,84.30M,130.10M,,,13.10M,,104.70M,40.20M,64.50M,,,-3.50M,,64.50M,56.43M,214.40M,84.30M,130.10M,,0.46,0.00,,,0.4024,0.46,,0.46,0.00,,,0.4024,0.46,,140.22M,140.22M,0.045,,,
1999-06,416.75M,416.75M,200.10M,216.65M,,,,52.30M,,,,86.00M,130.65M,,,52.30M,,126.70M,73.20M,53.50M,,,-18.80M,,53.50M,22.12M,216.67M,86.02M,130.65M,,0.38,0.00,,,0.1571,0.38,,0.38,0.00,,,0.1571,0.38,,140.79M,140.79M,0.045,,,
1999-03,414.26M,414.26M,193.65M,220.60M,,,,19.38M,,,,89.98M,130.62M,,,19.38M,,104.46M,43.35M,61.10M,,,-3.31M,,61.10M,49.48M,220.60M,89.98M,130.62M,,0.44,0.00,,,0.3563,0.44,,0.43,0.00,,,0.3482,0.43,,138.88M,142.10M,0.045,,,
1998-12,415.10M,415.10M,208.70M,206.40M,,,,10.70M,,,,86.30M,120.10M,,,10.70M,,87.30M,35.10M,52.20M,,,-2.50M,,52.20M,45.78M,206.40M,86.30M,120.10M,,0.38,0.00,,,0.3333,0.38,,0.37,0.00,,,0.3252,0.37,,137.34M,143.25M,0.0433,,,
1998-09,401.90M,401.90M,192.20M,209.70M,,,,10.30M,,,,81.60M,128.10M,,,10.30M,,93.00M,38.30M,54.70M,,,-3.60M,,54.70M,48.52M,209.70M,81.60M,128.10M,,0.40,0.00,,,0.3548,0.40,,0.39,0.00,,,0.3459,0.39,,136.75M,140.26M,0.0433,,,
1998-06,388.40M,388.40M,185.40M,203.00M,,,,35.30M,,,,81.50M,121.50M,,,35.30M,,110.70M,46.50M,64.20M,,,-4.00M,,64.20M,43.02M,203.00M,81.50M,121.50M,,0.47,0.00,,,0.3149,0.47,,0.46,0.00,,,0.3082,0.46,,136.60M,139.57M,0.0433,,,
1998-03,371.70M,371.70M,182.40M,189.30M,,,,31.80M,,,,79.20M,110.10M,,,31.80M,,96.50M,38.80M,57.70M,,,-2.60M,,57.70M,38.62M,189.30M,79.20M,110.10M,,0.42,0.00,,,0.2811,0.42,,0.41,0.00,,,0.2744,0.41,,137.38M,140.73M,0.0433,,,
1997-12,273.60M,273.60M,145.00M,128.60M,,,,107.20M,,,,50.80M,77.80M,,,107.20M,,160.40M,62.10M,98.30M,,,-1.80M,0.10M,98.30M,32.60M,128.60M,50.80M,77.80M,,0.7433,0.00,,,0.2358,0.7433,,0.7167,0.00,,,0.2377,0.7167,,129.44M,137.15M,0.0411,,,
1997-09,218.40M,218.40M,111.50M,106.90M,,,,9.50M,,,,37.10M,69.80M,,,9.50M,,66.30M,24.90M,41.40M,,,-1.80M,0.10M,41.40M,35.47M,106.90M,37.00M,69.80M,,0.30,0.00,,,0.2569,0.30,,0.30,0.00,,,0.2569,0.30,,137.67M,137.67M,0.0411,,,
1997-06,210.60M,210.60M,111.80M,98.80M,,,,79.00M,,,,36.30M,62.50M,,,79.00M,,128.80M,45.60M,83.20M,,,-1.50M,0.10M,83.20M,32.17M,98.90M,36.40M,62.50M,,0.61,0.00,,,0.2354,0.61,,0.61,0.00,,,0.2354,0.61,,136.23M,136.23M,0.0411,,,
1997-03,199.00M,199.00M,106.00M,93.00M,,,,6.80M,,,,35.30M,57.70M,,,6.80M,,52.80M,19.70M,33.10M,,,-0.40M,0.10M,33.10M,28.84M,93.00M,35.30M,57.70M,,0.25,0.00,,,0.2177,0.25,,0.25,0.00,,,0.2177,0.25,,132.00M,132.00M,0.0411,,,
1996-12,194.30M,194.30M,107.60M,86.70M,,,,6.70M,,,,35.50M,51.20M,,,6.70M,,46.30M,16.20M,30.10M,,,-0.80M,0.10M,30.10M,25.74M,86.70M,35.50M,51.20M,,0.2256,0.00,,,0.1928,0.2256,,0.2211,0.00,,,0.189,0.2211,,133.13M,135.65M,0.04,,,
1996-09,193.10M,193.10M,100.80M,92.30M,,,,11.30M,,,,33.30M,59.00M,,,11.30M,,58.00M,21.60M,36.40M,,,-1.40M,0.20M,36.40M,29.31M,92.30M,33.30M,59.00M,,0.27,0.00,,,0.2171,0.27,,0.27,0.00,,,0.2171,0.27,,134.07M,134.07M,0.04,,,
1996-06,186.50M,186.50M,96.40M,90.10M,,,,7.90M,,,,32.40M,57.70M,,,7.90M,,52.20M,19.30M,32.90M,,,-2.00M,0.10M,32.90M,27.92M,90.20M,32.50M,57.70M,,0.25,0.00,,,0.2120,0.25,,0.25,0.00,,,0.2120,0.25,,131.20M,131.20M,0.04,,,
1996-03,175.80M,175.80M,89.60M,86.20M,,,,5.80M,,,,30.70M,55.50M,,,5.80M,,47.20M,17.50M,29.70M,,,-2.60M,,29.70M,26.05M,86.20M,30.70M,55.50M,,0.22,0.00,,,0.1930,0.22,,0.22,0.00,,,0.1930,0.22,,135.00M,135.00M,0.0369,,,
1995-12,193.50M,193.50M,116.90M,76.60M,,,,5.70M,,,,25.30M,51.30M,,,5.70M,,44.70M,14.90M,29.80M,,,-1.80M,,29.80M,26.00M,76.60M,25.30M,51.30M,,0.2256,0.00,,,0.1968,0.2256,,0.2167,0.00,,,0.1890,0.2167,,132.16M,137.54M,0.0369,,,
1995-09,159.10M,159.10M,72.50M,86.60M,,,,9.10M,,,,31.60M,55.00M,,,9.10M,,50.80M,18.90M,31.90M,,,-2.40M,,31.90M,26.19M,86.60M,31.60M,55.00M,,0.24,0.00,,,0.1970,0.24,,0.24,0.00,,,0.1970,0.24,,132.92M,132.92M,0.0369,,,
1995-06,149.70M,149.70M,72.00M,77.70M,,,,5.50M,,,,28.90M,48.80M,,,5.50M,,42.00M,15.80M,26.20M,,,-1.90M,,26.20M,22.77M,77.70M,28.90M,48.80M,,0.20,0.00,,,0.1738,0.20,,0.20,0.00,,,0.1738,0.20,,131.00M,131.00M,0.0369,,,
1995-03,142.40M,142.40M,66.90M,75.50M,,,,11.50M,,,,28.00M,47.50M,,,11.50M,,45.70M,18.70M,27.00M,,,-2.00M,,27.00M,20.10M,75.50M,28.00M,47.50M,,0.21,0.00,,,0.1563,0.21,,0.21,0.00,,,0.1563,0.21,,128.57M,128.57M,0.0355,,,
1994-12,144.80M,144.80M,72.30M,72.50M,,,,23.10M,,,,26.50M,46.00M,,,23.10M,,57.30M,22.40M,34.90M,,,,,34.90M,20.83M,72.50M,26.50M,46.00M,,0.2956,0.00,,,0.1752,0.2956,,0.27,0.00,,,0.1629,0.27,,116.90M,131.38M,0.0355,,,
1994-09,141.50M,141.50M,70.00M,71.50M,,,,5.50M,,,,25.70M,45.80M,,,5.50M,,39.80M,15.20M,24.60M,,,,,24.60M,21.20M,73.40M,27.60M,45.80M,,0.21,0.00,,,0.1810,0.21,,0.19,0.00,,,0.1637,0.19,,117.14M,129.47M,0.0356,,,
1994-06,132.90M,132.90M,66.40M,66.50M,,,,3.40M,,,,24.80M,41.70M,,,3.40M,,34.30M,12.80M,21.50M,,,,,21.50M,19.37M,66.80M,25.10M,41.70M,,0.18,0.00,,,0.1622,0.18,,0.17,0.00,,,0.1531,0.17,,119.44M,126.47M,0.0356,,,
1994-03,121.00M,121.00M,60.70M,60.30M,,,,2.80M,,,,24.40M,35.90M,,,2.80M,,30.10M,10.90M,19.20M,,,,,19.20M,17.41M,60.30M,24.40M,35.90M,,0.16,0.00,,,0.1451,0.16,,0.15,0.00,,,0.1360,0.15,,120.00M,128.00M,0.0356,,,
1993-12,116.30M,116.30M,62.10M,54.20M,,,,2.70M,,,,22.50M,31.70M,,,2.70M,,26.40M,7.30M,19.10M,,,,,19.10M,17.15M,54.20M,22.50M,31.70M,,0.15,0.00,,,0.1351,0.15,,0.15,0.00,,,0.1351,0.15,,131.21M,131.21M,0.0345,,,
1993-09,112.80M,112.80M,56.60M,56.20M,,,,3.70M,,,,22.70M,33.50M,,,3.70M,,29.40M,11.80M,17.60M,,,,,17.60M,15.38M,56.20M,22.70M,33.50M,,0.15,0.00,,,0.1311,0.15,,0.15,0.00,,,0.1311,0.15,,117.33M,117.33M,0.0345,,,
1993-06,107.30M,107.30M,54.70M,52.60M,,,,2.20M,,,,21.30M,31.30M,,,2.20M,,26.10M,9.60M,16.50M,,,,,16.50M,15.11M,52.60M,21.30M,31.30M,,0.14,0.00,,,0.1282,0.14,,0.14,0.00,,,0.1282,0.14,,117.86M,117.86M,0.0345,,,
1993-03,96.80M,96.80M,49.00M,47.80M,,,,3.10M,,,,19.70M,28.10M,,,3.10M,,24.30M,8.60M,15.70M,,,,0.50M,15.70M,13.70M,47.80M,19.70M,28.10M,,0.14,0.00,,,0.1216,0.14,,0.14,0.00,,,0.1216,0.14,,108.57M,108.57M,0.0345,,,
1992-12,100.70M,100.70M,50.10M,50.60M,,,,4.60M,,,,19.50M,31.10M,,,4.60M,,28.90M,8.70M,20.20M,,,,,4.50M,16.98M,50.60M,19.50M,31.10M,,0.18,-0.15,,,0.1541,0.03,,0.18,-0.15,,,0.1541,0.03,,124.35M,124.35M,0.0327,,,
1992-09,92.70M,92.70M,45.40M,47.30M,,,,2.40M,,,,18.10M,29.20M,,,2.40M,,24.50M,9.10M,15.40M,,,,,15.40M,13.89M,47.30M,18.10M,29.20M,,0.14,0.00,,,0.1263,0.14,,0.14,0.00,,,0.1263,0.14,,110.00M,110.00M,0.0327,,,
1992-06,88.20M,88.20M,43.50M,44.70M,,,,1.60M,,,,18.10M,26.60M,,,1.60M,,20.90M,8.00M,12.90M,,,,,12.90M,11.91M,44.70M,18.10M,26.60M,,0.12,0.00,,,0.1108,0.12,,0.12,0.00,,,0.1108,0.12,,107.50M,107.50M,0.0327,,,
1992-03,75.30M,75.30M,37.50M,37.80M,,,,1.50M,,,,15.10M,22.70M,,,1.50M,,18.40M,6.90M,11.50M,,,,,11.50M,10.56M,37.80M,15.10M,22.70M,,0.11,0.00,,,0.1010,0.11,,0.11,0.00,,,0.1010,0.11,,104.55M,104.55M,0.0327,,,
1991-12,74.80M,74.80M,36.50M,38.30M,,,,1.50M,,,,15.70M,22.60M,,,1.50M,,18.70M,6.50M,12.20M,,,,,12.20M,11.22M,38.30M,15.70M,22.60M,,0.11,0.00,,,0.1012,0.11,,0.11,0.00,,,0.1012,0.11,,111.29M,111.29M,0.0319,,,
1991-09,72.40M,72.40M,38.20M,34.20M,,,,0.90M,,,,14.30M,19.90M,,,0.90M,,15.20M,5.20M,10.00M,,,,,10.00M,9.408M,34.20M,14.30M,19.90M,,0.09,0.00,,,0.0847,0.09,,0.09,0.00,,,0.0847,0.09,,111.11M,111.11M,0.0319,,,
1991-06,69.10M,69.10M,37.40M,31.70M,,,,1.30M,,,,14.20M,17.50M,,,1.30M,,13.00M,4.60M,8.40M,,,,,8.40M,7.56M,31.70M,14.10M,17.50M,,0.08,0.00,,,0.072,0.08,,0.08,0.00,,,0.072,0.08,,105.00M,105.00M,0.0319,,,
1991-03,64.80M,64.80M,36.40M,28.40M,,,,1.20M,,,,13.20M,15.20M,,,1.20M,,10.70M,3.80M,6.90M,,,,,6.90M,6.126M,28.40M,13.20M,15.20M,,0.07,0.00,,,0.0622,0.07,,0.07,0.00,,,0.0622,0.07,,98.57M,98.57M,0.0319,,,
1990-12,64.80M,64.80M,34.80M,30.00M,,,,1.60M,,,,13.80M,16.20M,,,1.60M,,12.10M,3.90M,8.20M,,,,,8.20M,7.116M,30.00M,13.80M,16.20M,,0.08,0.00,,,0.0693,0.08,,0.08,0.00,,,0.0693,0.08,,101.06M,101.06M,0.0311,,,
1990-09,62.80M,62.80M,34.20M,28.60M,,,,2.00M,,,,12.80M,15.80M,,,2.00M,,11.90M,4.40M,7.50M,,,,,7.50M,6.239M,28.60M,12.10M,15.80M,,0.07,0.00,,,0.0582,0.07,,0.07,0.00,,,0.0582,0.07,,107.14M,107.14M,0.0311,,,
1990-06,60.70M,60.70M,33.20M,27.50M,,,,5.60M,,,,13.10M,14.40M,,,5.60M,,13.90M,5.20M,8.70M,,,,,8.70M,5.195M,27.80M,13.40M,14.40M,,0.09,0.00,,,0.0537,0.09,,0.09,0.00,,,0.0537,0.09,,96.67M,96.67M,0.0311,,,
1990-03,60.40M,60.40M,33.30M,27.10M,,,,2.70M,,,,12.80M,14.30M,,,2.70M,,10.80M,4.00M,6.80M,,,,,6.80M,5.10M,27.10M,12.80M,14.30M,,0.07,0.00,,,0.0525,0.07,,0.07,0.00,,,0.0525,0.07,,97.14M,97.14M,0.0311,,,
1989-12,60.90M,60.90M,32.20M,28.70M,,,,0.70M,,,,14.90M,13.80M,,,0.70M,,8.10M,2.00M,6.10M,,,,0.00,6.10M,5.573M,28.70M,14.90M,13.80M,,0.05,0.00,,,0.0456,0.05,,0.05,0.00,,,0.0456,0.05,,119.47M,119.47M,0.0304,,,
1989-09,55.70M,55.70M,30.60M,25.10M,,,,1.20M,,,,11.30M,13.80M,,,1.20M,,9.00M,3.30M,5.70M,,,,,5.70M,4.94M,25.10M,11.30M,13.80M,,0.05,0.00,,,0.0433,0.05,,0.05,0.00,,,0.0433,0.05,,114.00M,114.00M,0.0304,,,
1989-06,49.20M,49.20M,27.80M,21.40M,,,,1.60M,,,,9.80M,11.60M,,,1.60M,,8.10M,2.80M,5.30M,,,,,5.30M,4.253M,21.40M,9.80M,11.60M,,0.05,0.00,,,0.0401,0.05,,0.05,0.00,,,0.0401,0.05,,106.00M,106.00M,0.0304,,,
1989-03,47.50M,47.50M,,,,,,,,,,,47.50M,,,,,,,5.10M,,,,,5.10M,,47.50M,,47.50M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,90.24M,90.24M,0.0297,,,
1988-12,51.40M,51.40M,,,,,,,,,,,-86.20M,,,,,,,8.00M,,,,,8.00M,,-86.20M,,-86.20M,,,,,,,,,,,,,,,,91.28M,91.28M,0.0297,,,
1988-09,45.00M,45.00M,,,,,,,,,,,45.00M,,,,,,,5.10M,,,,,5.10M,,45.00M,,45.00M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,60.73M,60.73M,0.0297,,,
1988-06,44.00M,44.00M,,,,,,,,,,,44.00M,,,,,,,5.10M,,,,,5.10M,,44.00M,,44.00M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,59.76M,59.76M,0.0291,,,
1988-03,43.60M,43.60M,,,,,,,,,,,43.60M,,,,,,,5.20M,,,,,5.20M,,43.60M,,43.60M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,59.76M,59.76M,0.0291,,,
1987-12,42.00M,42.00M,,,,,,,,,,,-62.40M,,,,,,,6.70M,,,,,6.70M,,-62.40M,,-62.40M,,,,,,,,,,,,,,,,59.60M,59.60M,0.0637,,,
1987-09,39.90M,39.90M,,,,,,,,,,,39.90M,,,,,,,7.40M,,,,,7.40M,,39.90M,,39.90M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,59.60M,59.60M,0.0284,,,
1987-06,37.90M,37.90M,,,,,,,,,,,37.90M,,,,,,,4.70M,,,,,4.70M,,37.90M,,37.90M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,59.60M,59.60M,0.0284,,,
1987-03,37.10M,37.10M,,,,,,,,,,,37.10M,,,,,,,4.50M,,,,,4.50M,,37.10M,,37.10M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,59.60M,59.60M,0.0277,,,
1986-12,39.90M,39.90M,,,,,,,,,,,-56.90M,,,,,,,5.00M,,,,,5.00M,,-56.90M,,-56.90M,,,,,,,,,,,,,,,,56.72M,56.72M,0.0277,,,
1986-09,35.90M,35.90M,,,,,,,,,,,35.90M,,,,,,,4.20M,,,,,4.20M,,35.90M,,35.90M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,56.72M,56.72M,0.0277,,,
1986-06,35.10M,35.10M,,,,,,,,,,,35.10M,,,,,,,4.00M,,,,,4.00M,,35.10M,,35.10M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,56.72M,56.72M,0.0277,,,
1986-03,36.70M,36.70M,,,,,,,,,,,36.70M,,,,,,,4.00M,,,,,4.00M,,36.70M,,36.70M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,56.72M,56.72M,0.0271,,,
