,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,76.00M,,,,,,-120.89M,130.76M,130.76M,11.06M,,,,,100.81M,-1.50M,,6.108M,,-2.74M,16.58M,18.45M,,216.19M,,-82.58M,0.00,-82.58M,,,0.00,-0.569M,-83.15M,,,,-26.39M,24.13M,-95.96M,-71.83M,,-7.315M,3.416M,-102.12M,,1.769M,30.92M,,32.69M,,24.13M,,,-95.96M,,,,,
2006-06,152.37M,,,,,,1.125M,131.82M,131.82M,12.83M,,,,,-111.28M,-1.977M,,2.081M,,8.959M,26.37M,35.43M,,222.29M,,-70.37M,5.865M,-64.50M,,,0.00,121.93M,57.43M,,,,-295.56M,8.583M,0.00,8.583M,,-7.36M,1.067M,-293.27M,,15.32M,-13.55M,,1.769M,,8.583M,,,0.00,,,,,
2006-03,69.42M,,,,,,1.119M,134.56M,134.56M,9.522M,,,,,2.615M,23.62M,,-4.634M,,-37.07M,-15.13M,-33.22M,,184.03M,,-60.09M,,-60.09M,,,-5.222M,-0.408M,-65.72M,,,,283.00M,32.62M,-573.89M,-541.26M,,-7.301M,3.73M,-261.84M,,158.85M,-143.53M,,15.32M,,32.62M,,,-573.89M,,,,,
2005-12,78.33M,,,,,,-5.103M,135.78M,135.78M,36.11M,,,,,-15.37M,1.582M,,-3.947M,4.207M,-5.247M,7.361M,3.956M,,233.71M,,-132.91M,,-128.91M,,-0.029M,,-2.676M,-131.62M,,,,-177.25M,2.888M,-21.06M,-18.17M,,-7.953M,-8.369M,-211.74M,,268.50M,-109.66M,,158.85M,,2.888M,,,-21.06M,,,,,
2005-09,91.41M,,,,,,-1.27M,133.53M,133.53M,7.471M,,,,,25.07M,-10.13M,,-32.99M,-2.73M,54.10M,-10.01M,-1.754M,,254.46M,,-105.04M,,-105.04M,,-2.272M,,5.886M,-101.43M,,,,-4.468M,27.03M,0.00,27.03M,,-7.953M,0.405M,15.01M,,100.46M,168.04M,,268.50M,,27.03M,,,0.00,,,,,
2005-06,85.12M,,,,,,-0.724M,130.45M,130.45M,3.806M,,,,,-0.432M,0.973M,,-0.142M,14.23M,-12.42M,1.233M,3.874M,,222.09M,,-102.01M,,-102.01M,,-73.15M,,2.10M,-173.06M,,,,-8.198M,406.59M,-470.62M,-64.04M,,-7.882M,2.217M,-77.90M,,129.33M,-28.87M,,100.46M,,406.59M,,,-470.62M,,,,,
2005-03,79.62M,,,,,,-1.313M,132.18M,132.18M,22.14M,,,,,-1.336M,6.887M,,-0.094M,-15.71M,36.54M,-2.087M,25.54M,,256.82M,,-74.90M,,-74.90M,,,,-2.716M,-77.62M,,,,-159.25M,12.03M,-60.08M,-48.04M,,-8.074M,-1.714M,-217.08M,,167.22M,-37.88M,,129.33M,,12.03M,,,-60.08M,,,,,
2004-12,84.49M,,,,,,-0.953M,129.30M,129.30M,-1.034M,,,,,-24.47M,10.18M,,-16.23M,-5.159M,27.29M,16.61M,32.70M,,220.04M,,-131.72M,,-131.72M,,0.00,0.00,-0.886M,-132.60M,,,,-10.98M,11.30M,-82.63M,-71.33M,,-7.702M,0.825M,-89.19M,,168.98M,-1.76M,,167.22M,,11.30M,,,-82.63M,,,,,
2004-09,86.19M,,,,,,-1.929M,113.86M,113.86M,18.37M,,,,,29.98M,-23.24M,,7.13M,-8.646M,11.89M,-1.175M,-14.04M,,232.44M,,-97.58M,,-97.58M,,0.00,-25.00M,-1.041M,-123.62M,,,,-5.687M,11.03M,-34.50M,-23.47M,,-7.87M,0.807M,-36.22M,,96.39M,72.59M,,168.98M,,11.03M,,,-34.50M,,,,,
2004-06,83.28M,,,,,,-2.126M,130.75M,130.75M,30.36M,,,,,2.508M,-6.518M,,10.05M,-18.62M,-22.15M,12.37M,-24.86M,,219.92M,,-94.27M,,-94.27M,,-2.00M,,0.953M,-95.32M,,,,-155.70M,5.04M,-144.62M,-139.58M,,-8.036M,1.806M,-301.51M,,273.29M,-176.91M,,96.39M,,5.04M,,,-144.62M,,,,,
2004-03,83.28M,,,,,,-2.059M,126.99M,126.99M,26.67M,,,,,-4.989M,22.51M,,14.56M,0.709M,30.75M,-14.98M,53.54M,,283.44M,,-61.74M,,-61.74M,,,,-0.021M,-61.77M,,,,-7.029M,2.118M,-139.26M,-137.14M,,-8.253M,0.858M,-151.56M,,203.18M,70.11M,,273.29M,,2.118M,,,-139.26M,,,,,
2003-12,82.44M,,,,,,-1.265M,118.98M,118.98M,60.68M,,,,,-41.44M,10.16M,,-5.96M,12.08M,22.74M,-18.86M,20.14M,,239.54M,,-121.48M,,-121.48M,,-48.30M,,3.624M,-166.15M,,,,-3.712M,5.069M,,5.069M,,-8.031M,-21.48M,-28.15M,,157.94M,45.24M,,203.18M,,5.069M,,,,,,,,
2003-09,90.98M,,,,,,-1.736M,116.86M,116.86M,24.18M,,,,,14.52M,-8.23M,,15.59M,-6.779M,-0.494M,4.457M,4.548M,,249.35M,,-102.20M,,-102.20M,,-2.361M,,-3.648M,-108.21M,,,,-8.315M,7.982M,,7.982M,,-8.024M,0.84M,-7.517M,,24.32M,133.62M,,157.94M,,7.982M,,,,,,,,
2003-06,87.37M,,,,,,-1.59M,116.80M,116.80M,34.34M,,,,,12.00M,-0.213M,,14.11M,-4.75M,-21.47M,23.17M,10.85M,,259.77M,,-94.59M,,-94.59M,,-35.58M,,-1.113M,-131.29M,,,,-155.44M,16.90M,,16.90M,,-8.001M,23.64M,-122.90M,,18.74M,5.584M,,24.32M,,16.90M,,,,,,,,
2003-03,83.92M,,,,,,-1.569M,118.00M,118.00M,9.502M,,,,,7.537M,36.27M,,24.23M,-6.751M,56.94M,-8.766M,101.91M,,319.30M,,-59.67M,,-59.67M,,,,0.681M,-58.99M,,,,-242.47M,4.031M,,4.031M,,-7.961M,1.168M,-245.24M,,3.661M,15.08M,,18.74M,,4.031M,,,,,,,,
2002-12,44.34M,,,,,,611.94M,117.88M,117.88M,27.77M,,,,,14.87M,8.741M,,-2.592M,58.50M,-47.64M,-61.74M,-44.74M,-2.241B,-1.469B,,-115.49M,-4.144M,-119.64M,,0.00,,-6.302M,-125.94M,,,,-32.28M,15.00M,,15.00M,,-7.593M,2.194M,1.304B,,294.24M,-290.58M,,3.661M,,15.00M,,,,,,,,
2002-09,607.75M,,,,,,-544.65M,107.51M,107.51M,14.08M,,,,,29.06M,-57.18M,,-1.249M,-9.154M,68.25M,42.32M,42.99M,1.558B,1.815B,,-91.74M,4.144M,-87.60M,,-2.201B,,2.794M,-2.286B,,,,476.90M,5.552M,,5.552M,,-7.543M,-11.55M,463.37M,,302.07M,-7.831M,,294.24M,,5.552M,,,,,,,,
2002-06,78.76M,,,,,,-42.95M,94.00M,94.00M,14.65M,,,,,10.00M,28.43M,,-12.87M,-9.305M,-16.11M,15.78M,5.92M,25.50M,185.90M,,-105.50M,,-105.50M,,0.00,,6.679M,-98.82M,,,,179.47M,6.10M,,6.10M,,-7.512M,-15.20M,162.86M,,52.14M,249.93M,,302.07M,,6.10M,,,,,,,,
2002-03,70.77M,,,,,,-28.05M,92.23M,92.23M,14.61M,,,,,4.253M,6.526M,,20.48M,-5.103M,38.55M,3.647M,64.10M,45.64M,263.54M,,-73.53M,,-73.53M,,-43.77M,,-0.405M,-117.70M,,,,-92.72M,2.477M,,2.477M,,-7.508M,0.556M,-97.20M,,3.496M,48.64M,,52.14M,,2.477M,,,,,,,,
2001-12,49.76M,,,,,,190.84M,55.20M,55.20M,56.79M,,,,,-33.69M,-51.12M,,1.679M,65.00M,-139.41M,-27.47M,-151.34M,-198.88M,-31.31M,,-51.26M,-172.64M,-223.90M,,0.00,,34.61M,-189.30M,,,,-20.10M,4.194M,,4.194M,,-7.145M,0.587M,210.36M,,21.37M,-10.24M,,3.496M,,4.194M,,,,,,,,
2001-09,92.30M,,,,,,-57.35M,120.21M,120.21M,21.92M,,,,,18.21M,43.14M,,-5.681M,-55.91M,67.17M,17.58M,66.30M,,261.60M,,-140.94M,64.58M,-76.35M,,0.00,,17.67M,-58.69M,,,,-214.80M,1.223M,,1.223M,,-7.14M,-0.144M,-220.86M,,39.32M,-17.95M,,21.37M,,1.223M,,,,,,,,
2001-06,154.24M,,,,,,-146.67M,132.81M,132.81M,-12.97M,,,,,10.29M,13.21M,,-18.28M,,50.82M,23.22M,68.96M,-31.01M,175.66M,,-141.06M,108.06M,-33.00M,,0.00,,10.30M,-22.71M,,,,-123.38M,0.692M,,0.692M,,-7.236M,0.554M,-129.37M,,8.221M,23.59M,,39.32M,,0.692M,,,,,,,,
2001-03,46.72M,,,,,,-19.87M,98.82M,98.82M,-7.804M,,,,,-10.29M,29.03M,,-7.201M,,22.50M,-13.32M,31.01M,31.01M,169.60M,,-102.25M,,-102.25M,,-47.13M,,-0.834M,-150.22M,,,,-17.34M,1.242M,,1.242M,,-7.132M,0.552M,-22.68M,,11.52M,-3.302M,,8.221M,,1.242M,,,,,,,,
2000-12,57.12M,,,,,,31.92M,52.50M,52.50M,22.00M,,,,,-36.53M,-41.06M,,-14.72M,,-15.51M,40.38M,-19.01M,,0.754M,,-108.39M,-29.50M,-137.88M,,5.173M,,-27.76M,-160.47M,,,,-2.688M,0.744M,,0.744M,,-6.769M,-8.128M,99.97M,,71.64M,-59.74M,,11.41M,,0.744M,,,,,,,,
2000-09,67.22M,,,,,,-19.16M,99.74M,99.74M,4.386M,,,,,11.12M,-18.98M,,19.50M,,30.06M,-14.25M,16.34M,,179.65M,,-143.27M,13.65M,-129.63M,,-1.541B,,66.96M,-1.604B,,,,1.450B,2.032M,,2.032M,,-6.656M,0.266M,1.446B,,49.68M,21.96M,,71.64M,,2.032M,,,,,,,,
2000-06,57.84M,,,,,,-6.604M,85.77M,85.77M,2.24M,,,,,25.34M,1.229M,,-4.698M,,-37.24M,-26.14M,-66.85M,,97.74M,,-81.24M,0.00,-81.24M,,,,4.395M,-76.85M,,,,-31.62M,4.166M,,4.166M,,-6.648M,0.266M,-33.84M,,62.63M,-12.94M,,49.68M,,4.166M,,,,,,,,
2000-03,49.28M,,,,,,-6.159M,84.81M,84.81M,3.231M,,,,,-13.95M,-15.93M,,36.41M,,22.38M,,42.87M,,160.09M,,-58.16M,15.85M,-42.32M,,,,-30.43M,-72.75M,,,,-75.93M,1.054M,,1.054M,,-6.742M,0.266M,-81.35M,,56.64M,5.989M,,62.63M,,1.054M,,,,,,,,
1999-12,60.70M,,,,,,-10.10M,88.50M,88.50M,-23.70M,,,,,15.80M,21.90M,,-29.00M,,-12.90M,7.00M,-13.00M,,118.20M,,-157.20M,484.50M,327.30M,,,,-469.20M,-141.90M,,,,45.00M,4.10M,,4.10M,,-6.40M,0.40M,43.10M,,37.20M,19.40M,,56.60M,,4.10M,,,,,,,,
1999-09,64.50M,,,,,,-8.50M,84.30M,84.30M,2.30M,,,,,-2.30M,-20.70M,,8.60M,-14.10M,-91.40M,-7.00M,-124.60M,,15.70M,,-104.70M,-465.80M,-570.50M,,,,475.90M,-94.60M,,,,25.20M,3.20M,,3.20M,,-6.30M,0.10M,22.20M,,93.90M,-56.70M,,37.20M,,3.20M,,,,,,,,
1999-06,53.50M,,,,,,-30.10M,86.02M,86.02M,1.80M,,,,,-1.414M,-8.10M,,12.00M,14.10M,-12.60M,,5.40M,,115.20M,,-86.10M,445.70M,359.60M,,,,-14.20M,345.40M,,,,-366.60M,1.50M,,1.50M,,-6.40M,0.80M,-370.70M,,4.10M,89.90M,,93.90M,,1.50M,,,,,,,,
1999-03,61.10M,,,,,,-13.90M,89.98M,89.98M,2.50M,,,,,-11.99M,-8.30M,,-3.10M,,43.30M,,31.90M,,159.60M,,-63.00M,20.10M,-42.90M,,,,3.80M,-39.10M,,,,-126.50M,10.40M,,10.40M,,-6.30M,0.20M,-122.20M,,5.70M,-1.70M,,4.10M,,10.40M,,,,,,,,
1998-12,52.20M,,,,,,-5.30M,86.30M,86.30M,-14.00M,,,,,-6.00M,0.20M,,10.40M,,26.80M,,37.40M,,150.60M,,-326.80M,132.30M,-194.50M,,,,-121.20M,-315.70M,,,,169.70M,2.90M,,2.90M,,-6.10M,0.50M,167.00M,,0.00,1.90M,,5.70M,,2.90M,,,,,,,,
1998-09,54.70M,,,,,,-5.50M,81.60M,81.60M,4.70M,,,,,2.20M,5.10M,,0.60M,-14.20M,-4.40M,,-12.90M,,124.80M,,-82.70M,-132.30M,-215.00M,,,,140.90M,-74.10M,,,,-61.40M,3.20M,,3.20M,,-6.00M,0.40M,-63.80M,,0.00,-13.10M,,0.00,,3.20M,,,,,,,,
1998-06,64.20M,,,,,,-30.60M,81.50M,81.50M,-1.10M,,,,,4.40M,-65.70M,,3.80M,14.20M,-25.20M,,-72.90M,,45.50M,,-63.80M,122.10M,58.30M,,,,9.70M,68.00M,,,,-103.40M,4.50M,,4.50M,,-6.10M,-6.80M,-111.80M,,0.00,1.70M,,0.00,,4.50M,,,,,,,,
1998-03,57.70M,,,,,,-28.60M,79.20M,79.20M,26.60M,,,,,-0.60M,45.20M,,-10.60M,,-22.00M,,12.60M,,146.90M,,-63.20M,10.20M,-53.00M,,,,-0.80M,-53.80M,,,,-62.20M,4.40M,,4.40M,,-6.00M,-40.00M,-103.80M,,26.00M,-10.70M,,0.00,,4.40M,,,,,,,,
1997-12,98.30M,,,,,,-111.00M,50.80M,50.80M,-15.50M,,,,,-10.10M,19.80M,,-19.30M,,66.80M,,67.30M,,79.80M,,-57.90M,,144.80M,,,,-1.509B,-1.364B,,,,1.299B,3.30M,,3.30M,,-5.70M,1.70M,1.299B,,0.00,14.70M,,0.00,,3.30M,,,,,,,,
1997-09,41.40M,,,,,,-2.70M,37.00M,37.00M,2.00M,,,,,4.50M,3.50M,,-1.90M,,3.30M,,4.90M,,87.10M,,-35.90M,,-35.90M,,,,16.10M,-19.80M,,,,-65.80M,6.60M,,6.60M,,-5.70M,-3.20M,-68.10M,,0.00,-0.80M,,0.00,,6.60M,,,,,,,,
1997-06,83.20M,,,,,,-73.00M,36.40M,36.40M,27.50M,,,,,3.50M,-22.40M,,-3.00M,-3.20M,-8.30M,,-36.90M,,40.70M,,-43.40M,,-43.40M,,,4.00M,-15.60M,-55.00M,,,,16.30M,2.10M,,2.10M,,-5.60M,0.00,12.80M,,0.00,-1.50M,,0.00,,2.10M,,,,,,,,
1997-03,33.10M,,,,,,-5.20M,35.30M,35.30M,2.20M,,,,,2.00M,6.70M,,-1.20M,3.20M,13.60M,,22.30M,,89.70M,,-44.00M,,-44.00M,,,-4.00M,-16.50M,-64.50M,,,,-16.60M,2.20M,,2.20M,,-5.70M,0.10M,-20.00M,,8.40M,5.20M,,0.00,,2.20M,,,,,,,,
1996-12,30.10M,,,,,,-4.60M,35.50M,35.50M,3.30M,,,,,4.20M,-3.70M,,10.50M,-12.00M,-10.10M,,-15.30M,,53.20M,,-69.00M,,-69.00M,,,,-22.50M,-91.50M,,,,35.30M,1.30M,,1.30M,,-5.50M,0.10M,31.20M,,0.00,-7.10M,,0.00,,1.30M,,,,,,,,
1996-09,36.40M,,,,,,-8.40M,33.30M,33.30M,1.70M,,,,,1.40M,5.90M,5.40M,-9.00M,6.00M,13.20M,,21.50M,,85.90M,,-54.60M,,-54.60M,,,,1.20M,-53.40M,,,,-27.30M,1.80M,,1.80M,,-5.50M,0.10M,-30.90M,,0.00,1.60M,,0.00,,1.80M,,,,,,,,
1996-06,32.90M,,,,,,-5.00M,32.50M,32.50M,1.30M,,,,,1.20M,-7.80M,-5.40M,12.90M,6.00M,-12.80M,,-7.10M,,55.80M,,-58.10M,,-58.10M,,,,5.50M,-52.60M,,,,2.80M,1.20M,,1.20M,,-5.50M,0.20M,-1.30M,,0.00,1.90M,,0.00,,1.20M,,,,,,,,
1996-03,29.70M,,,,,,-2.00M,30.70M,30.70M,1.60M,,,,,2.60M,1.20M,,-9.30M,,15.30M,,7.20M,,69.80M,,-41.20M,,-41.20M,,,,-3.10M,-44.30M,,,,-22.40M,5.80M,,5.80M,,-5.30M,-0.10M,-22.00M,,8.50M,3.50M,,0.00,,5.80M,,,,,,,,
1995-12,29.80M,,,,,,1.80M,25.30M,25.30M,5.10M,,,,,0.00,0.10M,,-1.20M,3.70M,-18.30M,,-15.70M,,46.30M,,-53.00M,,-53.00M,,,,-14.80M,-67.80M,,,,24.70M,1.60M,,1.60M,,-4.90M,-1.40M,20.00M,,0.00,-1.50M,,0.00,,1.60M,,,,,,,,
1995-09,31.80M,,,,,,-6.60M,31.60M,31.60M,2.40M,,,,,6.00M,-6.10M,,-1.90M,-3.70M,14.80M,,3.10M,,68.30M,,-45.20M,,-45.20M,,,,-16.10M,-61.30M,,,,0.20M,1.40M,,1.40M,,-4.90M,0.10M,-3.20M,,0.00,3.80M,,0.00,,1.40M,,,,,,,,
1995-06,26.20M,,,,,,-3.40M,28.90M,28.90M,1.40M,,,,,0.30M,-7.10M,,-1.10M,,-11.80M,,-20.00M,,33.40M,,-44.90M,,-44.90M,,,,-5.60M,-50.50M,,,,16.50M,1.10M,,1.10M,,-4.80M,0.00,12.80M,,0.00,-4.30M,,0.00,,1.10M,,,,,,,,
1995-03,27.00M,,,,,,-10.60M,28.00M,28.00M,0.70M,,,,,-5.40M,4.20M,,6.90M,,16.90M,,28.00M,,67.70M,,-53.50M,,-53.50M,,,,5.30M,-48.20M,,,,-13.80M,2.40M,,2.40M,,-4.80M,0.10M,-16.10M,,7.20M,3.40M,,0.00,,2.40M,,,,,,,,
1994-12,34.90M,,,,,,-20.20M,26.50M,26.50M,13.00M,,,,,-0.30M,-0.50M,,2.10M,,-9.30M,,-7.70M,,46.20M,,-53.40M,,-53.40M,,,,6.10M,-47.30M,,,,-7.90M,2.20M,,2.20M,,-4.30M,1.10M,-8.90M,,0.00,-10.00M,,0.00,,2.20M,,,,,,,,
1994-09,24.60M,,,,,,-4.80M,27.60M,27.60M,-2.50M,,,,,3.80M,-3.80M,,5.70M,,12.50M,,14.40M,,63.10M,,-57.00M,,-57.00M,,,,-0.10M,-57.10M,,,,-11.10M,0.90M,,0.90M,,-4.30M,0.90M,-13.60M,,0.00,-7.60M,,0.00,,0.90M,,,,,,,,
1994-06,21.50M,,,,,,-3.70M,25.10M,25.10M,-4.60M,,,,,4.80M,0.70M,,7.00M,,6.90M,,14.60M,,57.70M,,-40.80M,,-40.80M,,,,-26.00M,-66.80M,,,,28.50M,0.80M,,0.80M,,-4.30M,0.40M,25.40M,,0.00,16.30M,,0.00,,0.80M,,,,,,,,
1994-03,19.20M,,,,,,-2.90M,24.40M,24.40M,1.50M,,,,,0.10M,2.00M,,-17.20M,,5.70M,,-9.50M,,32.80M,,-49.60M,,-49.60M,,,,-59.50M,-109.10M,,,,78.40M,0.90M,,0.90M,,-4.30M,-0.10M,74.90M,,9.80M,-1.40M,,0.00,,0.90M,,,,,,,,
1993-12,19.10M,,,,,,-2.70M,22.50M,22.50M,11.40M,,,,,2.80M,-0.90M,,-4.30M,0.40M,-10.10M,,-14.90M,,38.20M,,-58.70M,,-58.70M,,,,-1.10M,-59.80M,,,,1.40M,0.80M,,0.80M,,-3.90M,1.10M,-0.60M,,0.00,-22.20M,,0.00,,0.80M,,,,,,,,
1993-09,17.60M,,,,,,-2.60M,22.70M,22.70M,-1.60M,,,,,6.50M,-10.50M,,16.80M,-0.40M,5.00M,,10.90M,,53.50M,,-63.80M,,-63.80M,,,7.10M,-9.60M,-66.30M,,,,30.50M,0.80M,,0.80M,,-4.00M,0.40M,27.70M,,0.00,14.90M,,0.00,,0.80M,,,,,,,,
1993-06,16.60M,,,,,,-1.70M,21.30M,21.30M,-1.70M,,,,,-0.10M,-3.20M,,5.20M,-0.30M,-3.30M,,-1.60M,,32.80M,,-51.90M,,-51.90M,,,-0.30M,-51.30M,-103.50M,,,,64.00M,0.90M,,0.90M,,-4.00M,0.70M,61.60M,,0.00,-9.10M,,0.00,,0.90M,,,,,,,,
1993-03,15.70M,,,,,,-2.30M,19.70M,19.70M,-1.20M,,,,,0.10M,7.60M,,-6.70M,0.30M,9.10M,,10.30M,,42.30M,,-29.80M,,-29.80M,,,-6.80M,-0.30M,-36.90M,,,,13.40M,1.00M,,1.00M,,-3.80M,0.40M,11.00M,,9.80M,16.40M,,0.00,,1.00M,,,,,,,,
1992-12,20.20M,,,,,,,19.50M,19.50M,2.90M,,,,,,-0.90M,,-2.60M,0.10M,1.20M,,-2.20M,,34.20M,,-47.50M,,-42.50M,,,16.20M,-19.60M,-45.90M,,,,-9.90M,1.30M,,1.30M,,-3.50M,-1.00M,-13.10M,,0.00,-24.80M,,0.00,,1.30M,,,,,,,,
1992-09,15.40M,,,,,,,18.10M,18.10M,-1.90M,,,,,,-2.20M,,4.80M,-0.20M,5.20M,,7.60M,,39.20M,,-35.50M,,-35.50M,,,-6.20M,6.30M,-35.40M,,,,-72.40M,1.60M,70.80M,72.40M,,-3.60M,,-3.60M,,0.00,0.20M,,0.00,,1.60M,,,70.80M,,,,,
1992-06,12.90M,,,,,,,18.10M,18.10M,-1.20M,,,,,,0.00,,4.20M,-0.80M,1.10M,,4.50M,,34.30M,,-36.60M,,-36.60M,,,,-118.00M,-154.60M,,,,87.00M,1.60M,-8.60M,-7.00M,,-3.50M,-0.10M,76.40M,,0.00,-43.90M,,0.00,,1.60M,,,-8.60M,,,,,
1992-03,11.50M,,,,,,,15.10M,15.10M,-1.20M,,,,,,0.80M,,5.30M,,7.10M,,13.20M,,38.60M,,-20.50M,,-20.50M,,,,-14.80M,-35.30M,,,,124.60M,4.30M,-62.20M,-57.90M,,-3.50M,0.10M,63.30M,,11.60M,66.60M,,0.00,,4.30M,,,-62.20M,,,,,
1991-12,12.20M,,,,,,,15.70M,15.70M,-1.10M,,,,,0.70M,-1.60M,,1.40M,1.00M,-2.40M,,-1.60M,,25.90M,,-33.60M,,-33.60M,,,,-2.60M,-36.20M,,,,-48.90M,1.80M,36.40M,38.20M,,-3.40M,1.40M,-12.70M,,0.00,-23.00M,,0.00,,1.80M,,,36.40M,,,,,
1991-09,10.00M,,,,,,,14.30M,14.30M,-0.10M,,,,,-0.10M,-1.50M,,4.10M,-0.40M,4.60M,,6.80M,,30.90M,,-24.50M,,-24.50M,,,,-14.80M,-39.30M,,,,36.00M,2.30M,-18.80M,-16.50M,,-3.30M,0.60M,16.80M,,0.00,8.40M,,0.00,,2.30M,,,-18.80M,,,,,
1991-06,8.30M,,,,,,,14.10M,14.10M,0.10M,,,,,0.20M,-5.60M,,2.70M,-0.40M,-5.10M,,-8.40M,,14.30M,,-20.20M,,-20.20M,,,,-3.90M,-24.10M,,,,26.40M,1.00M,-12.70M,-11.70M,,-3.40M,0.90M,12.20M,,0.00,2.40M,,0.00,,1.00M,,,-12.70M,,,,,
1991-03,6.90M,,,,,,,13.20M,13.20M,0.80M,,,,,-0.10M,2.30M,,-3.60M,-0.10M,3.40M,,2.00M,,22.80M,,-17.40M,,-17.40M,,,,-7.20M,-24.60M,,,,,1.30M,-4.90M,-3.60M,,-3.30M,,-6.90M,,32.60M,-8.70M,,0.00,,1.30M,,,-4.90M,,,,,
1990-12,8.20M,,,,,,0.00,13.80M,13.80M,1.20M,,,,,3.20M,-0.50M,,0.10M,0.70M,-6.30M,,-6.00M,,20.40M,,-21.60M,,-16.80M,,,-4.80M,-4.90M,-26.50M,,,,3.50M,1.70M,,1.70M,,-3.30M,0.20M,2.10M,,0.00,-4.00M,,0.00,,1.70M,,,,,,,,
1990-09,7.50M,,,,,,0.00,12.10M,12.10M,,,,,,-1.10M,-3.30M,,0.70M,-0.30M,5.80M,,2.90M,,21.40M,,-21.10M,,-21.10M,,,5.70M,-4.80M,-20.20M,,,,-6.80M,0.80M,,0.80M,,-3.20M,0.00,-9.20M,,0.00,-8.00M,,0.00,,0.80M,,,,,,,,
1990-06,8.60M,,,,,,-3.60M,13.40M,13.40M,-0.20M,,,,,0.00,0.40M,,0.20M,-0.20M,0.80M,,1.20M,,19.40M,,-13.30M,,-13.30M,,,-1.70M,6.00M,-9.00M,,,,-15.90M,2.30M,,2.30M,,-3.30M,0.10M,-16.80M,,0.00,-6.40M,,0.00,,2.30M,,,,,,,,
1990-03,6.80M,,,,,,-0.50M,12.80M,12.80M,0.20M,,,,,-0.10M,-0.50M,,0.90M,-0.20M,6.20M,,6.40M,,25.60M,,-9.40M,,-9.40M,,,0.80M,-5.90M,-14.50M,,,,-2.10M,1.20M,,1.20M,,-3.20M,,-4.10M,,44.00M,7.00M,,0.00,,1.20M,,,,,,,,
