,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,2.279B,2.279B,1.929B,1.929B,239.50M,139.00M,1.482B,1.860B,310.70M,,,13.75B,0.00,69.00M,472.50M,1.544B,,2.085B,-1.156B,929.00M,6.836B,10.10B,16.93B,215.90M,367.80M,18.44B,32.19B,,1.017B,62.30M,1.080B,1.028B,2.107B,,1.202B,1.202B,,1.202B,,,913.70M,4.343B,9.301B,,9.301B,3.098B,3.098B,32.90M,,1.458B,13.86B,18.20B,,509.30M,4.624B,10.40B,584.30M,,,,-990.20M,13.96B,,AOR,Restated
2018-03,459.00M,459.00M,2.346B,2.346B,388.40M,277.50M,1.919B,2.585B,427.30M,,,8.471B,0.00,109.80M,775.90M,2.624B,,3.510B,-1.945B,1.565B,9.672B,13.14B,22.82B,224.90M,393.20M,25.00B,33.47B,,1.398B,70.10M,1.468B,1.300B,2.768B,,1.533B,1.533B,,1.533B,230.90M,230.90M,225.90M,4.918B,9.624B,,9.624B,3.281B,3.281B,36.40M,,1.480B,14.38B,19.30B,,508.80M,4.542B,10.37B,580.20M,,,,-711.70M,14.13B,,AOR,Restated
2017-12,485.70M,485.70M,1.879B,1.879B,208.90M,147.90M,1.306B,1.662B,327.90M,,,10.73B,0.00,72.40M,491.40M,1.523B,,2.087B,-1.114B,972.40M,6.873B,10.20B,17.07B,144.80M,4.22B,22.41B,33.14B,,1.227B,220.90M,1.448B,1.024B,2.471B,,661.80M,661.80M,,661.80M,,,1.689B,4.908B,9.889B,,9.889B,2.553B,2.553B,36.60M,,1.362B,14.05B,18.95B,,508.10M,4.611B,10.36B,573.50M,,,,-763.10M,14.14B,,AOR,Restated
2017-09,792.30M,792.30M,2.916B,2.916B,449.40M,244.80M,2.167B,2.862B,375.50M,,,6.949B,0.00,108.80M,728.30M,2.704B,,3.542B,-1.866B,1.675B,10.53B,14.31B,24.83B,35.40M,394.00M,26.94B,33.89B,,1.699B,140.70M,1.840B,1.262B,3.102B,,1.291B,1.291B,,1.291B,75.40M,75.40M,79.80M,4.774B,10.18B,,10.18B,4.888B,4.888B,35.60M,,1.271B,16.34B,21.12B,,513.00M,3.068B,10.50B,573.20M,,,,-771.60M,12.73B,,AOR,Restated
2017-06,780.20M,780.20M,2.989B,2.989B,431.00M,238.70M,1.980B,2.650B,353.30M,,,7.131B,0.00,107.30M,711.60M,2.632B,,3.451B,-1.798B,1.653B,10.46B,14.27B,24.73B,39.30M,398.10M,26.82B,33.95B,,1.719B,183.80M,1.903B,1.323B,3.226B,,,1.221B,,1.221B,,,117.30M,4.791B,10.17B,,10.17B,4.930B,4.930B,33.80M,,1.777B,16.88B,21.67B,,506.30M,2.947B,10.19B,572.80M,,,,-825.00M,12.24B,,AOR,Restated
2017-03,687.50M,687.50M,2.560B,2.560B,391.50M,267.90M,1.817B,2.477B,298.40M,,,6.489B,0.00,104.90M,683.10M,2.518B,,3.306B,-1.742B,1.564B,10.32B,14.01B,24.33B,91.40M,860.20M,26.85B,33.34B,,1.397B,328.50M,1.725B,1.451B,3.177B,,,852.50M,,852.50M,,,95.10M,4.318B,10.33B,,10.33B,4.884B,4.884B,34.20M,,1.771B,16.99B,21.31B,,505.80M,2.836B,10.17B,563.70M,,,,-948.70M,12.00B,,AOR,Restated
2016-12,587.50M,587.50M,2.747B,2.747B,350.70M,236.10M,1.529B,2.116B,288.40M,,,7.484B,0.00,108.40M,653.00M,2.455B,,3.216B,-1.673B,1.543B,10.22B,14.11B,24.33B,95.30M,383.60M,26.35B,33.84B,,1.519B,64.90M,1.584B,1.198B,2.782B,,601.90M,601.90M,,601.90M,187.50M,187.50M,355.20M,4.292B,11.29B,,11.29B,5.083B,5.083B,35.60M,,1.787B,18.16B,22.45B,,504.80M,2.290B,10.14B,545.30M,,,,-1.045B,11.35B,,AOR,Restated
2016-09,670.00M,670.00M,2.773B,2.773B,414.40M,234.30M,1.785B,2.434B,291.70M,,,7.880B,0.00,107.10M,654.30M,2.405B,,3.166B,-1.652B,1.514B,10.44B,14.13B,24.57B,,452.70M,26.54B,34.42B,,1.434B,77.50M,1.511B,1.271B,2.783B,,,704.50M,,704.50M,,,207.80M,4.066B,12.04B,,12.04B,5.050B,5.050B,35.10M,,1.794B,18.89B,22.95B,,503.30M,2.216B,10.13B,544.60M,,,,-881.00M,11.43B,,AOR,Restated
2016-06,627.30M,627.30M,2.877B,2.877B,442.20M,245.00M,2.222B,2.909B,406.60M,,,6.819B,0.00,105.00M,696.20M,2.559B,,3.360B,-1.651B,1.709B,11.98B,12.95B,24.93B,64.90M,427.90M,27.14B,33.96B,,1.567B,74.20M,1.641B,1.218B,2.859B,,,943.00M,,943.00M,,,,4.185B,12.04B,,12.04B,4.559B,4.559B,32.40M,,1.823B,18.43B,22.61B,,503.10M,2.122B,10.11B,544.00M,,,,-881.20M,11.31B,,AOR,Restated
2016-03,8.181B,8.181B,1.188B,1.188B,122.90M,131.80M,616.80M,871.50M,146.00M,,,10.49B,,,,,624.50M,624.50M,,624.50M,2.802B,1.086B,3.888B,38.50M,293.40M,4.844B,15.33B,,657.10M,6.70M,663.80M,595.40M,1.259B,,,768.70M,,768.70M,,,44.70M,2.195B,10.61B,,10.61B,203.90M,203.90M,3.50M,,548.70M,11.36B,13.55B,,289.10M,2.081B,822.30M,542.60M,,,,-874.20M,1.775B,,AOR,Restated
2015-12,274.80M,274.80M,1.251B,1.251B,117.30M,108.00M,496.50M,721.80M,147.80M,,,2.494B,0.00,20.20M,350.80M,1.744B,,2.115B,-1.516B,599.20M,2.791B,1.064B,3.855B,38.50M,273.40M,4.766B,7.260B,,642.40M,67.40M,709.80M,661.50M,1.371B,,,388.80M,,388.80M,,,43.30M,1.989B,2.669B,,2.669B,226.60M,226.60M,3.50M,,548.80M,3.444B,5.433B,,287.50M,2.091B,801.40M,523.10M,,,,-833.80M,1.823B,,AOR,Restated
2015-09,266.20M,266.20M,1.171B,1.171B,121.90M,129.50M,647.40M,898.80M,116.50M,133.60M,,2.586B,,,,,594.10M,594.10M,,594.10M,2.496B,860.10M,3.356B,,257.80M,4.208B,6.794B,,679.30M,,679.30M,626.90M,1.306B,,,637.40M,,637.40M,,,,2.141B,2.097B,,2.097B,256.00M,256.00M,3.50M,,511.40M,2.864B,5.006B,,287.30M,2.142B,786.00M,521.50M,,,,-908.70M,1.785B,,AOR,Restated
2015-06,238.70M,238.70M,1.304B,1.304B,141.40M,132.50M,661.70M,935.60M,144.90M,129.40M,,2.753B,,,,,572.00M,572.00M,,572.00M,2.492B,870.60M,3.362B,,271.30M,4.206B,6.959B,,756.70M,,756.70M,605.80M,1.362B,,,782.60M,,782.60M,,,,2.306B,2.081B,,2.081B,235.30M,235.30M,3.50M,,553.00M,2.869B,5.176B,,288.00M,2.098B,774.90M,520.80M,,,,-860.20M,1.780B,,AOR,Restated
2015-03,215.40M,215.40M,1.053B,1.053B,143.40M,124.70M,584.20M,852.30M,179.20M,122.90M,,2.423B,,,,,563.30M,563.30M,,563.30M,2.475B,877.20M,3.352B,,266.50M,4.182B,6.605B,,615.60M,,615.60M,563.90M,1.180B,,,740.40M,,740.40M,,,,2.044B,2.094B,,2.094B,231.10M,231.10M,3.50M,,536.20M,2.861B,4.906B,,288.90M,2.047B,766.30M,519.00M,,,,-887.60M,1.696B,,AOR,Restated
2014-12,199.40M,199.40M,1.248B,1.248B,117.90M,104.50M,486.10M,708.50M,136.10M,,,2.292B,0.00,21.30M,342.90M,1.767B,,2.132B,-1.572B,559.10M,2.546B,887.20M,3.433B,39.10M,240.70M,4.272B,6.564B,,674.10M,6.80M,680.90M,613.80M,1.295B,,,397.40M,,397.40M,,,,1.889B,2.084B,,2.084B,105.70M,105.70M,3.50M,,630.60M,2.821B,4.709B,,288.70M,2.111B,739.00M,493.10M,,,,-794.40M,1.851B,,AOR,Restated
2014-09,132.60M,132.60M,1.158B,1.158B,127.30M,115.20M,546.90M,789.40M,152.30M,144.80M,,2.377B,,,,,525.30M,525.30M,,525.30M,2.440B,733.60M,3.173B,,273.40M,3.972B,6.349B,,579.10M,,579.10M,668.20M,1.247B,,,768.10M,,768.10M,,,,2.189B,1.419B,,1.419B,,,3.50M,,712.80M,2.132B,4.320B,,290.60M,2.197B,718.30M,491.50M,,,,-689.10M,2.026B,,AOR,Restated
2014-06,142.70M,142.70M,1.230B,1.230B,135.00M,119.40M,557.40M,811.80M,138.20M,135.50M,,2.459B,,,,,543.00M,543.00M,,543.00M,2.358B,596.70M,2.955B,,261.50M,3.760B,6.218B,,592.90M,,592.90M,597.20M,1.190B,,,640.70M,,640.70M,,,,1.986B,1.424B,,1.424B,,,3.50M,,703.90M,2.128B,4.114B,,293.20M,2.215B,703.00M,490.30M,,,,-620.70M,2.100B,,AOR,Restated
2014-03,136.80M,136.80M,973.10M,973.10M,134.10M,129.00M,538.20M,801.30M,198.80M,121.30M,,2.231B,,,,,541.30M,541.30M,,541.30M,2.362B,606.50M,2.968B,,252.80M,3.763B,5.994B,,542.80M,,542.80M,561.70M,1.104B,,,319.50M,,319.50M,,,,1.553B,1.667B,,1.667B,,,3.50M,,700.90M,2.368B,3.920B,,296.00M,2.213B,686.00M,489.10M,,,,-635.70M,2.07B,,AOR,Restated
2013-12,226.30M,226.30M,1.105B,1.105B,123.50M,107.00M,453.90M,684.40M,135.40M,134.40M,,2.286B,0.00,27.00M,375.00M,1.725B,,2.127B,-1.588B,539.60M,2.361B,614.50M,2.976B,,268.90M,3.784B,6.070B,,558.90M,,558.90M,657.00M,1.216B,,,174.80M,,174.80M,,,,1.604B,1.662B,,1.662B,108.30M,108.30M,3.50M,,620.30M,2.390B,3.995B,,297.50M,2.242B,654.30M,477.20M,,,,-645.20M,2.072B,,AOR,Restated
2013-09,197.40M,197.40M,1.057B,1.057B,143.90M,129.30M,549.40M,822.60M,154.40M,152.90M,,2.384B,,,,,523.10M,523.10M,,523.10M,2.351B,619.20M,2.971B,,275.00M,3.769B,6.153B,,575.10M,,575.10M,651.80M,1.227B,,,30.10M,,30.10M,,,,1.443B,1.671B,,1.671B,,,3.50M,,845.90M,2.517B,3.960B,,306.00M,2.416B,720.70M,475.80M,,,,-777.50M,2.190B,,AOR,Restated
2013-06,154.10M,154.10M,1.215B,1.215B,150.70M,142.10M,591.90M,884.70M,190.20M,155.90M,,2.600B,,,,,533.40M,533.40M,,533.40M,2.346B,638.00M,2.984B,,284.90M,3.803B,6.403B,,658.10M,,658.10M,608.40M,1.266B,,,413.20M,,413.20M,,,,1.841B,1.669B,,1.669B,,,3.50M,,852.00M,2.521B,4.362B,,306.50M,2.308B,705.80M,464.30M,,,,-818.60M,2.037B,,AOR,Restated
2013-03,174.20M,174.20M,1.021B,1.021B,142.90M,142.70M,529.40M,815.00M,190.70M,155.40M,,2.357B,,,,,549.50M,549.50M,,549.50M,2.340B,642.60M,2.983B,,308.10M,3.841B,6.197B,,570.10M,,570.10M,556.50M,1.127B,,,413.00M,,413.00M,,,,1.675B,1.700B,,1.700B,,,3.50M,,834.40M,2.534B,4.209B,,307.00M,2.276B,677.10M,463.90M,,,,-811.00M,1.985B,,AOR,Restated
2012-12,183.80M,183.80M,1.112B,1.112B,126.60M,109.30M,460.50M,696.40M,142.70M,135.80M,,2.271B,0.00,27.50M,368.10M,1.749B,,2.144B,-1.584B,560.20M,2.370B,654.10M,3.024B,85.20M,281.20M,3.951B,6.222B,,527.40M,,527.40M,612.20M,1.140B,,,211.90M,,211.90M,,,,1.571B,1.706B,,1.706B,,,3.50M,,944.50M,2.651B,4.222B,,304.70M,2.295B,634.10M,448.00M,,,,-789.00M,1.997B,,AOR,Restated
2012-09,250.10M,250.10M,1.074B,1.074B,142.60M,128.30M,551.90M,822.80M,161.30M,115.80M,,2.424B,,,,,,,,549.60M,2.356B,661.40M,3.017B,,372.30M,3.939B,6.363B,,530.00M,,530.00M,623.40M,1.153B,,,798.00M,,798.00M,,,,2.146B,1.366B,,1.366B,,,3.50M,,784.20M,2.150B,4.296B,,305.30M,2.259B,623.00M,447.50M,,,,-676.10M,2.063B,,AOR,Restated
2012-06,370.80M,370.80M,1.106B,1.106B,149.80M,140.40M,569.80M,860.00M,161.40M,160.80M,,2.659B,,,,,,,,551.70M,2.353B,665.00M,3.018B,,362.30M,3.932B,6.591B,,798.50M,,798.50M,361.00M,1.160B,,,1.122B,,1.122B,,,,2.448B,1.372B,,1.372B,,,3.50M,,795.40M,2.168B,4.616B,,306.50M,2.201B,616.80M,446.70M,,,,-706.30M,1.971B,,AOR,Restated
2012-03,190.10M,190.10M,942.20M,942.20M,148.60M,135.50M,574.80M,858.90M,144.40M,156.40M,,2.292B,,,,,,,,561.60M,2.387B,673.10M,3.060B,,375.30M,3.997B,6.289B,,733.10M,,733.10M,335.10M,1.068B,,,509.70M,,509.70M,,,108.90M,1.728B,1.803B,,1.803B,,,3.50M,,806.70M,2.610B,4.338B,,307.60M,2.153B,594.70M,446.40M,,,,-661.30M,1.947B,,AOR,Restated
2011-12,170.20M,170.20M,1.002B,1.002B,130.80M,105.60M,463.50M,699.90M,145.20M,130.70M,,2.148B,0.00,28.50M,381.00M,1.743B,,2.153B,-1.602B,551.40M,2.366B,666.10M,3.032B,120.20M,309.20M,4.013B,6.161B,,468.50M,,468.50M,638.90M,1.107B,,,367.50M,,367.50M,,,,1.661B,1.809B,,1.809B,,,3.50M,,838.10M,2.647B,4.308B,,305.30M,2.097B,586.30M,432.80M,,,,-707.00M,1.849B,,AOR,Restated
2011-09,138.90M,138.90M,985.90M,985.90M,157.60M,130.40M,585.20M,873.20M,126.40M,164.50M,,2.289B,,,,,,,,537.30M,2.359B,663.40M,3.022B,,363.20M,3.923B,6.212B,,522.90M,,522.90M,627.90M,1.151B,,,503.30M,,503.30M,,,,1.776B,1.811B,,1.811B,,,3.50M,,726.00M,2.537B,4.313B,,306.40M,2.040B,592.30M,430.70M,,,,-613.20M,1.895B,,AOR,Restated
2011-06,143.60M,143.60M,1.140B,1.140B,156.10M,140.10M,637.00M,933.20M,147.70M,167.80M,,2.532B,,,,,,,,544.60M,2.800B,668.40M,3.469B,,346.90M,4.360B,6.892B,,659.10M,,659.10M,741.20M,1.400B,,,722.70M,,722.70M,,,,2.123B,1.806B,,1.806B,,,3.50M,,779.30M,2.585B,4.708B,,308.30M,2.242B,603.10M,430.70M,,,,-541.00M,2.181B,,AOR,Restated
2011-03,139.70M,139.70M,967.20M,967.20M,149.80M,140.30M,554.60M,844.70M,171.20M,181.40M,,2.304B,,,,,,,,535.20M,2.792B,662.60M,3.454B,,343.40M,4.333B,6.637B,,548.90M,,548.90M,720.00M,1.269B,,,736.10M,,736.10M,,,,2.005B,1.796B,,1.796B,,,3.50M,,797.20M,2.594B,4.598B,,308.10M,2.118B,594.40M,430.20M,,,,-555.20M,2.035B,,AOR,Restated
2010-12,139.60M,139.60M,997.90M,997.90M,116.80M,101.00M,483.80M,701.60M,113.70M,179.20M,,2.132B,0.00,32.40M,370.00M,1.710B,,2.112B,-1.583B,529.30M,2.750B,648.30M,3.398B,,346.20M,4.273B,6.405B,,472.50M,,472.50M,888.40M,1.361B,,,305.00M,,305.00M,,,,1.666B,2.064B,,2.064B,,,3.50M,,770.00M,2.834B,4.500B,,307.20M,2.057B,568.20M,425.70M,,,,-605.00M,1.902B,,AOR,Restated
2010-09,153.50M,153.50M,1.005B,1.005B,142.60M,124.50M,564.10M,831.20M,127.60M,208.30M,,2.326B,,,,,,,,533.40M,2.752B,645.90M,3.398B,,312.90M,4.245B,6.570B,,553.40M,,553.40M,870.00M,1.423B,,,460.90M,,460.90M,,,,1.884B,2.096B,,2.096B,19.60M,19.60M,3.50M,,696.90M,2.813B,4.697B,,306.90M,1.996B,559.60M,424.60M,,,,-568.70M,1.869B,,AOR,Restated
2010-06,259.80M,259.80M,1.038B,1.038B,158.70M,129.80M,513.90M,802.40M,105.30M,195.70M,,2.401B,,,,,,,,536.30M,2.702B,636.60M,3.338B,,289.10M,4.164B,6.564B,,597.20M,,597.20M,773.00M,1.370B,,,394.00M,,394.00M,,,,1.764B,2.049B,,2.049B,25.70M,25.70M,3.50M,,826.40M,2.901B,4.666B,,294.90M,1.982B,688.10M,424.00M,,,,-645.10M,1.895B,,AOR,Restated
2010-03,253.00M,253.00M,915.80M,915.80M,120.70M,149.00M,458.90M,728.60M,151.50M,187.90M,,2.237B,,,,,,,,550.20M,2.730B,642.80M,3.373B,,256.20M,4.179B,6.416B,,501.30M,,501.30M,707.50M,1.209B,,,495.30M,,495.30M,,,,1.704B,2.013B,,2.013B,18.20M,18.20M,3.50M,,864.80M,2.896B,4.600B,,294.70M,1.865B,679.90M,423.80M,,,,-603.90M,1.812B,,AOR,Restated
2009-12,278.30M,278.30M,894.10M,894.10M,118.50M,141.60M,428.10M,688.20M,137.70M,183.80M,,2.182B,0.00,39.40M,414.70M,1.724B,,2.178B,-1.600B,578.10M,2.754B,646.20M,3.400B,,263.20M,4.242B,6.424B,,433.60M,,433.60M,832.40M,1.266B,,,493.50M,,493.50M,,,,1.760B,2.015B,,2.015B,,,3.50M,,866.90M,2.882B,4.642B,,294.00M,1.821B,669.80M,420.60M,,,,-585.20M,1.779B,,AOR,Restated
2009-09,313.00M,313.00M,943.70M,943.70M,130.50M,164.70M,488.30M,783.50M,93.50M,128.70M,,2.262B,,,,,,,,596.90M,2.759B,647.70M,3.407B,20.50M,336.40M,4.361B,6.623B,,454.10M,,454.10M,843.00M,1.297B,,,634.30M,,634.30M,,,,1.931B,2.033B,,2.033B,,,3.50M,,817.90M,2.850B,4.782B,,293.90M,1.774B,660.30M,420.50M,,,,-470.00M,1.838B,,AOR,Restated
2009-06,418.10M,418.10M,1.096B,1.096B,132.10M,180.80M,535.50M,848.40M,110.50M,129.60M,,2.603B,,,,,,,,603.10M,2.722B,645.60M,3.368B,15.90M,326.80M,4.313B,6.916B,,460.80M,,460.80M,771.00M,1.232B,7.10M,627.10M,634.20M,,634.20M,,,,1.866B,2.394B,,2.394B,,,,,873.90M,3.267B,5.133B,,293.90M,1.703B,653.00M,420.40M,,,,-449.90M,1.783B,,AOR,Restated
2009-03,755.90M,755.90M,874.70M,874.70M,135.70M,198.00M,593.80M,927.50M,142.20M,107.80M,,2.808B,,,,,,,,606.90M,2.673B,637.00M,3.310B,86.00M,326.50M,4.329B,7.137B,,444.40M,,444.40M,795.40M,1.240B,8.10M,752.30M,760.40M,,760.40M,,,,2.000B,2.679B,,2.679B,,,,,840.70M,3.520B,5.520B,,293.80M,1.611B,645.70M,420.30M,,,,-513.30M,1.618B,,AOR,Restated
2008-12,275.40M,275.40M,969.30M,969.30M,143.30M,174.80M,594.00M,912.10M,136.60M,100.40M,,2.394B,0.00,44.40M,412.80M,1.795B,,2.252B,-1.622B,630.70M,2.699B,640.50M,3.339B,,428.60M,4.399B,6.792B,,535.50M,,535.50M,937.60M,1.473B,,,761.00M,,761.00M,,,,2.234B,2.118B,,2.118B,0.00,0.00,2.60M,,851.50M,2.970B,5.204B,,293.10M,1.607B,606.70M,418.00M,,,,-502.40M,1.586B,,,Restated
2008-09,220.60M,220.60M,1.145B,1.145B,174.10M,210.50M,676.10M,1.061B,122.30M,129.60M,,2.678B,,,,,,2.295B,-1.639B,656.00M,3.035B,656.80M,3.692B,,232.70M,4.580B,7.258B,,608.10M,,608.10M,910.00M,1.518B,27.30M,542.40M,569.70M,,569.70M,,,36.10M,2.124B,2.297B,,2.297B,38.70M,38.70M,,,566.90M,2.902B,5.026B,,293.10M,1.950B,599.70M,418.00M,,-25.00M,-167.60M,-192.60M,2.232B,,,
