,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2015-06,1.203B,1.203B,173.00M,1.03B,123.00M,98.00M,221.00M,296.00M,1.00M,,,,-3.00M,,518.00M,512.00M,,,-3.00M,,-3.00M,509.00M,67.00M,442.00M,,561.00M,49.00M,512.00M,,2015-06,1.42,1.42,,2015-06,1.32,1.32,,2015-06,,2015-06,AOR,Restated
2015-03,1.185B,1.185B,234.00M,951.00M,165.00M,99.00M,264.00M,285.00M,3.00M,1.00M,,,-1.00M,,552.00M,399.00M,,,-1.00M,-1.00M,-1.00M,397.00M,2.00M,395.00M,,462.00M,55.00M,407.00M,,2015-03,1.267,1.27,,2015-03,1.19,1.19,,2015-03,,2015-03,AOR,Restated
2014-12,1.126B,1.126B,401.00M,725.00M,169.00M,107.00M,276.00M,283.00M,4.00M,0.00,,,-6.00M,,563.00M,162.00M,,,-6.00M,,-6.00M,156.00M,14.00M,142.00M,,215.00M,53.00M,162.00M,,2014-12,0.46,0.46,,2014-12,0.44,0.44,,2014-12,,2014-12,AOR,Restated
2014-09,990.00M,990.00M,427.00M,563.00M,183.00M,92.00M,275.00M,261.00M,4.00M,1.00M,,,-6.00M,,540.00M,23.00M,,,-6.00M,1.00M,-6.00M,18.00M,15.00M,3.00M,,79.00M,56.00M,23.00M,,2014-09,0.0079,0.01,,2014-09,0.01,0.01,,2014-09,,2014-09,AOR,Restated
2014-06,1.214B,1.214B,367.00M,847.00M,130.00M,88.00M,218.00M,265.00M,3.00M,1.00M,7.00M,,-8.00M,,486.00M,361.00M,,7.00M,-8.00M,1.00M,-8.00M,354.00M,19.00M,335.00M,,417.00M,56.00M,361.00M,,2014-06,1.067,1.07,,2014-06,1.04,1.04,,2014-06,,2014-06,AOR,Restated
2014-03,1.123B,1.123B,223.00M,900.00M,155.00M,105.00M,260.00M,289.00M,4.00M,-3.00M,10.00M,,-2.00M,,553.00M,347.00M,,10.00M,-2.00M,-8.00M,-2.00M,337.00M,-30.00M,367.00M,,404.00M,57.00M,347.00M,,2014-03,1.186,1.18,,2014-03,1.15,1.15,,2014-03,,2014-03,AOR,Restated
2013-12,808.00M,808.00M,517.00M,291.00M,214.00M,91.00M,305.00M,275.00M,4.00M,1.00M,7.00M,,-8.00M,,584.00M,-293.00M,,7.00M,-8.00M,3.00M,-8.00M,-298.00M,10.00M,-308.00M,,-233.00M,58.00M,-291.00M,,2013-12,-1.002,-1.00,,2013-12,-1.00,-1.00,,2013-12,,2013-12,AOR,Restated
2013-09,695.00M,695.00M,413.00M,282.00M,164.00M,129.00M,293.00M,283.00M,4.00M,46.00M,7.00M,,-8.00M,,580.00M,-298.00M,,7.00M,-8.00M,46.00M,-8.00M,-260.00M,13.00M,-273.00M,,-197.00M,56.00M,-253.00M,,2013-09,-0.9871,-0.89,,2013-09,-0.89,-0.89,,2013-09,,2013-09,AOR,Restated
2013-06,949.00M,949.00M,194.00M,755.00M,147.00M,85.00M,232.00M,278.00M,4.00M,-8.00M,7.00M,,-7.00M,,514.00M,241.00M,,7.00M,-7.00M,-6.00M,-7.00M,228.00M,6.00M,222.00M,,291.00M,56.00M,235.00M,,2013-06,0.7556,0.73,,2013-06,0.71,0.71,,2013-06,,2013-06,AOR,Restated
2013-03,1.209B,1.209B,309.00M,900.00M,198.00M,96.00M,294.00M,287.00M,9.00M,-1.00M,10.00M,,-2.00M,,590.00M,310.00M,,10.00M,-2.00M,22.00M,-2.00M,330.00M,7.00M,323.00M,,426.00M,86.00M,340.00M,,2013-03,0.9920,1.07,,2013-03,1.05,1.05,,2013-03,,2013-03,AOR,Restated
2012-12,922.00M,922.00M,429.00M,493.00M,220.00M,70.00M,290.00M,278.00M,7.00M,43.00M,7.00M,,-7.00M,,575.00M,-82.00M,,7.00M,-7.00M,56.00M,-7.00M,-33.00M,12.00M,-45.00M,,40.00M,66.00M,-26.00M,,2012-12,-0.2719,-0.15,,2012-12,-0.15,-0.15,,2012-12,,2012-12,AOR,Restated
2012-09,711.00M,711.00M,445.00M,266.00M,219.00M,100.00M,319.00M,306.00M,7.00M,2.00M,6.00M,,-7.00M,,632.00M,-366.00M,,6.00M,-7.00M,5.00M,-7.00M,-368.00M,13.00M,-381.00M,,-306.00M,56.00M,-362.00M,,2012-09,-1.214,-1.21,,2012-09,-1.21,-1.21,,2012-09,,2012-09,AOR,Restated
2012-06,955.00M,955.00M,205.00M,750.00M,151.00M,88.00M,239.00M,282.00M,7.00M,-7.00M,6.00M,,-7.00M,,528.00M,222.00M,,6.00M,-7.00M,-5.00M,-7.00M,210.00M,9.00M,201.00M,,272.00M,56.00M,216.00M,,2012-06,0.6511,0.63,,2012-06,0.63,0.63,,2012-06,,2012-06,AOR,Restated
2012-03,1.368B,1.368B,374.00M,994.00M,252.00M,117.00M,369.00M,252.00M,6.00M,-2.00M,8.00M,,2.00M,,627.00M,367.00M,,8.00M,2.00M,-8.00M,2.00M,361.00M,-39.00M,400.00M,,437.00M,68.00M,369.00M,,2012-03,1.214,1.21,,2012-03,1.21,1.21,,2012-03,,2012-03,AOR,Restated
2011-12,1.061B,1.061B,552.00M,509.00M,269.00M,98.00M,367.00M,325.00M,11.00M,11.00M,7.00M,,-7.00M,,703.00M,-194.00M,,7.00M,-7.00M,8.00M,-7.00M,-193.00M,12.00M,-205.00M,,-132.00M,54.00M,-186.00M,,2011-12,-0.6415,-0.62,,2011-12,-0.62,-0.62,,2011-12,,2011-12,AOR,Restated
2011-09,715.00M,715.00M,432.00M,283.00M,222.00M,88.00M,310.00M,318.00M,13.00M,-16.00M,6.00M,,-6.00M,,641.00M,-358.00M,,6.00M,-6.00M,-16.00M,-6.00M,-380.00M,-40.00M,-340.00M,,-323.00M,51.00M,-374.00M,,2011-09,-0.9867,-1.03,,2011-09,-1.03,-1.03,,2011-09,,2011-09,AOR,Restated
2011-06,999.00M,999.00M,240.00M,759.00M,140.00M,74.00M,214.00M,285.00M,13.00M,-20.00M,0.00,3.00M,3.00M,,512.00M,247.00M,3.00M,0.00,3.00M,-20.00M,3.00M,230.00M,9.00M,221.00M,,273.00M,43.00M,230.00M,,2011-06,0.7281,0.67,,2011-06,0.66,0.66,,2011-06,,2011-06,AOR,Restated
2011-03,1.09B,1.09B,328.00M,762.00M,228.00M,70.00M,298.00M,299.00M,13.00M,18.00M,1.00M,3.00M,2.00M,,635.00M,127.00M,3.00M,1.00M,2.00M,20.00M,2.00M,149.00M,-2.00M,151.00M,,192.00M,42.00M,150.00M,,2011-03,0.4145,0.45,,2011-03,0.45,0.45,,2011-03,,2011-03,AOR,Restated
2010-12,1.053B,1.053B,586.00M,467.00M,253.00M,75.00M,328.00M,273.00M,14.00M,-154.00M,0.00,0.00,0.00,1.00M,616.00M,-149.00M,0.00,0.00,0.00,-154.00M,0.00,-303.00M,19.00M,-322.00M,,-259.00M,44.00M,-303.00M,,2010-12,-0.6685,-0.97,,2010-12,-0.97,-0.97,,2010-12,,2010-12,AOR,Restated
2010-09,631.00M,631.00M,363.00M,268.00M,173.00M,77.00M,250.00M,277.00M,15.00M,22.00M,0.00,6.00M,6.00M,,542.00M,-274.00M,6.00M,0.00,6.00M,50.00M,6.00M,-218.00M,-17.00M,-201.00M,,-172.00M,46.00M,-218.00M,,2010-09,-0.7501,-0.61,,2010-09,-0.61,-0.61,,2010-09,,2010-09,AOR,Restated
2010-06,815.00M,815.00M,222.00M,593.00M,127.00M,74.00M,201.00M,275.00M,15.00M,-4.00M,,,0.00,,491.00M,102.00M,,,0.00,-9.00M,0.00,93.00M,-3.00M,96.00M,,150.00M,48.00M,102.00M,,2010-06,0.3078,0.29,,2010-06,0.29,0.29,,2010-06,,2010-06,AOR,Restated
2010-03,979.00M,979.00M,298.00M,681.00M,171.00M,79.00M,250.00M,311.00M,15.00M,-23.00M,,,-2.00M,,576.00M,105.00M,,,-2.00M,-23.00M,-2.00M,80.00M,50.00M,30.00M,,155.00M,50.00M,105.00M,,2010-03,0.1456,0.10,,2010-03,0.10,0.10,,2010-03,,2010-03,AOR,Restated
2009-12,1.243B,1.243B,654.00M,589.00M,208.00M,84.00M,292.00M,290.00M,14.00M,-101.00M,,,-2.00M,,596.00M,-7.00M,,,-2.00M,-101.00M,-2.00M,-110.00M,-28.00M,-82.00M,,41.00M,48.00M,-7.00M,,2009-12,-0.0183,-0.25,,2009-12,-0.25,-0.25,,2009-12,,2009-12,AOR,Restated
2009-09,788.00M,788.00M,593.00M,195.00M,187.00M,91.00M,278.00M,316.00M,12.00M,-14.00M,,,7.00M,,606.00M,-411.00M,,,7.00M,-14.00M,7.00M,-418.00M,-27.00M,-391.00M,,-365.00M,46.00M,-411.00M,,2009-09,-1.170,-1.21,,2009-09,-1.21,-1.21,,2009-09,,2009-09,AOR,Restated
2009-06,644.00M,644.00M,321.00M,323.00M,164.00M,66.00M,230.00M,312.00M,12.00M,-30.00M,,,3.00M,,554.00M,-231.00M,,,3.00M,-30.00M,3.00M,-258.00M,-24.00M,-234.00M,,-183.00M,48.00M,-231.00M,,2009-06,-0.6358,-0.72,,2009-06,-0.72,-0.72,,2009-06,,2009-06,AOR,Restated
2009-03,860.00M,860.00M,349.00M,511.00M,116.00M,74.00M,190.00M,332.00M,12.00M,-48.00M,,,12.00M,,534.00M,-23.00M,,,12.00M,-48.00M,12.00M,-59.00M,-17.00M,-42.00M,,23.00M,46.00M,-23.00M,,2009-03,-0.0142,-0.12,,2009-03,-0.12,-0.12,,2009-03,,2009-03,AOR,Restated
2008-12,1.654B,1.654B,925.00M,729.00M,250.00M,82.00M,332.00M,299.00M,15.00M,-414.00M,,,14.00M,,646.00M,83.00M,,,14.00M,-414.00M,14.00M,-317.00M,324.00M,-641.00M,,131.00M,48.00M,83.00M,,2008-12,-1.162,-2.00,,2008-12,-2.00,-2.00,,2008-12,,2008-12,,Restated
2008-09,894.00M,894.00M,557.00M,337.00M,197.00M,92.00M,289.00M,372.00M,16.00M,-58.00M,,,7.00M,,677.00M,-340.00M,,,7.00M,-58.00M,7.00M,-391.00M,-81.00M,-310.00M,,-286.00M,54.00M,-340.00M,,2008-09,-0.8258,-0.97,,2008-09,-0.97,-0.97,,2008-09,,2008-09,,Restated
2008-06,804.00M,804.00M,296.00M,508.00M,128.00M,84.00M,212.00M,356.00M,15.00M,-28.00M,,,15.00M,,583.00M,-75.00M,,,15.00M,-28.00M,15.00M,-88.00M,7.00M,-95.00M,,-25.00M,50.00M,-75.00M,,2008-06,-0.2428,-0.30,,2008-06,-0.30,-0.30,,2008-06,,2008-06,,Restated
2008-03,1.128B,1.128B,463.00M,665.00M,,,218.00M,316.00M,13.00M,-278.00M,,,,,547.00M,118.00M,,,,-278.00M,,-136.00M,-43.00M,-93.00M,,167.00M,49.00M,118.00M,,2008-03,0.2997,-0.30,,2008-03,-0.30,-0.30,,2008-03,,2008-03,,
2007-12,1.503B,1.503B,782.00M,721.00M,,,308.00M,321.00M,7.00M,-78.00M,,,,,636.00M,85.00M,,,,-78.00M,,27.00M,60.00M,-33.00M,,127.00M,42.00M,85.00M,,2007-12,0.0610,-0.10,,2007-12,-0.10,-0.10,,2007-12,,2007-12,,
2007-09,640.00M,640.00M,395.00M,245.00M,,,248.00M,259.00M,7.00M,-5.00M,,,,,514.00M,-269.00M,,,,-5.00M,,-242.00M,-47.00M,-195.00M,,-232.00M,37.00M,-269.00M,,2007-09,-0.6071,-0.62,,2007-09,-0.62,-0.62,,2007-09,,2007-09,,
2007-06,395.00M,395.00M,166.00M,229.00M,,,153.00M,250.00M,7.00M,-2.00M,,,,,410.00M,-181.00M,,,,-2.00M,,-156.00M,-24.00M,-132.00M,,-145.00M,36.00M,-181.00M,,2007-06,-0.4146,-0.42,,2007-06,-0.42,-0.42,,2007-06,,2007-06,,
2007-03,613.00M,613.00M,235.00M,378.00M,,,182.00M,258.00M,7.00M,-8.00M,,,,,447.00M,-69.00M,,,,-8.00M,,-42.00M,-17.00M,-25.00M,0.00,-32.00M,37.00M,-69.00M,,2007-03,-0.0646,-0.08,,2007-03,-0.08,-0.08,,2007-03,,2007-03,,
2006-12,1.281B,1.281B,470.00M,811.00M,,,256.00M,330.00M,7.00M,-3.00M,,,,,593.00M,218.00M,,,,-3.00M,,240.00M,84.00M,160.00M,4.00M,256.00M,38.00M,218.00M,,2006-12,0.5263,0.52,,2006-12,0.50,0.50,,2006-12,,2006-12,,
2006-09,784.00M,784.00M,339.00M,445.00M,,,180.00M,238.00M,7.00M,-6.00M,,,,,425.00M,20.00M,,,,-6.00M,,38.00M,16.00M,22.00M,,57.00M,37.00M,20.00M,,2006-09,0.0817,0.07,,2006-09,0.07,0.07,,2006-09,,2006-09,,
2006-06,413.00M,413.00M,168.00M,245.00M,,,136.00M,216.00M,6.00M,-6.00M,,,,,358.00M,-113.00M,,,,-6.00M,,-98.00M,-17.00M,-81.00M,,-78.00M,35.00M,-113.00M,,2006-06,-0.2438,-0.26,,2006-06,-0.26,-0.26,,2006-06,,2006-06,,
2006-03,641.00M,641.00M,244.00M,397.00M,,,157.00M,187.00M,4.00M,-25.00M,,,,,348.00M,49.00M,,,,-25.00M,,39.00M,54.00M,-16.00M,-1.00M,76.00M,27.00M,49.00M,,2006-03,-0.0007,-0.05,,2006-03,-0.05,-0.05,,2006-03,,2006-03,,
2005-12,1.27B,1.27B,502.00M,768.00M,,,205.00M,206.00M,1.00M,-9.00M,,,,,412.00M,356.00M,,,,-9.00M,,367.00M,106.00M,259.00M,,378.00M,22.00M,356.00M,,2005-12,0.8813,0.86,,2005-12,0.83,0.83,,2005-12,,2005-12,,
2005-09,675.00M,675.00M,284.00M,391.00M,,,159.00M,182.00M,1.00M,,,,,,342.00M,49.00M,,,,,,62.00M,9.00M,51.00M,-2.00M,72.00M,23.00M,49.00M,,2005-09,0.17,0.17,,2005-09,0.16,0.16,,2005-09,,2005-09,,
2005-06,365.00M,365.00M,151.00M,214.00M,,,126.00M,183.00M,1.00M,,,,,,310.00M,-96.00M,,,,,,-79.00M,-23.00M,-58.00M,-2.00M,-73.00M,23.00M,-96.00M,,2005-06,-0.19,-0.19,,2005-06,-0.19,-0.19,,2005-06,,2005-06,,
2005-03,554.00M,554.00M,234.00M,320.00M,,,154.00M,160.00M,1.00M,-6.00M,,,,,314.00M,6.00M,,,,-6.00M,,12.00M,5.00M,7.00M,,28.00M,22.00M,6.00M,,2005-03,0.0317,0.02,,2005-03,0.02,0.02,,2005-03,,2005-03,,
2004-12,1.428B,1.428B,503.00M,925.00M,,,210.00M,185.00M,1.00M,-9.00M,,,,1.00M,397.00M,528.00M,,,,-9.00M,,542.00M,167.00M,375.00M,,547.83M,19.83M,528.00M,,2004-12,1.250,1.23,,2004-12,1.18,1.18,,2004-12,,2004-12,,
2004-09,715.73M,715.73M,283.91M,431.82M,,,149.56M,156.84M,0.623M,,,,,,307.02M,124.79M,,,,,,136.98M,39.72M,97.25M,,141.75M,16.96M,124.79M,,2004-09,0.32,0.32,,2004-09,0.31,0.31,,2004-09,,2004-09,,
2004-06,431.64M,431.64M,176.76M,254.89M,,,98.27M,130.64M,0.622M,-0.388M,,,,,229.54M,25.35M,,,,-0.388M,,34.12M,9.894M,24.22M,,41.56M,16.21M,25.35M,,2004-06,0.0809,0.08,,2004-06,0.08,0.08,,2004-06,,2004-06,,
2004-03,598.29M,598.29M,226.02M,372.27M,,,112.92M,155.21M,0.887M,-8.404M,,,,,269.01M,103.26M,,,,-8.404M,,100.93M,11.18M,89.75M,,121.34M,18.08M,103.26M,,2004-03,0.3151,0.29,,2004-03,0.28,0.28,,2004-03,,2004-03,,
2003-12,1.475B,1.475B,513.26M,962.07M,,,252.17M,151.18M,0.623M,-0.596M,,,,,403.96M,558.10M,,,,-0.596M,,558.46M,166.16M,392.30M,,587.17M,29.07M,558.10M,,2003-12,1.321,1.32,,2003-12,1.26,1.26,,2003-12,,2003-12,,
2003-09,530.00M,530.00M,213.76M,316.24M,,,100.07M,113.49M,0.81M,,,,,,214.38M,101.87M,,,,,,111.00M,34.41M,76.59M,,119.49M,17.62M,101.87M,,2003-09,0.26,0.26,,2003-09,0.25,0.25,,2003-09,,2003-09,,
2003-06,353.38M,353.38M,149.96M,203.42M,,,89.84M,91.12M,0.68M,,,,,,181.65M,21.77M,,,,,,26.62M,8.253M,18.37M,,35.00M,13.22M,21.77M,,2003-06,0.065,0.065,,2003-06,0.06,0.06,,2003-06,,2003-06,,
2003-03,462.89M,462.89M,164.57M,298.32M,,,107.25M,108.83M,0.264M,-71.62M,,,,,283.35M,14.97M,,,,-71.62M,,14.46M,4.574M,9.143M,-0.747M,32.64M,17.67M,14.97M,,2003-03,0.2107,0.04,,2003-03,0.03,0.03,,2003-03,,2003-03,,
2002-12,1.234B,1.234B,565.11M,668.62M,,,181.74M,106.13M,2.245M,-9.378M,,,,,290.11M,378.50M,,,,-9.378M,,364.68M,113.05M,250.22M,-1.413M,403.46M,24.96M,378.50M,,2002-12,0.9178,0.895,,2002-12,0.845,0.845,,2002-12,,2002-12,,
2002-09,453.49M,453.49M,198.89M,254.60M,,,82.97M,98.14M,2.246M,,,,,,183.35M,71.25M,,,,,,72.42M,22.45M,50.23M,0.262M,96.31M,25.07M,71.25M,,2002-09,0.19,0.19,,2002-09,0.17,0.17,,2002-09,,2002-09,,
2002-06,331.90M,331.90M,141.36M,190.53M,,,91.04M,90.97M,2.245M,,,,,0.02M,184.27M,6.262M,,,,,,9.429M,2.923M,7.404M,0.898M,30.57M,24.31M,6.262M,,2002-06,0.035,0.035,,2002-06,0.025,0.025,,2002-06,,2002-06,,
2002-03,469.69M,469.69M,199.97M,269.72M,,,88.02M,101.97M,6.109M,-6.252M,,,,,196.10M,73.62M,,,,-6.252M,,69.93M,21.68M,47.30M,-0.956M,100.98M,27.35M,73.62M,,2002-03,0.2056,0.19,,2002-03,0.165,0.165,,2002-03,,2002-03,,
2001-12,832.88M,832.88M,400.85M,432.02M,,,125.71M,97.41M,6.359M,-14.05M,,,,,229.47M,202.55M,,,,-14.05M,,192.02M,59.52M,132.29M,-0.199M,230.81M,28.26M,202.55M,,2001-12,0.5404,0.505,,2001-12,0.46,0.46,,2001-12,,2001-12,,
2001-09,240.16M,240.16M,117.76M,122.40M,,,70.42M,97.56M,6.475M,,,,,,174.45M,-52.06M,,,,,,-48.00M,-14.88M,-32.82M,0.294M,-24.12M,27.94M,-52.06M,,2001-09,-0.10,-0.10,,2001-09,-0.12,-0.12,,2001-09,,2001-09,,
