,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2012-12,-45.00M,,-12.00M,-12.00M,,,66.00M,66.00M,,,39.00M,-45.00M,256.00M,13.00M,-180.00M,14.00M,,257.00M,360.00M,363.00M,,-25.00M,,,0.00,102.00M,,77.00M,,2012-12,,1.00M,-157.00M,-156.00M,,,-2.00M,-158.00M,,2012-12,871.00M,282.00M,1.158B,,2012-12,1.00M,,-157.00M,4.00M,0.00,,2012-12,AOR
2012-09,-381.00M,,,,,,56.00M,56.00M,,,44.00M,0.00,-528.00M,-11.00M,394.00M,29.00M,,369.00M,253.00M,-28.00M,,-25.00M,,,15.00M,92.00M,,82.00M,,2012-09,,18.00M,-108.00M,-90.00M,,,-27.00M,-117.00M,,2012-09,919.00M,-63.00M,871.00M,,2012-09,18.00M,,-108.00M,9.00M,2.00M,,2012-09,AOR
2012-06,201.00M,,,,,,56.00M,56.00M,,,39.00M,-13.00M,254.00M,-2.00M,-276.00M,-29.00M,,-474.00M,-527.00M,-244.00M,,-31.00M,,,0.00,-9.00M,,-40.00M,,2012-06,,0.00,-71.00M,-71.00M,,,-1.00M,-72.00M,,2012-06,1.293B,-356.00M,919.00M,,2012-06,0.00,,-71.00M,8.00M,,,2012-06,AOR
2012-03,400.00M,,0.00,0.00,,,68.00M,68.00M,,,41.00M,0.00,162.00M,10.00M,63.00M,-20.00M,,-437.00M,-222.00M,287.00M,,-44.00M,0.00,0.00,75.00M,-31.00M,,0.00,,2012-03,0.00,18.00M,-241.00M,-223.00M,,0.00,-25.00M,-248.00M,,2012-03,1.242B,39.00M,1.293B,,2012-03,18.00M,,-241.00M,-8.00M,2.00M,,2012-03,AOR
2011-12,-324.00M,,-12.00M,0.00,,,54.00M,54.00M,,,48.00M,105.00M,39.00M,22.00M,-45.00M,-81.00M,,657.00M,592.00M,475.00M,,-44.00M,0.00,0.00,-19.00M,-51.00M,,-114.00M,,2011-12,107.00M,4.00M,-41.00M,-37.00M,,0.00,-106.00M,-36.00M,,2011-12,930.00M,325.00M,1.242B,,2011-12,4.00M,107.00M,-41.00M,4.00M,0.00,,2011-12,AOR
2011-09,-221.00M,,,-12.00M,,,51.00M,51.00M,,,43.00M,-102.00M,-522.00M,-15.00M,259.00M,,,308.00M,30.00M,-211.00M,,-52.00M,26.00M,26.00M,-632.00M,147.00M,,-511.00M,,2011-09,510.00M,21.00M,-98.00M,-77.00M,,65.00M,1.00M,499.00M,,2011-09,1.173B,-223.00M,930.00M,,2011-09,21.00M,-107.00M,-98.00M,-18.00M,,,2011-09,AOR
2011-06,221.00M,,,,,,43.00M,43.00M,,,38.00M,2.00M,307.00M,4.00M,-314.00M,,,-575.00M,-578.00M,-274.00M,,-32.00M,,,-25.00M,-7.00M,,-64.00M,,2011-06,,14.00M,-91.00M,-77.00M,,,2.00M,-75.00M,,2011-06,1.579B,-413.00M,1.173B,,2011-06,14.00M,,-91.00M,18.00M,,,2011-06,AOR
2011-03,151.00M,24.00M,-25.00M,-1.00M,,,180.00M,42.00M,,,38.00M,8.00M,58.00M,29.00M,17.00M,,,-94.00M,15.00M,253.00M,,-21.00M,0.00,0.00,0.00,13.00M,,-8.00M,,2011-03,0.00,17.00M,-58.00M,-41.00M,,0.00,,-40.00M,,2011-03,1.353B,205.00M,1.579B,,2011-03,17.00M,,-58.00M,21.00M,,,2011-03,AOR
2010-12,-322.00M,-24.00M,24.00M,0.00,,,-94.00M,44.00M,,,48.00M,3.00M,57.00M,51.00M,129.00M,,,339.00M,576.00M,349.00M,,-15.00M,0.00,0.00,-16.00M,-20.00M,,-51.00M,,2010-12,0.00,0.00,0.00,0.00,,0.00,,0.00,,2010-12,1.056B,298.00M,1.353B,,2010-12,0.00,,0.00,-7.00M,,,2010-12,AOR
2010-09,-201.00M,-5.00M,-24.00M,-29.00M,,,46.00M,46.00M,,,43.00M,-29.00M,-334.00M,-71.00M,113.00M,,,328.00M,36.00M,-134.00M,,-12.00M,0.00,0.00,0.00,109.00M,,97.00M,,2010-09,0.00,16.00M,0.00,16.00M,,0.00,,16.00M,,2010-09,1.057B,-21.00M,1.056B,,2010-09,16.00M,0.00,0.00,7.00M,,,2010-09,AOR
2010-06,96.00M,5.00M,,5.00M,,,48.00M,48.00M,,,47.00M,2.00M,97.00M,16.00M,-149.00M,,,-310.00M,-346.00M,-148.00M,,-11.00M,,,0.00,-42.00M,,-53.00M,,2010-06,,1.00M,0.00,1.00M,,,,1.00M,,2010-06,1.273B,-200.00M,1.057B,,2010-06,1.00M,,0.00,,,,2010-06,AOR
2010-03,30.00M,,,2.00M,,,50.00M,50.00M,,,42.00M,14.00M,290.00M,46.00M,-189.00M,,-129.00M,97.00M,115.00M,253.00M,,-22.00M,,0.00,-5.00M,-74.00M,0.00,-101.00M,,2010-03,,14.00M,,14.00M,,,1.00M,15.00M,,2010-03,1.114B,167.00M,1.273B,,2010-03,14.00M,,,-8.00M,,,2010-03,AOR
2009-12,-82.00M,,,-3.00M,,,48.00M,48.00M,,,68.00M,20.00M,162.00M,107.00M,-202.00M,,103.00M,0.00,170.00M,221.00M,,-16.00M,,0.00,-275.00M,236.00M,-100.00M,-155.00M,,2009-12,,0.00,,0.00,,,13.00M,13.00M,,2009-12,1.042B,79.00M,1.114B,,2009-12,0.00,,,5.00M,,,2009-12,AOR
2009-09,-391.00M,,,8.00M,,,46.00M,46.00M,,,44.00M,0.00,-266.00M,-34.00M,270.00M,,359.00M,-30.00M,299.00M,6.00M,,-259.00M,,-233.00M,0.00,55.00M,,-204.00M,,2009-09,,22.00M,,22.00M,,,,22.00M,,2009-09,1.205B,-176.00M,1.042B,,2009-09,22.00M,,,1.00M,,,2009-09,AOR
2009-06,-234.00M,,,15.00M,,,48.00M,48.00M,,,33.00M,7.00M,-252.00M,4.00M,-74.00M,,172.00M,-47.00M,-197.00M,-328.00M,,-8.00M,,,-3.00M,-101.00M,,-112.00M,,2009-06,,3.00M,,3.00M,,,,3.00M,,2009-06,1.621B,-437.00M,1.205B,,2009-06,3.00M,,,2.00M,,,2009-06,AOR
2009-03,-42.00M,-2.00M,,-2.00M,,,,46.00M,,0.00,56.00M,7.00M,697.00M,79.00M,-361.00M,,-251.00M,-14.00M,150.00M,215.00M,,-25.00M,,0.00,0.00,45.00M,,20.00M,,2009-03,,14.00M,,14.00M,,,0.00,14.00M,,2009-03,1.379B,249.00M,1.621B,,2009-03,14.00M,,,9.00M,,,2009-03,AOR
2008-12,-641.00M,27.00M,,28.00M,,,,48.00M,,368.00M,44.00M,2.00M,-223.00M,35.00M,71.00M,,88.00M,392.00M,363.00M,212.00M,,-27.00M,,0.00,-16.00M,-46.00M,,-89.00M,,2008-12,,6.00M,,6.00M,,,-14.00M,-8.00M,,2008-12,1.297B,115.00M,1.379B,,2008-12,6.00M,,,5.00M,,,2008-12,
2008-09,-310.00M,34.00M,,34.00M,,,,54.00M,,,53.00M,0.00,-291.00M,-107.00M,282.00M,,232.00M,-71.00M,45.00M,-124.00M,,-32.00M,,0.00,0.00,220.00M,,188.00M,,2008-09,,44.00M,,44.00M,,,7.00M,51.00M,,2008-09,1.199B,115.00M,1.297B,,2008-09,44.00M,,,5.00M,,,2008-09,
2008-06,-95.00M,6.00M,,8.00M,,,,50.00M,,,50.00M,16.00M,38.00M,-56.00M,-74.00M,,-195.00M,-33.00M,-320.00M,-291.00M,,-31.00M,,,-42.00M,-23.00M,,-96.00M,,2008-06,,25.00M,,25.00M,,,9.00M,34.00M,,2008-06,1.553B,-353.00M,1.199B,,2008-06,25.00M,,,6.00M,,,2008-06,
2008-03,-93.00M,,,241.00M,,,49.00M,49.00M,-92.00M,,,59.00M,531.00M,8.00M,-146.00M,,-320.00M,48.00M,121.00M,285.00M,,-22.00M,,-22.00M,,-21.00M,0.00,-650.00M,,2008-03,,32.00M,,32.00M,,,6.00M,38.00M,,2008-03,1.878B,-327.00M,1.553B,,2008-03,32.00M,,,,,,2008-03,
2007-12,-33.00M,,,9.00M,,,42.00M,42.00M,43.00M,,,80.00M,-383.00M,-69.00M,140.00M,,498.00M,22.00M,208.00M,349.00M,,-25.00M,,-25.00M,,408.00M,-30.00M,353.00M,,2007-12,,74.00M,,74.00M,,,14.00M,88.00M,,2007-12,1.074B,790.00M,1.878B,,2007-12,74.00M,,,,,,2007-12,
2007-09,-196.00M,,,-1.00M,,,37.00M,37.00M,-111.00M,,,39.00M,-294.00M,-29.00M,103.00M,,345.00M,3.00M,128.00M,-104.00M,,-23.00M,,-23.00M,,438.00M,,415.00M,,2007-09,,68.00M,,68.00M,,,23.00M,91.00M,,2007-09,663.00M,402.00M,1.074B,,2007-09,68.00M,,,,,,2007-09,
2007-06,-132.00M,,,,,,36.00M,36.00M,,,,28.00M,138.00M,-10.00M,-74.00M,,-97.00M,-81.00M,-124.00M,-192.00M,,-14.00M,,-14.00M,,-533.00M,,-547.00M,,2007-06,,18.00M,,18.00M,,,8.00M,26.00M,,2007-06,1.371B,-713.00M,663.00M,,2007-06,18.00M,,,,,,2007-06,
2007-03,-25.00M,,,7.00M,,,37.00M,37.00M,,,,21.00M,320.00M,19.00M,-3.00M,,-91.00M,-17.00M,228.00M,214.00M,,-60.00M,,-58.00M,-9.00M,-30.00M,-2.00M,-99.00M,,2007-03,0.00,35.00M,,35.00M,,,9.00M,44.00M,,2007-03,1.199B,159.00M,1.371B,,2007-03,35.00M,,,,,,2007-03,
2006-12,160.00M,,,-7.00M,,,38.00M,38.00M,,,,39.00M,-275.00M,-2.00M,-34.00M,,259.00M,49.00M,-3.00M,227.00M,,-32.00M,,-32.00M,-27.00M,-254.00M,0.00,-313.00M,,2006-12,0.00,48.00M,,48.00M,,,15.00M,63.00M,,2006-12,1.212B,-23.00M,1.199B,,2006-12,48.00M,,,,,,2006-12,
2006-09,22.00M,,,3.00M,,,37.00M,37.00M,,,,33.00M,-222.00M,-8.00M,85.00M,,42.00M,2.00M,-101.00M,-6.00M,,-48.00M,,-48.00M,-67.00M,29.00M,0.00,-86.00M,,2006-09,0.00,48.00M,,48.00M,,,8.00M,56.00M,,2006-09,1.248B,-36.00M,1.212B,,2006-09,48.00M,,,,,,2006-09,
2006-06,-81.00M,,,,,,35.00M,35.00M,,,,37.00M,159.00M,3.00M,-50.00M,,-153.00M,12.00M,-29.00M,-38.00M,,-38.00M,,-38.00M,,47.00M,2.00M,11.00M,,2006-06,-14.00M,37.00M,,37.00M,,,4.00M,27.00M,,2006-06,1.242B,,1.248B,,2006-06,37.00M,,,,,,2006-06,
2006-03,-16.00M,,,34.00M,,,27.00M,27.00M,,,,,347.00M,8.00M,-19.00M,35.00M,-16.00M,,284.00M,337.00M,,-36.00M,,-34.00M,-658.00M,69.00M,2.00M,-621.00M,,2006-03,,55.00M,0.00,55.00M,,,,55.00M,,2006-03,1.462B,-229.00M,1.242B,,2006-03,55.00M,,0.00,,,,2006-03,
2005-12,259.00M,,,25.00M,,,22.00M,22.00M,,,,,-223.00M,-2.00M,16.00M,-19.00M,200.00M,,-28.00M,278.00M,,-31.00M,,-31.00M,0.00,563.00M,-3.00M,529.00M,,2005-12,,91.00M,0.00,91.00M,,,,91.00M,,2005-12,575.00M,898.00M,1.462B,,2005-12,91.00M,,0.00,,,,2005-12,
2005-09,51.00M,,,90.00M,,,23.00M,23.00M,,,,,-162.00M,-10.00M,59.00M,-4.00M,-35.00M,,-152.00M,12.00M,,-23.00M,,-23.00M,0.00,44.00M,0.00,21.00M,,2005-09,,41.00M,-372.00M,-331.00M,,,,-331.00M,,2005-09,874.00M,-298.00M,575.00M,,2005-09,41.00M,,-372.00M,,,,2005-09,
2005-06,-58.00M,,,8.00M,,,23.00M,23.00M,,,,,142.00M,1.00M,-25.00M,-12.00M,-110.00M,,-4.00M,-31.00M,,-33.00M,,-33.00M,-3.00M,0.00,-1.00M,-37.00M,,2005-06,,19.00M,-337.00M,-318.00M,,,,-318.00M,,2005-06,1.27B,-386.00M,874.00M,,2005-06,19.00M,,-337.00M,,,,2005-06,
2005-03,7.00M,,,49.00M,,,22.00M,22.00M,,,,,607.00M,17.00M,-56.00M,-21.00M,-175.00M,,372.00M,474.00M,,-44.00M,0.00,-44.00M,-21.00M,-184.00M,-1.00M,-250.00M,,2005-03,,94.00M,-10.00M,84.00M,,,,84.00M,,2005-03,963.00M,308.00M,1.27B,,2005-03,94.00M,,-10.00M,,,,2005-03,
2004-12,375.52M,,,16.07M,,,19.83M,19.83M,,,,,-518.78M,-6.903M,26.12M,-40.59M,265.60M,,-274.56M,136.86M,,-36.66M,0.463M,-36.20M,-59.99M,-505.53M,-1.75M,-603.47M,,2004-12,,61.49M,-31.00M,30.49M,,,,30.49M,,2004-12,1.386B,-436.11M,963.00M,,2004-12,61.49M,,-31.00M,,,,2004-12,
2004-09,97.25M,,,10.74M,,,16.96M,16.96M,,,,,-205.04M,-25.05M,105.44M,26.66M,62.00M,,-35.98M,88.98M,,-19.23M,0.104M,-19.13M,0.00,142.83M,-0.25M,123.46M,,2004-09,,41.23M,,41.23M,,,,41.23M,,2004-09,1.133B,253.66M,1.386B,,2004-09,41.23M,,,,,,2004-09,
