,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-12,2.263B,966.00M,3.229B,621.00M,621.00M,1.00M,,41.00M,,42.00M,46.00M,214.00M,4.152B,0.00,61.00M,303.00M,736.00M,,12.00M,125.00M,1.237B,-822.00M,415.00M,1.708B,71.00M,1.779B,8.00M,116.00M,2.318B,6.47B,128.00M,,128.00M,524.00M,652.00M,,340.00M,340.00M,,340.00M,1.942B,1.942B,,3.152B,,,75.00M,75.00M,,,168.00M,306.00M,2015-12,3.00M,1.161B,1.905B,,-57.00M,3.012B,,2015-12,AOR,Restated
2015-09,1.598B,990.00M,2.588B,737.00M,737.00M,2.00M,,60.00M,,62.00M,46.00M,213.00M,3.646B,0.00,61.00M,307.00M,731.00M,,9.00M,129.00M,1.237B,-807.00M,430.00M,1.709B,84.00M,1.793B,14.00M,117.00M,2.354B,6.00B,188.00M,,188.00M,481.00M,669.00M,,435.00M,435.00M,,435.00M,1.277B,1.277B,,2.538B,,,75.00M,75.00M,,,175.00M,316.00M,2015-09,3.00M,1.206B,1.981B,,-44.00M,3.146B,,2015-09,AOR,Restated
2015-06,1.81B,1.069B,2.879B,144.00M,144.00M,2.00M,,32.00M,,34.00M,53.00M,216.00M,3.326B,0.00,62.00M,315.00M,725.00M,,7.00M,128.00M,1.237B,-793.00M,444.00M,1.713B,98.00M,1.811B,14.00M,126.00M,2.395B,5.721B,43.00M,,43.00M,339.00M,382.00M,,633.00M,633.00M,,633.00M,860.00M,860.00M,,2.054B,,,80.00M,80.00M,,,180.00M,331.00M,2015-06,3.00M,1.346B,2.001B,,-14.00M,3.336B,,2015-06,AOR,Restated
2015-03,2.068B,953.00M,3.021B,362.00M,362.00M,1.00M,,35.00M,,36.00M,54.00M,247.00M,3.72B,0.00,62.00M,315.00M,728.00M,,7.00M,126.00M,1.238B,-779.00M,459.00M,1.713B,111.00M,1.824B,13.00M,131.00M,2.427B,6.147B,68.00M,,68.00M,417.00M,485.00M,,633.00M,633.00M,,633.00M,1.397B,1.397B,,2.778B,,,80.00M,80.00M,,,183.00M,333.00M,2015-03,3.00M,904.00M,2.127B,,2.00M,3.036B,,2015-03,AOR,Restated
2014-12,2.166B,774.00M,2.94B,488.00M,488.00M,1.00M,,38.00M,,39.00M,57.00M,230.00M,3.754B,0.00,62.00M,321.00M,772.00M,,7.00M,127.00M,1.289B,-828.00M,461.00M,1.718B,127.00M,1.845B,6.00M,101.00M,2.413B,6.167B,77.00M,,77.00M,466.00M,543.00M,,633.00M,633.00M,,633.00M,1.704B,1.704B,,3.106B,,,85.00M,85.00M,,,201.00M,374.00M,2014-12,3.00M,509.00M,2.152B,,23.00M,2.687B,,2014-12,AOR,Restated
2014-09,1.624B,764.00M,2.388B,829.00M,829.00M,3.00M,,64.00M,,67.00M,58.00M,190.00M,3.532B,0.00,63.00M,329.00M,808.00M,,5.00M,131.00M,1.336B,-853.00M,483.00M,1.723B,143.00M,1.866B,9.00M,141.00M,2.499B,6.031B,191.00M,,191.00M,534.00M,725.00M,,,,,,1.501B,1.501B,,2.387B,591.00M,591.00M,85.00M,85.00M,,,209.00M,974.00M,2014-09,3.00M,367.00M,2.247B,,53.00M,2.67B,,2014-09,AOR,Restated
2014-06,1.554B,762.00M,2.316B,219.00M,219.00M,1.00M,,36.00M,,37.00M,58.00M,300.00M,2.93B,0.00,63.00M,333.00M,812.00M,,7.00M,134.00M,1.349B,-846.00M,503.00M,1.726B,160.00M,1.886B,15.00M,142.00M,2.546B,5.476B,69.00M,,69.00M,384.00M,453.00M,,,,,,1.165B,1.165B,,1.786B,586.00M,586.00M,85.00M,85.00M,,,216.00M,977.00M,2014-06,3.00M,364.00M,2.285B,,61.00M,2.713B,,2014-06,AOR,Restated
2014-03,1.782B,583.00M,2.365B,327.00M,327.00M,1.00M,,55.00M,,56.00M,74.00M,316.00M,3.138B,0.00,63.00M,327.00M,795.00M,,5.00M,129.00M,1.319B,-809.00M,510.00M,1.723B,177.00M,1.90B,28.00M,140.00M,2.578B,5.716B,119.00M,,119.00M,401.00M,520.00M,,,,,,1.611B,1.611B,,2.39B,580.00M,580.00M,18.00M,18.00M,,,117.00M,904.00M,2014-03,3.00M,29.00M,2.353B,,37.00M,2.422B,,2014-03,AOR,Restated
2013-12,1.746B,324.00M,2.07B,526.00M,526.00M,0.00,,55.00M,,55.00M,51.00M,219.00M,2.921B,0.00,63.00M,334.00M,784.00M,,8.00M,129.00M,1.318B,-800.00M,518.00M,1.725B,196.00M,1.921B,46.00M,167.00M,2.652B,5.573B,137.00M,,137.00M,478.00M,615.00M,,,,,,1.834B,1.834B,,2.659B,575.00M,575.00M,1.00M,1.00M,,,124.00M,910.00M,2013-12,3.00M,-338.00M,2.287B,,52.00M,2.004B,,2013-12,AOR,Restated
2013-09,1.09B,328.00M,1.418B,594.00M,594.00M,4.00M,,54.00M,,58.00M,51.00M,219.00M,2.34B,0.00,63.00M,337.00M,773.00M,,9.00M,129.00M,1.311B,-779.00M,532.00M,1.726B,216.00M,1.942B,48.00M,174.00M,2.696B,5.036B,208.00M,,208.00M,459.00M,667.00M,,,,,,1.017B,1.017B,,1.851B,570.00M,570.00M,1.00M,1.00M,,,121.00M,899.00M,2013-09,3.00M,-30.00M,2.251B,,62.00M,2.286B,,2013-09,AOR,Restated
2013-06,1.056B,355.00M,1.411B,120.00M,120.00M,0.00,,41.00M,,41.00M,51.00M,261.00M,1.884B,0.00,63.00M,332.00M,754.00M,,9.00M,130.00M,1.288B,-751.00M,537.00M,1.722B,234.00M,1.956B,50.00M,178.00M,2.721B,4.605B,48.00M,,48.00M,342.00M,390.00M,,,,,,673.00M,673.00M,,1.226B,564.00M,564.00M,1.00M,1.00M,,,121.00M,887.00M,2013-06,3.00M,243.00M,2.19B,,56.00M,2.492B,,2013-06,AOR,Restated
2013-03,1.292B,388.00M,1.68B,312.00M,312.00M,1.00M,,41.00M,,42.00M,52.00M,239.00M,2.325B,0.00,64.00M,336.00M,742.00M,,8.00M,129.00M,1.279B,-731.00M,548.00M,1.721B,253.00M,1.974B,53.00M,170.00M,2.745B,5.07B,136.00M,,136.00M,441.00M,577.00M,,,,,,1.123B,1.123B,,1.917B,559.00M,559.00M,1.00M,1.00M,,,121.00M,886.00M,2013-03,3.00M,21.00M,2.174B,,69.00M,2.267B,,2013-03,AOR,Restated
2012-12,1.158B,334.00M,1.492B,382.00M,382.00M,1.00M,,58.00M,,59.00M,67.00M,229.00M,2.229B,0.00,64.00M,340.00M,731.00M,,9.00M,131.00M,1.275B,-725.00M,550.00M,1.724B,304.00M,2.028B,47.00M,185.00M,2.81B,5.039B,93.00M,,93.00M,455.00M,548.00M,,,,,,1.411B,1.411B,,2.146B,554.00M,554.00M,2.00M,2.00M,,,168.00M,935.00M,2012-12,3.00M,-302.00M,2.138B,,119.00M,1.958B,,2012-12,AOR,Restated
2012-09,871.00M,444.00M,1.315B,643.00M,643.00M,3.00M,2.00M,66.00M,,71.00M,64.00M,239.00M,2.332B,0.00,64.00M,341.00M,720.00M,,9.00M,129.00M,1.263B,-702.00M,561.00M,1.723B,334.00M,2.057B,49.00M,192.00M,2.859B,5.191B,219.00M,,219.00M,530.00M,749.00M,,,,,,1.128B,1.128B,,2.046B,549.00M,549.00M,2.00M,2.00M,,,231.00M,991.00M,2012-09,3.00M,-257.00M,2.259B,,149.00M,2.154B,,2012-09,AOR,Restated
2012-06,919.00M,520.00M,1.439B,337.00M,111.00M,2.00M,,58.00M,,60.00M,68.00M,273.00M,1.951B,0.00,63.00M,334.00M,694.00M,,8.00M,122.00M,1.221B,-663.00M,558.00M,1.716B,347.00M,2.063B,44.00M,209.00M,2.874B,4.825B,50.00M,,50.00M,437.00M,487.00M,,,,,,701.00M,701.00M,,1.336B,544.00M,544.00M,2.00M,2.00M,,,193.00M,937.00M,2012-06,3.00M,124.00M,2.31B,,115.00M,2.552B,,2012-06,AOR,Restated
2012-03,1.293B,556.00M,1.849B,366.00M,366.00M,0.00,,59.00M,,59.00M,67.00M,268.00M,2.609B,0.00,64.00M,339.00M,657.00M,,38.00M,121.00M,1.219B,-651.00M,568.00M,1.718B,369.00M,2.087B,42.00M,185.00M,2.882B,5.491B,215.00M,,215.00M,539.00M,754.00M,,,,,,1.133B,1.133B,,2.12B,539.00M,539.00M,8.00M,8.00M,,,177.00M,913.00M,2012-03,3.00M,-77.00M,2.359B,,173.00M,2.458B,,2012-03,AOR,Restated
2011-12,1.242B,549.00M,1.791B,526.00M,526.00M,2.00M,,67.00M,,69.00M,92.00M,328.00M,2.806B,0.00,63.00M,333.00M,632.00M,,35.00M,113.00M,1.176B,-629.00M,547.00M,1.716B,402.00M,2.118B,44.00M,181.00M,2.89B,5.696B,112.00M,,112.00M,846.00M,958.00M,,,,,,1.439B,1.439B,,2.397B,534.00M,534.00M,82.00M,82.00M,,,235.00M,1.034B,2011-12,3.00M,-477.00M,2.549B,,190.00M,2.265B,,2011-12,AOR,Restated
2011-09,930.00M,569.00M,1.499B,728.00M,562.00M,11.00M,,79.00M,,90.00M,97.00M,320.00M,2.568B,0.00,63.00M,331.00M,576.00M,,66.00M,112.00M,1.148B,-616.00M,532.00M,1.70B,416.00M,2.116B,45.00M,174.00M,2.867B,5.435B,213.00M,,213.00M,547.00M,760.00M,,,,,,932.00M,932.00M,,1.854B,529.00M,529.00M,84.00M,84.00M,,,241.00M,1.041B,2011-09,3.00M,-272.00M,2.551B,,258.00M,2.54B,,2011-09,AOR,Restated
2011-06,1.173B,675.00M,1.848B,30.00M,30.00M,2.00M,,73.00M,,75.00M,58.00M,343.00M,2.354B,0.00,66.00M,356.00M,573.00M,,30.00M,106.00M,1.131B,-615.00M,516.00M,1.132B,134.00M,1.266B,49.00M,170.00M,2.001B,4.355B,91.00M,,91.00M,381.00M,472.00M,,,,,,604.00M,604.00M,,1.225B,,,42.00M,42.00M,,,146.00M,380.00M,2011-06,3.00M,68.00M,2.439B,,240.00M,2.75B,,2011-06,AOR,Restated
2011-03,1.579B,658.00M,2.237B,,335.00M,8.00M,,69.00M,,77.00M,56.00M,327.00M,3.032B,0.00,66.00M,355.00M,581.00M,,20.00M,105.00M,1.127B,-614.00M,513.00M,1.11B,144.00M,1.254B,49.00M,80.00M,1.896B,4.928B,228.00M,,228.00M,768.00M,996.00M,,,,,,1.005B,1.005B,,2.001B,,,37.00M,37.00M,,,134.00M,363.00M,2011-03,3.00M,-153.00M,2.495B,,219.00M,2.564B,,2011-03,AOR,Restated
2010-12,1.353B,618.00M,1.971B,,390.00M,15.00M,1.00M,89.00M,,105.00M,22.00M,226.00M,2.714B,0.00,65.00M,349.00M,560.00M,,12.00M,102.00M,1.088B,-586.00M,502.00M,1.107B,160.00M,1.267B,44.00M,200.00M,2.013B,4.727B,162.00M,,162.00M,746.00M,908.00M,,,,,,1.10B,1.10B,,2.008B,,,4.00M,4.00M,,,357.00M,361.00M,2010-12,3.00M,-304.00M,2.504B,,155.00M,2.358B,,2010-12,AOR,Restated
2010-09,1.056B,601.00M,1.657B,,444.00M,25.00M,,130.00M,,155.00M,22.00M,207.00M,2.485B,0.00,65.00M,345.00M,539.00M,10.00M,9.00M,102.00M,1.07B,-560.00M,510.00M,1.094B,168.00M,1.262B,48.00M,189.00M,2.009B,4.494B,205.00M,,205.00M,539.00M,744.00M,,,,,,824.00M,824.00M,,1.568B,,,2.00M,2.00M,,,286.00M,288.00M,2010-09,3.00M,18.00M,2.473B,,144.00M,2.638B,,2010-09,AOR,Restated
2010-06,1.057B,673.00M,1.73B,,103.00M,6.00M,,76.00M,,82.00M,43.00M,270.00M,2.228B,0.00,64.00M,340.00M,541.00M,10.00M,10.00M,98.00M,1.063B,-547.00M,516.00M,1.09B,185.00M,1.275B,49.00M,177.00M,2.017B,4.245B,55.00M,,55.00M,517.00M,572.00M,,,,,,593.00M,593.00M,,1.165B,,,2.00M,2.00M,,,326.00M,328.00M,2010-06,3.00M,219.00M,2.417B,,113.00M,2.752B,,2010-06,AOR,Restated
2010-03,1.273B,723.00M,1.996B,,206.00M,10.00M,,90.00M,,100.00M,44.00M,239.00M,2.585B,0.00,65.00M,347.00M,561.00M,,13.00M,99.00M,1.085B,-548.00M,537.00M,1.093B,204.00M,1.297B,52.00M,175.00M,2.061B,4.646B,91.00M,,91.00M,717.00M,808.00M,,,,,,766.00M,766.00M,,1.574B,,,2.00M,2.00M,,,99.00M,343.00M,2010-03,3.00M,123.00M,2.375B,,228.00M,2.729B,,2010-03,AOR,Restated
2009-12,1.114B,670.00M,1.784B,,495.00M,7.00M,1.00M,136.00M,,144.00M,95.00M,264.00M,2.782B,0.00,64.00M,342.00M,807.00M,,10.00M,103.00M,1.326B,-776.00M,550.00M,1.097B,215.00M,1.312B,74.00M,221.00M,2.157B,4.939B,186.00M,,186.00M,790.00M,976.00M,,,,,,895.00M,895.00M,,1.871B,,,49.00M,49.00M,,,420.00M,469.00M,2009-12,3.00M,93.00M,2.265B,,238.00M,2.599B,,2009-12,AOR,Restated
2009-09,1.042B,970.00M,2.012B,,646.00M,21.00M,14.00M,215.00M,,250.00M,74.00M,245.00M,3.227B,0.00,64.00M,338.00M,798.00M,,13.00M,105.00M,1.318B,-749.00M,569.00M,817.00M,194.00M,1.011B,71.00M,124.00M,1.775B,5.002B,273.00M,,273.00M,848.00M,1.121B,,,,,,792.00M,792.00M,,1.913B,,,28.00M,28.00M,316.00M,,89.00M,433.00M,2009-09,3.00M,175.00M,2.181B,,297.00M,2.656B,,2009-09,AOR,Restated
2009-06,1.205B,1.074B,2.279B,,375.00M,10.00M,13.00M,192.00M,,215.00M,56.00M,251.00M,3.176B,0.00,11.00M,151.00M,765.00M,,19.00M,121.00M,1.067B,-726.00M,341.00M,814.00M,208.00M,1.022B,67.00M,116.00M,1.546B,4.722B,166.00M,,166.00M,661.00M,827.00M,,,,,,433.00M,433.00M,,1.26B,,,40.00M,40.00M,315.00M,,106.00M,461.00M,2009-06,3.00M,566.00M,2.118B,,314.00M,3.001B,,2009-06,AOR,Restated
2009-03,1.621B,899.00M,2.52B,,116.00M,7.00M,9.00M,201.00M,,217.00M,51.00M,216.00M,3.12B,0.00,11.00M,143.00M,740.00M,,16.00M,125.00M,1.035B,-681.00M,354.00M,807.00M,221.00M,1.028B,61.00M,115.00M,1.558B,4.678B,152.00M,,152.00M,616.00M,768.00M,,,,,,368.00M,368.00M,,1.136B,,,42.00M,42.00M,268.00M,,98.00M,408.00M,2009-03,3.00M,800.00M,2.142B,,189.00M,3.134B,,2009-03,AOR,Restated
2008-12,1.379B,882.00M,2.261B,794.00M,794.00M,14.00M,,1.00M,280.00M,295.00M,48.00M,239.00M,3.637B,0.00,17.00M,270.00M,732.00M,,11.00M,,1.03B,-658.00M,372.00M,808.00M,236.00M,1.044B,33.00M,118.00M,1.567B,5.204B,333.00M,,333.00M,835.00M,1.168B,,,,,,620.00M,620.00M,,1.788B,,,42.00M,42.00M,,,321.00M,363.00M,2008-12,3.00M,842.00M,2.074B,,134.00M,3.053B,,2008-12,,Restated
