,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.322B,2.181B,534.00M,2.715B,1.487B,1.487B,432.00M,222.00M,964.00M,,1.618B,348.00M,,6.168B,0.00,30.00M,237.00M,2.016B,,2.152B,4.435B,-2.612B,1.823B,1.926B,1.276B,3.202B,843.00M,,531.00M,6.399B,12.57B,,1.182B,,1.182B,1.333B,2.515B,,170.00M,,13.00M,183.00M,,183.00M,33.00M,33.00M,,3.31B,3.361B,,3.361B,,22.00M,,1.186B,4.547B,7.857B,,6.00M,9.04B,3.972B,7.896B,,,-434.00M,4.688B,,AOR,Restated
2018-03,,2.14B,384.00M,2.524B,1.761B,1.761B,360.00M,172.00M,1.001B,,1.533B,351.00M,,6.169B,0.00,30.00M,202.00M,1.967B,,2.153B,4.352B,-2.626B,1.726B,1.931B,1.293B,3.224B,1.027B,,626.00M,6.603B,12.77B,,884.00M,408.00M,1.292B,1.295B,2.587B,0.00,280.00M,,16.00M,296.00M,,296.00M,,,,3.388B,3.363B,,3.363B,,26.00M,,1.284B,4.647B,8.035B,,6.00M,8.996B,3.911B,7.816B,,,-386.00M,4.711B,,AOR,Restated
2017-12,,2.105B,394.00M,2.499B,1.699B,1.699B,315.00M,157.00M,973.00M,,1.445B,332.00M,,5.975B,0.00,29.00M,197.00M,1.965B,,2.117B,4.308B,-2.58B,1.728B,1.924B,1.304B,3.228B,1.112B,,561.00M,6.629B,12.60B,,738.00M,538.00M,1.276B,1.287B,2.563B,,390.00M,,23.00M,413.00M,,413.00M,,,,3.403B,3.374B,,3.374B,,24.00M,,1.238B,4.612B,8.015B,,6.00M,8.733B,3.773B,7.54B,,,-407.00M,4.565B,,AOR,Restated
2017-09,,1.444B,381.00M,1.825B,1.799B,1.799B,312.00M,164.00M,1.042B,,1.518B,365.00M,,5.507B,0.00,30.00M,195.00M,1.924B,,2.003B,4.152B,-2.457B,1.695B,1.921B,1.316B,3.237B,1.087B,,676.00M,6.695B,12.20B,,679.00M,233.00M,912.00M,1.31B,2.222B,,530.00M,,22.00M,552.00M,,552.00M,,,,3.142B,3.383B,,3.383B,,22.00M,,924.00M,4.307B,7.449B,,6.00M,8.752B,3.665B,7.257B,,,-435.00M,4.731B,,AOR,Restated
2017-06,702.00M,1.136B,605.00M,1.741B,1.395B,1.395B,334.00M,194.00M,951.00M,,1.479B,349.00M,,4.964B,0.00,30.00M,192.00M,1.879B,,1.918B,4.019B,-2.348B,1.671B,1.916B,1.327B,3.243B,1.026B,,664.00M,6.604B,11.57B,,835.00M,190.00M,1.025B,1.087B,2.112B,,170.00M,,19.00M,189.00M,,189.00M,,,,2.823B,3.383B,,3.383B,,18.00M,,960.00M,4.343B,7.166B,,6.00M,8.452B,3.559B,7.149B,,,-484.00M,4.384B,,AOR,Restated
2017-03,,1.139B,701.00M,1.84B,1.528B,1.528B,278.00M,157.00M,875.00M,,1.31B,294.00M,,4.972B,0.00,29.00M,183.00M,1.822B,,1.854B,3.888B,-2.312B,1.576B,1.942B,1.337B,3.279B,993.00M,,625.00M,6.473B,11.44B,,597.00M,206.00M,803.00M,1.101B,1.904B,301.00M,195.00M,,23.00M,519.00M,,519.00M,,,,2.86B,3.377B,,3.377B,,16.00M,,1.073B,4.45B,7.31B,,6.00M,8.35B,3.462B,7.10B,,,-599.00M,4.119B,,AOR,Restated
2016-12,,1.262B,413.00M,1.675B,1.508B,1.508B,275.00M,140.00M,863.00M,,1.278B,328.00M,,4.789B,0.00,28.00M,183.00M,1.85B,,1.82B,3.881B,-2.318B,1.563B,1.938B,1.349B,3.287B,996.00M,,577.00M,6.423B,11.21B,,617.00M,242.00M,859.00M,1.088B,1.947B,303.00M,1.821B,,19.00M,2.143B,,2.143B,,,,4.458B,1.89B,,1.89B,,15.00M,,1.056B,2.946B,7.404B,,6.00M,8.178B,3.349B,7.101B,,,-639.00M,3.793B,,AOR,Restated
2016-09,,664.00M,525.00M,1.189B,1.624B,1.624B,293.00M,148.00M,855.00M,,1.296B,292.00M,,4.401B,0.00,19.00M,185.00M,1.839B,,1.817B,3.86B,-2.291B,1.569B,1.229B,340.00M,1.569B,1.05B,,759.00M,4.947B,9.348B,,546.00M,195.00M,741.00M,1.044B,1.785B,305.00M,270.00M,,17.00M,592.00M,,592.00M,,,,2.712B,1.908B,,1.908B,,18.00M,,1.053B,2.961B,5.673B,,6.00M,7.876B,3.286B,6.963B,,,-548.00M,3.657B,,AOR,Restated
2016-06,709.00M,914.00M,469.00M,1.383B,1.258B,1.258B,306.00M,177.00M,781.00M,,1.264B,320.00M,,4.225B,0.00,15.00M,187.00M,1.805B,,1.789B,3.796B,-2.213B,1.583B,1.228B,344.00M,1.572B,1.108B,,735.00M,4.998B,9.223B,,717.00M,163.00M,880.00M,965.00M,1.845B,307.00M,0.00,,25.00M,332.00M,,332.00M,,,,2.681B,1.91B,,1.91B,,15.00M,,1.045B,2.955B,5.636B,,6.00M,7.693B,3.161B,6.743B,,,-545.00M,3.572B,,AOR,Restated
2016-03,,556.30M,517.50M,1.074B,1.417B,1.417B,269.90M,137.90M,742.70M,,1.150B,611.40M,,4.252B,0.00,15.20M,184.60M,1.798B,,1.744B,3.741B,-2.231B,1.510B,1.225B,352.30M,1.578B,1.075B,,400.60M,4.564B,8.816B,,572.50M,303.70M,876.20M,808.50M,1.685B,,285.30M,,27.50M,312.80M,,312.80M,,,,2.434B,1.612B,,1.612B,,10.60M,,947.70M,2.560B,4.994B,,5.70M,7.712B,3.090B,6.557B,,,-439.30M,3.812B,,AOR,Restated
2015-12,,868.10M,546.10M,1.414B,1.411B,1.411B,247.30M,122.70M,707.40M,,1.077B,573.60M,,4.476B,0.00,15.20M,181.60M,1.808B,,1.698B,3.702B,-2.206B,1.497B,1.147B,317.40M,1.464B,772.20M,,372.90M,4.106B,8.582B,,527.40M,384.20M,911.60M,839.40M,1.751B,,340.20M,,34.20M,374.40M,,374.40M,,,,2.479B,1.607B,,1.607B,,11.70M,,879.90M,2.487B,4.967B,,5.70M,7.558B,3.019B,6.482B,,,-497.20M,3.604B,,AOR,Restated
2015-09,,408.50M,670.80M,1.079B,1.539B,1.539B,265.70M,132.80M,778.20M,,1.177B,588.10M,,4.383B,0.00,15.20M,182.30M,1.769B,,1.641B,3.607B,-2.139B,1.468B,1.145B,321.90M,1.467B,710.10M,,396.80M,4.042B,8.425B,,514.60M,339.90M,854.50M,822.00M,1.676B,,422.00M,,31.70M,453.70M,,453.70M,,,,2.454B,1.612B,,1.612B,,11.60M,,856.60M,2.469B,4.923B,,5.70M,7.224B,2.954B,6.243B,,,-449.40M,3.490B,,AOR,Restated
2015-06,,1.021B,503.70M,1.525B,1.174B,1.174B,306.90M,168.70M,740.20M,,1.216B,268.20M,,4.184B,0.00,15.40M,184.90M,1.757B,,1.622B,3.580B,-2.089B,1.490B,1.145B,326.60M,1.471B,420.30M,,661.40M,4.043B,8.227B,,635.40M,142.00M,777.40M,859.30M,1.637B,,,,,29.80M,,29.80M,,,,2.130B,1.595B,,1.595B,,11.10M,,847.70M,2.443B,4.573B,,5.70M,7.004B,2.872B,5.857B,,,-381.50M,3.643B,,AOR,Restated
2015-03,,1.288B,136.70M,1.425B,1.350B,1.350B,254.50M,133.30M,685.30M,,1.073B,580.90M,,4.429B,0.00,14.90M,195.50M,1.695B,,1.534B,3.44B,-2.042B,1.398B,1.147B,330.40M,1.477B,393.70M,,396.60M,3.666B,8.095B,,497.70M,302.90M,800.60M,776.90M,1.578B,,115.00M,,20.30M,135.30M,,135.30M,,,,2.097B,1.318B,,1.318B,,9.80M,,815.30M,2.133B,4.230B,,5.70M,6.942B,2.817B,5.500B,,,-408.90M,3.855B,,AOR,Restated
2014-12,,1.241B,130.80M,1.372B,1.399B,1.399B,256.90M,143.80M,711.60M,,1.112B,542.70M,,4.426B,0.00,15.00M,197.80M,1.757B,,1.556B,3.525B,-2.091B,1.434B,993.30M,215.50M,1.209B,387.90M,,399.70M,3.431B,7.857B,,495.00M,374.20M,869.20M,776.30M,1.646B,,50.00M,,18.50M,68.50M,,68.50M,,,,2.044B,1.321B,,1.321B,,11.30M,,662.40M,1.983B,4.027B,,5.60M,6.762B,2.701B,5.355B,,,-295.30M,3.818B,,AOR,Restated
2014-09,,1.395B,,1.395B,1.502B,1.502B,275.20M,140.30M,841.50M,,1.257B,573.40M,,4.728B,0.00,15.20M,199.50M,1.735B,,1.541B,3.491B,-2.046B,1.444B,893.90M,154.00M,1.048B,,,444.20M,2.936B,7.664B,,516.10M,330.60M,846.70M,769.20M,1.616B,,,,14.00M,14.00M,,14.00M,,,,1.942B,1.319B,,1.319B,,14.00M,,609.40M,1.928B,3.870B,,5.60M,6.417B,2.647B,5.086B,,,-204.10M,3.780B,,AOR,Restated
2014-06,,1.629B,0.00,1.629B,1.379B,1.379B,317.50M,192.40M,784.10M,,1.294B,522.80M,,4.825B,0.00,15.40M,205.00M,1.744B,,1.566B,3.530B,-2.027B,1.503B,893.20M,157.30M,1.050B,13.60M,,476.90M,3.044B,7.869B,,524.50M,274.80M,799.30M,770.80M,1.570B,,,,,18.40M,,18.40M,,,,2.057B,1.325B,,1.325B,,14.50M,,618.00M,1.943B,3.999B,,5.60M,6.266B,2.563B,4.879B,,,-100.30M,3.855B,,AOR,Restated
2014-03,,1.530B,,1.530B,1.399B,1.399B,326.00M,160.60M,728.80M,,1.215B,547.20M,,4.692B,0.00,15.20M,202.30M,1.701B,,1.496B,3.415B,-1.980B,1.435B,891.50M,160.20M,1.052B,,,467.60M,2.954B,7.646B,,512.50M,333.00M,845.50M,755.30M,1.601B,,,,18.40M,18.40M,,18.40M,,,,2.039B,1.328B,,1.328B,,15.10M,,596.60M,1.924B,3.964B,,5.60M,6.085B,2.498B,4.812B,,,-109.50M,3.667B,,AOR,Restated
2013-12,,1.748B,,1.748B,1.501B,1.501B,302.20M,143.60M,700.10M,,1.146B,530.70M,,4.926B,0.00,15.10M,200.60M,1.735B,,1.467B,3.417B,-2.022B,1.395B,890.10M,163.20M,1.053B,,,466.90M,2.916B,7.841B,,493.30M,365.20M,858.50M,819.70M,1.678B,,,,15.90M,15.90M,,15.90M,,,,2.039B,1.323B,,1.323B,,14.50M,,596.10M,1.919B,3.958B,,5.60M,5.949B,2.437B,4.417B,,,-106.30M,3.869B,,AOR,Restated
2013-09,,1.322B,,1.322B,1.567B,1.567B,315.70M,139.50M,741.10M,,1.196B,547.20M,,4.632B,0.00,14.90M,199.80M,1.702B,,1.424B,3.340B,-1.976B,1.364B,885.40M,166.50M,1.052B,,,471.80M,2.888B,7.520B,,461.90M,344.80M,806.70M,836.30M,1.643B,,,,15.90M,15.90M,,15.90M,,,,1.988B,1.325B,,1.325B,,16.70M,,595.70M,1.920B,3.908B,,5.60M,5.595B,2.366B,4.274B,,,-96.30M,3.596B,,AOR,Restated
2013-06,,1.496B,,1.496B,1.172B,1.172B,274.20M,116.80M,722.90M,,1.114B,515.90M,,4.297B,0.00,14.70M,195.40M,1.668B,,1.350B,3.228B,-1.877B,1.351B,881.50M,169.60M,1.051B,,,446.20M,2.848B,7.145B,,481.70M,217.00M,698.70M,784.30M,1.483B,,,,,18.30M,,18.30M,,,,1.935B,1.326B,,1.326B,,15.00M,,582.70M,1.909B,3.843B,,5.60M,5.364B,2.290B,4.215B,,,-157.50M,3.287B,,AOR,Restated
2013-03,,1.439B,,1.439B,1.362B,1.362B,229.80M,98.50M,661.00M,,989.30M,496.40M,,4.286B,0.00,14.70M,193.30M,1.635B,,1.318B,3.161B,-1.865B,1.296B,890.30M,181.20M,1.072B,,,441.40M,2.809B,7.095B,,388.20M,168.80M,557.00M,1.339B,1.896B,,,,20.00M,20.00M,,20.00M,,,,1.916B,1.329B,,1.329B,,13.00M,,555.00M,1.972B,3.888B,,5.60M,5.340B,2.237B,4.191B,,,-198.30M,3.194B,,AOR,Restated
2012-12,,1.324B,,1.324B,1.532B,1.532B,287.30M,71.20M,635.60M,,994.10M,491.60M,,4.341B,0.00,14.90M,195.20M,1.625B,,1.314B,3.149B,-1.847B,1.302B,889.10M,184.60M,1.074B,,,453.80M,2.829B,7.170B,,345.70M,300.40M,646.10M,1.380B,2.026B,,,,26.00M,26.00M,,26.00M,,,,2.052B,1.330B,,1.330B,,12.90M,,564.70M,1.995B,4.047B,,5.60M,5.232B,2.162B,4.155B,,,-133.60M,3.110B,,AOR,Restated
2012-09,,1.054B,,1.054B,1.605B,1.605B,407.90M,79.70M,580.30M,,1.068B,486.80M,,4.213B,0.00,14.80M,193.00M,1.579B,,1.281B,3.068B,-1.800B,1.269B,885.90M,187.50M,1.073B,,,452.20M,2.794B,7.008B,,421.70M,183.60M,605.30M,1.343B,1.948B,,,,,24.00M,,24.00M,,,,1.972B,1.331B,,1.331B,,15.30M,,556.80M,1.995B,3.967B,,5.50M,5.064B,2.095B,3.996B,,,-144.40M,3.025B,,AOR,Restated
2012-06,,1.348B,,1.348B,1.060B,1.060B,220.70M,98.00M,664.90M,,983.60M,463.50M,,3.855B,0.00,14.60M,188.80M,1.538B,,1.227B,2.968B,-1.737B,1.232B,882.60M,190.10M,1.073B,,,433.40M,2.738B,6.593B,,493.80M,230.20M,724.00M,751.40M,1.475B,,,,,219.00M,,219.00M,,,,2.126B,1.069B,,1.069B,,14.30M,,544.30M,1.720B,3.846B,,5.50M,4.765B,2.006B,3.830B,,,-212.90M,2.733B,,AOR,Restated
2012-03,,1.193B,,1.193B,1.305B,1.305B,337.60M,79.30M,481.80M,,898.70M,503.60M,,3.900B,0.00,14.80M,192.30M,1.502B,,1.222B,2.932B,-1.75B,1.182B,881.90M,208.60M,1.090B,,,429.30M,2.702B,6.602B,,406.60M,180.40M,587.00M,1.327B,1.914B,,,,,144.00M,,144.00M,,,,2.058B,1.066B,,1.066B,141.20M,19.60M,,480.70M,1.688B,3.746B,,5.50M,4.715B,1.953B,3.789B,,,-48.90M,2.836B,,AOR,Restated
2011-12,,999.10M,,999.10M,1.384B,1.384B,382.10M,63.10M,453.70M,,898.90M,471.60M,,3.753B,0.00,14.70M,188.70M,1.466B,,1.208B,2.878B,-1.726B,1.151B,879.00M,211.80M,1.091B,,,346.70M,2.589B,6.342B,,384.80M,207.10M,591.90M,1.286B,1.878B,,,,,143.80M,,143.80M,,,,2.022B,1.069B,,1.069B,,17.80M,,468.30M,1.676B,3.698B,,5.50M,4.585B,1.882B,3.763B,,,-84.20M,2.626B,,AOR,Restated
2011-09,,719.50M,,719.50M,1.378B,1.378B,413.60M,74.20M,494.40M,,982.20M,481.90M,,3.562B,0.00,14.70M,189.90M,1.438B,,1.198B,2.840B,-1.715B,1.125B,876.70M,222.10M,1.099B,,,349.40M,2.573B,6.135B,,424.20M,163.90M,588.10M,1.240B,1.828B,,,,,141.80M,,141.80M,,,,1.970B,1.073B,,1.073B,131.60M,16.70M,,469.40M,1.674B,3.643B,,2.70M,4.395B,1.789B,3.646B,,,-66.20M,2.475B,,AOR,Restated
2011-06,,1.253B,,1.253B,945.60M,945.60M,426.60M,93.60M,475.40M,,995.60M,492.30M,,3.686B,0.00,15.00M,195.50M,1.436B,,1.215B,2.862B,-1.719B,1.143B,877.30M,227.50M,1.105B,,,339.50M,2.587B,6.274B,,446.70M,187.40M,634.10M,748.80M,1.383B,,,,,138.00M,,138.00M,,,,1.943B,1.080B,,1.080B,130.00M,17.60M,,473.50M,1.684B,3.627B,,2.70M,4.116B,1.736B,3.243B,,,17.70M,2.629B,,AOR,Restated
2011-03,,1.099B,,1.099B,1.250B,1.250B,356.00M,66.40M,466.90M,,889.30M,472.60M,,3.710B,0.00,14.70M,189.00M,1.407B,,1.181B,2.792B,-1.705B,1.087B,874.40M,232.20M,1.107B,,,292.20M,2.486B,6.196B,,373.50M,116.80M,490.30M,1.340B,1.830B,,,,,144.70M,,144.70M,,,,1.974B,1.083B,,1.083B,160.60M,20.50M,,449.80M,1.693B,3.668B,,2.70M,4.075B,1.673B,3.193B,,,-49.70M,2.508B,,AOR,Restated
2010-12,,1.043B,,1.043B,1.172B,1.172B,364.60M,74.10M,428.20M,,866.90M,431.60M,,3.514B,0.00,14.60M,184.90M,1.357B,,1.152B,2.708B,-1.641B,1.067B,900.00M,241.60M,1.142B,13.90M,,245.30M,2.468B,5.982B,,349.30M,118.10M,467.40M,,467.40M,,,,,26.00M,,26.00M,,,1.258B,1.751B,1.205B,,1.205B,,18.70M,,453.10M,1.825B,3.576B,,2.70M,3.951B,1.566B,3.020B,,,-111.90M,2.387B,,AOR,Restated
2010-09,,693.50M,,693.50M,1.155B,1.155B,325.70M,71.90M,507.60M,,905.20M,444.30M,,3.198B,0.00,14.60M,180.50M,1.313B,,1.129B,2.638B,-1.594B,1.044B,896.70M,245.00M,1.142B,13.70M,,239.90M,2.439B,5.638B,,379.20M,,379.20M,1.277B,1.656B,,,,,30.60M,,30.60M,,,,1.687B,1.204B,,1.204B,163.50M,17.00M,,444.60M,1.813B,3.500B,,2.70M,3.755B,1.478B,2.994B,,,-121.10M,2.121B,,AOR,Restated
2010-06,,1.121B,,1.121B,746.20M,746.20M,370.20M,78.60M,377.80M,,826.60M,427.50M,,3.121B,0.00,14.30M,172.50M,1.257B,,1.081B,2.525B,-1.501B,1.024B,752.50M,109.50M,862.00M,,,329.00M,2.215B,5.336B,,425.20M,109.20M,534.40M,648.10M,1.182B,,,,,23.40M,,23.40M,,,,1.572B,1.205B,,1.205B,163.30M,17.00M,,429.70M,1.798B,3.370B,,2.70M,3.564B,1.429B,2.850B,,,-196.70M,1.948B,,AOR,Restated
2010-03,,1.381B,,1.381B,978.80M,978.80M,361.90M,35.60M,387.00M,,784.50M,397.90M,,3.542B,0.00,14.40M,184.20M,1.249B,,1.101B,2.549B,-1.536B,1.012B,752.20M,121.30M,873.50M,12.90M,,352.70M,2.252B,5.794B,,355.00M,,355.00M,1.271B,1.626B,,,,,21.70M,,21.70M,,,,1.647B,1.396B,,1.396B,253.50M,24.00M,,397.10M,2.046B,3.694B,,2.70M,3.540B,1.379B,2.731B,,,-114.30M,2.076B,,AOR,Restated
2009-12,,1.224B,,1.224B,1.098B,1.098B,366.60M,36.70M,353.10M,,756.40M,371.00M,,3.450B,0.00,14.60M,187.20M,1.207B,,1.128B,2.537B,-1.525B,1.012B,751.40M,123.60M,875.00M,13.00M,,362.00M,2.262B,5.712B,,314.30M,110.50M,424.80M,,424.80M,,,,,27.80M,,27.80M,,,1.203B,1.656B,1.376B,,1.376B,,27.00M,,411.60M,2.047B,3.703B,,2.60M,3.483B,1.236B,2.663B,,,-77.00M,1.982B,,AOR,Restated
2009-09,,799.20M,,799.20M,1.097B,1.097B,383.10M,35.70M,425.40M,,844.20M,422.20M,,3.163B,0.00,14.60M,186.70M,1.194B,,1.142B,2.537B,-1.519B,1.018B,763.40M,152.20M,915.60M,13.10M,,357.20M,2.304B,5.467B,,342.60M,,342.60M,1.178B,1.520B,,,,,19.50M,,19.50M,,,,1.540B,1.389B,,1.389B,267.80M,22.00M,,413.30M,2.070B,3.610B,,2.60M,3.336B,1.166B,2.586B,,,-83.50M,1.835B,,AOR,Restated
