,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-03,2.657B,2.657B,504.00M,2.153B,1.754B,-15.00M,18.00M,4.00M,-14.00M,,1.754B,399.00M,4.00M,18.00M,-14.00M,-15.00M,-14.00M,370.00M,104.00M,266.00M,,,-1.00M,,265.00M,275.80M,491.00M,103.00M,388.00M,,0.72,,,0.7493,0.72,,0.71,,,0.7388,0.71,,369.10M,375.60M,0.30,,AOR,Restated
2015-12,3.124B,3.124B,589.00M,2.535B,1.886B,-19.00M,17.00M,3.00M,-14.00M,,1.886B,649.00M,3.00M,17.00M,-14.00M,-19.00M,-14.00M,616.00M,167.00M,449.00M,,,-2.00M,,447.00M,460.83M,737.00M,104.00M,633.00M,,1.21,,,1.247,1.21,,1.19,,,1.227,1.19,,369.60M,376.00M,0.30,,AOR,Restated
2015-09,2.835B,2.835B,577.00M,2.258B,1.805B,0.00,17.00M,3.00M,-14.00M,,1.805B,453.00M,3.00M,17.00M,-14.00M,,-14.00M,439.00M,128.00M,311.00M,,,-2.00M,,309.00M,309.00M,554.00M,98.00M,456.00M,,0.83,,,0.83,0.83,,0.82,,,0.82,0.82,,372.50M,379.00M,0.24,,AOR,Restated
2015-06,2.524B,2.524B,487.40M,2.037B,1.809B,0.00,15.00M,6.50M,-8.50M,,1.809B,228.00M,6.50M,15.00M,-8.50M,,-8.50M,219.50M,65.10M,154.40M,,,-1.30M,,153.10M,153.10M,344.90M,110.40M,234.50M,,0.41,,,0.41,0.41,,0.40,,,0.40,0.40,,376.90M,383.90M,0.24,,AOR,Restated
2015-03,2.580B,2.580B,502.90M,2.078B,1.680B,0.00,15.20M,3.10M,-12.10M,,1.680B,397.20M,3.10M,15.20M,-12.10M,,-12.10M,385.10M,112.40M,272.70M,,,-0.60M,,272.10M,272.10M,500.30M,100.00M,400.30M,,0.72,,,0.72,0.72,,0.71,,,0.71,0.71,,378.50M,384.70M,0.24,,AOR,Restated
2014-12,3.044B,3.044B,573.10M,2.471B,1.839B,0.00,15.00M,3.80M,-11.20M,,1.839B,632.80M,3.80M,15.00M,-11.20M,,-11.20M,621.60M,183.90M,437.70M,,,-2.00M,,435.70M,435.70M,734.60M,98.00M,636.60M,,1.15,,,1.15,1.15,,1.13,,,1.13,1.13,,380.00M,386.10M,0.24,,AOR,Restated
2014-09,2.631B,2.631B,536.60M,2.094B,1.746B,,14.80M,1.60M,-13.20M,,1.746B,348.00M,1.60M,14.80M,-13.20M,,-13.20M,334.80M,105.60M,229.20M,,,-1.10M,,228.10M,228.10M,450.20M,100.60M,349.60M,,0.60,,,0.60,0.60,,0.59,,,0.59,0.59,,381.80M,388.20M,0.20,,AOR,Restated
2014-06,2.725B,2.725B,533.80M,2.192B,1.812B,0.70M,15.20M,2.60M,-12.60M,,1.812B,379.50M,2.60M,15.20M,-12.60M,0.70M,-12.60M,367.60M,109.20M,258.40M,,,-0.70M,,257.70M,257.21M,487.40M,104.60M,382.80M,,0.67,,,0.6687,0.67,,0.66,,,0.6587,0.66,,382.90M,390.10M,0.20,,AOR,Restated
2014-03,2.550B,2.550B,498.70M,2.051B,1.710B,0.00,15.00M,2.70M,-12.30M,,1.710B,341.60M,2.70M,15.00M,-12.30M,,-12.30M,329.30M,115.60M,213.70M,,,-0.50M,,213.20M,213.20M,439.90M,95.60M,344.30M,,0.55,,,0.55,0.55,,0.54,,,0.54,0.54,,385.80M,392.10M,0.20,,AOR,Restated
2013-12,3.019B,3.019B,581.60M,2.437B,1.784B,3.40M,14.60M,2.20M,-12.40M,,1.784B,652.90M,2.20M,14.60M,-12.40M,3.40M,-12.40M,643.90M,208.70M,435.20M,,,-2.70M,,432.50M,430.20M,754.00M,95.50M,658.50M,,1.11,,,1.104,1.11,,1.09,,,1.084,1.09,,388.30M,395.40M,0.20,,AOR,Restated
2013-09,2.675B,2.675B,544.10M,2.131B,1.680B,-1.20M,13.50M,,-13.50M,,1.680B,450.70M,,13.50M,-13.50M,-1.20M,-13.50M,436.00M,134.20M,301.80M,,,-1.10M,,300.70M,301.53M,538.40M,88.90M,449.50M,,0.78,,,0.7821,0.78,,0.76,,,0.7621,0.76,,387.80M,394.90M,0.18,,AOR,Restated
2013-06,2.407B,2.407B,475.60M,1.932B,1.765B,-20.80M,21.30M,,-13.00M,,1.765B,166.60M,,21.30M,-13.00M,-20.80M,-13.00M,132.80M,36.90M,95.90M,,,-1.90M,,94.00M,109.02M,243.80M,89.70M,154.10M,,0.24,,,0.2787,0.24,,0.24,,,0.2780,0.24,,387.90M,395.50M,0.18,,AOR,Restated
2013-03,2.292B,2.292B,443.10M,1.849B,1.605B,1.70M,12.60M,,-12.60M,,1.605B,243.40M,,12.60M,-12.60M,1.70M,-12.60M,232.50M,53.60M,178.90M,,,-0.10M,,178.80M,177.49M,335.50M,90.40M,245.10M,,0.46,,,0.4566,0.46,,0.45,,,0.4467,0.45,,387.20M,394.00M,0.18,,AOR,Restated
2012-12,2.933B,2.933B,568.00M,2.365B,1.699B,-13.30M,13.40M,,-13.40M,,1.699B,666.40M,,13.40M,-13.40M,8.00M,-13.40M,661.00M,211.60M,449.40M,,,-1.90M,,447.50M,456.54M,753.70M,79.30M,674.40M,,1.16,,,1.183,1.16,,1.13,,,1.153,1.13,,387.40M,394.70M,0.72,,AOR,Restated
2012-09,2.550B,2.550B,539.20M,2.010B,1.528B,-19.50M,15.80M,,-15.80M,,1.528B,482.40M,,15.80M,-15.80M,-17.70M,-15.80M,448.90M,149.30M,299.60M,,,-0.10M,,299.50M,312.51M,542.20M,77.50M,464.70M,,0.77,,,0.8035,0.77,,0.76,,,0.7929,0.76,,387.80M,395.50M,0.00,,AOR,Restated
2012-06,2.251B,2.251B,441.20M,1.81B,1.701B,-35.40M,14.00M,,-14.00M,,1.701B,108.60M,,14.00M,-14.00M,-35.40M,-14.00M,59.20M,7.00M,52.20M,,,-1.00M,,51.20M,82.41M,153.60M,80.40M,73.20M,,0.13,,,0.2102,0.13,,0.13,,,0.2086,0.13,,389.30M,397.00M,0.00,,AOR,Restated
2012-03,2.248B,2.248B,469.30M,1.779B,1.539B,-28.40M,14.50M,,-14.50M,,1.539B,239.90M,,14.50M,-14.50M,-28.40M,-14.50M,197.00M,65.70M,131.30M,,,-0.90M,,130.40M,149.31M,285.90M,74.40M,211.50M,,0.34,,,0.3887,0.34,,0.33,,,0.3777,0.33,,388.20M,396.30M,0.00,,AOR,Restated
2011-12,2.738B,2.738B,551.00M,2.186B,1.577B,-12.80M,16.60M,,-16.60M,,1.577B,609.80M,,16.60M,-16.60M,-2.30M,-16.60M,590.90M,192.50M,398.40M,,,-1.70M,,396.70M,405.33M,678.90M,71.40M,607.50M,,1.03,,,1.052,1.03,,1.00,,,1.022,1.00,,386.80M,395.20M,0.525,,AOR,Restated
2011-09,2.477B,2.477B,534.30M,1.942B,1.508B,-4.70M,16.00M,,-16.00M,,1.508B,434.70M,,16.00M,-16.00M,-4.70M,-16.00M,414.00M,135.40M,278.60M,,,0.00,,278.60M,281.76M,499.60M,69.60M,430.00M,,0.71,0.00,,0.7181,0.71,,0.70,0.00,,0.7079,0.70,,390.50M,399.30M,0.00,,AOR,Restated
2011-06,2.061B,2.061B,425.10M,1.636B,1.560B,-11.10M,15.90M,,-15.90M,,1.560B,75.70M,,15.90M,-15.90M,-11.10M,-15.90M,48.70M,5.50M,43.20M,,,-2.10M,,41.10M,50.95M,146.40M,81.80M,64.60M,,0.11,,,0.1350,0.11,,0.10,,,0.1244,0.10,,394.00M,403.00M,0.00,,AOR,Restated
2011-03,2.166B,2.166B,482.60M,1.683B,1.416B,-58.10M,15.80M,,-15.80M,,1.416B,267.20M,,15.80M,-15.80M,-58.10M,-15.80M,193.30M,68.20M,125.10M,,,-0.40M,,124.70M,162.30M,286.40M,77.30M,209.10M,,0.32,0.00,,0.4151,0.32,,0.31,0.00,,0.4030,0.31,,395.30M,404.10M,0.00,,AOR,Restated
2010-12,2.492B,2.492B,541.10M,1.951B,1.419B,-14.00M,,,-16.10M,,1.419B,531.70M,,,-16.10M,-14.00M,-16.10M,501.60M,155.70M,345.90M,,,-2.00M,,343.90M,353.55M,598.20M,66.50M,531.70M,,0.87,0.00,,0.8945,0.87,,0.86,0.00,,0.8840,0.86,,393.40M,401.80M,0.375,,AOR,Restated
2010-09,2.092B,2.092B,488.10M,1.604B,1.302B,-3.80M,,,16.10M,,1.302B,301.80M,,,16.10M,-3.80M,16.10M,281.90M,92.30M,189.60M,,,1.50M,,191.10M,193.66M,370.60M,68.80M,301.80M,,0.485,0.00,,0.4915,0.485,,0.475,0.00,,0.4814,0.475,,393.40M,400.80M,0.00,,AOR,Restated
2010-06,1.840B,1.840B,414.30M,1.426B,1.358B,-52.90M,,,-159.30M,-29.00M,1.329B,96.50M,,,-159.30M,-52.90M,-159.30M,-0.30M,-25.30M,25.00M,,,-1.10M,,23.90M,58.28M,70.50M,66.90M,3.60M,,0.06,0.00,,0.1466,0.06,,0.055,0.00,,0.1399,0.055,,397.20M,405.00M,0.00,,AOR,Restated
2010-03,1.86B,1.86B,444.60M,1.415B,1.277B,-12.50M,,,18.20M,,1.277B,138.80M,,,18.20M,-12.50M,18.20M,108.10M,50.20M,57.90M,,,-0.40M,,57.50M,65.62M,207.90M,69.10M,138.80M,,0.145,0.00,,0.1655,0.145,,0.14,0.00,,0.1601,0.14,,396.00M,403.60M,0.00,,AOR,Restated
2009-12,2.262B,2.262B,525.40M,1.737B,1.282B,-54.90M,,,-19.90M,,1.282B,454.50M,,,-19.90M,-54.90M,-19.90M,379.70M,118.00M,261.70M,,,-5.50M,,256.20M,294.04M,516.90M,62.40M,454.50M,,0.65,0.00,,0.7459,0.65,,0.64,0.00,,0.7344,0.64,,394.60M,400.80M,0.275,,AOR,Restated
2009-09,1.833B,1.833B,445.10M,1.388B,1.150B,-18.20M,,,19.60M,,1.150B,238.60M,,,19.60M,-18.20M,19.60M,200.80M,63.00M,137.80M,,,2.90M,,140.70M,153.19M,303.90M,65.30M,238.60M,,0.36,0.00,,0.3917,0.36,,0.355,0.00,,0.3865,0.355,,393.40M,396.40M,0.00,,AOR,Restated
2009-06,1.683B,1.683B,427.10M,1.256B,1.152B,-118.70M,,,-20.20M,,1.152B,104.00M,,,-20.20M,-118.70M,-20.20M,-34.90M,-22.50M,-12.40M,,,-5.50M,,-17.90M,59.26M,166.20M,62.20M,104.00M,,-0.045,0.00,,0.1512,-0.045,,-0.045,0.00,,0.1504,-0.045,,393.20M,394.80M,0.00,,AOR,Restated
2009-03,1.696B,1.696B,446.40M,1.250B,1.159B,-20.80M,,,-20.60M,,1.159B,91.10M,,,-20.60M,-20.80M,-20.60M,49.70M,21.40M,28.30M,,,-1.10M,,27.20M,40.72M,157.00M,65.90M,91.10M,,0.07,0.00,,0.1044,0.07,,0.07,0.00,,0.1043,0.07,,393.40M,394.40M,0.00,,AOR,Restated
2008-12,2.041B,2.041B,508.00M,1.533B,1.262B,-0.30M,,,-19.60M,,1.262B,270.60M,,,-19.60M,-0.30M,-19.60M,250.70M,89.40M,161.30M,,,-3.30M,,158.00M,158.19M,333.90M,63.30M,270.60M,,0.40,0.00,,0.4005,0.40,,0.40,0.00,,0.4005,0.40,,393.20M,395.00M,0.275,,,Restated
2008-09,1.904B,1.904B,500.10M,1.403B,1.311B,-0.10M,15.30M,,-15.30M,,1.311B,92.60M,,15.30M,-15.30M,-0.10M,-15.30M,77.20M,27.60M,49.60M,,,1.50M,,51.10M,51.16M,155.10M,62.60M,92.50M,,0.13,0.00,,0.1302,0.13,,0.13,0.00,,0.1302,0.13,,390.60M,397.60M,0.00,,,Restated
2008-06,2.012B,2.012B,490.60M,1.522B,1.306B,-14.90M,14.00M,,-14.00M,,1.306B,216.00M,,14.00M,-14.00M,-14.90M,-14.00M,187.10M,62.20M,124.90M,,,-4.70M,,120.20M,130.15M,267.30M,66.20M,201.10M,,0.305,0.00,,0.3306,0.305,,0.30,0.00,,0.3251,0.30,,388.40M,396.00M,0.00,,,Restated
2008-03,1.880B,1.880B,471.90M,1.408B,1.247B,0.70M,16.10M,,-16.10M,,1.247B,160.50M,,16.10M,-16.10M,0.70M,-16.10M,145.10M,53.70M,91.40M,,,-1.30M,,90.10M,89.66M,223.80M,62.60M,161.20M,,0.235,0.00,,0.2339,0.235,,0.23,0.00,,0.2289,0.23,,387.80M,393.20M,0.00,,,Restated
2007-12,2.309B,2.309B,578.50M,1.730B,1.360B,0.10M,,,,-0.10M,1.360B,370.50M,,,,0.10M,,352.20M,122.90M,224.40M,,,-4.90M,,224.40M,224.33M,433.40M,62.90M,370.50M,,0.58,0.00,,0.5798,0.58,,0.57,0.00,,0.5698,0.57,,386.60M,393.00M,0.275,,,
2007-09,1.710B,1.710B,455.80M,1.254B,1.176B,-0.30M,,,,0.30M,1.176B,77.90M,,,,-0.30M,,59.50M,21.10M,39.10M,,,0.70M,,39.10M,39.29M,136.90M,59.00M,77.90M,,0.10,0.00,,0.1005,0.10,,0.10,0.00,,0.1005,0.10,,388.00M,394.40M,0.00,,,
2007-06,1.762B,1.762B,421.70M,1.341B,1.179B,-0.70M,,,,0.70M,1.180B,160.90M,,,,-0.70M,,145.20M,56.10M,88.40M,0.20M,,-0.70M,,88.60M,88.83M,215.30M,54.40M,160.90M,,0.23,0.00,,0.2311,0.23,,0.225,0.00,,0.2261,0.225,,388.20M,396.40M,0.00,,,
2007-03,1.690B,1.690B,426.00M,1.264B,1.108B,0.10M,,,,-0.10M,1.108B,156.70M,,,,0.10M,,147.90M,52.40M,93.80M,0.10M,,-1.70M,,93.90M,93.74M,205.70M,49.00M,156.70M,,0.23,0.00,,0.2298,0.23,,0.225,0.00,,0.2248,0.225,,407.60M,416.00M,0.00,,,
2006-12,1.991B,1.991B,499.00M,1.492B,1.160B,,,,,,1.160B,332.40M,,,,,,324.70M,113.30M,208.50M,-0.10M,,-2.90M,,208.40M,208.50M,385.30M,52.90M,332.40M,,0.50,0.00,,0.50,0.50,,0.495,0.00,,0.495,0.495,,416.60M,422.80M,0.25,,,
2006-09,1.594B,1.594B,428.10M,1.165B,1.065B,-0.50M,,,,0.50M,1.066B,99.90M,,,,-0.50M,,93.20M,33.40M,58.00M,0.30M,,-1.80M,,58.30M,58.32M,150.80M,50.90M,99.90M,,0.14,0.00,,0.1408,0.14,,0.135,0.00,,0.1358,0.135,,422.20M,427.20M,0.00,,,
2006-06,1.605B,1.605B,397.10M,1.208B,1.021B,-38.90M,,,,38.90M,1.06B,147.50M,,,,-38.90M,,142.80M,90.30M,49.10M,-4.60M,,-3.40M,,44.50M,72.44M,198.90M,51.40M,147.50M,,0.12,-0.01,,0.1750,0.11,,0.115,-0.01,,0.1694,0.105,,424.60M,428.80M,0.00,,,
2006-03,1.578B,1.578B,411.50M,1.167B,998.80M,-51.60M,,,,51.60M,1.050B,116.30M,,,,-51.60M,,109.70M,43.40M,63.20M,-3.70M,,-3.10M,,59.50M,94.39M,166.20M,49.90M,116.30M,,0.15,-0.01,,0.2234,0.14,,0.145,-0.01,,0.2176,0.14,,424.80M,429.80M,0.00,,,
2005-12,1.784B,1.784B,458.50M,1.325B,1.075B,,,,,,1.075B,250.70M,,,,,,243.80M,90.20M,150.40M,-68.70M,,-3.20M,,81.70M,150.40M,300.60M,49.90M,250.70M,,0.35,-0.16,,0.35,0.19,,0.35,-0.16,,0.35,0.19,,429.40M,433.20M,0.20,,,
2005-09,1.497B,1.497B,419.50M,1.078B,972.50M,,,,,,972.50M,105.10M,,,,,,99.50M,35.80M,61.80M,-3.30M,,-1.90M,,58.50M,61.80M,152.30M,47.20M,105.10M,,0.14,-0.01,,0.14,0.13,,0.14,-0.01,,0.14,0.13,,441.20M,447.20M,0.00,,,
2005-06,1.528B,1.528B,367.50M,1.161B,1.002B,,,,,,1.002B,159.00M,,,,,,155.80M,85.40M,66.90M,-0.30M,,-3.50M,,66.60M,66.90M,211.70M,52.70M,159.00M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,445.80M,450.60M,0.00,,,
2005-03,1.525B,1.525B,383.70M,1.142B,962.80M,,,,,,962.80M,178.80M,,,,,,175.50M,65.70M,107.60M,-1.40M,,-2.20M,,106.20M,107.60M,228.30M,49.50M,178.80M,,0.24,-0.005,,0.24,0.235,,0.235,-0.005,,0.235,0.23,,451.00M,457.40M,0.00,,,
2004-12,1.736B,1.736B,443.90M,1.292B,1.060B,,,,,,1.060B,232.70M,,,,,,229.40M,86.30M,139.70M,-1.40M,,-3.40M,,138.30M,139.70M,280.30M,47.60M,232.70M,,0.31,-0.005,,0.31,0.305,,0.305,-0.005,,0.305,0.30,,451.20M,458.40M,0.20,,,
2004-09,1.490B,1.490B,407.70M,1.083B,926.30M,,,,,,926.30M,156.30M,,,,,,152.20M,56.30M,95.70M,-0.70M,,-0.20M,,95.00M,95.70M,203.20M,46.90M,156.30M,,0.21,0.00,,0.21,0.21,,0.205,0.00,,0.205,0.205,,454.20M,462.40M,0.00,,,
2004-06,1.354B,1.354B,328.90M,1.025B,875.90M,,,,,,894.70M,130.60M,,,,,,125.30M,48.70M,74.40M,-3.30M,,-2.20M,,71.10M,74.40M,183.10M,52.50M,130.60M,,0.085,0.07,,0.085,0.155,,0.085,0.07,,0.085,0.155,,455.80M,464.40M,0.00,,,
2004-03,1.422B,1.422B,358.60M,1.063B,893.40M,,,,,,893.40M,169.60M,,,,,,162.70M,60.90M,100.10M,-1.80M,,-1.70M,,98.30M,100.10M,217.00M,47.40M,169.60M,,0.22,-0.005,,0.22,0.215,,0.215,-0.005,,0.215,0.21,,456.60M,463.80M,0.00,,,
2003-12,1.619B,1.619B,412.70M,1.206B,987.40M,,,,,,987.40M,219.00M,,,,,,211.80M,80.70M,126.30M,-30.60M,,-4.80M,,95.70M,126.30M,265.70M,46.70M,219.00M,,0.275,-0.065,,0.275,0.21,,0.27,-0.065,,0.27,0.205,,457.20M,463.20M,0.15,,,
2003-09,1.347B,1.347B,364.10M,982.50M,848.50M,-4.30M,,,,4.30M,852.80M,129.70M,,,,-4.30M,,122.00M,44.10M,77.70M,-0.70M,,-0.20M,,77.00M,80.45M,174.80M,45.10M,129.70M,,0.17,0.00,,0.1760,0.17,,0.17,-0.005,,0.1760,0.165,,456.20M,461.20M,0.00,,,
