,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,93.80M,,,79.00M,79.00M,-2.70M,,,12.80M,,12.80M,-39.60M,,,,37.90M,-61.60M,,-63.30M,,119.60M,-56.20M,,,-13.90M,,,-70.10M,0.00,-76.80M,-76.80M,,,,-46.90M,-46.90M,2.20M,-16.80M,-138.30M,336.40M,-88.80M,1.70M,249.30M,,0.00,-76.80M,
2017-12,174.50M,,,74.20M,74.20M,-3.50M,,,3.70M,,3.70M,13.60M,,,,-95.70M,40.50M,,-41.60M,,207.30M,-60.70M,,,-62.60M,,0.00,-123.30M,100.00M,-102.50M,-2.50M,,0.00,0.00,-46.70M,-46.70M,0.40M,-12.10M,-60.90M,315.40M,23.10M,-2.10M,336.40M,,-2.50M,0.00,0.00
2017-09,100.50M,,,73.20M,73.20M,-33.80M,,,9.30M,,9.30M,9.20M,,,,5.90M,115.30M,,130.40M,,279.60M,-57.60M,,,-67.70M,,0.00,-125.30M,-272.50M,146.10M,-126.40M,,-77.10M,-77.10M,-46.80M,-46.80M,5.80M,-2.60M,-247.10M,403.90M,-92.80M,4.30M,315.40M,,146.10M,-272.50M,-77.10M
2017-06,167.60M,,,71.40M,71.40M,-4.20M,,,6.60M,,6.60M,-1.40M,,,,-1.10M,-13.50M,,-16.00M,,225.40M,-49.60M,,,-2.30M,,0.00,-51.90M,0.00,162.40M,162.40M,,,,-47.00M,-47.00M,3.60M,-11.40M,107.60M,123.20M,281.10M,-0.40M,403.90M,,162.40M,0.00,
2017-03,155.40M,,,72.10M,72.10M,-2.60M,,,18.70M,,18.70M,-22.70M,,,,-29.20M,-88.00M,,-139.90M,,103.70M,-50.30M,,,-7.30M,,8.60M,-49.00M,-50.00M,46.40M,-3.60M,,,,-46.90M,-46.90M,9.40M,-22.20M,-63.30M,129.30M,-8.60M,2.50M,123.20M,,46.40M,-50.00M,
2016-12,124.80M,,,73.30M,73.30M,-2.60M,,,6.90M,-6.30M,0.60M,-1.20M,,,,1.20M,82.70M,,82.70M,,278.80M,-42.50M,,,0.80M,0.00,,-41.70M,-50.00M,-121.20M,-171.20M,,0.00,0.00,-39.50M,-39.50M,4.70M,-6.40M,-212.40M,111.50M,24.70M,-6.90M,129.30M,,-121.20M,-50.00M,0.00
2016-09,134.90M,,,70.70M,70.70M,-13.00M,,,8.00M,-9.60M,-1.60M,-12.00M,,,,-8.40M,75.10M,,54.70M,,245.70M,-48.20M,,,-64.60M,0.00,,-112.80M,-90.00M,-13.30M,-103.30M,,0.00,0.00,-39.50M,-39.50M,11.10M,5.20M,-126.50M,96.80M,6.40M,8.30M,111.50M,,-13.30M,-90.00M,0.00
2016-06,133.00M,,,67.90M,67.90M,1.50M,,,5.90M,-9.10M,-3.20M,2.90M,,,,-9.50M,-2.20M,,-8.80M,,190.40M,-42.60M,,,0.00,0.00,,-42.60M,574.70M,-692.60M,-117.90M,,,,-39.40M,-39.40M,11.60M,-1.50M,-147.20M,96.80M,0.60M,-0.60M,96.80M,,82.10M,-200.00M,
2016-03,102.40M,,,56.80M,56.80M,1.10M,,,16.30M,-10.90M,5.40M,-45.40M,,,,17.00M,-29.20M,,-57.60M,,108.10M,-40.20M,,,-1.728B,-10.80M,,-1.779B,790.00M,900.10M,1.690B,,,,-39.20M,-39.20M,4.10M,-8.60M,1.646B,93.30M,-24.30M,27.80M,96.80M,,1.700B,-10.00M,
2015-12,113.00M,,,49.60M,49.60M,-4.40M,0.00,,6.20M,-7.90M,-1.70M,2.10M,,-21.20M,,12.00M,82.80M,0.10M,75.80M,,232.30M,-52.60M,,,0.00,0.00,,-52.60M,0.00,-137.60M,-137.60M,,0.00,0.00,-34.40M,-34.40M,8.40M,-24.40M,-188.00M,108.50M,-8.30M,-6.90M,93.30M,,193.40M,-331.00M,0.00
2015-09,119.70M,,,49.60M,49.60M,-5.70M,0.00,,7.70M,-5.00M,2.70M,5.80M,,18.50M,,-0.50M,58.60M,-1.50M,80.90M,,247.20M,-38.40M,,,2.90M,0.00,,-35.50M,0.00,-148.20M,-148.20M,,-14.10M,-14.10M,-34.40M,-34.40M,8.80M,5.00M,-182.90M,84.20M,28.80M,-4.50M,108.50M,,-193.40M,45.20M,-14.10M
2015-06,112.50M,,,50.50M,50.50M,-22.20M,14.80M,,6.30M,-3.10M,18.00M,-4.20M,,-11.30M,,-0.50M,42.50M,1.40M,27.90M,,186.70M,-33.60M,,,0.00,0.00,,-33.60M,0.00,-42.40M,-42.40M,,-92.30M,-92.30M,-34.30M,-34.30M,5.80M,-1.30M,-164.50M,95.00M,-11.40M,0.60M,84.20M,,0.00,-42.40M,-92.30M
2015-03,89.60M,,,50.30M,50.30M,3.60M,,,18.20M,-14.00M,4.20M,-30.60M,,14.00M,,4.90M,-33.10M,,-44.80M,,102.90M,-21.60M,,,-4.50M,0.00,,-26.10M,0.00,-2.80M,-2.80M,,-89.90M,-89.90M,-34.70M,-34.70M,11.40M,12.40M,-103.60M,128.30M,-26.80M,-6.50M,95.00M,,0.00,-2.80M,-89.90M
2014-12,98.80M,,,51.00M,51.00M,-10.10M,0.00,,9.10M,-5.80M,3.30M,-16.70M,,36.60M,,-4.80M,50.00M,-5.30M,59.80M,,202.80M,-22.50M,,,-7.30M,,,-29.80M,-275.00M,247.60M,-27.40M,,-115.00M,-115.00M,-29.90M,-29.90M,10.00M,5.60M,-156.70M,115.00M,16.30M,-3.00M,128.30M,,247.60M,-275.00M,-115.00M
2014-09,94.40M,,,51.30M,51.30M,-2.30M,0.00,,9.40M,-1.50M,7.90M,16.70M,,-15.60M,,-3.50M,36.80M,3.10M,37.50M,,188.80M,-26.20M,,,1.10M,,,-25.10M,0.00,0.90M,0.90M,,-113.20M,-113.20M,-30.10M,-30.10M,5.20M,0.00,-137.20M,91.70M,26.50M,-3.20M,115.00M,,0.90M,0.00,-113.20M
2014-06,94.50M,,,51.00M,51.00M,2.30M,0.00,,8.50M,-6.00M,2.50M,-7.40M,,-27.80M,,2.90M,32.50M,2.30M,2.50M,,152.80M,-19.20M,,,-0.50M,,,-19.70M,-15.00M,-62.00M,-77.00M,,-49.00M,-49.00M,-30.50M,-30.50M,10.60M,1.50M,-144.40M,101.40M,-11.30M,1.60M,91.70M,,-62.00M,-15.00M,-49.00M
2014-03,86.30M,,,50.90M,50.90M,0.50M,,,11.10M,-4.40M,6.70M,-20.40M,,6.80M,,-0.40M,-58.50M,-0.10M,-72.60M,,71.80M,-18.50M,,,-336.20M,,,-354.70M,,193.40M,193.40M,,-24.40M,-24.40M,-30.70M,-30.70M,13.90M,2.70M,154.90M,235.90M,-128.00M,-6.50M,101.40M,,193.40M,0.00,-24.40M
2013-12,78.90M,0.00,0.00,45.70M,45.70M,-2.80M,,,9.10M,-3.50M,22.60M,-1.00M,,2.60M,,-0.10M,44.20M,1.80M,47.50M,,191.90M,-21.80M,,,-63.90M,,,-85.70M,0.00,-0.80M,-0.80M,,0.00,0.00,-26.80M,-26.80M,8.90M,19.50M,0.80M,131.90M,107.00M,-3.00M,235.90M,,0.00,-0.80M,0.00
2013-09,85.50M,0.00,0.00,52.30M,52.30M,0.60M,,,6.40M,-3.50M,2.90M,13.10M,,-2.90M,,6.60M,15.10M,1.10M,33.00M,,174.30M,-25.30M,,,-34.20M,,,-59.50M,0.00,-59.90M,-59.90M,,-11.90M,-11.90M,-26.70M,-26.70M,14.60M,-2.60M,-86.50M,104.90M,28.30M,-1.30M,131.90M,,0.00,-59.90M,-11.90M
2013-06,92.30M,-0.60M,-0.60M,44.20M,44.20M,-3.90M,,,6.30M,-7.00M,-0.70M,-10.40M,,-4.10M,,-3.70M,17.70M,5.70M,5.20M,,136.50M,-17.50M,,,1.40M,,,-16.10M,-15.00M,-100.00M,-115.00M,,0.00,0.00,-26.70M,-26.70M,18.40M,4.30M,-119.00M,107.60M,1.40M,-4.10M,104.90M,,0.00,-115.00M,0.00
2013-03,103.20M,-18.40M,-18.40M,48.10M,48.10M,-3.60M,,,10.40M,-0.60M,9.80M,-4.10M,,0.20M,,4.30M,-74.90M,1.70M,-72.80M,,66.30M,-18.70M,,,43.70M,,,25.00M,,-106.60M,-106.60M,,0.00,0.00,-26.50M,-26.50M,5.90M,-1.20M,-128.40M,146.80M,-37.10M,-2.10M,107.60M,,0.00,-106.60M,0.00
2012-12,48.20M,0.00,38.70M,40.60M,40.60M,-22.70M,,,8.00M,2.20M,10.20M,-7.70M,,-18.50M,,-1.60M,59.00M,1.80M,33.00M,,148.00M,-16.70M,,,-1.009B,,,-1.026B,499.10M,262.20M,761.30M,,0.00,0.00,-21.50M,-21.50M,27.40M,-11.00M,756.20M,267.10M,-121.60M,1.30M,146.80M,,,28.00M,0.00
2012-09,80.10M,0.00,0.00,40.40M,40.40M,-3.00M,,,5.00M,-0.30M,4.70M,0.30M,,5.90M,,-3.30M,22.80M,3.10M,28.80M,,151.00M,-14.80M,,,-7.40M,,,-22.20M,0.00,3.50M,3.50M,,-34.00M,-34.00M,-21.40M,-21.40M,7.60M,0.20M,-44.10M,183.10M,84.70M,-0.70M,267.10M,,,3.50M,-34.00M
2012-06,78.80M,0.00,0.00,41.10M,41.10M,-1.20M,,,5.70M,-3.10M,2.60M,1.20M,,-6.30M,,2.10M,31.70M,-1.00M,27.70M,,149.00M,-14.30M,,,-1.10M,,,-15.40M,-15.10M,-1.40M,-16.50M,,-51.10M,-51.10M,-21.90M,-21.90M,12.70M,1.70M,-75.10M,132.70M,58.50M,-8.10M,183.10M,,,-16.50M,-51.10M
2012-03,73.70M,0.00,0.00,41.30M,41.30M,0.40M,,,9.30M,-0.50M,8.80M,-11.00M,,-3.60M,,-1.20M,-60.20M,0.10M,-75.90M,,48.30M,-20.20M,,,0.00,,,-20.20M,,-30.20M,-30.20M,,,,-21.20M,-21.20M,20.60M,0.10M,-30.70M,127.70M,-2.60M,7.60M,132.70M,,,-30.20M,
2011-12,76.00M,,-1.50M,41.10M,41.10M,-3.40M,,,7.10M,-0.60M,6.50M,-7.90M,,9.20M,,,56.50M,-41.80M,31.00M,,149.70M,-15.80M,,,-19.40M,4.20M,,-31.00M,0.00,-22.10M,-22.10M,,-67.10M,-67.10M,,-19.40M,10.80M,0.80M,-97.00M,102.00M,21.70M,4.00M,127.70M,,,0.00,-67.10M
2011-09,69.30M,,0.00,40.30M,40.30M,0.90M,,,5.50M,0.00,5.50M,-3.50M,,2.00M,,,-3.90M,1.40M,-4.00M,,112.00M,-15.30M,,,-78.80M,-4.20M,,-98.30M,0.00,49.90M,49.90M,,-43.90M,-43.90M,,-15.90M,0.60M,-5.70M,-15.00M,108.70M,-1.30M,-5.40M,102.00M,,,3.40M,-43.90M
2011-06,37.10M,,27.80M,40.80M,40.80M,6.20M,,,7.10M,-0.10M,7.00M,1.80M,,0.60M,,,-3.30M,5.90M,5.00M,,123.90M,-17.70M,,,2.50M,,,-15.20M,-15.00M,-23.20M,-38.20M,,-31.30M,-31.30M,,-23.20M,7.20M,0.00,-85.50M,86.90M,23.20M,-1.40M,108.70M,,,-38.20M,-31.30M
2011-03,59.30M,,,42.70M,42.70M,-0.10M,,,4.70M,-0.50M,4.20M,-17.00M,,-9.40M,,,-48.00M,-8.60M,-83.00M,,23.10M,-26.20M,,,-33.40M,,,-59.60M,-1.70M,19.80M,18.10M,,,,,-19.60M,5.10M,-2.00M,1.60M,119.40M,-34.90M,2.40M,86.90M,,,18.10M,
2010-12,64.00M,0.00,0.00,42.10M,42.10M,-3.10M,,,6.80M,-1.90M,4.90M,7.20M,,7.30M,,,23.10M,1.10M,37.30M,,145.20M,-17.40M,,,-67.10M,,,-84.50M,-1.20M,0.00,-1.20M,,-51.10M,-51.10M,,-16.90M,15.50M,-2.90M,-56.60M,115.60M,4.10M,-0.30M,119.40M,,0.00,-135.20M,-51.10M
2010-09,78.80M,-27.10M,-14.80M,41.40M,41.40M,2.60M,,,4.10M,-0.20M,3.90M,-2.40M,,0.00,,,-15.30M,-25.70M,-43.40M,,68.50M,-15.50M,,,114.90M,,,99.40M,-0.90M,-67.10M,-68.00M,,-51.60M,-51.60M,,-6.10M,1.40M,-0.10M,-124.40M,70.10M,43.50M,2.00M,115.60M,,,66.00M,-51.60M
2010-06,132.00M,,-12.30M,41.80M,41.80M,0.70M,,,6.50M,0.00,-49.10M,-2.60M,,6.70M,,,-7.50M,-5.50M,-8.90M,,101.20M,-16.90M,,,59.00M,,,42.10M,-17.40M,-69.60M,-87.00M,,-55.40M,-55.40M,,-6.90M,0.80M,-0.30M,-148.80M,77.10M,-5.50M,-1.50M,70.10M,,-1.40M,-82.90M,-55.40M
2010-03,,,,42.50M,42.50M,-0.10M,,,4.40M,-1.40M,58.60M,-5.80M,,-7.90M,,,-32.70M,-19.90M,-66.30M,,37.70M,-50.00M,,,-6.00M,,,-56.00M,-6.30M,2.70M,-3.60M,,-9.40M,-9.40M,,-5.30M,11.60M,1.20M,-5.50M,103.10M,-23.80M,-2.20M,77.10M,,1.40M,-7.70M,-9.40M
2009-12,61.90M,,,41.90M,41.90M,-9.90M,,,6.10M,-0.90M,5.20M,1.00M,,11.60M,,,50.60M,-12.70M,50.50M,,149.60M,-19.50M,,,-195.90M,,-1.80M,-217.20M,254.00M,-145.70M,108.30M,,-14.70M,-14.70M,,-5.80M,4.30M,0.70M,92.80M,77.70M,25.20M,0.20M,103.10M,,376.20M,-20.40M,-14.70M
2009-09,61.40M,,,39.60M,39.60M,17.90M,,,3.70M,0.00,3.70M,5.40M,,-2.80M,,,-4.20M,2.20M,0.60M,,123.20M,-17.20M,,,-5.00M,,1.80M,-20.40M,-50.10M,-34.90M,-85.00M,,0.00,0.00,,-5.80M,1.10M,-0.40M,-90.10M,63.60M,12.70M,1.40M,77.70M,,,-50.10M,0.00
2009-06,61.10M,,,39.10M,39.10M,3.50M,,,6.10M,-0.10M,6.00M,16.70M,,-6.90M,,,-13.50M,-4.90M,-8.60M,,101.10M,-19.00M,,,1.50M,,-1.00M,-18.50M,-100.10M,22.30M,-77.80M,,0.00,0.00,,-7.20M,1.40M,0.30M,-83.30M,60.00M,-0.70M,4.30M,63.60M,,-260.10M,-100.10M,0.00
2009-03,56.10M,,,38.20M,38.20M,3.20M,,,3.70M,-0.30M,3.40M,-10.30M,,-3.30M,,,-28.70M,-14.10M,-56.40M,,44.50M,-15.00M,,,0.00,,1.00M,-14.00M,-276.40M,260.10M,-16.30M,,-9.10M,-9.10M,,-5.40M,3.40M,-0.30M,-27.70M,58.20M,2.80M,-1.00M,60.00M,,260.10M,-276.40M,-9.10M
2008-12,65.20M,,,38.10M,38.10M,22.30M,,,4.00M,-0.20M,3.80M,8.30M,,3.30M,,,-14.70M,-6.30M,-9.40M,,120.00M,-21.20M,,,-13.30M,,4.40M,-30.10M,-59.40M,-18.90M,-78.30M,,-11.80M,-11.80M,,-5.20M,0.60M,0.00,-94.70M,69.00M,-4.80M,-6.00M,58.20M,,-44.90M,-33.40M,-11.80M
2008-09,73.80M,,,41.40M,41.40M,-1.10M,,,4.90M,0.10M,5.00M,24.20M,,2.70M,,,8.20M,-15.70M,19.40M,,138.50M,-30.90M,,,-6.80M,4.40M,-4.40M,-37.70M,39.80M,-71.00M,-31.20M,,-62.80M,-62.80M,,-5.60M,0.60M,0.00,-99.00M,72.60M,1.80M,-5.40M,69.00M,,40.00M,-71.20M,-62.80M
2008-06,72.60M,,,38.00M,38.00M,-7.70M,,,4.90M,0.20M,5.10M,-1.50M,,1.60M,,,3.70M,1.30M,5.10M,,113.10M,-28.40M,,,-5.00M,-4.40M,,-37.80M,-150.10M,104.60M,-45.50M,,-44.10M,-44.10M,,-6.50M,7.90M,0.50M,-87.70M,85.00M,-12.40M,0.00,72.60M,,-149.90M,104.40M,-44.10M
2008-03,67.40M,,,37.90M,37.90M,-5.80M,,,6.10M,0.70M,6.80M,-6.80M,,-4.10M,,,-20.60M,1.70M,-29.80M,,76.50M,-30.00M,,,-6.00M,0.00,,-36.00M,199.20M,-199.50M,-0.30M,,-37.00M,-37.00M,,-6.60M,5.60M,0.60M,-37.70M,81.60M,2.80M,0.60M,85.00M,,202.10M,-202.40M,-37.00M
2007-12,65.70M,,,37.80M,37.80M,12.10M,,,,,3.60M,2.90M,,4.30M,,,47.80M,3.90M,58.90M,,178.10M,-33.20M,,85.30M,-12.80M,,3.80M,-42.20M,,,-21.60M,-27.10M,-113.00M,-140.10M,,-5.30M,,-5.80M,-141.20M,87.00M,-5.30M,-0.10M,81.60M,-27.10M,,,-113.00M
2007-09,67.90M,,,38.90M,38.90M,-3.10M,,,,,4.30M,-5.00M,,8.30M,,,6.50M,0.90M,10.70M,,118.70M,-53.50M,,-53.50M,-0.30M,,0.00,-53.80M,,,190.30M,4.70M,-435.40M,-430.70M,,-5.40M,,1.70M,-244.10M,264.20M,-179.20M,2.00M,87.00M,4.70M,,,-435.40M
2007-06,70.10M,,,29.60M,29.60M,0.60M,,,,,5.20M,7.40M,,-2.10M,,,-22.20M,-0.40M,-17.30M,,88.20M,-17.20M,,-17.20M,-290.70M,,0.10M,-307.80M,,,568.10M,15.90M,-169.90M,-154.00M,,-5.00M,,3.70M,412.80M,69.60M,193.20M,1.40M,264.20M,15.90M,,,-169.90M
2007-03,69.00M,,,21.40M,21.40M,-1.70M,,,,,4.10M,-6.90M,,-15.80M,,,6.80M,-12.00M,-27.90M,,64.90M,-14.60M,,-14.60M,,,-3.90M,-18.50M,,,-48.00M,6.50M,-0.40M,6.10M,,-5.00M,,1.80M,-45.10M,67.80M,1.30M,0.50M,69.60M,6.50M,,,-0.40M
2006-12,63.10M,,,20.80M,20.80M,-6.30M,,,,,1.30M,6.50M,,4.30M,,,23.00M,4.00M,37.80M,,116.70M,-17.90M,,-17.90M,,,-0.30M,-52.60M,,,-4.60M,6.30M,-51.30M,-45.00M,,-5.00M,,3.30M,-51.30M,55.70M,12.80M,-0.70M,67.80M,6.30M,,,-51.30M
2006-09,78.90M,,,20.40M,20.40M,3.40M,,,,,6.90M,-8.80M,,-0.10M,,,11.80M,-11.90M,-9.00M,,100.60M,-7.60M,,-7.60M,,,0.00,-7.60M,,,-20.90M,6.40M,-65.30M,-58.90M,,-5.00M,,-0.90M,-85.70M,48.20M,7.30M,0.20M,55.70M,6.40M,,,-65.30M
2006-06,69.60M,,,20.50M,20.50M,1.10M,,,,,6.60M,-10.20M,,0.60M,,,-4.80M,7.00M,-7.40M,,90.40M,-15.80M,,-15.80M,,,0.00,-15.80M,,,-31.70M,4.50M,-52.40M,-47.90M,,-5.10M,,1.20M,-83.50M,56.40M,-8.90M,0.70M,48.20M,4.50M,,,-52.40M
2006-03,62.90M,,,21.10M,21.10M,-0.80M,,,,,4.30M,-10.30M,,-7.20M,,,19.10M,-24.70M,-23.10M,,64.40M,-10.70M,,-10.70M,,,-0.10M,-10.80M,,,5.00M,8.90M,-46.20M,-37.30M,,-5.20M,,3.00M,-34.50M,37.50M,19.10M,-0.20M,56.40M,8.90M,,,-46.20M
2005-12,62.80M,,-13.00M,21.70M,21.70M,-1.90M,,,,,26.30M,7.10M,,10.50M,,-10.90M,-9.50M,12.90M,10.10M,,106.00M,-12.90M,,-12.90M,0.00,0.00,,-12.90M,,,-51.40M,15.10M,-49.00M,-33.90M,,-5.40M,,-5.90M,-96.60M,41.50M,-3.50M,-0.50M,37.50M,15.10M,,,-49.00M
2005-09,62.50M,,13.00M,20.50M,20.50M,0.40M,,,,,-11.20M,-4.60M,,-0.20M,,10.90M,10.70M,-2.50M,14.30M,,99.50M,-11.20M,-10.10M,-21.30M,-17.30M,10.10M,,-28.50M,,,-52.70M,16.70M,-40.00M,-23.30M,,-5.40M,,6.00M,-75.40M,44.70M,-4.40M,1.20M,41.50M,16.70M,,,-40.00M
2005-06,62.60M,,-5.40M,20.10M,20.10M,10.20M,,,,,11.20M,-2.00M,,-0.80M,,,-5.20M,-0.20M,-8.20M,,90.50M,-20.30M,10.10M,-10.20M,-18.80M,,8.00M,-21.00M,,,-53.80M,12.20M,-30.00M,-17.80M,,-5.40M,,0.30M,-76.70M,52.90M,-7.20M,-1.00M,44.70M,12.20M,,,-30.00M
2005-03,58.60M,,5.40M,19.90M,19.90M,3.10M,,,,,,-14.80M,,1.00M,,,-10.00M,-21.40M,-45.20M,,41.80M,-1.80M,,-1.80M,-85.70M,,-8.00M,-95.50M,,,65.20M,18.80M,-25.00M,-6.20M,,-4.00M,,0.20M,55.20M,52.10M,1.50M,-0.70M,52.90M,18.80M,,,-25.00M
2004-12,57.50M,,-11.70M,18.00M,18.00M,11.30M,,,,,10.70M,5.30M,,,,-4.50M,2.30M,4.00M,15.00M,2.70M,103.50M,-14.50M,,-14.50M,0.00,0.00,0.40M,-14.10M,,,-27.40M,5.60M,-35.00M,-29.40M,,-4.00M,,-0.90M,-61.70M,21.90M,27.70M,2.50M,52.10M,5.60M,,,-35.00M
2004-09,53.20M,,0.80M,19.00M,19.00M,-2.10M,,,,,-2.60M,-5.80M,,,,25.50M,14.50M,-8.40M,25.80M,0.30M,94.40M,-12.90M,,-12.90M,-2.80M,0.00,-0.10M,-15.80M,,,-41.70M,6.90M,-38.00M,-31.10M,,-4.10M,,-0.40M,-77.30M,23.00M,1.30M,-2.40M,21.90M,6.90M,,,-38.00M
2004-06,73.20M,,-26.90M,20.80M,20.80M,6.80M,,,,,2.70M,-1.40M,,,,-8.00M,-2.30M,15.60M,3.90M,0.10M,80.60M,-16.80M,,-16.80M,-9.00M,59.40M,5.20M,38.80M,,,-96.90M,3.00M,-35.00M,-32.00M,,-4.10M,,0.70M,-132.30M,36.20M,-12.90M,-0.30M,23.00M,3.00M,,,-35.00M
