,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-06,487.10M,487.10M,188.70M,298.40M,142.70M,,,-9.60M,13.70M,-13.70M,,183.80M,114.60M,13.70M,-13.70M,-9.60M,-13.70M,91.30M,54.20M,37.10M,,-2.60M,34.50M,40.74M,146.10M,40.80M,105.00M,0.28,0.0,0.3308,0.28,0.28,0.0,0.3301,0.28,122.80M,124.60M,0.16
2011-03,472.60M,472.60M,192.00M,280.60M,128.80M,,,0.30M,13.80M,-13.80M,,171.50M,109.10M,13.80M,-13.80M,0.30M,-13.80M,95.60M,36.30M,59.30M,,-2.00M,57.30M,57.11M,152.10M,42.70M,109.40M,0.47,0.0,0.4685,0.47,0.46,0.0,0.4585,0.46,122.80M,124.70M,0.16
2010-12,482.00M,482.00M,193.30M,288.70M,137.00M,,,,13.80M,-13.80M,,179.00M,109.70M,13.80M,-13.80M,0.30M,-13.80M,96.20M,32.20M,64.00M,0.00,-1.80M,62.20M,62.20M,152.10M,42.10M,110.00M,0.51,0.0,0.51,0.51,0.5,0.0,0.5,0.5,123.00M,124.70M,0.16
2010-09,473.80M,473.80M,188.20M,285.60M,134.00M,,,0.70M,14.00M,-14.00M,,175.40M,110.20M,14.00M,-14.00M,0.70M,-14.00M,96.90M,33.30M,63.60M,15.20M,-2.30M,76.50M,60.84M,152.30M,41.40M,110.90M,0.5,0.12,0.4963,0.62,0.49,0.12,0.4863,0.61,124.30M,125.80M,0.04
2010-06,460.70M,460.70M,188.30M,272.40M,126.90M,,,0.80M,14.10M,-14.10M,,166.60M,105.80M,14.10M,-14.10M,0.80M,-14.10M,92.50M,32.70M,59.80M,13.60M,-2.10M,71.30M,57.18M,148.40M,41.80M,106.60M,0.46,0.11,0.4559,0.57,0.45,0.11,0.4459,0.56,125.70M,127.30M,0.04
2010-03,443.00M,443.00M,190.10M,252.90M,109.50M,,,-0.50M,14.20M,-14.20M,,148.60M,104.30M,14.20M,-14.20M,-0.50M,-14.20M,89.60M,33.70M,55.90M,2.70M,-1.90M,56.70M,54.31M,146.30M,42.50M,103.80M,0.43,0.02,0.4325,0.45,0.42,0.02,0.4224,0.44,126.30M,128.10M,0.04
2009-12,435.40M,435.40M,183.80M,251.60M,130.20M,,,0.40M,14.10M,-14.10M,,168.70M,82.90M,14.10M,-14.10M,0.40M,-14.10M,69.20M,12.60M,56.60M,5.30M,-1.70M,60.20M,54.57M,125.20M,41.90M,83.30M,0.43,0.04,0.4274,0.47,0.42,0.04,0.4174,0.47,126.30M,128.20M,0.04
2009-09,425.00M,425.00M,177.50M,247.50M,111.20M,,,0.20M,14.10M,-14.10M,,147.50M,100.00M,14.10M,-14.10M,0.20M,-14.10M,86.10M,28.70M,57.40M,4.00M,-1.70M,59.70M,55.57M,139.80M,39.60M,100.20M,0.44,0.03,0.4389,0.47,0.44,0.03,0.439,0.47,126.40M,128.00M,0.04
2009-06,429.10M,429.10M,180.40M,248.70M,111.10M,,,3.10M,14.50M,-14.50M,,146.70M,102.00M,14.50M,-14.50M,3.10M,-14.50M,90.60M,32.70M,57.90M,3.20M,-1.50M,59.60M,54.42M,144.20M,39.10M,105.10M,0.44,0.03,0.4243,0.47,0.44,0.03,0.4245,0.47,126.30M,127.80M,0.04
2009-03,446.60M,446.60M,187.00M,259.60M,122.00M,,,2.40M,14.30M,-14.30M,,158.60M,101.00M,14.30M,-14.30M,2.40M,-14.30M,89.10M,34.10M,55.00M,1.10M,-1.70M,54.40M,51.82M,141.60M,38.20M,103.40M,0.42,0.01,0.4083,0.43,0.42,0.01,0.4084,0.43,126.20M,127.40M,0.04
2008-12,446.60M,446.60M,184.40M,262.20M,108.00M,,,3.50M,17.40M,-17.40M,,146.10M,116.10M,17.40M,-17.40M,3.50M,-17.40M,102.20M,37.00M,65.20M,,-1.20M,64.00M,61.77M,157.70M,38.10M,119.60M,0.51,0.0,0.4923,0.51,0.5,0.0,0.4826,0.5,126.30M,128.30M,0.04
2008-09,484.10M,484.10M,197.00M,287.10M,138.50M,,,1.50M,16.90M,-16.90M,,179.90M,107.20M,16.90M,-16.90M,1.50M,-16.90M,91.80M,18.00M,73.80M,,-1.50M,72.30M,71.09M,150.10M,41.40M,108.70M,0.57,0.0,0.5605,0.57,0.56,0.0,0.5507,0.56,127.50M,129.80M,0.04
2008-06,501.90M,501.90M,204.40M,297.50M,131.80M,,,0.90M,17.30M,-17.30M,,169.80M,127.70M,17.30M,-17.30M,0.90M,-17.30M,111.30M,38.70M,72.60M,,-1.80M,70.80M,70.21M,166.60M,38.00M,128.60M,0.55,0.0,0.5454,0.55,0.54,0.0,0.5355,0.54,129.00M,131.50M,0.04
2008-03,503.10M,503.10M,206.20M,296.90M,132.80M,,,0.30M,19.70M,-19.70M,,170.70M,126.20M,19.70M,-19.70M,0.30M,-19.70M,106.80M,39.40M,67.40M,,-1.70M,65.70M,65.51M,164.40M,37.90M,126.50M,0.51,0.0,0.5085,0.51,0.5,0.0,0.4986,0.5,129.60M,132.10M,0.04
2007-12,490.80M,490.80M,198.50M,292.30M,134.30M,,,0.50M,,,,172.10M,120.20M,,,0.50M,,98.20M,32.50M,65.70M,,,65.70M,65.37M,154.90M,37.80M,117.10M,0.51,0.0,0.5074,0.51,0.49,0.0,0.4875,0.49,130.80M,133.90M,0.04
2007-09,492.50M,492.50M,194.30M,298.20M,130.10M,,,1.20M,,,,169.00M,129.20M,,,1.20M,,108.80M,40.90M,67.90M,,-1.70M,67.90M,67.15M,168.10M,38.90M,129.20M,0.49,0.0,0.4846,0.49,0.48,0.0,0.4747,0.48,137.40M,140.60M,0.04
2007-06,454.50M,454.50M,189.90M,264.60M,115.20M,,,1.10M,,,,144.80M,119.80M,,,1.10M,,109.20M,39.10M,70.10M,,-1.30M,70.10M,69.39M,149.40M,29.60M,119.80M,0.52,0.0,0.5148,0.52,0.51,0.0,0.5049,0.51,134.90M,138.60M,0.04
2007-03,405.10M,405.10M,169.30M,235.80M,97.40M,,,0.20M,,,-171.10M,-52.30M,288.10M,,,0.20M,,108.40M,39.40M,69.00M,,-1.40M,69.00M,68.87M,309.50M,21.40M,288.10M,0.55,0.0,0.549,0.55,0.54,0.0,0.539,0.54,124.90M,127.30M,0.04
2006-12,390.00M,390.00M,159.90M,230.10M,99.40M,,,0.20M,,,,120.20M,109.90M,,,0.20M,,100.70M,37.60M,63.10M,,-1.50M,63.10M,62.97M,130.70M,20.80M,109.90M,0.51,0.0,0.509,0.51,0.5,0.0,0.499,0.5,125.00M,127.30M,0.04
2006-09,394.60M,394.60M,157.90M,236.70M,95.70M,,,0.50M,,,,116.10M,120.60M,,,0.50M,,112.20M,33.30M,78.90M,,-1.00M,78.90M,78.55M,141.00M,20.40M,120.60M,0.62,0.0,0.6172,0.62,0.61,0.0,0.6073,0.61,126.40M,128.40M,0.04
2006-06,387.70M,387.70M,161.80M,225.90M,109.00M,,,15.00M,,,,129.50M,96.40M,,,15.00M,,102.10M,32.50M,69.60M,,-1.10M,69.60M,59.37M,116.90M,20.50M,96.40M,0.54,0.0,0.4602,0.54,0.53,0.0,0.4516,0.53,128.10M,130.40M,0.04
2006-03,374.00M,374.00M,151.10M,222.90M,92.60M,,,0.50M,,,,113.70M,109.20M,,,0.50M,,100.90M,38.00M,62.90M,,-0.90M,62.90M,62.59M,130.30M,21.10M,109.20M,0.49,0.0,0.4876,0.49,0.48,0.0,0.4776,0.48,129.00M,131.50M,0.04
2005-12,361.30M,361.30M,150.90M,210.40M,82.70M,,,-0.70M,,,,104.40M,106.00M,,,-0.70M,,95.90M,33.10M,62.80M,,-1.30M,62.80M,63.26M,127.70M,21.70M,106.00M,0.48,0.0,0.4835,0.48,0.47,0.0,0.4735,0.47,129.40M,131.00M,0.04
2005-09,375.30M,375.30M,153.00M,222.30M,94.50M,,,4.80M,,,,115.00M,107.30M,,,4.80M,,102.50M,40.00M,62.50M,,-1.00M,62.50M,59.57M,127.80M,20.50M,107.30M,0.48,0.0,0.4575,0.48,0.47,0.0,0.4479,0.47,129.90M,132.50M,0.04
2005-06,363.40M,363.40M,147.80M,215.60M,88.80M,,,2.40M,,,,108.90M,106.70M,,,2.40M,,98.00M,35.40M,62.60M,,-1.30M,62.60M,61.07M,126.80M,20.10M,106.70M,0.48,0.0,0.4682,0.48,0.47,0.0,0.4584,0.47,129.80M,132.70M,0.04
2005-03,343.40M,343.40M,142.50M,200.90M,79.00M,,,2.70M,,,,98.90M,102.00M,,,2.70M,,94.30M,35.70M,58.60M,,-1.30M,58.60M,56.92M,121.90M,19.90M,102.00M,0.45,0.0,0.4371,0.45,0.44,0.0,0.4273,0.44,129.80M,132.40M,0.03
2004-12,327.60M,318.60M,139.10M,179.50M,73.20M,,,4.50M,,,,79.80M,99.70M,,,4.50M,,91.80M,36.60M,55.20M,2.30M,-0.90M,57.50M,52.49M,117.70M,18.00M,99.70M,0.43,0.02,0.4092,0.45,0.42,0.02,0.3996,0.44,129.80M,132.60M,0.03
2004-09,319.90M,319.90M,134.40M,185.50M,70.80M,,,2.40M,,,0.30M,90.10M,95.40M,,,2.40M,,88.10M,34.80M,53.30M,-0.10M,-0.80M,53.20M,51.85M,114.40M,19.00M,95.40M,0.41,-0.01,0.3989,0.4,0.4,-0.01,0.389,0.4,130.70M,132.50M,0.03
2004-06,315.40M,315.40M,130.50M,184.90M,70.30M,,,37.30M,,,2.40M,92.90M,92.00M,,,37.30M,,122.80M,45.80M,77.00M,-3.80M,-0.70M,73.20M,53.61M,112.80M,20.80M,92.00M,0.59,-0.03,0.4127,0.56,0.58,-0.03,0.4051,0.55,131.90M,133.70M,0.03
2004-03,309.90M,309.90M,129.90M,180.00M,70.10M,,,3.30M,,,,91.60M,88.40M,,,3.30M,,82.50M,30.70M,51.80M,-0.10M,-0.80M,51.70M,49.73M,109.90M,20.90M,88.40M,0.4,-0.01,0.3844,0.39,0.38,-0.01,0.3647,0.38,132.90M,135.10M,0.02
2003-12,282.30M,282.30M,106.00M,176.30M,64.70M,2.70M,18.90M,-28.90M,,,,86.30M,90.00M,,,-28.90M,,51.90M,18.40M,33.50M,-5.50M,-0.70M,28.00M,52.15M,111.60M,21.60M,90.00M,0.26,-0.04,0.3999,0.22,0.24,-0.04,0.3768,0.2,133.30M,136.40M,0.02
2003-09,309.80M,309.80M,129.00M,180.80M,66.80M,4.10M,21.00M,3.00M,,,,91.90M,88.90M,,,3.00M,,82.40M,29.60M,52.80M,-1.60M,-0.90M,51.20M,50.88M,114.10M,25.20M,88.90M,0.39,-0.01,0.3757,0.38,0.39,-0.01,0.3759,0.38,134.50M,136.40M,0.02
2003-06,317.00M,317.00M,137.70M,179.30M,69.90M,4.30M,19.80M,5.40M,,,,94.00M,85.30M,,,5.40M,,78.80M,29.50M,49.30M,-7.40M,-1.10M,41.90M,45.92M,109.40M,24.10M,85.30M,0.36,-0.05,0.335,0.31,0.36,-0.05,0.3353,0.31,134.90M,137.00M,0.02
2003-03,301.60M,301.60M,127.00M,174.60M,70.70M,3.90M,19.30M,3.80M,,,,93.90M,80.70M,,,3.80M,,72.20M,27.10M,45.10M,-1.30M,-0.60M,43.80M,42.73M,103.90M,23.20M,80.70M,0.33,-0.01,0.3125,0.32,0.33,-0.01,0.3126,0.32,135.40M,136.80M,0.02
2002-12,278.60M,278.60M,93.40M,185.20M,67.70M,,,1.50M,,,,89.30M,95.90M,,,1.50M,,86.00M,33.90M,52.10M,-2.20M,-0.70M,49.90M,51.19M,117.50M,21.60M,95.90M,0.3275,-0.0163,0.3208,0.3112,0.3275,-0.0262,0.3208,0.3112,136.40M,136.40M,0.02
2002-09,289.70M,289.70M,113.20M,176.50M,66.30M,,,2.00M,,,,86.80M,89.70M,,,2.00M,,81.50M,31.80M,49.70M,-10.80M,0.20M,38.90M,48.48M,110.20M,19.40M,89.70M,0.37,-0.08,0.361,0.29,0.36,-0.08,0.3511,0.28,135.90M,137.60M,0.02
2002-06,268.00M,268.00M,104.70M,163.30M,56.30M,3.50M,15.90M,1.80M,,,,75.70M,87.60M,,,1.80M,,78.50M,30.70M,47.80M,-0.40M,-0.80M,47.40M,46.70M,107.00M,19.40M,87.60M,0.35,0.0,0.342,0.35,0.34,0.0,0.3322,0.34,137.00M,139.80M,0.02
2002-03,259.00M,259.00M,104.50M,154.50M,55.90M,3.70M,15.60M,1.40M,,,,75.20M,79.30M,,,1.40M,,70.00M,28.00M,42.00M,-0.30M,-0.70M,41.70M,41.16M,98.60M,19.30M,79.30M,0.31,0.0,0.3038,0.31,0.3,0.0,0.294,0.3,136.40M,139.30M,0.02
2001-12,281.90M,281.90M,106.50M,175.40M,62.00M,-43.80M,70.10M,-60.60M,,,,88.30M,87.10M,,,-60.60M,,16.10M,7.00M,9.10M,0.00,0.40M,9.10M,45.46M,113.40M,26.30M,87.10M,0.0197,-0.0041,0.286,0.0155,0.0197,-0.0041,0.286,0.0155,136.51M,136.51M,0.02
2001-09,282.40M,282.40M,113.10M,169.30M,61.80M,20.70M,6.30M,-3.90M,,,,88.80M,80.50M,,,-3.90M,,63.30M,27.50M,35.80M,,-1.00M,35.80M,38.14M,107.50M,26.93M,80.50M,0.26,0.0,0.277,0.26,0.26,0.0,0.2767,0.26,137.40M,140.20M,0.02
2001-06,289.50M,289.50M,117.90M,171.60M,69.20M,19.90M,6.30M,1.30M,,,,95.40M,76.20M,,,1.30M,,65.10M,26.80M,38.30M,-8.799M,-0.60M,29.50M,37.52M,102.40M,26.17M,76.20M,0.28,-0.06,0.2743,0.22,0.28,-0.06,0.2744,0.21,136.50M,138.40M,0.0925
