,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-06,352.50M,330.62M,683.12M,282.37M,114.88M,395.86M,159.37M,,,,1.238B,,,,856.04M,,856.04M,,856.04M,1.357B,184.04M,1.541B,731.78M,7.448M,114.75M,3.251B,4.489B,91.74M,,91.74M,222.02M,313.76M,,,,,,73.77M,73.77M,11.53M,399.06M,651.40M,,651.40M,21.76M,3.848M,25.61M,125.79M,802.80M,1.202B,1.751M,-822.03M,4.318B,177.62M,,,,-32.52M,3.287B
2017-03,522.32M,322.75M,845.07M,278.46M,123.46M,400.79M,152.60M,,,,1.398B,,,,824.72M,,824.72M,,824.72M,1.230B,141.89M,1.371B,739.06M,7.332M,109.02M,3.052B,4.450B,90.18M,,90.18M,218.03M,308.21M,,,,,,63.43M,63.43M,10.24M,381.88M,645.72M,,645.72M,39.90M,4.505M,44.41M,119.45M,809.57M,1.191B,1.743M,-879.80M,4.255B,72.47M,,,,-45.91M,3.259B
2016-12,324.17M,512.85M,837.02M,260.98M,113.76M,368.60M,84.57M,,,19.73M,1.310B,0.0,,1.945B,,139.99M,2.085B,-1.284B,801.02M,1.229B,149.46M,1.378B,779.31M,8.982M,95.95M,3.063B,4.373B,76.12M,52.86M,128.98M,176.18M,305.16M,,,,,,52.97M,52.97M,16.46M,374.59M,640.09M,,640.09M,11.65M,3.758M,15.41M,118.69M,774.19M,1.149B,1.733M,-960.73M,4.240B,,,,,-56.22M,3.224B
2016-09,381.80M,529.42M,911.22M,255.24M,111.55M,358.00M,117.75M,,,,1.387B,,,,797.92M,,797.92M,,797.92M,1.151B,138.87M,1.290B,767.69M,21.16M,89.82M,2.967B,4.354B,74.33M,,74.33M,291.10M,365.43M,,,,,,61.29M,61.29M,4.815M,431.54M,634.50M,,634.50M,8.963M,4.134M,13.10M,105.57M,753.17M,1.185B,1.794M,-1.052B,4.548B,294.87M,,,,-33.46M,3.169B
2016-06,326.64M,542.06M,868.71M,264.64M,108.24M,364.40M,132.48M,,,,1.366B,,,,786.84M,,786.84M,,786.84M,1.150B,142.67M,1.293B,731.23M,2.455M,90.81M,2.904B,4.270B,68.25M,,68.25M,234.01M,302.26M,,,,,,67.16M,67.16M,7.117M,376.54M,628.97M,,628.97M,10.25M,3.735M,13.98M,99.75M,742.71M,1.119B,1.791M,-1.128B,4.508B,199.71M,,,,-31.62M,3.150B
2016-03,312.91M,524.96M,837.87M,267.81M,106.67M,365.10M,127.86M,,,,1.331B,,,,770.20M,,770.20M,,770.20M,1.152B,149.38M,1.302B,685.36M,3.49M,92.12M,2.853B,4.184B,63.82M,,63.82M,197.49M,261.31M,,,,,,64.90M,64.90M,7.019M,333.23M,623.48M,,623.48M,11.71M,4.238M,15.94M,97.51M,736.94M,1.070B,1.783M,-1.202B,4.451B,108.72M,,,,-28.79M,3.114B
2015-12,289.47M,460.09M,749.56M,262.88M,124.88M,380.40M,74.80M,,,48.43M,1.253B,0.0,,1.696B,,119.47M,1.816B,-1.062B,753.18M,1.150B,156.10M,1.306B,774.67M,4.70M,89.60M,2.928B,4.182B,61.98M,47.36M,109.35M,161.09M,270.44M,,,,,,54.15M,54.15M,7.846M,332.44M,618.05M,,618.05M,12.89M,4.163M,17.05M,93.27M,728.37M,1.061B,1.772M,-1.277B,4.437B,,,,,-41.45M,3.121B
2015-09,256.47M,411.38M,667.85M,251.91M,123.05M,365.96M,115.60M,,61.57M,,1.211B,,,,734.54M,,734.54M,,734.54M,1.136B,158.98M,1.294B,837.02M,1.888M,105.90M,2.974B,4.185B,60.90M,,60.90M,215.29M,276.19M,,,,,,55.58M,55.58M,0.234M,332.01M,619.36M,,619.36M,49.92M,4.516M,54.44M,93.33M,767.14M,1.099B,1.811M,-1.365B,4.685B,202.43M,,,,-33.52M,3.086B
2015-06,257.45M,386.06M,643.50M,236.11M,118.51M,342.93M,119.36M,,45.68M,,1.151B,,,,704.57M,,704.57M,,704.57M,1.136B,165.73M,1.302B,881.45M,1.89M,90.04M,2.980B,4.131B,85.31M,,85.31M,205.37M,290.68M,,,,,,56.27M,56.27M,1.287M,348.24M,614.48M,,614.48M,38.83M,4.488M,43.32M,79.75M,737.55M,1.086B,1.805M,-1.453B,4.647B,126.07M,,,,-24.38M,3.045B
2015-03,332.56M,380.73M,713.28M,245.27M,121.33M,356.63M,130.04M,,41.62M,,1.242B,,,,666.09M,,666.09M,,666.09M,1.064B,130.53M,1.195B,801.85M,1.892M,80.81M,2.745B,3.987B,67.64M,,67.64M,144.12M,211.75M,,,,,,55.30M,55.30M,2.276M,269.33M,609.65M,,609.65M,44.58M,4.182M,48.76M,77.49M,735.90M,1.005B,1.796M,-1.521B,4.587B,62.68M,,,,-23.91M,2.982B
2014-12,238.65M,519.64M,758.29M,222.53M,116.07M,329.58M,82.30M,,45.70M,46.68M,1.263B,0.0,,1.388B,,92.54M,1.480B,-878.76M,601.59M,1.051B,132.41M,1.184B,869.99M,1.955M,81.75M,2.739B,4.002B,77.41M,40.41M,117.82M,158.83M,276.65M,,,,,,49.68M,49.68M,7.678M,334.01M,604.85M,,604.85M,39.30M,3.829M,43.13M,74.22M,722.20M,1.056B,1.783M,-1.598B,4.559B,,,,,-17.61M,2.945B
2014-09,214.34M,496.57M,710.91M,235.17M,97.45M,326.75M,90.17M,,24.84M,,1.153B,,,,559.19M,,559.19M,,559.19M,1.049B,140.82M,1.190B,850.85M,2.53M,99.18M,2.702B,3.854B,74.80M,,74.80M,173.98M,248.79M,,,,,,50.58M,50.58M,2.233M,301.60M,600.10M,,600.10M,25.10M,3.647M,28.75M,75.47M,704.31M,1.006B,1.851M,-1.695B,4.778B,226.51M,,,,-9.545M,2.848B
2014-06,254.16M,502.61M,756.77M,239.58M,92.42M,325.38M,88.05M,,29.46M,,1.200B,,,,536.64M,,536.64M,,536.64M,1.049B,149.22M,1.198B,735.63M,2.317M,96.14M,2.569B,3.769B,70.53M,,70.53M,158.65M,229.18M,,,,,,48.18M,48.18M,5.93M,283.29M,595.38M,,595.38M,40.38M,4.056M,44.44M,72.80M,712.62M,995.91M,1.844M,-1.787B,4.742B,187.49M,,,,2.497M,2.773B
2014-03,248.73M,449.40M,698.13M,218.31M,90.58M,301.95M,89.20M,,38.02M,,1.127B,,,,503.60M,,503.60M,,503.60M,1.051B,157.62M,1.208B,721.27M,2.476M,88.44M,2.524B,3.651B,61.71M,,61.71M,130.45M,192.15M,,,,,,48.36M,48.36M,3.673M,244.19M,590.71M,,590.71M,28.44M,4.181M,32.63M,71.82M,695.16M,939.35M,1.832M,-1.859B,4.688B,116.15M,,,,-1.637M,2.712B
2013-12,333.89M,340.00M,673.90M,175.39M,100.30M,271.99M,32.75M,,21.73M,29.35M,1.030B,0.0,,1.150B,,64.47M,1.214B,-763.99M,450.29M,757.37M,77.43M,834.80M,573.03M,2.325M,67.54M,1.928B,2.958B,73.71M,32.50M,106.21M,115.47M,221.68M,,,,,,36.95M,36.95M,4.529M,263.17M,,,,4.737M,3.199M,7.936M,57.15M,65.09M,328.25M,1.808M,-1.932B,4.562B,,,,,-2.091M,2.629B
2013-09,235.02M,331.30M,566.32M,169.87M,90.16M,256.45M,67.45M,,20.42M,,910.64M,,,,424.60M,,424.60M,,424.60M,751.27M,79.80M,831.07M,620.20M,20.67M,77.93M,1.974B,2.885B,49.07M,,49.07M,171.53M,220.60M,,,,,,37.02M,37.02M,27.80M,285.42M,,,,,2.643M,2.643M,53.93M,56.57M,342.00M,2.059M,-2.013B,5.296B,736.87M,,,,-5.434M,2.543B
2013-06,204.86M,326.08M,530.94M,163.22M,78.70M,237.29M,70.73M,,20.42M,,859.38M,,,,405.65M,,405.65M,,405.65M,729.39M,68.56M,797.95M,587.47M,14.53M,60.29M,1.866B,2.725B,50.37M,61.46M,111.83M,77.97M,189.80M,,,,,,32.02M,32.02M,4.754M,226.57M,,,,,2.895M,2.895M,47.93M,50.82M,277.40M,2.045M,-2.092B,5.256B,707.24M,,,,-10.96M,2.448B
2013-03,165.28M,347.95M,513.23M,153.76M,83.24M,232.33M,65.68M,,20.42M,,831.65M,,,,369.56M,,369.56M,,369.56M,729.47M,74.30M,803.76M,569.21M,13.71M,58.78M,1.815B,2.647B,57.57M,44.41M,101.98M,70.92M,172.90M,,,,,,33.92M,33.92M,5.092M,211.91M,,,,,2.761M,2.761M,47.22M,49.98M,261.89M,2.031M,-2.154B,5.207B,664.74M,,,,-5.583M,2.385B
2012-12,201.99M,235.59M,437.58M,143.53M,79.05M,218.78M,51.60M,,20.42M,,728.38M,0.0,,986.69M,,44.54M,1.031B,-686.13M,345.09M,723.70M,84.55M,808.26M,657.66M,21.43M,39.81M,1.872B,2.601B,43.29M,22.09M,65.38M,105.94M,171.33M,,,,,,26.29M,26.29M,5.327M,202.94M,,,,0.00,2.565M,2.565M,49.36M,51.93M,254.87M,2.015M,-2.226B,5.196B,624.46M,,,,-1.64M,2.346B
2012-09,182.65M,282.58M,465.23M,236.23M,,236.23M,45.78M,,6.444M,,753.69M,,,,,,,,331.22M,721.60M,82.38M,803.98M,593.10M,42.10M,15.36M,1.786B,2.539B,52.75M,,52.75M,71.97M,124.72M,,,,,,27.93M,27.93M,2.112M,212.92M,,,,,2.097M,2.097M,64.50M,66.60M,279.52M,2.00M,-2.294B,5.146B,594.64M,,,,0.483M,2.260B
2012-06,183.00M,313.56M,496.56M,206.32M,,206.32M,47.28M,,6.444M,,756.60M,,,,,,,,315.87M,709.67M,84.06M,793.72M,521.88M,43.18M,14.31M,1.689B,2.446B,44.55M,,44.55M,95.23M,139.78M,,,,,,26.07M,26.07M,,165.85M,,,,,1.842M,1.842M,63.25M,65.09M,230.94M,1.993M,-2.342B,5.117B,558.12M,,,,-4.108M,2.215B
2012-03,144.72M,259.82M,404.54M,145.79M,70.06M,215.86M,52.70M,,6.444M,,679.54M,,,,,,,,303.52M,709.63M,89.52M,799.15M,574.18M,43.27M,14.46M,1.735B,2.414B,32.94M,,32.94M,92.40M,125.35M,,,,,,23.19M,23.19M,,148.54M,,,,,2.227M,2.227M,62.16M,64.39M,212.93M,1.982M,-2.386B,5.077B,490.91M,,,,-0.307M,2.201B
2011-12,559.20M,290.03M,849.23M,142.17M,73.32M,210.94M,55.41M,,6.444M,,1.122B,0.0,,836.10M,,36.36M,872.45M,-579.41M,293.04M,452.91M,45.39M,498.30M,380.73M,43.48M,7.924M,1.223B,2.346B,38.25M,9.923M,48.17M,76.80M,124.97M,,,,,,21.34M,21.34M,2.075M,148.39M,,,,,2.47M,2.47M,38.39M,40.86M,189.25M,1.959M,-2.430B,5.068B,482.99M,,,,-1.259M,2.156B
2011-09,355.60M,331.97M,687.57M,121.53M,61.13M,182.66M,47.08M,,7.163M,,924.48M,,,,,,,,285.48M,452.91M,49.70M,502.62M,503.43M,76.75M,9.21M,1.377B,2.302B,30.35M,,30.35M,55.35M,85.70M,,,,,,23.20M,23.20M,1.881M,138.88M,,,,,3.055M,3.055M,38.01M,41.07M,179.95M,1.947M,-2.490B,5.026B,406.66M,,,,-9.299M,2.122B
2011-06,205.63M,291.65M,497.28M,178.26M,,178.26M,47.35M,,28.07M,,750.95M,,,,,,,,274.38M,452.91M,53.89M,506.80M,788.20M,74.28M,9.54M,1.653B,2.404B,29.05M,,29.05M,87.24M,116.30M,,,,,,22.41M,22.41M,,138.71M,,,,,3.433M,3.433M,33.69M,37.13M,175.83M,1.944M,-2.532B,5.010B,251.54M,,,,0.298M,2.228B
2011-03,217.17M,346.40M,563.57M,169.66M,,169.66M,55.46M,,28.13M,,816.81M,,,,,,,,266.97M,452.91M,58.18M,511.09M,693.67M,74.83M,11.42M,1.558B,2.375B,28.55M,,28.55M,85.10M,113.65M,,,,,,20.45M,20.45M,,134.10M,,,,,3.942M,3.942M,26.57M,30.52M,164.61M,1.937M,-2.580B,4.992B,201.08M,,,,-2.458M,2.210B
2010-12,231.87M,375.00M,606.87M,175.37M,,175.37M,48.03M,,28.20M,,858.47M,0.0,,718.05M,,29.91M,747.96M,-492.04M,255.93M,452.91M,62.46M,515.37M,636.53M,75.23M,11.15M,1.494B,2.353B,26.38M,,26.38M,94.97M,121.34M,0.00,,0.00,,0.00,23.81M,23.81M,,145.15M,,,,,3.642M,3.642M,26.28M,29.92M,175.07M,1.924M,-2.631B,4.970B,158.26M,,,,-5.741M,2.178B
2010-09,197.57M,410.03M,607.60M,158.12M,,158.12M,76.44M,,13.66M,,855.81M,,,,,,,,239.51M,452.95M,66.72M,519.67M,582.61M,52.97M,12.18M,1.407B,2.263B,29.65M,,29.65M,85.11M,114.76M,58.62M,,58.62M,,58.62M,27.79M,27.79M,,201.16M,,,,,2.017M,2.017M,25.42M,27.44M,228.60M,1.877M,-2.683B,4.852B,131.37M,,,,-5.389M,2.034B
2010-06,120.51M,383.68M,504.19M,164.57M,,164.57M,73.46M,,35.94M,,778.17M,,,,,,,,227.89M,452.95M,70.85M,523.80M,608.09M,53.43M,11.62M,1.425B,2.203B,33.53M,,33.53M,71.05M,104.58M,63.56M,,63.56M,,63.56M,31.70M,31.70M,,199.83M,,,,,2.988M,2.988M,27.09M,30.08M,229.91M,1.863M,-2.723B,4.816B,108.62M,,,,-13.12M,1.973B
2010-03,173.22M,431.90M,605.12M,148.70M,,148.70M,44.69M,,55.92M,,854.42M,,,,,,,,190.21M,441.35M,72.16M,513.51M,491.26M,55.06M,12.22M,1.262B,2.117B,25.95M,,25.95M,53.23M,79.19M,199.72M,,199.72M,,199.72M,30.35M,30.35M,,309.26M,,,,,3.641M,3.641M,23.33M,26.98M,336.23M,1.758M,-2.761B,4.640B,88.21M,,,,-12.46M,1.780B
2009-12,181.30M,385.44M,566.74M,154.27M,,154.27M,31.65M,,8.514M,,761.17M,0.0,,535.64M,,26.03M,561.67M,-379.26M,182.40M,441.35M,76.27M,517.62M,494.74M,127.15M,4.416M,1.326B,2.088B,24.00M,,24.00M,69.36M,93.35M,199.76M,,199.76M,,199.76M,34.18M,34.18M,,327.29M,,,,,2.677M,2.677M,18.82M,21.50M,348.79M,1.746M,-2.802B,4.616B,66.30M,,,,-10.68M,1.739B
2009-09,202.80M,379.27M,582.07M,152.13M,,152.13M,37.83M,,4.542M,,776.57M,,,,,,,,179.83M,441.88M,80.42M,522.29M,391.21M,154.25M,4.531M,1.252B,2.029B,24.14M,,24.14M,55.74M,79.88M,,,30.42M,,30.42M,,,,110.30M,199.76M,,199.76M,,2.954M,2.954M,17.21M,219.92M,330.22M,1.739M,-2.842B,4.599B,51.23M,,,,-9.527M,1.698B
2009-06,321.08M,298.94M,620.03M,144.54M,,144.54M,33.16M,,4.542M,,802.27M,,,,,,,,174.74M,441.88M,84.52M,526.39M,306.75M,173.75M,5.068M,1.187B,1.989B,19.28M,,19.28M,42.57M,61.85M,,,,,,28.08M,28.08M,,89.93M,199.86M,,199.86M,,3.494M,3.494M,14.80M,218.15M,308.08M,1.735M,-2.875B,4.581B,14.99M,,,,-12.50M,1.681B
2009-03,215.21M,238.79M,454.00M,149.28M,,149.28M,30.67M,,4.542M,,638.50M,,,,,,,,174.65M,441.57M,88.76M,530.32M,394.48M,196.05M,5.315M,1.301B,1.939B,17.39M,,17.39M,47.75M,65.14M,,,,,,25.83M,25.83M,,90.97M,199.86M,,199.86M,,3.889M,3.889M,13.26M,217.00M,307.97M,1.727M,-2.911B,4.560B,,,,,-19.43M,1.631B
2008-12,156.07M,174.56M,330.63M,139.61M,,139.61M,27.12M,,4.542M,,501.91M,0.0,,314.33M,133.06M,22.10M,469.49M,-295.01M,174.48M,441.26M,93.00M,534.25M,441.00M,223.72M,5.592M,1.379B,1.881B,21.16M,,21.16M,67.78M,88.95M,,,,,,11.51M,11.51M,,100.46M,199.86M,,199.86M,,1.251M,1.251M,10.62M,211.72M,312.18M,1.694M,-2.948B,4.539B,0.00,,,,-24.35M,1.569B
2008-09,142.02M,159.39M,301.42M,126.93M,,126.93M,28.64M,,6.147M,,463.14M,,,,,,424.75M,-250.28M,174.47M,361.64M,77.25M,438.89M,,231.11M,493.25M,1.338B,1.801B,26.24M,,26.24M,43.74M,69.98M,,,,,,10.45M,10.45M,2.921M,83.36M,199.86M,,199.86M,,,,11.51M,211.37M,294.72M,1.691M,-2.988B,4.512B,,,-0.144M,-18.95M,-19.09M,1.506B
2008-06,165.42M,126.28M,291.70M,125.76M,,125.76M,30.61M,,6.147M,,454.22M,,,,,,408.35M,-250.28M,158.07M,361.64M,80.42M,442.06M,,241.62M,459.45M,1.301B,1.755B,25.85M,,25.85M,41.50M,67.35M,,,,,,13.99M,13.99M,,81.34M,199.86M,,199.86M,,,,11.62M,211.48M,292.82M,1.689M,-3.022B,4.496B,,,,,-13.15M,1.463B
2008-03,208.50M,113.77M,322.27M,122.71M,,122.71M,23.81M,,6.147M,,474.93M,,,,,,396.24M,-250.28M,145.96M,361.64M,83.91M,445.56M,,262.38M,370.36M,1.224B,1.699B,23.15M,,23.15M,47.21M,70.36M,,,,,,14.69M,14.69M,4.715M,89.77M,202.32M,,202.32M,,,,9.472M,211.79M,301.56M,1.671M,-3.056B,4.463B,,,4.454M,-15.72M,-11.27M,1.398B
2007-12,145.08M,401.09M,546.17M,118.94M,,118.94M,23.78M,,6.147M,,695.04M,0.0,11.34M,275.08M,98.40M,,384.83M,-250.28M,134.55M,361.64M,87.50M,449.14M,,285.46M,91.86M,961.00M,1.656B,18.54M,,18.54M,52.92M,71.46M,,,,,,13.00M,13.00M,3.921M,88.38M,199.86M,,199.86M,,,,9.265M,209.12M,297.50M,1.662M,-3.093B,4.447B,,,3.036M,0.017M,3.053M,1.359B
2007-09,152.80M,284.06M,436.86M,108.20M,,108.20M,25.60M,,,,570.67M,,,,,,349.32M,-215.14M,134.18M,367.91M,90.34M,458.24M,,277.75M,133.77M,1.004B,1.575B,27.46M,,27.46M,55.78M,83.25M,,,,,,11.24M,11.24M,,94.48M,199.86M,,199.86M,,,,8.485M,208.34M,302.82M,1.657M,-3.129B,4.396B,,,2.661M,0.179M,2.84M,1.272B
2007-06,100.16M,256.32M,356.48M,99.16M,,99.16M,23.99M,,,,479.63M,,,,,,340.91M,-215.14M,125.78M,374.91M,93.17M,468.08M,,294.13M,152.36M,1.040B,1.520B,26.35M,,26.35M,46.44M,72.79M,,,,,,10.14M,10.14M,,82.93M,199.96M,,199.96M,,,,6.787M,206.75M,289.67M,1.652M,-3.153B,4.380B,,,1.983M,-0.529M,1.454M,1.230B
2007-03,124.24M,217.95M,342.19M,86.87M,,86.87M,23.78M,,,,452.84M,,,,,,324.68M,-215.14M,109.55M,361.42M,92.37M,453.79M,,307.71M,142.74M,1.014B,1.467B,35.40M,,35.40M,52.05M,87.45M,,,,,,11.73M,11.73M,,99.18M,199.96M,,199.96M,,,,6.179M,206.14M,305.32M,1.641M,-3.175B,4.332B,,,1.928M,-0.082M,1.846M,1.161B
