,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2003-12,,2.968B,,2.968B,2.223B,7.068B,,,,2.707B,36.49B,632.00M,-1.009B,34.85B,15.69B,61.10B,68.17B,,,,,2.226B,2.226B,2.226B,3.476B,,7.977B,7.977B,45.24B,462.00M,53.22B,61.06B,1.764B,7.642B,1.108B,3.90B,,31.00M,6.645B
2003-09,,3.614B,,3.614B,2.481B,6.095B,,,,2.696B,37.08B,648.00M,-1.037B,35.40B,14.89B,66.19B,72.28B,,,,,,,,881.00M,,12.98B,12.98B,45.52B,1.617B,58.50B,64.03B,1.764B,7.507B,1.11B,3.867B,,123.00M,6.637B
2003-06,,3.797B,,3.797B,,6.201B,,,,2.672B,37.03B,673.00M,-1.018B,35.34B,16.02B,61.06B,67.26B,,,,,,,,36.00M,,7.867B,7.867B,46.69B,1.109B,54.56B,59.38B,1.764B,7.36B,1.10B,3.727B,,277.00M,6.774B
2003-03,,3.626B,,3.626B,,5.539B,,,,2.686B,37.96B,680.00M,-1.018B,36.27B,14.97B,63.08B,68.62B,,,,,,,,1.116B,,8.266B,8.266B,47.08B,244.00M,55.35B,61.58B,1.764B,7.311B,1.102B,3.65B,,265.00M,6.792B
2002-12,,3.201B,,3.201B,,6.859B,,,,2.646B,38.13B,673.00M,-1.075B,36.38B,13.76B,59.52B,66.38B,,,,,,,,38.00M,,9.078B,9.078B,44.98B,1.118B,54.06B,58.40B,1.764B,7.187B,1.101B,3.505B,,312.00M,6.859B
2002-09,,3.403B,,3.403B,,3.403B,,,,2.65B,37.91B,648.00M,,37.26B,17.30B,64.26B,67.66B,,,,,,,,35.00M,,9.912B,9.912B,44.96B,1.103B,54.87B,59.84B,1.764B,7.062B,1.103B,3.526B,,314.00M,6.717B
2002-06,,2.839B,,2.839B,,2.839B,,,,2.656B,41.23B,654.00M,-1.104B,39.47B,15.21B,64.07B,66.91B,,,,,,,,37.00M,,10.44B,10.44B,44.43B,1.058B,54.87B,59.46B,1.764B,6.913B,1.102B,3.546B,,157.00M,6.39B
2002-03,,2.786B,,2.786B,,2.786B,,,,2.659B,43.32B,712.00M,-1.136B,41.48B,13.20B,63.78B,66.56B,,,,,827.00M,827.00M,827.00M,861.00M,,10.13B,10.13B,44.91B,1.031B,55.04B,59.55B,1.765B,6.73B,1.09B,3.561B,1.00M,-45.00M,5.979B
2001-12,,4.327B,,4.327B,,4.327B,,,,2.373B,43.33B,560.00M,-1.164B,41.60B,15.24B,65.31B,69.64B,,,,,,,,167.00M,,11.92B,11.92B,47.30B,1.018B,59.23B,62.80B,1.765B,6.549B,1.077B,3.557B,1.00M,-11.00M,5.824B
2001-09,,3.513B,,3.513B,,3.513B,,,,2.393B,43.89B,720.00M,,43.17B,13.29B,68.43B,71.94B,,,,,,,,5.033B,,8.013B,8.013B,45.00B,848.00M,53.01B,64.27B,1.769B,7.166B,1.267B,3.504B,5.00M,129.00M,6.827B
2001-06,,3.659B,,3.659B,,3.659B,,,,2.405B,45.78B,675.00M,,45.10B,12.05B,66.35B,70.01B,,,,,3.83B,3.83B,3.83B,5.274B,,6.845B,6.845B,45.83B,848.00M,52.67B,62.42B,1.769B,7.01B,1.257B,3.203B,5.00M,-85.00M,6.748B
2001-03,,2.998B,,2.998B,,2.998B,,,,2.437B,48.45B,675.00M,-1.062B,46.72B,12.83B,67.97B,70.97B,,,,,3.453B,3.453B,3.453B,4.238B,,8.041B,8.041B,47.19B,848.00M,55.23B,63.34B,1.771B,6.857B,1.323B,3.151B,7.00M,-19.00M,6.781B
2000-12,,3.662B,,3.662B,,3.662B,,,,2.468B,52.26B,675.00M,,51.58B,7.053B,66.18B,69.84B,,,,,1.756B,1.756B,1.756B,3.201B,,8.517B,8.517B,47.66B,848.00M,56.18B,62.34B,1.771B,6.736B,1.303B,3.041B,7.00M,-113.00M,6.656B
2000-09,,3.106B,,3.106B,,3.106B,,,,2.476B,52.88B,675.00M,-964.00M,51.24B,8.163B,66.78B,69.88B,,,,,2.443B,2.443B,2.443B,3.784B,,8.515B,8.515B,47.49B,848.00M,56.01B,62.65B,1.771B,6.545B,1.29B,3.028B,7.00M,-195.00M,6.383B
2000-06,,3.138B,,3.138B,,4.546B,,,,4.366B,56.18B,675.00M,-732.00M,54.78B,7.302B,71.19B,75.74B,,,,,9.137B,9.137B,9.137B,10.02B,,8.566B,8.566B,47.43B,848.00M,55.99B,68.73B,1.771B,6.358B,1.287B,2.987B,7.00M,-272.00M,6.157B
2000-03,,2.19B,,2.19B,,2.19B,,,,4.155B,55.30B,674.00M,,54.63B,8.698B,72.12B,74.31B,,,,,,,,909.00M,,17.18B,17.18B,46.70B,848.00M,63.89B,67.42B,1.771B,6.178B,1.285B,2.913B,7.00M,-282.00M,6.039B
