,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-06,1.044B,,-8.00M,-100.00M,-187.00M,278.00M,278.00M,69.00M,,,-79.00M,-1.23B,1.371B,207.00M,225.00M,1.396B,,,,-1.231B,-129.00M,-4.597B,3.446B,-1.849B,1.597B,49.00M,-557.00M,-508.00M,,-500.00M,-500.00M,-265.00M,-47.00M,-312.00M,,3.462B,4.151B,261.00M,4.412B,49.00M,3.856B,-2.259B,-1.057B,163.00M,252.00M
2015-03,1.004B,,-42.00M,-96.00M,-138.00M,252.00M,252.00M,40.00M,,,-193.00M,1.044B,-1.306B,-229.00M,-759.00M,260.00M,,,,-4.135B,-265.00M,-3.886B,1.579B,-424.00M,1.155B,60.00M,-463.00M,-403.00M,,,,-251.00M,-68.00M,-319.00M,,3.417B,4.36B,-209.00M,4.151B,60.00M,5.859B,-4.704B,-463.00M,28.00M,251.00M
2014-12,1.057B,,4.00M,-107.00M,-139.00M,264.00M,264.00M,205.00M,,23.00M,-266.00M,-163.00M,28.00M,129.00M,-191.00M,1.005B,,,,-659.00M,78.00M,-10.35B,3.913B,505.00M,4.418B,49.00M,-543.00M,-494.00M,,,,-252.00M,-47.00M,-299.00M,-23.00M,9.537B,4.164B,196.00M,4.36B,49.00M,9.414B,-4.996B,-543.00M,1.791B,1.49B
2014-09,1.038B,,0.00,-141.00M,-198.00M,248.00M,248.00M,-54.00M,,13.00M,-101.00M,-49.00M,490.00M,-211.00M,109.00M,1.11B,,,,1.327B,-11.00M,-8.265B,2.763B,218.00M,2.981B,24.00M,-342.00M,-318.00M,,,,-257.00M,-70.00M,-327.00M,-13.00M,6.427B,4.892B,-728.00M,4.164B,24.00M,6.43B,-3.449B,-342.00M,-1.24B,-1.045B
2014-06,1.052B,,6.00M,-92.00M,-142.00M,240.00M,240.00M,87.00M,,-20.00M,-119.00M,25.00M,219.00M,223.00M,380.00M,1.55B,,,,2.346B,-186.00M,-3.297B,2.051B,235.00M,2.286B,53.00M,-250.00M,-197.00M,,,,-256.00M,-47.00M,-303.00M,20.00M,1.916B,4.723B,169.00M,4.892B,53.00M,6.97B,-4.684B,-250.00M,531.00M,213.00M
2014-03,1.06B,,-10.00M,-101.00M,-171.00M,236.00M,236.00M,17.00M,,-16.00M,-29.00M,356.00M,-231.00M,616.00M,729.00M,1.92B,,,,1.831B,-80.00M,-2.985B,2.263B,-701.00M,1.562B,126.00M,-41.00M,85.00M,,,,-235.00M,-68.00M,-303.00M,16.00M,1.745B,4.043B,680.00M,4.723B,126.00M,9.211B,-7.649B,-41.00M,20.00M,205.00M
2013-12,1.074B,,-3.00M,-111.00M,-130.00M,263.00M,263.00M,217.00M,,0.00,-92.00M,-1.399B,1.263B,-1.438B,-1.786B,-341.00M,,,,-2.738B,-253.00M,-11.11B,5.699B,-869.00M,4.83B,49.00M,-1.00M,48.00M,0.00,0.00,0.00,-234.00M,-49.00M,-283.00M,0.00,10.58B,4.908B,-865.00M,4.043B,49.00M,10.27B,-5.444B,-1.00M,6.00M,193.00M
2013-09,1.028B,,-21.00M,-89.00M,-193.00M,300.00M,300.00M,187.00M,,-5.00M,12.00M,-1.31B,2.551B,520.00M,2.634B,4.10B,,,,-667.00M,76.00M,-7.186B,1.449B,107.00M,1.556B,64.00M,0.00,64.00M,0.00,0.00,0.00,-233.00M,-70.00M,-303.00M,5.00M,3.943B,4.051B,857.00M,4.908B,64.00M,8.48B,-6.924B,0.00,228.00M,698.00M
2013-06,1.115B,,-61.00M,-100.00M,-240.00M,300.00M,300.00M,533.00M,,-14.00M,-12.00M,-436.00M,-146.00M,351.00M,-1.055B,784.00M,,,,1.626B,173.00M,-4.023B,2.739B,-561.00M,2.178B,102.00M,-1.00M,101.00M,496.00M,-150.00M,346.00M,-234.00M,-51.00M,-285.00M,14.00M,3.342B,3.948B,103.00M,4.051B,598.00M,8.452B,-6.274B,-151.00M,-32.00M,-233.00M
2013-03,995.00M,,-14.00M,-73.00M,-77.00M,283.00M,283.00M,259.00M,,-4.00M,-41.00M,-845.00M,25.00M,112.00M,-639.00M,1.012B,,,,1.602B,133.00M,3.38B,-2.639B,-1.557B,-4.196B,29.00M,-22.00M,7.00M,,,,-210.00M,-67.00M,-277.00M,-371.00M,-5.664B,5.22B,-1.272B,3.948B,29.00M,3.057B,-7.253B,-22.00M,32.00M,233.00M
2012-12,712.00M,,-45.00M,-82.00M,-242.00M,298.00M,298.00M,83.00M,,-1.00M,33.00M,-1.256B,1.827B,493.00M,-63.00M,1.183B,,,-836.00M,907.00M,67.00M,-5.628B,516.00M,-2.115B,-1.599B,11.00M,-56.00M,-45.00M,529.00M,,529.00M,-212.00M,-52.00M,-264.00M,-499.00M,5.381B,4.284B,936.00M,5.22B,540.00M,6.555B,-8.154B,-56.00M,3.00M,265.00M
2012-09,925.00M,,-40.00M,-88.00M,-241.00M,307.00M,307.00M,68.00M,,-2.00M,-15.00M,555.00M,1.00M,-537.00M,542.00M,1.812B,,,0.00,-49.00M,112.00M,-392.00M,-1.72B,1.316B,-404.00M,35.00M,-109.00M,-74.00M,438.00M,,438.00M,-212.00M,-62.00M,-274.00M,2.00M,-1.272B,4.136B,148.00M,4.284B,473.00M,9.314B,-9.718B,-109.00M,14.00M,310.00M
2012-06,546.00M,,-62.00M,-64.00M,-92.00M,285.00M,285.00M,231.00M,,-15.00M,66.00M,66.00M,446.00M,263.00M,-239.00M,1.038B,,,35.00M,2.852B,-70.00M,-4.133B,-1.332B,2.984B,1.652B,42.00M,-26.00M,16.00M,1.482B,,1.482B,-211.00M,-25.00M,-236.00M,15.00M,3.069B,4.162B,-26.00M,4.136B,1.524B,10.95B,-9.299B,-26.00M,15.00M,295.00M
2012-03,811.00M,,-57.00M,-68.00M,-87.00M,269.00M,269.00M,181.00M,,,-90.00M,-55.00M,-62.00M,1.131B,1.507B,2.776B,,,-3.329B,-626.00M,-12.00M,-7.108B,1.318B,1.639B,2.957B,70.00M,-25.00M,45.00M,,,,-185.00M,-38.00M,-223.00M,,4.389B,4.105B,57.00M,4.162B,70.00M,11.52B,-8.564B,-25.00M,7.00M,338.00M
2011-12,493.00M,,-62.00M,-46.00M,44.00M,290.00M,290.00M,680.00M,-108.00M,,-779.00M,-180.00M,735.00M,610.00M,640.00M,1.448B,,,169.00M,776.00M,84.00M,-2.823B,658.00M,1.116B,1.774B,37.00M,-7.00M,30.00M,0.00,,0.00,-183.00M,-24.00M,-207.00M,,1.498B,3.982B,123.00M,4.105B,37.00M,3.427B,-1.653B,-7.00M,-24.00M,352.00M
2011-09,834.00M,,-68.00M,-84.00M,-152.00M,281.00M,281.00M,287.00M,35.00M,,378.00M,2.927B,-3.882B,-280.00M,-1.044B,880.00M,,,0.00,-4.46B,-57.00M,-6.957B,545.00M,-237.00M,308.00M,11.00M,-14.00M,-3.00M,988.00M,,988.00M,-185.00M,-4.00M,-189.00M,,6.194B,3.865B,117.00M,3.982B,999.00M,3.646B,-3.731B,-14.00M,142.00M,346.00M
2011-06,912.00M,,-82.00M,-77.00M,-159.00M,290.00M,290.00M,-173.00M,39.00M,,234.00M,994.00M,316.00M,,1.555B,2.978B,,,261.00M,3.137B,-307.00M,-1.882B,-694.00M,968.00M,274.00M,10.00M,-19.00M,-9.00M,,,0.00,-184.00M,-24.00M,-208.00M,,-620.00M,3.389B,476.00M,3.865B,10.00M,2.433B,-3.127B,-19.00M,433.00M,374.00M
2011-03,832.00M,,-37.00M,-55.00M,-92.00M,279.00M,279.00M,46.00M,34.00M,,37.00M,-411.00M,-585.00M,,-830.00M,727.00M,,,,2.855B,-80.00M,5.113B,-2.895B,-1.361B,-4.256B,14.00M,-33.00M,-19.00M,,,,-52.00M,-4.00M,-56.00M,,-5.748B,3.297B,92.00M,3.389B,14.00M,2.201B,-5.096B,-33.00M,291.00M,445.00M
2010-12,820.00M,,571.00M,-115.00M,-18.00M,306.00M,306.00M,328.00M,-281.00M,,-1.185B,-2.137B,1.506B,410.00M,-319.00M,374.00M,,,-277.00M,559.00M,-733.00M,-4.715B,-958.00M,1.264B,306.00M,20.00M,-32.00M,-12.00M,,0.00,0.00,-53.00M,-24.00M,-77.00M,-1.00M,3.914B,3.724B,-427.00M,3.297B,20.00M,1.69B,-1.384B,-32.00M,173.00M,452.00M
2010-09,1.103B,,-760.00M,-61.00M,-821.00M,311.00M,311.00M,120.00M,71.00M,,-119.00M,972.00M,-1.005B,58.00M,-701.00M,169.00M,,,2.323B,-8.907B,93.00M,1.168B,-1.188B,-401.00M,-1.589B,25.00M,-56.00M,-31.00M,,0.00,0.00,-53.00M,-4.00M,-57.00M,-99.00M,-1.171B,3.558B,166.00M,3.724B,25.00M,1.585B,-3.174B,-56.00M,236.00M,498.00M
2010-06,803.00M,,-147.00M,-58.00M,-205.00M,216.00M,216.00M,317.00M,94.00M,,196.00M,501.00M,-636.00M,,-247.00M,1.997B,,,156.00M,6.673B,329.00M,3.659B,-1.104B,1.089B,-15.00M,32.00M,-49.00M,-17.00M,,0.00,0.00,-53.00M,-25.00M,-78.00M,,-5.661B,3.563B,-5.00M,3.558B,32.00M,1.452B,-1.467B,-49.00M,34.00M,406.00M
2010-03,671.00M,,-90.00M,-57.00M,-147.00M,226.00M,226.00M,254.00M,116.00M,,204.00M,-907.00M,1.322B,,197.00M,2.272B,,,,-1.57B,264.00M,5.617B,-1.238B,-1.429B,-2.667B,3.409B,-67.00M,3.342B,,-7.579B,-7.579B,-45.00M,-93.00M,-138.00M,,-8.614B,4.288B,-725.00M,3.563B,3.409B,3.323B,-5.99B,-7.646B,309.00M,515.00M
2009-12,1.107B,,-144.00M,-37.00M,-1.257B,231.00M,231.00M,789.00M,144.00M,1.00M,-163.00M,-2.14B,2.487B,-298.00M,892.00M,3.225B,,,0.00,-1.334B,-532.00M,-2.859B,-3.379B,1.755B,-1.624B,73.00M,-64.00M,9.00M,,,0.00,-46.00M,-119.00M,-165.00M,-1.00M,496.00M,3.426B,862.00M,4.288B,73.00M,681.00M,-2.305B,-64.00M,120.00M,625.00M
2009-09,559.00M,,-168.00M,-64.00M,-335.00M,242.00M,242.00M,-45.00M,129.00M,-1.00M,604.00M,-881.00M,-612.00M,106.00M,-456.00M,1.179B,,,-3.396B,-3.905B,26.00M,4.624B,-3.682B,93.00M,-3.589B,53.00M,-42.00M,11.00M,,,0.00,-46.00M,-99.00M,-145.00M,1.00M,-6.174B,3.797B,-371.00M,3.426B,53.00M,556.00M,-4.145B,-42.00M,614.00M,710.00M
2009-06,207.00M,,-182.00M,-33.00M,-215.00M,247.00M,247.00M,-49.00M,155.00M,,-678.00M,-285.00M,1.754B,-931.00M,-274.00M,480.00M,,,0.00,-2.57B,119.00M,6.892B,-2.653B,102.00M,-2.551B,675.00M,-47.00M,628.00M,,,,-45.00M,-119.00M,-164.00M,,-7.151B,3.576B,221.00M,3.797B,675.00M,2.528B,-5.079B,-47.00M,41.00M,833.00M
2009-03,530.00M,,-56.00M,-10.00M,-66.00M,258.00M,258.00M,237.00M,149.00M,,506.00M,-4.812B,1.917B,1.123B,-1.624B,870.00M,,,,-1.989B,-154.00M,822.00M,-1.714B,-1.95B,-3.664B,70.00M,-35.00M,35.00M,,,0.00,-293.00M,-51.00M,-344.00M,,-2.587B,4.471B,-895.00M,3.576B,70.00M,1.022B,-4.686B,-35.00M,9.00M,983.00M
2008-12,-246.00M,,-2.00M,27.00M,120.00M,119.00M,119.00M,-254.00M,174.00M,-4.00M,-327.00M,700.00M,707.00M,,1.438B,2.01B,,,2.143B,-1.297B,-196.00M,-6.37B,-128.00M,21.00M,-107.00M,84.00M,-35.00M,49.00M,7.275B,,7.275B,-229.00M,-21.00M,-250.00M,4.00M,5.771B,3.06B,1.411B,4.471B,7.359B,2.226B,-1.173B,-35.00M,220.00M,205.00M
2008-09,278.00M,,-64.00M,-156.00M,-195.00M,176.00M,176.00M,-52.00M,138.00M,-9.00M,-190.00M,4.44B,-1.222B,,2.628B,3.301B,,,377.00M,-2.10B,960.00M,-3.512B,786.00M,1.837B,2.623B,291.00M,-199.00M,59.00M,492.00M,,0.00,-673.00M,0.00,-229.00M,-670.00M,-254.00M,3.525B,-465.00M,3.06B,783.00M,1.40B,-1.795B,-199.00M,668.00M,1.94B
2008-06,498.00M,,1.00M,63.00M,39.00M,76.00M,76.00M,52.00M,,3.00M,213.00M,-2.088B,1.457B,-113.00M,667.00M,1.397B,,,-136.00M,-2.344B,-1.292B,-3.47B,-1.642B,-1.302B,-2.944B,-56.00M,48.00M,25.00M,,,492.00M,,,-229.00M,676.00M,1.664B,3.934B,-409.00M,3.525B,-56.00M,-627.00M,701.00M,48.00M,-3.00M,-744.00M
2008-03,384.00M,,-41.00M,-63.00M,-199.00M,92.00M,92.00M,-7.00M,0.00,-3.00M,93.00M,2.088B,-1.457B,113.00M,195.00M,706.00M,,,377.00M,533.00M,-242.00M,366.00M,5.615B,-1.716B,3.899B,56.00M,-48.00M,8.00M,,,,,,-215.00M,3.00M,-705.00M,3.567B,367.00M,3.934B,56.00M,6.761B,-2.862B,-48.00M,3.00M,744.00M
2007-12,178.00M,,1.00M,,129.00M,94.00M,94.00M,-3.00M,,,-110.00M,,,,-1.491B,-1.203B,,,-373.00M,15.00M,-3.166B,-3.524B,3.761B,-403.00M,3.358B,,,-9.00M,,,,,,-212.00M,-488.00M,4.976B,3.318B,249.00M,3.567B,,4.88B,-1.119B,,,
2007-09,407.00M,,4.00M,,54.00M,83.00M,83.00M,11.00M,,,256.00M,,,,186.00M,997.00M,,,-280.00M,-4.671B,726.00M,-4.225B,2.555B,245.00M,2.80B,,,-397.00M,,,,,,-215.00M,1.00M,3.369B,3.177B,141.00M,3.318B,,3.137B,-582.00M,,,
2007-06,423.00M,,,,1.00M,78.00M,78.00M,25.00M,,,10.00M,,,,-1.798B,-1.261B,,,0.00,-289.00M,-2.088B,-2.377B,2.197B,1.51B,3.707B,,,-248.00M,,,,,,-218.00M,494.00M,3.581B,3.234B,-57.00M,3.177B,,2.519B,-322.00M,,,
2007-03,459.00M,,,,-52.00M,77.00M,77.00M,45.00M,,,-103.00M,,,,625.00M,1.051B,,,-1.89B,-1.656B,-967.00M,-4.513B,1.517B,3.219B,4.736B,,,-56.00M,,,,,,-161.00M,8.00M,3.173B,3.523B,-289.00M,3.234B,,2.42B,-903.00M,,,
2006-12,376.00M,,0.00,,-2.066B,77.00M,77.00M,-103.00M,,,2.344B,,,,500.00M,1.128B,,,-3.00M,-1.598B,-525.00M,-2.126B,981.00M,-924.00M,57.00M,,,-84.00M,,,,,,-162.00M,78.00M,1.503B,3.018B,505.00M,3.523B,,1.46B,-479.00M,,,
2006-09,1.484B,,195.00M,,195.00M,86.00M,86.00M,784.00M,,,-1.756B,,,,-827.00M,-34.00M,,,0.00,907.00M,-754.00M,153.00M,-2.297B,639.00M,-1.658B,,,-95.00M,,,,,,-162.00M,298.00M,-539.00M,3.438B,-420.00M,3.018B,,-133.00M,-2.164B,,,
2006-06,381.00M,,8.00M,,8.00M,89.00M,89.00M,34.00M,,,-688.00M,,,,785.00M,609.00M,,,-50.00M,-838.00M,-1.17B,-2.058B,-19.00M,-283.00M,-302.00M,,,-86.00M,,,,,,-162.00M,-361.00M,1.681B,3.206B,232.00M,3.438B,,-484.00M,465.00M,,,
2006-03,354.00M,,4.00M,,4.00M,93.00M,93.00M,37.00M,,,241.00M,,,,216.00M,945.00M,,,-5.00M,-822.00M,-504.00M,-1.331B,-243.00M,-251.00M,-494.00M,,,77.00M,,,,,,-147.00M,14.00M,74.00M,3.518B,-312.00M,3.206B,,1.40B,-1.643B,,,
2005-12,355.00M,,4.00M,,4.00M,98.00M,98.00M,21.00M,,,352.00M,,,,-538.00M,292.00M,,,-184.00M,-2.72B,4.041B,1.137B,404.00M,-1.751B,-1.347B,,,43.00M,,,,,,-146.00M,4.00M,-1.385B,3.474B,44.00M,3.518B,,502.00M,-98.00M,,,
2005-09,334.00M,,2.00M,,2.00M,111.00M,111.00M,-35.00M,,,787.00M,,,,-1.084B,115.00M,,,26.00M,-455.00M,-1.307B,-1.736B,423.00M,2.661B,3.084B,,,11.00M,,,,,,-146.00M,-2.837B,1.653B,3.442B,32.00M,3.474B,,537.00M,-114.00M,,,
2005-06,282.00M,,26.00M,,26.00M,86.00M,86.00M,80.00M,,,-73.00M,,,,-37.00M,364.00M,,,-129.00M,306.00M,-1.912B,-1.735B,708.00M,-1.249B,-541.00M,,,-6.00M,,,,,,-141.00M,2.837B,1.905B,2.908B,534.00M,3.442B,,-24.19B,24.90B,,,
2005-03,354.00M,,9.00M,,9.00M,80.00M,80.00M,-65.00M,,,-1.055B,,,,-774.00M,-1.451B,,,-243.00M,-2.021B,-1.198B,-3.462B,1.22B,1.607B,2.827B,,,6.00M,,,,,,-142.00M,,4.591B,3.23B,-322.00M,2.908B,,27.57B,-26.35B,,,
