,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,-2.206B,,,,,,-765.00M,,,,,,,-610.00M,-85.00M,,149.00M,,350.00M,-96.00M,403.00M,698.00M,,698.00M,,,,,,,-18.00M,680.00M,990.00M,473.00M,1.463B,852.00M,-154.00M,,,
2004-09,-646.00M,,,,,,324.00M,,,,,,,-322.00M,-155.00M,,-155.00M,,60.00M,-50.00M,-145.00M,61.00M,,61.00M,,,,,,,-3.00M,58.00M,1.399B,-409.00M,990.00M,532.00M,-471.00M,,,
2004-06,-1.963B,,,,,,2.079B,,,,,,,116.00M,-271.00M,,-271.00M,,-60.00M,45.00M,-286.00M,-42.00M,,-42.00M,,,,,,,-2.00M,-44.00M,1.613B,-214.00M,1.399B,189.00M,-231.00M,,,
2004-03,-383.00M,,,,,,76.00M,,,,,,,-307.00M,-249.00M,,-249.00M,,,57.00M,-192.00M,-46.00M,,-46.00M,,,,,,,-12.00M,-58.00M,2.17B,-557.00M,1.613B,550.00M,-596.00M,,,
2003-12,-327.00M,,,,,,-632.00M,,,,,,,82.00M,-181.00M,,-166.00M,,181.00M,-79.00M,-64.00M,125.00M,,-27.00M,,,13.00M,13.00M,,-19.00M,-2.00M,-35.00M,2.727B,-17.00M,2.71B,92.00M,33.00M,13.00M,,
2003-09,-164.00M,,,,,,365.00M,,,,,,,201.00M,-259.00M,,-259.00M,,2.00M,44.00M,-213.00M,-49.00M,,-49.00M,,,-4.00M,-4.00M,,19.00M,-42.00M,-76.00M,2.815B,-88.00M,2.727B,286.00M,-335.00M,-4.00M,,
2003-06,184.00M,,,,,,151.00M,,,,,,,335.00M,-111.00M,,-111.00M,,273.00M,20.00M,182.00M,733.00M,,733.00M,,,-9.00M,-9.00M,,-19.00M,-264.00M,441.00M,1.857B,958.00M,2.815B,856.00M,-123.00M,-9.00M,,
2003-03,-466.00M,,,,,,301.00M,,,,,,,-165.00M,-193.00M,,-193.00M,,,28.00M,-165.00M,315.00M,,315.00M,,,,,,,-97.00M,218.00M,1.969B,-112.00M,1.857B,540.00M,-225.00M,,,
2002-12,-363.00M,-556.00M,,,,,,,,,,-431.00M,-709.00M,207.00M,-188.00M,54.00M,-134.00M,,-71.00M,93.00M,-112.00M,,,,,,,,,-17.00M,-400.00M,217.00M,1.657B,312.00M,1.969B,,,,-515.00M,-382.00M
2002-09,-326.00M,302.00M,,,,,,,,,,27.00M,27.00M,3.00M,-97.00M,46.00M,-51.00M,,0.00,1.00M,-50.00M,,,,,,,,,-3.00M,-40.00M,-43.00M,1.747B,-90.00M,1.657B,,,,33.00M,96.00M
2002-06,-186.00M,265.00M,,,,,,,,,,-42.00M,-42.00M,37.00M,-238.00M,,-238.00M,,0.00,9.00M,-229.00M,,,,,,,,,-19.00M,445.00M,426.00M,1.513B,234.00M,1.747B,,,,3.00M,188.00M
2002-03,-397.00M,-11.00M,,,,,,,,,,446.00M,446.00M,38.00M,-763.00M,,-763.00M,,24.00M,21.00M,-718.00M,,,,,,,,,,-17.00M,-17.00M,2.21B,-697.00M,1.513B,,,,479.00M,98.00M
2001-12,-734.00M,-630.00M,,,,,,,,,,-456.00M,-349.00M,-368.00M,-633.00M,2.00M,-631.00M,,-348.00M,458.00M,-521.00M,,,,,,,,,-17.00M,-3.033B,313.00M,2.786B,-576.00M,2.21B,,,,-94.00M,-311.00M
2001-09,-259.00M,3.00M,,,,,,,,,,309.00M,309.00M,53.00M,-611.00M,38.00M,-573.00M,,95.00M,-453.00M,-931.00M,,,,,,,,,-3.00M,2.162B,2.159B,1.505B,1.281B,2.786B,,,,0.00,54.00M
2001-06,-90.00M,341.00M,,,,,,,,,,4.00M,4.00M,255.00M,-729.00M,10.00M,-719.00M,,53.00M,0.00,-666.00M,,,,,,,,,-17.00M,761.00M,744.00M,1.172B,333.00M,1.505B,,,,15.00M,217.00M
2001-03,-133.00M,286.00M,,,,,,,,,,143.00M,143.00M,296.00M,-820.00M,16.00M,-804.00M,,239.00M,-13.00M,-578.00M,,,,,,,,,-3.00M,93.00M,90.00M,1.364B,-192.00M,1.172B,,,,79.00M,40.00M
2000-09,217.00M,250.00M,,,,,,,,,,276.00M,276.00M,743.00M,-434.00M,51.00M,-383.00M,-233.00M,-92.00M,1.00M,-707.00M,,,,,,,,,-3.00M,-507.00M,-510.00M,1.623B,-474.00M,1.149B,,,,57.00M,50.00M
2000-06,442.00M,-989.00M,-1.146B,-1.146B,-1.146B,,2.488B,,,,,-23.00M,-51.00M,994.00M,-1.223B,12.00M,-1.211B,0.00,330.00M,,-1.096B,,,,,,,,,-17.00M,181.00M,164.00M,1.19B,62.00M,1.252B,,,,10.00M,138.00M
2000-03,223.00M,793.00M,548.00M,548.00M,548.00M,,-1.096B,,,,,272.00M,272.00M,740.00M,918.00M,51.00M,969.00M,-1.584B,-91.00M,,-706.00M,,,,,,,,,-3.00M,-505.00M,-508.00M,1.664B,-474.00M,1.19B,,,,322.00M,182.00M
1999-12,360.00M,-460.00M,-285.00M,-285.00M,-285.00M,,570.00M,,,,,88.00M,88.00M,273.00M,-2.401B,98.00M,-2.303B,,650.00M,,-1.653B,,,,,,,,,-18.00M,1.551B,1.533B,1.511B,153.00M,1.664B,,,,-55.00M,-65.00M
1999-09,344.00M,101.00M,-263.00M,-263.00M,-263.00M,,526.00M,,,,,-337.00M,-337.00M,371.00M,-583.00M,95.00M,-488.00M,,41.00M,,-447.00M,,,,,,,,,-4.00M,467.00M,463.00M,1.124B,387.00M,1.511B,,,,55.00M,65.00M
1999-06,364.00M,-269.00M,692.00M,1.653B,1.653B,,-1.254B,,,,,55.00M,295.00M,1.142B,-113.00M,,-113.00M,,40.00M,16.00M,-627.00M,,,,,,,,,-18.00M,-270.00M,-370.00M,979.00M,145.00M,1.124B,,,,,
1999-03,217.00M,95.00M,-241.00M,-241.00M,-241.00M,,482.00M,,,,,294.00M,294.00M,847.00M,-1.31B,-7.00M,-1.317B,,185.00M,14.00M,-1.118B,,,,,,,,,-4.00M,636.00M,632.00M,618.00M,361.00M,979.00M,,,,,
1998-12,193.00M,78.00M,-233.00M,-233.00M,-233.00M,,570.00M,,,,,-197.00M,-197.00M,411.00M,-792.00M,7.00M,-785.00M,,415.00M,-1.00M,-371.00M,,,,,,,,,-17.00M,61.00M,44.00M,534.00M,84.00M,618.00M,,,,,
1998-09,327.00M,96.00M,-218.00M,-218.00M,-218.00M,,332.00M,,,,,,,537.00M,-604.00M,,-604.00M,,-46.00M,1.00M,-649.00M,,,,,,,,,-4.00M,-427.00M,-431.00M,1.077B,-543.00M,534.00M,,,,,
1998-06,362.00M,-224.00M,625.00M,1.485B,1.485B,,-839.00M,,,,,-528.00M,-178.00M,900.00M,-828.00M,,-828.00M,,-52.00M,2.00M,-878.00M,,,,,,,,,-17.00M,304.00M,69.00M,986.00M,91.00M,1.077B,,,,,
1998-03,196.00M,19.00M,-216.00M,-216.00M,-216.00M,,432.00M,,,,,375.00M,375.00M,806.00M,-500.00M,,-500.00M,,-1.00M,8.00M,-493.00M,,,,,,,,,-4.00M,-173.00M,-177.00M,850.00M,136.00M,986.00M,,,,,
