,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-09,9.483B,10.49B,7.935B,2.555B,447.00M,,447.00M,,,,-106.00M,213.00M,,-213.00M,439.00M,886.00M,1.669B,,213.00M,-213.00M,-93.00M,-213.00M,1.363B,-6.00M,1.369B,,,1.369B,1.438B,1.576B,,1.576B,1.61,,,1.6909999999999998,1.61,1.59,,,1.67,1.59,851.00M,861.00M,0.06
2013-06,8.726B,9.707B,7.986B,1.721B,408.00M,,408.00M,,,,-34.00M,213.00M,,-213.00M,365.00M,773.00M,948.00M,,213.00M,-213.00M,-49.00M,-213.00M,686.00M,1.00M,685.00M,,,685.00M,718.95M,899.00M,,899.00M,0.81,,,0.8499,0.81,0.8,,,0.8395,0.8,850.00M,859.00M,
2013-03,7.558B,8.50B,7.463B,1.037B,357.00M,,357.00M,,,,-102.00M,220.00M,,-220.00M,356.00M,713.00M,324.00M,,220.00M,-220.00M,-101.00M,-220.00M,3.00M,-4.00M,7.00M,,,7.00M,73.30M,223.00M,,223.00M,0.01,,,0.0882,0.01,0.01,,,0.0875,0.01,848.00M,855.00M,
2012-12,7.664B,8.602B,7.393B,1.209B,377.00M,,377.00M,,,,-228.00M,234.00M,,-234.00M,359.00M,736.00M,473.00M,,234.00M,-234.00M,-228.00M,-234.00M,11.00M,5.00M,6.00M,,,6.00M,154.20M,245.00M,,245.00M,0.01,,,0.1854,0.01,0.01,,,0.1837,0.01,845.00M,853.00M,
2012-09,8.917B,9.923B,7.605B,2.318B,440.00M,,440.00M,,,,-161.00M,243.00M,,-243.00M,421.00M,861.00M,1.457B,,243.00M,-243.00M,-162.00M,-243.00M,1.052B,5.00M,1.047B,,,1.047B,1.207B,1.295B,,1.295B,1.24,,,1.429,1.24,1.23,,,1.419,1.23,846.00M,850.00M,
2012-06,8.693B,9.732B,8.616B,1.116B,393.00M,,393.00M,,,,-193.00M,256.00M,,-256.00M,396.00M,789.00M,327.00M,,256.00M,-256.00M,-235.00M,-256.00M,-164.00M,4.00M,-168.00M,,,-168.00M,-42.55M,92.00M,,92.00M,-0.2,,,-0.0515,-0.2,-0.2,,,-0.0515,-0.2,845.00M,845.00M,
2012-03,7.47B,8.413B,7.247B,1.166B,380.00M,,380.00M,,,,12.00M,272.00M,,-272.00M,416.00M,796.00M,370.00M,,272.00M,-272.00M,29.00M,-272.00M,127.00M,3.00M,124.00M,,,124.00M,112.28M,399.00M,,399.00M,0.15,,,0.1361,0.15,0.15,,,0.1362,0.15,843.00M,847.00M,
2011-12,4.568B,8.399B,13.33B,-4.929B,393.00M,,-4.965B,,,,58.00M,411.00M,,-411.00M,363.00M,-5.743B,814.00M,,411.00M,-411.00M,14.00M,-411.00M,417.00M,-8.00M,425.00M,,,425.00M,387.30M,828.00M,,828.00M,0.51,0.0,,0.465,0.51,0.5,0.0,,0.4553,0.5,838.00M,844.00M,
2011-09,9.816B,9.816B,5.781B,4.035B,480.00M,1.884B,2.364B,,414.00M,,-87.00M,229.00M,,-229.00M,424.00M,3.172B,863.00M,,229.00M,-229.00M,-87.00M,-229.00M,547.00M,-2.00M,549.00M,,,549.00M,605.55M,1.16B,384.00M,776.00M,0.66,0.0,,0.7275,0.66,0.65,0.0,,0.717,0.65,838.00M,844.00M,
2011-06,9.153B,9.153B,5.548B,3.605B,440.00M,1.747B,2.187B,,394.00M,,-197.00M,233.00M,,-233.00M,412.00M,2.98B,625.00M,,233.00M,-233.00M,-197.00M,-233.00M,195.00M,-3.00M,198.00M,,,198.00M,326.05M,809.00M,381.00M,428.00M,0.24,0.0,,0.3928,0.24,0.23,0.0,,0.3817,0.23,838.00M,844.00M,
2011-03,7.747B,7.747B,4.931B,2.816B,369.00M,1.727B,2.096B,,391.00M,,-83.00M,221.00M,,-221.00M,429.00M,2.901B,-85.00M,,221.00M,-221.00M,-83.00M,-221.00M,-389.00M,-71.00M,-318.00M,,,-318.00M,-250.15M,208.00M,376.00M,-168.00M,-0.38,0.0,,-0.2989,-0.38,-0.38,0.0,,-0.2989,-0.38,837.00M,837.00M,
2010-12,4.142B,7.789B,13.05B,-5.257B,364.00M,,-4.954B,,,,86.00M,435.00M,,-435.00M,434.00M,-5.659B,402.00M,,435.00M,-435.00M,53.00M,-435.00M,20.00M,1.00M,19.00M,,,19.00M,-62.70M,455.00M,,455.00M,0.02,,,-0.078,0.02,0.02,,,-0.0766,0.02,834.00M,846.00M,
2010-09,8.95B,8.95B,4.675B,4.275B,404.00M,1.854B,2.258B,,423.00M,,-594.00M,249.00M,,-249.00M,433.00M,3.066B,1.209B,,249.00M,-249.00M,-594.00M,-249.00M,366.00M,3.00M,363.00M,,,363.00M,952.13M,990.00M,375.00M,615.00M,0.43,0.0,,1.136,0.43,0.43,0.0,,1.13,0.43,835.00M,842.00M,
2010-06,8.168B,8.168B,4.283B,3.885B,377.00M,1.792B,2.169B,,425.00M,,-211.00M,255.00M,,-255.00M,403.00M,2.951B,934.00M,,255.00M,-255.00M,-211.00M,-255.00M,468.00M,1.00M,467.00M,,,467.00M,677.55M,1.102B,379.00M,723.00M,0.56,0.0,,0.8125,0.56,0.55,0.0,,0.8001,0.55,834.00M,842.00M,
2010-03,6.848B,6.848B,3.929B,2.919B,364.00M,1.672B,2.036B,,425.00M,,-122.00M,246.00M,,-246.00M,376.00M,2.797B,122.00M,,246.00M,-246.00M,-122.00M,-246.00M,-246.00M,10.00M,-256.00M,,,-256.00M,-176.70M,385.00M,385.00M,0.00,-0.31,0.0,,-0.2147,-0.31,-0.31,0.0,,-0.2147,-0.31,832.00M,832.00M,
2009-12,6.805B,6.805B,2.351B,4.454B,336.00M,3.282B,3.618B,,,,-1.731B,261.00M,4.00M,-257.00M,,2.821B,1.633B,4.00M,261.00M,-257.00M,-1.731B,-257.00M,-355.00M,-330.00M,-25.00M,,,-25.00M,1.100B,290.00M,384.00M,-94.00M,-0.03,0.0,,1.3259999999999998,-0.03,-0.03,0.0,,1.3259999999999998,-0.03,830.00M,830.00M,
2009-09,7.574B,7.574B,4.35B,3.224B,384.00M,1.722B,2.106B,,463.00M,,-299.00M,217.00M,4.00M,-213.00M,400.00M,2.891B,333.00M,4.00M,217.00M,-213.00M,-299.00M,-213.00M,-179.00M,-18.00M,-161.00M,,,-161.00M,107.93M,423.00M,385.00M,38.00M,-0.19,0.0,,0.1348,-0.19,-0.19,0.0,,0.1348,-0.19,828.00M,828.00M,
2009-06,7.00B,7.00B,3.764B,3.236B,329.00M,2.077B,2.406B,,434.00M,,3.00M,324.00M,9.00M,-315.00M,388.00M,3.177B,59.00M,9.00M,324.00M,-315.00M,3.00M,-315.00M,-253.00M,4.00M,-257.00M,,,-257.00M,-258.95M,454.00M,383.00M,71.00M,-0.31,0.0,,-0.3124,-0.31,-0.31,0.0,,-0.3124,-0.31,827.00M,827.00M,
2009-03,6.684B,6.684B,3.355B,3.329B,356.00M,1.706B,2.062B,,437.00M,,-112.00M,308.00M,10.00M,-298.00M,393.00M,2.839B,490.00M,10.00M,308.00M,-298.00M,-112.00M,-298.00M,-794.00M,0.00,-794.00M,,,-794.00M,-682.00M,-102.00M,384.00M,-486.00M,-0.96,0.0,,-0.8242,-0.96,-0.96,0.0,,-0.8242,-0.96,825.00M,825.00M,
2008-12,6.713B,6.713B,4.717B,1.996B,298.00M,2.122B,2.42B,,,,-2.172B,257.00M,19.00M,-238.00M,,2.464B,-468.00M,19.00M,257.00M,-238.00M,-2.172B,-238.00M,-1.438B,0.00,-1.438B,,,-1.438B,734.00M,-807.00M,374.00M,-1.181B,-0.17,0.0,,3.005,-0.17,-0.17,0.0,,3.005,-0.17,684.00M,684.00M,
2008-09,5.719B,5.719B,3.311B,2.408B,259.00M,1.086B,1.345B,,249.00M,,-86.00M,140.00M,21.00M,-119.00M,117.00M,1.755B,653.00M,21.00M,140.00M,-119.00M,-86.00M,-119.00M,-50.00M,0.00,-50.00M,,,-50.00M,36.00M,383.00M,293.00M,90.00M,-0.13,0.0,,0.0872,-0.13,-0.13,0.0,,0.0872,-0.13,396.00M,396.00M,
2008-06,5.499B,5.499B,3.062B,2.437B,248.00M,1.092B,1.34B,,240.00M,,-1.26B,141.00M,25.00M,-116.00M,102.00M,1.744B,693.00M,25.00M,141.00M,-116.00M,-1.26B,-116.00M,-1.163B,-119.00M,-1.044B,,,-1.044B,87.07M,-720.00M,302.00M,-1.022B,-2.64,0.0,,0.2162,-2.64,-2.64,0.0,,0.2162,-2.64,396.00M,396.00M,
2008-03,4.766B,4.766B,2.725B,2.041B,225.00M,1.091B,1.316B,,231.00M,,-6.125B,147.00M,27.00M,-120.00M,111.00M,1.724B,317.00M,27.00M,147.00M,-120.00M,-6.125B,-120.00M,-6.39B,0.00,-6.39B,,,-6.39B,-265.00M,-5.946B,297.00M,-6.243B,-16.15,0.0,,-0.6699,-16.15,-16.15,0.0,,-0.6699,-16.15,395.67M,395.67M,
2007-12,4.683B,4.683B,2.551B,2.132B,212.00M,1.07B,1.282B,,235.00M,,1.211B,138.00M,39.00M,-99.00M,94.00M,1.664B,468.00M,39.00M,138.00M,-99.00M,1.211B,-99.00M,-105.00M,-35.00M,-70.00M,,,-70.00M,-877.33M,321.00M,288.00M,33.00M,1.0,0.0,,-1.112,1.0,0.39,0.0,,-1.645,0.39,382.30M,396.80M,
2007-09,5.227B,5.227B,2.458B,2.769B,248.00M,1.109B,1.357B,,238.00M,,0.00,132.00M,42.00M,-90.00M,186.00M,1.84B,929.00M,42.00M,132.00M,-90.00M,,-90.00M,363.00M,143.00M,220.00M,,,220.00M,220.00M,792.00M,297.00M,495.00M,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,393.50M,395.10M,
2007-06,5.003B,5.003B,2.218B,2.785B,253.00M,1.039B,1.292B,,238.00M,,7.00M,182.00M,37.00M,-145.00M,239.00M,1.819B,966.00M,37.00M,182.00M,-145.00M,7.00M,-145.00M,1.691B,99.00M,1.592B,,,1.592B,1.585B,2.161B,288.00M,1.873B,7.66,0.0,,7.64,7.66,5.61,0.0,,5.591,5.61,330.00M,340.40M,
2007-03,4.241B,4.241B,926.00M,3.315B,220.00M,971.00M,1.191B,,260.00M,,29.00M,200.00M,10.00M,-190.00M,1.158B,2.64B,675.00M,10.00M,200.00M,-190.00M,29.00M,-190.00M,-130.00M,0.00,-130.00M,,,-130.00M,-159.00M,361.00M,291.00M,70.00M,-0.66,0.0,,-0.807,-0.66,-0.66,0.0,,-0.807,-0.66,197.30M,197.30M,
2006-12,4.246B,4.246B,,,,,1.44B,,,,-7.00M,,,,2.436B,4.24B,6.00M,,,,-7.00M,,-2.706B,-725.00M,-1.981B,,0.00,-1.981B,-1.976B,370.00M,364.00M,6.00M,-10.05,0.0,,-10.02,-10.05,-10.05,0.0,,-10.02,-10.05,197.37M,197.37M,
2006-09,4.751B,4.751B,,,,,1.50B,,,,-31.00M,,,,2.79B,4.583B,168.00M,,,,-31.00M,,29.00M,-23.00M,52.00M,,,52.00M,70.60M,461.00M,293.00M,168.00M,0.26,0.0,,0.353,0.26,0.22,0.0,,0.2987,0.22,200.00M,236.36M,
2006-06,4.741B,4.741B,,,,,412.00M,,,,19.00M,,,,3.642B,4.372B,369.00M,,,,19.00M,,-2.201B,4.00M,-2.205B,,,-2.205B,-2.216B,687.00M,318.00M,369.00M,-11.18,0.0,,-11.24,-11.18,-11.18,0.0,,-11.24,-11.18,197.23M,197.23M,
2006-03,3.719B,3.719B,,,,,553.00M,,,,0.00,,,,3.35B,4.204B,-485.00M,,,,,,-2.09B,-21.00M,-2.069B,,2.00M,-2.069B,-2.069B,-184.00M,301.00M,-485.00M,-10.68,0.0,,-10.68,-10.68,-10.68,0.0,,-10.68,-10.68,193.91M,193.91M,
2005-12,4.217B,4.217B,,,,,5.629B,,,,0.00,,,,-1.054B,4.892B,-675.00M,,,,0.00,,-1.137B,98.00M,-1.235B,,3.00M,-1.235B,-1.235B,-358.00M,317.00M,-675.00M,-6.68,0.0,,-6.68,-6.68,-6.68,0.0,,-6.68,-6.68,189.47M,189.47M,
2005-09,4.308B,4.308B,,,,,491.00M,,,,0.00,,,,3.74B,4.548B,-240.00M,,,,,,-1.107B,23.00M,-1.13B,,4.00M,-1.13B,-1.13B,77.00M,317.00M,-240.00M,-6.73,0.0,,-6.73,-6.73,-6.73,0.0,,-6.73,-6.73,168.50M,168.50M,
2005-06,4.249B,4.249B,,,,,497.00M,,,,3.00M,,,,3.555B,4.378B,-129.00M,,,,3.00M,,-400.00M,-18.00M,-382.00M,,6.00M,-382.00M,-384.86M,197.00M,326.00M,-129.00M,-2.64,0.0,,-2.659,-2.64,-2.64,0.0,,-2.659,-2.64,146.97M,146.97M,
2005-03,3.706B,3.706B,,,,,487.00M,,,,-4.00M,,,,3.863B,4.663B,-957.00M,,,,-4.00M,,-1.215B,-144.00M,-1.071B,,5.00M,-1.071B,-1.067B,-644.00M,313.00M,-957.00M,-7.64,0.0,,-7.615,-7.64,-7.64,0.0,,-7.615,-7.64,140.84M,140.84M,
2004-12,3.874B,3.874B,,,,,,,,,147.00M,,,,,6.13B,-2.256B,,,,147.00M,,-2.313B,-107.00M,-2.206B,,5.00M,-2.206B,-2.346B,-2.256B,,-2.256B,-17.01,0.0,,-18.06,-17.01,-17.01,0.0,,-18.05,-17.01,133.37M,135.25M,
2004-09,3.871B,3.871B,,,,,469.00M,,,,-25.00M,,,,3.514B,4.294B,-423.00M,,,,-25.00M,,-652.00M,-6.00M,-646.00M,,5.00M,-646.00M,-621.23M,-112.00M,311.00M,-423.00M,-5.16,0.0,,-4.9639999999999995,-5.16,-5.16,0.0,,-4.9639999999999995,-5.16,126.15M,126.15M,
2004-06,3.961B,3.961B,,,,,2.053B,,,,1.00M,,,,1.838B,4.202B,-241.00M,,,,1.00M,,-429.00M,1.534B,-1.963B,,5.00M,-1.963B,-1.964B,70.00M,311.00M,-241.00M,-15.79,0.0,,-15.79,-15.79,-15.79,0.0,,-15.79,-15.79,124.69M,124.69M,
2004-03,3.529B,3.529B,,,,,2.067B,,,,-29.00M,,,,1.543B,3.917B,-388.00M,,,,-29.00M,,-598.00M,-215.00M,-383.00M,,4.00M,-383.00M,-364.43M,-81.00M,307.00M,-388.00M,-3.12,0.0,,-2.97,-3.12,-3.12,0.0,,-2.97,-3.12,123.88M,123.88M,
2003-12,3.831B,3.831B,,,,,,,,,42.00M,,,,,4.196B,-365.00M,,,,42.00M,,-512.00M,-185.00M,-327.00M,,5.00M,-327.00M,-353.82M,-365.00M,,-365.00M,-2.69,0.0,,-2.907,-2.69,-2.69,0.0,,-2.907,-2.69,123.64M,123.67M,
2003-09,3.657B,3.657B,,,128.00M,2.038B,2.166B,,,,9.00M,,,,1.267B,3.738B,-81.00M,,,,9.00M,,-254.00M,-90.00M,-164.00M,,4.00M,-164.00M,-169.81M,224.00M,305.00M,-81.00M,-1.36,0.0,,-1.4069999999999998,-1.36,-1.36,0.0,,-1.4069999999999998,-1.36,123.39M,123.39M,
2003-06,3.496B,3.496B,,,124.00M,2.073B,2.197B,,,,289.00M,,,,797.00M,3.30B,196.00M,,,,289.00M,,301.00M,117.00M,184.00M,,4.00M,184.00M,7.336M,502.00M,306.00M,196.00M,1.46,0.0,,0.0279,1.46,1.4,0.0,,0.0464,1.4,123.36M,130.52M,
2003-03,3.155B,3.155B,,,115.00M,2.139B,2.254B,,,,-23.00M,,,,1.133B,3.69B,-535.00M,,,,-23.00M,,-724.00M,-258.00M,-466.00M,,4.00M,-466.00M,-451.20M,-232.00M,303.00M,-535.00M,-3.81,0.0,,-3.69,-3.81,-3.81,0.0,,-3.69,-3.81,123.36M,123.36M,
