,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-09,940.90M,940.90M,770.50M,170.40M,93.90M,4.70M,-0.20M,9.60M,1.40M,-8.20M,,98.60M,71.80M,1.40M,9.60M,-8.20M,-0.20M,-8.20M,63.40M,18.10M,45.30M,0.00,-0.40M,44.90M,45.04M,100.90M,27.90M,73.00M,0.31,0.0,,0.311,0.31,0.31,0.0,,0.311,0.31,143.80M,145.10M,0.28
2011-06,945.20M,945.20M,763.30M,181.90M,98.10M,4.90M,0.20M,9.40M,2.30M,-7.10M,,103.00M,78.90M,2.30M,9.40M,-7.10M,0.20M,-7.10M,72.00M,16.50M,55.50M,0.00,-0.80M,54.70M,54.55M,111.60M,30.20M,81.40M,0.38,0.0,,0.3789,0.38,0.37,0.0,,0.369,0.37,145.60M,147.40M,0.27
2011-03,895.80M,895.80M,725.80M,170.00M,95.80M,4.80M,,9.50M,1.50M,-8.00M,-4.80M,95.80M,74.20M,1.50M,9.50M,-8.00M,,-8.00M,66.20M,19.90M,46.30M,,-1.30M,45.00M,45.00M,105.80M,30.10M,75.70M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,149.20M,150.80M,0.27
2010-12,801.90M,801.90M,660.40M,141.50M,85.60M,5.00M,,9.90M,1.20M,-8.70M,,98.10M,43.40M,1.20M,9.90M,-8.70M,,-8.70M,41.40M,8.80M,32.60M,-0.10M,-1.10M,31.40M,31.50M,82.90M,31.60M,51.30M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,150.10M,151.97M,0.27
2010-09,866.50M,866.50M,697.80M,168.70M,87.60M,4.90M,,9.30M,1.70M,-7.60M,0.60M,93.10M,75.60M,1.70M,9.30M,-7.60M,,-7.60M,68.00M,18.10M,49.90M,-0.60M,-1.90M,47.40M,48.00M,107.30M,30.00M,77.30M,0.32,0.0,,0.32,0.31,0.31,0.0,,0.31,0.31,150.70M,152.90M,0.27
2010-06,874.30M,874.30M,694.60M,179.70M,88.80M,4.90M,,9.20M,1.20M,-8.00M,0.90M,94.60M,85.10M,1.20M,9.20M,-8.00M,,-8.00M,77.10M,23.50M,53.60M,0.50M,-1.40M,52.70M,52.20M,115.60M,29.30M,86.30M,0.34,0.0,,0.34,0.35,0.34,0.0,,0.34,0.34,151.50M,153.80M,0.26
2010-03,816.40M,816.40M,650.90M,165.50M,92.30M,5.00M,,9.30M,1.10M,-8.20M,-9.00M,88.30M,77.20M,1.10M,9.30M,-8.20M,,-8.20M,69.00M,21.50M,47.50M,-0.60M,-1.80M,45.10M,45.70M,110.20M,31.90M,78.30M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.29,152.60M,154.30M,0.26
2009-12,769.70M,769.70M,599.50M,170.20M,87.30M,5.40M,,9.60M,1.70M,-7.90M,-20.90M,71.80M,98.40M,1.70M,9.60M,-7.90M,,-7.90M,68.70M,26.20M,42.50M,-5.40M,-1.90M,35.20M,40.60M,111.30M,33.00M,78.30M,0.26,-0.04,,0.26,0.22,0.26,-0.04,,0.26,0.22,154.92M,156.26M,0.26
2009-09,809.90M,809.90M,622.60M,187.30M,84.80M,5.50M,,9.30M,1.30M,-8.00M,2.00M,92.30M,95.00M,1.30M,9.30M,-8.00M,,-8.00M,87.00M,30.80M,56.20M,-0.50M,-1.40M,54.30M,54.80M,128.80M,32.50M,96.30M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,159.70M,160.50M,0.26
2009-06,757.40M,757.40M,610.20M,147.20M,89.00M,5.50M,,9.10M,1.00M,-8.10M,11.90M,106.40M,40.80M,1.00M,9.10M,-8.10M,,-8.10M,32.70M,13.60M,19.10M,0.10M,-0.20M,19.00M,18.90M,75.20M,33.40M,41.80M,0.12,0.0,,0.12,0.12,0.12,0.0,,0.12,0.12,161.50M,161.80M,0.25
2009-03,718.10M,718.10M,593.10M,125.00M,101.90M,4.30M,,9.40M,1.50M,-7.90M,0.90M,107.10M,17.90M,1.50M,9.40M,-7.90M,,-7.90M,10.00M,6.70M,3.30M,-0.30M,0.30M,3.30M,3.60M,50.80M,31.40M,19.40M,0.02,0.0,,0.02,0.02,0.02,0.0,,0.02,0.02,161.10M,161.40M,0.25
2008-12,882.50M,882.50M,771.90M,110.60M,106.20M,6.00M,,10.10M,2.00M,-8.10M,-11.60M,100.60M,10.00M,2.00M,10.10M,-8.10M,,-8.10M,-29.30M,-17.10M,-12.20M,-9.80M,,-18.00M,-8.20M,15.60M,34.80M,-19.20M,-0.04,-0.06,,-0.04,-0.1,-0.04,-0.06,,-0.04,-0.1,161.81M,162.15M,0.25
2008-09,1.132B,1.132B,925.10M,207.10M,105.50M,6.20M,,11.90M,2.30M,-9.60M,-0.80M,110.90M,96.20M,2.30M,11.90M,-9.60M,,-9.60M,86.60M,37.10M,49.50M,-15.70M,-1.10M,32.70M,48.40M,132.90M,34.40M,98.50M,0.29,-0.09,,0.29,0.2,0.29,-0.09,,0.29,0.2,165.60M,166.10M,0.25
2008-06,1.063B,1.063B,866.70M,196.40M,107.60M,6.30M,,13.10M,2.10M,-11.00M,0.10M,114.00M,82.40M,2.10M,13.10M,-11.00M,,-11.00M,71.40M,26.20M,45.20M,2.80M,-1.70M,46.30M,43.50M,120.70M,36.20M,84.50M,0.25,0.02,,0.25,0.27,0.25,0.02,,0.25,0.27,171.30M,171.50M,0.25
2008-03,998.30M,998.30M,821.20M,177.10M,103.90M,6.00M,,13.30M,2.30M,-11.00M,-3.10M,106.80M,70.30M,2.30M,13.30M,-11.00M,,-11.00M,59.30M,18.90M,40.40M,4.20M,-1.20M,43.40M,39.20M,107.60M,35.00M,72.60M,0.23,0.02,,0.23,0.25,0.23,0.02,,0.23,0.25,173.10M,173.20M,0.25
2007-12,1.040B,1.040B,863.00M,176.70M,110.00M,6.70M,-163.80M,,,,,105.70M,71.00M,,,,-163.80M,,-105.10M,12.30M,-117.40M,-95.20M,,-212.60M,-10.93M,-34.10M,48.30M,-82.40M,-0.65,-0.52,,-0.0429,-1.17,-0.65,-0.52,,-0.0441,-1.17,175.37M,175.71M,0.25
2007-09,1.092B,1.092B,876.60M,215.60M,105.90M,5.30M,0.70M,,,,,111.20M,104.40M,,,,0.70M,,92.60M,28.50M,64.10M,1.60M,,65.70M,63.62M,149.30M,44.90M,104.40M,0.36,0.01,,0.3573,0.37,0.36,0.01,,0.3573,0.37,177.10M,177.40M,0.18
2007-06,1.070B,1.070B,863.50M,207.00M,113.40M,6.40M,-0.40M,,,,,119.80M,87.20M,,,,-0.40M,,74.30M,18.00M,56.30M,3.70M,,60.00M,56.60M,133.90M,46.70M,87.20M,0.31,0.02,,0.3117,0.33,0.31,0.02,,0.3117,0.33,181.90M,182.60M,0.18
2007-03,1.048B,1.048B,851.10M,196.50M,100.40M,4.90M,0.60M,,,,,105.30M,91.20M,,,,0.60M,,89.00M,23.60M,56.40M,19.30M,,75.70M,55.96M,134.70M,43.50M,91.20M,0.31,0.1,,0.3076,0.41,0.31,0.1,,0.3076,0.41,183.00M,183.70M,0.17
2006-12,285.70M,285.70M,206.20M,79.50M,38.70M,,10.40M,,,,,54.50M,25.00M,,,,10.40M,,23.00M,6.30M,16.70M,53.30M,,70.00M,9.149M,68.50M,43.50M,25.00M,0.09,0.29,,0.0494,0.38,0.09,0.29,,0.0494,0.38,185.99M,185.99M,0.17
2006-09,1.368B,1.368B,1.116B,251.60M,118.30M,,-0.20M,,,,,118.30M,133.30M,,,,-0.20M,,120.60M,39.50M,81.10M,2.90M,,84.00M,81.23M,177.20M,43.90M,133.30M,0.44,0.01,,0.4407,0.45,0.44,0.01,,0.4407,0.45,185.60M,186.30M,0.17
2006-06,1.356B,1.356B,1.107B,248.90M,123.40M,,-7.10M,,,,,123.40M,125.50M,,,,-7.10M,,106.70M,25.70M,81.00M,3.20M,,84.20M,86.39M,170.30M,44.80M,125.50M,0.43,0.02,,0.4588,0.45,0.43,0.02,,0.4587,0.45,186.90M,187.90M,0.17
2006-03,1.324B,1.324B,1.094B,229.40M,121.50M,,-12.60M,,,,,121.50M,107.90M,,,,-12.60M,,84.10M,27.30M,56.80M,5.30M,,62.10M,65.31M,151.10M,43.20M,107.90M,0.3,0.03,,0.3454,0.33,0.3,0.03,,0.3452,0.33,187.40M,188.20M,0.16
2005-12,297.80M,297.80M,212.30M,85.50M,48.80M,,-16.70M,,,,,56.60M,28.90M,,,,-16.70M,,2.20M,-9.90M,12.10M,,,45.30M,22.12M,73.10M,44.20M,28.90M,0.07,0.17,,0.1224,0.24,0.07,0.17,,0.1224,0.24,191.23M,191.23M,0.16
2005-09,1.349B,1.349B,1.134B,215.10M,115.80M,,-11.70M,,,,,115.80M,99.30M,,,,-11.70M,,77.60M,23.60M,54.00M,,,54.00M,62.14M,143.60M,44.30M,99.30M,0.28,0.0,,0.3222,0.28,0.28,0.0,,0.322,0.28,193.00M,193.80M,0.16
2005-06,1.310B,1.310B,1.064B,246.20M,118.30M,,-0.20M,,,,,118.30M,127.90M,,,,-0.20M,,1.118B,39.00M,79.20M,,,79.20M,79.39M,167.10M,39.20M,127.90M,0.41,0.0,,0.411,0.41,0.41,0.0,,0.411,0.41,193.80M,195.00M,0.16
2005-03,1.301B,1.301B,1.069B,232.40M,112.60M,,-2.50M,,,,2.50M,115.10M,117.30M,,,,-2.50M,,107.70M,34.90M,72.80M,,,72.80M,74.49M,160.70M,43.40M,117.30M,0.37,0.0,,0.3787,0.37,0.37,0.0,,0.3786,0.37,195.20M,196.50M,0.15
2004-12,1.282B,1.282B,1.067B,214.80M,121.10M,,17.90M,,,,,131.60M,83.20M,,,,17.90M,,92.10M,26.50M,65.60M,,,65.60M,52.85M,124.60M,41.40M,83.20M,0.12,0.22,,0.0545,0.34,0.11,0.22,,0.0451,0.33,194.52M,196.31M,0.15
2004-09,1.338B,1.338B,1.096B,242.50M,111.30M,,-0.70M,,,,,111.30M,131.20M,,,,-0.70M,,121.10M,40.90M,80.20M,,,80.20M,80.66M,174.90M,43.70M,131.20M,0.41,0.0,,0.4124,0.41,0.41,0.0,,0.4124,0.41,195.40M,196.80M,0.15
2004-06,1.278B,1.278B,1.035B,243.40M,115.80M,,-0.80M,,,,,115.80M,127.60M,,,,-0.80M,,116.40M,39.60M,76.80M,,,76.80M,77.33M,174.00M,46.40M,127.60M,0.39,0.0,,0.3927,0.39,0.39,0.0,,0.3927,0.39,196.00M,197.00M,0.14
2004-03,1.187B,1.187B,972.10M,215.10M,112.00M,,0.20M,,,,,112.00M,103.10M,,,,0.20M,,93.00M,30.20M,62.80M,,,62.80M,62.66M,146.40M,43.30M,103.10M,0.32,0.0,,0.3193,0.32,0.32,0.0,,0.3193,0.32,196.10M,197.10M,0.14
2003-12,1.141B,1.141B,929.30M,211.90M,109.40M,,4.20M,,,,,117.80M,94.10M,,,,4.20M,,88.00M,29.00M,59.00M,,,59.00M,56.18M,139.00M,44.90M,94.10M,0.16,0.14,,0.1455,0.3,0.16,0.14,,0.1455,0.3,194.28M,194.28M,0.14
2003-09,1.157B,1.157B,962.00M,194.70M,103.70M,,-1.50M,,,,,103.70M,91.00M,,,,-1.50M,,78.10M,27.30M,50.80M,,,50.80M,51.78M,130.80M,39.80M,91.00M,0.26,0.0,,0.265,0.26,0.26,0.0,,0.265,0.26,196.00M,196.50M,0.14
2003-06,1.053B,1.053B,868.90M,183.80M,99.60M,,-1.80M,,,,,99.60M,84.20M,,,,-1.80M,,72.40M,25.70M,46.70M,,,46.70M,47.86M,126.20M,42.00M,84.20M,0.24,0.0,,0.2459,0.24,0.24,0.0,,0.2459,0.24,196.60M,197.00M,0.13
2003-03,1.038B,1.038B,856.30M,181.30M,97.20M,,1.00M,,,,,97.20M,84.10M,,,,1.00M,,76.60M,27.20M,49.40M,,,49.40M,48.76M,124.40M,40.30M,84.10M,0.25,0.0,,0.2467,0.25,0.25,0.0,,0.2467,0.25,197.60M,197.80M,0.13
