,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2013-09,127.86M,,-11.59M,,-11.59M,29.54M,29.54M,-2.761M,5.018M,-2.398M,,,,20.45M,,166.13M,,-15.53M,12.80M,-2.735M,-163.98M,,0.405M,-166.31M,,0.043M,39.27M,39.31M,,0.00,0.00,-14.60M,-14.60M,9.241M,5.446M,39.39M,,207.61M,39.22M,8.047M,254.88M,,,0.043M,0.00,0.00,,AOR,Restated
2013-06,128.32M,,,,,28.56M,28.56M,-0.211M,4.738M,-0.616M,,,,-32.63M,,128.16M,,-10.69M,,-10.69M,0.00,,0.51M,-10.18M,,0.829M,-82.01M,-81.18M,,-0.802M,-0.802M,-14.59M,-14.59M,6.185M,2.554M,-87.83M,,177.34M,30.15M,0.133M,207.61M,,,0.829M,0.00,-0.802M,,AOR,Restated
2013-03,125.15M,,,,,28.84M,28.84M,1.316M,6.77M,-3.699M,,,,-1.553M,,156.82M,,-10.92M,,-10.92M,0.00,,3.922M,-6.999M,,-0.486M,-112.47M,-112.95M,,-7.65M,-7.65M,-14.57M,-14.57M,4.063M,4.861M,-126.25M,,157.98M,23.57M,-4.221M,177.34M,,,,-0.486M,-7.65M,,AOR,Restated
2012-12,119.90M,,0.00,,0.00,27.63M,27.63M,4.966M,4.809M,3.188M,,,,32.80M,,193.29M,,-24.17M,0.00,-24.17M,-249.89M,,0.722M,-273.34M,,-0.561M,77.61M,77.05M,,-0.743M,-0.743M,-14.53M,-14.53M,8.668M,2.651M,73.10M,,162.85M,-6.953M,2.086M,157.98M,,,0.00,-0.561M,-0.743M,,AOR,Restated
2012-09,115.40M,,0.00,,0.00,27.11M,27.11M,-2.632M,4.362M,-0.918M,,,,19.22M,,162.54M,,-12.74M,0.00,-12.74M,0.00,,0.001M,-12.74M,,-0.76M,-146.73M,-147.49M,,0.00,0.00,-14.50M,-14.50M,5.868M,2.298M,-153.83M,,163.60M,-4.026M,3.282M,162.85M,,,0.00,-0.76M,0.00,,AOR,Restated
2012-06,113.69M,,,,,25.75M,25.75M,3.518M,6.155M,3.449M,,,,-36.81M,,115.75M,,-12.12M,,-12.12M,-318.43M,,-3.643M,-334.19M,,-0.048M,161.96M,161.92M,,-3.899M,-3.899M,-14.47M,-14.47M,17.64M,6.885M,168.08M,,219.30M,-50.36M,-5.345M,163.60M,,,0.00,-0.048M,-3.899M,,AOR,Restated
2012-03,110.15M,,,,,24.99M,24.99M,-2.30M,4.058M,-5.355M,,,,9.343M,,140.88M,,-8.398M,,-8.398M,-179.36M,,4.291M,-183.46M,,-0.17M,86.58M,86.42M,,0.00,0.00,-9.588M,-9.588M,7.23M,3.136M,87.19M,,170.39M,44.62M,4.297M,219.30M,,,,-0.17M,0.00,,AOR,Restated
2011-12,101.91M,,,1.874M,1.874M,24.00M,24.00M,12.29M,3.791M,-19.32M,,,,9.823M,,152.73M,,-18.41M,,-18.41M,-291.94M,,0.954M,-309.39M,,58.30M,98.07M,156.37M,,-42.95M,-42.95M,,-9.566M,,-11.21M,110.07M,,218.27M,-46.59M,-1.292M,170.39M,,,,-0.682M,-42.95M,,AOR,Restated
2011-09,97.98M,,,-0.634M,-0.634M,21.27M,21.27M,-5.129M,4.081M,4.081M,,,,19.48M,,137.04M,,-11.85M,,-11.85M,0.00,,0.809M,-11.04M,,-0.154M,-87.08M,-87.23M,,-5.04M,-5.04M,,-9.635M,,8.039M,-93.87M,,196.59M,32.13M,-10.45M,218.27M,,,,-0.154M,-5.04M,,AOR,Restated
2011-06,94.14M,,,-0.63M,-0.63M,21.41M,21.41M,2.126M,9.943M,9.943M,,,,-11.83M,,115.16M,,-10.19M,,-10.19M,-183.00M,,0.701M,-192.49M,,0.00,125.06M,125.06M,,-11.34M,-11.34M,,-9.606M,,12.94M,117.05M,,155.01M,39.72M,1.862M,196.59M,,,,0.00,-11.34M,,AOR,Restated
