,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.044B,3.044B,1.706B,1.338B,,307.00M,24.00M,,44.00M,,-44.00M,,642.00M,696.00M,,44.00M,-44.00M,-9.00M,-44.00M,643.00M,158.00M,499.00M,0.00,,-19.00M,480.00M,480.00M,998.00M,311.00M,687.00M,,1.67,0.00,,1.67,1.67,,1.65,0.00,,1.65,1.65,,287.80M,290.91M,0.825,,AOR,Restated
2018-03,2.983B,2.983B,1.661B,1.322B,,310.00M,24.00M,-19.00M,46.00M,,-46.00M,,645.00M,677.00M,,46.00M,-46.00M,-26.00M,-46.00M,605.00M,148.00M,472.00M,0.00,,-10.00M,462.00M,476.34M,962.00M,311.00M,651.00M,,1.61,0.00,,1.660,1.61,,1.59,0.00,,1.639,1.59,,287.50M,290.81M,0.825,,AOR,Restated
2017-12,2.874B,2.874B,1.582B,1.292B,,312.00M,24.00M,33.00M,82.00M,,-41.00M,,643.00M,649.00M,,82.00M,-41.00M,-13.00M,-41.00M,595.00M,558.00M,49.00M,,,-16.00M,33.00M,6.27M,984.00M,307.00M,677.00M,,0.11,,,0.0169,0.11,,0.11,,,0.0181,0.11,,286.98M,290.88M,0.7875,,AOR,Restated
2017-09,2.922B,2.922B,1.652B,1.27B,,300.00M,23.00M,-14.00M,41.00M,,-41.00M,,621.00M,649.00M,,41.00M,-41.00M,-23.00M,-41.00M,585.00M,162.00M,435.00M,,,-16.00M,419.00M,429.12M,924.00M,298.00M,626.00M,,1.46,,,1.495,1.46,,1.45,,,1.485,1.45,,286.47M,289.22M,0.7875,,AOR,Restated
2017-06,2.834B,2.834B,1.599B,1.235B,,305.00M,23.00M,-15.00M,38.00M,,-38.00M,,620.00M,615.00M,,38.00M,-38.00M,-11.00M,-38.00M,566.00M,157.00M,420.00M,,,-14.00M,406.00M,416.84M,896.00M,292.00M,604.00M,,1.42,,,1.458,1.42,,1.41,,,1.448,1.41,,286.09M,288.54M,0.7875,,AOR,Restated
2017-03,2.728B,2.728B,1.549B,1.179B,,290.00M,23.00M,-6.00M,41.00M,,-41.00M,,600.00M,579.00M,,41.00M,-41.00M,3.00M,-41.00M,541.00M,149.00M,404.00M,,,-15.00M,389.00M,393.35M,869.00M,287.00M,582.00M,,1.36,,,1.375,1.36,,1.35,,,1.365,1.35,,285.51M,287.38M,0.7875,,AOR,Restated
2016-12,2.644B,2.644B,1.473B,1.171B,,272.00M,23.00M,13.00M,38.00M,,-38.00M,,580.00M,591.00M,,38.00M,-38.00M,8.00M,-38.00M,561.00M,152.00M,419.00M,,,-13.00M,406.00M,396.52M,884.00M,285.00M,599.00M,,1.42,,,1.387,1.42,,1.41,,,1.377,1.41,,285.72M,287.85M,0.75,,AOR,Restated
2016-09,2.716B,2.716B,1.533B,1.183B,,291.00M,22.00M,-100.00M,43.00M,,-43.00M,,597.00M,586.00M,,43.00M,-43.00M,-89.00M,-43.00M,454.00M,120.00M,344.00M,,,-5.00M,339.00M,412.10M,781.00M,284.00M,497.00M,,1.19,,,1.446,1.19,,1.18,,,1.434,1.18,,285.86M,288.20M,0.75,,AOR,Restated
2016-06,2.665B,2.665B,1.468B,1.197B,,308.00M,24.00M,0.00,44.00M,,-44.00M,,613.00M,584.00M,,44.00M,-44.00M,4.00M,-44.00M,544.00M,146.00M,409.00M,,,-10.00M,399.00M,399.00M,869.00M,281.00M,588.00M,,1.40,,,1.40,1.40,,1.39,,,1.39,1.39,,285.70M,287.73M,0.75,,AOR,Restated
2016-03,2.509B,2.509B,1.381B,1.128B,,274.00M,23.00M,0.00,65.00M,,-65.00M,,569.00M,559.00M,,65.00M,-65.00M,-5.00M,-65.00M,489.00M,133.00M,366.00M,,,-10.00M,356.00M,356.00M,826.00M,272.00M,554.00M,,1.25,,,1.25,1.25,,1.24,,,1.24,1.24,,285.43M,286.66M,0.75,,AOR,Restated
2015-12,2.595B,2.595B,1.426B,1.169B,,275.00M,23.00M,,42.00M,,-42.00M,,573.00M,596.00M,,42.00M,-42.00M,28.00M,-42.00M,582.00M,163.00M,431.00M,,,-9.00M,422.00M,422.00M,899.00M,275.00M,624.00M,,1.48,,,1.48,1.48,,1.47,,,1.47,1.47,,285.29M,286.72M,0.715,,AOR,Restated
2015-09,2.686B,2.686B,1.488B,1.198B,,281.00M,23.00M,,35.00M,,-35.00M,,580.00M,618.00M,,35.00M,-35.00M,-24.00M,-35.00M,559.00M,156.00M,413.00M,,,-12.00M,401.00M,401.00M,870.00M,276.00M,594.00M,,1.40,,,1.40,1.40,,1.40,,,1.40,1.40,,285.65M,287.31M,0.715,,AOR,Restated
2015-06,2.738B,2.738B,1.516B,1.222B,,297.00M,23.00M,,40.00M,,-40.00M,,598.00M,624.00M,,40.00M,-40.00M,-144.00M,-40.00M,440.00M,131.00M,319.00M,,,-11.00M,308.00M,308.00M,758.00M,278.00M,480.00M,,1.07,,,1.07,1.07,,1.06,,,1.06,1.06,,287.94M,290.10M,0.715,,AOR,Restated
2015-03,2.757B,2.757B,1.53B,1.227B,,299.00M,24.00M,,44.00M,,-44.00M,,600.00M,627.00M,,44.00M,-44.00M,-4.00M,-44.00M,579.00M,162.00M,428.00M,,,-12.00M,416.00M,416.00M,900.00M,277.00M,623.00M,,1.44,,,1.44,1.44,,1.43,,,1.43,1.43,,289.14M,291.65M,0.715,,AOR,Restated
2014-12,2.99B,2.99B,1.689B,1.301B,,320.00M,24.00M,,79.00M,,-79.00M,,635.00M,666.00M,,79.00M,-79.00M,-141.00M,-79.00M,446.00M,145.00M,313.00M,,,-11.00M,302.00M,302.00M,816.00M,291.00M,525.00M,,1.04,,,1.04,1.04,,1.03,,,1.03,1.03,,290.67M,293.71M,0.65,,AOR,Restated
2014-09,3.144B,3.144B,1.78B,1.364B,,327.00M,25.00M,,45.00M,,-45.00M,,653.00M,711.00M,,45.00M,-45.00M,,-45.00M,666.00M,187.00M,490.00M,,,-13.00M,477.00M,477.00M,1.012B,301.00M,711.00M,,1.63,,,1.63,1.63,,1.62,,,1.62,1.62,,292.17M,295.24M,0.65,,AOR,Restated
2014-06,3.113B,3.113B,1.767B,1.346B,,335.00M,24.00M,,43.00M,,-43.00M,,652.00M,694.00M,,43.00M,-43.00M,3.00M,-43.00M,654.00M,183.00M,481.00M,,,-14.00M,467.00M,467.00M,990.00M,293.00M,697.00M,,1.59,,,1.59,1.59,,1.58,,,1.58,1.58,,292.94M,295.98M,0.65,,AOR,Restated
2014-03,3.026B,3.026B,1.726B,1.30B,,326.00M,23.00M,,46.00M,,-46.00M,,634.00M,666.00M,,46.00M,-46.00M,9.00M,-46.00M,629.00M,176.00M,462.00M,,,-14.00M,448.00M,448.00M,960.00M,285.00M,675.00M,,1.52,,,1.52,1.52,,1.51,,,1.51,1.51,,294.20M,297.25M,0.65,,AOR,Restated
2013-12,3.01B,3.01B,1.699B,1.311B,,332.00M,26.00M,,60.00M,,-56.00M,,645.00M,666.00M,,60.00M,-56.00M,35.00M,-56.00M,634.00M,136.00M,507.00M,,,-33.00M,474.00M,446.51M,981.00M,287.00M,694.00M,,1.61,,,1.517,1.61,,1.59,,,1.498,1.59,,294.70M,298.63M,0.60,,AOR,Restated
2013-09,3.013B,3.013B,1.697B,1.316B,,336.00M,24.00M,,41.00M,,-41.00M,,641.00M,675.00M,,41.00M,-41.00M,-5.00M,-41.00M,629.00M,175.00M,462.00M,,,-17.00M,445.00M,451.50M,951.00M,281.00M,670.00M,,1.51,,,1.532,1.51,,1.49,,,1.512,1.49,,295.12M,298.36M,0.60,,AOR,Restated
2013-06,3.014B,3.014B,1.71B,1.304B,,344.00M,24.00M,,41.00M,,-41.00M,,643.00M,661.00M,,41.00M,-41.00M,4.00M,-41.00M,624.00M,174.00M,461.00M,,,-16.00M,445.00M,445.00M,940.00M,275.00M,665.00M,,1.50,,,1.50,1.50,,1.49,,,1.49,1.49,,295.67M,298.65M,0.60,,AOR,Restated
2013-03,2.888B,2.888B,1.638B,1.25B,,337.00M,24.00M,,40.00M,,-40.00M,,627.00M,623.00M,,40.00M,-40.00M,-23.00M,-40.00M,560.00M,164.00M,406.00M,,,-15.00M,391.00M,407.26M,866.00M,266.00M,600.00M,,1.32,,,1.375,1.32,,1.30,,,1.354,1.30,,296.60M,299.70M,0.60,,AOR,Restated
2012-12,2.799B,2.799B,1.583B,1.216B,,319.00M,25.00M,,50.00M,,-35.00M,,598.00M,618.00M,,50.00M,-35.00M,-2.00M,-35.00M,581.00M,162.00M,428.00M,,,-14.00M,414.00M,420.49M,885.00M,254.00M,631.00M,,1.40,,,1.422,1.40,,1.38,,,1.402,1.38,,296.88M,300.32M,0.55,,AOR,Restated
2012-09,2.774B,2.774B,1.595B,1.179B,,306.00M,24.00M,,36.00M,,-36.00M,,578.00M,601.00M,,36.00M,-36.00M,-43.00M,-36.00M,522.00M,90.00M,440.00M,,,-10.00M,430.00M,483.82M,806.00M,248.00M,558.00M,,1.44,,,1.620,1.44,,1.43,,,1.608,1.43,,298.42M,301.73M,0.55,,AOR,Restated
2012-06,2.811B,2.811B,1.602B,1.209B,,310.00M,25.00M,,33.00M,,-33.00M,,582.00M,627.00M,,33.00M,-33.00M,9.00M,-33.00M,603.00M,169.00M,444.00M,,,-15.00M,429.00M,429.00M,883.00M,247.00M,636.00M,,1.43,,,1.43,1.43,,1.42,,,1.42,1.42,,298.88M,302.49M,0.55,,AOR,Restated
2012-03,2.84B,2.84B,1.616B,1.224B,,335.00M,24.00M,,37.00M,,-37.00M,,611.00M,613.00M,,37.00M,-37.00M,14.00M,-37.00M,590.00M,165.00M,432.00M,,,-13.00M,419.00M,419.00M,879.00M,252.00M,627.00M,,1.40,,,1.40,1.40,,1.38,,,1.38,1.38,,299.08M,302.88M,0.55,,AOR,Restated
2011-12,2.796B,2.796B,1.598B,1.198B,,315.00M,23.00M,,53.00M,,-38.00M,,588.00M,610.00M,,53.00M,-38.00M,,-38.00M,580.00M,156.00M,431.00M,,,-11.00M,420.00M,420.00M,882.00M,249.00M,633.00M,,1.40,,,1.40,1.40,,1.38,,,1.38,1.38,,299.57M,304.14M,0.50,,AOR,Restated
2011-09,2.896B,2.896B,1.684B,1.212B,,307.00M,22.00M,,36.00M,,-36.00M,5.00M,590.00M,622.00M,,36.00M,-36.00M,,-36.00M,596.00M,166.00M,443.00M,,,-14.00M,429.00M,429.00M,888.00M,256.00M,632.00M,,1.42,0.00,,1.42,1.42,,1.40,0.00,,1.40,1.40,,301.59M,305.62M,0.50,,AOR,Restated
2011-06,2.858B,2.858B,1.64B,1.218B,,309.00M,23.00M,,36.00M,,-36.00M,-5.00M,581.00M,637.00M,,36.00M,-36.00M,,-36.00M,591.00M,163.00M,439.00M,,,-14.00M,425.00M,425.00M,881.00M,254.00M,627.00M,,1.40,0.00,,1.40,1.40,,1.38,0.00,,1.38,1.38,,303.71M,308.25M,0.50,,AOR,Restated
2011-03,2.702B,2.702B,1.536B,1.166B,,308.00M,22.00M,,35.00M,,-35.00M,-1.00M,573.00M,593.00M,,35.00M,-35.00M,,-35.00M,565.00M,156.00M,409.00M,,,-11.00M,398.00M,398.00M,844.00M,244.00M,600.00M,,1.31,0.00,,1.31,1.31,,1.29,0.00,,1.29,1.29,,304.07M,308.60M,0.50,,AOR,Restated
2010-12,2.623B,2.623B,1.492B,1.131B,,301.00M,23.00M,15.00M,35.00M,,-28.00M,-28.00M,536.00M,595.00M,,35.00M,-28.00M,-72.00M,-28.00M,477.00M,346.00M,142.00M,,,-9.00M,133.00M,122.20M,752.00M,240.00M,512.00M,,0.44,,,0.4047,0.44,,0.43,,,0.3953,0.43,,306.14M,311.31M,0.45,,AOR,Restated
2010-09,2.538B,2.538B,1.444B,1.094B,,299.00M,19.00M,0.00,29.00M,,-29.00M,2.00M,547.00M,547.00M,,29.00M,-29.00M,,-29.00M,522.00M,146.00M,388.00M,,,-11.00M,377.00M,377.00M,778.00M,227.00M,551.00M,,1.22,0.00,,1.22,1.22,,1.21,0.00,,1.21,1.21,,307.13M,311.61M,0.45,,AOR,
2010-06,2.527B,2.527B,1.437B,1.09B,,302.00M,19.00M,8.00M,29.00M,,-29.00M,,551.00M,539.00M,,29.00M,-29.00M,8.00M,-29.00M,518.00M,145.00M,381.00M,,,-10.00M,371.00M,365.24M,777.00M,230.00M,547.00M,,1.21,0.00,,1.191,1.21,,1.19,0.00,,1.171,1.19,,306.83M,311.11M,0.45,,AOR,Restated
2010-03,2.428B,2.428B,1.381B,1.047B,,294.00M,18.00M,-27.00M,32.00M,,-32.00M,-1.00M,539.00M,508.00M,,32.00M,-32.00M,-27.00M,-32.00M,447.00M,131.00M,323.00M,,,-9.00M,314.00M,333.09M,707.00M,228.00M,479.00M,,1.02,0.00,,1.082,1.02,,1.01,0.00,,1.071,1.01,,306.79M,311.16M,0.45,,AOR,Restated
2009-12,2.407B,2.407B,1.37B,1.037B,,274.00M,18.00M,,33.00M,,-33.00M,-246.00M,269.00M,768.00M,,33.00M,-33.00M,,-33.00M,479.00M,133.00M,352.00M,,,-12.00M,340.00M,340.00M,735.00M,223.00M,512.00M,,1.11,0.00,,1.11,1.11,,1.08,0.00,,1.08,1.08,,307.57M,312.97M,0.40,,AOR,Restated
2009-09,2.288B,2.288B,1.277B,1.011B,,284.00M,20.00M,,32.00M,,-32.00M,296.00M,817.00M,194.00M,,32.00M,-32.00M,,-32.00M,142.00M,-187.00M,336.00M,,,-11.00M,325.00M,325.00M,391.00M,217.00M,174.00M,,1.06,0.00,,1.06,1.06,,1.04,0.00,,1.04,1.04,,307.36M,312.18M,0.40,,AOR,Restated
2009-06,2.138B,2.138B,1.19B,948.00M,,265.00M,18.00M,,33.00M,,-33.00M,11.00M,501.00M,447.00M,,33.00M,-33.00M,,-33.00M,414.00M,109.00M,311.00M,,,-12.00M,299.00M,299.00M,654.00M,207.00M,447.00M,,0.97,0.00,,0.97,0.97,,0.96,0.00,,0.96,0.96,,307.96M,312.43M,0.40,,AOR,Restated
2009-03,2.123B,2.123B,1.195B,928.00M,,265.00M,18.00M,,35.00M,,-35.00M,-4.00M,478.00M,450.00M,,35.00M,-35.00M,,-35.00M,407.00M,114.00M,298.00M,,,-8.00M,290.00M,290.00M,641.00M,199.00M,442.00M,,0.94,0.00,,0.94,0.94,,0.93,0.00,,0.93,0.93,,307.82M,311.31M,0.40,,AOR,Restated
2008-12,2.403B,2.403B,1.418B,985.00M,,295.00M,25.00M,-142.00M,,,,139.00M,665.00M,320.00M,,,,-106.00M,,265.00M,67.00M,161.00M,,,-6.00M,200.00M,306.10M,537.00M,206.00M,331.00M,,0.65,0.00,,0.9949,0.65,,0.65,0.00,,0.9911,0.65,,307.64M,311.05M,0.375,,,
2008-09,2.852B,2.852B,1.734B,1.118B,,341.00M,24.00M,0.00,50.00M,,-50.00M,9.00M,592.00M,526.00M,,50.00M,-50.00M,,-50.00M,494.00M,139.00M,366.00M,,,-11.00M,355.00M,355.00M,762.00M,218.00M,544.00M,,1.13,0.00,,1.13,1.13,,1.11,0.00,,1.11,1.11,,313.75M,319.50M,0.375,,,Restated
2008-06,2.878B,2.878B,1.748B,1.13B,,341.00M,24.00M,,52.00M,,-52.00M,-6.00M,575.00M,555.00M,,52.00M,-52.00M,,-52.00M,491.00M,137.00M,362.00M,,,-13.00M,349.00M,349.00M,759.00M,216.00M,543.00M,,1.11,0.00,,1.11,1.11,,1.08,0.00,,1.08,1.08,,315.31M,322.09M,0.375,,,Restated
2008-03,2.663B,2.663B,1.595B,1.068B,352.00M,352.00M,24.00M,,47.00M,,-47.00M,,586.00M,482.00M,,47.00M,-47.00M,,-47.00M,435.00M,122.00M,322.00M,,,-15.00M,307.00M,307.00M,692.00M,210.00M,482.00M,,0.98,0.00,,0.98,0.98,,0.96,0.00,,0.96,0.96,,313.94M,320.41M,0.375,,,Restated
2007-12,2.523B,2.523B,1.493B,1.03B,,314.00M,26.00M,1.00M,,,,-1.00M,546.00M,484.00M,,,,14.00M,,434.00M,115.00M,316.00M,,,-16.00M,316.00M,315.26M,691.00M,207.00M,484.00M,,1.00,0.00,,0.9977,1.00,,0.98,0.00,,0.9777,0.98,,316.50M,321.94M,0.30,,,
2007-09,2.372B,2.372B,1.394B,978.00M,,294.00M,24.00M,,,,,4.00M,518.00M,460.00M,,,,4.00M,,416.00M,106.00M,305.00M,,,-9.00M,305.00M,305.00M,656.00M,196.00M,460.00M,,0.96,0.00,,0.96,0.96,,0.94,0.00,,0.94,0.94,,318.51M,324.92M,0.30,,,
2007-06,2.332B,2.332B,1.388B,944.00M,,296.00M,24.00M,4.00M,,,,-4.00M,505.00M,439.00M,,,,9.00M,,398.00M,103.00M,291.00M,,,-9.00M,291.00M,288.04M,628.00M,189.00M,439.00M,,0.91,0.00,,0.9007,0.91,,0.89,0.00,,0.8809,0.89,,320.21M,326.30M,0.30,,,
2007-03,2.175B,2.175B,1.282B,893.00M,,286.00M,24.00M,2.00M,,,,-2.00M,490.00M,403.00M,,,,6.00M,,365.00M,95.00M,265.00M,,,-9.00M,265.00M,263.52M,585.00M,182.00M,403.00M,,0.83,0.00,,0.8254,0.83,,0.81,0.00,,0.8055,0.81,,320.76M,326.79M,0.30,,,
2006-12,2.123B,2.123B,1.264B,859.00M,,270.00M,23.00M,5.00M,,,,-5.00M,466.00M,393.00M,,,,9.00M,,355.00M,81.00M,269.00M,,,-9.00M,269.00M,265.14M,571.00M,178.00M,393.00M,,0.83,0.00,,0.8181,0.83,,0.82,0.00,,0.8083,0.82,,323.08M,328.64M,0.25,,,
2006-09,2.099B,2.099B,1.259B,840.00M,,272.00M,21.00M,18.00M,,,,-18.00M,448.00M,392.00M,,,,19.00M,,354.00M,101.00M,247.00M,,,-7.00M,247.00M,234.14M,565.00M,173.00M,392.00M,,0.76,0.00,,0.7202,0.76,,0.75,0.00,,0.7110,0.75,,323.58M,329.50M,0.25,,,
2006-06,2.076B,2.076B,1.238B,838.00M,,271.00M,22.00M,11.00M,,,,-11.00M,456.00M,382.00M,,,,14.00M,,341.00M,90.00M,247.00M,,,-7.00M,247.00M,238.90M,556.00M,174.00M,382.00M,,0.76,0.00,,0.7350,0.76,,0.75,0.00,,0.7255,0.75,,323.52M,329.88M,0.25,,,
2006-03,2.026B,2.026B,1.207B,819.00M,,273.00M,21.00M,,,,,2.00M,467.00M,352.00M,,,,2.00M,,314.00M,83.00M,225.00M,,,-8.00M,225.00M,225.00M,523.00M,171.00M,352.00M,,0.69,0.00,,0.69,0.69,,0.68,0.00,,0.68,0.68,,323.80M,330.04M,0.25,,,
2005-12,2.02B,2.02B,1.221B,799.00M,,252.00M,22.00M,-5.00M,,,,5.00M,454.00M,345.00M,,,,-1.00M,,305.00M,80.00M,220.00M,,,-9.00M,214.00M,223.69M,520.00M,175.00M,345.00M,,0.68,-0.02,,0.6914,0.66,,0.67,-0.02,,0.6812,0.65,,323.21M,329.18M,0.18,,,
2005-09,1.89B,1.89B,1.144B,746.00M,,243.00M,19.00M,,,,,2.00M,429.00M,317.00M,,,,2.00M,,277.00M,163.00M,108.00M,,,-8.00M,108.00M,108.00M,482.00M,165.00M,317.00M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,324.14M,329.99M,0.18,,,
2005-06,1.919B,1.919B,1.167B,752.00M,,247.00M,19.00M,-1.00M,,,,1.00M,430.00M,322.00M,,,,4.00M,,281.00M,64.00M,209.00M,,,-13.00M,209.00M,209.77M,485.00M,163.00M,322.00M,,0.65,0.00,,0.6524,0.65,,0.63,0.00,,0.6323,0.63,,323.90M,329.82M,0.18,,,
2005-03,1.827B,1.827B,1.109B,718.00M,,245.00M,20.00M,18.00M,,,,-18.00M,409.00M,309.00M,,,,22.00M,,267.00M,69.00M,195.00M,,,-7.00M,195.00M,181.65M,471.00M,162.00M,309.00M,,0.60,0.00,,0.5588,0.60,,0.59,0.00,,0.5495,0.59,,323.82M,329.67M,0.18,,,
2004-12,1.786B,1.786B,1.094B,692.00M,,240.00M,20.00M,11.00M,,,,-11.00M,403.00M,289.00M,,,,12.00M,,249.00M,60.00M,181.00M,,,-9.00M,181.00M,172.65M,443.00M,154.00M,289.00M,,0.56,0.00,,0.5343,0.56,,0.54,0.00,,0.5148,0.54,,324.94M,331.13M,0.15,,,
2004-09,1.674B,1.674B,1.019B,655.00M,,218.00M,19.00M,7.00M,,,,-7.00M,375.00M,280.00M,,,,10.00M,,241.00M,61.00M,177.00M,,,-6.00M,177.00M,171.77M,425.00M,145.00M,280.00M,,0.54,0.00,,0.5240,0.54,,0.53,0.00,,0.5142,0.53,,326.45M,331.92M,0.15,,,
2004-06,1.603B,1.603B,966.00M,637.00M,,207.00M,19.00M,3.00M,,,,-3.00M,363.00M,274.00M,,,,7.00M,,235.00M,55.00M,175.00M,,,-9.00M,175.00M,172.70M,414.00M,140.00M,274.00M,,0.54,0.00,,0.5329,0.54,,0.53,0.00,,0.5231,0.53,,325.79M,330.90M,0.15,,,
2004-03,1.531B,1.531B,908.00M,623.00M,,204.00M,19.00M,-1.00M,,,,1.00M,363.00M,260.00M,,,,2.00M,,223.00M,56.00M,164.00M,,,-6.00M,164.00M,164.75M,399.00M,139.00M,260.00M,,0.50,0.00,,0.5023,0.50,,0.49,0.00,,0.4923,0.49,,326.39M,331.57M,0.15,,,
2003-12,1.461B,1.461B,859.00M,602.00M,,198.00M,21.00M,-4.00M,,,,4.00M,358.00M,244.00M,,,,-1.00M,,216.00M,49.00M,155.00M,,,-7.00M,155.00M,158.09M,379.00M,135.00M,244.00M,,0.47,0.00,,0.4795,0.47,,0.47,0.00,,0.4793,0.47,,326.67M,332.61M,0.135,,,
