,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,607.00M,607.00M,1.809B,,1.809B,214.00M,55.00M,318.00M,587.00M,240.00M,,,3.243B,,,,,,,25.63B,-13.64B,11.99B,3.234B,563.00M,3.797B,,,,,1.343B,17.13B,20.38B,,947.00M,,947.00M,,947.00M,,,38.00M,956.00M,994.00M,,994.00M,,,981.00M,2.922B,,8.243B,,8.243B,,,,,475.00M,11.00M,2.468B,10.72B,13.64B,,4.00M,13.42B,4.091B,7.231B,,,,-4.025B,6.256B,,AOR,Restated
2017-06,535.00M,535.00M,1.791B,,1.791B,195.00M,54.00M,319.00M,568.00M,225.00M,,,3.119B,,,,,,,25.01B,-13.20B,11.81B,3.182B,568.00M,3.75B,,,,,1.29B,16.85B,19.96B,,900.00M,,900.00M,,900.00M,,,222.00M,968.00M,1.19B,,1.19B,,,953.00M,3.043B,,8.177B,,8.177B,,,,,453.00M,10.00M,2.475B,10.66B,13.70B,,4.00M,13.22B,4.076B,7.252B,,,,-4.244B,5.807B,,AOR,Restated
2017-03,519.00M,519.00M,1.73B,,1.73B,196.00M,47.00M,318.00M,561.00M,204.00M,,,3.014B,,,,,,,24.53B,-12.84B,11.69B,3.141B,574.00M,3.715B,,,,,1.244B,16.65B,19.66B,,860.00M,,860.00M,,860.00M,,,360.00M,61.00M,421.00M,,421.00M,,,968.00M,2.249B,,8.947B,,8.947B,,,,,436.00M,10.00M,2.494B,11.45B,13.70B,,4.00M,13.04B,4.071B,7.302B,,,,-4.285B,5.529B,,AOR,Restated
2016-12,524.00M,524.00M,1.64B,122.00M,1.641B,197.00M,45.00M,308.00M,550.00M,108.00M,,57.00M,2.88B,0.00,559.00M,1.096B,20.71B,,1.558B,23.92B,-12.44B,11.48B,3.117B,583.00M,3.70B,731.00M,46.00M,,236.00M,193.00M,16.45B,19.33B,,906.00M,133.00M,1.039B,563.00M,1.602B,8.00M,,333.00M,265.00M,598.00M,,598.00M,,,223.00M,2.478B,25.00M,8.917B,,8.917B,,1.272B,863.00M,,420.00M,11.00M,325.00M,11.41B,13.89B,,4.00M,12.88B,4.074B,7.336B,,,,-4.60B,5.021B,,AOR,Restated
2016-09,627.00M,627.00M,1.699B,,1.699B,188.00M,47.00M,303.00M,538.00M,398.00M,,,3.262B,,,,,,,24.20B,-12.56B,11.64B,3.163B,595.00M,3.758B,,,,,1.231B,16.62B,19.89B,,867.00M,,867.00M,,867.00M,,,486.00M,131.00M,617.00M,,617.00M,,,950.00M,2.434B,,9.225B,,9.225B,,,,,393.00M,11.00M,2.578B,11.81B,14.25B,,4.00M,12.69B,4.027B,7.261B,,,,-4.211B,5.245B,,AOR,Restated
2016-06,567.00M,567.00M,1.741B,,1.741B,211.00M,46.00M,302.00M,559.00M,396.00M,,,3.263B,,,,,,,24.01B,-12.43B,11.58B,3.149B,612.00M,3.761B,,,,,1.209B,16.55B,19.81B,,870.00M,,870.00M,,870.00M,,,566.00M,200.00M,766.00M,,766.00M,,,822.00M,2.458B,,9.19B,,9.19B,,,,,407.00M,12.00M,2.604B,11.81B,14.26B,,4.00M,12.56B,4.005B,7.254B,,,,-4.174B,5.14B,,AOR,Restated
2016-03,221.00M,221.00M,1.685B,,1.685B,204.00M,49.00M,300.00M,553.00M,411.00M,,,2.87B,,,,,,,23.50B,-12.19B,11.31B,3.071B,576.00M,3.647B,,,,,1.194B,16.16B,19.02B,,796.00M,,796.00M,,796.00M,,,6.00M,176.00M,182.00M,,182.00M,,,821.00M,1.799B,,9.222B,,9.222B,,,,,417.00M,119.00M,2.58B,11.92B,13.72B,,4.00M,12.37B,3.998B,7.235B,,,,-4.25B,4.888B,,AOR,Restated
2015-12,147.00M,147.00M,1.601B,101.00M,1.601B,202.00M,48.00M,281.00M,531.00M,110.00M,184.00M,53.00M,2.626B,0.00,517.00M,1.085B,19.55B,,1.539B,22.69B,-11.70B,11.00B,2.986B,568.00M,3.554B,677.00M,33.00M,,168.00M,174.00M,15.69B,18.32B,,791.00M,144.00M,935.00M,476.00M,1.411B,8.00M,,87.00M,169.00M,256.00M,,256.00M,,,167.00M,1.893B,24.00M,8.975B,,8.975B,,1.39B,760.00M,,404.00M,113.00M,371.00M,11.63B,13.53B,,4.00M,12.23B,4.005B,7.253B,,,,-4.596B,4.389B,,AOR,Restated
2015-09,136.00M,136.00M,1.69B,,1.69B,183.00M,49.00M,294.00M,526.00M,374.00M,,,2.726B,,,,,,,22.64B,-11.67B,10.97B,2.997B,567.00M,3.564B,,,,,1.196B,15.73B,18.46B,,750.00M,,750.00M,,750.00M,,,337.00M,123.00M,460.00M,,460.00M,,,912.00M,2.122B,,9.057B,,9.057B,,,,,380.00M,169.00M,2.464B,11.69B,13.81B,,4.00M,11.97B,3.998B,7.248B,,,,-4.456B,4.264B,,AOR,Restated
2015-06,136.00M,136.00M,1.76B,,1.76B,198.00M,54.00M,296.00M,548.00M,376.00M,,,2.82B,,,,,,,23.24B,-11.88B,11.36B,3.065B,582.00M,3.647B,,,,,1.237B,16.25B,19.07B,,782.00M,,782.00M,,782.00M,,,444.00M,90.00M,534.00M,,534.00M,,,930.00M,2.246B,,8.813B,,8.813B,,,,,380.00M,175.00M,2.489B,11.48B,13.72B,,4.00M,11.77B,3.989B,7.055B,,,,-3.742B,4.964B,,AOR,Restated
2015-03,117.00M,117.00M,1.751B,,1.751B,194.00M,48.00M,293.00M,535.00M,323.00M,,,2.726B,,,,,,,23.14B,-11.55B,11.59B,3.01B,588.00M,3.598B,,,,,1.206B,16.40B,19.12B,,813.00M,,813.00M,,813.00M,,,536.00M,89.00M,625.00M,,625.00M,,,897.00M,2.335B,,8.771B,,8.771B,,,,,375.00M,170.00M,2.454B,11.40B,13.73B,,4.00M,11.67B,3.98B,6.819B,,,,-3.815B,5.018B,,AOR,Restated
2014-12,126.00M,126.00M,1.746B,152.00M,1.796B,200.00M,52.00M,299.00M,551.00M,116.00M,189.00M,61.00M,2.839B,0.00,499.00M,1.089B,20.29B,,1.98B,23.85B,-11.86B,12.00B,3.121B,603.00M,3.724B,701.00M,43.00M,,179.00M,187.00M,16.93B,19.77B,,864.00M,119.00M,983.00M,549.00M,1.532B,9.00M,,514.00M,75.00M,589.00M,,589.00M,,,299.00M,2.49B,23.00M,8.636B,,8.636B,,1.281B,777.00M,,387.00M,176.00M,376.00M,11.27B,13.76B,,4.00M,11.46B,3.994B,6.651B,,,,-3.185B,5.623B,,AOR,Restated
2014-09,168.00M,168.00M,1.959B,,1.959B,176.00M,61.00M,308.00M,545.00M,386.00M,,,3.058B,,,,,,,24.32B,-12.05B,12.27B,3.189B,610.00M,3.799B,,,,,1.259B,17.33B,20.38B,,864.00M,,864.00M,,864.00M,,,565.00M,467.00M,1.032B,,1.032B,,,1.064B,2.96B,,8.089B,,8.089B,,,,,388.00M,190.00M,2.205B,10.48B,13.44B,,4.00M,11.35B,3.981B,6.37B,,,,-2.411B,6.552B,,AOR,Restated
2014-06,173.00M,173.00M,2.075B,,2.075B,165.00M,64.00M,313.00M,542.00M,369.00M,,,3.159B,,,,,,,24.74B,-12.19B,12.55B,3.27B,619.00M,3.889B,,,,,1.325B,17.77B,20.92B,,914.00M,,914.00M,,914.00M,,,515.00M,85.00M,600.00M,,600.00M,,,1.032B,2.546B,,8.565B,,8.565B,,,,,395.00M,194.00M,2.314B,11.07B,13.62B,,4.00M,11.06B,3.961B,6.269B,,,,-1.845B,6.911B,,AOR,Restated
2014-03,144.00M,144.00M,2.027B,,2.027B,173.00M,62.00M,285.00M,520.00M,358.00M,,,3.049B,,,,,,,24.18B,-11.86B,12.33B,3.243B,612.00M,3.855B,,,,,1.308B,17.49B,20.54B,,879.00M,,879.00M,,879.00M,,,617.00M,89.00M,706.00M,,706.00M,,,849.00M,2.434B,,8.564B,,8.564B,,,,,398.00M,195.00M,2.347B,11.11B,13.54B,,4.00M,10.78B,3.943B,6.133B,,,,-1.998B,6.60B,,AOR,Restated
2013-12,138.00M,138.00M,1.815B,175.00M,1.892B,167.00M,58.00M,281.00M,506.00M,145.00M,181.00M,54.00M,2.916B,0.00,493.00M,1.108B,20.31B,,2.116B,24.03B,-11.75B,12.28B,3.194B,596.00M,3.79B,709.00M,36.00M,,205.00M,217.00M,17.34B,20.26B,,921.00M,168.00M,1.089B,552.00M,1.641B,11.00M,,712.00M,73.00M,785.00M,,785.00M,,,161.00M,2.664B,22.00M,8.026B,,8.026B,,1.396B,498.00M,,394.00M,307.00M,339.00M,10.59B,13.25B,,4.00M,10.53B,3.97B,5.912B,,,,-1.981B,6.609B,,AOR,Restated
2013-09,134.00M,134.00M,1.957B,,1.957B,181.00M,57.00M,281.00M,519.00M,367.00M,,,2.977B,,,,,,,23.78B,-11.68B,12.10B,3.189B,613.00M,3.802B,,,,,1.184B,17.08B,20.06B,,900.00M,,900.00M,,900.00M,,,1.002B,141.00M,1.143B,,1.143B,,,886.00M,2.929B,,7.883B,,7.883B,,,,,365.00M,290.00M,2.385B,10.56B,13.49B,,4.00M,10.24B,3.962B,5.86B,,,,-2.139B,6.21B,,AOR,Restated
2013-06,102.00M,102.00M,1.961B,,1.961B,156.00M,54.00M,270.00M,480.00M,470.00M,,,3.013B,,,,,,,23.25B,-11.38B,11.87B,3.159B,576.00M,3.735B,,,,,1.156B,16.76B,19.77B,,915.00M,,915.00M,,915.00M,,,1.085B,158.00M,1.243B,,1.243B,,,832.00M,2.99B,,7.863B,,7.863B,,,,,357.00M,259.00M,2.374B,10.50B,13.49B,,4.00M,10.00B,3.931B,5.774B,,,,-2.235B,5.928B,,AOR,Restated
2013-03,113.00M,113.00M,1.994B,,1.994B,164.00M,57.00M,256.00M,477.00M,345.00M,,,2.929B,,,,,,,23.21B,-11.37B,11.84B,3.098B,544.00M,3.642B,,,,,1.174B,16.66B,19.59B,,907.00M,,907.00M,,907.00M,,,467.00M,437.00M,904.00M,,904.00M,,,875.00M,2.686B,,7.772B,,7.772B,,,,,357.00M,255.00M,2.347B,10.37B,13.06B,,4.00M,9.743B,3.905B,5.634B,,,,-1.849B,6.169B,,AOR,Restated
2012-12,157.00M,157.00M,1.763B,163.00M,1.834B,164.00M,56.00M,256.00M,476.00M,87.00M,185.00M,53.00M,2.792B,0.00,490.00M,1.092B,18.64B,,2.453B,22.68B,-11.23B,11.45B,2.507B,173.00M,2.68B,663.00M,46.00M,,159.00M,240.00M,15.30B,18.09B,,928.00M,123.00M,1.051B,503.00M,1.554B,6.00M,,563.00M,114.00M,677.00M,,677.00M,,,164.00M,2.479B,22.00M,6.685B,,6.685B,,977.00M,909.00M,,357.00M,252.00M,345.00M,9.19B,11.67B,,4.00M,9.534B,3.889B,5.511B,,,,-1.852B,6.064B,,AOR,Restated
2012-09,108.00M,108.00M,1.901B,,1.901B,165.00M,63.00M,255.00M,483.00M,361.00M,,,2.853B,,,,,,,22.13B,-11.06B,11.07B,2.381B,146.00M,2.527B,,,,,1.185B,14.79B,17.64B,,919.00M,,919.00M,,919.00M,,,,,747.00M,,747.00M,,,882.00M,2.548B,,6.389B,,6.389B,,,,,574.00M,,2.113B,8.502B,11.05B,,4.00M,9.285B,3.862B,5.383B,,,,-1.753B,6.015B,,AOR,Restated
2012-06,104.00M,104.00M,1.843B,,1.843B,158.00M,65.00M,246.00M,469.00M,236.00M,,,2.652B,,,,,,,21.18B,-10.72B,10.47B,2.353B,152.00M,2.505B,,,,,1.065B,14.04B,16.69B,,896.00M,,896.00M,,896.00M,,,,,1.034B,,1.034B,,,798.00M,2.728B,,5.961B,,5.961B,,,,,279.00M,,2.105B,8.066B,10.79B,,4.00M,9.024B,3.835B,5.256B,,,,-1.992B,5.615B,,AOR,Restated
2012-03,107.00M,107.00M,1.934B,,1.934B,168.00M,70.00M,244.00M,482.00M,239.00M,,,2.762B,,,,,,,21.38B,-10.86B,10.52B,2.413B,165.00M,2.578B,,,,,1.124B,14.22B,16.99B,,919.00M,,919.00M,,919.00M,,,,,436.00M,,436.00M,,,799.00M,2.154B,,6.42B,,6.42B,,,,,327.00M,,2.146B,8.566B,10.72B,,4.00M,8.762B,3.808B,5.162B,,,,-1.472B,5.94B,,AOR,Restated
2011-12,90.00M,90.00M,1.75B,140.00M,1.795B,153.00M,58.00M,245.00M,456.00M,73.00M,142.00M,51.00M,2.607B,0.00,324.00M,1.048B,17.36B,,1.891B,20.63B,-10.50B,10.13B,2.372B,167.00M,2.539B,532.00M,53.00M,,171.00M,247.00M,13.75B,16.36B,,896.00M,145.00M,1.041B,530.00M,1.571B,6.00M,,159.00M,565.00M,724.00M,,724.00M,,,164.00M,2.535B,21.00M,5.838B,,5.838B,,738.00M,905.00M,,309.00M,220.00M,302.00M,8.024B,10.56B,,4.00M,8.51B,3.809B,5.089B,,,,-1.746B,5.488B,,AOR,Restated
2011-09,125.00M,125.00M,1.86B,,1.86B,154.00M,62.00M,229.00M,445.00M,274.00M,,,2.704B,,,,,,,20.24B,-10.49B,9.754B,2.043B,132.00M,2.175B,,,,,1.269B,13.20B,15.90B,,855.00M,,855.00M,,855.00M,,,,,501.00M,,501.00M,,,813.00M,2.169B,,5.809B,,5.809B,,,,,368.00M,,1.803B,7.612B,9.781B,,4.00M,8.275B,3.786B,4.94B,,,,-1.372B,5.753B,,AOR,Restated
2011-06,80.00M,80.00M,1.925B,,1.925B,156.00M,58.00M,236.00M,450.00M,303.00M,,,2.758B,,,,,,,20.80B,-10.72B,10.08B,2.13B,127.00M,2.257B,,,,,1.316B,13.65B,16.41B,,885.00M,,885.00M,,885.00M,,,,,434.00M,,434.00M,,,677.00M,1.996B,,5.685B,,5.685B,,,,,370.00M,,1.959B,7.644B,9.64B,,4.00M,7.997B,3.76B,4.686B,,,,-675.00M,6.40B,,AOR,Restated
2011-03,86.00M,86.00M,1.834B,,1.834B,153.00M,51.00M,212.00M,416.00M,262.00M,,,2.598B,,,,,,,20.32B,-10.54B,9.784B,2.106B,129.00M,2.235B,,,,,1.217B,13.24B,15.83B,,777.00M,,777.00M,,777.00M,,,,,357.00M,,357.00M,,,787.00M,1.921B,,5.481B,,5.481B,,,,,372.00M,,1.895B,7.376B,9.297B,,4.00M,7.721B,3.729B,4.495B,,,,-794.00M,6.165B,,AOR,Restated
2010-12,39.00M,39.00M,1.664B,,1.664B,139.00M,49.00M,211.00M,399.00M,276.00M,,,2.378B,0.00,322.00M,1.00B,16.66B,,1.696B,19.67B,-10.14B,9.532B,2.066B,132.00M,2.198B,564.00M,,,,602.00M,12.90B,15.27B,,830.00M,,830.00M,90.00M,920.00M,,,,,402.00M,,402.00M,,,788.00M,2.11B,,5.155B,,5.155B,,911.00M,,,353.00M,,953.00M,7.019B,9.129B,,4.00M,7.475B,3.702B,4.371B,,,,-1.018B,5.792B,,AOR,Restated
2010-06,48.00M,48.00M,1.617B,,1.617B,138.00M,47.00M,189.00M,374.00M,236.00M,,,2.275B,,,,,,,18.47B,-9.535B,8.932B,2.009B,140.00M,2.149B,,,,,936.00M,12.02B,14.29B,,729.00M,,729.00M,,729.00M,,,,,243.00M,,243.00M,,,787.00M,1.759B,,4.783B,,4.783B,,,,,315.00M,,1.983B,6.766B,8.525B,,4.00M,7.241B,3.551B,3.961B,,,,-1.383B,5.452B,,AOR,Restated
2010-03,376.00M,376.00M,1.645B,,1.645B,138.00M,46.00M,193.00M,377.00M,224.00M,,,2.622B,,,,,,,18.57B,-9.57B,8.998B,2.046B,139.00M,2.185B,,,,,922.00M,12.10B,14.73B,,704.00M,,704.00M,,704.00M,,,,,672.00M,,672.00M,,,813.00M,2.189B,,4.732B,,4.732B,,,,,332.00M,,2.076B,6.808B,8.997B,,4.00M,7.008B,3.501B,3.917B,,,,-1.198B,5.398B,,AOR,Restated
2009-12,45.00M,45.00M,1.579B,,1.579B,137.00M,46.00M,194.00M,377.00M,222.00M,,,2.223B,0.00,316.00M,972.00M,15.58B,,1.567B,18.44B,-9.448B,8.99B,2.07B,142.00M,2.212B,435.00M,,,,457.00M,12.09B,14.32B,,730.00M,,730.00M,138.00M,868.00M,,,,,298.00M,,298.00M,,,647.00M,1.813B,,4.757B,,4.757B,,722.00M,,,333.00M,,1.377B,6.856B,8.669B,,4.00M,6.831B,3.473B,3.838B,,,,-1.155B,5.315B,,AOR,Restated
2009-09,65.00M,65.00M,1.629B,,1.629B,151.00M,52.00M,195.00M,398.00M,207.00M,,,2.299B,,,,,,,18.05B,-9.246B,8.807B,2.057B,144.00M,2.201B,,,,,864.00M,11.87B,14.17B,,717.00M,,717.00M,,717.00M,,,,,508.00M,,508.00M,,,810.00M,2.035B,,4.727B,,4.727B,,,,,322.00M,,2.002B,6.729B,8.764B,,4.00M,6.615B,3.422B,3.751B,,,,-1.205B,5.085B,,AOR,Restated
2009-06,33.00M,33.00M,1.555B,,1.555B,152.00M,57.00M,214.00M,423.00M,181.00M,,,2.192B,,,,,,,17.30B,-8.864B,8.435B,1.953B,119.00M,2.072B,,,,,887.00M,11.39B,13.59B,,721.00M,,721.00M,,721.00M,,,,,1.085B,,1.085B,,,670.00M,2.476B,,4.022B,,4.022B,,,,,308.00M,,2.142B,6.164B,8.64B,,4.00M,6.411B,3.375B,3.696B,,,,-1.456B,4.638B,,AOR,Restated
