,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-09,2.947B,2.947B,1.82B,1.127B,,,,,-46.00M,142.00M,-142.00M,61.00M,61.00M,1.066B,142.00M,-142.00M,-16.00M,-142.00M,908.00M,206.00M,702.00M,,,2.00M,702.00M,737.56M,1.326B,276.00M,1.05B,,2.54,,,,2.669,2.54,,2.52,,,,2.648,2.52,,275.50M,278.20M,0.80,,AOR,Restated
2018-06,2.898B,2.898B,1.773B,1.125B,,,,,-38.00M,131.00M,-131.00M,61.00M,61.00M,1.064B,131.00M,-131.00M,-9.00M,-131.00M,924.00M,214.00M,710.00M,,,1.00M,710.00M,739.18M,1.329B,274.00M,1.055B,,2.52,,,,2.624,2.52,,2.50,,,,2.603,2.50,,281.30M,283.70M,0.72,,AOR,Restated
2018-03,2.717B,2.717B,1.766B,951.00M,,,,,-47.00M,136.00M,-136.00M,69.00M,69.00M,882.00M,136.00M,-136.00M,-39.00M,-136.00M,707.00M,155.00M,552.00M,,,1.00M,552.00M,588.71M,1.115B,272.00M,843.00M,,1.94,,,,2.069,1.94,,1.93,,,,2.058,1.93,,283.50M,285.90M,0.72,,AOR,Restated
2017-12,2.669B,2.669B,1.588B,1.081B,,,,,66.00M,134.00M,-134.00M,52.00M,52.00M,1.029B,134.00M,-134.00M,-2.00M,-134.00M,893.00M,-3.075B,3.968B,,,1.00M,3.968B,3.928B,1.295B,268.00M,1.027B,,13.91,,,,13.77,13.91,,13.79,,,,13.65,13.79,,285.20M,287.60M,0.61,,AOR,Restated
2017-09,2.67B,2.67B,1.696B,974.00M,,,,,-39.00M,134.00M,-134.00M,40.00M,40.00M,934.00M,134.00M,-134.00M,,-134.00M,800.00M,294.00M,506.00M,,,1.00M,506.00M,530.65M,1.20B,266.00M,934.00M,,1.76,,,,1.846,1.76,,1.75,,,,1.835,1.75,,287.10M,289.50M,0.61,,AOR,Restated
2017-06,2.637B,2.637B,1.652B,985.00M,,,,,-35.00M,140.00M,-140.00M,78.00M,78.00M,907.00M,140.00M,-140.00M,13.00M,-140.00M,780.00M,283.00M,497.00M,,,1.00M,497.00M,519.30M,1.185B,265.00M,920.00M,,1.72,,,,1.797,1.72,,1.71,,,,1.787,1.71,,289.00M,289.00M,0.61,,AOR,Restated
2017-03,2.575B,2.575B,1.70B,875.00M,,,,,-40.00M,142.00M,-142.00M,78.00M,78.00M,797.00M,142.00M,-142.00M,,-142.00M,655.00M,222.00M,433.00M,,,1.00M,433.00M,459.44M,1.057B,260.00M,797.00M,,1.49,,,,1.581,1.49,,1.48,,,,1.570,1.48,,290.30M,292.80M,0.61,,AOR,Restated
2016-12,2.49B,2.49B,1.67B,820.00M,,,,,16.00M,142.00M,-142.00M,75.00M,95.00M,725.00M,142.00M,-142.00M,58.00M,-142.00M,641.00M,225.00M,416.00M,,,0.00,416.00M,405.62M,1.043B,260.00M,783.00M,,1.43,,,,1.394,1.43,,1.42,,,,1.385,1.42,,290.90M,293.90M,0.59,,AOR,Restated
2016-09,2.524B,2.524B,1.618B,906.00M,,,,,-36.00M,144.00M,-144.00M,50.00M,50.00M,856.00M,144.00M,-144.00M,-7.00M,-144.00M,705.00M,245.00M,460.00M,,,3.00M,460.00M,483.47M,1.108B,259.00M,849.00M,,1.56,,,,1.640,1.56,,1.55,,,,1.630,1.55,,292.70M,294.70M,0.59,,AOR,Restated
2016-06,2.454B,2.454B,1.573B,881.00M,,,,,-32.00M,138.00M,-138.00M,79.00M,79.00M,802.00M,138.00M,-138.00M,-28.00M,-138.00M,636.00M,231.00M,405.00M,,,1.00M,405.00M,425.51M,1.032B,258.00M,774.00M,,1.37,,,,1.440,1.37,,1.36,,,,1.429,1.36,,294.70M,296.60M,0.59,,AOR,Restated
2016-03,2.42B,2.42B,1.583B,837.00M,,,,,-33.00M,139.00M,-139.00M,81.00M,81.00M,756.00M,139.00M,-139.00M,-17.00M,-139.00M,600.00M,213.00M,387.00M,,,1.00M,387.00M,408.28M,992.00M,253.00M,739.00M,,1.30,,,,1.372,1.30,,1.29,,,,1.361,1.29,,297.20M,298.90M,0.59,,AOR,Restated
2015-12,2.518B,2.518B,1.736B,782.00M,,,,,6.00M,146.00M,-138.00M,92.00M,115.00M,667.00M,146.00M,-138.00M,-5.00M,-138.00M,524.00M,163.00M,361.00M,,,1.00M,361.00M,356.87M,959.00M,289.00M,670.00M,,1.21,,,,1.196,1.21,,1.20,,,,1.186,1.20,,300.10M,300.20M,0.59,,AOR,Restated
2015-09,2.713B,2.713B,1.766B,947.00M,,,,,-27.00M,137.00M,-137.00M,98.00M,98.00M,849.00M,137.00M,-137.00M,12.00M,-137.00M,724.00M,272.00M,452.00M,,,2.00M,452.00M,468.85M,1.137B,276.00M,861.00M,,1.50,,,,1.556,1.50,,1.49,,,,1.546,1.49,,300.10M,302.50M,0.59,,AOR,Restated
2015-06,2.713B,2.713B,1.781B,932.00M,,,,,-26.00M,134.00M,-134.00M,92.00M,92.00M,840.00M,134.00M,-134.00M,-7.00M,-134.00M,699.00M,266.00M,433.00M,,,1.00M,433.00M,449.09M,1.081B,248.00M,833.00M,,1.43,,,,1.483,1.43,,1.41,,,,1.463,1.41,,302.90M,305.50M,0.59,,AOR,Restated
2015-03,2.567B,2.567B,1.837B,730.00M,,,,,-36.00M,132.00M,-132.00M,88.00M,88.00M,642.00M,132.00M,-132.00M,-15.00M,-132.00M,495.00M,185.00M,310.00M,,,2.00M,310.00M,332.54M,873.00M,246.00M,627.00M,,1.01,,,,1.083,1.01,,1.00,,,,1.073,1.00,,306.80M,309.60M,0.59,,AOR,Restated
2014-12,2.87B,2.87B,1.864B,1.006B,,,,,9.00M,141.00M,-132.00M,87.00M,101.00M,905.00M,141.00M,-132.00M,17.00M,-132.00M,790.00M,279.00M,511.00M,,,1.00M,511.00M,505.18M,1.172B,241.00M,931.00M,,1.65,,,,1.631,1.65,,1.64,,,,1.621,1.64,,309.10M,311.90M,0.57,,AOR,Restated
2014-09,3.023B,3.023B,1.907B,1.116B,,,,,-35.00M,138.00M,-138.00M,83.00M,83.00M,1.033B,138.00M,-138.00M,-3.00M,-138.00M,892.00M,333.00M,559.00M,,,1.00M,559.00M,580.94M,1.267B,237.00M,1.03B,,1.80,,,,1.871,1.80,,1.79,,,,1.860,1.79,,309.40M,312.60M,0.57,,AOR,Restated
2014-06,3.042B,3.042B,1.899B,1.143B,,,,,-42.00M,139.00M,-139.00M,82.00M,82.00M,1.061B,139.00M,-139.00M,-24.00M,-139.00M,898.00M,336.00M,562.00M,,,2.00M,562.00M,588.29M,1.277B,240.00M,1.037B,,1.81,,,,1.895,1.81,,1.79,,,,1.874,1.79,,309.50M,312.80M,0.54,,AOR,Restated
2014-03,2.689B,2.689B,1.909B,780.00M,,,,,-30.00M,139.00M,-139.00M,83.00M,83.00M,697.00M,139.00M,-139.00M,-4.00M,-139.00M,554.00M,186.00M,368.00M,,,2.00M,368.00M,387.92M,931.00M,238.00M,693.00M,,1.18,,,,1.244,1.18,,1.17,,,,1.234,1.17,,309.50M,312.60M,0.54,,AOR,Restated
2013-12,2.881B,2.881B,1.908B,973.00M,,,,,114.00M,149.00M,-141.00M,80.00M,96.00M,877.00M,149.00M,-141.00M,47.00M,-141.00M,783.00M,270.00M,513.00M,,,2.00M,513.00M,438.31M,1.167B,235.00M,932.00M,,1.66,,,,1.418,1.66,,1.64,,,,1.401,1.64,,308.60M,312.20M,0.52,,AOR,Restated
2013-09,2.824B,2.824B,1.875B,949.00M,,,,,-23.00M,131.00M,-131.00M,77.00M,77.00M,872.00M,131.00M,-131.00M,7.00M,-131.00M,748.00M,266.00M,482.00M,,,2.00M,482.00M,496.81M,1.11B,231.00M,879.00M,,1.55,,,,1.598,1.55,,1.53,,,,1.577,1.53,,310.40M,313.90M,0.52,,AOR,Restated
2013-06,2.802B,2.802B,1.869B,933.00M,,,,,-20.00M,128.00M,-128.00M,77.00M,77.00M,856.00M,128.00M,-128.00M,9.00M,-128.00M,737.00M,272.00M,465.00M,,,1.00M,465.00M,477.62M,1.093B,228.00M,865.00M,,1.47,,,,1.510,1.47,,1.46,,,,1.500,1.46,,314.10M,317.80M,0.50,,AOR,Restated
2013-03,2.738B,2.738B,1.829B,909.00M,,,,,,129.00M,-129.00M,218.00M,218.00M,691.00M,129.00M,-129.00M,135.00M,-129.00M,697.00M,247.00M,450.00M,,,2.00M,450.00M,450.00M,1.054B,228.00M,826.00M,,1.43,,,,1.43,1.43,,1.41,,,,1.41,1.41,,314.50M,318.10M,0.50,,AOR,Restated
2012-12,2.684B,2.684B,2.18B,504.00M,,,,,,138.00M,-130.00M,-340.00M,-324.00M,828.00M,138.00M,-130.00M,-77.00M,-130.00M,621.00M,208.00M,413.00M,,,2.00M,413.00M,413.00M,993.00M,234.00M,759.00M,,1.31,,,,1.31,1.31,,1.30,,,,1.30,1.30,,314.90M,318.60M,0.50,,AOR,Restated
2012-09,2.693B,2.693B,1.736B,957.00M,,,,,,124.00M,-124.00M,226.00M,226.00M,731.00M,124.00M,-124.00M,33.00M,-124.00M,640.00M,238.00M,402.00M,,,3.00M,402.00M,402.00M,996.00M,232.00M,764.00M,,1.26,,,,1.26,1.26,,1.24,,,,1.24,1.24,,317.70M,321.80M,0.50,,AOR,Restated
2012-06,2.874B,2.874B,1.735B,1.139B,,,,,,122.00M,-122.00M,205.00M,205.00M,934.00M,122.00M,-122.00M,31.00M,-122.00M,843.00M,319.00M,524.00M,,,2.00M,524.00M,524.00M,1.195B,230.00M,965.00M,,1.62,,,,1.62,1.62,,1.60,,,,1.60,1.60,,322.70M,327.50M,0.47,,AOR,Restated
2012-03,2.789B,2.789B,1.926B,863.00M,,,,,-38.00M,120.00M,-120.00M,80.00M,80.00M,783.00M,120.00M,-120.00M,-9.00M,-120.00M,654.00M,244.00M,410.00M,,,3.00M,410.00M,433.83M,1.00B,226.00M,774.00M,,1.24,,,,1.313,1.24,,1.23,,,,1.303,1.23,,328.30M,328.30M,0.47,,AOR,Restated
2011-12,2.797B,2.797B,4.362B,-1.565B,,,-634.00M,,-297.00M,119.00M,-110.00M,,-2.565B,1.00B,119.00M,-110.00M,-167.00M,-110.00M,723.00M,243.00M,480.00M,,,,480.00M,677.18M,1.065B,223.00M,842.00M,,1.43,,,,2.023,1.43,,1.42,,,,2.003,1.42,,332.60M,338.40M,0.43,,AOR,Restated
2011-09,2.889B,2.889B,998.00M,1.891B,736.00M,736.00M,217.00M,,60.00M,114.00M,-114.00M,,953.00M,938.00M,114.00M,-114.00M,60.00M,-114.00M,884.00M,330.00M,554.00M,,,,554.00M,516.40M,1.216B,218.00M,998.00M,,1.61,0.00,,,1.500,1.61,,1.59,0.00,,,1.482,1.59,,343.20M,349.00M,0.43,,AOR,Restated
2011-06,2.866B,2.866B,1.039B,1.827B,739.00M,739.00M,213.00M,,34.00M,113.00M,-113.00M,,952.00M,875.00M,113.00M,-113.00M,34.00M,-113.00M,796.00M,239.00M,557.00M,,,,557.00M,533.21M,1.124B,215.00M,909.00M,,1.58,0.00,,,1.512,1.58,,1.56,0.00,,,1.493,1.56,,351.00M,357.30M,0.40,,AOR,Restated
2011-03,2.62B,2.62B,1.044B,1.576B,765.00M,765.00M,211.00M,,27.00M,112.00M,-112.00M,,976.00M,600.00M,112.00M,-112.00M,27.00M,-112.00M,515.00M,190.00M,325.00M,,,,325.00M,307.96M,840.00M,213.00M,627.00M,,0.91,0.00,,,0.8620,0.91,,0.90,0.00,,,0.8527,0.90,,355.20M,360.50M,0.40,,AOR,Restated
2010-12,2.392B,2.392B,4.00B,-1.608B,,,-605.00M,,-218.00M,131.00M,-119.00M,,-2.375B,767.00M,131.00M,-119.00M,-86.00M,-119.00M,562.00M,160.00M,402.00M,,,,402.00M,557.94M,902.00M,209.00M,693.00M,,1.11,,,,1.543,1.11,,1.09,,,,1.516,1.09,,360.50M,365.80M,0.36,,AOR,Restated
2010-09,2.456B,2.456B,826.00M,1.63B,680.00M,680.00M,204.00M,,81.00M,113.00M,-113.00M,,884.00M,746.00M,113.00M,-113.00M,81.00M,-113.00M,714.00M,269.00M,445.00M,,,,445.00M,394.52M,1.033B,206.00M,827.00M,,1.21,0.00,,,1.072,1.21,,1.19,0.00,,,1.054,1.19,,366.30M,371.60M,0.36,,AOR,Restated
2010-06,2.43B,2.43B,823.00M,1.607B,670.00M,670.00M,204.00M,,17.00M,115.00M,-115.00M,,874.00M,733.00M,115.00M,-115.00M,17.00M,-115.00M,635.00M,243.00M,392.00M,,,,392.00M,381.51M,955.00M,205.00M,750.00M,,1.06,0.00,,,1.032,1.06,,1.04,0.00,,,1.012,1.04,,369.70M,375.10M,0.34,,AOR,Restated
2010-03,2.238B,2.238B,780.00M,1.458B,699.00M,699.00M,204.00M,,20.00M,119.00M,-119.00M,,903.00M,555.00M,119.00M,-119.00M,20.00M,-119.00M,456.00M,199.00M,257.00M,,,,257.00M,244.00M,781.00M,206.00M,575.00M,,0.69,0.00,,,0.6548,0.69,,0.68,0.00,,,0.6453,0.68,,369.50M,374.90M,0.34,,AOR,Restated
2009-12,2.106B,2.106B,731.00M,1.375B,613.00M,613.00M,213.00M,,37.00M,119.00M,-119.00M,,826.00M,549.00M,119.00M,-119.00M,37.00M,-119.00M,467.00M,160.00M,307.00M,,,,307.00M,282.68M,801.00M,215.00M,586.00M,,0.82,0.00,,,0.7539,0.82,,0.82,0.00,,,0.7566,0.82,,368.00M,383.45M,0.34,,AOR,Restated
2009-09,2.063B,2.063B,693.00M,1.37B,598.00M,598.00M,210.00M,,37.00M,118.00M,-118.00M,,808.00M,562.00M,118.00M,-118.00M,37.00M,-118.00M,481.00M,178.00M,303.00M,,,2.00M,303.00M,279.69M,811.00M,212.00M,599.00M,,0.82,0.00,,,0.7565,0.82,,0.81,0.00,,,0.7474,0.81,,367.30M,372.50M,0.34,,AOR,Restated
2009-06,1.857B,1.857B,631.00M,1.226B,551.00M,551.00M,207.00M,,36.00M,113.00M,-113.00M,,758.00M,468.00M,113.00M,-113.00M,36.00M,-113.00M,391.00M,144.00M,247.00M,,,,247.00M,224.26M,713.00M,209.00M,504.00M,,0.67,0.00,,,0.608,0.67,,0.66,0.00,,,0.5988,0.66,,366.80M,371.40M,0.34,,AOR,Restated
2009-03,1.943B,1.943B,714.00M,1.229B,639.00M,639.00M,207.00M,,17.00M,117.00M,-117.00M,,846.00M,383.00M,117.00M,-117.00M,17.00M,-117.00M,283.00M,106.00M,177.00M,,,,177.00M,166.37M,609.00M,209.00M,400.00M,,0.48,0.00,,,0.4510,0.48,,0.47,0.00,,,0.4413,0.47,,366.20M,371.10M,0.34,,AOR,Restated
2008-12,2.502B,2.502B,874.00M,1.628B,609.00M,609.00M,206.00M,,18.00M,112.00M,-112.00M,,815.00M,813.00M,112.00M,-112.00M,18.00M,-112.00M,719.00M,267.00M,452.00M,,,,452.00M,440.68M,1.04B,209.00M,831.00M,,1.22,0.00,,,1.189,1.22,,1.22,0.00,,,1.189,1.22,,366.00M,370.78M,0.32,,AOR,Restated
2008-09,2.894B,2.894B,1.091B,1.803B,708.00M,708.00M,201.00M,,39.00M,111.00M,-111.00M,,909.00M,894.00M,111.00M,-111.00M,39.00M,-111.00M,822.00M,302.00M,520.00M,,,,520.00M,495.33M,1.137B,204.00M,933.00M,,1.39,0.00,,,1.324,1.39,,1.37,0.00,,,1.305,1.37,,372.50M,380.50M,0.32,,AOR,Restated
2008-06,2.765B,2.765B,1.105B,1.66B,662.00M,662.00M,199.00M,,46.00M,112.00M,-112.00M,,861.00M,799.00M,112.00M,-112.00M,46.00M,-112.00M,733.00M,280.00M,453.00M,,,,453.00M,424.57M,1.047B,202.00M,845.00M,,1.20,0.00,,,1.124,1.20,,1.18,0.00,,,1.106,1.18,,375.40M,383.50M,0.29,,AOR,Restated
2008-03,2.50B,2.50B,1.019B,1.481B,705.00M,705.00M,198.00M,,7.00M,109.00M,-109.00M,,903.00M,578.00M,109.00M,-109.00M,7.00M,-109.00M,476.00M,185.00M,291.00M,,,,291.00M,286.72M,785.00M,200.00M,585.00M,,0.77,0.00,,,0.7586,0.77,,0.76,0.00,,,0.7486,0.76,,375.70M,375.70M,0.29,,AOR,Restated
2007-12,2.454B,2.454B,948.00M,1.506B,623.00M,623.00M,197.00M,,-11.00M,108.00M,-63.00M,,820.00M,686.00M,108.00M,-63.00M,-11.00M,-63.00M,612.00M,213.00M,399.00M,,,,399.00M,406.17M,919.00M,199.00M,720.00M,,1.03,0.00,,,1.049,1.03,,1.02,0.00,,,1.038,1.02,,381.50M,389.70M,0.26,,AOR,Restated
2007-09,2.353B,2.353B,859.00M,1.494B,619.00M,619.00M,194.00M,,31.00M,107.00M,-107.00M,,813.00M,681.00M,107.00M,-107.00M,31.00M,-107.00M,605.00M,219.00M,386.00M,,,,386.00M,366.22M,909.00M,197.00M,712.00M,,0.99,0.00,,,0.9392,0.99,,0.97,0.00,,,0.9202,0.97,,389.00M,397.40M,0.26,,AOR,Restated
2007-06,2.378B,2.378B,867.00M,1.511B,629.00M,629.00M,192.00M,,21.00M,111.00M,-111.00M,,821.00M,690.00M,111.00M,-111.00M,21.00M,-111.00M,600.00M,206.00M,394.00M,,,,394.00M,380.21M,907.00M,196.00M,711.00M,,1.00,0.00,,,0.9650,1.00,,0.98,0.00,,,0.9457,0.98,,393.70M,402.04M,0.22,,AOR,Restated
2007-03,2.247B,2.247B,846.00M,1.401B,,,192.00M,,,,,681.00M,873.00M,528.00M,,,,,420.00M,135.00M,285.00M,,,,285.00M,285.00M,722.00M,194.00M,528.00M,,0.72,0.00,,,0.72,0.72,,0.71,0.00,,,0.71,0.71,,395.83M,401.41M,0.22,,AOR,Restated
2006-12,2.319B,2.319B,1.22B,1.099B,,,187.00M,,,,,298.00M,485.00M,614.00M,,,,,539.00M,154.00M,385.00M,,,,385.00M,385.00M,804.00M,190.00M,614.00M,,0.95,0.00,,,0.95,0.95,,0.95,0.00,,,0.95,0.95,,405.09M,405.09M,0.18,,AOR,Restated
2006-09,2.393B,2.393B,759.00M,1.634B,,,186.00M,,,,,733.00M,919.00M,715.00M,,,,,636.00M,220.00M,416.00M,,,,416.00M,416.00M,903.00M,188.00M,715.00M,,1.04,0.00,,,1.04,1.04,,1.02,0.00,,,1.02,1.02,,400.00M,407.84M,0.18,,AOR,Restated
2006-06,2.392B,2.392B,762.00M,1.63B,,,182.00M,,33.00M,,,771.00M,953.00M,677.00M,,,33.00M,,589.00M,214.00M,375.00M,,,,375.00M,353.99M,864.00M,187.00M,677.00M,,0.91,0.00,,,0.8590,0.91,,0.89,0.00,,,0.8401,0.89,,412.09M,421.35M,0.16,,AOR,Restated
2006-03,2.303B,2.303B,734.00M,1.569B,,,183.00M,,35.00M,,,835.00M,1.018B,551.00M,,,35.00M,,466.00M,161.00M,305.00M,,,,305.00M,282.09M,736.00M,185.00M,551.00M,,0.74,0.00,,,0.6844,0.74,,0.72,0.00,,,0.6659,0.72,,412.16M,423.61M,0.16,,AOR,Restated
2005-12,2.257B,2.257B,802.00M,1.455B,762.00M,762.00M,192.00M,-32.00M,31.00M,,,65.00M,1.019B,436.00M,,,31.00M,,504.00M,142.00M,362.00M,,,,362.00M,339.73M,632.00M,196.00M,436.00M,,0.89,0.00,,,0.8353,0.89,,0.87,0.00,,,0.8166,0.87,,407.19M,416.78M,0.13,,AOR,Restated
2005-09,2.155B,2.155B,682.00M,1.473B,,,195.00M,,32.00M,,,750.00M,945.00M,528.00M,,,32.00M,,441.00M,140.00M,301.00M,,,,301.00M,279.16M,726.00M,198.00M,528.00M,,0.74,0.00,,,0.6863,0.74,,0.73,0.00,,,0.6770,0.73,,406.76M,412.33M,0.13,,AOR,Restated
2005-06,2.154B,2.154B,710.00M,1.444B,735.00M,735.00M,194.00M,-31.00M,9.00M,,,65.00M,994.00M,450.00M,,,9.00M,,475.00M,51.00M,424.00M,,,,424.00M,415.97M,646.00M,196.00M,450.00M,,1.05,0.00,,,1.030,1.05,,1.04,0.00,,,1.020,1.04,,403.81M,407.69M,0.11,,AOR,Restated
2005-03,1.961B,1.961B,734.00M,1.227B,795.00M,795.00M,193.00M,-35.00M,2.00M,,,62.00M,1.05B,177.00M,,,2.00M,,277.00M,83.00M,194.00M,,,,194.00M,192.60M,374.00M,197.00M,177.00M,,0.48,0.00,,,0.4765,0.48,,0.47,0.00,,,0.4666,0.47,,404.17M,412.77M,0.11,,AOR,Restated
2004-12,1.949B,1.949B,690.00M,1.259B,713.00M,713.00M,189.00M,-37.00M,92.00M,,,106.00M,1.008B,251.00M,,,92.00M,,375.00M,111.00M,264.00M,,,,264.00M,199.23M,443.00M,192.00M,251.00M,,0.66,0.00,,,0.4985,0.66,,0.65,0.00,,,0.4910,0.65,,400.99M,407.30M,0.10,,AOR,
2004-09,1.857B,1.857B,698.00M,1.159B,711.00M,711.00M,150.00M,-79.00M,40.00M,,,49.00M,910.00M,249.00M,,,40.00M,,388.00M,100.00M,288.00M,,,,288.00M,258.31M,401.00M,152.00M,249.00M,,0.73,0.00,,,0.6547,0.73,,0.72,0.00,,,0.6458,0.72,,394.52M,400.00M,0.10,,AOR,Restated
2004-06,1.813B,1.813B,735.00M,1.078B,742.00M,742.00M,130.00M,-101.00M,0.00,,,59.00M,931.00M,147.00M,,,,,304.00M,91.00M,213.00M,,,,213.00M,213.00M,280.00M,133.00M,147.00M,,0.55,0.00,,,0.55,0.55,,0.54,0.00,,,0.54,0.54,,387.27M,394.44M,0.08,,AOR,Restated
2004-03,1.693B,1.693B,716.00M,977.00M,727.00M,727.00M,129.00M,-102.00M,10.00M,,,59.00M,915.00M,62.00M,,,10.00M,,235.00M,77.00M,158.00M,,,,158.00M,151.28M,194.00M,132.00M,62.00M,,0.40,0.00,,,0.3830,0.40,,0.40,0.00,,,0.3830,0.40,,395.00M,395.00M,0.08,,AOR,Restated
