,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-12,361.00M,-10.00M,-10.00M,289.00M,289.00M,289.00M,264.00M,,-35.00M,157.00M,17.00M,,-103.00M,-240.00M,,-169.00M,,700.00M,,-608.00M,20.00M,-588.00M,208.00M,,-380.00M,,591.00M,591.00M,11.00M,-78.00M,-67.00M,-176.00M,-176.00M,,348.00M,,433.00M,668.00M,1.101B,,11.00M,591.00M,0.00,-78.00M,36.00M,198.00M,,AOR,Restated
2015-09,452.00M,-2.00M,-2.00M,276.00M,276.00M,276.00M,21.00M,,-55.00M,-48.00M,-11.00M,,13.00M,61.00M,,15.00M,,707.00M,,-891.00M,11.00M,-880.00M,25.00M,,-855.00M,,100.00M,100.00M,1.00M,-232.00M,-231.00M,-177.00M,-177.00M,,-308.00M,,889.00M,-456.00M,433.00M,,1.00M,100.00M,0.00,-232.00M,295.00M,71.00M,,AOR,Restated
2015-06,433.00M,-13.00M,-13.00M,248.00M,248.00M,248.00M,23.00M,,7.00M,-23.00M,-9.00M,,106.00M,98.00M,,172.00M,,870.00M,,-494.00M,16.00M,-478.00M,4.00M,,-474.00M,,493.00M,493.00M,0.00,-345.00M,-345.00M,-179.00M,-179.00M,,-31.00M,,524.00M,365.00M,889.00M,,0.00,494.00M,-1.00M,-345.00M,43.00M,178.00M,,AOR,Restated
2015-03,310.00M,-5.00M,-5.00M,246.00M,246.00M,246.00M,12.00M,,-28.00M,23.00M,-32.00M,,176.00M,-71.00M,,96.00M,,631.00M,,-392.00M,16.00M,-376.00M,-2.00M,,-378.00M,,-101.00M,-101.00M,,-420.00M,-420.00M,-181.00M,-181.00M,,-702.00M,,973.00M,-449.00M,524.00M,,,,-101.00M,-420.00M,12.00M,71.00M,,AOR,Restated
2014-12,511.00M,0.00,0.00,241.00M,241.00M,241.00M,273.00M,,-68.00M,48.00M,13.00M,,-307.00M,-142.00M,,-388.00M,,569.00M,,-739.00M,45.00M,-694.00M,-54.00M,,-748.00M,,100.00M,100.00M,-52.00M,-152.00M,-204.00M,-176.00M,-176.00M,,-280.00M,,1.432B,-459.00M,973.00M,,-52.00M,100.00M,0.00,-152.00M,1.835B,862.00M,,AOR,Restated
2014-09,559.00M,-10.00M,-10.00M,237.00M,237.00M,237.00M,4.00M,,-33.00M,19.00M,2.00M,,17.00M,114.00M,,152.00M,,909.00M,,-570.00M,25.00M,-545.00M,-62.00M,,-607.00M,,-332.00M,-332.00M,37.00M,-66.00M,-29.00M,-176.00M,-176.00M,,-537.00M,,1.667B,-235.00M,1.432B,,37.00M,100.00M,-432.00M,-66.00M,-420.00M,-85.00M,,AOR,Restated
2014-06,562.00M,-1.00M,-1.00M,240.00M,240.00M,240.00M,25.00M,,-24.00M,-13.00M,-11.00M,,13.00M,58.00M,,47.00M,,849.00M,,-428.00M,22.00M,-406.00M,13.00M,,-393.00M,,-113.00M,-113.00M,20.00M,-50.00M,-30.00M,-168.00M,-168.00M,,-311.00M,,1.522B,145.00M,1.667B,,20.00M,0.00,-113.00M,-50.00M,-253.00M,-180.00M,,AOR,Restated
2014-03,368.00M,-2.00M,-2.00M,238.00M,238.00M,238.00M,-8.00M,,-9.00M,-85.00M,-17.00M,,17.00M,86.00M,,1.00M,,588.00M,,-381.00M,22.00M,-359.00M,105.00M,,-254.00M,,-100.00M,-100.00M,62.00M,-50.00M,12.00M,-167.00M,-167.00M,,-255.00M,,1.443B,79.00M,1.522B,,62.00M,,-100.00M,-50.00M,-60.00M,-75.00M,,AOR,Restated
2013-12,513.00M,-4.00M,-4.00M,235.00M,235.00M,235.00M,47.00M,,-8.00M,59.00M,1.00M,,-53.00M,-116.00M,,-109.00M,,674.00M,,-501.00M,35.00M,-466.00M,-59.00M,,-525.00M,,495.00M,495.00M,39.00M,-63.00M,-24.00M,-161.00M,-161.00M,,310.00M,,984.00M,459.00M,1.443B,,39.00M,497.00M,-2.00M,-63.00M,1.22B,797.00M,,AOR,Restated
2013-09,482.00M,-1.00M,-1.00M,231.00M,231.00M,231.00M,72.00M,,-14.00M,-11.00M,4.00M,,20.00M,115.00M,,128.00M,,898.00M,,-586.00M,41.00M,-545.00M,-17.00M,,-562.00M,,460.00M,460.00M,12.00M,-250.00M,-238.00M,-161.00M,-161.00M,,61.00M,,587.00M,397.00M,984.00M,,12.00M,492.00M,-32.00M,-250.00M,-247.00M,-61.00M,,AOR,Restated
2013-06,465.00M,0.00,0.00,228.00M,228.00M,228.00M,69.00M,,-4.00M,86.00M,18.00M,,11.00M,-90.00M,,25.00M,,783.00M,,-505.00M,49.00M,-456.00M,15.00M,,-441.00M,,-13.00M,-13.00M,25.00M,-281.00M,-256.00M,-158.00M,-158.00M,,-427.00M,,672.00M,-85.00M,587.00M,,25.00M,,-13.00M,-281.00M,-215.00M,-182.00M,,AOR,Restated
2013-03,450.00M,-99.00M,-99.00M,228.00M,228.00M,228.00M,74.00M,,36.00M,-49.00M,-30.00M,,17.00M,96.00M,,34.00M,,723.00M,,-379.00M,19.00M,-360.00M,-6.00M,,-366.00M,,-203.00M,-203.00M,55.00M,-33.00M,22.00M,-157.00M,-157.00M,,-338.00M,,653.00M,19.00M,672.00M,,55.00M,,-203.00M,-33.00M,-23.00M,-62.00M,,AOR,Restated
2012-12,413.00M,-2.00M,-2.00M,234.00M,234.00M,234.00M,87.00M,,-5.00M,-8.00M,20.00M,,-49.00M,-101.00M,,-138.00M,,589.00M,,-719.00M,145.00M,-574.00M,32.00M,,-542.00M,,196.00M,196.00M,12.00M,-138.00M,-126.00M,-157.00M,-157.00M,,-87.00M,,693.00M,-40.00M,653.00M,,12.00M,200.00M,-4.00M,-138.00M,82.00M,176.00M,,AOR,Restated
2012-09,402.00M,-2.00M,-2.00M,232.00M,232.00M,232.00M,141.00M,,-15.00M,8.00M,6.00M,,20.00M,21.00M,,55.00M,,813.00M,,-554.00M,32.00M,-522.00M,2.00M,,-520.00M,,473.00M,473.00M,30.00M,-300.00M,-270.00M,-159.00M,-159.00M,,44.00M,,356.00M,337.00M,693.00M,,30.00M,595.00M,-122.00M,-300.00M,272.00M,65.00M,,AOR,Restated
2012-06,524.00M,-1.00M,-1.00M,230.00M,230.00M,230.00M,50.00M,,5.00M,-30.00M,-14.00M,,18.00M,-154.00M,,-180.00M,,628.00M,,-507.00M,13.00M,-494.00M,-2.00M,,-496.00M,,-18.00M,-18.00M,16.00M,-450.00M,-434.00M,-153.00M,-153.00M,,-605.00M,,829.00M,-473.00M,356.00M,,16.00M,0.00,-18.00M,-450.00M,262.00M,172.00M,,AOR,Restated
2012-03,410.00M,-1.00M,-1.00M,226.00M,226.00M,226.00M,88.00M,,44.00M,-34.00M,-19.00M,,5.00M,316.00M,,268.00M,,1.035B,,-461.00M,2.00M,-459.00M,23.00M,,-436.00M,,478.00M,478.00M,31.00M,-400.00M,-369.00M,-155.00M,-155.00M,,-46.00M,,276.00M,553.00M,829.00M,,31.00M,696.00M,-218.00M,-400.00M,2.00M,60.00M,,AOR,Restated
2011-12,480.00M,-2.00M,-2.00M,223.00M,223.00M,223.00M,113.00M,,120.00M,7.00M,3.00M,,-46.00M,-334.00M,-101.00M,-471.00M,,463.00M,,-727.00M,14.00M,-713.00M,146.00M,,-567.00M,,697.00M,697.00M,25.00M,-440.00M,-415.00M,,-144.00M,,138.00M,,242.00M,34.00M,276.00M,,25.00M,705.00M,-8.00M,-440.00M,168.00M,139.00M,,AOR,Restated
2011-09,554.00M,-30.00M,-30.00M,218.00M,218.00M,218.00M,171.00M,,,-38.00M,-11.00M,,24.00M,181.00M,-5.00M,151.00M,,1.064B,,-545.00M,50.00M,-495.00M,91.00M,,-404.00M,,-154.00M,-154.00M,26.00M,-819.00M,-793.00M,,-149.00M,,-1.096B,,678.00M,-436.00M,242.00M,,26.00M,0.00,-154.00M,-819.00M,76.00M,77.00M,,AOR,Restated
2011-06,557.00M,0.00,0.00,215.00M,215.00M,215.00M,131.00M,,-104.00M,-57.00M,-11.00M,,17.00M,194.00M,106.00M,249.00M,,1.048B,,-455.00M,20.00M,-435.00M,16.00M,,-419.00M,,366.00M,366.00M,37.00M,-449.00M,-412.00M,,-141.00M,,-187.00M,,236.00M,442.00M,678.00M,,37.00M,396.00M,-30.00M,-449.00M,42.00M,147.00M,,AOR,Restated
2011-03,325.00M,0.00,0.00,213.00M,213.00M,213.00M,112.00M,,104.00M,-127.00M,-21.00M,,19.00M,27.00M,,-102.00M,,652.00M,,-433.00M,,-433.00M,51.00M,,-382.00M,,-408.00M,-408.00M,32.00M,-343.00M,-311.00M,,-142.00M,,-861.00M,,827.00M,-591.00M,236.00M,,32.00M,0.00,-408.00M,-343.00M,3.00M,72.00M,,AOR,Restated
2010-12,1.496B,-4.00M,-4.00M,209.00M,209.00M,209.00M,140.00M,,-1.187B,101.00M,10.00M,,-51.00M,-128.00M,,-68.00M,,586.00M,,-563.00M,,-466.00M,97.00M,-81.00M,-450.00M,,88.00M,88.00M,30.00M,-426.00M,-396.00M,,-130.00M,,-438.00M,,1.129B,-302.00M,827.00M,,30.00M,100.00M,-12.00M,-426.00M,104.00M,157.00M,,AOR,Restated
2010-09,-649.00M,-35.00M,-35.00M,206.00M,206.00M,206.00M,126.00M,,1.082B,-16.00M,0.00,,14.00M,18.00M,,16.00M,,746.00M,,-338.00M,,-338.00M,3.00M,60.00M,-275.00M,,241.00M,241.00M,17.00M,-323.00M,-306.00M,,-132.00M,,-197.00M,,855.00M,274.00M,1.129B,,17.00M,250.00M,-9.00M,-323.00M,245.00M,64.00M,,AOR,Restated
2010-06,392.00M,-2.00M,-2.00M,205.00M,205.00M,205.00M,6.00M,,1.00M,-25.00M,1.00M,,19.00M,27.00M,,22.00M,,624.00M,,-313.00M,,-313.00M,-79.00M,21.00M,-371.00M,,-340.00M,-340.00M,21.00M,-114.00M,-93.00M,,-126.00M,,-559.00M,,1.161B,-306.00M,855.00M,,21.00M,,-340.00M,-114.00M,253.00M,182.00M,,AOR,Restated
2010-03,257.00M,-1.00M,-1.00M,206.00M,206.00M,206.00M,40.00M,,147.00M,-101.00M,-16.00M,,17.00M,209.00M,,109.00M,,758.00M,,-256.00M,,-256.00M,-104.00M,,-360.00M,,-128.00M,-128.00M,21.00M,,21.00M,,-126.00M,,-233.00M,,996.00M,165.00M,1.161B,,21.00M,,-128.00M,,,50.00M,,AOR,Restated
2009-12,307.00M,-5.00M,-5.00M,215.00M,215.00M,215.00M,165.00M,,-74.00M,89.00M,8.00M,,-39.00M,-365.00M,184.00M,-123.00M,,485.00M,,-380.00M,23.00M,-357.00M,-127.00M,,-484.00M,,88.00M,88.00M,34.00M,,34.00M,,-126.00M,,-4.00M,,999.00M,-3.00M,996.00M,,34.00M,100.00M,-12.00M,,147.00M,170.00M,,AOR,Restated
2009-09,303.00M,-9.00M,-9.00M,212.00M,212.00M,212.00M,98.00M,,-65.00M,-55.00M,16.00M,,36.00M,319.00M,-123.00M,193.00M,,732.00M,,-353.00M,34.00M,-319.00M,1.00M,,-318.00M,,-21.00M,-21.00M,8.00M,0.00,8.00M,,-124.00M,,-137.00M,,722.00M,277.00M,999.00M,,8.00M,0.00,-21.00M,0.00,12.00M,64.00M,,AOR,Restated
2009-06,247.00M,-2.00M,-2.00M,209.00M,209.00M,209.00M,59.00M,,16.00M,-10.00M,3.00M,,40.00M,-212.00M,-61.00M,-240.00M,,289.00M,,-323.00M,26.00M,-297.00M,-108.00M,,-405.00M,,61.00M,61.00M,18.00M,0.00,18.00M,,-125.00M,,-46.00M,,884.00M,-162.00M,722.00M,,18.00M,490.00M,-429.00M,0.00,199.00M,175.00M,,AOR,Restated
2009-03,177.00M,-2.00M,-2.00M,209.00M,209.00M,209.00M,16.00M,,-16.00M,39.00M,3.00M,,35.00M,-107.00M,,-30.00M,,354.00M,,-243.00M,1.00M,-242.00M,-2.00M,,-244.00M,,275.00M,275.00M,6.00M,,6.00M,,-125.00M,,156.00M,,618.00M,266.00M,884.00M,,6.00M,500.00M,-225.00M,,23.00M,49.00M,,AOR,Restated
2008-12,452.00M,-5.00M,-5.00M,209.00M,209.00M,209.00M,109.00M,,-64.00M,206.00M,16.00M,,-101.00M,-182.00M,,-61.00M,,640.00M,,-454.00M,35.00M,-419.00M,1.00M,,-418.00M,,181.00M,181.00M,5.00M,-229.00M,-224.00M,,-118.00M,,-161.00M,,557.00M,61.00M,618.00M,,5.00M,200.00M,-19.00M,-229.00M,214.00M,167.00M,,AOR,Restated
2008-09,520.00M,-2.00M,-2.00M,204.00M,204.00M,204.00M,118.00M,,-48.00M,8.00M,-7.00M,,59.00M,165.00M,,225.00M,,1.017B,,-428.00M,8.00M,-420.00M,3.00M,,-417.00M,,-19.00M,-19.00M,47.00M,-405.00M,-358.00M,,-120.00M,,-497.00M,,454.00M,103.00M,557.00M,,47.00M,0.00,-19.00M,-405.00M,166.00M,46.00M,,AOR,Restated
2008-06,453.00M,-17.00M,-17.00M,202.00M,202.00M,202.00M,38.00M,,11.00M,92.00M,-9.00M,,4.00M,-320.00M,,-233.00M,,454.00M,,-372.00M,63.00M,-309.00M,163.00M,,-146.00M,,3.00M,3.00M,106.00M,-218.00M,-112.00M,,-109.00M,,-218.00M,,364.00M,90.00M,454.00M,,106.00M,700.00M,-697.00M,-218.00M,228.00M,154.00M,,AOR,Restated
2008-03,291.00M,-5.00M,-5.00M,200.00M,200.00M,200.00M,25.00M,,43.00M,-37.00M,-18.00M,,30.00M,75.00M,,50.00M,,604.00M,,-304.00M,3.00M,-301.00M,54.00M,,-247.00M,,115.00M,115.00M,71.00M,-276.00M,-205.00M,,-109.00M,,-199.00M,,206.00M,158.00M,364.00M,,71.00M,525.00M,-410.00M,-276.00M,7.00M,54.00M,,AOR,Restated
2007-12,399.00M,-15.00M,-15.00M,199.00M,199.00M,199.00M,106.00M,,-89.00M,51.00M,-3.00M,,-97.00M,-29.00M,,-78.00M,,522.00M,,-446.00M,19.00M,-427.00M,2.00M,,-425.00M,,215.00M,215.00M,17.00M,-427.00M,-410.00M,,-101.00M,,-296.00M,,405.00M,-199.00M,206.00M,,17.00M,250.00M,-35.00M,-427.00M,217.00M,162.00M,,AOR,Restated
2007-09,386.00M,-22.00M,-22.00M,197.00M,197.00M,197.00M,41.00M,,14.00M,-12.00M,2.00M,,26.00M,42.00M,,58.00M,,674.00M,,-320.00M,36.00M,-284.00M,69.00M,,-215.00M,,-21.00M,-21.00M,12.00M,-342.00M,-330.00M,,-102.00M,,-453.00M,,399.00M,6.00M,405.00M,,12.00M,0.00,-21.00M,-342.00M,146.00M,44.00M,,AOR,Restated
2007-06,394.00M,-14.00M,-14.00M,196.00M,196.00M,196.00M,-19.00M,,19.00M,-10.00M,-14.00M,,23.00M,-24.00M,,-25.00M,,551.00M,,-339.00M,-203.00M,-542.00M,177.00M,236.00M,-129.00M,,-369.00M,-369.00M,154.00M,-151.00M,3.00M,,-86.00M,-41.00M,-493.00M,,470.00M,-71.00M,399.00M,,154.00M,0.00,-369.00M,-151.00M,240.00M,235.00M,,AOR,Restated
2007-03,285.00M,,,194.00M,194.00M,194.00M,-3.00M,,39.00M,1.00M,-10.00M,,31.00M,49.00M,,71.00M,,586.00M,,-236.00M,272.00M,36.00M,-56.00M,-236.00M,-256.00M,,-64.00M,-64.00M,,-276.00M,-276.00M,,-88.00M,41.00M,-387.00M,,527.00M,-57.00M,470.00M,,,0.00,-64.00M,-276.00M,,,,AOR,Restated
2006-12,385.00M,,,190.00M,190.00M,190.00M,34.00M,,-49.00M,36.00M,7.00M,,-95.00M,-108.00M,89.00M,-71.00M,,489.00M,,-316.00M,349.00M,33.00M,140.00M,-316.00M,-143.00M,,-27.00M,-27.00M,-240.00M,-48.00M,-288.00M,,-71.00M,297.00M,-89.00M,,270.00M,257.00M,527.00M,,-240.00M,,-27.00M,-48.00M,,,,AOR,Restated
2006-09,416.00M,,32.00M,188.00M,188.00M,188.00M,-15.00M,,-5.00M,-37.00M,-12.00M,,24.00M,53.00M,-25.00M,3.00M,,619.00M,,-283.00M,291.00M,8.00M,708.00M,-283.00M,433.00M,,-241.00M,-241.00M,-180.00M,-730.00M,-910.00M,,-74.00M,186.00M,-1.039B,,257.00M,13.00M,270.00M,,-180.00M,,-241.00M,-730.00M,-221.00M,-234.00M,,AOR,Restated
2006-06,375.00M,,-32.00M,187.00M,187.00M,187.00M,-26.00M,,19.00M,-5.00M,-3.00M,,32.00M,40.00M,1.00M,65.00M,,588.00M,,-323.00M,349.00M,26.00M,-386.00M,-323.00M,-683.00M,,-39.00M,-39.00M,170.00M,-119.00M,51.00M,,-67.00M,-119.00M,-174.00M,,526.00M,-269.00M,257.00M,,170.00M,,-39.00M,-119.00M,221.00M,234.00M,,AOR,Restated
2006-03,305.00M,,,185.00M,185.00M,185.00M,-1.00M,,-19.00M,-54.00M,-11.00M,,28.00M,53.00M,24.00M,40.00M,,510.00M,,-256.00M,308.00M,52.00M,-87.00M,-256.00M,-291.00M,,-32.00M,-32.00M,250.00M,-67.00M,183.00M,,-66.00M,-67.00M,18.00M,,289.00M,237.00M,526.00M,,250.00M,,-32.00M,-67.00M,,,,AOR,Restated
