,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.088B,2.088B,1.079B,1.009B,132.00M,0.00,0.00,,273.00M,,-273.00M,29.00M,518.00M,491.00M,,273.00M,-273.00M,107.00M,-273.00M,325.00M,55.00M,270.00M,,,-118.00M,,152.00M,148.68M,1.029B,431.00M,598.00M,0.18,,,,0.176,0.18,0.18,,,,0.176,0.18,827.51M,830.20M,0.34
2017-12,2.228B,2.228B,1.108B,1.12B,142.00M,,-686.00M,,265.00M,,-265.00M,37.00M,589.00M,531.00M,,265.00M,-265.00M,-744.00M,-265.00M,-478.00M,-2.10B,1.622B,,,65.00M,,1.687B,2.096B,215.00M,428.00M,-213.00M,2.042,,,,2.537,2.042,2.03,,,,2.523,2.03,826.93M,829.62M,0.3
2017-09,1.891B,1.891B,937.00M,954.00M,138.00M,,-115.00M,,267.00M,,-267.00M,24.00M,565.00M,389.00M,,267.00M,-267.00M,27.00M,-267.00M,149.00M,24.00M,125.00M,,,-92.00M,,33.00M,126.12M,849.00M,433.00M,416.00M,0.04,,,,0.1526,0.04,0.04,,,,0.1523,0.04,826.78M,829.37M,0.3
2017-06,1.924B,1.924B,970.00M,954.00M,153.00M,,-25.00M,,271.00M,,-271.00M,6.00M,551.00M,403.00M,,271.00M,-271.00M,126.00M,-271.00M,258.00M,65.00M,193.00M,,,-112.00M,,81.00M,98.21M,962.00M,433.00M,529.00M,0.1,,,,0.1208,0.1,0.1,,,,0.1208,0.1,826.43M,828.58M,0.3
2017-03,1.988B,1.988B,1.021B,967.00M,161.00M,,,,280.00M,,-280.00M,5.00M,537.00M,430.00M,,280.00M,-280.00M,456.00M,-280.00M,606.00M,37.00M,569.00M,,,-196.00M,,373.00M,117.61M,1.328B,442.00M,886.00M,0.45,,,,0.1403,0.45,0.45,,,,0.141,0.45,824.55M,826.48M,0.3
2016-12,2.198B,2.198B,982.00M,1.216B,166.00M,318.00M,-380.00M,,293.00M,,-293.00M,5.00M,584.00M,632.00M,,293.00M,-293.00M,-253.00M,-293.00M,86.00M,49.00M,37.00M,,,-52.00M,,-15.00M,213.60M,816.00M,437.00M,379.00M,-0.02,,,,0.2844,-0.02,-0.02,,,,0.2844,-0.02,750.96M,750.96M,0.2
2016-09,1.905B,1.905B,896.00M,1.009B,177.00M,0.00,-1.00M,,297.00M,,-297.00M,92.00M,663.00M,346.00M,,297.00M,-297.00M,151.00M,-297.00M,200.00M,69.00M,131.00M,,,-70.00M,,61.00M,43.32M,932.00M,435.00M,497.00M,0.08,,,,0.0564,0.08,0.08,,,,0.0565,0.08,750.75M,751.86M,0.2
2016-06,1.736B,1.736B,847.00M,889.00M,158.00M,0.00,-802.00M,,298.00M,,-298.00M,23.00M,575.00M,314.00M,,298.00M,-298.00M,-666.00M,-298.00M,-650.00M,-145.00M,-505.00M,,,100.00M,,-405.00M,204.11M,94.00M,446.00M,-352.00M,-0.54,,,,0.2714,-0.54,-0.54,,,,0.2714,-0.54,750.65M,750.65M,0.64
2016-03,1.66B,1.66B,763.00M,897.00M,221.00M,112.00M,-112.00M,,291.00M,,-291.00M,23.00M,635.00M,262.00M,,291.00M,-291.00M,18.00M,-291.00M,-11.00M,2.00M,-13.00M,,,-52.00M,,-65.00M,-8.60M,725.00M,445.00M,280.00M,-0.09,,,,-0.0148,-0.09,-0.09,,,,-0.0148,-0.09,750.33M,750.33M,0.64
2015-12,2.006B,2.006B,848.00M,1.158B,194.00M,898.00M,-2.176B,,268.00M,,-268.00M,7.00M,629.00M,529.00M,,268.00M,-268.00M,-2.045B,-268.00M,-1.784B,-447.00M,-1.337B,,,622.00M,,-715.00M,915.78M,-1.065B,451.00M,-1.516B,-0.9359,,,,1.239,-0.9359,-0.94,0.0,,,1.235,-0.94,749.91M,749.91M,0.64
2015-09,1.799B,1.799B,858.00M,941.00M,177.00M,461.00M,-463.00M,,263.00M,,-263.00M,3.00M,583.00M,358.00M,,263.00M,-263.00M,-333.00M,-263.00M,-238.00M,-65.00M,-173.00M,,,133.00M,,-40.00M,283.47M,457.00M,432.00M,25.00M,-0.05,,,,0.3814,-0.05,-0.05,,,,0.3814,-0.05,749.82M,749.82M,0.64
2015-06,1.839B,1.839B,922.00M,917.00M,174.00M,0.00,102.00M,,262.00M,,-262.00M,16.00M,627.00M,290.00M,,262.00M,-262.00M,238.00M,-262.00M,266.00M,83.00M,183.00M,,,-69.00M,,114.00M,37.64M,956.00M,428.00M,528.00M,0.1522,,,,0.0502,0.1522,0.15,,,,0.0486,0.15,749.25M,752.78M,0.59
2015-03,1.716B,1.716B,889.00M,827.00M,196.00M,0.00,0.00,,251.00M,,-251.00M,17.00M,600.00M,227.00M,,251.00M,-251.00M,67.00M,-251.00M,43.00M,30.00M,13.00M,,,57.00M,,70.00M,70.00M,721.00M,427.00M,294.00M,0.09,,,,0.09,0.09,0.09,,,,0.09,0.09,748.08M,752.03M,0.58
2014-12,2.141B,2.141B,1.095B,1.046B,204.00M,0.00,19.00M,,234.00M,,-234.00M,-144.00M,534.00M,512.00M,,234.00M,-234.00M,146.00M,-234.00M,424.00M,116.00M,308.00M,0.00,,-115.00M,,193.00M,179.20M,1.037B,379.00M,658.00M,0.2584,0.0,,,0.2399,0.2584,0.2584,0.0,,,0.24,0.2584,747.87M,752.21M,0.57
2014-09,2.069B,2.069B,1.176B,893.00M,171.00M,0.00,0.00,,210.00M,,-210.00M,3.00M,586.00M,307.00M,,210.00M,-210.00M,2.609B,-210.00M,2.706B,998.00M,1.708B,0.00,,-30.00M,,1.678B,1.671B,3.285B,369.00M,2.916B,2.24,0.0,,,2.231,2.24,2.22,0.0,,,2.211,2.22,747.41M,752.06M,0.56
2014-06,1.678B,1.678B,938.00M,740.00M,136.00M,,42.00M,,163.00M,,-163.00M,27.00M,471.00M,269.00M,,163.00M,-163.00M,101.00M,-163.00M,207.00M,84.00M,123.00M,4.00M,,-24.00M,,103.00M,60.00M,584.00M,214.00M,370.00M,0.14,0.01,,,0.084,0.15,0.14,0.01,,,0.0843,0.15,696.55M,700.70M,0.425
2014-03,1.749B,1.749B,983.00M,766.00M,150.00M,,119.00M,,140.00M,,-140.00M,17.00M,465.00M,301.00M,,140.00M,-140.00M,86.00M,-140.00M,247.00M,51.00M,196.00M,,,-56.00M,,140.00M,34.46M,601.00M,214.00M,387.00M,0.2,,,,0.0459,0.2,0.2,,,,0.0468,0.2,684.77M,688.90M,0.4025
2013-12,1.66B,1.66B,935.00M,725.00M,127.00M,,-10.00M,,131.00M,,-131.00M,48.00M,452.00M,273.00M,,131.00M,-131.00M,49.00M,-131.00M,191.00M,141.00M,50.00M,-1.00M,,-63.00M,,-14.00M,-18.85M,531.00M,209.00M,322.00M,-0.019,-0.0015,,,-0.0276,-0.0205,-0.02,-0.0015,,,-0.0285,-0.0205,683.56M,687.72M,0.38
2013-09,1.623B,1.623B,917.00M,706.00M,130.00M,,50.00M,,124.00M,,-124.00M,21.00M,420.00M,286.00M,,124.00M,-124.00M,98.00M,-124.00M,260.00M,62.00M,198.00M,-1.00M,,-56.00M,,141.00M,96.31M,591.00M,207.00M,384.00M,0.21,0.0,,,0.1431,0.21,0.2,0.0,,,0.1335,0.2,683.27M,687.31M,0.3662
2013-06,1.767B,1.767B,999.00M,768.00M,123.00M,,0.00,,127.00M,,-127.00M,4.00M,418.00M,350.00M,,127.00M,-127.00M,79.00M,-127.00M,302.00M,102.00M,200.00M,-8.00M,,-50.00M,,142.00M,124.17M,627.00M,198.00M,429.00M,0.22,-0.01,,,0.1822,0.21,0.22,-0.01,,,0.1824,0.21,682.89M,686.92M,0.3525
2013-03,1.81B,1.81B,991.00M,819.00M,132.00M,,0.00,,128.00M,,-128.00M,1.00M,393.00M,426.00M,,128.00M,-128.00M,29.00M,-128.00M,327.00M,96.00M,231.00M,-1.00M,,-69.00M,,161.00M,152.82M,656.00M,201.00M,455.00M,0.24,0.0,,,0.2265,0.24,0.23,0.0,,,0.2166,0.23,682.05M,687.14M,0.3388
2012-12,1.869B,1.869B,1.079B,790.00M,156.00M,,,,121.00M,,-121.00M,-7.00M,410.00M,380.00M,,121.00M,-121.00M,24.00M,-121.00M,283.00M,79.00M,204.00M,-2.00M,,,,-4.00M,-3.442M,615.00M,211.00M,404.00M,0.2217,-0.0029,,,0.2195,0.2188,0.2217,-0.0029,,,0.2195,0.2188,637.50M,642.65M,0.325
2012-09,1.752B,1.752B,967.00M,785.00M,137.00M,,,,129.00M,,-129.00M,14.00M,412.00M,373.00M,,129.00M,-129.00M,33.00M,-129.00M,277.00M,77.00M,200.00M,3.00M,,,,203.00M,197.83M,602.00M,196.00M,406.00M,0.25,0.0,,,0.2465,0.25,0.25,0.0,,,0.2466,0.25,626.81M,632.02M,0.3125
2012-06,1.846B,1.846B,1.081B,765.00M,149.00M,,,,128.00M,,-128.00M,9.00M,433.00M,332.00M,,128.00M,-128.00M,33.00M,-128.00M,237.00M,71.00M,166.00M,-1.00M,,-33.00M,,132.00M,130.90M,546.00M,181.00M,365.00M,0.21,0.0,,,0.2066,0.21,0.21,0.0,,,0.2066,0.21,621.48M,626.62M,0.3
2012-03,2.019B,2.019B,1.125B,894.00M,129.00M,,,,131.00M,,-131.00M,8.00M,367.00M,527.00M,,131.00M,-131.00M,96.00M,-131.00M,492.00M,133.00M,359.00M,136.00M,,,,495.00M,308.65M,791.00M,168.00M,623.00M,0.48,0.23,,,0.3951,0.71,0.47,0.23,,,0.3862,0.7,593.23M,600.52M,0.2588
2011-12,2.103B,2.103B,494.00M,1.609B,104.00M,,-405.00M,,126.00M,,-126.00M,,1.095B,514.00M,,126.00M,-126.00M,-226.00M,-126.00M,162.00M,4.00M,158.00M,-520.00M,,-82.00M,,-444.00M,471.00M,664.00M,376.00M,288.00M,0.13,-0.88,,,0.7995,-0.75,0.13,-0.88,,,0.7873,-0.75,589.97M,600.95M,0.25
2011-09,1.972B,1.972B,1.392B,580.00M,123.00M,,43.00M,,146.00M,,-146.00M,,123.00M,457.00M,,146.00M,-146.00M,43.00M,-146.00M,354.00M,33.00M,321.00M,21.00M,,-70.00M,,272.00M,212.01M,929.00M,429.00M,500.00M,0.43,0.03,,,0.3638,0.46,0.43,0.03,,,0.3647,0.46,588.95M,597.55M,0.2
2011-06,1.984B,1.984B,1.398B,586.00M,123.00M,,35.00M,,155.00M,5.00M,-150.00M,,123.00M,463.00M,5.00M,155.00M,-150.00M,35.00M,-150.00M,348.00M,109.00M,239.00M,58.00M,,-70.00M,,227.00M,144.96M,917.00M,414.00M,503.00M,0.29,0.1,,,0.2491,0.39,0.29,0.09,,,0.2498,0.38,588.31M,597.63M,0.2
2011-03,1.871B,1.871B,1.309B,562.00M,129.00M,,56.00M,,156.00M,5.00M,-151.00M,,129.00M,433.00M,5.00M,156.00M,-151.00M,56.00M,-151.00M,338.00M,-22.00M,360.00M,24.00M,,-63.00M,,321.00M,260.60M,889.00M,395.00M,494.00M,0.51,0.04,,,0.448,0.55,0.5,0.04,,,0.439,0.54,586.98M,596.57M,0.125
2010-12,-542.00M,-542.00M,-1.51B,968.00M,-25.00M,,1.514B,,116.00M,,-159.00M,,830.00M,138.00M,,116.00M,-159.00M,1.69B,-159.00M,1.669B,254.00M,1.415B,-1.187B,,-54.00M,,174.00M,77.41M,2.191B,406.00M,1.785B,2.33,-2.04,,,0.1363,0.29,2.33,-2.04,,,0.2247,0.29,585.11M,609.70M,0.125
2010-09,2.30B,2.30B,1.748B,552.00M,165.00M,,-1.613B,,158.00M,13.00M,-145.00M,,165.00M,387.00M,13.00M,158.00M,-145.00M,-1.613B,-145.00M,-1.371B,-150.00M,-1.221B,-5.00M,,-37.00M,,-1.263B,178.52M,-839.00M,374.00M,-1.213B,-2.15,-0.01,,,0.3067,-2.16,-2.15,-0.01,,,0.3067,-2.16,584.74M,584.74M,0.125
2010-06,2.289B,2.289B,1.717B,572.00M,168.00M,,66.00M,,154.00M,13.00M,-141.00M,,168.00M,404.00M,13.00M,154.00M,-141.00M,66.00M,-141.00M,329.00M,104.00M,225.00M,-3.00M,,-37.00M,,185.00M,142.86M,849.00M,366.00M,483.00M,0.32,0.0,,,0.2428,0.32,0.31,0.0,,,0.2338,0.31,584.41M,592.50M,0.125
2010-03,2.591B,2.591B,1.917B,674.00M,196.00M,,-573.00M,,164.00M,17.00M,-147.00M,,196.00M,478.00M,17.00M,164.00M,-147.00M,-573.00M,-147.00M,-242.00M,-94.00M,-148.00M,2.00M,,-47.00M,,-193.00M,155.43M,283.00M,361.00M,-78.00M,-0.33,0.0,,,0.2701,-0.33,-0.33,0.0,,,0.2701,-0.33,583.93M,583.93M,0.11
2009-12,-651.00M,-651.00M,-661.00M,10.00M,-4.00M,,78.00M,,159.00M,4.00M,-155.00M,,-32.00M,42.00M,4.00M,159.00M,-155.00M,78.00M,-155.00M,-35.00M,-19.00M,-16.00M,238.00M,,-50.00M,,172.00M,-116.70M,506.00M,382.00M,124.00M,-0.1,0.4,,,-0.1869,0.3,-0.1,0.4,,,-0.1869,0.3,583.33M,583.33M,0.11
2009-09,2.098B,2.098B,1.537B,561.00M,166.00M,,38.00M,,168.00M,15.00M,-153.00M,1.00M,167.00M,394.00M,15.00M,168.00M,-153.00M,38.00M,-153.00M,279.00M,87.00M,192.00M,2.00M,,-51.00M,,143.00M,114.85M,808.00M,361.00M,447.00M,0.24,0.0,,,0.1952,0.24,0.24,0.0,,,0.1957,0.24,583.10M,590.06M,0.11
2009-06,1.909B,1.909B,1.392B,517.00M,167.00M,,25.00M,,145.00M,,-145.00M,-1.00M,166.00M,351.00M,,145.00M,-145.00M,25.00M,-145.00M,231.00M,80.00M,151.00M,18.00M,,-27.00M,,142.00M,107.66M,735.00M,359.00M,376.00M,0.21,0.03,,,0.1819,0.24,0.21,0.03,,,0.1822,0.24,580.73M,588.78M,0.11
2009-03,1.922B,1.922B,1.444B,478.00M,165.00M,,-63.00M,,142.00M,,-142.00M,33.00M,198.00M,280.00M,,142.00M,-142.00M,-63.00M,-142.00M,75.00M,56.00M,19.00M,-243.00M,,52.00M,,-172.00M,111.95M,584.00M,367.00M,217.00M,0.0,-0.3,,,0.0707,-0.3,0.0,-0.3,,,0.0703,-0.3,579.50M,582.36M,0.11
2008-12,1.868B,1.868B,1.402B,466.00M,11.00M,,8.00M,,94.00M,,-94.00M,222.00M,233.00M,233.00M,,94.00M,-94.00M,8.00M,-94.00M,107.00M,-30.00M,137.00M,-5.00M,,-17.00M,,115.00M,114.80M,558.00M,357.00M,201.00M,0.22,-0.02,,,0.211,0.2,0.22,-0.02,,,0.2111,0.2,579.05M,586.99M,0.11
2008-09,3.201B,3.201B,2.344B,857.00M,167.00M,,67.00M,,162.00M,,-162.00M,1.00M,168.00M,689.00M,,162.00M,-162.00M,67.00M,-162.00M,610.00M,199.00M,411.00M,10.00M,,-55.00M,,366.00M,310.86M,1.071B,299.00M,772.00M,0.62,0.01,,,0.5418,0.63,0.61,0.01,,,0.5334,0.62,577.45M,589.14M,0.11
2008-06,3.729B,3.729B,,,173.00M,,90.00M,,,,,2.747B,2.92B,809.00M,,,,90.00M,,687.00M,268.00M,419.00M,18.00M,,-63.00M,,437.00M,364.11M,1.161B,352.00M,809.00M,0.72,0.03,,,0.6259,0.75,0.7,0.03,,,0.6079,0.73,583.40M,596.19M,0.11
2008-03,3.204B,3.204B,2.353B,851.00M,154.00M,,60.00M,-1.00M,157.00M,,-157.00M,-117.00M,36.00M,815.00M,,157.00M,-157.00M,60.00M,-157.00M,718.00M,263.00M,455.00M,84.00M,,-39.00M,,500.00M,377.98M,1.177B,302.00M,875.00M,0.71,0.14,,,0.6451,0.85,0.7,0.14,,,0.6365,0.84,585.52M,598.63M,0.1
2007-12,2.434B,2.434B,,,199.00M,,-236.00M,,,,,,-6.046B,473.00M,,,,-69.00M,,312.00M,107.00M,205.00M,19.00M,,,,224.00M,360.06M,882.00M,232.00M,650.00M,0.35,0.03,,,0.6127,0.38,0.35,0.03,,,0.6067,0.38,590.32M,604.18M,0.1
2007-09,2.86B,2.86B,,,148.00M,,87.00M,,,,,2.221B,2.369B,491.00M,,,,87.00M,,388.00M,160.00M,228.00M,-30.00M,,-28.00M,,198.00M,171.45M,824.00M,333.00M,491.00M,0.38,-0.05,,,0.2852,0.33,0.38,-0.05,,,0.2874,0.33,596.84M,610.65M,0.1
2007-06,2.824B,2.824B,,,143.00M,,87.00M,,,,,2.18B,2.323B,501.00M,,,,87.00M,,396.00M,152.00M,244.00M,189.00M,,-25.00M,,433.00M,190.39M,753.00M,252.00M,501.00M,0.4,0.32,,,0.3106,0.72,0.4,0.31,,,0.3126,0.71,599.52M,613.17M,0.1
2007-03,2.368B,2.368B,,,142.00M,,20.00M,,,,,1.843B,1.985B,383.00M,,,,20.00M,,274.00M,104.00M,170.00M,-36.00M,,-14.00M,,134.00M,157.59M,648.00M,265.00M,383.00M,0.28,-0.06,,,0.2593,0.22,0.28,-0.06,,,0.2597,0.22,598.03M,611.47M,0.09
2006-12,2.257B,2.257B,,,155.10M,,-325.70M,,,,,,-5.789B,480.50M,,,,-197.70M,,179.10M,18.00M,161.10M,-14.20M,,,,146.90M,454.07M,640.60M,238.10M,402.50M,0.27,-0.02,,,0.7607,0.25,0.26,-0.02,,,0.74,0.24,596.99M,610.37M,0.09
2006-09,2.512B,2.512B,,,148.00M,,61.00M,,,,,2.043B,2.191B,320.80M,,,,61.00M,,213.50M,100.60M,112.90M,-6.70M,,-12.10M,,106.20M,76.30M,541.20M,220.40M,320.80M,0.19,-0.01,,,0.1286,0.18,0.19,-0.01,,,0.1299,0.18,596.20M,609.06M,0.09
2006-06,2.220B,2.220B,,,129.50M,,-18.80M,,,,,1.942B,2.071B,148.50M,,,,-18.80M,,-54.50M,4.30M,-58.80M,-17.20M,,-8.30M,,-76.00M,-47.52M,359.00M,210.50M,148.50M,-0.1,-0.03,,,-0.0811,-0.13,-0.1,-0.03,,,-0.0811,-0.13,595.56M,595.56M,0.09
2006-03,3.028B,3.028B,,,80.50M,,28.00M,,,,,2.589B,2.669B,358.30M,,,,28.00M,,219.40M,88.30M,131.10M,0.80M,,-7.10M,,131.90M,114.30M,555.30M,197.00M,358.30M,0.22,0.0,,,0.1916,0.22,0.22,0.0,,,0.1923,0.22,591.41M,607.07M,0.075
2005-12,873.50M,873.50M,,,88.90M,,-97.70M,,,,,,-7.619B,607.70M,,,,-98.70M,,356.80M,132.40M,224.40M,-155.20M,,,,67.20M,285.85M,751.90M,184.20M,567.70M,0.39,-0.27,,,0.4972,0.12,0.37,-0.27,,,0.4709,0.11,573.40M,609.14M,0.075
2005-09,3.082B,3.082B,,,133.40M,,51.40M,,,,,2.826B,2.960B,122.70M,,,,51.40M,,3.10M,-2.60M,5.70M,-1.30M,,-6.80M,,4.40M,-25.14M,322.20M,199.50M,122.70M,0.01,0.0,,,-0.0439,0.01,0.01,0.0,,,-0.0431,0.01,572.54M,580.74M,0.075
2005-06,2.871B,2.871B,,,98.20M,,-13.80M,,,,,2.492B,2.590B,281.40M,,,,-13.80M,,82.40M,41.70M,40.70M,0.60M,,-4.80M,,41.30M,48.98M,459.50M,178.10M,281.40M,0.07,0.0,,,0.0845,0.07,0.07,0.0,,,0.0843,0.07,571.21M,578.90M,0.05
2005-03,2.954B,2.954B,,,101.50M,,38.30M,,,,,2.390B,2.492B,462.20M,,,,38.30M,,331.70M,129.50M,202.20M,-1.10M,,-5.20M,,201.10M,178.85M,640.40M,178.20M,462.20M,0.36,0.0,,,0.3186,0.36,0.34,0.0,,,0.3011,0.34,564.44M,599.42M,0.05
2004-12,2.964B,2.964B,,,133.10M,,-233.70M,,,,,2.291B,2.424B,540.00M,,,,-233.70M,,183.70M,88.20M,95.50M,-22.10M,,-5.40M,,73.40M,235.72M,722.60M,182.60M,540.00M,0.19,-0.05,,,0.4459,0.14,0.19,-0.05,,,0.4459,0.14,547.94M,547.94M,0.05
2004-09,3.375B,3.375B,,,113.50M,,19.60M,,,,,3.011B,3.124B,250.70M,,,,19.60M,,64.80M,48.60M,16.20M,82.40M,,-5.20M,,98.60M,4.44M,417.60M,166.90M,250.70M,0.03,0.16,,,0.0075,0.19,0.03,0.16,,,0.0078,0.19,523.11M,529.52M,0.01
2004-06,3.052B,3.052B,,,111.20M,,-9.60M,,,,,2.758B,2.869B,182.50M,,,,-9.60M,,-36.30M,-17.80M,-18.50M,0.30M,,-6.00M,,-18.20M,-12.74M,350.60M,168.10M,182.50M,-0.03,0.0,,,-0.019,-0.03,-0.03,0.0,,,-0.019,-0.03,521.70M,521.70M,0.01
2004-03,3.07B,3.07B,,,117.50M,,2.90M,,,,,2.691B,2.808B,261.60M,,,,2.90M,,17.10M,12.30M,4.80M,9.90M,,-4.80M,,9.90M,-1.74M,422.00M,160.40M,261.60M,0.0,0.02,,,-0.0033,0.02,0.0,0.02,,,-0.0033,0.02,519.48M,519.48M,0.01
2003-12,3.519B,3.519B,,,128.70M,,-339.80M,,,,,3.168B,3.297B,222.20M,,,,-339.80M,,-289.90M,-141.80M,-148.10M,94.40M,0.00,-4.30M,0.00,-53.70M,55.78M,393.20M,171.00M,222.20M,-0.29,0.18,0.0,,0.1081,-0.11,-0.29,0.18,-0.0042,,0.1081,-0.11,512.10M,512.10M,0.01
2003-09,4.743B,4.743B,,,113.90M,,69.10M,,,,,4.388B,4.502B,241.90M,,,,69.10M,,43.00M,23.00M,20.00M,86.30M,,-5.60M,,106.30M,-21.46M,406.00M,164.10M,241.90M,0.04,0.17,,,-0.04,0.21,0.04,0.16,,,-0.039,0.2,518.29M,524.71M,0.01
