,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2016-09,1.689B,632.70M,2.322B,753.60M,753.60M,99.70M,254.40M,,,3.429B,,,,,,,,,,1.067B,3.048B,113.20M,3.162B,1.220B,57.90M,40.90M,20.10M,96.30M,5.716B,9.145B,208.40M,,208.40M,207.20M,415.60M,,,,918.50M,918.50M,,1.508B,2.133B,,2.133B,385.60M,385.60M,,,140.50M,2.864B,4.373B,0.00,-3.470B,8.256B,,,,2016-09,AOR,Restated
2016-06,1.757B,587.10M,2.344B,750.30M,750.30M,104.90M,254.60M,,,3.454B,,,,,,,,,,1.067B,3.002B,75.30M,3.077B,1.236B,57.90M,40.80M,13.20M,70.80M,5.609B,9.063B,228.40M,,228.40M,221.20M,449.60M,,,,933.00M,933.00M,,1.582B,2.132B,,2.132B,362.60M,362.60M,,,109.90M,2.805B,4.387B,0.00,-3.596B,8.277B,,,,2016-06,AOR,Restated
2016-03,1.646B,599.40M,2.245B,783.90M,783.90M,90.90M,154.00M,,,3.274B,,,,,,,,,,1.047B,2.981B,37.30M,3.019B,1.279B,132.90M,45.90M,,43.30M,5.644B,8.918B,233.00M,,233.00M,208.50M,441.50M,,,,893.30M,893.30M,,1.515B,2.132B,,2.132B,366.70M,366.70M,,,75.40M,2.764B,4.280B,0.00,-3.685B,8.331B,,,,2016-03,AOR,Restated
2015-12,1.421B,527.10M,1.948B,780.70M,780.70M,91.40M,92.30M,,,2.912B,0.00,241.10M,246.10M,1.127B,,158.20M,203.40M,1.976B,-955.20M,1.021B,2.981B,33.90M,3.015B,1.347B,132.90M,28.90M,55.90M,44.60M,5.696B,8.608B,159.30M,,159.30M,250.30M,409.60M,,299.90M,299.90M,822.90M,822.90M,,1.802B,1.638B,,1.638B,345.20M,345.20M,,,61.60M,2.232B,4.034B,0.00,-3.741B,8.335B,,,,2015-12,AOR,Restated
2015-09,1.454B,529.90M,1.983B,577.50M,577.50M,63.60M,75.20M,198.40M,,2.898B,,,,,,,,,,959.90M,2.981B,46.90M,3.028B,1.355B,125.00M,36.70M,,42.60M,5.608B,8.506B,209.10M,,209.10M,217.80M,426.90M,,299.90M,299.90M,814.40M,814.40M,,1.735B,1.649B,,1.649B,310.50M,310.50M,,,198.70M,2.343B,4.078B,0.00,-3.887B,8.334B,,,,2015-09,AOR,Restated
2015-06,1.330B,517.70M,1.848B,533.00M,533.00M,66.10M,141.50M,138.30M,,2.727B,,,,,,,,,,921.20M,2.981B,52.80M,3.034B,1.320B,125.00M,36.60M,,57.00M,5.556B,8.283B,222.60M,,222.60M,217.30M,439.90M,,299.90M,299.90M,795.40M,795.40M,,1.762B,1.649B,,1.649B,309.00M,309.00M,,,134.50M,2.272B,4.035B,0.00,-4.058B,8.313B,,,,2015-06,AOR,Restated
2015-03,1.811B,398.20M,2.209B,507.60M,507.60M,59.00M,177.90M,148.20M,,3.102B,,,,,,,,,,912.20M,2.981B,58.80M,3.040B,1.335B,125.00M,33.40M,,55.80M,5.565B,8.667B,223.60M,,223.60M,221.50M,445.10M,,299.90M,299.90M,855.50M,855.50M,,1.770B,1.649B,,1.649B,319.20M,319.20M,,,132.30M,2.279B,4.050B,0.00,-3.938B,8.585B,,,,2015-03,AOR,Restated
2014-12,1.640B,332.20M,1.972B,598.90M,598.90M,54.50M,185.40M,,,2.811B,0.00,241.00M,238.40M,1.001B,,70.30M,179.50M,1.730B,-825.90M,904.30M,2.982B,71.00M,3.052B,1.223B,125.00M,36.90M,,54.00M,5.471B,8.281B,234.60M,,234.60M,273.00M,507.60M,,,,780.80M,780.80M,,1.513B,1.349B,,1.349B,294.90M,294.90M,,,27.50M,1.849B,3.362B,0.00,-3.861B,8.794B,,,,2014-12,AOR,Restated
2014-09,1.616B,299.50M,1.915B,617.00M,617.00M,43.80M,162.70M,157.50M,,3.063B,,,,,,,,,,888.80M,3.912B,100.20M,4.012B,1.485B,,38.20M,,52.70M,6.506B,9.569B,242.20M,,242.20M,244.60M,486.80M,,,,728.40M,728.40M,40.50M,1.449B,1.349B,,1.349B,345.60M,345.60M,,,80.90M,1.930B,3.379B,0.00,-2.964B,9.157B,,,,2014-09,AOR,Restated
2014-06,2.160B,460.50M,2.620B,560.80M,560.80M,35.40M,129.80M,151.40M,,3.498B,,,,,,,,,,889.90M,4.072B,114.80M,4.186B,1.412B,,39.60M,,78.00M,6.640B,10.14B,246.30M,,246.30M,291.60M,537.90M,,,,803.20M,803.20M,,1.574B,1.349B,,1.349B,370.10M,370.10M,,,107.60M,1.952B,3.526B,0.00,-2.727B,9.326B,,,,2014-06,AOR,Restated
2014-03,2.579B,378.10M,2.958B,597.90M,597.90M,54.70M,129.30M,140.40M,,3.880B,,,,,,,,,,905.70M,4.071B,124.60M,4.196B,579.90M,,40.90M,,86.50M,5.844B,9.724B,222.20M,,222.20M,271.00M,493.20M,,,,772.50M,772.50M,,1.446B,1.349B,,1.349B,381.70M,381.70M,,,115.50M,1.968B,3.414B,0.00,-2.948B,9.255B,,,,2014-03,AOR,Restated
2013-12,2.284B,561.90M,2.846B,578.30M,578.30M,37.50M,162.40M,79.80M,,3.704B,0.00,238.90M,242.60M,945.50M,,79.50M,202.60M,1.709B,-826.80M,882.30M,4.058B,197.30M,4.255B,1.309B,0.00,39.90M,,104.70M,6.622B,10.33B,200.40M,,200.40M,261.30M,461.70M,,,,705.80M,705.80M,,1.441B,999.30M,,999.30M,363.50M,363.50M,,,105.20M,1.582B,3.024B,0.00,-2.631B,9.869B,,,,2013-12,AOR,Restated
2013-09,2.272B,573.70M,2.845B,549.30M,549.30M,55.20M,101.30M,129.40M,,3.680B,,,,,,,,,,868.20M,4.058B,115.90M,4.174B,1.189B,,,,286.90M,6.517B,10.20B,205.60M,,205.60M,242.90M,448.50M,28.60M,,,731.90M,731.90M,,1.401B,999.30M,,999.30M,289.30M,289.30M,,0.00,79.30M,1.485B,2.886B,0.00,-2.709B,9.954B,,,,2013-09,AOR,Restated
2013-06,2.250B,542.90M,2.793B,509.10M,509.10M,50.10M,160.80M,141.30M,,3.654B,,,,,,,,,,855.30M,4.058B,123.60M,4.181B,1.026B,,,,296.60M,6.360B,10.01B,206.40M,,206.40M,221.90M,428.30M,29.00M,,,750.40M,750.40M,,1.423B,999.30M,,999.30M,277.60M,277.60M,,0.00,80.70M,1.473B,2.896B,0.00,-2.778B,9.900B,,,,2013-06,AOR,Restated
2013-03,2.044B,613.10M,2.657B,532.60M,532.60M,54.10M,145.10M,151.40M,,3.54B,,,,,,,,,,839.00M,4.058B,131.20M,4.189B,1.015B,,,,247.20M,6.290B,9.830B,223.80M,,223.80M,191.30M,415.10M,29.40M,,,774.70M,774.70M,,1.424B,999.20M,,999.20M,206.00M,206.00M,,0.50M,58.00M,1.350B,2.774B,0.00,-2.862B,9.923B,,,,2013-03,AOR,Restated
2012-12,2.408B,441.50M,2.849B,438.40M,438.40M,57.20M,83.20M,172.60M,,3.601B,0.00,208.20M,206.10M,847.10M,,112.70M,206.50M,1.581B,-768.70M,811.90M,4.058B,213.30M,4.271B,1.020B,,,,106.40M,6.231B,9.832B,209.30M,,209.30M,239.90M,449.20M,,,,693.50M,693.50M,,1.422B,999.20M,,999.20M,229.90M,229.90M,,0.50M,69.10M,1.411B,2.833B,0.00,-2.911B,9.906B,,,,2012-12,AOR,Restated
2012-09,2.708B,439.28M,3.147B,397.08M,397.08M,,168.62M,229.37M,,3.942B,,,,,,,,,,768.53M,3.987B,118.66M,4.106B,900.77M,,,,243.27M,6.018B,9.961B,224.24M,67.00M,291.24M,208.75M,499.99M,,,,771.71M,771.71M,,1.502B,999.14M,,999.14M,221.22M,221.22M,,0.476M,41.62M,1.379B,2.881B,0.005M,-2.968B,10.04B,,,,2012-09,AOR,Restated
2012-06,3.044B,394.51M,3.439B,406.76M,406.76M,,206.77M,177.41M,,4.230B,,,,,,,,,,711.95M,3.988B,143.77M,4.131B,832.97M,,,,140.12M,5.817B,10.05B,199.56M,24.94M,224.50M,210.15M,434.66M,,,,773.28M,773.28M,,1.453B,999.11M,,999.11M,219.62M,219.62M,,0.476M,57.19M,1.384B,2.837B,0.005M,-2.938B,10.15B,,,,2012-06,AOR,Restated
2012-03,2.913B,517.40M,3.430B,450.99M,450.99M,,181.32M,168.21M,,4.231B,,,,,,,,,,647.41M,3.988B,152.54M,4.140B,785.28M,,,,141.06M,5.714B,9.945B,195.42M,2.566M,197.99M,192.89M,390.87M,,,,760.62M,760.62M,,1.361B,999.07M,,999.07M,238.96M,238.96M,,0.476M,61.90M,1.411B,2.772B,0.005M,-2.975B,10.15B,,,,2012-03,AOR,Restated
2011-12,2.910B,641.30M,3.552B,577.40M,577.40M,69.10M,87.20M,154.30M,,4.440B,0.00,208.20M,6.20M,742.20M,,99.70M,204.10M,1.260B,-661.80M,598.60M,3.928B,123.10M,4.051B,740.70M,,,,153.60M,5.544B,9.984B,324.90M,12.50M,337.40M,165.40M,502.80M,28.30M,,,712.60M,712.60M,,1.467B,999.00M,,999.00M,254.40M,254.40M,,0.50M,65.50M,1.427B,2.894B,0.00,-2.972B,10.08B,,,,2011-12,AOR,Restated
2011-09,2.722B,632.40M,3.355B,444.00M,444.00M,,165.20M,167.55M,,4.132B,,,,,,,,,,576.42M,3.929B,130.03M,4.059B,775.46M,,,,165.07M,5.576B,9.707B,262.59M,36.74M,299.34M,205.90M,505.24M,,,,668.82M,668.82M,,1.367B,999.00M,,999.00M,216.97M,216.97M,,0.476M,74.62M,1.402B,2.769B,0.005M,-3.069B,10.01B,,,,2011-09,AOR,Restated
2011-06,2.838B,631.78M,3.470B,488.04M,488.04M,,175.20M,152.86M,,4.286B,,,,,,,,,,544.39M,3.928B,136.74M,4.065B,750.60M,,,,147.56M,5.507B,9.793B,250.07M,32.25M,282.32M,223.12M,505.44M,,,,707.42M,707.42M,,1.429B,998.96M,,998.96M,222.80M,222.80M,,0.468M,73.82M,1.402B,2.831B,0.005M,-3.091B,10.04B,,,,2011-06,AOR,Restated
2011-03,2.944B,493.56M,3.438B,471.01M,471.01M,,235.44M,160.03M,,4.304B,,,,,,,,,,516.44M,3.927B,143.51M,4.071B,645.61M,,,,156.43M,5.389B,9.694B,228.28M,25.65M,253.93M,227.83M,481.76M,,,,733.25M,733.25M,,1.404B,1.101B,,1.101B,217.02M,217.02M,,0.51M,75.53M,1.393B,2.797B,0.005M,-3.112B,9.998B,,,,2011-03,AOR,Restated
2010-12,1.812B,474.51M,2.286B,596.62M,596.62M,,169.81M,161.54M,,3.214B,0.00,214.50M,,672.80M,-0.019M,,178.10M,1.065B,-571.50M,493.88M,3.928B,121.80M,4.050B,535.18M,,,0.00,174.81M,5.253B,8.468B,292.27M,25.00M,317.27M,494.44M,811.71M,,,,660.26M,660.26M,,1.472B,,,,224.16M,224.16M,,0.60M,162.91M,387.08M,1.859B,0.005M,-3.108B,9.718B,,,,2010-12,AOR,Restated
2010-06,1.660B,563.32M,2.223B,391.54M,391.54M,,59.57M,224.79M,,2.899B,,,,,,,,,,466.17M,3.712B,23.36M,3.735B,512.82M,,,8.205M,122.74M,4.845B,7.744B,243.23M,53.58M,296.80M,379.64M,676.44M,,,,544.58M,544.58M,,1.221B,94.95M,,94.95M,223.22M,223.22M,,0.956M,33.34M,351.50M,1.573B,0.005M,-3.182B,9.363B,,,,2010-06,AOR,Restated
2010-03,1.724B,592.68M,2.317B,402.93M,402.93M,,67.86M,209.56M,,2.997B,,,,,,,,,,457.96M,3.659B,12.67M,3.671B,450.45M,,,9.784M,92.29M,4.682B,7.679B,230.33M,60.90M,291.23M,343.95M,635.18M,,,,619.97M,619.97M,,1.255B,92.58M,,92.58M,169.92M,169.92M,,2.124M,39.76M,302.26M,1.557B,0.005M,-3.144B,9.268B,,,,2010-03,AOR,Restated
2009-12,1.605B,570.52M,2.175B,458.65M,458.65M,,48.74M,196.32M,,2.879B,0.00,201.60M,,562.20M,-0.049M,,158.80M,922.55M,-466.90M,455.65M,3.659B,13.83M,3.672B,483.50M,,,10.56M,89.16M,4.711B,7.590B,242.59M,34.94M,277.53M,526.61M,804.13M,,,,571.65M,571.65M,,1.376B,,,,181.94M,181.94M,,2.629M,207.78M,389.71M,1.765B,0.005M,-3.237B,9.060B,,,,2009-12,AOR,Restated
2009-09,1.619B,448.99M,2.068B,373.24M,373.24M,,52.72M,160.23M,,2.654B,,,,,,,,,,449.81M,3.659B,15.90M,3.674B,531.51M,,,14.08M,90.77M,4.761B,7.414B,243.58M,61.14M,304.73M,297.71M,602.44M,,,,480.83M,480.83M,,1.083B,173.34M,,173.34M,162.36M,162.36M,,,38.05M,373.76M,1.457B,0.005M,-3.052B,9.006B,,,,2009-09,AOR,Restated
2009-06,1.554B,423.96M,1.978B,429.13M,429.13M,,49.59M,138.33M,,2.595B,,,,,,,,,,448.30M,3.659B,18.59M,3.677B,420.50M,,,8.695M,75.93M,4.631B,7.226B,236.53M,35.67M,272.20M,293.68M,565.88M,,,,495.97M,495.97M,,1.062B,161.05M,,161.05M,152.62M,152.62M,,,33.42M,347.09M,1.409B,0.005M,-3.064B,8.882B,,,,2009-06,AOR,Restated
2009-03,2.005B,212.62M,2.218B,361.96M,361.96M,,40.98M,137.28M,,2.758B,,,,,,,,,,435.23M,3.659B,23.50M,3.682B,89.98M,,,30.59M,70.43M,4.308B,7.066B,215.71M,41.84M,257.54M,266.37M,523.92M,,,,473.06M,473.06M,,996.98M,80.58M,,80.58M,139.29M,139.29M,,,19.63M,239.50M,1.236B,0.005M,-3.030B,8.878B,,,,2009-03,AOR,Restated
2008-12,2.019B,172.90M,2.192B,429.97M,429.97M,,49.03M,145.23M,,2.816B,0.00,0.1924M,,0.4206M,436.49M,,0.1432M,437.25M,-0.3779M,436.87M,3.659B,28.86M,3.687B,101.42M,,,71.08M,74.31M,4.371B,7.187B,249.85M,33.05M,282.90M,313.96M,596.86M,,,,459.75M,459.75M,,1.057B,78.16M,,78.16M,130.51M,130.51M,,0.00,20.65M,229.33M,1.286B,0.005M,-2.906B,8.811B,,,,2008-12,,Restated
2008-09,1.778B,242.44M,2.021B,368.60M,368.60M,,40.74M,172.01M,,2.602B,,,,,,,,632.51M,-205.30M,427.21M,3.659B,35.42M,3.694B,,,,,268.10M,4.389B,6.992B,231.13M,,231.13M,265.04M,496.17M,,,,433.34M,433.34M,53.24M,982.74M,,,,,,,,,232.10M,1.215B,0.005M,-2.996B,8.778B,,,,2008-09,,
2008-06,2.040B,263.25M,2.304B,423.79M,423.79M,,42.06M,174.28M,,2.944B,,,,,,,,627.73M,-205.30M,422.43M,3.659B,41.98M,3.701B,,,,,193.20M,4.316B,7.260B,233.71M,,233.71M,286.80M,520.51M,,,,467.09M,467.09M,40.47M,1.028B,,,,,,,,,226.60M,1.255B,0.005M,-2.704B,8.699B,,,,2008-06,,
2008-03,2.037B,146.78M,2.184B,369.06M,369.06M,,34.80M,178.71M,,2.767B,,,,,,,,612.89M,-205.30M,407.59M,3.659B,51.35M,3.710B,,,,,174.88M,4.292B,7.059B,212.39M,,212.39M,246.65M,459.04M,,399.44M,399.44M,475.86M,475.86M,67.39M,1.402B,,,,,,,,,175.16M,1.577B,0.005M,-2.756B,8.223B,,,,2008-03,,
2007-12,1.716B,240.36M,1.956B,379.76M,379.76M,,47.29M,171.60M,,2.555B,,,,,,,,678.22M,-276.40M,401.82M,3.659B,77.84M,3.736B,,,,59.02M,133.00M,4.330B,6.885B,219.10M,,219.10M,283.34M,502.44M,,399.50M,399.50M,425.58M,425.58M,52.32M,1.380B,,,,,,,,,151.70M,1.532B,0.005M,-2.813B,8.155B,,,,2007-12,,
2007-09,1.349B,272.96M,1.622B,279.53M,279.53M,,53.16M,149.98M,,2.105B,,,,,,,,594.96M,-205.30M,389.66M,3.659B,99.40M,3.758B,,,,52.71M,198.51M,4.399B,6.504B,205.67M,,205.67M,243.30M,448.97M,,399.76M,399.76M,383.49M,383.49M,,1.232B,,,,,,,,,111.81M,1.344B,0.005M,-2.936B,8.084B,,,,2007-09,,
2007-06,860.07M,342.96M,1.203B,258.84M,258.84M,,49.57M,158.85M,,1.670B,,,,,,,,585.34M,-205.30M,380.04M,3.651B,120.98M,3.772B,,,,57.98M,236.12M,4.446B,6.117B,176.67M,,176.67M,229.95M,406.62M,,399.94M,399.94M,381.93M,381.93M,14.25M,1.203B,,,,,,,,,113.43M,1.316B,0.005M,-3.025B,7.815B,,,,2007-06,,
2007-03,2.038B,426.72M,2.465B,257.84M,257.84M,,48.15M,166.77M,,2.937B,,,,,,,,565.96M,-205.30M,360.66M,3.650B,145.09M,3.795B,,,,54.92M,326.76M,4.537B,7.474B,180.46M,,180.46M,241.05M,421.52M,,,,327.71M,327.71M,,749.23M,399.94M,,399.94M,,,,,127.48M,527.42M,1.277B,0.006M,-1.518B,7.712B,,,,2007-03,,
2006-12,1.596B,443.91M,2.040B,249.44M,249.44M,,52.13M,179.99M,,2.522B,0.00,192.40M,85.30M,246.20M,31.33M,,,555.23M,-205.30M,349.93M,3.625B,169.20M,3.794B,,,,51.50M,651.31M,4.847B,7.368B,179.55M,,179.55M,232.31M,411.86M,,,,312.25M,312.25M,38.50M,762.62M,399.94M,,399.94M,,,,,90.75M,490.69M,1.253B,0.006M,-1.532B,7.646B,4.70M,-3.434M,,2006-12,,
2006-09,1.333B,514.22M,1.848B,285.46M,285.46M,,37.94M,123.97M,,2.295B,,,,,,,,497.14M,-161.32M,335.83M,3.625B,192.96M,3.818B,,,,116.88M,640.20M,4.911B,7.206B,159.51M,,159.51M,187.30M,346.81M,,,,282.48M,282.48M,61.38M,690.66M,399.94M,,399.94M,,,,,88.34M,488.28M,1.179B,0.006M,-1.603B,7.632B,,,,2006-09,,
