,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-03,1.485B,1.485B,,8.457M,8.457M,8.964M,-8.964M,,8.457M,8.964M,-8.964M,-4.966M,-8.964M,338.41M,46.77M,291.64M,,291.64M,291.64M,,347.38M,7.12,,7.12,7.12,7.07,,7.07,7.07,40.53M,40.80M,1.25
2016-12,1.614B,1.614B,,5.828M,5.828M,9.034M,-9.034M,,5.828M,9.034M,-9.034M,10.36M,-9.034M,415.59M,42.02M,373.57M,,373.57M,373.57M,,424.62M,9.14,,9.14,9.14,9.08,,9.08,9.08,40.44M,40.72M,1.25
2016-09,1.510B,1.510B,,6.40M,6.40M,8.893M,-8.893M,,6.40M,8.893M,-8.893M,9.435M,-8.893M,320.89M,25.49M,295.39M,,295.39M,295.39M,,329.78M,7.11,,7.11,7.11,7.06,,7.06,7.06,41.10M,41.39M,1.15
2016-06,1.428B,1.428B,,7.117M,7.117M,9.073M,-9.073M,,7.117M,9.073M,-9.073M,-28.37M,-9.073M,186.30M,30.61M,155.69M,,155.69M,155.69M,,195.37M,3.7,,3.7,3.7,3.67,,3.67,3.67,41.65M,41.95M,1.15
2016-03,1.242B,1.242B,,7.886M,7.886M,9.228M,-9.228M,,7.886M,9.228M,-9.228M,-2.066M,-9.228M,177.07M,5.381M,171.69M,,171.69M,171.69M,,186.30M,4.03,,4.03,4.03,4.0,,4.0,4.0,42.13M,42.46M,1.15
2015-12,1.519B,1.519B,,5.942M,5.942M,9.185M,-9.185M,,5.942M,9.185M,-9.185M,13.81M,-9.185M,420.43M,63.15M,357.28M,,357.28M,357.28M,,429.62M,8.32,,8.32,8.32,8.26,,8.26,8.26,42.48M,42.82M,1.15
2015-09,1.332B,1.332B,,5.924M,5.924M,8.99M,-8.99M,,5.924M,8.99M,-8.99M,25.25M,-8.99M,82.42M,-6.133M,88.55M,,88.55M,88.55M,,91.41M,2.02,,2.02,2.02,2.0,,2.0,2.0,43.36M,43.73M,0.95
2015-06,1.390B,1.390B,,5.925M,5.925M,9.026M,-9.026M,,5.925M,9.026M,-9.026M,-2.064M,-9.026M,244.89M,35.83M,209.06M,,209.06M,209.06M,,253.92M,4.72,,4.72,4.72,4.68,,4.68,4.68,43.80M,44.20M,0.95
2015-03,1.436B,1.436B,,5.463M,5.463M,8.99M,-8.99M,,5.463M,8.99M,-8.99M,51.28M,-8.99M,364.14M,41.17M,322.98M,,322.98M,322.98M,,373.14M,7.26,,7.26,7.26,7.19,,7.19,7.19,44.03M,44.44M,0.95
2014-12,1.407B,1.407B,,4.619M,4.619M,9.563M,-9.563M,,4.619M,9.563M,-9.563M,38.14M,-9.563M,347.66M,49.70M,297.96M,,340.12M,340.12M,,357.22M,7.54,,7.54,7.54,7.47,,7.47,7.47,44.66M,45.08M,0.95
2014-09,1.536B,1.536B,,9.958M,9.958M,12.42M,-12.42M,,9.958M,12.42M,-12.42M,11.33M,-12.42M,322.11M,20.86M,301.25M,-26.34M,274.92M,274.92M,,334.53M,6.05,,6.05,6.05,6.0,,6.0,6.0,44.94M,45.36M,0.75
2014-06,1.452B,1.452B,,3.899M,3.899M,8.978M,-8.978M,,3.899M,8.978M,-8.978M,-13.87M,-8.978M,361.78M,63.86M,297.92M,-7.741M,290.18M,290.18M,,370.76M,6.32,,6.32,6.32,6.26,,6.26,6.26,45.44M,45.86M,0.75
2014-03,1.284B,1.284B,,4.945M,4.945M,7.568M,-7.568M,,4.945M,7.568M,-7.568M,-3.296M,-7.568M,355.25M,53.23M,302.02M,-8.089M,293.93M,293.93M,,362.82M,6.26,,6.26,6.26,6.21,,6.21,6.21,46.48M,46.91M,0.75
2013-12,1.517B,1.517B,,8.174M,8.174M,7.638M,-7.638M,,8.174M,7.638M,-7.638M,-2.169M,-7.638M,452.12M,85.37M,366.75M,-2.11M,364.64M,364.64M,,459.76M,7.62,,7.62,7.62,7.54,,7.54,7.54,47.39M,47.92M,0.75
2013-09,1.401B,1.401B,,4.758M,4.758M,7.637M,-7.637M,,4.758M,7.637M,-7.637M,-2.726M,-7.637M,310.55M,72.03M,238.53M,-3.768M,234.76M,234.76M,,318.19M,4.85,,4.85,4.85,4.81,,4.81,4.81,47.92M,48.33M,0.48
2013-06,1.355B,1.355B,,6.168M,6.168M,17.36M,-17.36M,,6.168M,17.36M,-17.36M,8.295M,-17.36M,322.46M,46.81M,275.64M,0.00,275.64M,275.64M,,339.82M,5.6,,5.6,5.6,5.56,,5.56,5.56,48.76M,49.15M,0.48
2013-03,1.368B,1.368B,,5.717M,5.717M,13.48M,-13.48M,,5.717M,13.48M,-13.48M,-8.887M,-13.48M,469.84M,85.50M,384.34M,0.00,384.34M,384.34M,,483.32M,7.56,,7.56,7.56,7.5,,7.5,7.5,50.42M,50.82M,0.48
2012-12,1.273B,1.273B,,7.293M,7.293M,13.93M,-13.93M,,7.293M,13.93M,-13.93M,-12.36M,-13.93M,38.10M,-20.68M,58.78M,0.00,58.78M,58.78M,,52.03M,1.14,,1.14,1.14,1.13,,1.13,1.13,51.24M,51.46M,0.48
2012-09,1.219B,1.219B,,5.947M,5.947M,13.33M,-13.33M,,5.947M,13.33M,-13.33M,-5.943M,-13.33M,319.20M,68.28M,250.92M,0.00,250.92M,250.92M,,332.54M,4.84,,4.84,4.84,4.82,,4.82,4.82,51.44M,51.67M,0.48
2012-06,1.182B,1.182B,,6.075M,6.075M,13.24M,-13.24M,,6.075M,13.24M,-13.24M,27.81M,-13.24M,239.40M,24.85M,214.55M,,214.55M,214.55M,,252.65M,4.1,,4.1,4.1,4.08,,4.08,4.08,51.86M,52.03M,0.48
2012-03,1.249B,1.249B,,4.661M,4.661M,13.18M,-13.18M,,4.661M,13.18M,-13.18M,-6.194M,-13.18M,342.82M,38.12M,304.70M,,304.70M,304.70M,,356.00M,5.7,,5.7,5.7,5.68,,5.68,5.68,53.05M,53.17M,0.48
2011-12,1.286B,1.286B,,4.539M,-697.26M,13.12M,-13.12M,,-697.26M,13.12M,-13.12M,8.655M,-13.12M,-42.49M,-83.53M,41.04M,,41.04M,41.04M,,-29.37M,0.75,,0.75,0.75,0.75,,0.75,0.75,53.34M,53.43M,0.48
2011-09,1.025B,1.025B,227.97M,4.204M,232.17M,13.08M,-13.08M,,232.17M,13.08M,-13.08M,-14.91M,-13.08M,9.388M,-53.67M,63.05M,,63.05M,63.05M,,22.47M,1.16,0.0,1.16,1.16,1.16,0.0,1.16,1.16,53.82M,53.89M,0.48
2011-06,1.177B,1.177B,237.37M,3.79M,241.16M,13.12M,-13.12M,,241.16M,13.12M,-13.12M,-13.45M,-13.12M,140.82M,9.513M,131.31M,,131.31M,131.31M,,153.94M,2.42,0.0,2.42,2.42,2.41,0.0,2.41,2.41,53.95M,54.11M,0.48
2011-03,1.206B,1.206B,236.46M,3.928M,240.38M,13.00M,-13.00M,,240.38M,13.00M,-13.00M,-3.387M,-13.00M,-341.67M,-25.78M,-315.89M,,-315.89M,-315.89M,,-328.67M,-5.81,0.0,-5.81,-5.81,-5.81,0.0,-5.81,-5.81,54.06M,54.36M,0.48
2010-12,1.258B,1.258B,,2.535M,-684.09M,13.03M,-13.03M,,-684.09M,13.03M,-13.03M,2.076M,-13.03M,236.23M,-66.31M,302.53M,,302.53M,302.53M,,249.26M,5.38,,5.38,5.38,5.37,,5.37,5.37,54.41M,54.60M,0.48
2010-09,1.178B,1.178B,237.47M,3.917M,241.39M,13.14M,-13.14M,,241.39M,13.14M,-13.14M,1.714M,-13.14M,204.44M,30.24M,174.20M,,174.20M,174.20M,,217.58M,3.12,0.0,3.12,3.12,3.11,0.0,3.11,3.11,55.53M,55.66M,0.48
2010-06,1.099B,1.099B,236.49M,3.887M,240.38M,13.02M,-13.02M,,240.38M,13.02M,-13.02M,7.798M,-13.02M,160.34M,3.667M,156.67M,,156.67M,156.67M,,173.36M,2.7,0.0,2.7,2.7,2.7,0.0,2.7,2.7,57.69M,57.81M,0.48
2010-03,1.170B,1.170B,212.66M,4.575M,217.24M,16.64M,-16.64M,,217.24M,16.64M,-16.64M,5.339M,-16.64M,-9.767M,12.88M,-22.65M,,-22.65M,-22.65M,,6.875M,-0.38,0.0,-0.38,-0.38,-0.38,0.0,-0.38,-0.38,58.93M,59.11M,0.48
2009-12,1.181B,1.181B,243.82M,5.027M,248.85M,17.45M,-17.45M,,248.85M,17.45M,-17.45M,-84.28M,-17.45M,219.69M,22.46M,197.23M,,197.23M,197.23M,,237.14M,3.29,0.0,3.29,3.29,3.28,0.0,3.28,3.28,59.75M,59.85M,0.48
2009-09,1.157B,1.157B,229.26M,4.433M,233.69M,17.38M,-17.38M,,233.69M,17.38M,-17.38M,-15.32M,-17.38M,273.69M,45.07M,228.62M,,228.62M,228.62M,,291.07M,3.76,0.0,3.76,3.76,3.75,0.0,3.75,3.75,60.50M,60.73M,0.48
2009-06,1.171B,1.171B,229.21M,4.367M,233.58M,17.12M,-17.12M,,233.58M,17.12M,-17.12M,2.389M,-17.12M,312.87M,40.28M,272.59M,,272.59M,272.59M,,329.98M,4.44,0.0,4.44,4.44,4.43,0.0,4.43,4.43,61.12M,61.26M,0.48
2009-03,989.30M,989.30M,226.04M,,226.04M,20.14M,-20.14M,3.78M,229.82M,20.14M,-20.14M,-5.18M,-20.14M,133.08M,24.52M,108.56M,,108.56M,108.56M,,153.22M,1.77,0.0,1.77,1.77,1.76,0.0,1.76,1.76,61.29M,61.43M,0.48
2008-12,722.78M,722.78M,240.79M,,240.79M,19.80M,-19.80M,,240.79M,19.80M,-19.80M,-5.537M,-19.80M,-55.06M,-38.47M,-16.59M,,-16.59M,-16.59M,,-35.26M,-0.26,0.0,-0.26,-0.26,-0.26,0.0,-0.26,-0.26,61.27M,61.44M,0.48
2008-09,809.67M,809.67M,218.04M,,218.04M,19.80M,-19.80M,,218.04M,19.80M,-19.80M,6.70M,-19.80M,-282.17M,-49.04M,-233.13M,,-233.13M,-233.13M,,-262.38M,-3.79,0.0,-3.79,-3.79,-3.79,0.0,-3.79,-3.79,61.40M,61.63M,0.48
2008-06,1.078B,1.078B,244.71M,,244.71M,19.79M,-19.79M,,244.71M,19.79M,-19.79M,-8.086M,-19.79M,169.38M,16.36M,153.03M,,153.03M,153.03M,,189.18M,2.48,0.0,2.48,2.48,2.46,0.0,2.46,2.46,61.66M,62.21M,0.48
2008-03,916.77M,916.77M,227.15M,,227.15M,19.79M,-19.79M,,227.15M,19.79M,-19.79M,-8.956M,-19.79M,84.24M,6.305M,77.93M,,77.93M,77.93M,,104.02M,1.25,0.0,1.25,1.25,1.24,0.0,1.24,1.24,62.38M,62.86M,0.48
2007-12,1.109B,1.109B,261.58M,,261.58M,23.02M,-23.02M,,261.58M,23.02M,-23.02M,3.452M,-23.02M,5.685M,-6.553M,12.24M,,12.24M,12.24M,,28.71M,0.23,0.0,0.23,0.23,0.23,0.0,0.23,0.23,62.66M,63.12M,0.48
2007-09,1.202B,1.202B,240.14M,,240.14M,26.83M,-26.83M,,240.14M,26.83M,-26.83M,13.57M,-26.83M,311.49M,64.90M,246.59M,,246.59M,246.59M,,338.32M,3.93,0.0,3.93,3.93,3.9,0.0,3.9,3.9,62.75M,63.27M,0.48
2007-06,1.269B,1.269B,234.42M,,234.42M,24.24M,-24.24M,,234.42M,24.24M,-24.24M,-2.049M,-24.24M,353.42M,70.55M,282.87M,,282.87M,282.87M,,377.66M,4.5,0.0,4.5,4.5,4.45,0.0,4.45,4.45,62.90M,63.52M,0.48
2007-03,1.202B,1.202B,,,,,,243.12M,243.12M,,,0.897M,,357.37M,59.79M,297.58M,,297.58M,297.58M,,357.37M,4.64,0.0,4.64,4.64,4.59,0.0,4.59,4.59,64.17M,64.76M,0.48
2006-12,1.173B,1.173B,,,,17.15M,-17.15M,223.69M,223.69M,17.15M,-17.15M,-0.586M,-17.15M,245.78M,39.43M,206.35M,,206.35M,206.35M,,262.93M,3.18,0.0,3.18,3.18,3.16,0.0,3.16,3.16,64.83M,65.32M,0.24
2006-09,1.114B,1.114B,,,,17.15M,-17.15M,216.30M,216.30M,17.15M,-17.15M,-0.575M,-17.15M,299.66M,53.98M,245.68M,,245.68M,245.68M,,316.80M,3.8,0.0,3.8,3.8,3.76,0.0,3.76,3.76,64.73M,65.38M,0.12
2006-06,1.053B,1.053B,,,,17.15M,-17.15M,206.74M,206.74M,17.15M,-17.15M,3.591M,-17.15M,251.56M,31.16M,220.40M,,220.40M,220.40M,,268.71M,3.41,0.0,3.41,3.41,3.38,0.0,3.38,3.38,64.71M,65.26M,0.12
2006-03,1.178B,1.178B,,,,17.15M,-17.15M,237.83M,237.83M,17.15M,-17.15M,-2.728M,-17.15M,194.75M,26.35M,168.40M,,168.40M,168.40M,,211.90M,2.61,0.0,2.61,2.61,2.57,0.0,2.57,2.57,64.62M,65.44M,0.12
2005-12,1.071B,1.071B,,,,17.15M,-17.15M,211.61M,211.61M,17.15M,-17.15M,-1.848M,-17.15M,-238.85M,-76.65M,-162.20M,,-162.20M,-162.20M,7.795M,-221.70M,-2.79,0.0,-2.79,-2.79,-2.79,0.0,-2.79,-2.79,61.82M,61.82M,0.11
2005-09,1.104B,1.104B,,,,17.15M,-17.15M,205.02M,205.02M,17.15M,-17.15M,-0.939M,-17.15M,-470.74M,-52.99M,-417.74M,,-417.74M,-417.74M,8.297M,-453.59M,-7.41,0.0,-7.41,-7.41,-7.41,0.0,-7.41,-7.41,56.36M,56.36M,0.11
2005-06,1.251B,1.251B,,,,17.07M,-17.07M,276.92M,276.92M,17.07M,-17.07M,-6.305M,-17.07M,235.04M,40.86M,194.18M,,194.18M,194.18M,,252.11M,3.45,0.0,3.45,3.45,3.4,0.0,3.4,3.4,56.27M,57.13M,0.11
2005-03,1.137B,1.137B,,,,21.60M,-21.60M,222.75M,222.75M,21.60M,-21.60M,-4.662M,-21.60M,193.63M,26.53M,167.10M,,167.10M,167.10M,,215.22M,2.98,0.0,2.98,2.98,2.93,0.0,2.93,2.93,56.14M,57.08M,0.11
2004-12,1.371B,1.371B,,,,23.30M,-23.30M,3.581B,3.581B,23.30M,-23.30M,13.04M,-23.30M,79.52M,-13.75M,93.37M,,93.37M,93.37M,,102.82M,1.67,0.0,1.67,1.67,1.64,0.0,1.64,1.64,55.99M,56.88M,0.1
2004-09,1.264B,1.264B,,,,19.10M,-19.10M,248.41M,248.41M,19.10M,-19.10M,-10.18M,-19.10M,7.768M,-3.695M,11.46M,,11.46M,11.46M,,26.87M,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,55.99M,56.71M,0.1
2004-06,1.264B,1.264B,,,,19.32M,-19.32M,214.89M,214.89M,19.32M,-19.32M,6.333M,-19.32M,326.03M,62.06M,263.97M,,263.97M,263.97M,,345.35M,4.72,0.0,4.72,4.72,4.64,0.0,4.64,4.64,55.93M,56.86M,0.1
2004-03,1.119B,1.119B,,,,14.48M,-14.48M,222.78M,222.78M,14.48M,-14.48M,-2.292M,-14.48M,146.38M,20.28M,126.10M,,126.10M,126.10M,,160.86M,2.26,0.0,2.26,2.26,2.22,0.0,2.22,2.22,55.77M,56.83M,0.1
2003-12,1.213B,1.213B,,,,14.31M,-14.31M,264.17M,264.17M,14.31M,-14.31M,8.453M,-14.31M,143.30M,21.52M,121.78M,,121.78M,121.78M,,157.61M,2.2,0.0,2.2,2.2,2.15,0.0,2.15,2.15,55.55M,56.82M,0.09
2003-09,1.120B,1.120B,,,,14.31M,-14.31M,232.55M,232.55M,14.31M,-14.31M,3.36M,-14.31M,112.02M,11.70M,100.33M,,100.33M,100.33M,,126.33M,1.81,0.0,1.81,1.81,1.77,0.0,1.77,1.77,55.50M,56.56M,0.09
2003-06,952.77M,952.77M,,,,14.33M,-14.33M,204.41M,204.41M,14.33M,-14.33M,-3.148M,-14.33M,125.07M,15.52M,109.56M,,109.56M,109.56M,,139.40M,2.03,0.0,2.03,2.03,1.99,0.0,1.99,1.99,54.10M,55.09M,0.09
2003-03,821.29M,821.29M,,,,14.34M,-14.34M,162.80M,162.80M,14.34M,-14.34M,-3.847M,-14.34M,110.81M,16.45M,94.37M,,94.37M,94.37M,,125.15M,1.85,0.0,1.85,1.85,1.83,0.0,1.83,1.83,50.90M,51.52M,0.09
2002-12,806.37M,806.37M,,,,12.66M,-12.66M,,,12.66M,-12.66M,1.441M,-12.66M,57.82M,2.255M,55.56M,,55.56M,55.56M,-1.691M,70.48M,1.09,0.0,1.09,1.09,1.07,0.0,1.07,1.07,50.88M,51.63M,0.08
2002-09,623.00M,623.00M,,,,10.70M,-10.70M,127.96M,127.96M,10.70M,-10.70M,-11.33M,-10.70M,74.97M,13.70M,61.27M,,61.27M,61.27M,-1.659M,85.66M,1.2,0.0,1.2,1.2,1.19,0.0,1.19,1.19,50.98M,51.63M,0.08
2002-06,554.35M,554.35M,,,,10.58M,-10.58M,120.32M,120.32M,10.58M,-10.58M,-7.798M,-10.58M,53.55M,0.145M,53.41M,,53.41M,53.41M,-2.116M,64.13M,1.04,0.0,1.04,1.04,1.02,0.0,1.02,1.02,51.30M,52.18M,0.08
2002-03,573.98M,573.98M,,,,10.64M,-10.64M,121.01M,121.01M,10.64M,-10.64M,1.087M,-10.64M,75.70M,14.64M,61.06M,,61.06M,61.06M,-1.87M,86.34M,1.27,0.0,1.27,1.27,1.24,0.0,1.24,1.24,48.11M,49.09M,0.08
2001-12,480.73M,480.73M,,,,10.74M,-10.74M,108.02M,108.02M,10.74M,-10.74M,16.85M,-10.74M,40.05M,4.688M,35.36M,,35.36M,35.36M,,50.79M,0.76,0.0,0.76,0.76,0.75,0.0,0.75,0.75,46.27M,47.26M,0.07
2001-09,424.09M,424.09M,,,,11.30M,-11.30M,109.70M,109.70M,11.30M,-11.30M,-1.879M,-11.30M,-78.72M,-34.95M,-43.76M,,-43.76M,-43.76M,-2.197M,-67.42M,-0.95,0.0,-0.95,-0.95,-0.95,0.0,-0.95,-0.95,46.23M,46.23M,0.07
2001-06,484.99M,484.99M,,,,11.54M,-11.54M,,,11.54M,-11.54M,92.19M,-11.54M,0.00,12.59M,57.29M,,57.29M,57.29M,,11.54M,1.24,0.0,1.24,1.24,1.22,0.0,1.22,1.22,46.14M,47.09M,0.07
2001-03,409.73M,409.73M,,,,12.42M,-12.42M,81.96M,81.96M,12.42M,-12.42M,0.141M,-12.42M,59.13M,9.002M,50.13M,,50.13M,50.13M,,71.55M,1.09,0.0,1.09,1.09,1.07,0.0,1.07,1.07,46.06M,47.00M,0.07
2000-12,417.73M,417.73M,,,,12.76M,-12.76M,94.65M,94.65M,12.76M,-12.76M,3.103M,-12.76M,61.62M,10.21M,51.41M,,51.41M,51.41M,7.593M,74.38M,1.12,0.0,1.12,1.12,1.1,0.0,1.1,1.1,45.95M,46.89M,0.06
2000-09,370.60M,370.60M,,,,11.93M,-11.93M,65.86M,65.86M,11.93M,-11.93M,0.605M,-11.93M,60.03M,12.34M,47.69M,,47.69M,47.69M,-2.41M,71.96M,1.04,0.0,1.04,1.04,1.03,0.0,1.03,1.03,45.83M,46.41M,0.06
2000-06,351.65M,351.65M,,,,11.61M,-11.61M,46.27M,46.27M,11.61M,-11.61M,-0.37M,-11.61M,47.07M,8.34M,38.73M,,38.73M,38.73M,,58.68M,0.85,0.0,0.85,0.85,0.84,0.0,0.84,0.84,45.82M,46.12M,0.06
2000-03,339.84M,339.84M,,,,3.083M,-3.083M,65.66M,65.66M,3.083M,-3.083M,0.81M,-3.083M,63.04M,14.48M,48.56M,,48.56M,48.56M,,66.12M,1.06,0.0,1.06,1.06,1.06,0.0,1.06,1.06,45.89M,46.00M,0.06
1999-12,1.647B,1.647B,,,,0.79M,-0.79M,,,0.79M,-0.79M,1.135B,-0.79M,196.58M,10.12M,39.56M,,39.56M,39.56M,,197.37M,0.84,0.0,0.84,0.84,0.84,0.0,0.84,0.84,47.14M,47.23M,0.06
1999-09,341.90M,341.90M,,,,0.50M,-0.50M,,,0.50M,-0.50M,56.40M,-0.50M,0.00,8.80M,39.20M,,39.20M,39.20M,,0.50M,0.81,0.0,0.81,0.81,0.8,0.0,0.8,0.8,48.40M,49.00M,0.06
1999-06,330.70M,330.70M,,,,,,,,,,55.30M,,0.00,8.80M,38.10M,,38.10M,38.10M,,0.00,0.78,0.0,0.78,0.78,0.78,0.0,0.78,0.78,48.68M,48.90M,0.06
1999-03,294.10M,294.10M,,,,,,,,,,60.00M,,0.00,10.80M,41.20M,,41.20M,41.20M,,0.00,0.83,0.0,0.83,0.83,0.82,0.0,0.82,0.82,49.80M,50.03M,0.06
1998-12,354.50M,354.50M,,,,,,,,,,-187.12M,,212.68M,10.28M,39.70M,,39.70M,39.70M,,212.68M,0.79,0.0,0.79,0.79,0.79,0.0,0.79,0.79,50.29M,50.29M,0.05
1998-09,327.40M,327.40M,,,,,,,,,,62.20M,,0.00,11.50M,42.10M,,42.10M,42.10M,,0.00,0.83,0.0,0.83,0.83,0.83,0.0,0.83,0.83,50.72M,50.72M,0.05
1998-06,330.40M,330.40M,,,,,,,,,,65.70M,,0.00,13.50M,43.50M,,43.50M,43.50M,,0.00,0.86,0.0,0.86,0.86,0.86,0.0,0.86,0.86,50.58M,50.58M,0.05
