,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2014-12,190.50M,25.90M,25.90M,168.50M,168.50M,-64.70M,,18.00M,-21.00M,108.00M,15.90M,174.60M,,-489.10M,-190.60M,126.60M,-71.00M,-8.80M,-8.80M,34.00M,0.00,1.50M,,-83.40M,-0.80M,-32.70M,-33.50M,,,,,19.60M,0.20M,-13.70M,199.60M,29.50M,-3.60M,225.50M,,1.60B,-1.601B,
2014-09,499.40M,22.50M,22.50M,133.70M,133.70M,-157.60M,,15.50M,33.80M,-90.20M,14.80M,-87.50M,,56.30M,-106.60M,440.70M,-385.90M,3.80M,3.80M,-318.90M,-17.00M,1.50M,,-397.60M,0.00,118.20M,118.20M,,,,,4.30M,-148.70M,-26.20M,193.90M,16.90M,-11.20M,199.60M,,395.00M,-395.00M,
2014-06,126.60M,20.30M,20.30M,129.20M,129.20M,-84.50M,,17.10M,80.60M,-298.10M,-90.20M,57.30M,,221.10M,-109.90M,179.40M,-87.30M,5.00M,5.00M,-6.30M,-33.00M,-2.80M,,-118.10M,0.00,-122.20M,-122.20M,,,,,8.00M,1.30M,-112.90M,243.00M,-51.60M,2.50M,193.90M,,40.00M,-40.00M,
2014-03,116.60M,22.70M,22.70M,135.20M,135.20M,-8.40M,,15.40M,53.10M,49.10M,-88.00M,-66.20M,,38.60M,-66.50M,268.10M,-201.30M,,,-129.00M,,0.10M,,-201.20M,-60.00M,-71.10M,-131.10M,,,,,21.90M,-5.40M,-114.60M,291.30M,-47.70M,-0.60M,243.00M,,200.00M,-260.00M,
2013-12,180.90M,21.50M,21.50M,142.10M,142.10M,-55.20M,,11.00M,23.10M,-250.80M,20.20M,15.20M,,309.90M,94.50M,417.90M,-137.90M,25.30M,25.30M,-41.80M,-1.211B,-3.00M,-179.00M,-1.506B,1.593B,-94.70M,1.499B,,-500.00M,-500.00M,,19.50M,-9.30M,1.009B,364.90M,-78.80M,5.20M,291.30M,,2.616B,-1.023B,-500.00M
2013-09,159.40M,5.20M,5.20M,126.90M,126.90M,-15.20M,,12.70M,33.60M,-195.10M,-8.10M,82.10M,,213.20M,92.10M,414.70M,-118.30M,0.00,0.00,-5.50M,-13.80M,-1.50M,1.60M,-132.00M,-340.00M,122.20M,-217.80M,,0.00,0.00,,18.00M,-8.50M,-208.30M,277.40M,74.40M,13.10M,364.90M,,600.00M,-940.00M,0.00
2013-06,178.70M,7.90M,7.90M,118.10M,118.10M,14.80M,,11.20M,8.80M,-184.30M,-50.30M,9.80M,,71.70M,-153.10M,186.40M,-81.90M,0.00,0.00,-9.30M,-5.00M,-4.50M,2.50M,-88.90M,-44.60M,-71.20M,-115.80M,,0.00,0.00,,10.60M,-9.10M,-114.30M,294.40M,-16.80M,-0.20M,277.40M,,1.233B,-1.278B,0.00
2013-03,107.50M,,,128.90M,128.90M,-31.50M,,12.10M,47.00M,76.70M,-118.90M,29.00M,,-163.20M,-176.40M,87.60M,-57.40M,,,-4.30M,-32.10M,0.30M,-53.10M,-142.30M,285.60M,185.10M,470.70M,,-500.00M,-500.00M,,28.10M,7.80M,6.60M,350.00M,-48.10M,-7.50M,294.40M,,525.00M,-239.40M,-500.00M
2012-12,162.27M,,,128.78M,128.78M,-34.95M,,10.50M,61.89M,-111.72M,-50.55M,50.66M,,57.36M,-54.25M,291.04M,-225.78M,-0.038M,-0.038M,,0.00,2.265M,77.18M,-146.37M,383.98M,-113.88M,270.10M,,-499.95M,-499.95M,,91.32M,12.28M,-126.24M,332.32M,18.42M,-0.785M,350.00M,,1.183B,-799.42M,-499.95M
2012-09,212.09M,,,171.17M,171.17M,-16.87M,,9.664M,37.72M,44.93M,-11.81M,22.55M,,-7.08M,48.59M,462.37M,-61.00M,16.34M,16.34M,,0.00,-2.676M,-4.608M,-51.94M,-433.83M,5.067M,-428.76M,,0.00,0.00,,24.81M,1.08M,-402.88M,314.33M,7.548M,10.44M,332.32M,,25.00M,-458.83M,0.00
2012-06,139.17M,,,122.98M,122.98M,-51.83M,,10.13M,56.80M,-132.93M,-39.54M,39.83M,,158.05M,25.41M,302.66M,-63.17M,,,,0.00,-1.291M,6.799M,-57.66M,341.26M,-27.94M,313.31M,,-499.95M,-499.95M,,10.49M,1.837M,-174.31M,258.04M,70.69M,-14.40M,314.33M,,400.00M,-58.74M,-499.95M
2012-03,129.47M,,,123.67M,123.67M,-5.25M,,12.30M,59.69M,-155.08M,-70.10M,-81.64M,,-120.13M,-426.95M,-107.07M,-35.74M,,,,0.00,-0.098M,-72.38M,-108.22M,-238.81M,311.05M,72.25M,,0.00,0.00,,17.18M,2.498M,91.93M,375.06M,-123.36M,6.345M,258.04M,,435.00M,-673.81M,0.00
2011-12,129.89M,,,124.24M,124.24M,-58.85M,,9.773M,57.48M,-236.58M,-39.05M,236.68M,,27.34M,-11.62M,294.09M,-111.37M,-2.40M,-2.40M,,,-1.623M,16.92M,-178.99M,-180.05M,-38.34M,-218.38M,,0.00,0.00,,2.703M,-17.02M,-232.70M,512.84M,-117.61M,-20.18M,375.06M,,1.458B,-1.638B,0.00
2011-09,157.38M,,-26.21M,141.57M,141.57M,55.45M,,11.60M,29.64M,217.91M,-41.55M,-142.94M,,-76.70M,-43.27M,282.99M,-57.06M,2.40M,2.40M,,,0.811M,12.40M,-41.45M,-3.686M,17.80M,14.11M,,0.00,0.00,,3.869M,-147.92M,-129.94M,434.94M,111.60M,-33.70M,512.84M,,0.00,-3.686M,0.00
2011-06,146.99M,,2.244M,125.33M,125.33M,-61.12M,,10.94M,12.39M,-121.56M,-70.27M,110.75M,,33.24M,-47.84M,188.93M,-70.07M,,,,,-0.157M,2.006M,-68.22M,-1.261M,10.48M,9.224M,,-350.00M,-350.00M,0.00,38.02M,2.418M,-300.33M,608.09M,-179.63M,6.484M,434.94M,,0.00,-1.261M,-350.00M
2011-03,104.54M,,23.97M,119.55M,119.55M,7.114M,,10.26M,60.06M,-178.64M,-69.73M,26.11M,,-148.82M,-371.08M,-45.58M,-41.34M,,,,,-2.162M,0.126M,-43.38M,-1.205M,-5.561M,-6.766M,,,,0.00,23.14M,1.602M,17.98M,662.05M,-70.98M,17.01M,608.09M,,0.00,-1.205M,
2010-12,20.80M,,-14.30M,112.92M,112.92M,89.74M,,7.229M,109.65M,-42.86M,-25.39M,-45.98M,,-17.35M,-131.58M,194.46M,-96.52M,0.00,0.00,,-6.653M,0.142M,-1.677M,-104.71M,-22.84M,17.62M,-5.224M,,0.00,0.00,-34.76M,17.44M,-5.38M,-27.92M,610.92M,61.82M,-10.69M,662.05M,,787.33M,-810.18M,0.00
2010-09,143.54M,,1.461M,104.94M,104.94M,-21.93M,,8.539M,-8.14M,171.56M,-25.31M,-86.42M,,89.57M,149.40M,377.81M,-42.97M,4.947M,4.947M,,-556.11M,-7.723M,35.55M,-566.31M,35.98M,-22.66M,13.32M,,0.00,0.00,-34.76M,1.208M,-23.70M,-43.94M,809.42M,-232.43M,33.93M,610.92M,,319.30M,-283.32M,0.00
2010-06,181.20M,,12.10M,102.47M,102.47M,21.84M,,8.367M,1.455M,-110.57M,13.40M,-69.05M,,-42.75M,-208.98M,118.46M,-33.14M,,,,,6.617M,-0.117M,-26.64M,228.88M,23.86M,252.74M,,0.00,0.00,-34.76M,11.04M,,229.02M,522.44M,320.84M,-33.86M,809.42M,,1.25B,-1.021B,0.00
2010-03,,,0.734M,102.47M,102.47M,-78.36M,,7.25M,117.27M,3.729M,-57.43M,244.72M,,-99.70M,91.32M,240.67M,-20.16M,,,,,-1.99M,-5.602M,-27.75M,-0.778M,-46.23M,-47.01M,,,,-34.76M,24.97M,,-56.80M,380.52M,156.12M,-14.19M,522.44M,,,-0.778M,
2009-12,47.42M,-1.196M,51.79M,104.21M,104.21M,-72.61M,,7.575M,67.21M,-224.19M,8.922M,277.66M,,-209.46M,-147.07M,58.52M,-71.27M,0.00,0.00,,23.77M,4.56M,-9.12M,-52.06M,-196.50M,8.828M,-187.68M,,,,-34.76M,10.82M,,-211.62M,584.41M,-205.15M,1.251M,380.52M,,0.212M,-196.46M,
2009-09,-4.42M,,114.28M,103.59M,103.59M,-5.417M,,8.939M,50.70M,-0.253M,-11.03M,-81.21M,,35.16M,-57.33M,210.33M,-30.13M,0.00,0.00,,-37.85M,-8.259M,-0.383M,-76.62M,25.08M,18.48M,43.56M,,,,-34.76M,7.386M,0.023M,16.21M,429.48M,149.93M,5.008M,584.41M,,6.236M,37.32M,
2009-06,95.67M,0.771M,0.137M,98.72M,98.72M,-53.15M,,6.247M,22.22M,6.455M,3.541M,27.13M,,2.913M,40.04M,209.89M,-21.91M,,,,-173.36M,16.84M,1.705M,-176.72M,-20.61M,-11.77M,-32.38M,,,,-34.76M,0.908M,-0.869M,-67.10M,453.06M,-33.93M,10.35M,429.48M,,0.00,-32.38M,
2009-03,109.07M,-0.771M,-2.888M,94.64M,94.64M,-23.47M,,8.405M,40.65M,42.19M,18.68M,-62.81M,,-98.14M,-100.09M,126.33M,-31.09M,,,,,2.578M,-1.085M,-29.60M,-151.55M,-6.968M,-158.52M,,,,-34.76M,0.509M,0.846M,-191.92M,557.15M,-95.20M,-8.886M,453.06M,,,-158.52M,
2008-12,-2.625M,-0.996M,-0.996M,97.49M,97.49M,-117.41M,72.52M,7.451M,-3.247M,-37.15M,15.48M,222.85M,,-129.66M,71.52M,135.27M,-63.41M,,,,0.00,5.08M,4.715M,-53.62M,-279.74M,-19.82M,-299.55M,,,,-34.76M,0.093M,146.36M,-187.86M,655.67M,-106.20M,7.685M,557.15M,,-46.25M,-279.54M,
2008-09,216.97M,-0.533M,1.323M,107.60M,107.60M,129.46M,0.00,7.609M,-15.73M,31.48M,-38.56M,57.00M,,-410.24M,-360.31M,86.92M,-30.75M,,,,0.00,4.551M,10.07M,-16.13M,244.40M,5.051M,249.45M,,,,-34.76M,63.02M,-161.43M,116.29M,478.51M,187.08M,-9.92M,655.67M,,578.84M,-329.39M,
2008-06,18.37M,-1.19M,-3.046M,109.68M,109.68M,13.48M,0.00,8.777M,67.03M,-227.28M,-21.79M,-95.00M,,-38.48M,-382.54M,-168.26M,-25.47M,,,,0.00,0.841M,-6.837M,-31.47M,-19.29M,26.75M,7.46M,,,,-34.76M,0.395M,-0.018M,-26.92M,692.55M,-226.64M,12.60M,478.51M,,26.75M,-19.29M,
2008-03,-413.93M,-1.442M,-1.442M,110.51M,110.51M,-219.09M,385.00M,6.802M,-4.368M,60.50M,-38.47M,130.31M,,314.69M,467.03M,330.51M,-45.48M,,,,,37.21M,-43.34M,-51.61M,-49.73M,14.26M,-35.47M,,,,-33.22M,0.238M,0.013M,-68.44M,484.20M,210.45M,-2.102M,692.55M,,22.02M,-57.49M,
2007-09,149.83M,,-131.80M,27.34M,27.34M,20.73M,,,68.34M,-150.98M,4.457M,32.97M,-17.23M,0.525M,-130.25M,4.173M,-29.48M,,-29.48M,,,110.99M,-3.041M,78.47M,,,-181.32M,1.122M,,1.122M,-14.92M,,1.654M,-193.46M,1.316B,-110.82M,-1.096M,1.204B,1.122M,,,
2007-06,79.73M,,40.96M,26.87M,26.87M,-11.66M,,,12.50M,-35.49M,2.632M,-39.64M,9.425M,-0.767M,-63.84M,84.55M,-27.87M,,-27.87M,,,-3.068M,-0.306M,-31.24M,,,-3.824M,6.081M,,6.081M,-14.90M,,18.52M,5.873M,1.252B,59.18M,4.011M,1.316B,6.081M,,,
2007-03,59.02M,,6.631M,-17.20M,-17.20M,-11.98M,,,-12.89M,153.22M,-43.02M,-17.14M,32.05M,13.54M,138.65M,162.23M,-24.48M,,-24.48M,,-210.60M,79.61M,1.758M,-153.72M,,,184.20M,29.22M,,29.22M,-8.141M,,-25.40M,179.88M,1.204B,188.40M,-2.915M,1.252B,29.22M,,,
2006-12,5.137M,,-21.18M,54.83M,54.83M,-30.82M,,,182.03M,-177.38M,38.29M,-3.987M,42.70M,-17.85M,-118.22M,71.78M,-87.57M,,-87.57M,,-550.45M,198.27M,-1.269M,-441.02M,,,557.05M,701.94M,,701.94M,-17.36M,,31.83M,1.273B,159.79M,904.22M,2.883M,1.204B,701.94M,,,
2006-09,77.54M,,11.27M,12.10M,12.10M,7.659M,,,6.647M,5.316M,-13.51M,-0.086M,-48.60M,4.958M,-51.92M,63.30M,-22.08M,,-22.08M,,,-37.93M,-0.737M,-60.75M,,,6.667M,15.40M,,15.40M,-12.65M,,-6.102M,3.32M,153.92M,5.863M,,159.79M,15.40M,,,
2006-06,75.59M,,2.702M,11.79M,11.79M,-15.35M,,,21.92M,-41.92M,-10.75M,-8.094M,47.41M,9.594M,-3.761M,92.89M,-27.72M,,-27.72M,,,-47.37M,-0.159M,-75.25M,,,-7.605M,6.301M,,6.301M,-12.60M,,0.068M,-13.84M,150.12M,3.799M,,153.92M,6.301M,,,
2006-03,57.65M,,24.04M,11.69M,11.69M,-8.764M,,,,-57.45M,-25.28M,13.51M,-14.60M,82.24M,-1.573M,98.81M,-26.82M,,-26.82M,,,18.49M,-2.272M,-10.60M,,,-56.29M,21.77M,-39.48M,-17.71M,-12.60M,,-21.80M,-108.42M,170.33M,-20.21M,,150.12M,21.77M,,,-39.48M
2005-12,48.21M,,5.79M,11.21M,11.21M,-2.214M,,,,15.14M,1.261M,9.628M,29.56M,4.085M,59.68M,122.67M,-25.55M,,-25.55M,,,61.38M,-1.734M,34.10M,,,-35.99M,18.48M,-137.37M,-118.89M,-12.90M,,-0.746M,-168.53M,182.09M,-11.76M,,170.33M,18.48M,,,-137.37M
2005-09,35.77M,,14.40M,12.42M,12.42M,4.624M,,,,32.82M,5.71M,24.53M,-42.02M,0.37M,21.42M,88.64M,-26.17M,,-26.17M,,,95.89M,0.138M,69.86M,,,780.22M,11.63M,-1.081B,-1.069B,-16.18M,,-13.90M,-319.24M,342.83M,-160.74M,,182.09M,11.63M,,,-1.081B
2005-06,42.92M,,34.38M,11.50M,11.50M,-17.28M,,,,28.56M,24.32M,-27.14M,3.226M,5.941M,34.92M,106.44M,-25.14M,,-25.14M,,,128.72M,-1.842M,101.74M,,,,5.005M,,5.005M,-8.078M,,,-3.073M,137.73M,205.10M,,342.83M,5.005M,,,
2005-03,38.14M,,99.51M,11.67M,11.67M,-35.02M,,,,-179.99M,6.118M,-12.14M,44.02M,1.224M,-140.77M,-18.51M,-27.54M,,-27.54M,,,-19.72M,-1.832M,-49.09M,,,43.81M,0.707M,,0.707M,-32.26M,,,12.25M,183.31M,-55.35M,,137.73M,0.707M,,,
2004-12,34.77M,,-0.96M,11.38M,11.38M,3.468M,,,,15.51M,4.219M,18.08M,-11.20M,-10.56M,16.06M,64.71M,-25.01M,,-25.01M,,,18.71M,3.551M,-2.75M,,,-24.18M,1.311M,,1.311M,16.11M,,,-6.761M,128.11M,55.20M,,183.31M,1.311M,,,
2004-09,48.65M,,-7.812M,11.09M,11.09M,1.39M,,,,3.03M,18.97M,-15.07M,-48.85M,-3.175M,-45.08M,8.235M,-18.70M,,-18.70M,,,-33.37M,-0.317M,-52.38M,,,,5.013M,,5.013M,-8.06M,,,-3.047M,175.30M,-47.19M,,128.11M,5.013M,,,
2004-06,82.03M,,37.41M,10.96M,10.96M,-6.741M,,,,-31.34M,5.219M,17.20M,38.04M,-3.50M,25.61M,149.28M,-19.50M,,-19.50M,,,-53.14M,1.97M,-70.67M,,,,3.037M,,3.037M,-8.052M,,,-5.015M,101.71M,73.59M,,175.30M,3.037M,,,
2004-03,74.85M,,-30.84M,11.60M,11.60M,6.333M,,,0.765M,31.66M,-9.192M,-23.01M,-45.42M,-0.153M,-46.12M,16.59M,-29.47M,0.00,-29.47M,,,-20.95M,10.65M,-39.77M,,,,2.302M,0.00,2.302M,-8.044M,,,4.029M,130.63M,-19.15M,,111.48M,2.302M,,,0.00
2003-12,84.62M,,-23.13M,11.67M,11.67M,9.712M,,,,45.87M,-20.86M,9.156M,18.71M,-0.441M,52.43M,135.30M,-41.87M,0.00,-41.87M,,,-119.74M,-1.498M,-163.11M,,,,4.706M,-34.44M,-29.74M,-5.974M,,,-35.71M,194.14M,-63.51M,,130.63M,4.706M,,,-34.44M
2003-09,91.28M,,16.26M,10.72M,10.72M,-2.29M,,,0.197M,-74.45M,-32.58M,-0.044M,39.37M,-5.366M,-73.07M,43.10M,-37.47M,12.00M,-25.47M,,,-5.917M,0.223M,-31.17M,,,,7.807M,-27.78M,-19.97M,-5.975M,,,-25.95M,208.16M,-14.01M,,194.14M,7.807M,,,-27.78M
2003-06,83.86M,,-34.75M,10.33M,10.33M,18.52M,,,-0.197M,15.55M,-20.39M,-11.48M,-23.76M,-7.103M,-47.18M,30.58M,-9.634M,,-9.634M,,,-6.426M,-0.223M,-16.28M,,,,11.86M,-70.87M,-59.01M,-6.031M,,,-65.04M,258.90M,-50.74M,,208.16M,11.86M,,,-70.87M
2003-03,73.84M,,55.23M,10.45M,10.45M,-7.586M,,,-1.904M,-30.94M,-21.29M,10.80M,-40.32M,10.87M,-70.89M,59.14M,-10.44M,0.008M,-10.43M,,,32.80M,0.723M,23.09M,,,,14.29M,-84.97M,-70.67M,-6.119M,,,-76.79M,253.46M,5.44M,,258.90M,14.29M,,,-84.97M
