,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-12,292.10M,199.50M,491.60M,3.173B,439.30M,3.612B,895.50M,384.70M,1.262B,,2.543B,119.80M,77.80M,,369.00M,7.213B,0.0,143.10M,1.192B,2.414B,,252.90M,4.002B,-1.663B,2.339B,10.21B,15.25B,25.45B,226.00M,496.80M,79.60M,28.59B,35.81B,976.00M,112.90M,476.50M,1.565B,688.00M,2.253B,818.00M,,,45.00M,1.751B,1.796B,,1.796B,,,,1.518B,6.385B,12.87B,,12.87B,2.012B,,2.012B,408.20M,,589.80M,16.11B,22.50B,6.00M,5.644B,8.586B,567.70M,,,,-361.20M,13.31B
2017-09,614.90M,,614.90M,2.823B,397.60M,3.220B,885.10M,381.00M,1.282B,,2.548B,883.40M,,,,7.267B,0.0,146.90M,1.176B,2.310B,,277.00M,3.910B,-1.600B,2.31B,9.985B,15.27B,25.26B,274.80M,559.80M,152.50M,28.55B,35.82B,799.00M,14.80M,477.10M,1.291B,1.015B,2.306B,808.90M,,,,722.80M,722.80M,,722.80M,,,,1.147B,4.984B,13.99B,,13.99B,2.138B,,2.138B,432.90M,0.00,731.90M,17.54B,22.53B,6.00M,5.394B,8.570B,67.50M,,,,-611.20M,13.29B
2017-06,612.80M,,612.80M,2.643B,308.30M,2.951B,907.60M,409.30M,1.293B,,2.610B,791.90M,,,,6.966B,0.0,150.00M,1.154B,2.310B,,334.30M,3.948B,-1.581B,2.366B,9.801B,15.20B,25.00B,292.60M,722.50M,156.00M,28.54B,35.51B,732.90M,34.00M,400.50M,1.167B,1.12B,2.287B,762.10M,,,,964.30M,964.30M,,964.30M,,,,1.156B,5.170B,14.03B,,14.03B,2.112B,,2.112B,405.60M,0.00,713.10M,17.50B,22.67B,6.00M,5.306B,8.544B,67.50M,,,,-955.60M,12.83B
2017-03,723.80M,,723.80M,2.568B,303.80M,2.872B,833.80M,427.30M,1.287B,,2.548B,921.90M,,,,7.066B,0.0,147.60M,1.125B,2.245B,,330.40M,3.848B,-1.510B,2.338B,9.394B,14.37B,23.76B,364.20M,564.00M,176.80M,27.21B,34.27B,749.60M,31.00M,391.80M,1.172B,1.181B,2.353B,616.50M,,,,258.20M,258.20M,,258.20M,,,,1.296B,4.524B,14.70B,,14.70B,2.019B,,2.019B,387.10M,0.00,744.90M,18.09B,22.62B,6.00M,5.008B,8.522B,67.50M,,,,-1.813B,11.66B
2016-12,998.80M,,998.80M,3.015B,295.50M,3.311B,783.40M,436.00M,1.237B,,2.456B,756.40M,,,,7.522B,0.0,144.70M,1.106B,2.228B,,328.80M,3.808B,-1.486B,2.322B,9.232B,14.45B,23.68B,396.40M,633.20M,172.20M,27.20B,34.73B,939.50M,97.70M,408.60M,1.446B,1.171B,2.617B,809.00M,,,,269.70M,269.70M,,269.70M,,,,1.345B,5.041B,15.20B,,15.20B,2.006B,,2.006B,396.70M,1.40M,722.60M,18.57B,23.61B,6.00M,4.942B,8.499B,67.50M,,,,-2.264B,11.12B
2016-09,1.257B,,1.257B,3.099B,,3.099B,825.10M,469.80M,1.393B,,2.688B,922.10M,,,,7.965B,0.0,145.00M,1.075B,2.216B,,344.80M,3.780B,-1.496B,2.284B,9.633B,15.61B,25.25B,,441.80M,600.90M,28.57B,36.54B,1.255B,164.50M,,1.419B,1.155B,2.574B,824.10M,,,,4.333B,4.333B,,4.333B,,,,1.823B,9.554B,11.33B,,11.33B,2.190B,,2.190B,,1.50M,1.638B,15.16B,24.71B,6.00M,4.525B,8.485B,67.50M,,,,-1.120B,11.83B
2016-06,6.362B,,6.362B,2.917B,,2.917B,688.70M,435.20M,1.067B,,2.191B,716.10M,,,,12.19B,0.0,134.80M,997.20M,2.078B,,274.80M,3.484B,-1.427B,2.058B,5.830B,7.716B,13.55B,,326.30M,719.00M,16.65B,28.84B,1.018B,121.40M,,1.139B,474.80M,1.614B,726.50M,,,,710.60M,710.60M,,710.60M,,,,723.70M,3.775B,12.77B,,12.77B,682.50M,,682.50M,,1.40M,1.275B,14.73B,18.50B,5.70M,4.644B,7.179B,67.50M,,,,-1.431B,10.33B
2016-03,1.199B,,1.199B,2.587B,,2.587B,651.40M,419.90M,1.073B,,2.144B,696.70M,,,,6.628B,0.0,130.10M,973.00M,2.003B,,269.90M,3.376B,-1.377B,1.999B,5.567B,7.278B,12.85B,,441.00M,731.40M,16.02B,22.64B,1.076B,43.40M,,1.120B,464.50M,1.584B,617.00M,,,,1.149B,1.149B,,1.149B,,,,609.40M,3.959B,6.326B,,6.326B,744.00M,,744.00M,,1.50M,1.340B,8.410B,12.37B,5.50M,4.476B,7.150B,67.50M,,,,-1.290B,10.27B
2015-12,1.236B,,1.236B,2.434B,255.10M,2.689B,592.40M,387.00M,971.60M,,1.951B,596.60M,,,,6.473B,0.0,124.50M,950.60M,1.928B,,290.50M,3.294B,-1.310B,1.984B,5.380B,7.222B,12.60B,475.50M,457.60M,276.00M,15.80B,22.27B,717.50M,92.40M,392.10M,1.202B,515.60M,1.718B,681.80M,,,,1.00B,1.00B,,1.00B,,,,722.80M,4.122B,6.296B,,6.296B,718.10M,,718.10M,118.10M,1.40M,1.001B,8.380B,12.50B,5.50M,4.462B,7.129B,67.50M,,,,-1.764B,9.764B
2015-09,587.00M,,587.00M,2.917B,,2.917B,594.20M,416.70M,933.20M,,1.944B,593.70M,,444.00M,,6.486B,0.0,125.20M,887.90M,1.842B,,291.20M,3.146B,-1.262B,1.885B,5.125B,6.888B,12.01B,,78.00M,854.40M,14.83B,21.32B,1.236B,100.20M,,1.336B,497.70M,1.834B,774.40M,,,,568.30M,568.30M,,568.30M,,2.30M,2.30M,505.00M,3.684B,5.846B,,5.846B,613.10M,,613.10M,,1.40M,1.358B,7.817B,11.50B,5.50M,4.268B,7.094B,0.00,,,,-1.554B,9.814B
2015-06,439.70M,,439.70M,2.861B,,2.861B,623.20M,365.40M,945.70M,,1.934B,2.262B,,394.30M,,7.891B,0.0,117.40M,889.30M,1.820B,,308.50M,3.135B,-1.236B,1.899B,5.212B,6.826B,12.04B,,87.00M,878.10M,14.90B,22.79B,1.102B,81.50M,,1.183B,460.20M,1.644B,610.40M,,,,2.600B,2.600B,,2.600B,,2.30M,2.30M,513.50M,5.369B,5.890B,,5.890B,583.60M,,583.60M,,1.40M,1.382B,7.856B,13.23B,5.50M,3.839B,7.075B,0.00,,,,-1.352B,9.568B
2015-03,277.20M,,277.20M,2.265B,,2.265B,598.70M,324.60M,985.00M,,1.908B,2.606B,,369.90M,,7.426B,0.0,116.90M,880.00M,1.780B,,285.60M,3.062B,-1.190B,1.872B,5.116B,6.771B,11.89B,,87.80M,850.90M,14.70B,22.12B,997.00M,63.90M,,1.061B,381.00M,1.442B,514.10M,,,,2.781B,2.781B,,2.781B,,7.40M,7.40M,544.00M,5.288B,5.750B,,5.750B,613.80M,,613.80M,,19.90M,1.378B,7.743B,13.03B,5.50M,3.671B,7.008B,0.00,,,,-1.611B,9.073B
2014-12,225.50M,,225.50M,2.268B,,2.268B,549.50M,298.40M,803.50M,,1.651B,2.296B,,,,6.441B,0.0,88.30M,826.40M,1.739B,,301.80M,2.956B,-1.170B,1.786B,4.049B,2.347B,6.396B,,397.40M,799.80M,9.379B,15.82B,905.60M,160.70M,,1.066B,428.20M,1.494B,581.30M,,,,2.804B,2.804B,,2.804B,,,,424.60M,5.304B,5.700B,,5.700B,203.90M,,203.90M,,20.10M,1.337B,7.240B,12.54B,273.30M,3.614B,4.213B,3.858B,,,,-987.00M,3.256B
2014-09,199.60M,,199.60M,1.733B,,1.733B,562.40M,301.90M,843.20M,,1.708B,1.894B,,283.10M,,5.818B,0.0,79.90M,805.60M,1.71B,,295.30M,2.891B,-1.152B,1.738B,4.188B,2.541B,6.730B,,110.30M,778.10M,9.356B,15.17B,857.90M,84.10M,,942.00M,452.40M,1.394B,349.30M,,,,2.357B,2.357B,,2.357B,,0.30M,0.30M,372.60M,4.474B,5.724B,,5.724B,296.10M,,296.10M,,18.80M,1.274B,7.294B,11.77B,272.90M,3.425B,4.170B,3.861B,,,,-620.30M,3.388B
2014-06,193.90M,,193.90M,1.762B,,1.762B,574.60M,309.40M,907.10M,,1.791B,471.90M,,258.60M,,4.477B,0.0,82.60M,811.10M,1.716B,,283.20M,2.892B,-1.137B,1.756B,4.393B,2.416B,6.809B,,91.50M,2.469B,11.13B,15.60B,962.50M,74.90M,,1.037B,386.90M,1.424B,299.50M,,,,306.00M,306.00M,,306.00M,,0.20M,0.20M,571.30M,2.601B,7.918B,,7.918B,428.60M,,428.60M,,18.70M,1.302B,9.649B,12.25B,272.80M,2.926B,4.148B,3.861B,,,,-152.70M,3.334B
2014-03,243.00M,,243.00M,1.679B,,1.679B,550.40M,321.40M,866.10M,,1.738B,459.70M,,223.00M,,4.342B,0.0,84.50M,803.90M,1.691B,,235.20M,2.815B,-1.11B,1.705B,4.360B,2.462B,6.822B,,85.40M,2.400B,11.01B,15.36B,928.50M,45.10M,,973.60M,414.90M,1.388B,308.30M,,,,423.80M,423.80M,,423.80M,,2.60M,2.60M,526.10M,2.649B,7.781B,,7.781B,468.60M,,468.60M,,17.40M,1.265B,9.514B,12.16B,272.60M,2.801B,4.122B,3.862B,,,,-159.40M,3.174B
2013-12,291.30M,,291.30M,1.82B,,1.82B,482.80M,310.00M,864.10M,,1.657B,452.90M,,250.10M,,4.471B,0.0,75.10M,747.00M,1.698B,,207.70M,2.728B,-1.063B,1.666B,4.340B,2.518B,6.858B,,77.80M,2.222B,10.82B,15.29B,1.073B,49.70M,,1.122B,503.10M,1.626B,281.10M,,,,443.40M,443.40M,,443.40M,,1.50M,1.50M,612.40M,2.964B,7.586B,,7.586B,515.30M,,515.30M,,18.10M,1.269B,9.371B,12.33B,272.00M,2.685B,4.104B,3.879B,,,,-240.10M,2.942B
2013-09,364.92M,,364.92M,1.717B,,1.717B,516.69M,296.14M,832.98M,,1.646B,368.75M,,246.41M,,4.343B,0.0,67.98M,640.49M,1.530B,,331.61M,2.570B,-1.111B,1.459B,3.428B,1.923B,5.351B,,95.09M,1.654B,8.558B,12.90B,875.39M,74.74M,,950.13M,440.04M,1.390B,266.18M,,,,526.40M,526.40M,,526.40M,,0.58M,0.58M,378.10M,2.561B,5.779B,,5.779B,302.98M,,302.98M,,17.36M,1.025B,7.107B,9.669B,271.44M,2.505B,4.069B,3.379B,,,,-250.95M,3.215B
2013-06,277.38M,,277.38M,1.651B,,1.651B,526.05M,264.41M,846.91M,,1.637B,440.32M,,205.84M,,4.212B,0.0,76.21M,668.73M,1.524B,,283.33M,2.552B,-1.121B,1.431B,3.360B,1.972B,5.332B,,98.15M,1.138B,7.999B,12.21B,838.04M,89.88M,,927.91M,430.40M,1.358B,205.57M,,,,408.09M,408.09M,,408.09M,,0.651M,0.651M,353.71M,2.326B,5.812B,,5.812B,277.79M,,277.79M,,16.74M,850.10M,6.940B,9.266B,270.93M,2.346B,4.045B,3.379B,,,,-354.72M,2.929B
2013-03,294.42M,,294.42M,1.514B,,1.514B,507.52M,271.23M,844.50M,,1.623B,274.10M,,244.15M,,3.950B,0.0,77.10M,673.00M,1.527B,,258.55M,2.535B,-1.113B,1.422B,3.452B,2.105B,5.557B,,100.31M,855.50M,7.935B,11.89B,766.08M,19.87M,,785.94M,389.97M,1.176B,187.80M,,,,590.22M,590.22M,,590.22M,,0.587M,0.587M,327.85M,2.282B,5.672B,,5.672B,265.47M,,265.47M,,15.72M,777.86M,6.715B,8.998B,270.62M,2.168B,4.021B,3.380B,,,,-208.40M,2.871B
2012-12,349.97M,,349.97M,1.554B,,1.554B,455.96M,268.19M,801.09M,,1.525B,243.82M,,229.35M,,3.903B,0.0,73.86M,665.06M,1.437B,,308.19M,2.484B,-1.087B,1.397B,3.516B,2.224B,5.740B,,87.66M,804.20M,8.029B,11.93B,777.91M,33.73M,,811.64M,461.32M,1.273B,202.89M,,,,397.04M,397.04M,,397.04M,,1.283M,1.283M,319.33M,2.194B,5.337B,,5.337B,274.26M,,274.26M,,15.11M,771.11M,6.383B,8.576B,269.83M,2.061B,3.987B,2.891B,,,,-86.50M,3.341B
2012-09,332.32M,33.68M,366.00M,1.500B,,1.500B,462.17M,272.67M,761.09M,,1.496B,177.55M,1.442M,210.19M,,3.751B,0.0,72.46M,678.36M,1.377B,,274.37M,2.402B,-1.066B,1.336B,3.531B,2.392B,5.923B,,91.65M,604.97M,7.956B,11.71B,677.36M,64.76M,,742.12M,368.46M,1.111B,,,,,,515.13M,,515.13M,,1.274M,1.274M,309.43M,2.170B,4.847B,,4.847B,301.77M,,301.77M,,14.74M,764.24M,5.913B,8.082B,266.90M,1.899B,3.870B,2.391B,,,,-35.81M,3.609B
2012-06,314.33M,32.24M,346.57M,1.526B,,1.526B,414.58M,235.48M,823.31M,,1.473B,208.53M,1.413M,195.74M,,3.752B,0.0,71.40M,675.97M,1.337B,,267.26M,2.352B,-1.053B,1.299B,3.468B,2.491B,5.959B,,84.06M,508.09M,7.850B,11.60B,678.45M,57.74M,,736.19M,,736.19M,,,,,,504.51M,,504.51M,,1.132M,1.132M,922.18M,2.164B,5.166B,385.77M,5.552B,293.80M,,293.80M,,13.93M,393.34M,6.239B,8.403B,266.15M,1.688B,3.835B,2.391B,,,,-212.87M,3.185B
2012-03,258.04M,31.04M,289.08M,1.538B,,1.538B,402.22M,226.76M,859.30M,,1.488B,223.86M,8.722M,191.50M,,3.739B,0.0,72.84M,674.92M,1.388B,,257.66M,2.393B,-1.078B,1.316B,3.559B,2.629B,6.188B,,94.44M,596.74M,8.195B,11.93B,679.84M,40.72M,,720.56M,205.36M,925.92M,,,,,,542.34M,,542.34M,,1.329M,1.329M,475.54M,2.111B,4.906B,381.85M,5.288B,371.58M,,371.58M,,13.50M,383.75M,6.044B,8.155B,265.78M,1.550B,3.814B,1.892B,,,,28.88M,3.766B
2011-12,375.06M,,375.06M,1.426B,,1.426B,370.42M,253.49M,772.83M,,1.397B,167.71M,,202.90M,,3.569B,0.0,72.94M,676.03M,1.358B,,263.95M,2.371B,-1.073B,1.298B,3.518B,2.631B,6.149B,,39.38M,543.21M,8.029B,11.60B,703.24M,42.88M,,746.12M,528.88M,1.275B,147.94M,,,,819.67M,819.67M,,819.67M,,1.215M,1.215M,319.34M,2.563B,4.479B,,4.479B,308.92M,,308.92M,,13.01M,742.21M,5.530B,8.093B,265.16M,1.421B,3.795B,1.901B,,,,-87.84M,3.492B
2011-09,512.84M,30.25M,543.09M,1.280B,,1.280B,375.52M,238.67M,772.36M,,1.387B,198.21M,9.329M,191.86M,,3.609B,0.0,73.62M,671.34M,1.346B,,197.81M,2.288B,-1.050B,1.239B,3.559B,2.226B,5.785B,,75.31M,410.05M,7.509B,11.12B,532.92M,55.49M,,588.41M,212.32M,800.74M,,,,,,860.34M,,860.34M,,1.368M,1.368M,523.55M,2.375B,4.483B,,4.483B,428.62M,,428.62M,,12.58M,337.21M,5.249B,7.624B,265.06M,1.291B,3.783B,1.902B,,,,43.87M,3.482B
2011-06,434.94M,31.20M,466.14M,1.441B,,1.441B,373.85M,255.18M,779.92M,,1.409B,161.01M,24.15M,257.97M,,3.760B,0.0,74.59M,686.48M,1.360B,,188.27M,2.310B,-1.048B,1.261B,3.759B,2.444B,6.203B,,79.23M,702.50M,8.246B,12.01B,670.26M,68.16M,,738.42M,,738.42M,,,,,,824.30M,,824.30M,,2.047M,2.047M,956.28M,2.521B,4.829B,,4.829B,420.76M,,420.76M,,12.22M,353.87M,5.604B,8.125B,264.95M,1.134B,3.919B,1.903B,,,,454.25M,3.869B
2011-03,608.09M,30.88M,638.97M,1.336B,,1.336B,348.24M,261.71M,716.82M,,1.327B,194.57M,23.88M,236.98M,,3.757B,0.0,74.21M,678.98M,1.313B,,156.31M,2.222B,-1.005B,1.217B,3.694B,2.476B,6.170B,,70.71M,663.31M,8.121B,11.88B,634.54M,25.90M,,660.44M,,660.44M,,,,,,772.03M,,772.03M,,3.153M,3.153M,957.66M,2.393B,4.767B,,4.767B,448.42M,,448.42M,,13.26M,352.58M,5.568B,7.961B,263.66M,987.88M,3.868B,1.555B,,,,338.40M,3.904B
2010-12,662.05M,29.08M,691.14M,1.157B,,1.157B,337.09M,230.24M,672.94M,,1.240B,188.25M,23.97M,258.73M,,3.559B,0.0,73.27M,670.64M,1.265B,,164.92M,2.174B,-964.24M,1.209B,3.599B,2.501B,6.100B,,58.28M,609.25M,7.977B,11.54B,564.71M,15.11M,,579.81M,,579.81M,,,,,,169.77M,,169.77M,,2.457M,2.457M,1.058B,1.810B,5.263B,,5.263B,478.09M,,478.09M,,13.52M,370.32M,6.112B,7.921B,262.91M,883.71M,3.850B,1.566B,,,,171.87M,3.602B
2010-09,610.92M,30.11M,641.03M,1.252B,,1.252B,317.62M,235.65M,668.50M,,1.222B,76.90M,23.81M,247.92M,,3.463B,0.0,71.54M,651.18M,1.221B,,135.51M,2.079B,-928.28M,1.151B,3.569B,2.562B,6.131B,,44.20M,617.90M,7.944B,11.41B,551.33M,56.86M,,608.19M,,608.19M,,,,,,158.54M,,158.54M,,1.335M,1.335M,954.28M,1.722B,5.212B,,5.212B,469.41M,,469.41M,,12.81M,460.12M,6.142B,7.864B,200.74M,881.12M,3.890B,1.566B,1.07M,,,124.27M,3.530B
2010-06,809.42M,23.79M,833.21M,1.249B,,1.249B,301.05M,204.61M,590.70M,,1.096B,141.93M,48.06M,260.74M,,3.629B,0.0,68.05M,622.93M,1.168B,,108.85M,1.967B,-875.69M,1.092B,3.131B,2.132B,5.263B,,42.95M,570.47M,6.968B,10.60B,527.84M,100.42M,,628.26M,,628.26M,,,,,,171.65M,,171.65M,,1.285M,1.285M,828.33M,1.630B,5.047B,,5.047B,476.20M,,476.20M,,12.27M,465.74M,5.989B,7.619B,200.70M,772.70M,3.880B,1.570B,1.07M,,,-317.36M,2.967B
