,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,6.962B,6.962B,1.345B,1.326B,2.671B,,2.671B,,1.841B,2.082B,448.00M,1.634B,,,21.00M,1.634B,1.634B,348.00M,2.703B,1.86,,,1.86,1.86,1.86,,,1.86,1.86,859.00M,861.00M,0.35
2017-12,7.062B,7.062B,1.535B,1.436B,2.971B,,2.971B,,1.739B,1.798B,3.004B,-1.206B,,,20.00M,-1.206B,-1.206B,368.00M,2.378B,-1.41,,,-1.41,-1.41,-1.41,,,-1.41,-1.41,865.00M,868.00M,0.35
2017-09,6.771B,6.771B,1.446B,1.265B,2.711B,,2.711B,,1.677B,1.831B,472.00M,1.359B,,,21.00M,1.359B,1.359B,338.00M,2.399B,1.51,,,1.51,1.51,1.51,,,1.51,1.51,878.00M,881.00M,0.35
2017-06,6.635B,6.635B,1.456B,1.293B,2.749B,,2.749B,,1.533B,1.957B,613.00M,1.344B,,,19.00M,1.344B,1.344B,319.00M,2.478B,1.48,,,1.48,1.48,1.47,,,1.47,1.47,890.00M,893.00M,0.32
2017-03,6.331B,6.331B,1.285B,1.264B,2.549B,,2.549B,,1.502B,1.839B,588.00M,1.251B,,,21.00M,1.251B,1.251B,296.00M,2.282B,1.36,,,1.36,1.36,1.35,,,1.35,1.35,899.00M,903.00M,0.32
2016-12,8.298B,8.298B,3.804B,1.207B,5.011B,,5.011B,,1.416B,1.107B,315.00M,792.00M,,,19.00M,792.00M,792.00M,285.00M,1.521B,0.88,,,0.88,0.88,0.88,,,0.88,0.88,912.00M,912.00M,0.32
2016-09,5.93B,5.93B,930.00M,1.263B,2.193B,,2.193B,,1.334B,1.735B,593.00M,1.142B,,,21.00M,1.142B,1.142B,274.00M,2.165B,1.21,,,1.21,1.21,1.2,,,1.2,1.2,920.00M,923.00M,0.32
2016-06,7.279B,7.279B,788.00M,1.451B,2.239B,,2.239B,,1.449B,3.016B,1.001B,2.015B,,,19.00M,2.015B,2.015B,275.00M,3.452B,2.11,,,2.11,2.11,2.1,,,2.1,2.1,938.00M,941.00M,0.29
2016-03,6.23B,6.23B,727.00M,1.421B,2.148B,,2.148B,,1.58B,2.184B,758.00M,1.426B,,,21.00M,1.426B,1.426B,261.00M,2.609B,1.45,,,1.45,1.45,1.45,,,1.45,1.45,961.00M,963.00M,0.29
2015-12,6.351B,6.351B,892.00M,1.297B,2.189B,,2.189B,,1.547B,1.454B,555.00M,899.00M,,,,899.00M,899.00M,263.00M,1.854B,0.89,,,0.89,0.89,0.89,,,0.89,0.89,975.00M,979.00M,0.29
2015-09,6.161B,6.161B,847.00M,1.296B,2.143B,-64.00M,2.079B,1.00M,1.505B,1.938B,672.00M,1.266B,,,,1.266B,1.308B,266.00M,2.337B,1.24,,,1.2819999999999998,1.24,1.24,,,1.2819999999999998,1.24,994.00M,997.00M,0.29
2015-06,6.243B,6.243B,761.00M,1.335B,2.096B,-83.00M,2.013B,0.00,1.423B,2.23B,757.00M,1.473B,,,,1.473B,1.528B,263.00M,2.644B,1.43,,,1.484,1.43,1.42,,,1.474,1.42,1.009B,1.013B,0.29
2015-03,6.049B,6.049B,609.00M,1.393B,2.002B,-100.00M,1.902B,0.00,1.447B,2.316B,791.00M,1.525B,,,,1.525B,1.591B,251.00M,2.726B,1.49,,,1.555,1.49,1.48,,,1.544,1.48,1.019B,1.023B,0.26
2014-12,6.997B,6.997B,887.00M,1.705B,2.592B,-87.00M,2.505B,744.00M,1.424B,2.225B,778.00M,1.447B,,,,1.447B,1.504B,248.00M,2.63B,1.4,,,1.455,1.4,1.39,,,1.445,1.39,1.027B,1.033B,0.26
2014-09,6.403B,6.403B,783.00M,1.381B,2.164B,-96.00M,2.068B,20.00M,1.395B,2.246B,769.00M,1.477B,,,,1.477B,1.540B,249.00M,2.666B,1.41,,,1.4709999999999999,1.41,1.4,,,1.46,1.4,1.041B,1.047B,0.52
2014-06,6.666B,6.666B,959.00M,1.759B,2.718B,-102.00M,2.616B,41.00M,1.316B,2.312B,783.00M,1.529B,,,,1.529B,1.596B,266.00M,2.755B,1.44,,,1.504,1.44,1.43,,,1.494,1.43,1.052B,1.058B,0.23
2014-03,6.369B,6.369B,587.00M,1.633B,2.22B,-84.00M,2.136B,39.00M,1.337B,2.208B,776.00M,1.432B,,,,1.432B,1.487B,249.00M,2.647B,1.34,,,1.391,1.34,1.33,,,1.381,1.33,1.06B,1.067B,0.23
2013-12,1.219B,1.219B,-4.614B,1.586B,-3.028B,-49.00M,-3.077B,34.00M,1.319B,1.98B,672.00M,1.308B,,,,1.308B,1.340B,257.00M,2.443B,1.22,,,1.25,1.22,1.21,,,1.24,1.21,1.067B,1.074B,0.0
2013-09,8.301B,8.301B,2.643B,1.638B,4.281B,-73.00M,4.208B,37.00M,1.283B,2.004B,638.00M,1.366B,,,,1.366B,1.416B,266.00M,2.488B,1.26,,,1.306,1.26,1.25,,,1.296,1.25,1.074B,1.081B,0.23
2013-06,8.245B,8.245B,2.58B,1.635B,4.215B,-75.00M,4.14B,29.00M,1.202B,1.995B,590.00M,1.405B,,,,1.405B,1.458B,252.00M,2.487B,1.28,,,1.328,1.28,1.27,,,1.318,1.27,1.09B,1.097B,0.23
2013-03,7.881B,7.881B,2.33B,1.711B,4.041B,,4.041B,36.00M,1.243B,1.909B,629.00M,1.28B,,,,1.28B,1.28B,245.00M,2.428B,1.15,,,1.15,1.15,1.15,,,1.15,1.15,1.099B,1.106B,0.2
2012-12,8.141B,8.141B,2.776B,2.009B,4.785B,,4.785B,42.00M,1.193B,929.00M,292.00M,637.00M,,,,637.00M,637.00M,240.00M,1.473B,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,1.111B,1.117B,0.2
2012-09,7.862B,7.862B,2.461B,1.609B,4.07B,,4.07B,35.00M,1.181B,1.87B,620.00M,1.25B,,,,1.25B,1.25B,244.00M,2.428B,1.1,,,1.1,1.1,1.09,,,1.09,1.09,1.126B,1.132B,0.2
2012-06,7.965B,7.965B,2.415B,1.631B,4.046B,,4.046B,25.00M,1.121B,1.879B,540.00M,1.339B,,,,1.339B,1.339B,253.00M,2.429B,1.16,,,1.16,1.16,1.15,,,1.15,1.15,1.145B,1.152B,0.2
2012-03,7.587B,7.587B,2.292B,1.731B,4.023B,,4.023B,24.00M,1.133B,1.773B,517.00M,1.256B,,,,1.256B,1.256B,254.00M,2.347B,1.07,,,1.07,1.07,1.07,,,1.07,1.07,1.16B,1.166B,0.2
2011-12,7.742B,7.742B,2.388B,1.915B,4.303B,4.614B,8.917B,,1.11B,1.748B,556.00M,1.192B,0.00,,,1.192B,-1.954B,185.00M,2.323B,1.02,0.0,,-1.692,1.02,1.01,0.0,,-1.695,1.01,1.16B,1.163B,0.18
2011-09,7.571B,7.571B,2.511B,1.598B,4.109B,-1.502B,2.607B,,1.113B,1.711B,476.00M,1.235B,0.00,,,1.235B,2.319B,228.00M,2.286B,1.04,0.0,,1.963,1.04,1.03,0.0,,1.9480000000000002,1.03,1.175B,1.181B,0.18
2011-06,7.618B,7.618B,2.581B,1.595B,4.176B,-575.00M,3.601B,,1.083B,1.765B,470.00M,1.295B,36.00M,,,1.331B,1.717B,278.00M,2.342B,1.08,0.03,,1.435,1.11,1.07,0.03,,1.422,1.1,1.19B,1.197B,0.18
2011-03,7.031B,7.031B,2.45B,1.522B,3.972B,,3.972B,,1.07B,1.732B,555.00M,1.177B,,,,1.177B,1.177B,227.00M,2.325B,0.98,0.0,,0.98,0.98,0.97,0.0,,0.97,0.97,1.192B,1.198B,0.18
2010-12,7.244B,7.244B,2.333B,1.953B,4.286B,,4.286B,,971.00M,1.477B,415.00M,1.062B,0.00,,,1.062B,1.062B,228.00M,2.082B,0.88,0.0,,0.88,0.88,0.88,0.0,,0.88,0.88,1.185B,1.195B,0.18
2010-09,6.973B,6.973B,2.275B,1.354B,3.629B,,3.629B,,1.184B,1.64B,547.00M,1.093B,,,,1.093B,1.093B,248.00M,2.25B,0.91,0.0,,0.91,0.91,0.9,0.0,,0.9,0.9,1.193B,1.199B,0.18
2010-06,6.805B,6.805B,2.143B,1.315B,3.458B,,3.458B,,1.188B,1.595B,578.00M,1.017B,0.00,,,1.017B,1.017B,220.00M,2.205B,0.84,0.0,,0.84,0.84,0.84,0.0,,0.84,0.84,1.19B,1.197B,0.18
2010-03,6.56B,6.56B,1.987B,1.327B,3.314B,-490.00M,2.824B,,1.307B,1.252B,367.00M,885.00M,,,,885.00M,1.231B,221.00M,1.85B,0.74,0.0,,1.032,0.74,0.73,0.0,,1.021,0.73,1.185B,1.191B,0.18
2009-12,6.489B,6.489B,5.266B,-2.351B,2.915B,-2.274B,641.00M,-35.00M,710.00M,961.00M,251.00M,710.00M,6.00M,,0.00,716.00M,2.390B,293.00M,1.523B,0.6,0.0,,2.024,0.6,0.59,0.0,,2.0069999999999997,0.6,1.18B,1.186B,0.18
2009-09,6.016B,6.016B,504.00M,2.481B,2.985B,14.00M,2.999B,73.00M,754.00M,918.00M,276.00M,642.00M,-2.00M,,,640.00M,632.21M,209.00M,1.461B,0.54,0.0,,0.5317,0.54,0.54,-0.01,,0.5317,0.53,1.178B,1.181B,0.18
2009-06,6.092B,6.092B,352.00M,2.636B,2.988B,-111.00M,2.877B,220.00M,741.00M,418.00M,76.00M,342.00M,-5.00M,,234.00M,337.00M,432.82M,376.00M,965.00M,0.09,0.0,,0.1682,0.09,0.09,0.0,,0.168,0.09,1.162B,1.165B,0.18
2009-03,5.926B,5.926B,1.302B,1.253B,2.555B,-505.00M,2.05B,141.00M,919.00M,544.00M,101.00M,443.00M,-6.00M,,72.00M,437.00M,854.24M,192.00M,1.099B,0.32,-0.01,,0.6757,0.31,0.32,-0.01,,0.6757,0.31,1.156B,1.156B,0.18
2008-12,6.506B,6.506B,1.752B,1.66B,3.412B,,3.412B,199.00M,771.00M,268.00M,-38.00M,306.00M,-66.00M,,,240.00M,306.00M,174.00M,1.065B,0.26,-0.05,,0.26,0.21,0.26,-0.05,,0.26,0.21,1.154B,1.154B,0.18
2008-09,7.164B,7.164B,1.929B,1.465B,3.394B,,3.394B,200.00M,950.00M,1.078B,217.00M,861.00M,-46.00M,,,815.00M,861.00M,179.00M,1.962B,0.74,-0.04,,0.74,0.7,0.74,-0.04,,0.74,0.7,1.154B,1.158B,0.36
2008-06,7.455B,7.455B,1.924B,1.495B,3.419B,,3.419B,,954.00M,774.00M,114.00M,660.00M,-7.00M,,,653.00M,660.00M,186.00M,1.677B,0.57,-0.01,,0.57,0.56,0.56,-0.01,,0.56,0.56,1.154B,1.163B,0.18
2008-03,7.24B,7.24B,1.756B,1.47B,3.226B,,3.226B,444.00M,971.00M,1.461B,417.00M,1.044B,-53.00M,,,991.00M,1.044B,173.00M,2.432B,0.9,-0.05,,0.9,0.85,0.89,-0.05,,0.89,0.85,1.153B,1.163B,0.0
2007-12,7.192B,7.192B,2.719B,1.437B,4.156B,,4.156B,,801.00M,1.257B,340.00M,917.00M,-86.00M,,,831.00M,917.00M,166.00M,2.448B,0.8,-0.08,,0.8,0.72,0.78,-0.08,,0.78,0.71,1.155B,1.178B,0.18
2007-09,6.945B,6.945B,1.81B,1.366B,3.176B,,3.176B,,882.00M,1.417B,343.00M,1.074B,-7.00M,,,1.067B,1.074B,143.00M,2.425B,0.92,-0.01,,0.92,0.91,0.9,-0.01,,0.9,0.9,1.17B,1.192B,0.15
2007-06,7.13B,7.13B,1.828B,1.331B,3.159B,,3.159B,,1.003B,1.44B,378.00M,1.062B,-5.00M,,,1.057B,1.062B,183.00M,2.509B,0.9,0.0,,0.9,0.9,0.88,0.0,,0.88,0.88,1.179B,1.203B,0.15
2007-03,6.484B,6.484B,1.462B,1.819B,3.281B,,3.281B,457.00M,828.00M,1.611B,516.00M,1.095B,-38.00M,,,1.057B,1.095B,156.00M,2.454B,0.92,-0.03,,0.92,0.89,0.9,-0.03,,0.9,0.87,1.187B,1.21B,0.15
2006-12,6.347B,6.347B,1.732B,1.361B,3.093B,,3.093B,,682.00M,1.20B,291.00M,909.00M,13.00M,,,922.00M,909.00M,152.00M,2.099B,0.75,0.02,,0.75,0.77,0.73,0.02,,0.73,0.75,1.197B,1.226B,0.15
2006-09,6.265B,6.265B,1.586B,1.227B,2.813B,,2.813B,,777.00M,1.311B,377.00M,934.00M,33.00M,,,967.00M,934.00M,136.00M,2.038B,0.78,0.02,,0.78,0.8,0.76,0.02,,0.76,0.79,1.202B,1.227B,0.15
2006-06,6.142B,6.142B,1.671B,1.276B,2.947B,,2.947B,,805.00M,1.442B,470.00M,972.00M,-27.00M,,,945.00M,972.00M,159.00M,2.185B,0.8,-0.02,,0.8,0.78,0.78,-0.02,,0.78,0.76,1.217B,1.242B,0.15
2006-03,6.053B,6.053B,1.522B,1.24B,2.762B,,2.762B,,725.00M,1.325B,449.00M,876.00M,-3.00M,,,873.00M,876.00M,161.00M,1.992B,0.71,0.0,,0.71,0.71,0.7,-0.01,,0.7,0.69,1.232B,1.258B,0.12
2005-12,5.408B,5.408B,1.563B,1.119B,2.682B,,2.682B,,2.335B,764.00M,172.00M,592.00M,153.00M,,,745.00M,592.00M,124.00M,2.072B,0.61,0.0,,0.61,0.61,0.6,-0.01,,0.6,0.59,1.233B,1.261B,0.12
2005-09,5.79B,5.79B,1.492B,1.936B,3.428B,,3.428B,,8.00M,1.08B,215.00M,865.00M,165.00M,,,1.03B,865.00M,142.00M,1.318B,0.7,0.14,,0.7,0.84,0.69,0.13,,0.69,0.82,1.229B,1.254B,0.12
2005-06,5.788B,5.788B,1.445B,1.268B,2.713B,,2.713B,,37.00M,1.121B,261.00M,860.00M,153.00M,,,1.013B,860.00M,100.00M,1.353B,0.7,0.12,,0.7,0.82,0.69,0.12,,0.69,0.81,1.231B,1.254B,0.12
2005-03,5.439B,5.439B,1.323B,1.187B,2.51B,,2.51B,,60.00M,1.088B,343.00M,745.00M,201.00M,,,946.00M,745.00M,201.00M,1.289B,0.6,0.16,,0.6,0.76,0.59,0.16,,0.59,0.75,1.239B,1.264B,0.12
2004-12,5.614B,5.614B,1.42B,-425.00M,995.00M,,995.00M,,39.00M,920.00M,251.00M,669.00M,227.00M,0.00,,896.00M,669.00M,158.00M,1.142B,0.53,0.19,0.0,0.53,0.72,0.53,0.18,-0.0002,0.53,0.7,1.244B,1.273B,0.12
2004-09,5.275B,5.275B,1.286B,1.654B,2.94B,,2.94B,,47.00M,1.014B,312.00M,702.00M,177.00M,,,879.00M,702.00M,75.00M,1.215B,0.56,0.14,,0.56,0.7,0.55,0.14,,0.55,0.69,1.251B,1.275B,0.12
2004-06,7.048B,7.048B,1.25B,2.102B,3.352B,,3.352B,,575.00M,1.266B,390.00M,876.00M,,,,876.00M,876.00M,179.00M,1.476B,0.69,0.0,,0.69,0.69,0.68,0.0,,0.68,0.68,1.263B,1.288B,0.1
2004-03,6.707B,6.707B,1.047B,2.016B,3.063B,,3.063B,,538.00M,1.248B,383.00M,865.00M,,-71.00M,,794.00M,865.00M,188.00M,1.451B,0.68,-0.06,0.0,0.68,0.62,0.66,-0.06,-0.0556,0.66,0.61,1.277B,1.305B,0.1
2003-12,6.863B,6.863B,1.166B,2.872B,4.038B,0.00,4.038B,,581.00M,1.09B,314.00M,776.00M,,,,763.00M,776.00M,-96.00M,1.295B,0.61,-0.01,,0.61,0.6,0.6,-0.01,,0.6,0.59,1.275B,1.298B,0.1
2003-09,6.18B,6.18B,1.016B,2.639B,3.655B,2.00M,3.657B,,491.00M,1.064B,294.00M,770.00M,,,,770.00M,768.55M,587.00M,1.303B,0.6,0.0,,0.5989,0.6,0.59,0.0,,0.5889,0.59,1.278B,1.297B,0.1
2003-06,6.125B,6.125B,944.00M,2.651B,3.595B,,3.595B,,549.00M,1.097B,335.00M,762.00M,,,,762.00M,762.00M,61.00M,1.328B,0.59,0.0,,0.59,0.59,0.59,0.0,,0.59,0.59,1.283B,1.295B,0.1
2003-03,5.793B,5.793B,364.00M,2.60B,2.964B,,2.964B,,537.00M,996.00M,304.00M,692.00M,,,,692.00M,692.00M,124.00M,1.226B,0.53,0.0,,0.53,0.53,0.53,0.0,,0.53,0.53,1.297B,1.305B,0.08
2002-12,5.926B,5.926B,397.00M,2.629B,3.026B,-14.00M,3.012B,,546.00M,949.00M,266.00M,683.00M,,,,683.00M,693.08M,495.00M,1.219B,0.52,0.0,,0.5277,0.52,0.52,0.0,,0.5276,0.52,1.308B,1.318B,0.08
2002-09,5.643B,5.643B,403.00M,2.487B,2.89B,2.00M,2.892B,,495.00M,959.00M,272.00M,687.00M,,,,687.00M,685.57M,44.00M,1.223B,0.52,0.0,,0.5189,0.52,0.52,0.0,,0.5189,0.52,1.323B,1.33B,0.08
2002-06,5.668B,5.668B,386.00M,2.558B,2.944B,13.00M,2.957B,,381.00M,961.00M,278.00M,683.00M,,,,683.00M,673.76M,323.00M,1.238B,0.52,0.0,,0.513,0.52,0.51,0.0,,0.5031,0.51,1.325B,1.341B,0.08
2002-03,5.488B,5.488B,362.00M,2.637B,2.999B,13.00M,3.012B,,487.00M,858.00M,240.00M,618.00M,,,,618.00M,608.64M,89.00M,1.129B,0.47,0.0,,0.4629,0.47,0.46,0.0,,0.453,0.46,1.325B,1.335B,0.08
2001-12,5.529B,5.529B,304.00M,2.742B,3.046B,-279.00M,2.767B,,435.00M,348.00M,51.00M,297.00M,,,,297.00M,535.11M,-10.00M,690.00M,0.22,0.0,,0.3994,0.22,0.22,0.0,,0.399,0.22,1.327B,1.33B,0.08
2001-09,5.339B,5.339B,327.00M,2.686B,3.013B,-416.00M,2.597B,,351.00M,354.00M,56.00M,298.00M,,,,298.00M,648.19M,1.227B,739.00M,0.23,0.0,,0.4945,0.23,0.22,0.0,,0.4823,0.22,1.324B,1.335B,0.08
2001-06,4.856B,4.856B,332.00M,2.86B,3.192B,,3.192B,,-400.00M,153.00M,-25.00M,178.00M,,,,178.00M,178.00M,-222.00M,565.00M,0.13,0.0,,0.13,0.13,0.13,0.0,,0.13,0.13,1.321B,1.336B,0.08
2001-03,5.358B,5.358B,338.00M,2.721B,3.059B,,3.059B,,250.00M,741.00M,203.00M,538.00M,,,,538.00M,538.00M,201.00M,1.102B,0.41,0.0,,0.41,0.41,0.4,0.0,,0.4,0.4,1.323B,1.344B,0.08
2000-12,5.709B,5.709B,333.00M,2.675B,3.008B,,3.008B,,443.00M,913.00M,236.00M,677.00M,,,,677.00M,677.00M,70.00M,1.27B,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,1.324B,1.357B,0.08
2000-09,5.629B,5.629B,396.00M,2.685B,3.081B,,3.081B,,506.00M,1.029B,292.00M,737.00M,,,,737.00M,737.00M,16.00M,1.381B,0.56,0.0,,0.56,0.56,0.54,0.0,,0.54,0.54,1.326B,1.361B,0.08
2000-06,5.625B,5.625B,416.00M,2.644B,3.06B,,3.06B,,491.00M,1.046B,306.00M,740.00M,,,,740.00M,740.00M,240.00M,1.391B,0.56,0.0,,0.56,0.56,0.54,0.0,,0.54,0.54,1.328B,1.361B,0.08
2000-03,5.358B,5.358B,370.00M,2.577B,2.947B,,2.947B,,497.00M,920.00M,264.00M,656.00M,,,,656.00M,656.00M,67.00M,1.219B,0.49,0.0,,0.49,0.49,0.48,0.0,,0.48,0.48,1.331B,1.362B,0.08
1999-12,5.397B,5.397B,375.00M,2.593B,2.968B,,2.968B,,602.00M,845.00M,239.00M,606.00M,,,,606.00M,606.00M,-144.00M,1.146B,0.4567,0.0,,0.4567,0.4567,0.4467,0.0,,0.4467,0.4467,1.337B,1.360B,0.075
1999-09,5.049B,5.049B,399.00M,2.39B,2.789B,,2.789B,,542.00M,907.00M,259.00M,648.00M,,,,648.00M,648.00M,13.00M,1.169B,0.48,0.0,,0.48,0.48,0.47,0.0,,0.47,0.47,1.339B,1.371B,0.075
1999-06,5.043B,5.043B,354.00M,2.395B,2.749B,,2.749B,,589.00M,895.00M,249.00M,646.00M,,,,646.00M,646.00M,78.00M,1.15B,0.48,0.0,,0.48,0.48,0.47,0.0,,0.47,0.47,1.344B,1.373B,0.075
1999-03,4.737B,4.737B,297.00M,2.339B,2.636B,,2.636B,,561.00M,791.00M,216.00M,575.00M,,,,575.00M,575.00M,66.00M,1.025B,0.43,0.0,,0.43,0.43,0.42,0.0,,0.42,0.42,1.344B,1.370B,0.075
1998-12,4.796B,4.796B,329.00M,2.403B,2.732B,,2.732B,,587.00M,713.00M,183.00M,530.00M,,,,530.00M,530.00M,-48.00M,980.00M,0.39,0.0,,0.39,0.39,0.3833,0.0,,0.3833,0.3833,1.338B,1.368B,0.075
1998-09,4.531B,4.531B,333.00M,2.232B,2.565B,,2.565B,,546.00M,799.00M,225.00M,574.00M,,,,574.00M,574.00M,-173.00M,1.055B,0.42,0.0,,0.42,0.42,0.42,0.0,,0.42,0.42,1.356B,1.380B,0.075
1998-06,4.511B,4.511B,301.00M,1.804B,2.105B,,2.105B,,561.00M,800.00M,222.00M,578.00M,,,,578.00M,578.00M,72.00M,1.05B,0.42,0.0,,0.42,0.42,0.41,0.0,,0.41,0.41,1.370B,1.397B,0.075
