,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.634B,,,348.00M,348.00M,-254.00M,84.00M,84.00M,122.00M,-431.00M,-85.00M,,-130.00M,-524.00M,,2.063B,-237.00M,,-237.00M,-475.00M,-329.00M,,-693.00M,-3.219B,-1.489B,-4.708B,11.00M,-134.00M,-123.00M,,,,-324.00M,-324.00M,,-2.949B,33.26B,-1.579B,-178.00M,31.51B,11.00M,3.984B,-7.203B,-134.00M
2017-12,-1.206B,,,368.00M,368.00M,829.00M,70.00M,70.00M,-1.026B,4.063B,527.00M,,500.00M,4.064B,,4.959B,-250.00M,,-250.00M,-1.00M,24.00M,,-9.545B,7.156B,932.00M,8.088B,47.00M,-1.313B,-1.266B,,,,-326.00M,-326.00M,,9.662B,28.26B,5.076B,-68.00M,33.26B,47.00M,12.89B,-5.733B,-1.313B
2017-09,1.359B,,,338.00M,338.00M,-61.00M,60.00M,60.00M,208.00M,2.095B,-315.00M,,-156.00M,1.832B,,4.297B,-274.00M,,-274.00M,-36.00M,126.00M,-1.00M,-4.551B,-3.249B,-1.108B,-4.357B,38.00M,-1.32B,-1.282B,,,,-305.00M,-305.00M,,-2.391B,30.76B,-2.645B,138.00M,28.26B,38.00M,2.751B,-6.00B,-1.32B
2017-06,1.344B,,,319.00M,319.00M,-4.00M,63.00M,63.00M,32.00M,1.163B,-165.00M,,-212.00M,818.00M,,3.124B,-261.00M,,-261.00M,-146.00M,168.00M,1.00M,-4.857B,156.00M,-183.00M,-27.00M,13.00M,-841.00M,-828.00M,,,,-307.00M,-307.00M,,2.769B,29.68B,1.036B,49.00M,30.76B,13.00M,8.704B,-8.548B,-841.00M
2017-03,1.251B,,,296.00M,296.00M,18.00M,89.00M,89.00M,786.00M,-2.072B,351.00M,,-132.00M,-1.067B,,1.16B,-277.00M,,-277.00M,-28.00M,-434.00M,,711.00M,4.619B,-1.941B,2.678B,31.00M,-926.00M,-895.00M,,,,-313.00M,-313.00M,,2.205B,25.49B,4.076B,107.00M,29.68B,31.00M,8.42B,-3.801B,-926.00M
2016-12,792.00M,,,285.00M,285.00M,10.00M,64.00M,64.00M,-817.00M,2.143B,91.00M,,146.00M,1.563B,,3.34B,-400.00M,,-400.00M,-296.00M,460.00M,427.00M,-8.407B,2.399B,2.928B,5.327B,99.00M,-956.00M,-857.00M,,,,-315.00M,-315.00M,,3.719B,26.52B,-1.348B,-155.00M,25.49B,99.00M,2.898B,-499.00M,-956.00M
2016-09,1.142B,,,274.00M,274.00M,-224.00M,57.00M,57.00M,192.00M,-266.00M,222.00M,,-150.00M,-2.00M,,1.751B,-326.00M,,-326.00M,-29.00M,84.00M,-553.00M,-2.008B,-5.643B,480.00M,-5.163B,3.00M,-628.00M,-625.00M,,,,-291.00M,-291.00M,,-6.984B,33.77B,-7.241B,-6.00M,26.52B,3.00M,2.148B,-7.791B,-628.00M
2016-06,2.015B,,,275.00M,275.00M,-1.07B,63.00M,63.00M,-134.00M,-401.00M,-339.00M,,-201.00M,-1.075B,,671.00M,-347.00M,,-347.00M,-7.00M,-105.00M,-6.00M,8.498B,3.221B,-303.00M,2.918B,64.00M,-1.726B,-1.662B,,,,-299.00M,-299.00M,,-410.00M,25.04B,8.759B,-37.00M,33.77B,64.00M,3.743B,-522.00M,-1.726B
2016-03,1.426B,,,261.00M,261.00M,218.00M,70.00M,70.00M,427.00M,-296.00M,232.00M,,-243.00M,120.00M,,2.529B,-302.00M,,-302.00M,-155.00M,-74.00M,132.00M,3.64B,-1.001B,-2.217B,-3.218B,11.00M,-1.188B,-1.177B,,,,-302.00M,-302.00M,,-3.924B,22.76B,2.245B,38.00M,25.04B,11.00M,35.00M,-1.036B,-1.188B
2015-12,899.00M,,,263.00M,263.00M,372.00M,34.00M,34.00M,-511.00M,847.00M,194.00M,,212.00M,742.00M,,2.882B,-462.00M,,-462.00M,-33.00M,121.00M,563.00M,-5.486B,-388.00M,1.668B,1.28B,24.00M,-1.245B,-1.221B,0.00,,0.00,-304.00M,-304.00M,,5.462B,19.94B,2.858B,-34.00M,22.76B,24.00M,2.00B,-2.388B,-1.245B
2015-09,1.266B,,,266.00M,266.00M,-11.00M,60.00M,60.00M,68.00M,1.328B,248.00M,,-165.00M,1.479B,,3.589B,-342.00M,,-342.00M,-48.00M,490.00M,846.00M,223.00M,-3.982B,-1.306B,-5.288B,26.00M,-1.359B,-1.333B,0.00,,0.00,-335.00M,-335.00M,,-4.802B,21.07B,-990.00M,-143.00M,19.94B,26.00M,4.466B,-8.448B,-1.359B
2015-06,1.473B,,,263.00M,263.00M,-73.00M,69.00M,69.00M,-446.00M,-151.00M,659.00M,,-152.00M,-90.00M,,2.109B,-281.00M,,-281.00M,-15.00M,-213.00M,-1.544B,-5.751B,-1.853B,2.095B,242.00M,89.00M,-1.18B,-1.091B,0.00,,0.00,-265.00M,-265.00M,,1.119B,23.57B,-2.523B,22.00M,21.07B,89.00M,3.457B,-5.31B,-1.18B
2015-03,1.525B,,,251.00M,251.00M,219.00M,71.00M,71.00M,175.00M,-1.23B,957.00M,,-262.00M,-360.00M,,2.126B,-256.00M,,-256.00M,-59.00M,-8.00M,15.00M,2.821B,-3.10B,-1.062B,-4.162B,54.00M,-791.00M,-737.00M,841.00M,,841.00M,-268.00M,-268.00M,,-3.542B,22.29B,1.405B,-121.00M,23.57B,895.00M,0.00,-3.10B,-791.00M
2014-12,1.447B,,,248.00M,248.00M,-444.00M,80.00M,80.00M,-331.00M,801.00M,-200.00M,,221.00M,491.00M,,2.404B,-341.00M,,-341.00M,-99.00M,1.199B,-18.00M,-4.987B,2.582B,221.00M,2.803B,111.00M,-1.184B,-1.073B,742.00M,,742.00M,-271.00M,-271.00M,,3.743B,21.26B,1.16B,-136.00M,22.29B,853.00M,4.691B,-2.109B,-1.184B
2014-09,1.477B,,,249.00M,249.00M,-100.00M,46.00M,46.00M,976.00M,651.00M,98.00M,,-184.00M,1.541B,,3.701B,-308.00M,,-308.00M,-21.00M,101.00M,20.00M,-1.404B,1.376B,59.00M,1.435B,58.00M,-1.114B,-1.056B,0.00,,0.00,-281.00M,-281.00M,,644.00M,18.43B,2.941B,-107.00M,21.26B,58.00M,5.374B,-3.998B,-1.114B
2014-06,1.529B,,,266.00M,266.00M,-441.00M,76.00M,76.00M,-998.00M,535.00M,274.00M,,-130.00M,-319.00M,,1.60B,-320.00M,,-320.00M,-103.00M,-165.00M,680.00M,-3.133B,554.00M,591.00M,1.145B,-40.00M,-1.13B,-1.17B,0.00,,0.00,-243.00M,-243.00M,,-815.00M,20.74B,-2.348B,38.00M,18.43B,-40.00M,3.715B,-3.161B,-1.13B
2014-03,1.432B,,,249.00M,249.00M,44.00M,88.00M,88.00M,297.00M,607.00M,478.00M,,-395.00M,987.00M,,3.285B,-226.00M,,-226.00M,-6.00M,327.00M,-610.00M,1.557B,-1.26B,-2.245B,-3.505B,233.00M,-961.00M,-728.00M,0.00,,0.00,-246.00M,-246.00M,,-3.561B,19.49B,1.281B,-27.00M,20.74B,233.00M,2.24B,-3.50B,-961.00M
2013-12,1.308B,,,257.00M,257.00M,106.00M,75.00M,75.00M,-35.00M,-893.00M,-1.097B,,144.00M,-1.881B,,344.00M,-371.00M,,-371.00M,-25.00M,3.00M,101.00M,-5.802B,2.837B,1.792B,4.629B,169.00M,-743.00M,-574.00M,,,,-246.00M,-246.00M,,2.701B,22.29B,-2.757B,-43.00M,19.49B,169.00M,4.108B,-1.271B,-743.00M
2013-09,1.366B,,,266.00M,266.00M,-66.00M,78.00M,78.00M,-228.00M,-4.266B,468.00M,,-63.00M,-4.089B,,-2.026B,-160.00M,,-160.00M,21.00M,32.00M,-13.00M,463.00M,-287.00M,270.00M,-17.00M,51.00M,-1.058B,-1.007B,,,,-250.00M,-250.00M,,682.00M,23.13B,-881.00M,38.00M,22.29B,51.00M,4.778B,-5.065B,-1.058B
2013-06,1.405B,,,252.00M,252.00M,-128.00M,101.00M,101.00M,-296.00M,301.00M,634.00M,,-105.00M,534.00M,,2.682B,-271.00M,,-271.00M,-180.00M,331.00M,1.042B,-1.962B,-2.915B,-385.00M,-3.30B,226.00M,-1.355B,-1.129B,,,,-221.00M,-221.00M,,-5.444B,27.96B,-4.724B,-111.00M,23.13B,226.00M,2.511B,-5.426B,-1.355B
2013-03,1.28B,,,245.00M,245.00M,83.00M,96.00M,96.00M,486.00M,4.946B,330.00M,,-335.00M,5.427B,,7.547B,-204.00M,,-204.00M,-11.00M,-205.00M,-1.058B,32.00M,-2.403B,166.00M,-2.237B,275.00M,-787.00M,-512.00M,,,,-222.00M,-222.00M,,-1.83B,22.25B,5.749B,-35.00M,27.96B,275.00M,598.00M,-3.001B,-787.00M
2012-12,637.00M,,,240.00M,240.00M,417.00M,65.00M,65.00M,-170.00M,-3.953B,-722.00M,,135.00M,-5.251B,,-3.532B,-288.00M,,-288.00M,-10.00M,413.00M,1.12B,-3.559B,3.444B,-669.00M,2.775B,50.00M,-999.00M,-949.00M,,,,-227.00M,-227.00M,,4.215B,25.14B,-2.876B,-17.00M,22.25B,50.00M,6.103B,-2.659B,-999.00M
2012-09,1.25B,,,244.00M,244.00M,-140.00M,68.00M,68.00M,-539.00M,2.367B,232.00M,,-89.00M,1.971B,,3.872B,-269.00M,,-269.00M,1.00M,319.00M,-23.00M,-1.215B,-77.00M,402.00M,325.00M,24.00M,-1.004B,-980.00M,,,,-229.00M,-229.00M,,303.00M,22.07B,2.96B,111.00M,25.14B,24.00M,3.637B,-3.714B,-1.004B
2012-06,1.339B,,,253.00M,253.00M,171.00M,72.00M,72.00M,55.00M,726.00M,407.00M,,-174.00M,1.014B,,3.31B,-230.00M,,-230.00M,-455.00M,314.00M,-990.00M,-3.719B,-617.00M,-208.00M,-825.00M,138.00M,-1.778B,-1.64B,,,,-235.00M,-235.00M,,-4.47B,27.08B,-4.879B,-131.00M,22.07B,138.00M,2.585B,-3.202B,-1.778B
2012-03,1.256B,,,254.00M,254.00M,48.00M,92.00M,92.00M,807.00M,502.00M,473.00M,,-412.00M,1.37B,,3.432B,-266.00M,,-266.00M,-2.00M,568.00M,-76.00M,1.948B,-2.892B,-540.00M,-3.432B,231.00M,-171.00M,60.00M,,,,-211.00M,-211.00M,,-3.316B,24.89B,2.064B,125.00M,27.08B,231.00M,1.609B,-4.501B,-171.00M
2011-12,1.192B,,,185.00M,185.00M,-227.00M,74.00M,74.00M,617.00M,1.454B,-401.00M,585.00M,,1.761B,,3.394B,-304.00M,,-304.00M,0.00,1.338B,-84.00M,-5.437B,-2.245B,-33.00M,-2.278B,87.00M,-350.00M,-263.00M,,,,,-215.00M,,2.021B,24.94B,-22.00M,-30.00M,24.89B,87.00M,4.671B,-6.916B,-350.00M
2011-09,1.235B,,,228.00M,228.00M,665.00M,71.00M,71.00M,132.00M,-381.00M,338.00M,-139.00M,,-50.00M,,2.398B,-327.00M,,-327.00M,-28.00M,14.00M,182.00M,-561.00M,467.00M,121.00M,588.00M,77.00M,-1.20B,-1.123B,,,,,-213.00M,,162.00M,23.08B,1.999B,-136.00M,24.94B,77.00M,5.983B,-5.516B,-1.20B
2011-06,1.295B,,,278.00M,278.00M,509.00M,80.00M,80.00M,-115.00M,1.484B,-401.00M,-48.00M,,920.00M,,3.439B,-303.00M,,-303.00M,-5.00M,1.219B,24.00M,-3.156B,462.00M,525.00M,987.00M,201.00M,-750.00M,-549.00M,,,,,-216.00M,,756.00M,22.03B,1.039B,16.00M,23.08B,201.00M,3.328B,-2.866B,-750.00M
2011-03,1.177B,,,227.00M,227.00M,-129.00M,76.00M,76.00M,29.00M,-371.00M,-171.00M,-398.00M,,-911.00M,,537.00M,-255.00M,,-255.00M,-577.00M,3.521B,3.452B,8.663B,-5.731B,92.00M,-5.639B,229.00M,,229.00M,,,,,-217.00M,,-3.616B,16.36B,5.584B,87.00M,22.03B,229.00M,,-5.731B,
2010-12,1.062B,,,228.00M,228.00M,400.00M,102.00M,102.00M,-266.00M,-312.00M,-166.00M,532.00M,,-529.00M,,1.502B,-292.00M,,-292.00M,-146.00M,2.755B,-2.389B,-6.527B,-2.361B,1.536B,-825.00M,288.00M,,-302.00M,,,,,-217.00M,,7.00M,21.34B,-5.018B,33.00M,16.36B,288.00M,2.495B,-4.856B,
2010-09,1.093B,,,248.00M,248.00M,36.00M,54.00M,54.00M,-434.00M,1.924B,-544.00M,27.00M,,973.00M,,2.777B,-264.00M,,-264.00M,0.00,336.00M,42.00M,-187.00M,-1.326B,-572.00M,-1.898B,80.00M,,80.00M,,,,,-217.00M,,-2.048B,20.69B,542.00M,112.00M,21.34B,80.00M,1.681B,-3.305B,
2010-06,1.017B,,,220.00M,220.00M,550.00M,67.00M,67.00M,-76.00M,-283.00M,145.00M,-104.00M,,-318.00M,,2.188B,-175.00M,,-175.00M,0.00,1.023B,-774.00M,-2.195B,-3.055B,677.00M,-2.378B,174.00M,,174.00M,,,,,-217.00M,,-2.176B,22.91B,-2.183B,-38.00M,20.69B,174.00M,1.625B,-4.382B,
2010-03,885.00M,,,221.00M,221.00M,149.00M,64.00M,64.00M,278.00M,202.00M,-25.00M,-455.00M,,0.00,,2.262B,-147.00M,,-147.00M,-254.00M,2.344B,3.101B,7.68B,-5.01B,-379.00M,-5.389B,121.00M,,121.00M,,,,,-216.00M,,-3.661B,16.60B,6.281B,28.00M,22.91B,121.00M,117.00M,-5.127B,
2009-12,710.00M,,,293.00M,293.00M,-6.00M,72.00M,72.00M,-1.758B,889.00M,239.00M,232.00M,,-398.00M,6.00M,1.425B,-281.00M,11.00M,-270.00M,0.00,-784.00M,-1.884B,-6.468B,-561.00M,150.00M,-411.00M,83.00M,,83.00M,0.00,0.00,0.00,,-215.00M,340.00M,1.949B,19.69B,-3.094B,3.00M,16.60B,83.00M,2.197B,-2.758B,0.00
2009-09,642.00M,,,209.00M,209.00M,-36.00M,37.00M,37.00M,606.00M,364.00M,-396.00M,-219.00M,,355.00M,-74.00M,2.311B,-157.00M,3.00M,-154.00M,0.00,-350.00M,5.00M,-1.094B,-1.237B,-5.00M,-1.242B,0.00,,0.00,0.00,0.00,0.00,,-215.00M,-340.00M,2.041B,16.45B,3.258B,-16.00M,19.69B,0.00,1.52B,-2.757B,0.00
2009-06,342.00M,,,376.00M,376.00M,-1.012B,68.00M,68.00M,-1.044B,953.00M,453.00M,53.00M,,415.00M,-166.00M,1.607B,-246.00M,27.00M,-219.00M,0.00,-1.611B,-76.00M,-988.00M,-4.431B,-678.00M,-5.109B,531.00M,,531.00M,0.00,-3.389B,-3.389B,,-268.00M,,-6.132B,20.81B,-5.513B,47.00M,16.45B,531.00M,2.98B,-7.411B,-3.389B
2009-03,443.00M,,,192.00M,192.00M,-375.00M,53.00M,53.00M,1.466B,-2.304B,230.00M,-515.00M,,-1.123B,1.00M,994.00M,-88.00M,9.00M,-79.00M,0.00,-5.144B,20.00M,1.798B,-2.271B,-6.041B,-8.312B,,,0.00,3.389B,,3.389B,,-226.00M,,-2.505B,20.55B,287.00M,-27.00M,20.81B,3.389B,,-2.271B,
2008-12,306.00M,,,174.00M,174.00M,805.00M,79.00M,79.00M,-197.00M,-1.163B,-2.094B,-67.00M,,-3.521B,217.00M,-970.00M,-344.00M,12.00M,-332.00M,28.00M,163.00M,,5.173B,2.442B,-5.119B,-2.677B,-4.00M,1.00M,-3.00M,,,0.00,,-209.00M,,125.00M,15.90B,4.328B,-44.00M,21.65B,-4.00M,5.905B,111.00M,1.00M
2008-09,861.00M,,,179.00M,179.00M,273.00M,49.00M,49.00M,-283.00M,-1.017B,-385.00M,-420.00M,,-2.105B,6.00M,776.00M,-228.00M,-7.00M,-235.00M,-253.00M,-24.00M,,3.418B,1.337B,-3.151B,-1.814B,20.00M,0.00,20.00M,,,0.00,,-209.00M,,-8.418B,20.09B,-4.224B,31.00M,15.90B,20.00M,3.235B,-5.049B,0.00
2008-06,660.00M,,,186.00M,186.00M,-448.00M,62.00M,62.00M,-282.00M,1.149B,118.00M,63.00M,,1.048B,-59.00M,3.432B,-209.00M,17.00M,-192.00M,-22.00M,-419.00M,,-2.964B,1.695B,-1.573B,122.00M,68.00M,0.00,68.00M,,,0.00,,-208.00M,,182.00M,19.45B,650.00M,-11.00M,20.09B,68.00M,5.594B,-5.472B,0.00
2008-03,1.044B,,,173.00M,173.00M,-188.00M,66.00M,66.00M,863.00M,1.521B,105.00M,-346.00M,,2.143B,-35.00M,4.535B,-196.00M,5.00M,-191.00M,-4.342B,-167.00M,,1.934B,-48.00M,1.15B,1.102B,92.00M,-219.00M,-127.00M,,,0.00,,-210.00M,,-2.329B,15.27B,4.14B,44.00M,19.45B,92.00M,4.479B,-3.377B,-219.00M
2007-12,831.00M,,,166.00M,166.00M,-262.00M,,1.173B,,,,,,-2.644B,,-736.00M,-245.00M,,-245.00M,0.00,-483.00M,-4.13B,-4.858B,3.001B,444.00M,3.445B,,,-655.00M,,,,,-176.00M,223.00M,9.15B,11.62B,3.556B,88.00M,15.27B,,28.00M,2.973B,
2007-09,1.067B,,,143.00M,143.00M,-286.00M,,1.516B,,,,,,1.40B,,3.84B,-230.00M,,-230.00M,-143.00M,1.128B,-3.791B,-3.036B,3.905B,-518.00M,3.387B,,,-735.00M,,,,,-177.00M,1.519B,3.105B,7.371B,3.909B,54.00M,11.62B,,8.209B,-4.304B,
2007-06,1.057B,,,183.00M,183.00M,-83.00M,,1.17B,,,,,,713.00M,,3.04B,-204.00M,,-204.00M,16.00M,-1.648B,-7.733B,-9.569B,5.375B,1.731B,7.106B,,,-643.00M,,,,,-179.00M,-1.418B,5.838B,8.344B,-691.00M,8.00M,7.371B,,8.754B,-3.379B,
2007-03,1.057B,,,156.00M,156.00M,-220.00M,,929.00M,,,,,,425.00M,,2.347B,-204.00M,,-204.00M,3.00M,599.00M,-36.00M,362.00M,-662.00M,1.025B,363.00M,,,-687.00M,,,,,-180.00M,912.00M,-2.627B,8.246B,82.00M,16.00M,8.344B,,3.842B,-4.504B,
2006-12,922.00M,,,152.00M,152.00M,-335.00M,,1.106B,,,,,,518.00M,,2.363B,-309.00M,,-309.00M,443.00M,-73.00M,-7.219B,-7.158B,763.00M,2.186B,2.949B,,,-657.00M,,,,,-181.00M,-299.00M,4.252B,8.634B,-543.00M,155.00M,8.246B,,-2.035B,2.798B,
2006-09,967.00M,,,136.00M,136.00M,-234.00M,,641.00M,,,,,,782.00M,,2.292B,-181.00M,,-181.00M,-120.00M,311.00M,-2.954B,-2.944B,5.446B,-2.067B,3.379B,,,-604.00M,,,,,-181.00M,1.034B,1.982B,6.798B,1.33B,28.00M,8.634B,,5.993B,-547.00M,
2006-06,945.00M,,,159.00M,159.00M,-81.00M,,820.00M,,,,,,609.00M,,2.452B,-141.00M,,-141.00M,274.00M,-369.00M,-6.306B,-6.542B,2.926B,2.251B,5.177B,,,-1.005B,,,,,-150.00M,-457.00M,5.508B,5.393B,1.418B,-13.00M,6.798B,,9.874B,-6.948B,
2006-03,873.00M,,,161.00M,161.00M,272.00M,,739.00M,,,,,,-40.00M,,2.005B,-123.00M,,-123.00M,182.00M,277.00M,996.00M,1.332B,2.29B,-2.251B,39.00M,,,-624.00M,,,,,-149.00M,183.00M,-5.164B,7.126B,-1.827B,94.00M,5.393B,,5.348B,-3.058B,
2005-12,745.00M,,,124.00M,124.00M,-69.00M,,1.048B,,,,,,-1.402B,,446.00M,-146.00M,,-146.00M,-326.00M,-161.00M,-5.726B,-6.359B,2.073B,-762.00M,1.311B,,,63.00M,,,,,-148.00M,2.528B,5.39B,7.623B,-523.00M,44.00M,7.604B,,2.349B,-276.00M,
2005-09,1.03B,,,142.00M,142.00M,-177.00M,,-196.00M,,,,,,1.115B,,1.914B,-69.00M,,-69.00M,230.00M,363.00M,-6.534B,-6.01B,1.65B,417.00M,2.067B,,,-57.00M,,,,,-150.00M,742.00M,2.459B,9.28B,-1.637B,-20.00M,7.623B,,7.666B,-6.016B,
2005-06,1.013B,,,100.00M,100.00M,-319.00M,,1.582B,,,,,,1.467B,,3.843B,15.00M,,15.00M,-26.00M,-710.00M,-4.986B,-5.707B,-2.46B,1.222B,-1.238B,,,-352.00M,,,,,-149.00M,100.00M,1.896B,9.279B,32.00M,-31.00M,9.28B,,2.591B,-5.051B,
2005-03,946.00M,,,201.00M,201.00M,299.00M,,614.00M,,,,,,-218.00M,,1.842B,-145.00M,,-145.00M,-14.00M,-178.00M,1.152B,815.00M,-1.348B,-1.222B,-2.57B,,,-378.00M,,,,,-150.00M,535.00M,-3.282B,9.907B,-625.00M,-3.00M,9.279B,,1.589B,-2.937B,
2004-12,896.00M,,,158.00M,158.00M,117.00M,,290.00M,,,,,,840.00M,,2.301B,-310.00M,,-310.00M,178.00M,-2.686B,-4.818B,-7.636B,381.00M,5.543B,5.924B,,,-631.00M,,,,,-152.00M,2.608B,8.111B,4.884B,2.776B,58.00M,9.907B,,4.619B,-4.238B,
2004-09,879.00M,,,75.00M,75.00M,637.00M,,1.589B,,,,,,86.00M,,3.266B,-100.00M,,-100.00M,-16.00M,63.00M,87.00M,34.00M,7.223B,-6.716B,507.00M,,,-550.00M,,,,,-126.00M,-505.00M,-2.723B,6.071B,577.00M,-5.00M,4.884B,,7.829B,-606.00M,
2004-06,876.00M,,,179.00M,179.00M,17.00M,,667.00M,,,,,,-135.00M,,1.604B,-181.00M,,-181.00M,-19.00M,2.046B,-3.299B,-1.453B,-415.00M,1.166B,751.00M,,,-767.00M,,,,,-128.00M,289.00M,1.11B,4.817B,1.261B,-7.00M,6.071B,,2.174B,-2.589B,
