,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2014-05,3.675B,3.750B,3.248B,501.73M,30.70M,282.75M,313.45M,58.30M,,7.601M,94.62M,87.01M,313.45M,188.28M,94.62M,7.601M,87.01M,-0.277M,87.01M,275.02M,105.37M,169.65M,169.65M,169.65M,309.97M,27.34M,282.62M,0.77,,0.77,0.77,0.76,,0.76,0.76,220.27M,223.63M
2014-02,2.826B,3.076B,2.692B,384.14M,35.20M,262.25M,297.45M,55.90M,,7.546M,80.82M,73.28M,297.45M,86.69M,80.82M,7.546M,73.28M,-0.254M,73.28M,159.71M,60.50M,99.21M,99.21M,99.21M,195.18M,27.93M,167.25M,0.45,,0.45,0.45,0.44,,0.44,0.44,222.86M,226.73M
2013-11,2.884B,2.941B,2.560B,381.72M,23.40M,260.97M,284.37M,53.90M,,7.649M,83.90M,76.26M,284.37M,97.36M,83.90M,7.649M,76.26M,-0.411M,76.26M,173.20M,66.75M,106.45M,106.45M,106.45M,205.67M,24.82M,180.85M,0.48,,0.48,0.48,0.47,,0.47,0.47,223.26M,227.42M
2013-08,3.174B,3.246B,2.811B,434.74M,26.50M,256.71M,283.21M,54.50M,,7.761M,84.42M,76.66M,283.21M,151.54M,84.42M,7.761M,76.66M,-1.073M,76.66M,227.12M,86.85M,140.27M,140.27M,140.27M,259.71M,24.82M,234.89M,0.63,,0.63,0.63,0.62,,0.62,0.62,223.61M,227.63M
2013-05,3.245B,3.311B,2.863B,448.10M,27.10M,263.09M,290.19M,52.50M,,7.878M,87.02M,79.14M,290.19M,157.91M,87.02M,7.878M,79.14M,0.241M,79.14M,237.29M,90.64M,146.65M,146.65M,146.65M,269.50M,24.34M,245.17M,0.65,,0.65,0.65,0.64,,0.64,0.64,224.62M,228.55M
2013-02,2.770B,2.828B,2.459B,369.24M,29.60M,235.88M,265.48M,50.10M,,7.997M,75.96M,67.96M,265.48M,103.76M,75.96M,7.997M,67.96M,0.43M,67.96M,172.15M,64.93M,107.22M,107.22M,107.22M,204.71M,24.56M,180.15M,0.47,,0.47,0.47,0.46,,0.46,0.46,227.34M,231.15M
2012-11,2.542B,2.602B,2.257B,345.22M,22.50M,234.78M,257.28M,51.10M,,8.065M,72.45M,64.39M,257.28M,87.94M,72.45M,8.065M,64.39M,0.139M,64.39M,152.46M,57.78M,94.68M,94.68M,94.68M,184.81M,24.28M,160.53M,0.41,,0.41,0.41,0.41,,0.41,0.41,228.90M,232.66M
2012-08,2.690B,2.758B,2.390B,367.99M,28.50M,226.17M,254.67M,50.90M,,8.152M,75.68M,67.52M,254.67M,113.32M,75.68M,8.152M,67.52M,0.259M,67.52M,181.10M,69.47M,111.64M,111.64M,111.64M,212.71M,23.46M,189.25M,0.49,,0.49,0.49,0.48,,0.48,0.48,228.37M,231.70M
2012-05,2.712B,2.774B,2.393B,381.92M,25.70M,227.90M,253.60M,47.80M,,8.143M,75.18M,67.04M,253.60M,128.31M,75.18M,8.143M,67.04M,0.285M,67.04M,195.63M,74.89M,120.75M,120.75M,120.75M,226.76M,22.98M,203.78M,0.53,,0.53,0.53,0.52,,0.52,0.52,227.77M,231.80M
2012-02,2.221B,2.476B,2.138B,338.17M,,,243.48M,,,8.351M,,253.83M,243.48M,94.69M,,8.351M,253.83M,-195.77M,253.83M,152.76M,57.73M,95.03M,95.03M,95.03M,183.23M,22.12M,161.11M,0.42,,0.42,0.42,0.41,,0.41,0.41,226.82M,231.30M
2011-11,2.261B,2.261B,1.957B,303.22M,,,225.76M,,62.53M,8.359M,,-8.359M,225.76M,77.45M,,8.359M,-8.359M,62.53M,-8.359M,131.63M,49.52M,82.11M,82.11M,43.47M,161.23M,21.24M,139.98M,0.36,0.0,0.1893,0.36,0.36,0.0,0.1924,0.36,226.45M,230.63M
2011-08,2.588B,2.588B,2.234B,354.28M,,,229.89M,,63.94M,8.464M,,-8.464M,229.89M,124.39M,,8.464M,-8.464M,63.94M,-8.464M,179.86M,68.71M,111.15M,111.15M,71.71M,208.15M,19.82M,188.32M,0.49,0.0,0.3157,0.49,0.48,0.0,0.309,0.48,226.30M,230.68M
2011-05,2.679B,2.679B,2.296B,383.10M,,,241.66M,,69.76M,8.54M,,-8.54M,241.66M,141.44M,,8.54M,-8.54M,69.76M,-8.54M,202.66M,77.16M,125.50M,125.50M,82.30M,230.83M,19.63M,211.20M,0.56,0.0,0.3685,0.56,0.54,0.0,0.3524,0.54,225.57M,230.28M
2011-02,1.987B,2.253B,1.932B,320.65M,,,207.17M,,,32.39M,,187.59M,207.17M,113.48M,,32.39M,187.59M,-165.74M,187.59M,135.33M,49.20M,86.13M,86.13M,86.13M,200.38M,32.66M,167.72M,0.38,,0.38,0.38,0.37,,0.37,0.37,224.78M,229.63M
2010-11,2.119B,2.119B,1.821B,297.91M,,,219.71M,,55.94M,0.801M,,-0.801M,219.71M,78.20M,,0.801M,-0.801M,55.94M,-0.801M,133.34M,50.98M,82.36M,82.36M,47.81M,148.76M,14.61M,134.15M,0.37,0.0,0.2157,0.37,0.36,0.0,0.2088,0.36,223.95M,228.47M
2010-08,2.342B,2.342B,1.993B,349.12M,,,225.24M,,-52.60M,1.413M,0.102M,-1.311M,225.24M,123.88M,0.102M,1.413M,-1.311M,-52.60M,-1.311M,175.18M,67.29M,107.88M,107.88M,140.28M,191.20M,14.62M,176.59M,0.48,0.0,0.6254,0.48,0.48,0.0,0.6233,0.48,222.86M,226.13M
2010-05,2.262B,2.262B,1.928B,333.55M,,,226.69M,,57.50M,0.072M,0.08M,0.008M,226.69M,106.86M,0.08M,0.072M,0.008M,57.50M,0.008M,164.36M,63.24M,101.12M,101.12M,65.75M,178.86M,14.43M,164.43M,0.45,0.0,0.2908,0.45,0.44,0.0,0.2836,0.44,222.22M,226.18M
2010-02,1.833B,1.833B,1.568B,265.22M,,,202.20M,,58.92M,0.372M,0.142M,-0.23M,202.20M,63.02M,0.142M,0.372M,-0.23M,58.92M,-0.23M,121.70M,46.34M,75.36M,75.36M,38.88M,136.46M,14.38M,122.08M,0.34,0.0,0.175,0.34,0.34,0.0,0.1778,0.34,221.17M,224.90M
2009-11,1.726B,1.726B,1.483B,242.86M,,,192.14M,,65.81M,0.674M,0.045M,-0.629M,192.14M,50.72M,0.045M,0.674M,-0.629M,65.81M,-0.629M,115.90M,41.31M,74.59M,74.59M,32.24M,130.94M,14.37M,116.57M,0.34,0.0,0.1477,0.34,0.33,0.0,0.1408,0.33,220.20M,223.88M
2009-08,2.077B,2.077B,1.762B,314.55M,,,218.12M,,72.13M,1.348M,0.19M,-1.158M,218.12M,96.43M,0.19M,1.348M,-1.158M,72.13M,-1.158M,167.40M,64.43M,102.97M,102.97M,58.60M,183.29M,14.55M,168.75M,0.47,0.0,0.2672,0.47,0.46,0.0,0.2595,0.46,218.75M,221.33M
2009-05,1.834B,1.834B,1.558B,276.24M,,,206.22M,,-21.64M,1.066M,0.183M,-0.883M,206.22M,70.01M,0.183M,1.066M,-0.883M,-21.64M,-0.883M,47.49M,18.74M,28.75M,28.75M,41.84M,63.59M,15.03M,48.56M,0.13,0.0,0.1901,0.13,0.13,0.0,0.1898,0.13,218.00M,218.84M
2009-02,1.471B,1.471B,1.240B,230.31M,,,196.74M,,,1.026M,0.433M,-0.593M,215.60M,14.70M,0.433M,1.026M,-0.593M,,-0.593M,60.94M,23.42M,37.52M,37.52M,37.52M,75.33M,13.36M,61.96M,0.17,0.0,0.17,0.17,0.17,0.0,0.17,0.17,217.74M,218.39M
2008-11,1.456B,1.456B,1.256B,199.24M,,,217.48M,,15.36M,1.525M,0.735M,-0.79M,217.48M,-18.25M,0.735M,1.525M,-0.79M,15.36M,-0.79M,-34.40M,-12.52M,-21.87M,-21.87M,-31.64M,-18.99M,13.88M,-32.87M,-0.1,0.0,-0.1449,-0.1,-0.1,0.0,-0.1449,-0.1,217.71M,217.71M
2008-08,1.839B,1.839B,1.583B,255.91M,,,225.15M,,7.141M,1.477M,0.354M,-1.123M,225.15M,30.76M,0.354M,1.477M,-1.123M,7.141M,-1.123M,22.50M,8.495M,14.01M,14.01M,9.561M,38.22M,14.25M,23.98M,0.06,0.0,0.0396,0.06,0.06,0.0,0.0398,0.06,217.60M,219.96M
2008-05,2.209B,2.209B,1.926B,282.71M,,,242.98M,,-9.819M,2.058M,0.264M,-1.794M,242.98M,39.73M,0.264M,2.058M,-1.794M,-9.819M,-1.794M,47.76M,18.20M,29.56M,29.56M,35.64M,63.06M,13.25M,49.81M,0.13,0.0,0.158,0.13,0.13,0.0,0.1576,0.13,217.09M,220.48M
2008-02,2.045B,2.045B,1.787B,257.13M,,,219.85M,,-0.962M,,,,219.85M,37.27M,,,,-0.962M,,34.82M,13.00M,21.83M,21.83M,22.43M,137.69M,12.45M,125.24M,0.1,0.0,0.1028,0.1,0.1,0.0,0.1027,0.1,216.70M,220.82M
2007-11,1.885B,1.885B,1.642B,242.88M,,,210.51M,,16.35M,,,,210.51M,32.38M,,,,16.35M,,48.96M,19.12M,29.85M,29.85M,19.88M,44.52M,12.14M,32.38M,0.14,0.0,0.0939,0.14,0.14,0.0,0.0948,0.14,216.30M,220.56M
2007-08,2.123B,2.123B,1.834B,288.19M,,,214.20M,,34.15M,,,,214.20M,74.00M,,,,34.15M,,107.44M,42.45M,65.00M,65.00M,44.34M,85.19M,11.19M,74.00M,0.3,0.0,0.2043,0.3,0.29,0.0,0.1963,0.29,215.89M,220.58M
2007-05,2.147B,2.147B,1.863B,284.22M,,,213.81M,,37.07M,,,,213.81M,70.41M,,,,37.07M,,105.84M,40.48M,65.36M,65.36M,42.47M,81.24M,10.84M,70.41M,0.3,0.0,0.1937,0.3,0.3,0.0,0.196,0.3,215.29M,220.13M
2007-02,1.883B,1.883B,1.642B,240.83M,,,201.84M,,31.74M,,,,201.84M,39.00M,,,,31.74M,,70.05M,27.91M,42.14M,42.14M,23.04M,48.37M,9.374M,39.00M,0.19,0.0,0.101,0.19,0.19,0.0,0.1031,0.19,214.45M,219.79M
2006-11,1.768B,1.768B,1.540B,228.61M,,,187.32M,,31.97M,,,,187.32M,41.29M,,,,31.97M,,73.50M,28.08M,45.42M,45.42M,25.66M,49.74M,8.45M,41.29M,0.21,0.0,0.1173,0.21,0.21,0.0,0.1193,0.21,213.02M,217.77M
2006-08,1.930B,1.930B,1.676B,253.36M,,,200.05M,,36.51M,,,,200.05M,53.32M,,,,36.51M,,87.79M,33.53M,54.26M,54.26M,31.70M,61.97M,8.652M,53.32M,0.255,0.0,0.1485,0.255,0.25,0.0,0.1452,0.25,211.83M,215.30M
2006-05,1.885B,1.885B,1.637B,248.26M,,,186.97M,,32.39M,,,,186.97M,61.29M,,,,32.39M,,92.00M,35.23M,56.78M,56.78M,36.79M,69.36M,8.075M,61.29M,0.27,0.0,0.175,0.27,0.265,0.0,0.1716,0.265,210.53M,214.11M
2006-02,1.624B,1.624B,1.417B,207.20M,,,149.47M,,25.46M,,,,149.47M,57.73M,,,,25.46M,,81.53M,31.02M,50.51M,50.51M,34.73M,65.23M,7.499M,57.73M,0.175,0.0,0.0998,0.175,0.17,0.0,0.0961,0.17,209.80M,213.33M
2005-11,1.424B,1.424B,1.247B,177.17M,,,167.35M,,27.97M,,,,167.35M,9.822M,,,,27.97M,,37.62M,14.69M,22.93M,22.93M,5.884M,16.82M,6.999M,9.822M,0.11,0.0,0.0286,0.11,0.11,0.0,0.03,0.11,209.45M,213.01M
2005-08,1.634B,1.634B,1.425B,208.58M,,,171.40M,,23.82M,,,,171.40M,37.18M,,,,23.82M,,60.82M,23.19M,37.64M,37.64M,22.89M,43.45M,6.268M,37.18M,0.18,0.0,0.1095,0.18,0.175,0.0,0.1057,0.175,209.06M,212.59M
2005-05,1.578B,1.578B,1.381B,197.76M,,,163.76M,,27.07M,,,,163.76M,33.99M,,,,27.07M,,60.01M,23.03M,36.98M,36.98M,20.30M,39.92M,5.926M,33.99M,0.175,0.0,0.0951,0.175,0.175,0.0,0.0963,0.175,208.77M,211.96M
2005-02,1.396B,1.396B,1.222B,174.32M,,,143.99M,,19.61M,,,,143.99M,30.33M,,,,19.61M,,48.07M,18.38M,29.69M,29.69M,17.58M,37.06M,6.732M,30.33M,0.09,0.0,0.0319,0.09,0.085,0.0,0.0276,0.085,208.53M,211.16M
2004-11,1.216B,1.216B,1.070B,145.45M,,,137.17M,,21.13M,,,,137.17M,8.276M,,,,21.13M,,29.58M,11.54M,18.04M,18.04M,5.155M,12.79M,4.518M,8.276M,0.085,0.0,0.0231,0.085,0.085,0.0,0.024,0.085,208.14M,211.47M
2004-08,1.324B,1.324B,1.160B,163.20M,,,134.74M,,20.74M,,,,134.74M,28.46M,,,,20.74M,,48.95M,19.09M,29.86M,29.86M,17.21M,33.04M,4.582M,28.46M,0.145,0.0,0.0842,0.145,0.14,0.0,0.08,0.14,208.00M,211.02M
2004-05,1.325B,1.325B,1.158B,167.23M,,,130.69M,,21.82M,,,,130.69M,36.54M,,,,21.82M,,57.92M,22.59M,35.33M,35.33M,22.02M,40.86M,4.313M,36.54M,0.17,0.0,0.1059,0.17,0.165,0.0,0.1021,0.165,207.73M,211.55M
2004-02,1.117B,1.117B,983.10M,133.77M,,,117.82M,,20.47M,,,,117.82M,15.94M,,,,20.47M,,36.63M,14.10M,22.53M,22.53M,9.938M,19.90M,3.956M,15.94M,0.11,0.0,0.0493,0.11,0.105,0.0,0.0456,0.105,207.46M,211.87M
2003-11,1.072B,1.072B,945.29M,126.24M,,,114.28M,,18.86M,,,,114.28M,11.96M,,,,18.86M,,30.98M,11.93M,19.05M,19.05M,7.456M,15.87M,3.909M,11.96M,0.09,0.0,0.0341,0.09,0.09,0.0,0.0353,0.09,207.29M,211.91M
2003-08,1.236B,1.236B,1.073B,163.10M,,,121.17M,,22.68M,,,,121.17M,41.93M,,,,22.68M,,64.41M,24.80M,39.61M,39.61M,25.66M,46.27M,4.343M,41.93M,0.19,0.0,0.1226,0.19,0.185,0.0,0.1191,0.185,206.97M,211.73M
2003-05,1.173B,1.173B,1.025B,147.77M,,,115.55M,,25.75M,,,,115.55M,32.22M,,,,25.75M,,57.33M,22.07M,35.26M,35.26M,19.43M,36.31M,4.095M,32.22M,0.17,0.0,0.0932,0.17,0.17,0.0,0.0944,0.17,206.31M,209.52M
2003-02,946.64M,946.64M,836.30M,110.34M,,,99.57M,,9.731M,,,,99.57M,10.77M,,,,9.731M,,31.62M,12.49M,19.13M,19.13M,13.25M,13.73M,2.955M,10.77M,0.095,0.0,0.0664,0.095,0.095,0.0,0.0668,0.095,206.03M,208.95M
2002-11,936.82M,936.82M,829.88M,106.94M,,,101.81M,,19.22M,,,,101.81M,5.13M,,,,19.22M,,24.32M,9.608M,14.72M,14.72M,3.089M,8.678M,3.548M,5.13M,0.07,0.0,0.0136,0.07,0.07,0.0,0.0144,0.07,206.09M,209.03M
2002-08,1.081B,1.081B,951.87M,128.81M,,,98.00M,,22.11M,,,,98.00M,30.82M,,,,22.11M,,52.42M,20.71M,31.71M,31.71M,18.34M,35.11M,4.291M,30.82M,0.155,0.0,0.0901,0.155,0.15,0.0,0.086,0.15,205.98M,209.08M
2002-05,1.006B,1.006B,883.66M,122.14M,,,93.04M,,19.84M,,,,93.04M,29.10M,,,,19.84M,,48.33M,19.09M,29.24M,29.24M,17.24M,33.26M,4.156M,29.10M,0.14,0.0,0.0817,0.14,0.14,0.0,0.0827,0.14,205.77M,209.51M
2002-02,1.111B,1.111B,995.37M,115.88M,,,152.44M,,,,,,152.44M,-36.56M,,,,,,29.67M,11.28M,18.40M,18.40M,18.40M,-33.36M,3.201M,-36.56M,0.09,0.0,0.09,0.09,0.085,0.0,0.085,0.085,205.02M,209.00M
2001-11,774.32M,774.32M,683.30M,91.03M,,,61.22M,,,,,,61.22M,29.81M,,,,,,29.75M,11.30M,18.44M,18.44M,18.44M,33.74M,3.934M,29.81M,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,204.43M,208.48M
2001-08,938.91M,938.91M,830.38M,108.53M,,,62.26M,,,,,,62.26M,46.26M,,,,,,44.18M,16.79M,27.39M,27.39M,27.39M,50.88M,4.612M,46.26M,0.135,0.0,0.135,0.135,0.125,0.0,0.125,0.125,54.78M,54.78M
2001-05,796.82M,796.82M,688.17M,108.65M,,,58.55M,,,,,,63.24M,45.41M,,,,,,42.86M,16.29M,26.57M,26.57M,26.57M,50.10M,4.693M,45.41M,0.13,0.0,0.13,0.13,0.125,0.0,0.125,0.125,53.29M,53.29M
2001-02,897.52M,897.52M,818.04M,79.48M,,,121.18M,,,,,,107.13M,-27.65M,,,,,,12.54M,4.762M,7.781M,7.781M,7.781M,-23.43M,4.22M,-27.65M,0.035,0.0,0.035,0.035,0.035,0.0,0.035,0.035,51.09M,53.93M
2000-11,561.69M,561.69M,485.11M,76.58M,,,56.81M,,,,,,61.71M,14.87M,,,,,,12.21M,4.638M,7.568M,7.568M,7.568M,19.77M,4.904M,14.87M,0.04,0.0,0.04,0.04,0.035,0.0,0.035,0.035,51.14M,54.04M
2000-08,673.56M,673.56M,578.44M,95.12M,,,61.35M,,,,,,65.92M,29.20M,,,,,,26.24M,9.972M,16.27M,16.27M,16.27M,33.77M,4.57M,29.20M,0.08,0.0,0.08,0.08,0.075,0.0,0.075,0.075,51.10M,53.91M
