,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2018-05,76.35M,76.35M,101.35M,,,101.35M,2.260B,,431.41M,,88.36M,2.957B,,,,,,,,,,2.714B,11.84B,55.49M,185.94M,14.80B,17.76B,586.34M,55.99M,642.33M,252.63M,894.96M,,382.69M,382.69M,10.55M,393.24M,,,,1.288B,12.36B,497.42M,12.86B,,,,223.05M,13.08B,14.37B,88.36M,2.116B,1.235B,-55.04M,3.384B
2018-02,44.52M,44.52M,133.32M,,,133.32M,2.391B,,399.44M,,93.46M,3.061B,0.0,799.32M,2.082B,600.74M,,134.35M,215.11M,3.831B,-1.164B,2.667B,11.54B,63.26M,158.81M,14.42B,17.49B,529.73M,0.00,529.73M,278.77M,808.50M,,355.56M,355.56M,9.994M,365.55M,,,,1.174B,12.26B,490.37M,12.75B,,,,242.55M,13.00B,14.17B,89.87M,2.047B,1.234B,-54.31M,3.317B
2017-11,26.29M,26.29M,95.84M,,,95.84M,2.441B,,388.94M,,53.30M,3.005B,,,,,,,,,,2.634B,11.38B,133.17M,154.05M,14.30B,17.30B,519.98M,0.00,519.98M,233.40M,753.38M,,348.71M,348.71M,9.59M,358.30M,,,,1.112B,12.16B,490.97M,12.65B,,,,239.67M,12.89B,14.00B,90.74M,2.028B,1.233B,-51.30M,3.301B
2017-08,25.76M,25.76M,99.73M,,,99.73M,2.232B,,404.28M,,41.79M,2.803B,,,,,,,,,,2.602B,11.17B,150.68M,147.06M,14.07B,16.88B,568.04M,14.90M,582.93M,251.93M,834.87M,,357.39M,357.39M,9.302M,366.69M,,,,1.202B,11.74B,493.20M,12.23B,,,,239.19M,12.47B,13.67B,90.95M,1.976B,1.194B,-59.63M,3.201B
2017-05,60.08M,60.08M,104.74M,,,104.74M,2.148B,,385.69M,,35.78M,2.735B,,,,,,,,,,2.558B,10.89B,145.26M,145.53M,13.74B,16.48B,510.57M,103.59M,614.16M,203.21M,817.37M,,339.52M,339.52M,9.772M,349.30M,,,,1.167B,11.44B,484.39M,11.93B,,,,231.02M,12.16B,13.32B,91.94M,1.934B,1.185B,-58.23M,3.152B
2017-02,38.42M,38.42M,152.39M,,,152.39M,2.261B,,380.35M,,41.91M,2.874B,0.0,726.00M,1.935B,525.18M,,179.89M,193.97M,3.560B,-1.041B,2.518B,10.60B,150.96M,140.30M,13.41B,16.28B,494.99M,1.404M,496.39M,266.13M,762.52M,,333.78M,333.78M,9.491M,343.27M,,,,1.106B,11.34B,486.64M,11.83B,,,,238.55M,12.06B,13.17B,93.27M,1.883B,1.189B,-56.56M,3.109B
2016-11,23.71M,23.71M,92.00M,,,92.00M,2.170B,,357.04M,,41.35M,2.684B,,,,,,,,,,2.449B,10.33B,156.00M,137.13M,13.08B,15.76B,476.76M,2.071M,478.83M,224.58M,703.41M,,313.74M,313.74M,10.57M,324.30M,,,,1.028B,11.02B,466.96M,11.48B,,,,232.44M,11.72B,12.74B,93.68M,1.821B,1.160B,-60.14M,3.015B
2016-08,316.03M,316.03M,94.58M,,,94.58M,1.919B,,380.66M,,45.27M,2.755B,,,,,,,,,,2.326B,10.13B,152.84M,138.59M,12.75B,15.50B,486.94M,0.205M,487.15M,246.05M,733.20M,,338.02M,338.02M,13.14M,351.16M,,,,1.084B,10.70B,427.27M,11.13B,,,,226.98M,11.36B,12.44B,95.54M,1.858B,1.175B,-66.58M,3.062B
2016-05,52.58M,52.58M,102.54M,,,102.54M,1.865B,,364.16M,,32.32M,2.417B,,,,,,,,,,2.234B,9.853B,152.33M,133.27M,12.37B,14.79B,454.52M,89.99M,544.51M,205.43M,749.94M,,321.02M,321.02M,12.41M,333.44M,,,,1.083B,10.09B,419.88M,10.51B,,,,222.94M,10.73B,11.82B,96.25M,1.806B,1.136B,-66.82M,2.972B
2016-02,37.39M,37.39M,132.17M,,,132.17M,1.932B,,343.83M,,26.36M,2.472B,0.0,595.20M,1.650B,443.05M,,224.11M,174.50M,3.087B,-925.32M,2.162B,9.537B,161.86M,127.68M,11.99B,14.46B,441.75M,2.029M,443.78M,245.91M,689.68M,,301.18M,301.18M,14.33M,315.51M,,,,1.005B,9.920B,400.32M,10.32B,,,,229.27M,10.55B,11.56B,97.36M,1.747B,1.131B,-70.20M,2.905B
2015-11,33.35M,33.35M,88.53M,,,88.53M,2.153B,,316.19M,10.88M,32.67M,2.635B,,,,,,,,,,2.106B,9.318B,174.06M,148.10M,11.75B,14.38B,420.86M,0.328M,421.18M,211.83M,633.02M,,275.86M,275.86M,14.67M,290.54M,,,,923.55M,9.924B,391.86M,10.32B,,,,229.91M,10.55B,11.47B,98.78M,1.743B,1.137B,-66.66M,2.912B
2015-08,100.48M,100.48M,100.83M,,,100.83M,1.912B,,335.08M,10.33M,45.46M,2.504B,,,,,,,,,,2.017B,9.117B,166.67M,149.14M,11.45B,13.95B,453.86M,1.169M,455.03M,226.37M,681.40M,,298.99M,298.99M,21.58M,320.57M,,,,1.002B,9.156B,357.82M,9.514B,,,,225.55M,9.740B,10.74B,102.46M,2.013B,1.162B,-66.15M,3.211B
2015-05,351.70M,351.70M,103.66M,,,103.66M,1.844B,,328.05M,9.245M,29.09M,2.666B,,,,,,,,,,1.896B,8.813B,156.73M,138.90M,11.00B,13.67B,446.45M,59.09M,505.54M,184.28M,689.82M,,288.13M,288.13M,21.62M,309.75M,,,,999.57M,8.875B,301.48M,9.176B,,,,220.18M,9.396B,10.40B,104.34M,2.067B,1.170B,-66.46M,3.275B
2015-02,27.61M,27.61M,137.69M,,,137.69M,2.087B,,294.12M,,44.65M,2.591B,0.0,549.59M,1.391B,389.65M,,209.06M,146.14M,2.685B,-822.71M,1.863B,8.436B,175.74M,133.48M,10.61B,13.20B,454.81M,1.554M,456.36M,250.31M,706.67M,,268.95M,268.95M,21.55M,290.50M,,,,997.17M,8.512B,306.28M,8.819B,,,,225.49M,9.044B,10.04B,104.44M,1.994B,1.124B,-65.39M,3.157B
2014-11,189.88M,189.88M,88.18M,,,88.18M,1.965B,,275.72M,6.368M,48.43M,2.573B,,,,,,,,,,1.834B,8.138B,166.81M,131.44M,10.27B,12.84B,459.93M,0.424M,460.35M,202.53M,662.89M,,244.38M,244.38M,20.92M,265.30M,,,,928.18M,8.239B,311.77M,8.550B,,,,182.68M,8.733B,9.661B,105.46M,2.042B,1.080B,-45.86M,3.182B
2014-08,354.60M,354.60M,108.86M,,,108.86M,1.709B,,297.07M,8.275M,38.68M,2.516B,,,,,,,,,,1.754B,7.844B,157.18M,128.04M,9.883B,12.40B,418.27M,0.244M,418.51M,205.48M,623.99M,,262.65M,262.65M,20.28M,282.93M,,,,906.93M,7.648B,310.69M,7.959B,,,,176.03M,8.135B,9.042B,108.35M,2.205B,1.089B,-44.47M,3.358B
2014-05,532.19M,532.19M,97.81M,,,97.81M,1.682B,,290.65M,8.08M,26.20M,2.637B,,,,,,,,,,1.697B,7.548B,150.90M,116.71M,9.512B,12.15B,433.12M,94.82M,527.93M,159.30M,687.23M,,255.21M,255.21M,19.72M,274.93M,,,,962.16M,7.373B,315.76M,7.689B,,,,168.66M,7.857B,8.820B,109.24M,2.230B,1.036B,-45.78M,3.329B
2014-02,627.90M,627.90M,79.92M,,,79.92M,1.641B,,259.30M,7.866M,26.81M,2.643B,0.0,516.90M,1.245B,343.96M,1.739M,145.92M,129.19M,2.382B,-730.56M,1.652B,7.148B,152.20M,111.96M,9.064B,11.71B,427.49M,2.438M,429.93M,202.59M,632.52M,,224.52M,224.52M,18.46M,242.98M,,,,875.50M,7.025B,315.92M,7.340B,,,,174.23M,7.515B,8.390B,110.84M,2.214B,1.038B,-46.27M,3.317B
2013-11,664.76M,664.76M,68.03M,,,68.03M,1.556B,,246.80M,2.651M,20.29M,2.559B,,,,,,,,,,1.589B,6.892B,151.28M,112.86M,8.745B,11.30B,367.48M,8.554M,376.03M,138.91M,514.94M,,215.82M,215.82M,17.84M,233.66M,,,,748.60M,6.756B,320.79M,7.076B,,,,190.58M,7.267B,8.016B,111.61M,2.220B,1.014B,-57.13M,3.288B
2013-08,750.03M,750.03M,85.55M,,,85.55M,1.364B,,251.34M,4.30M,26.17M,2.481B,,,,,,,,,,1.535B,6.666B,146.17M,104.78M,8.452B,10.93B,346.15M,1.808M,347.96M,144.95M,492.91M,,219.84M,219.84M,17.17M,237.01M,,,,729.92M,6.512B,325.49M,6.838B,,,,181.26M,7.019B,7.749B,111.66M,2.127B,1.000B,-53.91M,3.185B
2013-05,725.27M,725.27M,70.45M,,,70.45M,1.398B,,240.72M,4.737M,15.40M,2.455B,,,,,,,,,,1.444B,6.310B,138.16M,102.95M,7.996B,10.45B,316.64M,58.96M,375.60M,109.71M,485.32M,,208.08M,208.08M,16.83M,224.92M,,,,710.23M,6.160B,332.96M,6.493B,,,,171.63M,6.665B,7.375B,112.07M,2.030B,990.78M,-57.51M,3.075B
2013-02,449.36M,449.36M,91.96M,,,91.96M,1.518B,,224.29M,5.193M,21.51M,2.310B,0.0,443.89M,1.120B,311.65M,1.739M,89.53M,106.70M,2.073B,-648.98M,1.424B,5.896B,145.88M,112.58M,7.578B,9.889B,336.72M,0.222M,336.94M,147.82M,484.76M,,183.27M,183.27M,16.14M,199.41M,,,,684.17M,5.672B,337.45M,6.010B,,,,175.64M,6.185B,6.869B,112.95M,1.994B,972.25M,-59.81M,3.019B
2012-11,445.11M,445.11M,62.66M,,,62.66M,1.339B,,204.36M,9.315M,24.88M,2.085B,,,,,,,,,,1.412B,5.552B,147.57M,101.12M,7.212B,9.298B,272.81M,0.266M,273.07M,116.63M,389.70M,169.40M,0.706M,170.10M,15.88M,185.99M,,,,575.69M,5.211B,341.42M,5.552B,,,,145.83M,5.698B,6.274B,114.11M,2.019B,942.02M,-51.74M,3.024B
2012-08,458.57M,458.57M,70.43M,,,70.43M,1.198B,,204.73M,7.705M,22.11M,1.962B,,,,,,,,,,1.347B,5.315B,143.75M,103.59M,6.910B,8.871B,221.43M,0.557M,221.99M,116.17M,338.15M,171.29M,1.068M,172.36M,15.32M,187.68M,,,,525.84M,4.910B,345.63M,5.255B,,,,140.68M,5.396B,5.922B,114.22M,1.977B,911.88M,-53.41M,2.950B
2012-05,456.41M,456.41M,65.70M,,,65.70M,1.210B,,182.32M,6.119M,10.26M,1.931B,,,,,,,,,,1.305B,5.132B,130.58M,98.95M,6.667B,8.598B,293.92M,48.07M,341.99M,108.73M,450.73M,152.27M,0.791M,153.06M,14.73M,167.79M,,,,618.52M,4.673B,349.65M,5.023B,,,,136.73M,5.159B,5.778B,114.15M,1.865B,901.72M,-60.80M,2.820B
2012-02,442.66M,442.66M,86.43M,,,86.43M,1.093B,,204.31M,9.938M,17.51M,1.853B,0.0,351.36M,1.033B,273.28M,1.739M,92.39M,95.11M,1.847B,-576.64M,1.270B,4.960B,133.13M,114.84M,6.478B,8.332B,324.83M,3.125M,327.95M,128.97M,456.92M,,175.28M,175.28M,14.11M,189.39M,,,,646.31M,4.510B,353.57M,4.863B,,,,148.80M,5.012B,5.658B,113.56M,1.745B,877.49M,-62.46M,2.673B
2011-11,383.41M,383.41M,54.52M,,,54.52M,1.013B,,174.39M,13.08M,9.806M,1.648B,,,,,,,,,,988.30M,4.808B,87.70M,101.19M,5.985B,7.633B,246.39M,13.07M,259.46M,123.07M,382.54M,147.18M,1.597M,148.78M,,148.78M,,,,531.32M,4.346B,,4.346B,,,,119.47M,4.465B,4.997B,113.24M,1.704B,858.79M,-39.26M,2.637B
2011-08,181.91M,181.91M,64.85M,,,64.85M,1.061B,,154.94M,11.04M,21.76M,1.496B,,,,,,,,,,976.90M,4.699B,88.45M,98.73M,5.863B,7.359B,243.47M,7.451M,250.92M,107.65M,358.58M,129.56M,2.148M,131.71M,,131.71M,,,,490.29M,4.197B,,4.197B,,,,119.50M,4.316B,4.807B,113.21M,1.621B,851.14M,-33.42M,2.552B
2011-05,156.00M,156.00M,85.06M,,,85.06M,1.116B,,170.10M,4.268M,9.187M,1.541B,,,,,,,,,,949.62M,4.484B,86.59M,99.25M,5.619B,7.160B,288.07M,38.24M,326.31M,107.60M,433.90M,140.94M,1.984M,142.92M,,142.92M,,,,576.83M,4.029B,,4.029B,,,,123.53M,4.153B,4.730B,113.02M,1.509B,836.02M,-28.01M,2.430B
2011-02,41.12M,41.12M,119.60M,0.00,,119.60M,1.049B,,161.05M,5.191M,33.66M,1.410B,0.0,297.66M,539.71M,248.94M,32.38M,44.89M,83.29M,1.247B,-326.82M,920.04M,4.321B,92.28M,96.91M,5.430B,6.840B,269.76M,0.772M,270.54M,103.39M,373.92M,132.52M,1.774M,134.29M,,134.29M,,,,508.22M,3.909B,,3.909B,,,,130.57M,4.040B,4.548B,112.94M,1.383B,820.64M,-25.06M,2.292B
2010-11,74.39M,74.39M,66.04M,0.00,,66.04M,1.003B,,165.78M,8.266M,20.03M,1.338B,,,,,,,,,,893.42M,4.275B,95.10M,94.80M,5.358B,6.695B,218.04M,0.524M,218.56M,110.44M,329.00M,138.83M,1.428M,140.26M,,140.26M,,,,469.25M,3.915B,,3.915B,,,,127.26M,4.043B,4.512B,112.75M,1.294B,806.45M,-29.31M,2.183B
2010-08,55.16M,55.16M,65.98M,0.00,,65.98M,929.17M,,166.57M,8.829M,8.854M,1.235B,,,,,,,,,,880.20M,4.263B,100.55M,99.27M,5.343B,6.577B,237.00M,15.50M,252.50M,92.14M,344.64M,139.95M,1.246M,141.20M,,141.20M,,,,485.84M,3.896B,,3.896B,,,,126.55M,4.022B,4.508B,111.91M,1.211B,771.45M,-25.59M,2.069B
2010-05,13.71M,13.71M,84.90M,0.00,,84.90M,894.66M,7.63M,147.02M,7.841M,,1.156B,,,,,,,,,,886.65M,4.136B,95.21M,97.85M,5.216B,6.372B,251.16M,51.64M,302.80M,87.87M,390.67M,118.48M,59.29M,177.78M,,177.78M,,,,568.45M,3.727B,,3.727B,,118.17M,118.17M,,3.845B,4.414B,111.86M,1.103B,763.46M,-20.38M,1.958B
2010-02,18.28M,18.28M,99.43M,30.58M,,682.39M,843.13M,,0.00,5.595M,7.017M,1.556B,0.0,261.54M,519.91M,236.19M,30.64M,37.14M,85.96M,1.171B,-277.92M,893.45M,0.00,57.23M,49.09M,999.78M,2.556B,253.27M,6.327M,259.59M,94.56M,354.15M,0.00,123.20M,123.20M,,123.20M,,,,477.35M,27.37M,,27.37M,,,,117.89M,145.26M,622.61M,111.53M,1.095B,746.13M,-19.55M,1.934B
2009-11,15.21M,15.21M,68.31M,18.82M,,608.42M,751.30M,10.33M,,7.085M,,1.392B,,,,,,,,,,905.56M,,63.64M,48.72M,1.018B,2.410B,191.17M,16.50M,207.67M,100.58M,308.25M,,,119.39M,,119.39M,0.00,0.00,,427.64M,27.53M,,27.53M,,109.12M,109.12M,,136.65M,564.29M,111.23M,1.020B,731.50M,-16.85M,1.846B
2009-08,122.35M,122.35M,79.11M,25.68M,,590.91M,790.08M,10.19M,,8.052M,,1.522B,,,,,,,,,,916.16M,,100.70M,48.86M,1.066B,2.587B,224.84M,36.18M,261.02M,92.92M,353.94M,,,201.79M,,201.79M,0.00,0.00,,555.74M,177.72M,,177.72M,,109.62M,109.62M,,287.34M,843.07M,110.44M,945.51M,705.13M,-16.85M,1.744B
2009-05,133.58M,133.58M,74.69M,22.54M,,530.53M,781.08M,8.308M,,,,1.454B,,,,,,,,,,922.95M,,124.82M,49.40M,1.097B,2.551B,252.70M,55.16M,307.86M,81.84M,389.70M,,,239.68M,,239.68M,10.83M,10.83M,,640.22M,177.89M,,177.89M,,106.11M,106.11M,,284.00M,924.21M,110.10M,842.54M,690.68M,-16.85M,1.626B
2009-02,140.60M,140.60M,75.88M,9.748M,,433.89M,703.16M,10.11M,,0.00,,1.288B,0.0,238.44M,509.68M,230.55M,30.64M,71.29M,83.82M,1.164B,-226.17M,938.26M,,103.16M,50.01M,1.091B,2.379B,237.31M,26.55M,263.86M,55.79M,319.66M,,,158.98M,,158.98M,12.13M,12.13M,,490.77M,178.06M,,178.06M,,117.29M,117.29M,,295.35M,786.12M,110.20M,813.79M,685.94M,-16.86M,1.593B
2008-11,138.14M,138.14M,45.82M,20.91M,315.00M,381.72M,601.51M,8.885M,,,,1.130B,,,,,,,,1.123B,-175.29M,948.11M,,89.32M,50.50M,1.088B,2.218B,177.14M,,177.14M,88.46M,265.60M,,,98.97M,,98.97M,14.93M,14.93M,,379.49M,176.68M,,176.68M,,,,98.30M,274.99M,654.48M,110.21M,776.27M,677.56M,-0.337M,1.564B
2008-08,10.92M,10.92M,59.15M,31.04M,311.03M,401.21M,736.13M,15.05M,,,,1.163B,,,,,,,,1.136B,-175.29M,960.52M,,89.42M,50.90M,1.101B,2.264B,228.58M,,228.58M,85.42M,314.00M,,,60.83M,,60.83M,17.47M,17.47M,,392.29M,176.86M,,176.86M,,,,134.05M,310.91M,703.21M,110.19M,798.14M,668.96M,-16.35M,1.561B
2008-05,11.89M,11.89M,75.39M,10.01M,268.61M,354.02M,933.96M,23.32M,,,,1.323B,,,,,,,,1.102B,-175.29M,926.35M,,79.35M,47.19M,1.053B,2.376B,274.56M,,274.56M,99.34M,373.90M,,,88.39M,,88.39M,15.80M,15.80M,,478.09M,227.02M,,227.02M,,,,134.12M,361.14M,839.23M,110.15M,784.14M,659.12M,-16.56M,1.537B
2008-02,12.96M,12.96M,73.23M,4.984M,,348.97M,975.78M,19.21M,,,,1.357B,0.0,206.02M,397.18M,200.00M,29.26M,140.39M,64.95M,1.038B,-175.29M,862.50M,,67.07M,46.67M,976.24M,2.333B,306.01M,7.569M,313.58M,58.05M,371.64M,,,100.68M,,100.68M,17.71M,17.71M,,490.02M,227.15M,,227.15M,,127.06M,127.06M,,354.21M,844.24M,109.31M,754.58M,641.77M,-16.73M,1.489B
2007-11,8.38M,8.38M,52.77M,4.70M,233.66M,291.13M,892.23M,20.50M,,,,1.212B,,,,,,,,941.92M,-137.37M,804.54M,,45.61M,47.00M,897.16M,2.109B,265.93M,,265.93M,69.34M,335.28M,,,158.68M,,158.68M,16.13M,16.13M,,510.09M,27.28M,,27.28M,,,,117.70M,144.98M,655.06M,109.15M,732.75M,631.18M,-18.76M,1.454B
2007-08,7.589M,7.589M,56.16M,4.464M,224.33M,284.96M,820.17M,19.99M,,,,1.133B,,,,,,,,892.65M,-137.37M,755.28M,,42.47M,47.33M,845.07M,1.978B,248.76M,,248.76M,71.24M,320.00M,,,88.94M,,88.94M,14.68M,14.68M,,423.61M,27.36M,,27.36M,,,,115.98M,143.34M,566.96M,108.94M,703.29M,617.90M,-19.30M,1.411B
2007-05,22.03M,22.03M,68.37M,1.41M,221.89M,291.67M,863.51M,11.12M,,,,1.188B,,,,,,,,839.80M,-137.37M,702.43M,,43.69M,42.70M,788.82M,1.977B,249.33M,,249.33M,108.30M,357.63M,,,134.94M,,134.94M,10.37M,10.37M,,502.94M,33.47M,,33.47M,,,,112.37M,145.84M,648.78M,108.65M,638.30M,601.37M,-19.95M,1.328B
2007-02,19.46M,19.46M,71.41M,6.162M,202.30M,279.88M,836.12M,15.07M,,,,1.151B,0.0,153.59M,318.86M,174.88M,37.12M,104.77M,,789.22M,-137.37M,651.85M,,40.17M,43.03M,735.06M,1.886B,254.90M,,254.90M,92.26M,347.16M,,,151.73M,,151.73M,13.13M,13.13M,,512.02M,33.74M,,33.74M,,,,92.43M,126.18M,638.20M,108.01M,572.15M,587.55M,-20.33M,1.247B
2006-11,12.35M,12.35M,53.09M,3.145M,202.59M,258.83M,760.82M,13.96M,,,,1.046B,,,,,,,,689.36M,-104.25M,585.11M,,25.79M,47.82M,658.71M,1.705B,222.20M,,222.20M,116.90M,339.10M,,,87.41M,,87.41M,10.15M,10.15M,,436.66M,34.01M,,34.01M,,,,35.09M,69.10M,505.76M,53.62M,530.01M,615.28M,,1.199B
2006-08,23.78M,23.78M,66.69M,4.019M,189.82M,260.53M,734.36M,12.07M,,,,1.031B,,,,,,,,637.58M,-104.25M,533.34M,,28.78M,43.86M,605.97M,1.637B,190.17M,,190.17M,132.20M,322.36M,,,105.32M,,105.32M,8.831M,8.831M,,436.51M,34.28M,,34.28M,,,,34.23M,68.50M,505.02M,53.30M,484.59M,593.81M,,1.132B
2006-05,26.04M,26.04M,70.40M,11.83M,167.90M,250.13M,738.70M,12.12M,,,,1.027B,,,,,,,,620.55M,-104.25M,516.30M,,28.60M,44.22M,589.13M,1.616B,224.30M,,224.30M,130.08M,354.38M,,,31.89M,,31.89M,8.821M,8.821M,,395.09M,134.53M,,134.53M,,,,32.94M,167.47M,562.56M,53.00M,430.33M,570.24M,,1.054B
2006-02,21.76M,21.76M,76.62M,4.139M,158.31M,239.07M,669.70M,11.21M,,,,941.74M,0.0,93.41M,194.25M,154.38M,37.12M,124.38M,,603.54M,-104.25M,499.30M,,24.58M,44.00M,567.87M,1.510B,188.61M,,188.61M,90.91M,279.53M,,,60.22M,,60.22M,23.56M,23.56M,,363.32M,134.79M,,134.79M,,,,31.41M,166.19M,529.51M,52.48M,373.55M,554.08M,,980.10M
