,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-05,238.66M,,,,45.34M,45.34M,3.602M,29.00M,1.468M,31.97M,130.66M,,81.73M,6.806M,,-389.35M,-138.18M,230.85M,-79.72M,0.32M,0.32M,,-5.017M,,-84.42M,125.31M,0.238M,125.55M,9.052M,-211.05M,-202.00M,,-3.647M,-80.09M,554.90M,66.34M,621.24M,9.052M,3.486B,-3.361B,-211.05M,,
2018-02,122.15M,,,,46.77M,46.77M,66.62M,9.516M,0.075M,-37.48M,49.86M,,47.66M,-29.20M,,-213.90M,-183.06M,112.57M,-69.26M,0.001M,0.001M,,1.002M,,-68.25M,107.79M,-0.466M,107.33M,6.971M,-124.61M,-117.64M,,-4.737M,-15.05M,525.63M,29.27M,554.90M,6.971M,3.684B,-3.577B,-124.61M,,
2017-11,148.84M,,,,45.10M,45.10M,12.11M,15.78M,0.21M,3.892M,-208.78M,,-76.31M,-4.359M,,-264.58M,-550.14M,-274.22M,-72.45M,0.00,0.00,,-5.172M,,-77.62M,408.30M,0.322M,408.62M,42.64M,-110.18M,-67.53M,,-3.901M,337.19M,540.28M,-14.65M,525.63M,42.64M,4.179B,-3.770B,-110.18M,,
2017-08,181.42M,,,,44.18M,44.18M,-4.511M,17.86M,0.392M,5.012M,-83.52M,,14.27M,-6.514M,,-329.25M,-400.00M,-110.40M,-75.69M,0.096M,0.096M,,-0.157M,,-75.76M,316.00M,-0.422M,315.58M,17.30M,-157.40M,-140.10M,,-4.703M,170.78M,555.66M,-15.37M,540.28M,17.30M,3.367B,-3.051B,-157.40M,,
2017-05,211.70M,,,,43.89M,43.89M,6.782M,18.73M,0.621M,47.64M,112.32M,,52.67M,5.451M,,-354.01M,-135.92M,191.49M,-79.42M,0.00,0.00,,-0.817M,,-80.23M,103.60M,0.631M,104.23M,6.608M,-187.38M,-180.78M,,-2.92M,-79.47M,523.86M,31.79M,555.66M,6.608M,3.172B,-3.068B,-187.38M,,
2017-02,152.60M,,,,43.22M,43.22M,2.908M,19.57M,2.051M,-60.38M,-90.39M,,72.74M,3.021M,,-323.30M,-398.32M,-119.26M,-102.60M,0.501M,0.501M,,3.562M,16.79M,-81.75M,341.37M,-0.818M,340.55M,25.32M,-99.98M,-74.67M,,-4.55M,261.33M,23.71M,60.32M,523.86M,25.32M,3.689B,-3.348B,-99.98M,,
2016-11,136.64M,,,,42.64M,42.64M,-7.312M,11.46M,1.816M,2.574M,-251.37M,,-51.11M,11.19M,,-257.35M,-546.07M,-303.04M,-100.96M,0.728M,0.728M,,-0.548M,24.72M,-76.06M,286.61M,0.519M,287.13M,1.528M,-198.33M,-196.80M,,-3.559M,86.77M,316.03M,-292.32M,23.71M,1.528M,2.741B,-2.454B,-198.33M,,
2016-08,162.36M,,,,42.21M,42.21M,-0.646M,29.12M,0.034M,7.964M,-53.81M,,-16.17M,-12.96M,,-331.68M,-406.66M,-120.62M,-117.12M,,,,-3.658M,-18.12M,-138.91M,627.35M,-0.894M,626.45M,28.89M,-128.04M,-99.14M,,-4.329M,522.98M,52.58M,263.46M,316.03M,28.89M,2.802B,-2.175B,-128.04M,,
2016-05,175.36M,,,,40.80M,40.80M,7.374M,31.44M,0.268M,29.63M,67.04M,,69.11M,-4.031M,,-374.67M,-212.92M,87.61M,-97.46M,,,,-2.40M,-23.39M,-123.25M,188.53M,0.827M,189.36M,4.134M,-137.99M,-133.86M,,-4.68M,50.82M,37.39M,15.18M,52.58M,4.134M,3.353B,-3.164B,-137.99M,,
2016-02,141.03M,,,,36.86M,36.86M,25.56M,5.793M,10.13M,-43.64M,221.24M,,86.19M,2.832M,,-268.27M,-1.646M,264.82M,-74.75M,,,,-0.375M,-30.59M,-104.18M,39.72M,0.392M,40.12M,2.183M,-167.76M,-165.58M,,-31.14M,-156.60M,33.35M,4.048M,37.39M,2.183M,3.043B,-3.003B,-167.76M,,
2015-11,128.20M,,,,35.32M,35.32M,-7.584M,11.78M,1.197M,12.30M,-241.72M,,-50.54M,14.32M,,-249.61M,-515.25M,-296.84M,-95.11M,,,,-0.384M,20.36M,-75.14M,743.26M,-2.086M,741.17M,7.698M,-446.97M,-439.27M,,2.945M,304.84M,100.48M,-67.13M,33.35M,7.698M,3.441B,-2.698B,-446.97M,,
2015-08,172.23M,,,,33.12M,33.12M,-11.21M,10.10M,1.733M,2.831M,-67.47M,,-27.66M,-16.35M,,-347.39M,-456.04M,-202.30M,-86.29M,,,,-6.592M,-9.523M,-102.40M,285.88M,1.341M,287.22M,2.834M,-234.98M,-232.15M,,-1.591M,53.48M,351.70M,-251.22M,100.48M,2.834M,2.059B,-1.773B,-234.98M,,
2015-05,181.97M,,,,32.07M,32.07M,10.48M,23.41M,0.077M,34.03M,242.80M,,-31.04M,14.42M,,-424.58M,-164.38M,117.55M,-59.44M,,,,-3.788M,-33.85M,-97.08M,376.84M,-0.004M,376.84M,34.32M,-134.23M,-99.90M,,26.68M,303.62M,27.61M,324.09M,351.70M,34.32M,3.068B,-2.691B,-134.23M,,
2015-02,143.14M,-2.486M,,,30.18M,30.18M,9.048M,24.69M,-53.34M,-49.51M,-122.20M,,68.28M,5.114M,,-332.91M,-431.23M,-183.52M,-70.96M,,,,-0.024M,-23.60M,-94.58M,295.35M,-1.789M,293.56M,35.52M,-228.75M,-193.23M,,15.49M,115.82M,189.88M,-162.27M,27.61M,35.52M,2.586B,-2.291B,-228.75M,58.96M,1.951M
2014-11,130.05M,1.569M,,,29.23M,29.23M,-6.817M,19.41M,19.41M,20.68M,-255.72M,,19.73M,-10.36M,,-335.14M,-560.81M,-348.00M,-103.57M,,,,-0.185M,21.38M,-82.38M,567.04M,0.345M,567.39M,10.02M,-315.43M,-305.41M,,3.675M,265.65M,354.60M,-164.72M,189.88M,10.02M,2.379B,-1.812B,-315.43M,96.50M,7.203M
2014-08,154.52M,0.493M,,,28.42M,28.42M,-7.301M,22.39M,22.39M,-11.05M,-27.16M,,-76.48M,-12.37M,,-336.72M,-463.77M,-227.54M,-81.58M,,,,-5.753M,-2.337M,-89.67M,277.23M,0.987M,278.21M,44.15M,-208.22M,-164.08M,,25.48M,139.62M,532.19M,-177.59M,354.60M,44.15M,1.906B,-1.629B,-208.22M,185.60M,7.387M
2014-05,169.65M,0.424M,,,27.34M,27.34M,0.771M,15.39M,15.39M,-17.89M,-40.38M,,40.42M,0.664M,,-442.45M,-459.62M,-209.08M,-53.71M,,,,-5.801M,-34.61M,-94.12M,374.33M,0.66M,374.99M,0.12M,-171.92M,-171.80M,,4.306M,207.49M,627.90M,-95.71M,532.19M,0.12M,1.897B,-1.523B,-171.92M,5.802M,7.642M
2014-02,99.21M,0.863M,,,27.93M,27.93M,-12.61M,11.53M,11.53M,-11.90M,-85.15M,,115.70M,-6.499M,,-323.82M,-311.66M,-120.02M,-97.42M,,,,0.384M,-10.95M,-107.98M,273.74M,-0.705M,273.04M,25.18M,-116.65M,-91.47M,,9.578M,191.15M,664.76M,-36.86M,627.90M,25.18M,1.607B,-1.333B,-116.65M,73.04M,7.652M
2013-11,106.45M,0.914M,,,24.82M,24.82M,-1.376M,16.95M,16.95M,17.52M,-192.26M,,15.62M,4.226M,,-259.00M,-413.89M,-229.53M,-76.89M,,,,-5.595M,2.47M,-80.01M,235.61M,-0.452M,235.15M,5.214M,-17.47M,-12.26M,,1.373M,224.27M,750.03M,-85.27M,664.76M,5.214M,1.77B,-1.534B,-17.47M,58.34M,7.625M
2013-08,140.27M,1.108M,,,24.82M,24.82M,-9.895M,15.06M,15.06M,-15.10M,34.18M,,-14.45M,-8.039M,,-381.22M,-384.62M,-186.03M,-93.97M,,,,-0.187M,-8.02M,-102.17M,355.94M,0.767M,356.71M,3.549M,-49.06M,-45.51M,,1.774M,312.97M,725.27M,24.76M,750.03M,3.549M,1.756B,-1.400B,-49.06M,153.52M,7.787M
2013-05,146.65M,-0.178M,,,24.34M,24.34M,6.695M,22.94M,22.94M,21.51M,119.61M,,0.533M,7.293M,,-447.39M,-298.44M,-77.58M,-42.04M,,,,0.152M,-4.619M,-46.51M,508.47M,0.617M,509.09M,11.20M,-130.22M,-119.01M,,9.919M,399.99M,449.36M,275.90M,725.27M,11.20M,1.774B,-1.266B,-130.22M,2.10M,7.927M
2013-02,107.22M,0.391M,,,24.56M,24.56M,10.43M,15.52M,15.52M,-29.30M,-178.77M,,102.09M,4.084M,,-383.12M,-485.01M,-279.21M,-50.76M,,,,-0.282M,-25.01M,-76.06M,470.91M,-0.351M,470.56M,33.91M,-152.31M,-118.40M,,7.372M,359.53M,445.11M,4.254M,449.36M,33.91M,1.841B,-1.370B,-152.31M,,
2012-11,94.68M,1.108M,,,24.28M,24.28M,-6.493M,16.39M,16.39M,7.766M,-141.03M,,29.80M,-2.731M,,-255.13M,-361.33M,-213.30M,-81.02M,,,,-0.282M,4.598M,-76.71M,295.82M,-0.362M,295.46M,25.28M,-51.09M,-25.81M,,6.898M,276.55M,458.57M,-13.46M,445.11M,25.28M,1.665B,-1.369B,-51.09M,,
2012-08,111.64M,0.254M,,,23.46M,23.46M,-7.587M,14.61M,14.61M,-4.721M,12.18M,,-124.83M,-11.85M,,-196.49M,-325.70M,-170.41M,-56.28M,,,,-2.086M,-23.72M,-82.09M,252.38M,0.277M,252.66M,1.68M,0.00,1.68M,,0.317M,254.65M,456.41M,2.154M,458.57M,1.68M,1.647B,-1.395B,0.00,,
2012-05,120.75M,0.192M,,,22.98M,22.98M,7.511M,15.59M,15.59M,20.73M,-117.60M,,-7.641M,7.242M,,-194.44M,-291.72M,-115.52M,-47.64M,,,,-0.927M,28.14M,-20.42M,137.80M,-0.152M,137.65M,2.529M,0.00,2.529M,,9.513M,149.69M,442.66M,13.76M,456.41M,2.529M,698.00M,-560.20M,0.00,,
2012-02,95.03M,1.238M,,,22.12M,22.12M,4.142M,10.94M,11.19M,480.20M,-79.41M,,64.81M,-8.119M,,-694.09M,-236.61M,-68.50M,-66.62M,,,,-0.544M,-33.70M,-100.87M,215.63M,0.184M,215.82M,10.54M,,10.54M,,2.258M,228.61M,383.41M,59.25M,442.66M,10.54M,1.497B,-1.281B,,,
2011-11,82.11M,0.136M,,,21.24M,21.24M,-8.622M,10.84M,10.84M,-113.50M,48.13M,,20.42M,12.39M,,-5.989M,-38.55M,82.26M,-25.76M,,,,-0.265M,-18.37M,-44.40M,163.39M,-0.574M,162.82M,0.677M,,0.677M,,0.147M,163.64M,181.91M,201.50M,383.41M,0.677M,1.764B,-1.601B,,,
2011-08,111.15M,1.004M,,,19.82M,19.82M,-4.818M,11.29M,11.29M,-206.08M,55.03M,,-83.02M,-12.48M,,-3.57M,-250.12M,-100.83M,-49.18M,,,,-2.455M,16.98M,-34.66M,153.44M,0.161M,153.60M,4.362M,,6.494M,,1.297M,161.40M,156.00M,25.91M,181.91M,4.362M,635.33M,-481.56M,,,
2011-05,125.50M,0.191M,,,19.63M,19.63M,8.426M,15.01M,15.01M,-127.45M,-66.86M,,40.92M,24.13M,,-13.54M,-142.80M,24.90M,-31.05M,,,,0.00,-8.433M,-39.48M,125.40M,0.17M,125.57M,,,-2.132M,,6.015M,129.46M,41.12M,114.88M,156.00M,,1.234B,-1.109B,,,
2011-02,86.13M,0.70M,,,32.66M,32.66M,3.141M,10.01M,10.01M,195.88M,-46.50M,,39.80M,-11.52M,,-303.86M,-126.21M,15.73M,-38.04M,,,,0.00,3.417M,-34.62M,-22.63M,0.325M,-22.31M,6.332M,,6.332M,,1.595M,-14.38M,74.39M,-33.27M,41.12M,6.332M,401.00M,-423.43M,,,
2010-11,82.36M,0.127M,,,14.61M,14.61M,4.048M,11.64M,11.64M,-20.61M,-73.81M,,-22.50M,-11.18M,,-6.279M,-134.38M,-13.02M,-23.30M,,,,4.00M,2.56M,-16.74M,18.55M,0.112M,18.66M,25.56M,,25.56M,,4.773M,48.99M,55.16M,19.23M,74.39M,25.56M,1.074B,-1.056B,,,
2010-08,107.88M,0.013M,,,14.62M,14.62M,-4.84M,8.496M,8.496M,-116.20M,-34.50M,,-50.25M,-4.089M,,4.796M,-200.25M,-65.07M,-6.078M,,,,0.00,-19.11M,-25.19M,130.02M,0.412M,130.43M,6.387M,,1.032M,,0.255M,131.72M,13.71M,41.46M,55.16M,6.387M,1.217B,-1.087B,,,
2010-05,101.12M,0.303M,,,14.43M,14.43M,15.14M,13.46M,13.46M,-55.86M,-51.53M,,24.15M,-0.613M,,-5.878M,-89.73M,55.61M,-9.154M,,,,0.001M,13.49M,4.341M,-71.43M,-0.73M,-72.16M,,,5.355M,,2.288M,-64.52M,18.28M,-4.57M,13.71M,,899.30M,-970.73M,,,
2010-02,75.36M,0.013M,,,14.38M,14.38M,9.449M,7.161M,9.216M,-246.99M,-91.84M,,44.79M,3.311M,,176.12M,-114.61M,-6.187M,-4.062M,0.00,0.00,,0.00,0.583M,-3.479M,2.954M,0.693M,3.647M,7.989M,,7.989M,,1.096M,12.73M,15.21M,3.066M,18.28M,7.989M,165.50M,-162.55M,,,
2009-11,74.59M,0.083M,,,14.37M,14.37M,38.02M,8.043M,8.043M,17.65M,38.78M,,-46.33M,-0.135M,,-37.31M,-27.34M,107.77M,-4.044M,0.00,0.00,,0.00,0.029M,-4.015M,-230.84M,-1.747M,-232.58M,19.50M,,19.50M,,2.199M,-210.89M,122.35M,-107.14M,15.21M,19.50M,55.00M,-285.84M,,,
2009-08,102.97M,0.035M,,,14.55M,14.55M,5.238M,10.16M,10.16M,-7.558M,-8.996M,-1.804M,-36.06M,-0.081M,,-50.32M,-104.82M,28.13M,-8.666M,0.447M,0.447M,,-0.181M,0.00,-8.40M,-38.81M,0.742M,-38.06M,3.819M,,6.556M,,0.547M,-30.96M,133.58M,-11.23M,122.35M,3.819M,130.00M,-168.81M,,,
2009-05,28.75M,0.241M,,,15.03M,15.03M,-22.95M,12.49M,12.49M,-11.61M,-77.93M,1.804M,71.43M,,,-96.68M,-112.98M,-79.42M,-5.662M,,,,0.185M,0.05M,-5.427M,80.21M,0.317M,80.52M,,,-2.737M,,0.039M,77.83M,140.60M,-7.017M,133.58M,,256.00M,-175.79M,,,
2009-02,37.52M,2.465M,,,13.36M,13.36M,-6.898M,8.398M,8.398M,-52.16M,-101.65M,-1.227M,64.22M,,,-6.063M,-96.89M,-42.04M,-21.74M,,0.00,,0.022M,5.986M,-15.73M,71.21M,-11.20M,60.01M,,,0.20M,,0.004M,60.22M,138.14M,2.453M,140.60M,,302.00M,-250.93M,,,
2008-11,-21.87M,6.716M,,,13.88M,13.88M,-11.83M,7.943M,7.943M,19.49M,134.62M,6.165M,-56.14M,,,-11.26M,92.88M,87.73M,-26.44M,0.00,0.00,,0.00,27.10M,0.656M,38.48M,-0.527M,37.96M,,,0.862M,,0.024M,38.84M,10.92M,127.23M,138.14M,,209.60M,-171.12M,,,
2008-08,14.01M,1.028M,,,14.25M,14.25M,-8.487M,9.174M,9.174M,-47.20M,197.83M,8.274M,-48.68M,,,-0.64M,109.58M,139.54M,-61.79M,0.00,0.00,,-3.146M,1.029M,-63.90M,-81.91M,4.197M,-77.72M,,,0.871M,,0.229M,-76.62M,11.89M,-0.974M,10.92M,,85.00M,-166.91M,,,
2008-05,29.56M,0.519M,,,13.25M,13.25M,-14.29M,9.921M,9.921M,-5.042M,41.82M,-4.122M,0.328M,,,7.416M,40.40M,79.36M,-75.73M,,,,-0.863M,0.225M,-76.37M,0.191M,-12.61M,-12.42M,,,8.229M,,0.134M,-4.06M,12.96M,-1.074M,11.89M,,193.20M,-193.01M,,,
2008-02,21.83M,1.369M,,,12.45M,12.45M,-21.07M,,7.611M,-57.84M,-83.55M,1.282M,26.44M,,,17.09M,-96.58M,-74.40M,-60.67M,-1.457M,190.98M,,-5.00M,,-66.03M,,,141.87M,1.573M,,1.573M,,1.571M,145.02M,8.38M,4.585M,12.96M,1.573M,,,,,
2007-11,29.85M,0.063M,,,12.14M,12.14M,-2.008M,,8.112M,-6.168M,-72.06M,-0.505M,14.81M,,-24.32M,25.97M,-62.26M,-14.11M,-60.35M,0.185M,-60.16M,,0.00,,-60.16M,,,69.66M,3.21M,,3.21M,,2.191M,75.06M,7.589M,0.791M,8.38M,3.21M,,,,,
2007-08,65.00M,-0.074M,,,11.19M,11.19M,5.162M,,8.412M,6.708M,43.34M,-8.877M,-37.22M,,24.32M,-25.33M,2.94M,92.63M,-71.21M,1.268M,-69.94M,,0.00,,-69.94M,,,-45.56M,6.222M,,6.222M,,2.214M,-37.12M,22.03M,-14.44M,7.589M,6.222M,,,,,
2007-05,65.36M,0.046M,,,10.84M,10.84M,-6.486M,,9.332M,-11.79M,-27.40M,3.952M,10.52M,,,21.03M,-3.683M,75.40M,-60.88M,0.004M,-60.88M,,0.00,,-60.88M,,,-17.06M,3.725M,,3.725M,,1.393M,-11.95M,19.46M,2.574M,22.03M,3.725M,,,,,
2007-02,42.14M,-0.171M,,,9.374M,9.374M,0.454M,,11.17M,-21.05M,-75.30M,-1.113M,27.13M,,,6.599M,-63.73M,-0.765M,-77.04M,1.097M,-75.94M,,,,-75.94M,,,64.06M,7.962M,,7.962M,,11.79M,83.81M,12.35M,7.103M,19.46M,7.962M,,,,,
2006-11,45.42M,0.173M,,,8.45M,8.45M,4.314M,,5.912M,1.698M,-26.45M,-1.884M,16.28M,,,-3.10M,-13.45M,50.81M,-60.40M,0.005M,-60.40M,,,,-60.40M,,,-18.18M,13.52M,,13.52M,,2.808M,-1.846M,23.78M,-11.43M,12.35M,13.52M,,,,,
2006-08,54.26M,0.088M,,,8.652M,8.652M,-0.167M,,12.95M,-10.40M,4.341M,0.052M,-32.77M,,,1.654M,-37.12M,38.67M,-29.18M,3.408M,-25.77M,,,,-25.77M,,,-26.83M,7.615M,,7.615M,,4.057M,-15.16M,26.04M,-2.262M,23.78M,7.615M,,,,,
2006-05,56.78M,-0.002M,,,8.075M,8.075M,-18.77M,,6.686M,-11.06M,-69.00M,-0.912M,74.99M,,,1.312M,-4.68M,48.08M,-25.14M,0.059M,-25.08M,,,,-25.08M,,,-28.59M,6.313M,,6.313M,,3.555M,-18.72M,21.76M,4.284M,26.04M,6.313M,,,,,
2006-02,36.67M,0.013M,,,7.499M,7.499M,3.515M,,5.919M,-23.00M,-63.33M,0.17M,1.762M,,,9.194M,-75.20M,-21.58M,-40.94M,0.123M,-40.82M,,,,-40.82M,,,65.23M,0.927M,,0.927M,,0.757M,66.91M,17.25M,4.507M,21.76M,0.927M,,,,,
2005-11,22.93M,0.052M,,,6.999M,6.999M,-15.80M,,5.442M,6.108M,-21.12M,-2.963M,25.76M,0.737M,-0.254M,-5.384M,2.888M,22.51M,-38.25M,0.044M,-38.21M,,,,-38.21M,,,-11.65M,1.414M,,1.414M,,1.355M,-8.877M,41.82M,-24.57M,17.25M,1.414M,,,,,
2005-08,37.64M,-0.841M,,,6.268M,6.268M,-3.168M,,5.96M,37.71M,-1.959M,-3.443M,-23.86M,-0.737M,0.254M,-0.712M,7.256M,53.11M,-60.18M,61.47M,1.284M,,,,1.284M,,,-36.53M,1.715M,,1.715M,,0.699M,-34.11M,21.54M,20.28M,41.82M,1.715M,,,,,
2005-05,36.98M,0.012M,,,5.926M,5.926M,-3.633M,,4.311M,-13.61M,-6.722M,8.033M,31.47M,,,0.712M,19.88M,63.48M,-55.06M,16.70M,-38.35M,,,,-38.35M,,,-23.85M,1.979M,,1.979M,,1.167M,-20.71M,17.12M,4.419M,21.54M,1.979M,,,,,
2005-02,18.08M,-0.676M,-13.33M,-0.079M,6.732M,6.732M,-5.088M,,,-47.43M,-72.88M,-3.76M,41.88M,0.394M,-1.772M,,-78.87M,-41.76M,-53.74M,36.34M,-17.40M,,,,-17.40M,,,58.36M,1.993M,,1.993M,,,63.49M,25.76M,4.337M,17.12M,1.993M,,,,,
2004-11,18.04M,-0.727M,4.49M,0.028M,4.518M,4.518M,-1.558M,,,13.63M,-11.67M,-3.775M,-2.574M,-0.465M,0.459M,,-4.397M,15.88M,-57.72M,8.998M,-48.72M,,,,-48.72M,,,1.687M,0.306M,,0.306M,,,1.993M,56.61M,-30.84M,25.76M,0.306M,,,,,
2004-08,29.86M,-0.021M,4.562M,0.02M,4.582M,4.582M,-0.412M,,,31.71M,31.66M,1.486M,-34.26M,0.039M,0.466M,,31.09M,65.10M,-72.17M,24.87M,-47.30M,,,,-47.30M,,,-23.54M,0.669M,,0.669M,,,-22.87M,61.68M,-5.069M,56.61M,0.669M,,,,,
2004-05,35.33M,-0.062M,4.282M,0.031M,4.313M,4.313M,-0.193M,,,-7.065M,-57.60M,1.691M,25.34M,0.032M,0.847M,,-36.76M,2.624M,-46.46M,18.79M,-27.66M,,,,-27.66M,,,23.74M,1.338M,,1.338M,,,25.07M,61.64M,0.033M,61.68M,1.338M,,,,,
2004-02,22.53M,-0.874M,3.928M,0.028M,3.956M,3.956M,7.354M,,,-22.27M,-16.32M,1.678M,18.18M,-1.999M,0.547M,,-17.04M,15.93M,-44.14M,35.00M,-9.14M,,,,-9.14M,,,-1.821M,0.815M,,0.216M,,,-1.605M,54.96M,5.181M,48.67M,0.815M,,,,,
2003-11,19.05M,-0.603M,3.88M,0.029M,3.909M,3.909M,-0.532M,,,24.60M,-40.27M,0.839M,4.91M,0.767M,0.398M,,-8.755M,13.07M,-54.54M,47.59M,-6.953M,,,,-6.953M,,,2.914M,0.602M,,0.602M,,,3.516M,45.33M,9.634M,54.96M,0.602M,,,,,
2003-08,39.61M,0.015M,4.31M,0.033M,4.343M,4.343M,-1.146M,,,-0.064M,20.91M,-2.703M,-16.38M,-0.191M,0.937M,,2.512M,45.34M,-47.76M,24.91M,-22.85M,,,,-22.85M,,,-11.18M,3.196M,,3.196M,,-1.202M,-9.185M,32.03M,13.30M,45.33M,3.196M,,,,,
