,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,501.00M,501.00M,2.60B,,2.688B,,111.00M,353.00M,5.00M,,94.00M,4.183B,,,,,,,51.94B,-25.12B,26.83B,30.78B,11.93B,42.71B,1.078B,70.61B,74.79B,,2018-03,1.508B,1.898B,1.212B,3.11B,46.00M,,,437.00M,,437.00M,820.00M,820.00M,354.00M,4.767B,36.94B,,36.94B,2.196B,2.196B,5.085B,,2.362B,46.58B,2018-03,1.079B,1.336B,23.32B,,23.44B,,2018-03,AOR,Restated
2017-12,551.00M,551.00M,2.245B,476.00M,2.815B,,128.00M,294.00M,5.00M,,133.00M,4.194B,0.00,883.00M,7.586B,41.34B,,1.399B,51.20B,-24.35B,26.85B,30.48B,12.77B,43.25B,1.317B,71.42B,75.61B,,2017-12,1.555B,1.925B,1.287B,3.212B,45.00M,,,443.00M,,443.00M,892.00M,892.00M,265.00M,4.857B,37.28B,,37.28B,2.413B,2.413B,5.178B,,2.389B,47.26B,2017-12,1.069B,1.103B,23.31B,,23.49B,,2017-12,AOR,Restated
2017-09,160.00M,160.00M,2.053B,,1.888B,,131.00M,245.00M,,,154.00M,2.694B,,,,,,,41.35B,-23.72B,17.63B,19.64B,3.753B,23.39B,6.817B,47.84B,50.54B,,2017-09,939.00M,1.296B,1.02B,2.316B,36.00M,,,124.00M,,124.00M,642.00M,642.00M,148.00M,3.266B,24.85B,,24.85B,3.128B,3.128B,5.183B,,1.145B,34.31B,2017-09,550.00M,34.00M,14.37B,,12.96B,,2017-09,AOR,Restated
2017-06,342.00M,342.00M,2.042B,,1.868B,,144.00M,247.00M,,,195.00M,2.908B,,,,,,,40.74B,-23.16B,17.58B,19.64B,3.957B,23.60B,6.838B,48.02B,50.92B,,2017-06,944.00M,1.234B,961.00M,2.195B,26.00M,,,196.00M,,196.00M,644.00M,644.00M,182.00M,3.243B,24.88B,,24.88B,3.23B,3.23B,5.362B,,1.123B,34.60B,2017-06,550.00M,-51.00M,14.64B,,13.09B,,2017-06,AOR,Restated
2017-03,214.00M,214.00M,2.034B,,1.854B,,138.00M,272.00M,,,42.00M,4.968B,,,,,,,39.64B,-22.63B,17.02B,19.65B,4.13B,23.78B,838.00M,41.63B,46.60B,,2017-03,994.00M,1.454B,932.00M,2.386B,25.00M,,,1.499B,,1.499B,656.00M,656.00M,530.00M,5.096B,18.18B,,18.18B,3.461B,3.461B,5.448B,,1.111B,28.20B,2017-03,549.00M,110.00M,14.73B,,13.31B,,2017-03,AOR,Restated
2016-12,222.00M,222.00M,1.882B,313.00M,2.068B,,134.00M,206.00M,,,55.00M,5.162B,0.00,563.00M,6.623B,30.76B,,1.244B,39.19B,-22.16B,17.04B,19.65B,4.328B,23.98B,838.00M,41.86B,47.02B,,2016-12,1.179B,1.48B,1.093B,2.573B,30.00M,,,1.503B,,1.503B,672.00M,672.00M,571.00M,5.349B,18.18B,,18.18B,3.471B,3.471B,5.527B,,1.086B,28.27B,2016-12,547.00M,-1.00M,14.97B,,13.40B,,2016-12,AOR,Restated
2016-09,140.00M,140.00M,2.13B,,1.957B,,136.00M,271.00M,,,112.00M,2.728B,,,,,,,40.30B,-22.46B,17.84B,20.77B,4.772B,25.54B,690.00M,44.07B,46.80B,,2016-09,1.036B,1.366B,897.00M,2.263B,46.00M,,,1.534B,,1.534B,710.00M,710.00M,180.00M,4.733B,18.18B,,18.18B,3.653B,3.653B,5.228B,,1.106B,28.17B,2016-09,547.00M,79.00M,15.12B,,13.89B,,2016-09,AOR,Restated
2016-06,191.00M,191.00M,2.132B,,1.972B,,138.00M,285.00M,,,91.00M,2.791B,,,,,,,39.76B,-21.87B,17.89B,20.77B,4.978B,25.74B,689.00M,44.33B,47.12B,,2016-06,1.067B,1.572B,850.00M,2.422B,36.00M,,,1.451B,,1.451B,727.00M,727.00M,206.00M,4.842B,18.16B,,18.16B,3.625B,3.625B,5.39B,,1.111B,28.29B,2016-06,546.00M,115.00M,15.20B,,13.98B,,2016-06,AOR,Restated
2016-03,438.00M,438.00M,2.02B,,1.871B,,136.00M,276.00M,,,97.00M,2.926B,,,,,,,39.23B,-21.27B,17.96B,20.74B,5.223B,25.97B,662.00M,44.59B,47.52B,,2016-03,1.039B,1.497B,808.00M,2.305B,41.00M,,,517.00M,,517.00M,730.00M,730.00M,233.00M,3.826B,19.51B,,19.51B,3.596B,3.596B,5.445B,,1.106B,29.66B,2016-03,546.00M,213.00M,15.18B,,14.04B,,2016-03,AOR,Restated
2015-12,126.00M,126.00M,1.789B,306.00M,1.943B,,144.00M,238.00M,,,86.00M,2.65B,0.00,571.00M,7.00B,30.31B,,904.00M,38.78B,-20.72B,18.07B,20.74B,5.483B,26.22B,660.00M,44.95B,47.60B,,2015-12,968.00M,1.286B,884.00M,2.17B,20.00M,,,1.503B,,1.503B,743.00M,743.00M,168.00M,4.604B,18.72B,,18.72B,3.569B,3.569B,5.511B,,1.138B,28.94B,2015-12,544.00M,272.00M,15.18B,,14.06B,,2015-12,AOR,Restated
2015-09,355.00M,355.00M,2.111B,,1.951B,,136.00M,273.00M,,450.00M,71.00M,3.35B,,,,,,,38.25B,-20.18B,18.07B,20.76B,5.73B,26.49B,849.00M,45.40B,48.75B,,2015-09,1.087B,1.622B,1.04B,2.662B,24.00M,,,1.91B,,1.91B,736.00M,736.00M,215.00M,5.547B,18.50B,,18.50B,3.742B,3.742B,5.534B,,1.177B,28.96B,2015-09,554.00M,177.00M,15.46B,,14.25B,,2015-09,AOR,Restated
2015-06,155.00M,155.00M,2.11B,,1.955B,,124.00M,286.00M,,596.00M,74.00M,3.305B,,,,,,,37.64B,-19.55B,18.09B,20.76B,5.985B,26.74B,840.00M,45.67B,48.98B,,2015-06,1.049B,1.472B,867.00M,2.339B,24.00M,,,1.519B,,1.519B,745.00M,745.00M,170.00M,4.797B,18.83B,,18.83B,3.834B,3.834B,5.696B,,1.229B,29.59B,2015-06,563.00M,87.00M,15.90B,,14.59B,,2015-06,AOR,Restated
2015-03,155.00M,155.00M,2.136B,,1.973B,,137.00M,293.00M,,718.00M,70.00M,3.468B,,,,,,,37.10B,-18.92B,18.18B,20.75B,6.26B,27.01B,856.00M,46.05B,49.52B,,2015-03,1.068B,1.486B,921.00M,2.407B,43.00M,,,202.00M,,202.00M,739.00M,739.00M,188.00M,3.579B,20.25B,,20.25B,3.921B,3.921B,5.755B,,1.246B,31.18B,2015-03,566.00M,141.00M,16.06B,,14.76B,,2015-03,AOR,Restated
2014-12,128.00M,128.00M,1.821B,329.00M,1.988B,,132.00M,260.00M,,,71.00M,2.696B,0.00,575.00M,6.578B,28.40B,,1.166B,36.72B,-18.28B,18.43B,20.76B,6.54B,27.30B,679.00M,46.41B,49.10B,,2014-12,1.226B,1.535B,931.00M,2.466B,27.00M,,,550.00M,,550.00M,726.00M,726.00M,149.00M,3.918B,19.95B,,19.95B,3.154B,3.154B,5.808B,,1.247B,30.16B,2014-12,569.00M,147.00M,16.32B,,15.02B,,2014-12,AOR,Restated
2014-09,734.00M,734.00M,2.133B,,1.978B,,134.00M,260.00M,,715.00M,38.00M,4.018B,,,,,,,35.97B,-17.65B,18.32B,20.66B,6.81B,27.47B,831.00M,46.63B,50.65B,,2014-09,1.069B,1.441B,1.062B,2.503B,18.00M,,,1.169B,,1.169B,714.00M,714.00M,173.00M,4.577B,19.98B,,19.98B,4.629B,4.629B,3.761B,,1.252B,29.62B,2014-09,571.00M,131.00M,16.53B,,16.44B,,2014-09,AOR,Restated
2014-06,181.00M,181.00M,2.131B,,1.986B,,132.00M,284.00M,,803.00M,56.00M,3.598B,,,,,,,35.40B,-16.97B,18.44B,20.67B,7.078B,27.75B,829.00M,47.02B,50.61B,,2014-06,1.153B,1.495B,874.00M,2.369B,24.00M,,,1.188B,,1.188B,716.00M,716.00M,146.00M,4.443B,19.77B,,19.77B,4.61B,4.61B,3.924B,,1.268B,29.57B,2014-06,571.00M,135.00M,16.67B,,16.60B,,2014-06,AOR,Restated
2014-03,219.00M,219.00M,2.032B,,1.887B,,155.00M,299.00M,,1.01B,63.00M,3.748B,,,,,,,34.85B,-16.35B,18.49B,20.67B,7.417B,28.09B,834.00M,47.42B,51.17B,,2014-03,1.183B,1.593B,982.00M,2.575B,28.00M,,,1.126B,,1.126B,709.00M,709.00M,183.00M,4.621B,19.81B,,19.81B,4.709B,4.709B,4.012B,,1.212B,29.75B,2014-03,575.00M,144.00M,16.87B,,16.80B,,2014-03,AOR,Restated
2013-12,168.00M,168.00M,1.862B,270.00M,1.977B,,167.00M,266.00M,,1.165B,44.00M,3.907B,0.00,585.00M,6.42B,26.36B,,937.00M,34.31B,-15.66B,18.65B,20.67B,7.737B,28.41B,823.00M,47.88B,51.79B,,2013-12,1.111B,1.45B,975.00M,2.425B,273.00M,,,785.00M,,785.00M,737.00M,737.00M,189.00M,4.409B,20.18B,,20.18B,4.753B,4.753B,4.049B,,1.204B,30.19B,2013-12,584.00M,66.00M,17.34B,,17.19B,,2013-12,AOR,Restated
2013-09,266.00M,266.00M,2.062B,,1.979B,,172.00M,277.00M,,1.004B,45.00M,3.812B,,,,,,,33.72B,-15.06B,18.66B,20.64B,8.048B,28.68B,822.00M,48.17B,51.98B,,2013-09,1.158B,1.555B,1.08B,2.635B,266.00M,,,191.00M,,191.00M,700.00M,700.00M,186.00M,3.978B,20.39B,,20.39B,4.125B,4.125B,5.488B,,1.288B,31.29B,2013-09,593.00M,-173.00M,17.95B,,16.71B,,2013-09,AOR,Restated
2013-06,214.00M,214.00M,2.047B,,1.958B,,162.00M,299.00M,,906.00M,47.00M,3.648B,,,,,,,33.20B,-14.43B,18.78B,21.74B,8.244B,29.99B,841.00M,49.61B,53.25B,,2013-06,1.285B,1.651B,916.00M,2.567B,32.00M,,,302.00M,,302.00M,666.00M,666.00M,181.00M,3.748B,20.28B,,20.28B,3.98B,3.98B,5.578B,,1.265B,31.11B,2013-06,604.00M,1.193B,18.29B,,18.40B,,2013-06,AOR,Restated
2013-03,476.00M,476.00M,2.07B,,1.929B,,134.00M,301.00M,,883.00M,40.00M,3.875B,,,,,,,32.57B,-13.75B,18.82B,21.73B,8.496B,30.23B,800.00M,49.85B,53.73B,,2013-03,1.094B,1.492B,982.00M,2.474B,32.00M,,,1.193B,,1.193B,689.00M,689.00M,195.00M,4.583B,19.60B,,19.60B,3.812B,3.812B,5.64B,,1.243B,30.29B,2013-03,616.00M,1.244B,18.69B,,18.86B,,2013-03,AOR,Restated
2012-12,211.00M,211.00M,1.782B,293.00M,1.959B,,125.00M,257.00M,,916.00M,21.00M,3.638B,0.00,579.00M,6.235B,24.27B,,847.00M,31.93B,-13.02B,18.91B,21.63B,8.97B,30.60B,796.00M,50.30B,53.94B,,2012-12,1.207B,1.563B,999.00M,2.562B,39.00M,,,1.205B,,1.205B,642.00M,642.00M,147.00M,4.595B,19.40B,,19.40B,3.564B,3.564B,5.844B,,1.248B,30.06B,2012-12,626.00M,1.285B,19.08B,,19.29B,,2012-12,AOR,Restated
2012-09,194.00M,194.00M,1.971B,,1.971B,,,,,1.019B,649.00M,3.833B,,,,,,,31.29B,-12.28B,19.01B,21.73B,9.20B,30.93B,854.00M,50.80B,54.63B,,2012-09,1.32B,1.738B,347.00M,2.085B,,,,1.198B,,1.198B,616.00M,616.00M,254.00M,4.931B,19.51B,,19.51B,4.083B,4.083B,4.672B,,1.241B,29.50B,2012-09,623.00M,1.506B,19.05B,,20.20B,,2012-09,AOR,Restated
2012-06,281.00M,281.00M,1.92B,,1.92B,,,,,1.018B,628.00M,3.847B,,,,,,,30.62B,-11.57B,19.05B,21.73B,10.46B,32.19B,,51.24B,55.09B,,2012-06,1.134B,1.505B,548.00M,2.053B,,,,,1.903B,1.903B,598.00M,598.00M,,5.207B,19.68B,,19.68B,3.955B,3.955B,4.72B,,1.215B,29.57B,2012-06,622.00M,1.688B,19.00B,,20.31B,,2012-06,AOR,Restated
2012-03,1.53B,1.53B,1.879B,,1.879B,,,,,992.00M,481.00M,4.882B,,,,,,,30.19B,-10.89B,19.30B,21.73B,10.94B,32.66B,,51.96B,56.84B,,2012-03,1.026B,1.451B,695.00M,2.146B,,,,,2.20B,2.20B,605.00M,605.00M,,5.643B,20.67B,,20.67B,3.916B,3.916B,4.793B,,1.185B,30.56B,2012-03,621.00M,2.067B,18.95B,,20.64B,,2012-03,AOR,Restated
2011-12,128.00M,128.00M,1.768B,327.00M,1.977B,,107.00M,240.00M,,1.019B,21.00M,3.517B,0.00,590.00M,6.098B,22.10B,,799.00M,29.58B,-10.14B,19.44B,21.73B,10.48B,32.21B,869.00M,52.53B,56.04B,,2011-12,1.40B,1.783B,970.00M,2.753B,44.00M,,,480.00M,,480.00M,573.00M,573.00M,167.00M,4.017B,21.36B,,21.36B,3.80B,3.80B,4.855B,,1.189B,31.20B,2011-12,619.00M,2.319B,18.90B,,20.83B,,2011-12,AOR,Restated
2011-09,1.123B,1.123B,1.998B,,2.055B,,,,,252.00M,378.00M,3.808B,,,,,,,28.61B,-9.316B,19.29B,21.70B,11.94B,33.64B,,52.93B,56.74B,,2011-09,1.36B,1.813B,390.00M,2.203B,,,,1.034B,,1.034B,551.00M,551.00M,252.00M,4.737B,21.14B,,21.14B,3.516B,3.516B,3.983B,,1.381B,30.02B,2011-09,617.00M,2.663B,18.85B,,21.98B,,2011-09,AOR,Restated
2011-06,2.546B,2.546B,1.83B,,1.837B,,,,,276.00M,348.00M,5.007B,,,,,,,26.60B,-8.571B,18.02B,20.27B,11.54B,31.81B,,49.84B,54.84B,,2011-06,1.256B,1.643B,549.00M,2.192B,,,,,1.61B,1.61B,543.00M,543.00M,,5.064B,19.73B,,19.73B,3.106B,3.106B,4.008B,,1.289B,28.14B,2011-06,602.00M,2.958B,18.24B,14.00M,21.64B,,2011-06,AOR,Restated
2011-03,269.66M,269.66M,667.84M,,699.04M,35.45M,35.45M,,,79.45M,57.14M,1.141B,,,,,,,16.52B,-7.868B,8.649B,10.26B,1.852B,12.11B,,20.76B,21.90B,,2011-03,298.69M,434.53M,338.89M,773.42M,,,,11.54M,,11.54M,178.34M,178.34M,109.71M,1.073B,7.168B,,7.168B,2.408B,2.805B,1.196B,5.671M,,11.17B,2011-03,306.01M,3.292B,6.194B,,9.653B,,2011-03,AOR,Restated
2010-12,172.94M,172.94M,712.81M,,815.28M,32.72M,32.72M,,,81.34M,40.85M,1.143B,8.669B,,5.083B,,2.305B,271.74M,16.33B,-7.575B,8.754B,10.26B,1.880B,12.14B,,20.89B,22.04B,,2010-12,299.62M,299.62M,263.41M,563.03M,,,,11.58M,,11.58M,190.44M,190.44M,245.98M,1.011B,7.316B,,7.316B,2.369B,2.369B,1.306B,5.918M,389.20M,11.38B,2010-12,305.18M,3.302B,6.175B,,9.641B,,2010-12,AOR,Restated
2010-09,243.06M,243.06M,749.65M,,835.09M,35.14M,35.14M,,,79.47M,34.36M,1.227B,,,,,,,16.10B,-7.300B,8.802B,10.26B,1.931B,12.19B,,20.99B,22.22B,,2010-09,292.68M,292.68M,682.59M,975.26M,,,,496.55M,,496.55M,177.92M,177.92M,,1.650B,7.062B,,7.062B,2.260B,2.260B,1.242B,6.698M,400.46M,10.96B,2010-09,302.92M,3.299B,6.087B,,9.599B,,2010-09,AOR,Restated
2010-06,186.36M,186.36M,702.03M,,744.29M,35.60M,35.60M,,,73.89M,43.51M,1.084B,,,,,,,15.88B,-7.010B,8.866B,10.26B,1.989B,12.25B,,21.12B,22.20B,,2010-06,299.07M,299.07M,652.91M,951.97M,,,,496.56M,,496.56M,181.05M,181.05M,,1.630B,7.179B,,7.179B,2.217B,2.217B,1.229B,6.275M,394.42M,11.02B,2010-06,301.50M,3.287B,6.048B,,9.545B,,2010-06,AOR,Restated
2010-03,206.49M,206.49M,670.96M,,670.96M,37.01M,37.01M,,,75.18M,51.36M,1.041B,,,,,,,15.71B,-6.736B,8.970B,10.25B,2.059B,12.31B,,21.28B,22.32B,,2010-03,334.70M,334.70M,743.97M,1.079B,,,,500.07M,,500.07M,182.33M,182.33M,,1.761B,7.221B,,7.221B,2.219B,2.219B,1.230B,6.216M,389.27M,11.06B,2010-03,300.40M,3.267B,6.022B,,9.495B,,2010-03,AOR,Restated
2009-12,161.81M,161.81M,685.59M,,801.27M,35.76M,35.76M,,,83.32M,41.44M,1.124B,8.562B,,4.611B,,1.953B,430.12M,15.56B,-6.460B,9.097B,10.25B,2.090B,12.34B,,21.44B,22.56B,,2009-12,394.69M,394.69M,363.12M,757.81M,,,,500.06M,,500.06M,182.37M,182.37M,266.95M,1.707B,7.254B,,7.254B,2.257B,2.257B,1.486B,5.86M,392.86M,11.39B,2009-12,299.42M,3.233B,6.014B,,9.461B,,2009-12,AOR,Restated
2009-09,531.19M,531.19M,670.73M,,670.73M,43.37M,43.37M,,,105.23M,107.73M,1.458B,,,,,,,15.61B,-6.245B,9.363B,10.03B,2.102B,12.14B,,21.50B,22.96B,,2009-09,331.70M,427.62M,510.58M,938.20M,,,,769.48M,,769.48M,218.98M,218.98M,222.62M,2.149B,7.455B,,7.455B,2.157B,2.157B,1.514B,6.729M,317.68M,11.44B,2009-09,297.70M,3.212B,5.959B,,9.357B,,2009-09,AOR,Restated
2009-06,59.14M,59.14M,199.10M,,199.10M,9.384M,9.384M,,,,52.68M,320.30M,,,,,,,8.974B,-6.188B,2.786B,4.016B,764.51M,4.780B,,7.566B,7.887B,,2009-06,139.85M,160.40M,129.77M,290.17M,,,,19.92M,,19.92M,56.66M,56.66M,80.67M,447.42M,2.900B,,2.900B,,1.353B,,4.772M,,4.253B,2009-06,101.38M,3.141B,53.31M,,3.182B,,2009-06,AOR,Restated
2009-03,61.23M,61.23M,194.19M,,194.19M,8.781M,8.781M,,,,56.42M,320.63M,,,,,,,8.901B,-6.079B,2.822B,4.016B,775.94M,4.792B,,7.613B,7.934B,,2009-03,125.22M,137.31M,125.84M,263.15M,,,,20.15M,,20.15M,56.55M,56.55M,75.02M,414.86M,3.002B,,3.002B,,1.341B,,4.474M,,4.344B,2009-03,100.82M,3.143B,43.49M,,3.171B,,2009-03,AOR,Restated
2008-12,243.33M,243.33M,216.02M,,230.29M,8.862M,8.862M,,,29.42M,43.50M,555.41M,5.067B,,2.862B,,867.09M,72.13M,8.868B,-5.973B,2.896B,4.016B,787.22M,4.803B,,7.699B,8.254B,,2008-12,135.09M,135.09M,246.33M,381.41M,,,,20.41M,,20.41M,56.57M,56.57M,,458.39M,3.294B,,3.294B,854.10M,854.10M,348.14M,4.568M,131.64M,4.628B,2008-12,100.51M,3.146B,39.96M,,3.163B,,2008-12,,Restated
2008-09,258.96M,258.96M,214.01M,,214.01M,,9.284M,,,,26.53M,508.78M,,,,,,,8.793B,-5.878B,2.915B,4.010B,,4.010B,838.74M,7.764B,8.273B,,2008-09,98.74M,98.74M,270.31M,369.04M,,,,45.36M,,45.36M,,,60.31M,474.71M,3.299B,,3.299B,,,,,1.303B,4.602B,2008-09,100.36M,3.116B,26.34M,,3.196B,,2008-09,,Restated
2008-06,63.90M,63.90M,232.50M,,232.50M,,8.783M,,,,26.13M,331.32M,,,,,,,8.751B,-5.784B,2.968B,4.010B,,4.010B,858.88M,7.837B,8.168B,,2008-06,114.76M,114.76M,268.95M,383.71M,,,,45.34M,,45.34M,,,61.06M,490.12M,3.016B,,3.016B,,,,,1.287B,4.303B,2008-06,104.55M,3.301B,16.32M,,3.375B,,2008-06,,Restated
2008-03,37.54M,37.54M,218.51M,,218.51M,8.134M,8.134M,,,,28.06M,292.24M,,,,,,,8.707B,-5.674B,3.033B,4.011B,,4.011B,781.84M,7.826B,8.118B,,2008-03,108.31M,108.31M,,108.31M,,,,85.44M,,85.44M,60.81M,60.81M,271.47M,526.03M,2.881B,,2.881B,,,,,1.311B,4.192B,2008-03,113.23M,3.327B,3.286M,,3.400B,,2008-03,,Restated
