,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-09,21.53B,21.53B,12.79B,8.738B,,,4.632B,1.447B,,,312.00M,,56.00M,,-56.00M,,6.079B,2.659B,,56.00M,-56.00M,312.00M,-56.00M,2.915B,1.399B,1.516B,0.00,,,1.516B,1.329B,4.21B,1.239B,2.971B,0.95,0.0,,,0.8324,0.95,0.94,0.0,,,0.8242,0.94,1.591B,1.617B,0.2
2005-06,22.27B,22.27B,13.50B,8.775B,,,6.497B,1.477B,,,1.999B,,67.00M,,-67.00M,,7.974B,801.00M,,67.00M,-67.00M,1.999B,-67.00M,2.733B,882.00M,1.851B,-22.00M,,,1.829B,497.12M,4.138B,1.338B,2.80B,1.15,-0.01,,,0.3059,1.14,1.14,-0.01,,,0.3083,1.12,1.604B,1.628B,0.2
2005-03,22.91B,22.91B,14.65B,8.254B,,,4.933B,1.459B,,,197.00M,,49.00M,,-49.00M,,6.392B,1.862B,,49.00M,-49.00M,197.00M,-49.00M,2.01B,603.00M,1.407B,-5.00M,,,1.402B,1.269B,3.341B,1.282B,2.059B,0.86,0.0,,,0.7753,0.86,0.85,-0.01,,,0.767,0.84,1.629B,1.661B,0.18
2004-12,27.67B,27.67B,16.93B,10.74B,,,5.439B,1.514B,,,302.00M,,,,,,6.953B,3.785B,,,,302.00M,,4.048B,1.206B,2.842B,-15.00M,,,2.827B,2.630B,6.249B,1.272B,4.977B,1.71,-0.01,,,1.5819999999999999,1.7,1.67,-0.01,,,1.545,1.66,1.659B,1.692B,0.18
2004-09,23.35B,23.35B,14.82B,8.533B,,,5.162B,1.468B,,,314.00M,,,,,,6.63B,1.903B,,,,314.00M,,2.185B,631.00M,1.554B,,,,1.554B,1.331B,3.128B,1.225B,1.903B,0.93,0.0,,,0.7962,0.93,0.92,0.0,,,0.7885,0.92,1.670B,1.698B,0.18
2004-06,23.10B,23.10B,14.69B,8.406B,,,4.82B,1.476B,,,409.00M,,33.00M,,-33.00M,,6.296B,2.11B,,33.00M,-33.00M,409.00M,-33.00M,2.486B,749.00M,1.737B,-2.00M,,,1.735B,1.451B,3.70B,1.181B,2.519B,1.03,0.0,,,0.8599,1.03,1.01,0.0,,,0.843,1.01,1.680B,1.711B,0.18
2004-03,22.18B,22.18B,14.28B,7.892B,,,4.658B,1.416B,,,167.00M,,35.00M,,-35.00M,,6.074B,1.818B,,35.00M,-35.00M,167.00M,-35.00M,1.95B,586.00M,1.364B,-1.00M,,,1.363B,1.247B,3.222B,1.237B,1.985B,0.81,0.0,,,0.7409,0.81,0.79,0.0,,,0.7224,0.79,1.692B,1.727B,0.16
2003-12,25.91B,25.91B,16.41B,9.504B,,,5.623B,1.586B,,,271.00M,,,,,,7.209B,2.295B,,,,271.00M,,2.421B,730.00M,1.691B,-7.00M,,,1.684B,1.502B,4.672B,1.447B,3.225B,0.99,-0.01,,,0.8792,0.99,0.98,-0.01,,,0.8708,0.97,1.709B,1.733B,0.16
2003-09,21.52B,21.52B,13.71B,7.812B,,,4.303B,1.307B,,,346.00M,,,,,,5.61B,2.202B,,,,346.00M,,2.549B,764.00M,1.785B,,,,1.785B,1.543B,3.379B,1.177B,2.202B,1.04,0.0,,,0.8993,1.04,1.02,0.0,,,0.882,1.02,1.723B,1.756B,0.16
2003-06,21.63B,21.63B,13.63B,7.998B,,,4.46B,1.226B,,,157.00M,,,,,,5.686B,2.312B,,,,157.00M,,2.466B,741.00M,1.725B,-20.00M,,,1.705B,1.615B,3.488B,1.176B,2.312B,1.0,-0.01,,,0.9365,0.99,0.98,-0.01,,,0.9177,0.97,1.730B,1.764B,0.16
2003-03,20.06B,20.06B,12.83B,7.233B,,,4.215B,1.195B,,,198.00M,,,,,,5.41B,1.823B,,,,198.00M,,1.981B,594.00M,1.387B,-3.00M,,,1.384B,1.248B,2.939B,1.116B,1.823B,0.8,0.0,,,0.7196,0.8,0.79,0.0,,,0.7112,0.79,1.725B,1.758B,0.15
2002-12,23.68B,23.68B,14.49B,9.191B,,,5.44B,1.204B,,,213.00M,,,,,,6.644B,2.547B,,,,213.00M,,2.712B,801.00M,1.911B,-893.00M,,,1.018B,1.761B,4.131B,711.00M,3.42B,1.12,-0.52,,,1.032,0.6,1.1,-0.52,,,1.013,0.59,1.699B,1.729B,0.15
2002-09,19.82B,19.82B,12.50B,7.323B,,,3.987B,1.213B,,,315.00M,,,,,,5.20B,2.123B,,,,315.00M,,2.404B,710.00M,1.694B,-381.00M,,,1.313B,1.472B,3.204B,1.081B,2.123B,1.0,-0.23,,,0.8687,0.78,0.99,-0.23,,,0.8603,0.76,1.690B,1.712B,0.15
2002-06,19.65B,19.65B,12.38B,7.27B,,,5.288B,1.198B,,,-156.00M,,,,,,6.486B,784.00M,,,,-156.00M,,595.00M,150.00M,445.00M,-389.00M,,,56.00M,561.67M,2.399B,1.615B,784.00M,0.26,-0.23,,,0.3284,0.03,0.25,-0.23,,,0.3174,0.03,1.705B,1.730B,0.15
2002-03,18.03B,18.03B,11.53B,6.50B,,,4.023B,1.135B,,,501.00M,,,,,,5.158B,1.342B,,,,501.00M,,1.813B,529.00M,1.284B,-92.00M,,,1.192B,929.18M,2.428B,1.086B,1.342B,0.75,-0.05,,,0.5435,0.69,0.73,-0.05,,,0.5276,0.68,1.718B,1.753B,0.14
2001-12,22.14B,22.14B,13.21B,8.933B,,,4.698B,1.241B,,,653.00M,,,,,,5.939B,2.994B,,,,653.00M,,3.594B,1.029B,2.565B,-232.00M,,0.00,2.333B,2.099B,4.078B,1.084B,2.994B,0.78,-0.15,,,0.6266,0.64,0.78,-0.15,,,0.6266,0.64,3.038B,3.038B,0.14
2001-09,19.78B,19.78B,12.35B,7.434B,,,4.085B,1.252B,,,364.00M,,,,,,5.337B,2.097B,,,,364.00M,,2.408B,695.00M,1.713B,-118.00M,,,1.595B,1.454B,3.243B,1.146B,2.097B,0.99,-0.07,,,0.8405,0.92,0.97,-0.07,,,0.8235,0.9,1.732B,1.768B,0.14
2001-06,20.83B,20.83B,12.85B,7.987B,,,4.182B,1.284B,,,478.00M,,,,,,5.466B,2.521B,,,,478.00M,,2.941B,850.00M,2.091B,-46.00M,,5.00M,2.045B,1.751B,3.564B,1.043B,2.521B,1.2,-0.03,,,1.004,1.17,1.17,-0.03,,,0.9788,1.15,1.738B,1.778B,0.14
2001-03,21.04B,21.04B,13.44B,7.608B,,,3.808B,1.203B,,,-36.00M,,,,,,5.011B,2.597B,,,,-36.00M,,2.489B,739.00M,1.75B,,,5.00M,1.75B,1.775B,3.83B,1.233B,2.597B,1.0,0.0,,,1.015,1.0,0.98,0.0,,,0.9942,0.98,1.741B,1.781B,0.13
2000-12,25.62B,25.62B,15.95B,9.669B,,,4.34B,1.449B,,,125.00M,,,,,,5.789B,3.88B,,,,125.00M,,3.787B,1.117B,2.67B,,,5.00M,2.67B,2.582B,5.861B,1.364B,4.497B,1.52,0.0,,,1.47,1.52,1.47,0.0,,,1.421,1.47,1.749B,1.791B,0.13
2000-09,21.78B,21.78B,13.98B,7.801B,,,3.726B,1.261B,,,173.00M,,,,,,4.987B,2.814B,,,,173.00M,,2.804B,841.00M,1.963B,,,5.00M,1.963B,1.842B,3.979B,1.165B,2.814B,1.11,0.0,,,1.041,1.11,1.08,0.0,,,1.013,1.08,1.758B,1.810B,0.13
2000-06,21.65B,21.65B,13.71B,7.943B,,,3.867B,1.269B,,,130.00M,,,,,,5.136B,2.807B,,,,130.00M,,2.773B,832.00M,1.941B,,,5.00M,1.941B,1.850B,4.045B,1.238B,2.807B,1.1,0.0,,,1.0490000000000002,1.1,1.06,0.0,,,1.01,1.06,1.768B,1.818B,0.13
2000-03,19.35B,19.35B,12.34B,7.011B,,,3.706B,1.172B,,,189.00M,,,,,,4.878B,2.133B,,,,189.00M,,2.17B,651.00M,1.519B,,,5.00M,1.519B,1.387B,3.361B,1.228B,2.133B,0.85,0.0,,,0.7756,0.85,0.83,0.0,,,0.7577,0.83,1.777B,1.83B,0.12
1999-12,24.18B,24.18B,15.30B,8.883B,,,4.445B,1.416B,,,134.00M,,,,,,5.861B,3.022B,,,,134.00M,,2.985B,896.00M,2.089B,,,5.00M,2.089B,1.995B,4.835B,1.256B,3.579B,1.16,0.0,,,1.1079999999999999,1.16,1.13,0.0,,,1.08,1.13,1.793B,1.860B,0.12
1999-09,21.14B,21.14B,13.58B,7.564B,,,3.501B,1.383B,,,134.00M,,,,,,4.884B,2.68B,,,,134.00M,,2.629B,867.00M,1.762B,,,5.00M,1.762B,1.672B,4.137B,1.457B,2.68B,0.97,0.0,,,0.9202,0.97,0.93,0.0,,,0.882,0.93,1.805B,1.870B,0.12
1999-06,21.90B,21.90B,13.68B,8.224B,,,2.846B,1.293B,,,155.00M,,,,,,4.139B,4.085B,,,,155.00M,,4.043B,1.652B,2.391B,,,5.00M,2.391B,2.298B,6.553B,2.468B,4.085B,1.32,0.0,,,1.2690000000000001,1.32,1.28,0.0,,,1.23,1.28,1.812B,1.871B,0.12
1999-03,20.32B,20.32B,13.06B,7.258B,,,3.937B,1.181B,,,134.00M,,,,,,5.118B,2.14B,,,,134.00M,,2.10B,630.00M,1.47B,,,5.00M,1.47B,1.376B,3.544B,1.404B,2.14B,0.8,0.0,,,0.7486,0.8,0.78,0.0,,,0.7302,0.78,1.824B,1.883B,0.11
1998-12,25.13B,25.13B,15.32B,9.809B,,,5.074B,1.407B,,,,,,,,,6.481B,3.328B,,,,,,3.302B,956.00M,2.346B,,,5.00M,2.346B,2.346B,5.262B,1.345B,3.917B,1.27,0.0,,,1.27,1.27,1.23,0.0,,,1.23,1.23,1.840B,1.888B,0.11
1998-09,20.10B,20.10B,12.63B,7.467B,,,4.057B,1.24B,,,,,,,,,5.297B,2.17B,,,,,,2.132B,638.00M,1.494B,,,5.00M,1.494B,1.494B,3.48B,1.31B,2.17B,0.8,0.0,,,0.8,0.8,0.78,0.0,,,0.78,0.78,1.857B,1.909B,0.11
1998-06,18.82B,18.82B,11.68B,7.146B,,,3.812B,1.22B,,,,,,,,,5.032B,2.114B,,,,,,2.083B,631.00M,1.452B,,,5.00M,1.452B,1.452B,3.228B,1.114B,2.114B,0.77,0.0,,,0.77,0.77,0.75,0.0,,,0.75,0.75,1.879B,1.929B,0.11
