,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.679B,,,34.00M,774.00M,340.00M,1.114B,1.114B,116.00M,1.00M,,,1.658B,,4.602B,-996.00M,103.00M,-767.00M,-126.00M,-71.00M,-711.00M,-89.00M,-1.764B,-1.125B,412.00M,-713.00M,,-830.00M,-830.00M,-1.382B,-1.382B,16.00M,-2.909B,12.23B,-72.00M,100.00M,12.26B,,2.17B,-3.295B,-830.00M
2017-12,-1.054B,,,-78.00M,790.00M,359.00M,1.149B,1.149B,146.00M,146.00M,,,6.501B,,5.733B,-1.089B,123.00M,-833.00M,-133.00M,-294.00M,-53.00M,-2.497B,-3.81B,-276.00M,1.414B,1.138B,,-706.00M,-706.00M,-1.387B,-1.387B,36.00M,-919.00M,11.17B,1.004B,62.00M,12.23B,,288.00M,-564.00M,-706.00M
2017-09,2.725B,,,18.00M,792.00M,384.00M,1.176B,1.176B,123.00M,389.00M,,,-473.00M,,3.57B,-981.00M,201.00M,-647.00M,-133.00M,-267.00M,-512.00M,-347.00M,-1.906B,-626.00M,179.00M,-447.00M,,-955.00M,-955.00M,-1.395B,-1.395B,41.00M,-2.756B,11.93B,-1.092B,328.00M,11.17B,,3.52B,-4.146B,-955.00M
2017-06,2.332B,,,61.00M,730.00M,387.00M,1.117B,1.117B,136.00M,-130.00M,,,-179.00M,,3.466B,-826.00M,78.00M,-607.00M,-141.00M,-30.00M,-135.00M,-755.00M,-1.668B,2.373B,-93.00M,2.28B,,-1.529B,-1.529B,-1.403B,-1.403B,43.00M,-609.00M,10.30B,1.189B,447.00M,11.93B,,2.948B,-575.00M,-1.529B
2017-03,1.75B,,,13.00M,709.00M,390.00M,1.099B,1.099B,129.00M,129.00M,,,964.00M,,3.955B,-877.00M,58.00M,-682.00M,-137.00M,-110.00M,-339.00M,1.571B,303.00M,1.356B,-880.00M,476.00M,,-1.343B,-1.343B,-1.321B,-1.321B,54.00M,-2.134B,8.073B,2.123B,100.00M,10.30B,,2.887B,-1.531B,-1.343B
2016-12,4.501B,,,-38.00M,731.00M,396.00M,1.127B,1.127B,141.00M,545.00M,,,-621.00M,,3.979B,-1.115B,190.00M,-783.00M,-142.00M,-740.00M,359.00M,-2.333B,-3.639B,-15.00M,890.00M,875.00M,-166.00M,-881.00M,-1.047B,-1.329B,-1.329B,203.00M,-1.298B,9.039B,-959.00M,-206.00M,8.073B,-166.00M,764.00M,-779.00M,-881.00M
2016-09,2.853B,,,-67.00M,724.00M,403.00M,1.127B,1.127B,142.00M,-262.00M,,,63.00M,,4.117B,-914.00M,62.00M,-706.00M,-146.00M,-40.00M,-162.00M,103.00M,-951.00M,-2.086B,45.00M,-2.041B,51.00M,-860.00M,-809.00M,-1.337B,-1.337B,2.00M,-4.185B,10.02B,-1.019B,41.00M,9.039B,51.00M,105.00M,-2.191B,-860.00M
2016-06,2.504B,,,-5.00M,705.00M,398.00M,1.103B,1.103B,128.00M,128.00M,,,-272.00M,,3.458B,-1.021B,43.00M,-827.00M,-151.00M,-2.827B,-486.00M,-161.00M,-4.452B,-1.036B,1.00M,-1.035B,56.00M,-921.00M,-865.00M,-1.34B,-1.34B,0.00,-3.24B,14.35B,-4.234B,-103.00M,10.02B,56.00M,178.00M,-1.214B,-921.00M
2016-03,2.014B,,,172.00M,677.00M,347.00M,1.024B,1.024B,133.00M,133.00M,,,2.187B,,5.53B,-1.10B,129.00M,-827.00M,-144.00M,-2.543B,128.00M,1.50B,-1.886B,5.874B,-910.00M,4.964B,59.00M,-966.00M,-907.00M,-1.25B,-1.25B,-1.00M,2.806B,7.686B,6.451B,217.00M,14.35B,59.00M,8.085B,-2.211B,-966.00M
2015-12,4.463B,23.00M,,-80.00M,681.00M,309.00M,990.00M,990.00M,99.00M,-370.00M,,,-1.332B,,5.526B,-1.074B,56.00M,-853.00M,-165.00M,-2.441B,-255.00M,-1.731B,-5.445B,1.606B,-979.00M,627.00M,51.00M,-1.011B,-960.00M,-1.261B,-1.261B,-1.00M,-1.595B,9.48B,-1.515B,-279.00M,7.686B,51.00M,1.839B,-233.00M,-1.011B
2015-09,2.95B,11.00M,,443.00M,646.00M,290.00M,936.00M,936.00M,112.00M,368.00M,,,-205.00M,,4.235B,-1.065B,132.00M,-816.00M,-117.00M,-682.00M,276.00M,-4.00M,-1.343B,10.00M,903.00M,913.00M,50.00M,-1.543B,-1.493B,-1.27B,-1.27B,2.00M,-1.848B,8.393B,1.045B,42.00M,9.48B,50.00M,936.00M,-926.00M,-1.543B
2015-06,3.449B,37.00M,,-163.00M,665.00M,296.00M,961.00M,961.00M,130.00M,-126.00M,,,-494.00M,,3.884B,-1.042B,135.00M,-730.00M,-177.00M,-498.00M,-249.00M,-277.00M,-1.931B,-1.164B,953.00M,-211.00M,60.00M,-1.138B,-1.078B,-1.278B,-1.278B,-1.00M,-2.568B,8.796B,-616.00M,213.00M,8.393B,60.00M,475.00M,-1.639B,-1.138B
2015-03,2.328B,,,352.00M,670.00M,298.00M,968.00M,968.00M,127.00M,127.00M,,,-165.00M,,3.61B,-970.00M,47.00M,-810.00M,-113.00M,-129.00M,-3.00M,1.615B,560.00M,-534.00M,-776.00M,-1.31B,161.00M,-1.165B,-1.004B,-1.088B,-1.088B,,-3.402B,8.476B,769.00M,-449.00M,8.796B,161.00M,2.29B,-2.824B,-1.165B
2014-12,5.483B,35.00M,,-1.238B,717.00M,329.00M,1.046B,1.046B,96.00M,0.00,,,909.00M,,6.059B,-1.054B,79.00M,-868.00M,-107.00M,1.862B,-97.00M,-2.026B,-1.236B,1.002B,-5.641B,-4.639B,160.00M,-132.00M,28.00M,-1.089B,-1.089B,1.00M,-5.699B,9.561B,-877.00M,-208.00M,8.476B,160.00M,2.538B,-1.536B,-132.00M
2014-09,18.00M,3.346B,,3.509B,800.00M,339.00M,1.139B,1.139B,150.00M,0.00,,,-912.00M,,3.904B,-1.15B,142.00M,-894.00M,-114.00M,34.00M,-154.00M,328.00M,-800.00M,-55.00M,-103.00M,-158.00M,148.00M,-1.719B,-1.571B,-1.09B,-1.09B,-1.00M,-2.82B,9.715B,285.00M,-439.00M,9.561B,148.00M,245.00M,-300.00M,-1.719B
2014-06,4.137B,0.00,,-264.00M,826.00M,340.00M,1.166B,1.166B,142.00M,-125.00M,,,-1.601B,,3.579B,-1.018B,109.00M,-799.00M,-110.00M,-322.00M,275.00M,-44.00M,-1.00B,-779.00M,3.146B,2.367B,131.00M,-3.662B,-3.531B,-1.096B,-1.096B,,-2.26B,9.409B,319.00M,-13.00M,9.715B,131.00M,522.00M,-1.301B,-3.662B
2014-03,2.384B,,,-161.00M,802.00M,339.00M,1.141B,1.141B,124.00M,124.00M,,,-162.00M,,3.326B,-961.00M,74.00M,-775.00M,-112.00M,127.00M,131.00M,664.00M,35.00M,3.368B,845.00M,4.213B,270.00M,-8.166B,-7.896B,-990.00M,-990.00M,,-4.673B,10.72B,-1.312B,5.00M,9.409B,270.00M,4.875B,-1.507B,-8.166B
2013-12,6.184B,0.00,,-97.00M,870.00M,344.00M,1.214B,1.214B,159.00M,3.00M,,,675.00M,,6.528B,-1.175B,116.00M,-948.00M,-111.00M,-444.00M,-52.00M,-1.348B,-2.903B,4.014B,-453.00M,3.561B,248.00M,-5.797B,-5.549B,-1.025B,-1.025B,0.00,-3.013B,10.07B,612.00M,32.00M,10.72B,248.00M,6.287B,-2.273B,-5.797B
2013-09,4.041B,0.00,,-129.00M,825.00M,350.00M,1.175B,1.175B,150.00M,0.00,,,-1.477B,,3.76B,-1.116B,75.00M,-910.00M,-131.00M,-2.148B,693.00M,-51.00M,-2.547B,508.00M,1.45B,1.958B,169.00M,-1.917B,-1.748B,-1.037B,-1.037B,0.00,-827.00M,9.558B,385.00M,129.00M,10.07B,169.00M,3.372B,-2.864B,-1.917B
2013-06,3.226B,,,52.00M,810.00M,326.00M,1.136B,1.136B,161.00M,-145.00M,,,-1.40B,,3.174B,-996.00M,58.00M,-802.00M,-136.00M,-119.00M,591.00M,-398.00M,-864.00M,-10.00M,983.00M,973.00M,301.00M,-3.552B,-3.251B,-1.048B,-1.048B,-1.00M,-3.327B,10.58B,-1.015B,-12.00M,9.558B,301.00M,4.009B,-4.019B,-3.552B
2013-03,3.032B,,,-62.00M,822.00M,331.00M,1.153B,1.153B,144.00M,144.00M,,,-244.00M,,4.023B,-853.00M,123.00M,-591.00M,-139.00M,-48.00M,-967.00M,733.00M,-1.012B,1.828B,-1.359B,469.00M,356.00M,-2.593B,-2.237B,-948.00M,-948.00M,,-2.716B,10.41B,294.00M,-121.00M,10.58B,356.00M,2.685B,-857.00M,-2.593B
2012-12,5.833B,,,-32.00M,820.00M,332.00M,1.152B,1.152B,178.00M,-511.00M,,,-1.581B,,6.346B,-1.159B,177.00M,-823.00M,-159.00M,-1.444B,-342.00M,-1.324B,-4.092B,-1.905B,1.736B,-169.00M,342.00M,-3.007B,-2.665B,-957.00M,-957.00M,,-3.791B,11.91B,-1.537B,40.00M,10.41B,342.00M,2.653B,-4.558B,-3.007B
2012-09,3.823B,,,-579.00M,866.00M,325.00M,1.191B,1.191B,182.00M,511.00M,,,-104.00M,,4.514B,-1.103B,58.00M,-889.00M,-156.00M,233.00M,-217.00M,30.00M,-999.00M,1.108B,59.00M,1.167B,280.00M,-2.986B,-2.706B,-968.00M,-968.00M,,-2.507B,10.86B,1.008B,37.00M,11.91B,280.00M,2.03B,-922.00M,-2.986B
2012-06,3.882B,,,25.00M,859.00M,317.00M,1.176B,1.176B,160.00M,-169.00M,,,-807.00M,,4.435B,-1.358B,80.00M,-1.118B,-160.00M,-593.00M,138.00M,50.00M,-1.683B,432.00M,-129.00M,303.00M,299.00M,-2.987B,-2.688B,-978.00M,-978.00M,1.00M,-3.362B,11.84B,-611.00M,-360.00M,10.86B,299.00M,3.653B,-3.221B,-2.987B
2012-03,3.066B,,,-143.00M,847.00M,310.00M,1.157B,1.157B,168.00M,168.00M,,,43.00M,,4.291B,-1.097B,95.00M,-842.00M,-160.00M,-1.319B,-546.00M,637.00M,-2.23B,3.058B,-2.107B,951.00M,619.00M,-3.015B,-2.396B,-870.00M,-870.00M,-1.00M,-2.316B,11.92B,-254.00M,167.00M,11.84B,619.00M,3.906B,-848.00M,-3.015B
2011-12,5.49B,,,-90.00M,888.00M,300.00M,1.188B,1.188B,199.00M,-499.00M,,,-902.00M,,7.096B,-1.186B,128.00M,-920.00M,-138.00M,-1.578B,-43.00M,-826.00M,-3.505B,22.00M,1.205B,1.227B,424.00M,-3.581B,-3.157B,-880.00M,-880.00M,,-2.81B,11.30B,781.00M,-163.00M,11.92B,424.00M,3.344B,-3.322B,-3.581B
2011-09,3.839B,,,131.00M,885.00M,307.00M,1.192B,1.192B,166.00M,166.00M,,,-649.00M,,4.679B,-1.135B,144.00M,-855.00M,-136.00M,-64.00M,193.00M,57.00M,-805.00M,958.00M,-767.00M,191.00M,478.00M,-3.444B,-2.966B,-893.00M,-893.00M,-1.00M,-3.669B,11.71B,205.00M,-615.00M,11.30B,478.00M,2.996B,-2.038B,-3.444B
2011-06,3.663B,,,-63.00M,898.00M,309.00M,1.207B,1.207B,162.00M,334.00M,,,-692.00M,,4.279B,-1.201B,249.00M,-810.00M,-142.00M,-104.00M,535.00M,-63.00M,-584.00M,554.00M,-1.252B,-698.00M,674.00M,-3.976B,-3.302B,-905.00M,-905.00M,2.00M,-4.903B,12.76B,-1.208B,159.00M,11.71B,674.00M,2.602B,-2.048B,-3.976B
2011-03,2.863B,,,-320.00M,918.00M,310.00M,1.228B,1.228B,170.00M,-2.00M,,,-147.00M,,3.792B,-1.145B,87.00M,-915.00M,-143.00M,-51.00M,1.066B,541.00M,498.00M,-485.00M,2.135B,1.65B,877.00M,-4.045B,-3.168B,-795.00M,-795.00M,-1.00M,-2.314B,10.66B,1.976B,126.00M,12.76B,877.00M,1.054B,-1.539B,-4.045B
2010-12,5.257B,,,-130.00M,920.00M,315.00M,1.235B,1.235B,155.00M,155.00M,,,-1.016B,,6.795B,-1.288B,185.00M,-967.00M,-136.00M,-2.874B,472.00M,-577.00M,-4.082B,1.99B,-588.00M,1.402B,1.149B,-3.601B,-2.452B,-808.00M,-808.00M,-2.00M,-1.86B,9.859B,854.00M,-52.00M,10.66B,1.149B,3.39B,-1.40B,-3.601B
2010-09,3.589B,,,-81.00M,914.00M,289.00M,1.203B,1.203B,154.00M,154.00M,,,-314.00M,,4.551B,-1.593B,585.00M,-862.00M,-146.00M,-1.984B,1.321B,-109.00M,-1.78B,786.00M,-568.00M,218.00M,798.00M,-3.653B,-2.855B,-818.00M,-818.00M,0.00,-3.455B,10.32B,-684.00M,218.00M,9.859B,798.00M,2.164B,-1.378B,-3.653B
2010-06,3.386B,,,-12.00M,899.00M,284.00M,1.183B,1.183B,151.00M,318.00M,,,-940.00M,,3.766B,-969.00M,,-828.00M,-141.00M,-185.00M,-617.00M,-175.00M,-1.946B,-51.00M,300.00M,249.00M,942.00M,-4.104B,-3.162B,-833.00M,-833.00M,0.00,-3.746B,12.47B,-1.927B,-220.00M,10.32B,942.00M,1.311B,-1.362B,-4.104B
2010-03,2.601B,,,-578.00M,924.00M,286.00M,1.21B,1.21B,169.00M,2.00M,,,1.033B,,4.437B,-904.00M,,-758.00M,-146.00M,-824.00M,572.00M,457.00M,-699.00M,-1.192B,1.673B,481.00M,885.00M,-4.017B,-3.132B,-718.00M,-718.00M,1.00M,-3.368B,12.18B,370.00M,-81.00M,12.47B,885.00M,1.19B,-2.382B,-4.017B
2009-12,4.813B,,,-45.00M,967.00M,298.00M,1.265B,1.265B,142.00M,557.00M,,,-1.499B,,6.448B,-1.48B,,-996.00M,-154.00M,-1.075B,404.00M,-674.00M,-2.495B,1.534B,-500.00M,1.034B,1.55B,-3.064B,-1.514B,2.133B,-727.00M,1.00M,-1.206B,9.532B,2.747B,-95.00M,12.18B,1.55B,4.269B,-2.735B,-3.064B
2009-09,3.214B,,,-10.00M,953.00M,305.00M,1.258B,1.258B,147.00M,2.00M,,,587.00M,,5.198B,-974.00M,,-817.00M,-157.00M,25.00M,-1.393B,5.00M,-2.337B,-5.275B,783.00M,-4.492B,980.00M,-929.00M,51.00M,-726.00M,-726.00M,-1.00M,-5.168B,11.68B,-2.307B,160.00M,9.532B,980.00M,445.00M,-5.72B,-929.00M
2009-06,3.103B,,,-42.00M,936.00M,306.00M,1.242B,1.242B,132.00M,0.00,,,306.00M,,4.741B,-863.00M,,-705.00M,-158.00M,-79.00M,-1.006B,99.00M,-1.849B,-506.00M,-1.115B,-1.621B,280.00M,-1.671B,-1.391B,-1.407B,-732.00M,1.00M,-3.743B,12.29B,-851.00M,235.00M,11.68B,280.00M,1.056B,-1.562B,-1.671B
2009-03,2.295B,,,-298.00M,917.00M,312.00M,1.229B,1.229B,137.00M,-1.00M,,,1.024B,,4.386B,-760.00M,,-599.00M,-161.00M,335.00M,-10.00M,387.00M,-48.00M,-2.565B,181.00M,-2.384B,242.00M,-1.765B,-1.523B,,-675.00M,-1.00M,-4.583B,12.74B,-245.00M,-202.00M,12.29B,242.00M,913.00M,-3.478B,-1.765B
2008-12,4.427B,,,15.00M,996.00M,325.00M,1.321B,1.321B,158.00M,158.00M,,,-1.20B,,6.621B,-1.381B,,-870.00M,-161.00M,-296.00M,667.00M,-220.00M,-880.00M,2.927B,-4.502B,-1.575B,116.00M,-740.00M,-624.00M,,-669.00M,-2.00M,-2.87B,9.755B,2.87B,116.00M,12.74B,116.00M,5.578B,-2.651B,-740.00M
2008-09,2.823B,,,-278.00M,1.048B,331.00M,1.379B,1.379B,161.00M,500.00M,,,-346.00M,,3.738B,-1.126B,,-952.00M,-174.00M,-84.00M,-270.00M,-16.00M,-1.496B,-235.00M,750.00M,515.00M,954.00M,-2.674B,-1.72B,,-677.00M,1.00M,-1.881B,9.626B,362.00M,-233.00M,9.755B,954.00M,1.438B,-1.673B,-2.674B
2008-06,2.765B,,,-190.00M,1.066B,337.00M,1.403B,1.403B,169.00M,2.00M,,,102.00M,,4.251B,-1.168B,,-981.00M,-187.00M,-929.00M,905.00M,61.00M,-1.131B,2.041B,-2.645B,-604.00M,1.739B,-4.737B,-2.998B,,-685.00M,,-4.287B,10.79B,-1.167B,7.00M,9.626B,1.739B,3.071B,-1.03B,-4.737B
2008-03,2.319B,,,115.00M,1.03B,317.00M,1.347B,1.347B,171.00M,-1.00M,,,251.00M,,4.202B,-1.212B,,-1.018B,-194.00M,-4.933B,208.00M,159.00M,-5.778B,-1.152B,372.00M,-780.00M,965.00M,-2.427B,-1.462B,,-554.00M,,-2.796B,14.99B,-4.373B,168.00M,10.79B,965.00M,3.742B,-4.894B,-2.427B
2007-12,3.951B,,,213.00M,1.049B,288.00M,1.337B,1.337B,174.00M,2.00M,,,-1.266B,-5.00M,5.146B,-1.966B,,-1.223B,-206.00M,-291.00M,2.99B,-172.00M,1.098B,-1.589B,1.303B,-286.00M,690.00M,-471.00M,219.00M,,-554.00M,,-621.00M,9.295B,5.624B,64.00M,14.99B,690.00M,1.931B,-3.52B,-471.00M
2007-09,2.362B,,,-45.00M,1.046B,294.00M,1.34B,1.34B,178.00M,-362.00M,,,650.00M,,4.484B,-1.297B,,-1.067B,-230.00M,-477.00M,-1.727B,297.00M,-3.204B,-77.00M,200.00M,123.00M,1.466B,-152.00M,1.314B,,-549.00M,1.00M,889.00M,7.01B,2.063B,118.00M,9.295B,1.466B,5.747B,-5.824B,-152.00M
2007-06,2.261B,,,-169.00M,994.00M,290.00M,1.284B,1.284B,183.00M,362.00M,,,-117.00M,3.00M,3.446B,-1.11B,,-886.00M,-224.00M,274.00M,685.00M,,-151.00M,11.31B,-265.00M,11.04B,1.067B,-14.81B,-13.74B,,-592.00M,-2.00M,-3.291B,6.953B,110.00M,60.00M,7.01B,1.067B,13.17B,-1.858B,-14.81B
2007-03,1.844B,,,-88.00M,949.00M,291.00M,1.24B,1.24B,178.00M,-1.00M,,,-157.00M,-3.00M,3.013B,-1.132B,,-917.00M,-215.00M,-205.00M,-1.081B,,-2.418B,796.00M,436.00M,1.232B,900.00M,-3.398B,-2.498B,,-452.00M,1.00M,-1.717B,8.022B,-1.122B,52.00M,6.953B,900.00M,900.00M,-104.00M,-3.398B
2006-12,3.54B,,,-87.00M,1.014B,286.00M,1.30B,1.30B,225.00M,-696.00M,,,-1.293B,9.00M,5.343B,-1.805B,,-1.156B,-219.00M,-2.917B,-1.34B,-2.00M,-5.634B,-800.00M,-369.00M,665.00M,881.00M,-1.397B,-516.00M,,-452.00M,,-303.00M,8.484B,-594.00M,145.00M,8.022B,881.00M,1.152B,-1.952B,-1.397B
2006-09,2.222B,,,-43.00M,969.00M,259.00M,1.228B,1.228B,212.00M,622.00M,,,388.00M,-2.00M,4.006B,-1.259B,,-1.068B,-191.00M,-73.00M,387.00M,1.00M,-944.00M,-82.00M,264.00M,182.00M,245.00M,-1.627B,-1.382B,,-455.00M,,-1.655B,7.10B,1.407B,-23.00M,8.484B,245.00M,78.00M,-160.00M,-1.627B
2006-06,2.022B,,,-36.00M,981.00M,266.00M,1.247B,1.247B,209.00M,0.00,,,-875.00M,-3.00M,2.564B,-1.126B,,-926.00M,-200.00M,-61.00M,224.00M,,-963.00M,-878.00M,5.00M,-873.00M,559.00M,-5.06B,-2.357B,,-463.00M,,-3.693B,9.135B,-2.092B,57.00M,7.10B,559.00M,113.00M,-991.00M,-5.06B
2006-03,1.708B,,,-9.00M,943.00M,265.00M,1.208B,1.208B,200.00M,-1.00M,,,4.00M,-4.00M,3.106B,-976.00M,,-782.00M,-194.00M,-748.00M,-2.284B,,-4.008B,-196.00M,100.00M,-96.00M,,,-2.144B,,-313.00M,,-2.553B,12.57B,-3.455B,22.00M,9.135B,,101.00M,-297.00M,
2005-12,3.187B,,,-309.00M,1.063B,266.00M,1.329B,1.329B,247.00M,5.00M,,,-1.224B,8.00M,5.428B,-1.578B,,-280.00M,-191.00M,92.00M,-1.052B,,-1.431B,-131.00M,1.803B,1.44B,,,-628.00M,,-316.00M,,496.00M,8.252B,4.493B,-137.00M,12.57B,,127.00M,-258.00M,
2005-09,1.516B,,,-52.00M,973.00M,266.00M,1.239B,1.239B,251.00M,0.00,,,1.327B,-1.00M,4.28B,-1.03B,,-832.00M,-198.00M,-6.00M,62.00M,,-974.00M,-1.00B,-1.114B,-2.114B,,,-1.279B,,-319.00M,,-3.712B,8.648B,-406.00M,10.00M,8.252B,,252.00M,-1.252B,
2005-06,1.829B,,,-1.156B,1.079B,259.00M,1.338B,1.338B,259.00M,22.00M,,,841.00M,-5.00M,3.128B,-1.07B,,-874.00M,-196.00M,-394.00M,126.00M,,-1.338B,1.191B,-769.00M,422.00M,,,-1.445B,,-321.00M,,-1.344B,8.637B,446.00M,-435.00M,8.648B,,1.554B,-363.00M,
2005-03,1.402B,,,-8.00M,1.032B,250.00M,1.282B,1.282B,286.00M,5.00M,,,-887.00M,-2.00M,2.078B,-956.00M,,-749.00M,-207.00M,-242.00M,518.00M,,-680.00M,781.00M,80.00M,861.00M,,,-3.154B,,-294.00M,,-2.587B,10.05B,-1.189B,-227.00M,8.637B,,2.43B,-1.649B,
2004-12,2.824B,,,-1.366B,1.038B,234.00M,1.272B,1.272B,1.578B,38.00M,,-4.849B,-2.116B,80.00M,4.104B,-2.809B,,-810.00M,-688.00M,-741.00M,103.00M,509.00M,-1.627B,-2.10B,,563.00M,,3.177B,-2.184B,,-300.00M,,-1.921B,9.178B,556.00M,402.00M,10.05B,,2.438B,-4.538B,3.177B
2004-09,1.554B,,136.00M,1.082B,981.00M,244.00M,1.225B,1.225B,-790.00M,-790.00M,,2.081B,806.00M,-5.00M,3.872B,-510.00M,,-841.00M,331.00M,-151.00M,90.00M,-509.00M,-1.08B,1.066B,357.00M,-167.00M,,-3.177B,-986.00M,,-300.00M,,-1.453B,7.715B,1.339B,124.00M,9.178B,,-1.093B,2.159B,-3.177B
