,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,11.95B,893.00M,12.84B,7.778B,,21.45B,29.23B,,1.209B,544.00M,,1.753B,2.573B,313.00M,,-1.00M,49.12B,,,,,,,32.78B,-21.50B,11.28B,36.73B,3.522B,40.25B,2.942B,,8.856B,,7.704B,,76.16B,125.28B,5.736B,2.918B,8.654B,4.754B,13.41B,1.997B,3.979B,5.976B,,5.976B,13.06B,13.06B,,1.00M,35.73B,,40.41B,,40.41B,,3.852B,3.852B,,16.75B,,124.00M,10.25B,71.26B,107.00B,54.71B,156.37B,164.33B,,,,,-28.58B,18.17B
2017-12,,11.97B,608.00M,12.58B,8.928B,,22.70B,31.63B,,1.25B,333.00M,,1.583B,1.86B,262.00M,,,49.74B,0.0,480.00M,10.07B,21.78B,,,32.33B,-21.22B,11.12B,36.79B,3.741B,40.53B,122.00M,,10.00B,757.00M,6.998B,272.00M,75.62B,125.36B,6.451B,4.219B,10.67B,4.51B,15.18B,1.496B,5.49B,6.986B,,6.986B,11.55B,11.55B,,1.00M,37.36B,4.308B,39.84B,,39.84B,545.00M,3.746B,4.291B,318.00M,18.81B,38.00M,131.00M,1.721B,70.27B,107.63B,54.57B,153.13B,163.51B,,,,,-26.59B,17.59B
2017-09,,10.92B,600.00M,11.52B,8.15B,,18.98B,27.13B,,1.281B,430.00M,,1.711B,4.389B,,,1.00M,44.74B,,,,,,,31.94B,-20.88B,11.06B,36.78B,3.981B,40.76B,4.806B,,8.459B,,7.289B,,76.90B,121.64B,5.442B,3.038B,8.48B,4.352B,12.83B,0.00,4.299B,4.299B,,4.299B,10.65B,10.65B,,-1.00M,31.70B,,41.33B,,41.33B,,3.579B,3.579B,,17.55B,,130.00M,7.722B,70.18B,101.88B,54.40B,155.56B,162.81B,,,,,-27.52B,19.63B
2017-06,,11.70B,599.00M,12.30B,8.401B,,18.56B,26.96B,,1.18B,424.00M,,1.604B,4.155B,,,1.00M,45.01B,,,,,,,31.29B,-20.39B,10.90B,36.52B,4.18B,40.70B,4.759B,,8.296B,,6.812B,,75.48B,120.50B,5.126B,2.779B,7.905B,4.594B,12.50B,0.00,8.061B,8.061B,,8.061B,11.54B,11.54B,,,35.97B,,37.61B,,37.61B,,3.617B,3.617B,,17.32B,,125.00M,7.436B,65.98B,101.95B,54.24B,154.23B,161.86B,,,,,-28.19B,18.42B
2017-03,,10.10B,599.00M,10.70B,8.377B,,17.49B,25.87B,,1.186B,423.00M,,1.609B,4.715B,,,1.00M,42.89B,,,,,,,30.68B,-19.82B,10.86B,36.31B,4.438B,40.74B,4.549B,,8.502B,,6.457B,,74.61B,117.50B,5.324B,2.747B,8.071B,4.522B,12.59B,0.00,8.34B,8.34B,,8.34B,12.35B,12.35B,,,36.48B,,34.44B,,34.44B,,3.557B,3.557B,,16.97B,,121.00M,7.601B,62.57B,99.05B,54.10B,153.29B,160.36B,,,,,-28.71B,18.33B
2016-12,,7.826B,701.00M,8.527B,9.182B,,20.06B,29.24B,,1.195B,358.00M,,1.553B,4.564B,,,-1.00M,43.89B,0.0,506.00M,9.763B,19.86B,,,30.13B,-19.30B,10.83B,36.20B,4.689B,40.89B,104.00M,,9.437B,594.00M,6.721B,729.00M,73.58B,117.47B,6.209B,3.235B,9.444B,4.705B,14.15B,899.00M,6.614B,7.513B,,7.513B,11.04B,11.04B,,1.00M,36.28B,2.763B,34.66B,,34.66B,424.00M,3.60B,4.024B,330.00M,19.10B,61.00M,146.00M,1.778B,62.80B,99.08B,53.94B,152.76B,159.05B,,,,,-29.40B,18.25B
2016-09,,9.039B,929.00M,9.968B,8.291B,,16.90B,25.20B,,1.297B,433.00M,-1.00M,1.729B,4.539B,,,1.00M,41.43B,,,,,,,30.84B,-19.74B,11.10B,36.40B,4.881B,41.28B,5.075B,,8.936B,,4.289B,,74.17B,115.61B,5.271B,2.137B,7.408B,5.346B,12.75B,0.00,6.92B,6.92B,,6.92B,10.82B,10.82B,,,34.45B,,35.56B,,35.56B,,3.611B,3.611B,,16.69B,,149.00M,8.138B,64.00B,98.45B,53.76B,149.58B,158.17B,,,,,-28.16B,17.01B
2016-06,,10.02B,600.00M,10.62B,8.782B,,17.76B,26.55B,,1.271B,414.00M,,1.685B,4.676B,,,-1.00M,43.52B,,,,,,,30.14B,-19.04B,11.09B,36.42B,5.148B,41.57B,5.259B,,9.267B,,4.387B,,74.53B,118.06B,5.484B,2.275B,7.759B,5.48B,13.24B,0.00,4.887B,4.887B,,4.887B,11.51B,11.51B,,1.00M,33.58B,,39.64B,,39.64B,,3.837B,3.837B,,16.72B,,156.00M,8.384B,68.58B,102.17B,53.56B,148.07B,157.30B,,,,,-28.60B,15.73B
2016-03,,14.35B,515.00M,14.87B,8.527B,,18.20B,26.73B,,1.296B,393.00M,1.00M,1.69B,4.334B,,,,47.62B,,,,,,,29.63B,-18.72B,10.91B,34.32B,4.373B,38.70B,5.223B,,9.266B,,4.809B,,71.24B,118.86B,5.302B,2.203B,7.505B,5.804B,13.31B,0.00,5.302B,5.302B,,5.302B,12.61B,12.61B,,,34.66B,,40.25B,,40.25B,,3.662B,3.662B,,16.94B,,147.00M,8.265B,69.12B,103.78B,53.44B,146.89B,156.40B,,,,,-29.00B,14.92B
2015-12,,7.686B,508.00M,8.194B,8.333B,,20.22B,28.55B,,1.199B,352.00M,,1.551B,4.205B,,,,42.50B,0.0,558.00M,6.552B,22.23B,,,29.34B,-18.62B,10.72B,32.02B,3.486B,35.51B,475.00M,,10.53B,702.00M,6.446B,571.00M,67.99B,110.50B,6.028B,2.847B,8.875B,4.353B,13.23B,600.00M,5.861B,6.461B,,6.461B,11.02B,11.02B,,-1.00M,34.27B,3.284B,33.43B,,33.43B,253.00M,3.771B,4.024B,353.00M,18.54B,22.00M,162.00M,2.063B,61.80B,96.07B,53.26B,146.12B,155.52B,,,,,-29.61B,14.26B
