,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-09,459.88M,459.88M,6.167M,200.45M,206.61M,4.731M,,211.34M,-0.076M,388.88M,178.23M,43.39M,134.84M,,15.31M,134.84M,134.84M,15.36M,215.38M,,0.84,,,0.84,0.84,,0.82,,,0.82,0.82,,142.15M,145.89M,0.15,,,
2015-06,447.33M,447.33M,6.564M,184.52M,191.08M,4.941M,,196.03M,1.112M,375.06M,175.18M,43.84M,131.34M,,14.41M,131.34M,131.34M,19.63M,212.07M,,0.82,,,0.82,0.82,,0.80,,,0.80,0.80,,141.93M,145.71M,0.15,,,
2015-03,415.18M,415.18M,5.214M,182.30M,187.52M,5.155M,,192.67M,0.30M,348.02M,155.38M,39.47M,115.91M,,13.89M,115.91M,115.91M,16.67M,192.26M,,0.73,,,0.73,0.73,,0.71,,,0.71,0.71,,138.84M,142.79M,0.14,,,
2014-12,409.09M,409.09M,5.484M,172.72M,178.20M,5.368M,,183.57M,-0.567M,340.86M,158.46M,43.00M,115.46M,,13.89M,115.46M,115.46M,16.08M,196.61M,,0.73,,,0.73,0.73,,0.72,,,0.72,0.72,,137.81M,141.70M,0.14,,,
2014-09,432.21M,432.21M,6.204M,162.72M,168.93M,5.58M,,174.51M,23.58M,335.99M,188.77M,52.76M,136.01M,,13.89M,136.01M,136.01M,15.67M,229.18M,,0.89,,,0.89,0.89,,0.86,,,0.86,0.86,,137.66M,141.55M,0.14,,,
2014-06,401.95M,401.95M,8.001M,147.89M,155.89M,5.792M,,161.68M,-1.085M,333.21M,165.52M,44.69M,120.83M,,13.89M,120.83M,120.83M,15.04M,202.61M,,0.78,,,0.78,0.78,,0.76,,,0.76,0.76,,137.28M,141.47M,0.14,,,
2014-03,374.84M,374.84M,6.014M,148.84M,154.86M,6.004M,,160.86M,-0.091M,320.70M,157.13M,42.42M,114.70M,,13.89M,114.70M,114.70M,14.65M,193.74M,,0.76,,,0.76,0.76,,0.73,,,0.73,0.73,,132.88M,137.30M,0.12,,,
2013-12,366.40M,366.40M,6.994M,160.92M,167.91M,6.218M,,174.13M,-0.441M,314.82M,162.28M,46.98M,115.30M,,12.80M,115.30M,115.30M,14.48M,200.93M,,0.78,,,0.78,0.78,,0.75,,,0.75,0.75,,131.91M,136.72M,0.12,,,
2013-09,354.22M,354.22M,5.82M,126.59M,132.41M,6.43M,,138.84M,-0.369M,308.21M,160.14M,48.40M,111.75M,,10.39M,111.75M,111.75M,16.17M,197.98M,,0.77,,,0.77,0.77,,0.74,,,0.74,0.74,,131.44M,136.13M,0.12,,,
2013-06,357.54M,357.54M,6.842M,124.80M,131.64M,6.643M,,138.29M,,303.09M,163.83M,51.36M,112.47M,,9.706M,112.47M,112.47M,16.62M,193.48M,,0.78,,,0.78,0.78,,0.76,,,0.76,0.76,,131.10M,135.60M,0.12,,,
2013-03,364.08M,364.08M,5.803M,126.09M,131.89M,6.856M,,138.75M,,298.05M,177.30M,54.75M,122.55M,,7.776M,122.55M,122.55M,16.38M,203.00M,,0.88,,,0.88,0.88,,0.85,,,0.85,0.85,,130.85M,135.25M,0.10,,,
2012-12,377.31M,377.31M,6.061M,87.41M,93.47M,4.927M,,98.40M,,302.33M,178.47M,69.67M,108.80M,0.00,6.534M,108.80M,108.80M,12.82M,204.72M,,0.78,,,0.78,0.78,,0.76,,,0.76,0.76,,130.62M,134.74M,0.10,,,
2012-09,335.45M,335.45M,5.953M,113.00M,118.96M,5.087M,,124.04M,,298.82M,147.76M,45.07M,102.70M,0.00,5.667M,102.70M,102.70M,10.51M,176.28M,,0.75,,,0.75,0.75,,0.72,,,0.72,0.72,,130.19M,134.37M,0.10,,,
2012-06,320.41M,320.41M,7.144M,107.48M,114.63M,5.17M,,119.80M,,290.60M,140.81M,42.27M,98.53M,-0.625M,17.29M,97.91M,97.91M,11.16M,172.34M,,0.62,,,0.62,0.62,,0.60,,,0.60,0.60,,129.89M,134.00M,,,,
2012-03,308.57M,308.57M,5.962M,106.12M,112.08M,5.288M,,117.37M,,281.27M,134.31M,41.64M,92.67M,-0.913M,2.451M,91.76M,91.76M,9.128M,162.19M,,0.69,,,0.69,0.69,,0.67,,,0.67,0.67,,129.50M,133.62M,,,,
2011-12,314.94M,314.94M,8.567M,95.97M,104.54M,5.444M,,109.98M,,285.54M,150.70M,56.64M,94.06M,-1.072M,,92.99M,92.99M,4.259M,179.92M,,0.72,,,0.72,0.72,,0.70,,,0.70,0.70,,129.32M,132.85M,,,,
2011-09,299.17M,299.17M,6.883M,87.85M,94.73M,5.602M,-23.16M,77.17M,3.536M,268.91M,138.85M,49.99M,88.86M,-1.072M,,87.79M,102.62M,1.805M,170.29M,,0.68,0.00,,0.7947,0.68,,0.66,0.00,,0.7719,0.66,,129.21M,132.44M,,,,
2011-06,284.00M,284.00M,7.053M,87.44M,94.50M,5.76M,-19.65M,80.60M,,256.80M,132.14M,46.14M,86.00M,-1.17M,,84.83M,97.62M,-1.404M,161.28M,,0.66,0.00,,0.7593,0.66,,0.64,0.00,,0.7361,0.64,,128.86M,133.09M,,,,
2011-03,281.83M,281.83M,6.309M,85.43M,91.74M,5.917M,,97.66M,,254.49M,142.96M,52.90M,90.06M,-1.291M,,88.77M,88.77M,-5.404M,170.38M,,0.69,0.00,,0.69,0.69,,0.67,0.00,,0.67,0.67,,128.86M,132.51M,,,,
2010-12,748.27M,748.27M,,258.79M,276.99M,,62.62M,339.61M,,669.08M,355.08M,146.67M,208.41M,-3.594M,,204.81M,164.11M,,477.03M,,1.589,,,1.274,1.589,,1.589,,,1.274,1.589,,128.86M,128.86M,,,,
2010-09,254.43M,254.43M,5.872M,76.37M,82.24M,6.23M,,88.47M,,236.24M,114.56M,46.97M,67.59M,-1.198M,,66.40M,66.40M,6.23M,142.15M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,124.13M,125.86M,,,,
2010-06,223.25M,223.25M,3.508M,79.53M,83.04M,0.00,,83.04M,,198.15M,108.00M,46.26M,61.74M,-1.198M,,60.55M,60.55M,-1.922M,153.72M,,,,,0.4878,0.4878,,,,,0.4811,0.4811,,124.13M,125.86M,,,,
2010-03,239.40M,239.40M,3.102M,55.65M,58.75M,0.00,,58.75M,,215.09M,120.38M,50.88M,69.50M,0.119M,,68.30M,68.30M,0.681M,170.26M,,,,,0.5502,0.5502,,,,,0.5427,0.5427,,124.13M,125.86M,,,,
2007-03,-4.027B,-4.027B,,,,,,,,-4.027B,,,707.21M,,,707.21M,707.21M,,,,0.21,0.00,,0.21,0.21,,0.20,0.00,,0.20,0.20,,30.90M,30.90M,,,,
2006-12,26.67M,26.67M,,39.14M,25.69M,,,25.69M,,77.76M,24.06M,6.777M,30.50M,-23.03M,1.87M,17.29M,17.29M,,117.73M,,0.52,0.00,,0.52,0.52,,0.50,0.00,,0.50,0.50,,29.04M,30.71M,,,,
2006-09,22.27M,22.27M,4.613M,34.50M,39.12M,,,39.12M,,70.29M,20.93M,3.526M,17.40M,3.271M,1.87M,17.40M,17.40M,,105.70M,,0.60,0.00,,0.60,0.60,,0.57,0.00,,0.57,0.57,,25.81M,27.40M,,,,
2006-06,19.09M,19.09M,4.617M,33.44M,38.06M,,,38.06M,,71.92M,23.52M,6.263M,17.26M,3.27M,1.87M,17.26M,17.26M,,93.91M,,0.60,0.00,,0.60,0.60,,0.57,0.00,,0.57,0.57,,25.64M,27.13M,,,,
2006-03,19.34M,19.34M,4.222M,32.61M,36.83M,,,36.83M,,70.80M,24.96M,7.737M,17.22M,3.271M,1.87M,17.22M,17.22M,,83.70M,,0.60,0.00,,0.60,0.60,,0.57,0.00,,0.57,0.57,,25.41M,26.97M,,,,
2005-12,24.93M,24.93M,,28.84M,18.72M,,,18.72M,,67.70M,24.57M,8.305M,29.34M,-22.89M,1.87M,16.26M,16.26M,,81.11M,,0.58,0.00,,0.58,0.58,,0.54,0.00,,0.54,0.54,,25.02M,26.43M,,,,
2005-09,17.96M,17.96M,3.516M,30.25M,33.77M,,,33.77M,,66.04M,24.42M,8.267M,16.16M,3.271M,1.871M,16.16M,16.16M,,70.58M,,0.58,0.00,,0.58,0.58,,0.54,0.00,,0.54,0.54,,24.62M,26.41M,,,,
2005-06,17.03M,17.03M,3.399M,27.50M,30.90M,,,30.90M,,62.21M,22.57M,7.957M,14.62M,3.27M,1.87M,14.62M,14.62M,,59.82M,,0.53,0.00,,0.53,0.53,,0.50,0.00,,0.50,0.50,,24.24M,25.78M,,,,
2005-03,17.00M,17.00M,3.212M,26.47M,29.68M,,,29.68M,,57.70M,21.30M,7.509M,13.79M,3.271M,1.201M,13.79M,13.79M,,51.13M,,0.53,0.00,,0.53,0.53,,0.49,0.00,,0.49,0.49,,23.90M,25.78M,,,,
2004-12,28.14M,28.14M,,24.46M,17.67M,,,17.67M,,55.06M,20.96M,7.766M,26.28M,-22.90M,1.089M,13.20M,13.20M,,47.99M,,0.5093,0.00,,0.5093,0.5093,,0.4860,0.00,,0.4860,0.4860,,23.76M,24.74M,,,,
2004-09,13.14M,13.14M,2.291M,22.16M,24.45M,,,24.45M,,51.94M,18.70M,6.631M,12.07M,3.27M,1.089M,12.07M,12.07M,,41.28M,,0.4669,0.00,,0.4669,0.4669,,0.4336,0.00,,0.4336,0.4336,,23.40M,25.40M,,,,
2004-06,11.81M,11.81M,2.468M,19.12M,21.59M,,,21.59M,,49.14M,19.28M,7.921M,11.36M,1.898M,1.089M,11.36M,11.36M,,38.78M,,0.4469,0.00,,0.4469,0.4469,,0.4135,0.00,,0.4135,0.4135,,22.98M,24.91M,,,,
2004-03,13.86M,13.86M,2.025M,21.72M,23.75M,,,23.75M,,45.91M,16.80M,6.929M,9.871M,1.899M,0.689M,9.871M,9.871M,,35.45M,,0.4002,0.00,,0.4002,0.4002,,0.3735,0.00,,0.3735,0.3735,,22.82M,24.79M,,,,
2003-12,26.00M,26.00M,,17.47M,13.12M,,,13.12M,,42.92M,11.39M,4.739M,17.83M,-15.71M,,6.654M,6.654M,,32.37M,,0.2926,0.00,,0.2926,0.2926,,0.2827,0.00,,0.2827,0.2827,,28.19M,28.19M,,,,
2003-09,12.98M,12.98M,1.283M,21.62M,22.91M,,,22.91M,,42.78M,13.61M,5.692M,7.921M,1.97M,,7.921M,7.921M,,34.77M,,0.3668,0.00,,0.3668,0.3668,,0.3402,0.00,,0.3402,0.3402,,21.74M,23.70M,,,,
2003-06,14.88M,14.88M,1.568M,18.87M,20.44M,,,20.44M,,41.42M,17.87M,7.034M,10.84M,1.294M,,10.84M,10.84M,,38.67M,,0.5069,0.00,,0.5069,0.5069,,0.4736,0.00,,0.4736,0.4736,,21.52M,23.16M,,,,
2003-03,17.31M,17.31M,1.502M,17.29M,18.80M,,,18.80M,,37.66M,18.89M,7.257M,11.64M,1.266M,,11.64M,11.64M,,41.17M,,0.5403,0.00,,0.5403,0.5403,,0.5069,0.00,,0.5069,0.5069,,21.58M,23.04M,,,,
2002-12,21.60M,21.60M,,16.02M,11.36M,,,11.36M,,39.08M,17.25M,4.781M,12.47M,-9.338M,,7.101M,7.101M,,41.90M,,,,,0.0572,0.0572,,,,,0.0564,0.0564,,124.13M,125.86M,,,,
2002-09,12.77M,12.77M,1.91M,16.78M,18.69M,,,18.69M,,34.58M,10.63M,4.331M,6.296M,1.402M,,6.296M,6.296M,,37.09M,,0.2868,0.00,,0.2868,0.2868,,0.2668,0.00,,0.2668,0.2668,,21.88M,23.68M,,,,
2002-06,9.307M,9.307M,1.829M,16.81M,18.64M,,,18.64M,,34.33M,9.519M,3.937M,5.582M,1.417M,,12.75M,5.582M,,35.18M,,0.2601,0.00,0.3321,0.2601,0.2601,,0.2401,0.00,0.3006,0.2401,0.2401,,21.58M,23.84M,,,,
2002-03,8.124M,8.124M,0.915M,15.50M,16.42M,,,16.42M,,34.38M,12.32M,4.902M,7.422M,1.15M,,7.422M,7.422M,,38.03M,,0.3602,0.00,,0.3602,0.3602,,0.3335,0.00,,0.3335,0.3335,,20.43M,22.21M,,,,
2001-12,9.888M,9.888M,,13.68M,9.499M,,,9.499M,,159.10M,15.70M,4.714M,7.333M,-6.378M,,7.333M,7.333M,,48.34M,,,,,0.0591,0.0591,,,,,0.0583,0.0583,,124.13M,125.86M,,,,
2001-09,4.793M,4.793M,1.171M,12.95M,14.12M,,,14.12M,,33.44M,12.24M,5.732M,6.511M,0.934M,,6.511M,6.511M,,49.15M,,0.3202,0.00,,0.3202,0.3202,,0.3002,0.00,,0.3002,0.3002,,20.23M,21.98M,,,,
2001-06,-41.92M,-41.92M,,,,,,,,-41.92M,11.07M,5.211M,5.861M,0.902M,,13.20M,5.861M,,52.99M,,0.2868,0.00,0.3633,0.2868,0.2868,,0.2735,0.00,0.3406,0.2735,0.2735,,20.21M,21.55M,,,,
2001-03,6.579M,6.579M,1.707M,12.16M,13.87M,,,13.87M,,28.34M,10.16M,4.806M,5.357M,0.884M,,5.357M,5.357M,,54.68M,,0.2668,0.00,,0.2668,0.2668,,0.2468,0.00,,0.2468,0.2468,,20.09M,21.55M,,,,
2000-12,8.819M,8.819M,,12.00M,8.733M,,,8.733M,,27.18M,14.21M,5.027M,5.645M,-6.191M,,5.522M,5.645M,,61.29M,,,,,0.0455,0.0445,,,,,0.0449,0.0439,,124.13M,125.86M,,,,
2000-09,6.835M,6.835M,0.934M,11.43M,12.37M,,,12.37M,,26.03M,10.62M,5.003M,5.614M,0.884M,,5.614M,5.614M,,61.92M,,0.2735,0.00,,0.2735,0.2735,,0.2735,0.00,,0.2735,0.2735,,20.32M,20.76M,,,,
2000-06,6.848M,6.848M,1.089M,10.06M,11.15M,,,11.15M,,23.84M,10.38M,4.89M,5.485M,0.867M,,5.485M,5.485M,,56.95M,,0.2668,0.00,,0.2668,0.2668,,0.2601,0.00,,0.2601,0.2601,,20.63M,20.98M,,,,
2000-03,7.293M,7.293M,1.248M,9.506M,10.75M,,,10.75M,,23.96M,11.35M,5.329M,6.019M,0.902M,,6.019M,6.019M,,55.00M,,0.3002,0.00,,0.3002,0.3002,,0.2868,0.00,,0.2868,0.2868,,20.20M,21.00M,,,,
1999-12,16.14M,16.14M,0.987M,8.558M,9.545M,,,9.545M,,21.43M,9.496M,4.374M,5.122M,0.803M,,5.122M,5.122M,,49.78M,,0.2535,0.00,,0.2535,0.2535,,0.2401,0.00,,0.2401,0.2401,,17.84M,17.84M,,,,
1999-09,1.40M,1.40M,1.00M,7.80M,8.80M,,,8.80M,,20.70M,10.70M,5.10M,5.60M,0.80M,,5.60M,5.60M,,47.60M,,0.2668,0.00,,0.2668,0.2668,,0.2535,0.00,,0.2535,0.2535,,20.99M,22.09M,,,,
1999-06,5.20M,5.20M,1.30M,6.40M,7.70M,,,7.70M,,19.70M,10.50M,4.70M,5.80M,0.30M,,5.80M,5.80M,,45.80M,,0.2668,0.00,,0.2668,0.2668,,0.2535,0.00,,0.2535,0.2535,,21.74M,22.88M,,,,
1999-03,4.50M,4.50M,2.20M,6.10M,8.30M,,,8.30M,,19.30M,10.00M,4.30M,5.70M,,,5.70M,5.70M,,44.60M,,0.2668,0.00,,0.2668,0.2668,,0.2535,0.00,,0.2535,0.2535,,21.36M,22.49M,,,,
1998-12,2.20M,2.20M,1.10M,4.40M,5.50M,,,5.50M,,16.80M,9.00M,3.80M,5.20M,,,5.20M,5.20M,,42.10M,,0.2535,0.00,,0.2535,0.2535,,0.2334,0.00,,0.2334,0.2334,,20.52M,22.27M,,,,
1998-09,1.80M,1.80M,1.00M,4.00M,5.00M,,,5.00M,,15.90M,9.10M,3.80M,5.30M,,,5.30M,5.30M,,42.10M,,0.2601,0.00,,0.2601,0.2601,,0.2401,0.00,,0.2401,0.2401,,20.37M,22.07M,,,,
1998-06,1.90M,1.90M,0.60M,3.90M,4.50M,,,4.50M,,16.20M,8.50M,3.60M,4.90M,,,4.90M,4.90M,,41.30M,,0.2401,0.00,,0.2401,0.2401,,0.2201,0.00,,0.2201,0.2201,,20.41M,22.26M,,,,
1998-03,1.40M,1.40M,0.60M,3.90M,4.50M,,,4.50M,,15.50M,8.60M,3.60M,5.00M,,,5.00M,5.00M,,40.80M,,0.2401,0.00,,0.2401,0.2401,,0.2201,0.00,,0.2201,0.2201,,20.82M,22.72M,,,,
1997-12,1.30M,1.30M,0.70M,3.50M,4.20M,,,4.20M,,14.50M,7.30M,3.10M,4.20M,,,4.20M,4.20M,,39.80M,,0.2401,0.00,,0.2401,0.2401,,0.1934,0.00,,0.1934,0.1934,,16.65M,21.69M,,,,
1997-09,1.20M,1.20M,0.60M,3.30M,3.90M,,,3.90M,,14.10M,7.90M,3.30M,4.60M,,,4.60M,4.60M,,38.50M,,0.2068,0.00,,0.2068,0.2068,,0.2068,0.00,,0.2068,0.2068,,22.25M,22.25M,,,,
1997-06,2.10M,2.10M,0.70M,3.20M,3.90M,,,3.90M,,13.70M,7.50M,3.10M,4.40M,,,4.40M,4.40M,,36.60M,,0.1868,0.00,,0.1868,0.1868,,0.1868,0.00,,0.1868,0.1868,,23.56M,23.56M,,,,
1997-03,1.30M,1.30M,0.50M,3.20M,3.70M,,,3.70M,,13.00M,6.90M,2.90M,4.00M,,,4.00M,4.00M,,35.40M,,0.1934,0.00,,0.1934,0.1934,,0.1734,0.00,,0.1734,0.1734,,20.68M,23.07M,,,,
1996-12,0.70M,0.70M,0.50M,3.30M,3.80M,,,3.80M,,12.00M,6.00M,2.50M,3.50M,,,3.50M,3.50M,,35.30M,,0.2268,0.00,,0.2268,0.2268,,0.1668,0.00,,0.1668,0.1668,,15.10M,21.08M,,,,
1996-09,,,0.60M,2.30M,2.90M,,,2.90M,,11.70M,5.60M,2.30M,3.30M,,,3.30M,3.30M,,34.30M,,0.1934,0.00,,0.1934,0.1934,,0.1668,0.00,,0.1668,0.1668,,17.06M,19.79M,,,,
1996-06,-0.90M,-0.90M,0.50M,2.30M,2.80M,,,2.80M,,11.80M,5.00M,2.00M,3.00M,,,3.00M,3.00M,,32.50M,,0.1734,0.00,,0.1734,0.1734,,0.1534,0.00,,0.1534,0.1534,,17.30M,19.56M,,,,
1996-03,-0.50M,-0.50M,0.50M,2.20M,2.70M,,,2.70M,,11.30M,4.80M,2.00M,2.80M,,,2.80M,2.80M,,32.20M,,0.1601,0.00,,0.1601,0.1601,,0.1401,0.00,,0.1401,0.1401,,17.49M,19.99M,,,,
1995-12,-1.10M,-1.10M,0.40M,2.00M,2.40M,,,2.40M,,10.00M,2.70M,1.10M,1.60M,,,1.60M,1.60M,,30.00M,,0.1000,0.00,,0.1000,0.1000,,0.1000,0.00,,0.1000,0.1000,,20.44M,20.44M,,,,
1995-09,-1.30M,-1.30M,0.30M,1.90M,2.20M,,,2.20M,,8.90M,2.20M,0.90M,1.30M,,,1.30M,1.30M,,29.40M,,0.0734,0.00,,0.0734,0.0734,,0.0734,0.00,,0.0734,0.0734,,17.72M,17.72M,,,,
1995-06,-7.70M,-7.70M,0.40M,1.60M,2.00M,,,2.00M,,7.70M,-5.30M,-2.20M,-3.10M,,,-3.10M,-3.10M,,21.30M,,-0.1801,0.00,,-0.1801,-0.1801,,-0.1801,0.00,,-0.1801,-0.1801,,17.21M,17.21M,,,,
1995-03,-0.60M,-0.60M,0.30M,2.00M,2.30M,,,2.30M,,8.20M,2.40M,1.00M,1.40M,,,1.40M,1.40M,,26.20M,,0.0800,0.00,,0.0800,0.0800,,0.0800,0.00,,0.0800,0.0800,,17.49M,17.49M,,,,
1994-12,-1.00M,-1.00M,0.50M,2.00M,2.50M,,,2.50M,,8.90M,2.40M,0.80M,1.60M,,,1.60M,1.60M,,23.60M,,0.0934,0.00,,0.0934,0.0934,,0.0867,0.00,,0.0867,0.0867,,17.22M,18.54M,,,,
1994-09,-0.10M,-0.10M,0.40M,1.60M,2.00M,,,2.00M,,9.30M,4.30M,1.70M,2.60M,,,2.60M,2.60M,,23.20M,,0.1401,0.00,,0.1401,0.1401,,0.1267,0.00,,0.1267,0.1267,,18.56M,20.52M,,,,
1994-06,,,0.40M,1.70M,2.10M,,,2.10M,,9.70M,4.40M,1.90M,2.50M,,,2.50M,2.50M,,20.90M,,0.1401,0.00,,0.1401,0.1401,,0.1267,0.00,,0.1267,0.1267,,17.85M,19.73M,,,,
1994-03,-3.50M,-3.50M,0.60M,1.90M,2.50M,,,2.50M,,10.10M,1.20M,0.50M,0.70M,,,0.70M,0.70M,,16.10M,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,20.99M,20.99M,,,,
