,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-09,134.84M,0.076M,-2.881M,11.99M,3.378M,15.36M,15.36M,-23.10M,9.818M,-3.013M,-6.153M,,,35.88M,74.12M,110.00M,239.72M,,-9.695M,-9.695M,,-427.65M,45.42M,-1.852B,,-375.39M,0.00,-375.39M,1.411M,1.411M,0.002M,,0.002M,-21.67M,-15.31M,-36.99M,0.002M,-0.761M,2.040B,,1.368B,427.90M,1.796B,,1.413M,0.00,-375.39M,,6.30M,34.27M,,,
2015-06,131.34M,-1.112M,-4.588M,16.29M,3.336M,19.63M,19.63M,-26.94M,8.031M,-6.51M,62.90M,,,29.24M,7.183M,36.43M,225.59M,,-13.45M,-13.45M,,-284.30M,52.66M,-2.391B,,-201.69M,100.00M,-101.69M,1.033M,1.033M,96.59M,,96.59M,-21.52M,-14.41M,-35.93M,0.00,-17.67M,1.889B,,1.645B,-276.66M,1.368B,,97.62M,,-201.69M,,10.16M,39.17M,,,
2015-03,115.91M,-0.30M,-2.112M,13.76M,2.917M,16.67M,16.67M,38.03M,6.878M,-9.952M,10.98M,,,-62.96M,-45.48M,-108.44M,67.73M,,-7.805M,-7.805M,,-847.50M,4.70M,-1.879B,,-353.24M,,-353.24M,205.10M,205.10M,0.00,,0.00,-19.56M,-13.89M,-33.44M,0.165M,9.952M,2.638B,,817.15M,827.38M,1.645B,,205.10M,,-353.24M,,51.89M,35.15M,,,
2014-12,115.46M,0.567M,-3.54M,13.52M,2.558M,16.08M,16.08M,-18.50M,6.627M,-2.841M,21.67M,,,11.49M,88.02M,99.51M,234.45M,,-14.19M,-14.19M,,-982.21M,12.92M,-2.261B,,-2.16M,,-2.16M,0.76M,0.76M,0.00,,0.00,-19.54M,-13.89M,-33.43M,0.00,-17.00M,1.471B,,1.373B,-555.58M,817.15M,,0.76M,0.00,-2.16M,,34.00M,41.66M,,,
2014-09,136.01M,-23.58M,-37.29M,13.44M,2.238M,15.67M,15.67M,-21.22M,6.288M,-2.719M,22.58M,,,4.282M,33.81M,38.09M,156.60M,,-11.12M,-11.12M,,-412.68M,4.921M,-809.64M,,-274.65M,,-274.65M,1.454M,1.454M,0.00,,0.00,-19.51M,-13.89M,-33.40M,0.139M,2.719M,274.75M,,1.751B,-378.29M,1.373B,,1.454M,0.00,-274.65M,,0.258M,39.34M,,,
2014-06,120.83M,1.085M,-13.76M,12.91M,2.129M,15.04M,15.04M,-25.60M,6.891M,-11.64M,-30.76M,,,23.82M,20.76M,44.58M,107.76M,,-8.639M,-8.639M,,-515.17M,8.24M,-1.857B,,292.37M,,292.37M,0.692M,0.692M,0.00,,0.00,-19.38M,-13.89M,-33.26M,0.019M,11.64M,1.738B,,1.762B,-11.20M,1.751B,,0.692M,399.46M,-107.09M,,32.03M,38.58M,,,
2014-03,114.70M,0.091M,-2.754M,12.78M,1.872M,14.65M,14.65M,23.95M,7.651M,-3.098M,-10.05M,,,3.331M,-120.48M,-117.14M,17.39M,,-8.118M,-8.118M,,-189.49M,-23.50M,-1.260B,,498.61M,,498.61M,240.97M,240.97M,,,,-16.04M,-13.89M,-29.93M,0.037M,3.098M,2.197B,,807.88M,954.34M,1.762B,,240.97M,500.00M,-1.389M,,37.58M,38.75M,,,
2013-12,115.30M,0.441M,0.135M,12.56M,1.921M,14.48M,14.48M,12.69M,,-17.95M,-11.70M,,,-12.31M,52.21M,39.90M,165.54M,,-13.57M,-13.57M,,-659.63M,0.00,-2.268B,,-3.867M,0.00,-3.867M,0.639M,0.639M,194.16M,,194.16M,-16.00M,-12.80M,-28.80M,0.015M,17.95M,976.02M,,1.935B,-1.127B,807.88M,,194.80M,0.00,-3.867M,,17.34M,41.16M,,,
2013-09,111.75M,-0.972M,-2.187M,13.98M,2.194M,16.17M,16.17M,-3.732M,,-8.158M,-0.486M,,,0.124M,-11.90M,-11.77M,83.60M,,-15.85M,-15.85M,,-194.38M,7.285M,-2.214B,,797.87M,-370.00M,427.87M,0.61M,0.61M,0.00,,0.00,-15.93M,-10.39M,-26.32M,0.062M,8.158M,3.474B,,591.74M,1.343B,1.935B,,0.61M,800.00M,-2.127M,,16.86M,44.94M,,,
2013-06,112.47M,,-8.779M,14.39M,2.228M,16.62M,16.62M,-18.24M,,-4.459M,174.25M,,,76.55M,85.72M,162.27M,416.30M,,-11.98M,-11.98M,,-86.87M,-30.55M,-2.376B,,895.98M,-440.00M,455.98M,0.579M,0.579M,183.79M,,183.79M,-15.88M,-9.706M,-25.59M,0.484M,4.459M,1.998B,,552.84M,38.90M,591.74M,,184.37M,900.00M,-4.017M,,31.34M,31.33M,,,
2013-03,122.55M,,-25.99M,13.70M,2.681M,16.38M,16.38M,21.44M,,-0.696M,8.978M,,,-31.65M,-189.90M,-221.54M,-103.23M,,-19.17M,-19.17M,,-545.52M,-56.49M,-741.62M,,296.69M,735.00M,1.032B,0.679M,0.679M,,,,0.00,-7.776M,-7.776M,1.284M,0.696M,795.42M,,602.26M,-49.43M,552.84M,,0.679M,300.00M,-3.307M,,56.59M,24.03M,,,
2012-12,110.11M,,-17.72M,10.17M,2.649M,12.82M,12.82M,-0.211M,,-3.272M,-146.22M,,,-25.32M,130.04M,104.72M,62.32M,,-18.47M,-18.47M,,-279.50M,-10.70M,-1.913B,,-29.77M,100.00M,70.23M,0.437M,0.437M,145.10M,,145.10M,-26.32M,-6.534M,-32.86M,3.046M,3.272M,1.575B,,877.76M,-275.49M,602.26M,,145.54M,378.00M,-407.77M,,41.22M,35.31M,,,
2012-09,102.70M,,-12.55M,8.369M,2.137M,10.51M,10.51M,-24.02M,,-3.617M,20.15M,,,171.17M,36.07M,207.24M,275.56M,,-12.33M,-12.33M,,-244.85M,1.64M,-1.617B,,-64.89M,0.00,-64.89M,0.392M,0.392M,0.008M,,0.008M,-13.10M,-5.667M,-18.77M,4.278M,3.617M,1.418B,,800.82M,76.94M,877.76M,,0.40M,0.00,-64.89M,,40.17M,35.02M,,,
2012-06,98.53M,,-4.754M,9.179M,1.976M,11.16M,11.16M,-19.99M,,-1.516M,-4.013M,,,38.07M,-8.688M,29.38M,77.90M,,-12.24M,-12.24M,,-247.78M,-4.686M,-1.853B,,93.11M,0.00,93.11M,0.341M,0.341M,145.15M,,145.15M,0.00,-4.091M,-4.091M,4.276M,-59.11M,1.147B,,1.429B,-628.47M,800.82M,,145.50M,100.00M,-6.888M,,28.06M,36.69M,,,
2012-03,92.67M,,-3.809M,7.417M,1.711M,9.128M,9.128M,21.49M,,-4.349M,89.69M,,,-153.02M,-4.79M,-157.80M,23.72M,,-12.03M,-12.03M,,-97.88M,-26.42M,-1.040B,,947.21M,-100.00M,847.21M,0.49M,0.49M,193.32M,,193.32M,,-2.451M,-2.451M,1.362M,-26.78M,1.815B,,630.78M,798.51M,1.429B,,193.81M,950.00M,-2.79M,,69.64M,36.96M,,,
2011-12,91.76M,,-0.161M,2.503M,1.756M,4.259M,4.259M,-38.96M,4.627M,-0.311M,-84.33M,,,5.613M,11.51M,17.13M,-38.77M,,-12.31M,-12.31M,,-695.69M,5.653M,-2.191B,,95.19M,,95.19M,0.414M,0.414M,,,0.00,,0.00,0.00,1.461M,-0.761M,796.56M,,2.064B,-1.433B,630.78M,,0.414M,100.00M,-4.814M,,74.90M,36.64M,,,
2011-09,88.86M,,-1.453M,-0.095M,1.90M,1.805M,1.805M,-29.36M,19.03M,-4.383M,-5.996M,,,-32.12M,3.955M,-28.16M,6.979M,,-12.58M,-12.58M,,-342.38M,-68.85M,-1.581B,,999.13M,,999.13M,0.642M,0.642M,,,0.00,,0.00,0.00,2.313M,3.311M,2.848B,,790.77M,1.273B,2.064B,,0.642M,1.50B,-500.87M,,61.75M,46.07M,,,
2011-06,86.00M,,-11.74M,-3.132M,1.728M,-1.404M,-1.404M,0.038M,,0.00,-18.68M,,,4.079M,8.497M,12.58M,36.05M,,-10.77M,-10.77M,,-815.06M,-8.581M,-1.630B,,499.71M,,499.71M,,0.00,,,0.00,,0.00,0.00,0.00,-311.17M,114.92M,,2.270B,-1.479B,790.77M,,,500.00M,-0.287M,,46.17M,44.32M,,,
2011-03,90.06M,,6.933M,-7.154M,1.75M,-5.404M,-5.404M,8.507M,,0.00,6.094M,,,-22.46M,12.22M,-10.23M,60.27M,,-10.55M,-10.55M,,-156.49M,-14.10M,-423.11M,,-2.421M,,-2.421M,,0.00,,,0.00,,0.00,0.00,0.00,298.71M,1.105B,,1.528B,741.90M,2.270B,,,,-2.421M,,84.03M,46.98M,,,
2010-06,131.24M,,-14.39M,-1.922M,0.00,-1.922M,-1.922M,31.47M,0.00,,-66.78M,,,-6.456M,-55.13M,-61.59M,5.383M,,-13.86M,-13.86M,,-2.025M,-35.39M,153.29M,,0.00,,0.00,,,,,,,,,,-46.95M,73.55M,,203.69M,232.23M,435.92M,,,,,,0.00,96.81M,,,
2010-03,,,-0.45M,0.681M,0.00,0.681M,0.681M,17.44M,,,69.70M,,,54.23M,33.41M,87.64M,167.32M,,,,,1.074M,-2.801M,-191.16M,,,,,,,,,,,,,,-429.18M,48.98M,,178.55M,25.14M,203.69M,,,,,,,,,,
2006-12,17.29M,,,,,,,-0.968M,,,-24.83M,39.83M,-4.251M,58.88M,-17.99M,76.46M,106.42M,,14.09M,14.09M,,-2.033B,1.328B,-252.34M,,,-694.26M,-495.40M,,,,,,,,-6.399M,,1.202B,248.34M,,162.76M,102.44M,265.20M,,,,,,,,,,
2006-09,17.40M,,,,,,,-0.68M,,,184.51M,-37.53M,-54.39M,-37.53M,-54.39M,-183.83M,17.40M,,-7.07M,-7.07M,,115.24M,-241.56M,-387.70M,,,106.00M,106.00M,,,,,,,,-5.79M,,41.31M,367.03M,,166.03M,-3.271M,162.76M,,,,,,,,,,
2006-06,17.26M,,,,,,,0.418M,,,-34.00M,-5.49M,91.82M,-5.49M,91.82M,172.65M,156.33M,,-5.168M,-5.168M,,67.32M,-631.31M,-839.18M,,,1.213B,1.213B,,,,,,,,-5.073M,,-95.58M,687.38M,,161.50M,4.535M,166.03M,,,,,,,,,,
2006-03,17.22M,,,,,,,1.23M,,,154.35M,-15.86M,-19.44M,-15.86M,-19.44M,-70.59M,102.20M,,-1.848M,-1.848M,,62.41M,248.27M,53.31M,,,-750.00M,-750.00M,,,,,,,,-5.051M,,-37.48M,-135.78M,,141.76M,19.74M,161.50M,,,,,,,,,,
2005-12,16.26M,-0.607M,-0.607M,,,,,5.933M,,,-57.07M,24.09M,19.20M,44.58M,15.37M,103.25M,89.90M,,7.557M,7.557M,,-2.201B,858.97M,-516.48M,,,-13.50M,-299.00M,,,-48.63M,,0.00,,,-5.023M,,1.597B,442.11M,,126.22M,15.54M,141.76M,,-19.62M,,,,,,,,
2005-09,16.16M,0.299M,0.299M,,,,,-2.236M,,,53.32M,4.868M,-3.715M,4.868M,-3.715M,2.306M,69.84M,,-1.546M,-1.546M,,43.81M,-305.96M,-459.06M,,,190.50M,190.50M,,,-0.022M,,-0.022M,,,-4.922M,,-60.42M,395.95M,,119.50M,6.729M,126.22M,,-0.022M,,,,,,,,
2005-06,14.62M,0.023M,0.023M,,,,,-1.541M,,,59.29M,-34.16M,13.33M,-34.16M,13.33M,-41.65M,30.74M,,-3.40M,-3.40M,,56.89M,-373.07M,-788.19M,,,550.00M,550.00M,,,-0.346M,,-0.346M,,,-4.314M,,-48.74M,780.52M,,96.42M,23.08M,119.50M,,-0.346M,,,,,,,,
2005-03,13.79M,0.285M,0.285M,,,,,-2.156M,,,174.56M,-15.30M,-24.99M,-15.30M,-24.99M,-80.57M,105.92M,,-2.611M,-2.611M,,34.62M,-193.06M,-314.58M,,,-80.00M,-80.00M,,,49.00M,,49.00M,,,-3.616M,,-73.44M,217.10M,,87.99M,8.434M,96.42M,,49.00M,,,,,,,,
2004-12,13.20M,-0.831M,-0.831M,,,,,-0.319M,,,74.53M,13.61M,-32.80M,22.08M,-33.42M,-30.52M,74.82M,,-4.545M,-4.545M,,-1.932B,1.348B,-355.50M,,,-191.50M,-93.50M,,,-62.61M,,-62.61M,,,-3.476M,,994.68M,287.16M,,81.52M,6.471M,87.99M,,-44.96M,,,,,,,,
2004-09,12.07M,0.664M,0.664M,,,,,-2.274M,,,4.289M,-10.06M,44.90M,-10.06M,44.90M,69.68M,84.43M,,-6.861M,-6.861M,,31.14M,-332.84M,-309.83M,,,-4.50M,-4.50M,,,0.00,,0.00,,,-3.082M,,-12.12M,232.18M,,74.74M,6.777M,81.52M,,0.00,,,,,,,,
2004-06,11.36M,0.188M,0.188M,,,,,-0.406M,,,67.74M,-10.47M,-2.307M,-10.47M,-2.307M,-25.55M,53.34M,,-6.002M,-6.002M,,33.99M,-532.32M,-593.61M,,,263.00M,263.00M,,,-0.148M,,-0.148M,,,-3.016M,,100.55M,528.32M,,86.69M,-11.95M,74.74M,,-0.148M,,,,,,,,
2004-03,9.871M,-0.021M,-0.021M,,,,,-2.363M,,,191.93M,-1.55M,-9.174M,-1.55M,-9.174M,-21.45M,177.96M,,-3.444M,-3.444M,,38.10M,-344.40M,-452.00M,,,74.00M,74.00M,,,62.76M,,62.76M,,,-2.606M,,0.994M,280.91M,,79.81M,6.877M,86.69M,,62.76M,,,,,,,,
2003-12,6.654M,-0.835M,-0.835M,,,,,-1.176M,,,707.39M,9.194M,4.023M,10.58M,5.688M,29.49M,762.04M,,-1.705M,-1.171M,,-1.909B,884.03M,-1.026B,,,102.00M,104.03M,,,,,,,,-1.858M,,725.39M,273.90M,,70.21M,9.599M,79.81M,,,,,,,,,,
2003-09,7.921M,0.072M,0.072M,,,,,0.00,,,-111.21M,-11.22M,-7.371M,-11.22M,-7.371M,-37.19M,-140.40M,,0.072M,0.072M,,16.39M,-195.41M,-178.95M,,,-250.00M,-250.00M,,,,,,,,-1.821M,,240.02M,339.52M,,50.04M,20.17M,70.21M,,,,,,,,,,
2003-06,10.84M,0.43M,0.43M,,,,,-1.782M,,,7.947M,-0.621M,11.90M,-0.621M,11.90M,22.57M,40.00M,,-1.804M,-1.804M,,-28.12M,-318.04M,-347.97M,,,145.00M,145.00M,,,,,,,,,,37.33M,295.29M,,62.72M,-12.68M,50.04M,,,,,,,,,,
2003-03,11.64M,0.333M,0.333M,,,,,2.196M,,,78.63M,1.259M,-9.706M,1.259M,-9.706M,-16.89M,75.90M,,-4.665M,-4.665M,,7.06M,-312.01M,-309.62M,,,83.00M,83.00M,,,,,,,,,,19.12M,205.22M,,91.21M,-28.50M,62.72M,,,,,,,,,,
2002-12,7.101M,0.18M,0.18M,,,,,-2.187M,,,-19.41M,11.59M,-1.006M,12.64M,17.42M,40.64M,42.42M,,-8.27M,-8.27M,12.51M,-1.327B,1.244B,-78.96M,,,-158.00M,-158.02M,,,,,,,,,,417.80M,61.61M,,66.13M,25.08M,91.21M,,,,,,,,,,
2002-09,6.296M,0.001M,0.001M,,,,,-1.607M,,,-47.97M,-4.761M,19.43M,-4.761M,19.43M,29.35M,-13.93M,,-6.923M,-6.923M,5.633M,-162.38M,-10.66M,-174.33M,,,40.00M,40.00M,,,,,,,,,,7.401M,173.09M,,81.31M,-15.18M,66.13M,,,,,,,,,,
2002-06,5.582M,-0.225M,-0.225M,,,,,-0.175M,,,8.745M,-1.109M,-3.376M,-1.109M,-3.376M,-8.97M,4.957M,,-4.672M,-4.672M,-18.14M,19.31M,-293.33M,-296.84M,,,182.85M,182.85M,,,,,,,,,,61.60M,285.63M,,87.56M,-6.247M,81.31M,,,,,,,,,,
2002-03,7.422M,0.044M,0.044M,,,,,1.196M,,,88.81M,-6.77M,-17.24M,-6.77M,-17.24M,-48.03M,49.45M,,-5.098M,-5.098M,,-98.31M,-39.93M,-143.34M,,,0.15M,0.15M,,,,,,,,,,41.11M,71.59M,,109.86M,-22.30M,87.56M,,,,,,,,,,
2001-12,7.333M,0.202M,0.202M,,,,,-3.831M,,,-132.96M,6.369M,-7.176M,4.203M,8.897M,12.29M,-102.93M,,-5.776M,-4.397M,0.295M,-806.05M,929.90M,119.75M,,,40.50M,40.50M,,,,,,,,,,322.12M,43.57M,,55.44M,54.42M,109.86M,,,,,,,,,,
