,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-03,,1.762B,1.640B,3.402B,,,,689.40M,4.120B,,,,,,,,164.51M,106.55M,157.07M,263.62M,35.10B,159.64M,,34.94B,5.720B,,41.09B,44.35B,,,,,,,,,5.692B,,5.692B,33.57B,,,39.26B,39.85B,,890.90M,1.299B,2.290B,,889.52M,14.67M,4.494B,,,
2013-12,,807.88M,1.571B,2.379B,,,,680.76M,3.060B,,,,,,,,166.54M,106.55M,162.53M,269.08M,34.26B,351.31M,,33.91B,5.513B,,39.85B,42.11B,,,,,,,,,5.193B,,5.193B,32.08B,,,37.28B,37.95B,,890.85M,1.214B,2.042B,,889.52M,13.27M,4.160B,,,
2013-09,,1.935B,1.222B,3.157B,,,,653.00M,3.829B,,,,,,,,162.84M,106.55M,168.83M,275.38M,32.47B,145.91M,,32.33B,4.815B,,37.58B,40.95B,,,,,0.00,0.00,0.00,0.00,5.197B,,5.197B,31.29B,,,36.49B,37.07B,,690.85M,1.127B,2.043B,,689.52M,17.38M,3.879B,,,
2013-06,,591.74M,1.234B,1.826B,,,,639.92M,2.466B,,,,,,,,156.45M,106.55M,174.28M,280.82M,30.50B,148.31M,,30.35B,4.562B,,35.35B,37.31B,,,,,250.00M,250.00M,250.00M,370.00M,4.399B,,4.399B,28.23B,,,32.63B,33.53B,,690.84M,1.041B,2.037B,,689.52M,18.26M,3.787B,,,
2013-03,,552.84M,1.382B,1.935B,,,,650.30M,2.585B,,,,,,,,153.36M,106.55M,175.18M,281.73M,28.39B,136.10M,,28.25B,4.485B,,33.17B,35.08B,,,,,690.00M,690.00M,690.00M,810.00M,3.503B,,3.503B,26.85B,,,30.36B,31.56B,,500.84M,953.28M,2.036B,,499.52M,28.22M,3.518B,,,
2012-12,,602.26M,960.43M,1.563B,,,,581.16M,2.175B,,,,,,,,142.20M,106.55M,176.68M,283.23M,28.50B,442.24M,,28.06B,3.986B,,32.47B,34.39B,,,,,75.00M,75.00M,75.00M,75.00M,3.206B,,3.206B,27.09B,,,30.29B,30.99B,,500.84M,840.31M,2.028B,,499.52M,31.38M,3.400B,,,
2012-09,,877.76M,,877.76M,,,,534.46M,1.436B,,,,,,,,133.34M,24.60M,137.76M,162.36M,26.54B,113.00M,,26.42B,3.723B,,30.44B,32.58B,,,,,,,,,3.211B,,3.211B,25.70B,,0.00,28.92B,29.41B,,350.83M,761.50M,2.023B,,349.52M,26.73M,3.162B,,,
2012-06,,800.82M,,800.82M,,,,686.10M,1.506B,,,,,,,,128.48M,24.60M,143.87M,168.48M,25.13B,97.05M,,25.03B,3.525B,,28.86B,30.99B,,,,,,,,,3.268B,,3.268B,24.22B,,0.00,27.48B,27.93B,,350.83M,677.57M,2.013B,,349.52M,15.35M,3.057B,,,
2012-03,,1.429B,,1.429B,,,,695.58M,2.138B,,,,,,,,123.44M,24.60M,129.29M,153.89M,23.49B,82.42M,,23.41B,3.281B,,26.99B,29.72B,,,,,,,,,3.175B,,3.175B,23.25B,,46.80M,26.43B,26.86B,,200.83M,583.76M,2.019B,,199.52M,12.90M,2.817B,,,
2011-12,,630.78M,722.28M,1.353B,103.73M,34.05M,137.78M,85.45M,1.601B,1.318M,48.23M,,9.488M,94.52M,153.56M,-35.19M,118.36M,24.60M,151.84M,176.45M,22.64B,68.11M,,22.57B,3.150B,136.37M,26.07B,27.79B,,,,,,,,,2.329B,,2.329B,22.46B,,77.26M,24.79B,25.20B,,1.294M,494.45M,2.021B,,,1.186M,2.518B,,,
2011-09,,2.064B,,2.064B,,,,763.70M,2.833B,,,,,,,,112.56M,24.60M,140.02M,164.62M,20.94B,53.30M,,20.89B,2.269B,,23.46B,26.78B,,,,,,,,,2.188B,,2.188B,21.77B,,77.26M,23.96B,24.29B,,1.293M,403.76M,2.014B,,,-7.213M,2.412B,,,
2011-06,,790.77M,,790.77M,,,,488.51M,1.288B,,,,,,,,106.48M,24.60M,145.62M,170.22M,19.75B,38.20M,,19.71B,1.994B,73.26M,22.00B,23.80B,,,,,,,,,1.190B,,1.190B,19.94B,,77.26M,21.13B,21.40B,,1.289M,315.97M,2.008B,,,-2.679M,2.323B,,,
2011-03,,2.270B,,2.270B,,,,448.34M,2.718B,,,,,,,,101.93M,24.60M,172.35M,196.95M,18.88B,25.91M,,18.85B,1.239B,71.08M,20.78B,23.58B,,,,,,,,,967.72M,,967.72M,20.03B,,86.57M,21.00B,21.26B,,1.289M,231.13M,2.000B,,,0.326M,2.232B,,,
2010-12,,1.528B,,1.528B,,,,401.00M,1.929B,1.303M,29.16M,,5.389M,72.29M,108.15M,-11.10M,97.05M,24.60M,178.94M,203.54M,18.60B,18.81M,,18.58B,1.093B,79.77M,19.98B,22.38B,,,,,,,,,693.84M,,693.84M,19.24B,,86.57M,19.93B,20.15B,,1.289M,142.36M,1.994B,,,0.078M,2.138B,,,
2010-09,,2.292B,,2.292B,,,,,2.292B,,,,,,,,98.32M,24.60M,185.05M,209.65M,17.86B,4.50M,,17.85B,541.85M,,19.66B,21.95B,,,,,,,,,694.55M,,694.55M,18.96B,,86.57M,19.66B,19.93B,,1.241M,66.40M,1.868B,,,-1.488M,1.934B,,,
2007-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.55B,,,,,,,,,,,,,,,,448.45B,,,,,,,,35.10B,,,
2006-12,,265.20M,,265.20M,,,76.14M,135.91M,477.24M,,,,,,,,80.07M,183.44M,40.51M,223.95M,8.214B,51.71M,,8.163B,2.339B,,11.16B,11.63B,,,,,,,,,1.654B,,1.654B,8.921B,,148.59M,10.57B,10.70B,,115.31M,337.80M,335.20M,,115.00M,-0.122M,788.18M,,,
2006-09,,162.76M,2.152B,2.315B,,,,,2.404B,,,,,,,,66.70M,,104.43M,104.43M,7.789B,44.05M,6.102M,7.751B,2.152B,,10.46B,10.71B,,,,,,,,,1.962B,,1.962B,7.858B,,148.59M,9.821B,9.930B,,0.271M,333.47M,183.55M,,,,634.25M,,,
2006-06,,166.03M,2.017B,2.183B,,,,,2.266B,,,,,,,,62.65M,,103.58M,103.58M,7.630B,43.52M,5.645M,7.592B,2.017B,,10.13B,10.38B,,,,,,,,,1.816B,,1.816B,7.633B,,148.59M,9.449B,9.614B,,0.27M,321.86M,180.42M,,,,618.25M,,,
2006-03,,161.50M,1.841B,2.003B,,,,,2.079B,,,,,,,,60.40M,,104.07M,104.07M,7.049B,43.46M,4.401M,7.010B,1.841B,,9.341B,9.579B,,,,,,,,,703.27M,,703.27M,8.054B,,148.59M,8.757B,8.828B,,0.266M,309.67M,174.59M,,,,602.28M,,,
2005-12,,141.76M,,141.76M,,,54.29M,91.54M,287.59M,,,,,,,,61.30M,71.00M,27.72M,98.72M,6.661B,39.73M,,6.621B,1.650B,,9.032B,9.320B,,,,,,,,,1.493B,,1.493B,7.019B,,148.59M,8.512B,8.587B,,115.26M,297.50M,191.99M,,115.00M,2.512M,584.12M,,,
2005-09,,126.22M,1.530B,1.656B,,,,,1.728B,,,,,,,,58.71M,,95.02M,95.02M,6.761B,38.63M,4.454M,6.727B,1.530B,,8.654B,8.852B,,,,,1.352B,1.352B,1.352B,1.352B,230.27M,,230.27M,6.485B,,148.59M,6.715B,8.133B,,0.262M,286.26M,189.70M,,,,570.16M,,,
2005-06,,119.50M,1.391B,1.510B,,,,,1.577B,,,,,,,,59.71M,,93.61M,93.61M,6.506B,37.75M,3.968M,6.472B,1.391B,,8.256B,8.442B,,,,,,,,,1.477B,,1.477B,6.214B,,148.59M,7.690B,7.760B,,0.255M,275.03M,163.84M,,,,532.94M,,,
2005-03,,96.42M,988.35M,1.085B,,,,,1.144B,,,,,,,,58.82M,,92.35M,92.35M,6.166B,36.84M,3.484M,6.133B,988.35M,,7.476B,7.632B,,,,,,,,,976.77M,,976.77M,5.930B,,148.59M,6.907B,6.965B,,0.253M,264.72M,160.40M,,,,518.85M,,,
2004-12,,87.99M,,87.99M,,,33.84M,56.12M,177.95M,,,,,,,,58.67M,68.92M,19.17M,88.09M,6.104B,35.67M,,6.068B,866.98M,,7.245B,7.423B,,,,,,,,,1.132B,,1.132B,5.605B,,148.59M,6.736B,6.821B,,65.25M,254.55M,147.99M,5.50M,65.00M,4.084M,453.09M,,,
2004-09,,81.52M,855.18M,936.70M,,,,,999.40M,,,,,,,,,,88.44M,88.44M,5.820B,34.52M,6.04M,5.791B,855.18M,,6.973B,7.117B,,,,,,,,,1.298B,,1.298B,5.148B,,148.59M,6.447B,6.526B,,0.168M,244.91M,147.88M,5.988M,,,442.26M,,,
2004-06,,74.74M,884.39M,959.13M,,,,,1.021B,,,,,,,,52.04M,,62.97M,62.97M,5.536B,33.94M,,5.502B,884.39M,,6.688B,6.825B,,,,,,,,,1.330B,,1.330B,4.897B,,148.59M,6.226B,6.258B,,0.168M,235.92M,141.87M,14.13M,,,417.98M,,,
2004-03,,86.69M,845.12M,931.81M,,,,,981.77M,,,,,,,,47.97M,,62.97M,62.97M,5.053B,32.40M,,5.021B,845.12M,,6.152B,6.288B,,,,,,,,,966.77M,,966.77M,4.729B,,148.64M,5.695B,5.732B,,0.168M,227.57M,139.33M,16.55M,,,407.90M,,,
2003-12,,79.81M,,79.81M,,,25.36M,44.41M,149.58M,,,,,,,,46.47M,61.55M,14.93M,76.48M,4.884B,31.41M,,4.853B,727.72M,,5.853B,6.003B,,,,,,,,,898.35M,,898.35M,4.583B,,148.74M,5.481B,5.523B,,0.168M,220.31M,136.63M,21.34M,,3.252M,331.70M,,,
2003-09,,70.21M,720.98M,791.19M,,,,,848.02M,,,,,,,,46.74M,,76.64M,76.64M,4.624B,30.40M,5.483M,4.599B,720.98M,,5.590B,5.717B,,,,,954.50M,954.50M,954.50M,954.50M,63.77M,,63.77M,4.186B,,158.00M,4.249B,5.246B,,0.168M,215.51M,133.94M,31.10M,,,313.15M,,,
2003-06,,50.04M,733.04M,783.08M,,,,,843.73M,,,,,,,,48.80M,,76.61M,76.61M,4.285B,27.10M,5.044M,4.263B,733.04M,,5.265B,5.376B,,,,,968.50M,968.50M,968.50M,968.50M,70.24M,,70.24M,3.834B,,149.00M,3.904B,4.921B,,0.168M,209.42M,134.30M,35.10M,,,305.49M,,,
2003-03,,62.72M,726.09M,788.80M,,,,,833.74M,,,,,,,,48.65M,,61.55M,61.55M,4.058B,24.82M,4.937M,4.038B,726.09M,,4.947B,5.055B,,,,,844.50M,844.50M,844.50M,844.50M,70.24M,,70.24M,3.721B,,89.00M,3.791B,4.672B,,0.168M,198.58M,134.76M,40.62M,,,293.71M,,,
2002-12,,91.21M,,91.21M,,,23.97M,35.32M,150.50M,,,,,,,,46.20M,60.64M,15.77M,76.41M,3.828B,28.73M,,3.799B,730.92M,,4.704B,4.855B,,,,,,,,,817.47M,,817.47M,3.626B,,89.00M,4.444B,4.483B,,0.168M,186.94M,133.98M,39.49M,,5.357M,283.18M,,,
2002-09,,66.13M,724.10M,790.24M,,,,,842.27M,,,,,,,,41.22M,,60.54M,60.54M,3.773B,25.35M,5.593M,3.754B,724.10M,,4.652B,4.770B,,5.478M,5.478M,5.478M,867.50M,867.50M,867.50M,872.98M,70.24M,,70.24M,3.435B,,89.00M,3.506B,4.403B,,0.199M,179.84M,168.61M,71.91M,,,278.30M,,,
2002-06,,81.31M,566.56M,647.87M,,,,,647.87M,,,,,,,,36.06M,,60.51M,60.51M,3.736B,24.36M,5.703M,3.717B,566.56M,,4.488B,4.569B,,9.119M,9.119M,9.119M,757.50M,757.50M,757.50M,766.62M,70.25M,,70.25M,3.368B,,89.50M,3.438B,4.206B,,0.199M,173.54M,168.42M,68.24M,,,273.31M,,,
2002-03,,47.56M,585.65M,633.20M,,,,,709.01M,,,,,,,,32.97M,,41.09M,41.09M,3.431B,23.73M,3.27M,3.411B,585.65M,,4.145B,4.268B,,,,,574.50M,574.50M,574.50M,574.50M,70.40M,,70.40M,3.268B,,90.50M,3.339B,3.930B,,0.194M,167.96M,159.46M,77.31M,,,248.01M,,,
2001-12,79.86M,109.86M,,109.86M,,,22.91M,28.36M,161.13M,,,,,,,,29.33M,27.23M,13.65M,40.88M,3.468B,22.78M,,3.446B,471.50M,,4.036B,4.198B,,,,,,,,,653.67M,,653.67M,3.238B,,48.50M,3.892B,3.917B,,0.193M,160.54M,156.42M,82.48M,,1.461M,231.85M,,,
2001-09,,55.44M,302.59M,358.02M,,,,,403.48M,,,,,,,,24.93M,,27.55M,27.55M,3.660B,22.95M,1.587M,3.639B,302.59M,,4.055B,4.156B,,,,,909.06M,909.06M,909.06M,909.06M,70.25M,,70.25M,2.855B,,62.00M,2.926B,3.870B,,0.193M,153.20M,155.84M,82.15M,,,223.93M,,,
2001-06,,63.38M,303.64M,367.03M,24.93M,,24.93M,,431.20M,,,,,,,,24.42M,,27.86M,27.86M,3.475B,22.65M,0.832M,3.453B,303.64M,,3.845B,3.972B,,,,,,,,,854.81M,,854.81M,2.811B,,62.00M,3.665B,3.692B,,0.192M,146.69M,153.87M,79.70M,,,218.20M,,,
2001-03,,54.41M,301.58M,355.99M,25.60M,,25.60M,,429.49M,,,,,,,,22.21M,,28.18M,28.18M,3.262B,22.42M,0.671M,3.240B,301.58M,,3.631B,3.759B,,,,,,,,,732.82M,,732.82M,2.731B,,55.00M,3.464B,3.493B,,0.19M,140.93M,149.86M,75.53M,,,210.82M,,,
2000-12,61.89M,61.89M,,61.89M,,,25.08M,41.28M,128.26M,,,,,,,,21.81M,28.49M,,28.49M,3.157B,22.17M,,3.135B,,,3.528B,3.656B,,,,,,,,,847.33M,,847.33M,2.530B,,55.00M,3.378B,3.399B,,0.189M,135.48M,147.79M,73.70M,,-1.407M,202.85M,,,
2000-09,,67.30M,281.61M,348.91M,,,,,425.61M,,,,,,,,20.34M,,28.80M,28.80M,3.258B,21.91M,0.199M,3.236B,281.61M,,3.637B,3.781B,,,,,,,,,1.025B,,1.025B,2.467B,,55.00M,3.492B,3.528B,,0.123M,130.02M,145.54M,72.48M,,,197.88M,,,
2000-06,,60.90M,275.66M,336.55M,,,,,397.22M,,,,,,,,20.00M,,29.12M,29.12M,3.378B,21.63M,-0.286M,3.356B,275.66M,,3.749B,3.870B,,,,,,,,,1.284B,,1.284B,2.309B,,55.00M,3.593B,3.623B,,0.123M,124.40M,144.98M,70.11M,,,192.87M,,,
2000-03,,49.38M,255.84M,305.22M,,,,,361.71M,,,,,,,,19.35M,,29.43M,29.43M,3.322B,21.23M,-0.83M,3.300B,255.84M,,3.662B,3.768B,,,,,,,,,1.147B,,1.147B,2.347B,,55.00M,3.494B,3.521B,,0.122M,118.92M,144.67M,65.38M,,,192.02M,,,
1999-12,,62.59M,222.20M,284.79M,,,,,340.59M,,,,,,,,18.82M,,24.26M,24.26M,3.193B,20.96M,-0.92M,3.171B,222.20M,,3.480B,3.599B,,,,,304.35M,304.35M,304.35M,304.35M,888.03M,,888.03M,2.138B,,55.00M,3.026B,3.359B,,0.118M,112.90M,142.59M,64.38M,,,185.16M,,,
1999-09,,45.80M,210.30M,256.10M,,,,,305.00M,,,,,,,,17.00M,,24.50M,24.50M,2.965B,20.90M,0.20M,2.945B,210.30M,,3.240B,3.334B,,12.20M,12.20M,12.20M,76.50M,76.50M,76.50M,88.70M,962.60M,,962.60M,2.035B,,55.00M,2.998B,3.094B,,0.10M,107.80M,142.90M,59.90M,,,184.70M,,,
1999-06,,39.90M,218.70M,258.60M,,,,,306.80M,,,,,,,,15.10M,,24.80M,24.80M,2.817B,20.30M,0.10M,2.797B,218.70M,,3.097B,3.185B,,14.00M,14.00M,14.00M,,,,14.00M,991.80M,,991.80M,1.933B,,55.00M,2.925B,2.943B,,,102.20M,,,,,187.30M,,,
1999-03,,56.90M,234.80M,291.70M,,,,,339.30M,,,,,,,,13.40M,,25.00M,25.00M,2.699B,20.30M,-0.80M,2.678B,234.80M,,2.986B,3.091B,,11.70M,11.70M,11.70M,,,,11.70M,1.021B,,1.021B,1.859B,,,2.879B,2.901B,,,96.40M,,,,,190.10M,,,
