,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2012-09,447.90M,447.90M,111.70M,336.20M,167.80M,73.80M,,-0.60M,,,0.30M,,241.60M,94.60M,,,0.30M,-1.50M,0.30M,93.40M,24.20M,69.20M,,69.20M,70.31M,94.60M,,2012-09,0.10,,0.10,,2012-09,0.0967,,0.0967,,2012-09,,2012-09,AOR,Restated
2012-06,482.00M,482.00M,129.80M,352.20M,182.40M,74.00M,,-7.00M,,,0.10M,,256.40M,95.80M,,,0.10M,-6.00M,0.10M,89.90M,22.10M,67.80M,,67.80M,73.00M,95.80M,,2012-06,0.0983,,0.0983,,2012-06,0.095,,0.095,,2012-06,,2012-06,AOR,Restated
2012-03,459.20M,459.20M,127.30M,331.90M,177.20M,68.60M,,0.00,,,0.00,,245.80M,86.10M,,,0.00,-0.50M,0.00,85.60M,20.50M,65.10M,,65.10M,65.25M,86.10M,,2012-03,0.095,,0.095,,2012-03,0.0917,,0.0917,,2012-03,,2012-03,AOR,Restated
2011-12,430.20M,430.20M,119.60M,310.60M,163.40M,60.70M,,-22.70M,0.90M,0.90M,0.00,,224.10M,86.50M,0.90M,0.90M,0.00,-17.90M,0.00,68.60M,5.50M,63.10M,,63.10M,83.98M,69.50M,,2011-12,0.0917,0.00,0.0917,,2011-12,0.0883,0.00,0.0883,,2011-12,,2011-12,AOR,Restated
2011-09,412.70M,412.70M,125.60M,287.10M,165.50M,61.70M,,-2.30M,1.00M,1.00M,0.00,,227.20M,59.90M,1.00M,1.00M,0.00,-2.30M,0.00,57.60M,6.00M,51.60M,,51.60M,53.66M,58.60M,,2011-09,0.075,0.00,0.075,,2011-09,0.0717,0.00,0.0717,,2011-09,,2011-09,AOR,Restated
2011-06,431.20M,431.20M,127.80M,303.40M,163.20M,64.90M,,-2.80M,0.70M,1.00M,0.30M,,228.10M,75.30M,1.00M,0.70M,0.30M,-2.80M,0.30M,72.80M,14.70M,58.10M,,58.10M,60.33M,73.50M,,2011-06,0.085,0.00,0.085,,2011-06,0.08,0.00,0.08,,2011-06,,2011-06,AOR,Restated
2011-03,404.50M,404.50M,116.80M,287.70M,150.30M,59.00M,,6.20M,0.50M,0.50M,0.00,,209.30M,78.40M,0.50M,0.50M,0.00,6.20M,0.00,84.60M,20.70M,63.90M,,63.90M,59.22M,85.10M,,2011-03,0.0933,0.00,0.0933,,2011-03,0.0883,0.00,0.0883,,2011-03,,2011-03,AOR,Restated
2010-12,392.40M,392.40M,113.50M,278.90M,142.40M,55.90M,,-18.20M,0.50M,0.10M,-0.40M,,198.30M,80.60M,0.10M,0.50M,-0.40M,-10.10M,-0.40M,70.10M,5.30M,64.80M,,64.80M,81.62M,70.60M,,2010-12,0.095,,0.095,,2010-12,0.09,,0.09,,2010-12,,2010-12,AOR,Restated
2010-09,348.90M,348.90M,95.80M,253.10M,133.00M,52.70M,,-0.80M,0.70M,0.30M,-0.40M,,185.70M,67.40M,0.30M,0.70M,-0.40M,-0.80M,-0.40M,66.20M,18.20M,48.00M,,48.00M,48.58M,66.90M,,2010-09,0.07,0.00,0.07,,2010-09,0.0667,0.00,0.0667,,2010-09,,2010-09,AOR,Restated
2010-06,365.20M,365.20M,100.40M,264.80M,140.60M,50.60M,,-6.70M,0.70M,0.20M,-0.50M,,191.20M,73.60M,0.20M,0.70M,-0.50M,-6.70M,-0.50M,66.40M,8.90M,57.50M,,57.50M,63.30M,67.10M,,2010-06,0.085,0.00,0.085,,2010-06,0.08,0.00,0.08,,2010-06,,2010-06,AOR,Restated
2010-03,340.50M,340.50M,98.60M,241.90M,134.00M,45.20M,,3.00M,0.30M,0.50M,0.20M,,179.20M,62.70M,0.50M,0.30M,0.20M,3.00M,0.20M,65.50M,17.80M,47.70M,,47.70M,45.52M,65.80M,,2010-03,0.07,0.00,0.07,,2010-03,0.0667,0.00,0.0667,,2010-03,,2010-03,AOR,Restated
2009-12,346.70M,346.70M,101.70M,245.00M,132.30M,48.30M,,-1.80M,0.50M,0.30M,-0.20M,,180.60M,64.40M,0.30M,0.50M,-0.20M,-1.80M,-0.20M,62.40M,14.80M,47.60M,,47.60M,48.97M,62.90M,,2009-12,0.07,0.00,0.07,,2009-12,0.0667,0.00,0.0667,,2009-12,,2009-12,AOR,Restated
2009-09,325.70M,325.70M,98.50M,227.20M,126.10M,44.70M,,38.40M,0.90M,0.30M,-0.60M,,170.80M,56.40M,0.30M,0.90M,-0.60M,38.40M,-0.60M,94.20M,20.70M,73.50M,,73.50M,43.54M,95.10M,,2009-09,0.1083,0.00,0.1083,,2009-09,0.105,0.00,0.105,,2009-09,,2009-09,AOR,Restated
2009-06,335.50M,335.50M,101.90M,233.60M,128.50M,42.60M,,0.50M,0.50M,0.30M,-0.20M,,171.10M,62.50M,0.30M,0.50M,-0.20M,0.50M,-0.20M,62.80M,15.30M,47.50M,,47.50M,47.12M,63.30M,,2009-06,0.07,0.00,0.07,,2009-06,0.0683,0.00,0.0683,,2009-06,,2009-06,AOR,Restated
2009-03,313.50M,313.50M,97.00M,216.50M,121.90M,39.90M,,30.40M,0.80M,0.70M,-0.10M,,161.80M,54.70M,0.70M,0.80M,-0.10M,30.40M,-0.10M,85.00M,24.50M,60.50M,,60.50M,38.86M,85.80M,,2009-03,0.09,0.00,0.09,,2009-03,0.0858,0.00,0.0858,,2009-03,,2009-03,AOR,Restated
2008-12,309.70M,309.70M,98.80M,210.90M,120.20M,35.80M,,-20.20M,,,,,156.00M,54.90M,,,,-20.20M,,34.00M,-4.10M,38.10M,,38.10M,51.23M,28.20M,,2008-12,0.0567,0.00,0.0567,,2008-12,0.0542,0.00,0.0542,,2008-12,,2008-12,AOR,Restated
2008-09,303.60M,303.60M,104.90M,198.70M,119.30M,35.10M,,-1.10M,,,,,154.40M,44.30M,,,,-1.10M,,43.60M,10.70M,32.90M,,32.90M,33.73M,44.30M,,2008-09,0.0492,0.00,0.0492,,2008-09,0.0467,0.00,0.0467,,2008-09,,2008-09,,
2008-06,327.60M,327.60M,113.00M,214.60M,126.50M,35.40M,,1.80M,1.90M,1.50M,-0.40M,,161.90M,52.70M,1.50M,1.90M,-0.40M,1.80M,-0.40M,52.10M,12.40M,39.70M,,39.70M,38.33M,54.00M,,2008-06,0.06,0.00,0.06,,2008-06,0.0558,0.00,0.0558,,2008-06,,2008-06,,Restated
2008-03,296.80M,296.80M,102.90M,193.90M,114.60M,32.90M,,-11.30M,2.10M,1.70M,-0.40M,,147.50M,46.40M,1.70M,2.10M,-0.40M,-11.30M,-0.40M,34.70M,16.50M,18.20M,,18.20M,25.54M,36.80M,,2008-03,0.0267,0.00,0.0267,,2008-03,0.0258,0.00,0.0258,,2008-03,,2008-03,,Restated
2007-12,293.00M,293.00M,99.60M,193.40M,114.50M,33.50M,,-25.40M,,,,,148.00M,45.40M,,,,-25.40M,,19.60M,3.80M,15.80M,,15.80M,36.28M,45.40M,,2007-12,0.0233,0.00,0.0233,,2007-12,0.0233,0.00,0.0233,,2007-12,,2007-12,,
2007-09,261.40M,261.40M,90.70M,170.70M,103.20M,30.90M,,2.60M,,,,,134.10M,36.60M,,,,2.60M,,38.80M,9.70M,29.10M,,29.10M,27.15M,36.60M,,2007-09,0.0425,0.00,0.0425,,2007-09,0.04,0.00,0.04,,2007-09,,2007-09,,
2007-06,272.60M,272.60M,94.70M,177.90M,101.70M,29.10M,,0.10M,,,,,130.80M,47.10M,,,,0.10M,,46.80M,11.90M,34.90M,,34.90M,34.83M,47.10M,,2007-06,0.0508,0.00,0.0508,,2007-06,0.0475,0.00,0.0475,,2007-06,,2007-06,,
2007-03,264.10M,264.10M,93.20M,170.90M,98.60M,28.80M,,1.30M,,,,-1.10M,126.30M,44.60M,,,,1.30M,,44.60M,11.40M,33.20M,,33.20M,32.23M,44.60M,,2007-03,0.0475,0.00,0.0475,,2007-03,0.045,0.00,0.045,,2007-03,,2007-03,,
2006-12,265.60M,265.60M,97.40M,168.20M,95.10M,30.00M,,-19.00M,,,,,125.10M,43.10M,,,,-19.00M,,23.70M,3.00M,20.70M,,20.70M,37.29M,43.10M,,2006-12,0.03,0.00,0.03,,2006-12,0.0283,0.00,0.0283,,2006-12,,2006-12,,
2006-09,247.40M,247.40M,87.40M,160.00M,91.70M,28.10M,,-2.70M,,,,,119.80M,40.20M,,,,-2.70M,,36.70M,8.90M,27.80M,,27.80M,29.85M,40.20M,,2006-09,0.04,0.00,0.04,,2006-09,0.0375,0.00,0.0375,,2006-09,,2006-09,,
2006-06,267.30M,267.30M,95.70M,171.60M,97.00M,28.90M,,0.40M,,,,,125.90M,45.70M,,,,0.40M,,45.50M,9.40M,36.10M,,36.10M,35.78M,45.70M,,2006-06,0.0508,0.00,0.0508,,2006-06,0.0483,0.00,0.0483,,2006-06,,2006-06,,
2006-03,257.00M,257.00M,93.00M,164.00M,92.00M,27.00M,,23.00M,,,,-21.00M,98.00M,66.00M,,,,23.00M,,66.00M,21.00M,46.00M,,46.00M,30.32M,66.00M,,2006-03,0.0642,0.00,0.0642,,2006-03,0.0608,0.00,0.0608,,2006-03,,2006-03,,
2005-12,249.70M,249.70M,89.60M,160.10M,87.40M,25.80M,,-2.30M,,,,,113.20M,46.90M,,,,-2.30M,,43.50M,4.90M,38.30M,,38.30M,40.34M,46.90M,,2005-12,0.0542,0.00,0.0542,,2005-12,0.0517,0.00,0.0517,,2005-12,,2005-12,,
2005-09,240.90M,240.90M,90.90M,150.00M,85.90M,24.00M,,-22.60M,,,,,109.90M,40.10M,,,,-22.60M,,15.30M,19.70M,-4.40M,,-4.40M,9.16M,40.10M,,2005-09,-0.0058,0.00,-0.0058,,2005-09,-0.0058,0.00,-0.0058,,2005-09,,2005-09,,
2005-06,258.20M,258.20M,97.90M,160.30M,90.10M,24.20M,,-27.40M,,,,,114.30M,46.00M,,,,-27.40M,,15.30M,1.40M,13.90M,,13.90M,38.79M,46.00M,,2005-06,0.0192,0.00,0.0192,,2005-06,0.0183,0.00,0.0183,,2005-06,,2005-06,,
2005-03,249.10M,249.10M,96.20M,152.90M,85.60M,25.00M,,3.10M,,,,-0.30M,110.30M,42.60M,,,,3.10M,,42.60M,11.40M,31.20M,,31.20M,28.93M,42.60M,,2005-03,0.0433,0.00,0.0433,,2005-03,0.0417,0.00,0.0417,,2005-03,,2005-03,,
2004-12,237.10M,237.10M,91.20M,145.90M,82.70M,23.40M,,-2.20M,,,,,106.10M,39.80M,,,,-2.20M,,34.10M,8.20M,25.90M,,25.90M,27.57M,39.80M,,2004-12,0.0367,0.00,0.0367,,2004-12,0.0367,0.00,0.0367,,2004-12,,2004-12,,
2004-09,224.80M,224.80M,87.90M,136.90M,79.70M,21.90M,,-12.40M,,,,,101.60M,35.30M,,,,-12.40M,,19.50M,7.10M,12.40M,,12.40M,20.29M,35.30M,,2004-09,0.0175,0.00,0.0175,,2004-09,0.0167,0.00,0.0167,,2004-09,,2004-09,,
2004-06,234.60M,234.60M,92.40M,142.20M,81.00M,20.70M,,-2.80M,,,,,101.70M,40.50M,,,,-2.80M,,34.10M,8.60M,25.50M,,25.50M,27.59M,40.50M,,2004-06,0.0358,0.00,0.0358,,2004-06,0.0342,0.00,0.0342,,2004-06,,2004-06,,
2004-03,235.00M,235.00M,98.70M,136.30M,76.50M,21.00M,,-92.70M,,,,15.40M,112.90M,23.40M,,,,-92.70M,,-57.60M,4.50M,-62.10M,,-62.10M,-6.48M,23.40M,,2004-03,-0.0867,0.00,-0.0867,,2004-03,-0.0867,0.00,-0.0867,,2004-03,,2004-03,,
2003-12,224.10M,224.10M,93.80M,130.30M,72.20M,19.00M,,-8.60M,,,,,91.20M,39.10M,,,,-8.60M,,27.00M,8.10M,18.90M,,18.90M,24.92M,39.10M,,2003-12,0.0267,0.00,0.0267,,2003-12,0.0258,0.00,0.0258,,2003-12,,2003-12,,
2003-09,206.10M,206.10M,86.90M,119.20M,70.50M,16.80M,,-13.70M,,,,,87.30M,31.90M,,,,-13.70M,,14.70M,-9.80M,24.50M,,24.50M,32.72M,31.90M,,2003-09,0.0342,0.00,0.0342,,2003-09,0.0333,0.00,0.0333,,2003-09,,2003-09,,
2003-06,217.80M,217.80M,89.60M,128.20M,75.80M,18.00M,,-1.90M,,,,3.30M,97.10M,31.10M,,,,-1.90M,,29.00M,7.90M,21.10M,,21.10M,22.48M,31.10M,,2003-06,0.03,0.00,0.03,,2003-06,0.0283,0.00,0.0283,,2003-06,,2003-06,,
2003-03,212.50M,212.50M,89.10M,123.40M,71.40M,19.00M,,-8.20M,,,,,90.40M,33.00M,,,,-8.20M,,22.10M,7.60M,14.50M,,14.50M,19.88M,33.00M,,2003-03,0.0208,0.00,0.0208,,2003-03,0.02,0.00,0.02,,2003-03,,2003-03,,
2002-12,203.10M,203.10M,85.70M,117.40M,68.70M,17.70M,,1.30M,,,,0.00,86.40M,31.00M,,,,1.30M,,29.30M,7.60M,21.70M,,21.70M,20.74M,31.00M,,2002-12,0.03,0.00,0.03,,2002-12,0.03,0.00,0.03,,2002-12,,2002-12,,
2002-09,165.80M,165.80M,69.90M,95.90M,54.20M,15.50M,,-68.70M,,,,67.10M,136.80M,-40.90M,,,,-68.70M,,-45.20M,-27.80M,-17.40M,,-17.40M,23.82M,-40.90M,,2002-09,-0.025,0.00,-0.025,,2002-09,-0.025,0.00,-0.025,,2002-09,,2002-09,,
2002-06,172.80M,172.80M,74.40M,98.40M,54.30M,16.60M,,19.30M,,,,-3.60M,67.30M,31.10M,,,,19.30M,,43.80M,13.20M,30.60M,,30.60M,17.12M,31.10M,,2002-06,0.0433,0.00,0.0433,,2002-06,0.0417,0.00,0.0417,,2002-06,,2002-06,,
2002-03,162.30M,162.30M,69.10M,93.20M,50.70M,15.40M,,3.80M,,,,-3.80M,62.30M,30.90M,,,,3.80M,,28.10M,7.30M,20.80M,,20.80M,17.99M,30.90M,,2002-03,0.0292,0.00,0.0292,,2002-03,0.0283,0.00,0.0283,,2002-03,,2002-03,,
2001-12,160.00M,160.00M,68.20M,91.80M,50.10M,14.40M,4.00M,3.00M,,,,-3.80M,64.70M,27.10M,,,,3.00M,,22.80M,5.80M,17.10M,0.00,17.10M,14.86M,27.10M,,2001-12,0.0242,0.0008,0.025,,2001-12,0.0242,0.0008,0.025,,2001-12,,2001-12,,
2001-09,147.80M,147.80M,64.40M,83.40M,46.40M,14.00M,3.60M,3.70M,,,,-3.90M,60.10M,23.30M,,,,3.70M,,19.90M,5.40M,14.50M,,14.50M,11.80M,23.30M,,2001-09,0.0208,0.00,0.0208,,2001-09,0.02,0.00,0.02,,2001-09,,2001-09,,
2001-06,192.40M,192.40M,95.20M,97.20M,52.70M,13.50M,5.70M,-86.10M,,,,78.60M,150.50M,-53.30M,,,,-86.10M,,-71.70M,-16.00M,-55.70M,,-55.70M,11.19M,-53.30M,,2001-06,-0.0792,0.00,-0.0792,,2001-06,-0.0792,0.00,-0.0792,,2001-06,,2001-06,,
2001-03,191.90M,191.90M,96.20M,95.70M,53.80M,13.10M,5.70M,2.40M,,,,-3.90M,68.70M,27.00M,,,,2.40M,,20.00M,5.80M,14.20M,-1.50M,12.70M,12.50M,27.00M,,2001-03,0.02,-0.0017,0.0183,,2001-03,0.02,-0.0025,0.0175,,2001-03,,2001-03,,
2000-12,216.50M,216.50M,142.60M,73.90M,57.60M,14.70M,,0.50M,,,,,27.90M,46.00M,,,,0.50M,,33.70M,8.90M,24.80M,,24.80M,24.43M,46.00M,,2000-12,0.0354,,0.0354,,2000-12,0.0354,,0.0354,,2000-12,,2000-12,,
