,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,350.72M,,,,74.42M,74.42M,2.521M,0.434M,10.46M,,9.055M,-9.882M,-11.27M,7.309M,-64.39M,,-17.32M,-95.55M,352.06M,-60.13M,0.112M,0.112M,,-921.74M,,,-981.76M,-607.92M,1.687B,1.079B,,-178.07M,-178.07M,-134.30M,-134.30M,1.884M,-42.50M,725.90M,380.18M,96.20M,0.052M,476.43M,,0.00,-607.92M,-178.07M,12.82M,38.32M
2017-12,181.55M,,,,67.54M,67.54M,33.44M,42.21M,13.10M,,17.16M,154.57M,121.10M,51.80M,-127.46M,,68.60M,268.62M,623.62M,-108.75M,5.851M,5.851M,,-38.62M,,,-141.52M,1.158M,-254.54M,-253.38M,,0.00,0.00,-134.43M,-134.43M,9.756M,,-378.05M,275.06M,104.04M,1.078M,380.18M,,0.954M,0.204M,0.00,80.42M,20.38M
2017-09,274.01M,,,,62.23M,62.23M,29.62M,13.74M,13.41M,,33.71M,-325.38M,-1.75M,6.581M,252.11M,,-68.13M,-136.56M,290.16M,-64.24M,0.893M,0.893M,,-17.56M,,,-80.90M,-0.054M,186.81M,186.75M,,-200.32M,-200.32M,-135.72M,-135.72M,-1.294M,,-150.58M,214.06M,58.68M,2.313M,275.06M,,0.00,-0.054M,-200.32M,5.656M,31.93M
2017-06,202.73M,,,,67.13M,67.13M,-29.70M,10.26M,12.44M,,14.91M,178.32M,-141.03M,-8.93M,-200.76M,,-4.084M,-176.48M,101.27M,-51.39M,0.304M,0.304M,,-14.47M,,,-65.55M,-0.056M,132.91M,132.85M,,-99.99M,-99.99M,-128.11M,-128.11M,36.98M,,-58.27M,235.03M,-22.55M,1.578M,214.06M,,,-0.056M,-99.99M,258.22M,15.83M
2017-03,98.25M,,,,64.95M,64.95M,-14.78M,208.71M,12.12M,,11.51M,-14.40M,-49.73M,-31.23M,-47.88M,,-3.063M,-146.30M,234.46M,-33.30M,0.561M,0.561M,,-7.948M,,,-40.68M,-0.094M,-146.60M,-146.70M,,0.00,0.00,-128.02M,-128.02M,17.84M,,-256.87M,296.97M,-63.10M,1.16M,235.03M,,,-0.094M,0.00,7.532M,33.73M
2016-12,116.85M,0.00,,0.00,59.94M,59.94M,-25.39M,11.82M,14.09M,,8.876M,178.24M,97.19M,1.299M,61.43M,,38.33M,376.49M,562.67M,-101.25M,0.619M,0.619M,,-8.86M,,,-109.49M,-249.97M,25.03M,-224.94M,,-139.97M,-139.97M,-127.77M,-127.77M,6.738M,0.00,-485.94M,333.33M,-32.76M,-3.605M,296.97M,,0.03M,-250.00M,-139.97M,118.96M,18.03M
2016-09,227.40M,0.00,,0.00,85.12M,85.12M,-7.088M,20.80M,14.49M,,10.02M,-276.07M,27.77M,-11.34M,53.40M,,-62.45M,-268.70M,82.05M,-64.12M,1.375M,1.375M,,-18.63M,,,-81.37M,542.92M,-379.55M,163.38M,,0.00,0.00,-128.57M,-128.57M,48.95M,0.00,83.75M,250.18M,84.43M,-1.283M,333.33M,,792.92M,-250.00M,0.00,67.08M,30.92M
2016-06,145.96M,0.00,,0.00,96.87M,96.87M,-2.206M,9.468M,14.53M,,29.42M,63.89M,-91.58M,-8.606M,-159.31M,,0.813M,-194.79M,99.24M,-62.67M,-0.277M,-0.277M,,-292.46M,,,-355.41M,0.00,476.26M,476.26M,,-148.63M,-148.63M,-120.77M,-120.77M,14.52M,0.00,221.38M,285.96M,-34.80M,-0.978M,250.18M,,,0.00,-148.63M,209.93M,14.22M
2016-03,229.83M,-26.65M,,-26.65M,59.91M,59.91M,-3.409M,5.593M,11.68M,,3.059M,55.05M,-19.41M,-24.30M,-19.93M,,-1.951M,-10.55M,269.47M,-41.44M,1.934M,1.934M,,-9.672M,,,-49.18M,0.00,153.86M,153.86M,,-303.95M,-303.95M,-122.37M,-122.37M,24.63M,-35.76M,-283.59M,346.53M,-63.30M,2.726M,285.96M,,,0.00,-303.95M,29.57M,27.79M
2015-12,213.38M,0.00,45.19M,45.19M,62.07M,62.07M,-28.15M,25.59M,11.54M,22.97M,-283.25M,161.72M,54.11M,,102.31M,,-155.98M,280.16M,661.23M,-118.92M,0.021M,0.021M,,-26.94M,0.00,,-145.84M,-4.404M,-326.13M,-330.54M,,-15.14M,-15.14M,-123.06M,-123.06M,-7.92M,-32.97M,-509.63M,343.91M,5.759M,-3.143M,346.53M,,0.00,-4.404M,-15.14M,112.32M,17.32M
2015-09,154.77M,0.00,-34.52M,-6.197M,64.05M,64.05M,9.659M,40.22M,13.37M,-1.855M,51.74M,-319.54M,57.71M,,72.66M,,23.92M,-165.26M,108.77M,-85.54M,0.174M,0.174M,,-1.91M,95.32M,,8.04M,247.08M,82.87M,329.96M,,-251.82M,-251.82M,-124.11M,-124.11M,10.54M,-36.42M,-71.84M,302.66M,44.97M,-3.719M,343.91M,,597.47M,-350.38M,-251.82M,42.54M,28.56M
2015-06,-99.94M,0.00,-5.357M,-5.357M,60.46M,60.46M,-8.467M,254.48M,12.73M,-4.045M,255.04M,139.35M,-138.99M,,-3.96M,,25.77M,22.16M,227.08M,-89.62M,0.796M,0.796M,,-1.567M,,,-90.39M,0.288M,-34.97M,-34.68M,,-8.991M,-8.991M,-114.58M,-114.58M,15.15M,4.045M,-139.05M,305.69M,-2.36M,-0.671M,302.66M,,0.62M,-0.332M,-8.991M,196.23M,14.82M
2015-03,244.74M,0.00,-5.307M,-5.307M,58.34M,58.34M,-11.58M,0.00,13.89M,-17.07M,4.934M,-5.965M,79.22M,,-124.58M,,22.62M,-28.72M,259.23M,-62.74M,0.214M,0.214M,,-186.54M,,,-249.06M,0.616M,288.95M,289.56M,,-306.67M,-306.67M,-114.38M,-114.38M,37.92M,17.07M,-76.50M,374.85M,-66.33M,-2.831M,305.69M,,0.944M,-0.328M,-306.67M,17.84M,27.74M
2014-12,202.51M,,41.45M,41.45M,58.53M,58.53M,28.83M,15.90M,12.31M,-7.275M,-24.37M,149.65M,76.71M,,-36.05M,,-53.99M,129.07M,456.94M,-138.52M,0.957M,0.957M,,-33.82M,1.178M,,-170.21M,1.336M,-263.84M,-262.50M,,-34.11M,-34.11M,-115.26M,-115.26M,21.78M,7.275M,-382.82M,477.09M,-96.08M,,374.85M,,1.703M,-0.367M,-34.11M,105.54M,14.80M
2014-09,223.74M,,-28.80M,-28.80M,52.87M,52.87M,-8.029M,0.00,14.06M,-3.257M,28.61M,-273.05M,-19.29M,,117.78M,,126.13M,-48.43M,215.50M,-83.18M,0.186M,0.186M,,-372.48M,-1.093M,,-456.56M,0.984M,362.34M,363.33M,,-106.39M,-106.39M,-115.25M,-115.25M,10.60M,3.257M,155.55M,562.60M,-85.51M,,477.09M,,1.27M,-0.286M,-106.39M,12.25M,28.94M
2014-06,168.17M,,-5.954M,-5.954M,50.83M,50.83M,5.915M,,14.74M,-4.003M,10.74M,196.84M,-177.53M,,-93.01M,,-187.83M,-261.52M,-31.82M,-69.58M,0.033M,0.033M,,0.00,-97.22M,,-166.77M,-0.396M,10.86M,10.47M,,-164.72M,-164.72M,-104.60M,-104.60M,9.944M,4.003M,-244.90M,1.006B,-443.50M,,562.60M,,0.00,-0.396M,-164.72M,250.47M,15.01M
2014-03,252.50M,,-6.691M,-6.691M,49.30M,49.30M,-7.917M,,12.96M,-38.96M,-26.01M,-140.91M,31.61M,,-47.83M,,99.70M,-57.43M,203.76M,-79.51M,0.436M,0.436M,,10.04M,,,-69.04M,-0.315M,8.146M,7.831M,,-271.53M,-271.53M,-105.31M,-105.31M,79.98M,41.90M,-247.13M,1.119B,-112.41M,,1.006B,,0.078M,-0.393M,-271.53M,16.05M,29.05M
2013-12,186.08M,,-9.063M,-9.063M,50.48M,50.48M,20.46M,0.00,14.38M,-5.497M,8.888M,181.83M,106.49M,,26.42M,,-3.899M,310.84M,567.68M,-122.59M,0.182M,0.182M,,0.00,0.00,0.00,-122.41M,-0.511M,61.44M,60.93M,,0.00,0.00,-105.53M,-105.53M,14.01M,5.497M,-25.10M,701.33M,420.17M,,1.119B,,-0.172M,-0.339M,0.00,133.60M,15.36M
2013-09,232.98M,,-34.90M,-34.90M,51.68M,51.68M,1.542M,0.00,13.59M,-5.961M,7.633M,-293.45M,17.55M,,141.36M,,149.87M,15.33M,274.27M,-69.73M,0.042M,0.042M,,0.00,0.00,0.00,-69.69M,0.703M,6.538M,7.241M,,0.00,0.00,-105.37M,-105.37M,19.09M,7.431M,-71.61M,568.36M,132.97M,,701.33M,,0.982M,-0.279M,0.00,49.53M,29.47M
2013-06,159.50M,,-7.135M,-7.135M,50.13M,50.13M,-6.756M,,13.53M,-8.85M,4.684M,150.30M,-148.14M,,-58.87M,,-87.45M,-144.16M,56.27M,-64.88M,14.69M,14.69M,,0.00,0.00,-16.00M,-66.19M,-1.86M,4.896M,3.036M,,-101.52M,-101.52M,-91.29M,-91.29M,29.11M,8.85M,-151.81M,730.10M,-161.74M,,568.36M,,248.24M,-250.10M,-101.52M,190.70M,18.54M
2013-03,241.91M,,-6.114M,-6.114M,48.75M,48.75M,-7.793M,,12.45M,-28.09M,-15.63M,-55.21M,-2.181M,,-6.497M,,95.96M,32.07M,293.18M,-93.71M,0.42M,0.42M,,0.00,,,-93.29M,1.502M,-18.52M,-17.02M,,-204.04M,-204.04M,-91.60M,-91.60M,85.04M,29.56M,-198.06M,728.27M,1.824M,,730.10M,,1.543M,-0.041M,-204.04M,0.074M,29.18M
2012-12,149.88M,,-22.90M,-22.90M,47.19M,47.19M,1.596M,,13.12M,-5.686M,6.37M,187.94M,110.90M,,31.44M,,-30.93M,299.35M,488.92M,-63.99M,0.061M,0.061M,,0.00,,-7.00M,-70.93M,1.32M,-92.42M,-91.10M,,-13.07M,-13.07M,-91.38M,-91.38M,33.83M,5.763M,-155.96M,466.24M,262.04M,,728.27M,,2.303M,-0.983M,-13.07M,93.58M,18.18M
2012-09,176.72M,,-8.56M,-8.56M,53.21M,53.21M,10.19M,,12.77M,-4.341M,16.47M,-295.90M,85.91M,,46.81M,,198.48M,35.30M,291.75M,-66.17M,0.316M,0.316M,,0.00,,0.00,-65.86M,-94.59M,74.99M,-19.60M,,-279.22M,-279.22M,-82.73M,-82.73M,42.16M,-10.06M,-349.44M,589.78M,-123.55M,,466.24M,,1.673M,-96.26M,-279.22M,15.41M,32.94M
2012-06,135.68M,,-6.418M,-6.418M,54.77M,54.77M,2.953M,,13.06M,-13.28M,6.204M,149.12M,-148.85M,,8.068M,,-162.95M,-154.61M,38.36M,-56.08M,0.076M,0.076M,,0.00,,-7.00M,-63.00M,-0.621M,-13.50M,-14.12M,,0.00,0.00,-83.56M,-83.56M,131.49M,13.28M,47.09M,567.34M,22.44M,,589.78M,,0.00,-0.621M,0.00,210.66M,17.76M
2012-03,198.65M,,-6.331M,-6.331M,54.87M,54.87M,-0.954M,,11.54M,-10.57M,9.104M,-91.63M,-21.36M,,-16.67M,,149.16M,19.50M,275.80M,-91.73M,0.00,0.00,,-172.86M,,-9.00M,-273.58M,-1.464M,108.63M,107.16M,,-218.34M,-218.34M,-83.53M,-83.53M,54.11M,12.04M,-128.57M,693.69M,-126.35M,,567.34M,,0.049M,-1.513M,-218.34M,7.583M,31.39M
2011-12,,,-27.80M,-27.80M,58.20M,58.20M,39.81M,-13.34M,23.64M,-4.436M,-452.17M,221.25M,10.20M,,-44.02M,,-109.66M,77.77M,330.64M,-81.97M,0.052M,0.052M,14.39M,0.00,,,-88.92M,294.82M,-2.248M,292.57M,,-26.86M,-26.86M,,-75.69M,12.78M,-43.16M,159.63M,292.34M,401.35M,,693.69M,,283.17M,-1.433M,-26.86M,68.32M,13.84M
2011-09,,,-1.276M,-12.35M,54.77M,54.77M,-1.243M,8.197M,4.642M,-2.444M,196.70M,-323.80M,-7.331M,,30.41M,,22.99M,-277.73M,-29.46M,-85.62M,0.051M,0.051M,14.54M,0.00,,,-65.57M,-251.58M,2.424M,-249.16M,,-164.70M,-164.70M,,-75.70M,36.59M,50.04M,-402.93M,790.30M,-497.96M,,292.34M,,2.424M,-251.58M,-164.70M,30.29M,36.32M
2011-06,,,-1.296M,-1.296M,51.74M,51.74M,-4.684M,-0.979M,5.585M,-3.299M,130.02M,136.57M,-128.50M,,18.34M,,-76.18M,-49.77M,127.31M,-98.37M,0.035M,0.035M,-4.814M,0.00,,,-98.34M,-1.283M,10.07M,8.79M,,0.00,0.00,,-76.07M,73.03M,3.299M,9.056M,752.27M,38.03M,,790.30M,,10.47M,-1.676M,0.00,178.01M,5.803M
2011-03,,,-1.299M,-1.299M,51.05M,51.05M,-0.272M,6.117M,9.604M,-3.818M,160.12M,-43.46M,10.30M,,3.135M,,-32.10M,-62.12M,159.38M,-81.60M,0.174M,0.174M,-4.119M,-5.75M,,,-87.18M,-1.411M,0.585M,-0.826M,,-192.95M,-192.95M,,-76.62M,62.01M,3.818M,-204.57M,884.64M,-132.38M,,752.27M,,0.67M,-1.496M,-192.95M,15.69M,41.92M
2010-12,509.80M,,-23.67M,-23.67M,51.38M,51.38M,-20.55M,,24.84M,-0.695M,-385.26M,215.68M,46.35M,,28.12M,,67.23M,357.37M,513.22M,-77.79M,0.111M,0.111M,15.13M,0.00,,,-77.68M,282.28M,9.636M,291.92M,,-35.66M,-35.66M,,-81.03M,18.03M,10.89M,204.15M,244.95M,639.70M,,884.64M,,348.08M,-65.80M,-35.66M,114.32M,7.278M
2010-09,,,-1.358M,-1.358M,52.44M,52.44M,-10.56M,,7.695M,1.514M,182.92M,-284.69M,-5.146M,,45.26M,,135.28M,-109.29M,123.35M,-48.84M,1.334M,1.334M,-15.13M,0.00,,,-47.51M,-1.797M,-13.31M,-15.11M,,0.003M,0.003M,,-69.96M,6.615M,-1.514M,-79.96M,249.07M,-4.123M,,244.95M,,0.127M,-1.924M,0.003M,35.05M,44.89M
2010-06,-147.39M,,-1.378M,-1.378M,45.97M,45.97M,10.63M,,7.932M,-0.911M,256.74M,90.19M,-130.77M,,10.77M,,-65.81M,-95.62M,83.66M,-39.31M,0.584M,0.584M,4.946M,0.00,,,-38.72M,-1.989M,-14.01M,-16.00M,,-69.29M,-69.29M,,-61.54M,46.26M,0.911M,-99.66M,303.79M,-54.72M,,249.07M,,0.00,-1.989M,-69.29M,172.00M,0.737M
2010-03,147.39M,,-1.317M,-1.317M,47.33M,47.33M,1.836M,0.00,8.996M,-1.293M,7.703M,-0.855M,75.66M,,6.288M,,-102.85M,-21.76M,181.19M,-35.55M,0.172M,0.172M,-4.946M,0.00,,,-35.38M,-1.833M,18.84M,17.01M,,-64.15M,-64.15M,,-70.91M,21.12M,1.293M,-95.63M,253.60M,50.18M,,303.79M,,,-1.833M,-64.15M,29.58M,45.03M
2009-12,126.78M,,-8.623M,-8.623M,43.54M,43.54M,-110.70M,,6.85M,-1.453M,48.04M,157.32M,56.11M,,2.672M,,140.15M,356.24M,430.20M,-38.59M,5.457M,5.457M,-6.73M,0.00,,,-33.13M,-1.778M,-202.76M,-204.54M,,0.00,0.00,,-66.00M,6.366M,1.453M,-262.72M,119.25M,134.35M,,253.60M,,0.00,253.51M,0.00,111.45M,0.115M
2009-09,162.02M,,-43.81M,-43.81M,44.82M,44.82M,31.63M,,7.51M,-1.933M,6.485M,-295.07M,84.79M,,5.525M,,187.40M,-17.36M,189.37M,-33.06M,1.846M,1.846M,-4.873M,0.00,,,-31.22M,-1.711M,-17.88M,-19.59M,,0.00,0.00,,-65.92M,15.91M,1.933M,-67.66M,28.77M,90.48M,,119.25M,,0.00,-257.00M,0.00,31.60M,44.84M
2009-06,71.30M,,-0.776M,-0.776M,47.18M,47.18M,29.53M,,13.97M,-0.416M,26.67M,58.49M,-73.24M,,40.07M,,-43.77M,-18.44M,169.00M,-36.35M,2.944M,2.944M,-3.047M,0.00,,,-33.40M,-3.202M,-112.16M,-115.36M,,0.00,0.00,,-73.08M,2.279M,8.391M,-177.77M,70.94M,-42.17M,,28.77M,,,122.05M,0.00,46.74M,46.66M
2009-03,75.89M,,-1.25M,-1.25M,46.88M,46.88M,8.966M,,6.601M,-0.653M,10.10M,125.85M,6.345M,,-11.04M,,9.492M,130.64M,277.18M,-37.47M,0.117M,0.117M,-4.496M,-15.22M,,,-52.57M,-1.561M,-125.25M,-126.81M,,-9.314M,-9.314M,,-58.41M,3.762M,,-190.77M,37.10M,33.83M,,70.94M,,,-126.81M,-9.314M,62.45M,
2008-12,82.16M,,-8.139M,-8.139M,58.73M,58.73M,-75.49M,,6.30M,-0.618M,51.69M,159.24M,70.49M,,-68.16M,,-5.223M,156.35M,270.97M,-71.86M,5.635M,5.635M,-7.664M,0.00,,0.00,-66.23M,-1.696M,-233.82M,-235.51M,,-5.007M,-5.007M,,-65.73M,2.979M,,-303.27M,135.63M,-98.53M,,37.10M,,0.00,-235.51M,-5.007M,81.68M,9.692M
2008-09,124.54M,,-20.81M,-20.81M,65.67M,65.67M,18.57M,,5.746M,-0.21M,21.28M,-311.44M,32.81M,,36.46M,,-44.10M,-286.27M,-71.48M,-64.59M,0.32M,0.32M,-4.515M,0.00,,0.00,-64.27M,-1.114M,293.34M,292.23M,,-14.27M,-14.27M,,-65.74M,13.73M,,225.95M,45.43M,90.20M,,135.63M,,0.00,292.23M,-14.27M,20.99M,40.41M
2008-06,41.47M,,-0.543M,-0.543M,56.79M,56.79M,30.04M,,5.695M,-0.377M,25.48M,-4.741M,-84.36M,,49.17M,,-56.58M,-96.52M,62.04M,-75.79M,32.58M,32.58M,-4.707M,0.00,,0.00,-43.21M,-2.119M,-53.95M,-56.06M,,-22.76M,-22.76M,,-65.73M,18.27M,,-126.28M,152.88M,-107.45M,,45.43M,,0.00,-56.06M,-22.76M,43.88M,47.26M
2008-03,63.24M,,-3.27M,-3.27M,68.30M,68.30M,9.751M,,5.842M,-0.182M,20.67M,188.62M,-11.26M,,8.963M,,-92.65M,93.68M,258.03M,-70.74M,44.28M,44.28M,-3.45M,0.00,,1.96M,-24.50M,247.80M,-376.97M,-129.17M,,-18.33M,-18.33M,,-65.75M,3.406M,,-209.85M,129.20M,23.68M,,152.88M,,247.84M,-377.02M,-18.33M,51.11M,
2007-12,54.34M,,,-204.43M,83.15M,83.15M,-189.51M,,,,264.64M,150.88M,173.91M,,-29.02M,,150.06M,445.84M,463.55M,-76.16M,,127.73M,,-3.431M,,,-79.59M,,,-229.05M,-43.88M,-7.827M,-51.70M,,-65.73M,,-9.804M,-296.33M,41.57M,87.62M,,129.20M,-43.88M,,,-7.827M,,
2007-09,62.78M,,,93.00M,83.77M,83.77M,24.16M,,,,3.511M,-260.13M,38.08M,,4.177M,,-27.57M,-245.45M,21.78M,-44.57M,,-44.57M,,-20.04M,,,-64.61M,,,159.78M,1.644M,-51.44M,-49.80M,,-65.73M,,1.323M,45.58M,38.82M,2.751M,,41.57M,1.644M,,,-51.44M,,
2007-06,3.554M,,,70.28M,83.90M,83.90M,19.61M,,,,6.595M,32.95M,-149.55M,,44.41M,,-121.77M,-193.96M,-10.02M,-41.41M,,-41.41M,,-76.99M,,,-118.40M,,,196.74M,15.10M,-47.02M,-31.92M,,-60.10M,,2.035M,106.75M,60.48M,-21.66M,,38.82M,15.10M,,,-47.02M,,
2007-03,93.47M,,,25.31M,60.11M,60.11M,21.46M,,,,-7.088M,116.76M,-17.08M,,42.63M,,-32.05M,110.26M,303.52M,-41.75M,,-41.75M,,,,,-41.75M,,,-121.30M,27.13M,-150.00M,-122.86M,,-60.70M,,6.446M,-298.42M,97.14M,-36.66M,,60.48M,27.13M,,,-150.00M,,
2006-12,153.57M,,,-9.49M,51.18M,51.18M,-15.59M,,,,3.037M,158.52M,141.55M,,-9.32M,,23.38M,314.13M,496.84M,-68.58M,,-68.58M,,,,,-85.58M,,,-184.85M,10.99M,-131.17M,-120.18M,,-60.68M,,3.96M,-361.76M,47.64M,49.51M,,97.14M,10.99M,,,-131.17M,,
2006-09,185.12M,,,-8.513M,50.67M,50.67M,13.06M,,,,5.901M,-353.62M,89.70M,,7.536M,,69.15M,-187.24M,59.00M,-42.60M,,-42.60M,,,,,-42.60M,,,202.37M,8.729M,-143.86M,-135.13M,,-61.28M,,1.786M,7.748M,23.48M,24.15M,,47.64M,8.729M,,,-143.86M,,
2006-06,97.90M,,,1.222M,49.92M,49.92M,-0.269M,,,,7.732M,44.86M,-133.12M,,-21.48M,,-45.40M,-155.14M,1.361M,-49.08M,,-49.08M,,,,,-49.08M,,,235.60M,8.64M,-162.64M,-154.00M,,-56.23M,,1.898M,27.26M,43.94M,-20.46M,,23.48M,8.64M,,,-162.64M,,
2006-03,122.47M,,,-6.789M,48.14M,48.14M,6.973M,,,,7.226M,135.33M,-110.60M,,10.10M,,-46.86M,-12.03M,165.99M,-38.26M,,-38.26M,,,,,-38.26M,,,79.55M,8.754M,-183.98M,-175.22M,,-56.94M,,1.631M,-150.98M,67.18M,-23.24M,,43.94M,8.754M,,,-183.98M,,
