,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,476.43M,,476.43M,614.30M,614.30M,257.08M,125.40M,569.77M,782.46M,32.16M,,133.16M,2.270B,0.0,109.15M,1.222B,2.973B,,220.76M,4.524B,-2.405B,2.119B,1.645B,1.141B,2.786B,,3.069M,153.94M,5.062B,7.333B,519.99M,12.26M,532.25M,594.79M,1.127B,,,,,2.550B,,2.550B,,,28.92M,3.706B,2.060B,,2.060B,142.52M,142.52M,251.67M,17.53M,,183.51M,2.638B,6.343B,359.90M,6.634B,925.96M,6.594B,,,-354.48M,972.13M
2017-12,380.18M,,380.18M,588.26M,588.26M,224.94M,93.63M,614.94M,752.84M,128.74M,,130.77M,2.002B,0.0,108.30M,1.214B,2.925B,,212.91M,4.461B,-2.354B,2.107B,821.06M,474.04M,1.295B,,3.023M,147.00M,3.552B,5.554B,523.23M,17.72M,540.95M,676.13M,1.217B,,,,,859.46M,,859.46M,,,,2.077B,2.061B,,2.061B,45.66M,45.66M,254.73M,16.23M,,184.21M,2.546B,4.622B,359.90M,6.371B,924.98M,6.427B,,,-313.75M,915.34M
2017-09,275.06M,,275.06M,742.83M,742.83M,292.98M,102.29M,724.75M,938.19M,258.38M,,,2.214B,0.0,108.17M,1.200B,2.911B,,191.80M,4.411B,-2.361B,2.050B,822.35M,474.78M,1.297B,,18.48M,75.28M,3.441B,5.655B,529.44M,19.11M,548.55M,673.44M,1.222B,,,,,1.116B,,1.116B,,,,2.338B,2.054B,,2.054B,22.30M,22.30M,281.67M,15.71M,,120.73M,2.479B,4.817B,359.90M,6.325B,910.25M,6.435B,,,-337.03M,823.27M
2017-06,214.06M,,214.06M,417.46M,417.46M,303.55M,123.39M,691.33M,936.44M,343.57M,,,1.912B,0.0,106.66M,1.191B,2.872B,,200.41M,4.370B,-2.337B,2.034B,818.07M,479.14M,1.297B,,55.59M,82.11M,3.469B,5.380B,471.54M,6.863M,478.41M,641.74M,1.120B,,,,,622.05M,,622.05M,,,,1.742B,2.350B,,2.350B,21.08M,21.08M,277.55M,14.68M,,119.65M,2.768B,4.510B,359.90M,6.187B,904.59M,6.241B,,,-355.96M,855.30M
2017-03,235.03M,,235.03M,595.78M,595.78M,299.48M,115.32M,562.44M,795.40M,247.65M,,,1.874B,0.0,104.40M,1.181B,2.949B,,206.39M,4.440B,-2.390B,2.050B,814.88M,477.45M,1.292B,1.458M,57.83M,66.47M,3.469B,5.342B,499.15M,77.24M,576.39M,646.88M,1.223B,,,,,487.64M,,487.64M,,,,1.711B,2.351B,,2.351B,35.50M,35.50M,279.86M,15.38M,,119.71M,2.786B,4.497B,359.90M,6.112B,878.65M,6.164B,,,-357.41M,830.08M
2016-12,296.97M,,296.97M,581.38M,581.38M,315.24M,88.49M,528.59M,745.68M,192.75M,,,1.817B,0.0,103.86M,1.239B,3.002B,,230.99M,4.575B,-2.398B,2.177B,812.34M,588.04M,1.400B,1.449M,56.86M,71.62M,3.708B,5.524B,522.54M,3.207M,525.74M,750.99M,1.277B,,,,,632.71M,,632.71M,,,,1.909B,2.347B,,2.347B,39.59M,39.59M,285.96M,41.83M,,114.20M,2.787B,4.697B,359.90M,6.116B,869.86M,6.184B,,,-375.89M,785.86M
2016-09,333.33M,,333.33M,759.62M,759.62M,321.78M,99.68M,610.93M,843.52M,194.05M,,,2.131B,0.0,101.20M,1.258B,2.986B,,235.27M,4.580B,-2.421B,2.160B,816.13M,595.64M,1.412B,1.468M,59.13M,82.93M,3.715B,5.845B,458.03M,13.59M,471.62M,683.01M,1.155B,,,,,862.41M,,862.41M,,,,2.017B,2.362B,,2.362B,45.13M,45.13M,362.50M,46.63M,,116.20M,2.886B,4.903B,359.90M,6.129B,852.68M,6.049B,,,-396.82M,895.44M
2016-06,250.18M,,250.18M,483.54M,483.54M,330.16M,113.14M,616.87M,871.28M,202.58M,,,1.808B,0.0,100.76M,1.233B,2.976B,,257.56M,4.568B,-2.369B,2.199B,818.38M,603.93M,1.422B,1.48M,64.34M,73.03M,3.760B,5.567B,455.22M,0.102M,455.33M,718.92M,1.174B,,,,,1.497B,,1.497B,,,,2.671B,1.571B,,1.571B,53.99M,53.99M,382.84M,46.71M,,113.27M,2.121B,4.793B,359.90M,6.030B,817.14M,6.083B,,,-396.68M,727.95M
2016-03,285.96M,,285.96M,544.03M,544.03M,335.84M,107.06M,516.36M,770.38M,172.55M,,,1.773B,0.0,96.89M,1.217B,2.946B,,285.76M,4.546B,-2.316B,2.230B,690.65M,445.04M,1.136B,1.474M,51.78M,113.90M,3.533B,5.306B,436.34M,110.26M,546.60M,769.79M,1.316B,,,,,1.021B,,1.021B,,,,2.337B,1.571B,,1.571B,52.60M,52.60M,354.57M,47.91M,,110.95M,2.090B,4.426B,359.90M,6.005B,792.62M,5.946B,,,-379.74M,831.44M
2015-12,346.53M,,346.53M,599.07M,599.07M,353.45M,67.74M,534.98M,750.97M,152.03M,,,1.849B,0.0,96.67M,1.085B,2.887B,,448.96M,4.517B,-2.277B,2.240B,684.25M,447.31M,1.132B,1.428M,36.39M,85.93M,3.496B,5.344B,474.27M,23.24M,569.53M,784.94M,1.354B,,,,,863.44M,,863.44M,,,,2.218B,1.557B,,1.557B,53.19M,53.19M,354.09M,49.46M,,114.62M,2.079B,4.297B,359.90M,5.898B,783.88M,5.672B,,,-371.02M,998.00M
2015-09,343.91M,0.00,343.91M,760.79M,760.79M,335.05M,87.90M,604.22M,813.58M,191.42M,99.63M,,2.209B,0.0,95.85M,1.074B,2.888B,,401.78M,4.459B,-2.272B,2.188B,689.68M,388.75M,1.078B,,,155.12M,3.421B,5.631B,448.60M,40.62M,489.22M,807.62M,1.297B,,,,,938.40M,,938.40M,,,,2.235B,1.830B,,1.830B,123.10M,123.10M,,48.51M,,504.97M,2.458B,4.693B,359.90M,5.807B,771.07M,5.666B,,,-383.94M,888.61M
2015-06,302.66M,99.31M,401.97M,443.45M,443.45M,358.49M,112.87M,616.24M,874.00M,208.35M,79.68M,,2.007B,0.0,95.73M,1.072B,2.892B,,363.39M,4.423B,-2.243B,2.180B,711.34M,402.57M,1.114B,,,147.66M,3.442B,5.449B,423.38M,21.10M,444.48M,707.36M,1.152B,,,,,866.43M,,866.43M,,,,2.018B,1.547B,,1.547B,130.12M,130.12M,,50.63M,37.38M,515.27M,2.230B,4.248B,359.90M,5.777B,752.37M,5.422B,,,-316.32M,1.150B
2015-03,305.69M,99.48M,405.17M,606.69M,606.69M,345.62M,97.08M,516.66M,745.76M,230.98M,119.50M,,2.108B,0.0,95.83M,1.031B,2.871B,,358.15M,4.355B,-2.206B,2.149B,933.77M,407.76M,1.342B,,,158.62M,3.649B,5.757B,449.15M,121.81M,570.96M,704.28M,1.275B,,,,,899.89M,,899.89M,,,,2.175B,1.560B,,1.560B,136.49M,136.49M,,49.83M,28.62M,541.06M,2.266B,4.442B,359.90M,5.991B,745.90M,5.427B,,,-403.81M,1.266B
2014-12,374.85M,97.13M,471.98M,596.94M,596.94M,377.62M,63.92M,531.61M,801.04M,276.57M,100.52M,,2.247B,0.0,95.91M,1.031B,2.864B,,338.08M,4.329B,-2.177B,2.152B,792.96M,358.09M,1.151B,1.568M,0.00,71.28M,3.376B,5.623B,482.02M,4.616M,585.52M,714.63M,1.300B,,,,,635.50M,,635.50M,,,,1.936B,1.542B,,1.542B,99.37M,99.37M,383.77M,64.47M,,142.23M,2.168B,4.103B,359.90M,5.861B,754.19M,5.161B,,,-358.57M,1.455B
2014-09,477.09M,98.31M,575.40M,786.37M,786.37M,303.34M,93.79M,668.08M,900.74M,213.20M,56.87M,,2.533B,0.0,96.40M,1.130B,3.007B,,,4.233B,-2.155B,2.079B,778.37M,331.65M,1.110B,,,195.25M,3.384B,5.917B,522.79M,31.57M,554.36M,737.79M,1.292B,,,,,900.08M,,900.08M,,,,2.192B,1.560B,,1.560B,145.85M,145.85M,,63.91M,,410.86M,2.116B,4.309B,359.90M,5.774B,734.27M,5.147B,,,-176.52M,1.544B
2014-06,562.60M,97.22M,659.82M,423.65M,423.65M,251.38M,112.45M,655.82M,855.18M,275.08M,48.08M,,2.262B,,,,,,,4.024B,-2.080B,1.943B,576.82M,190.38M,767.20M,,,212.57M,2.923B,5.185B,464.94M,75.41M,540.35M,523.18M,1.064B,,,,,198.03M,,198.03M,,,,1.262B,1.795B,,1.795B,106.21M,106.21M,,63.29M,,413.81M,2.315B,3.576B,359.90M,5.665B,717.48M,5.051B,,,-146.34M,1.545B
2014-03,1.006B,,1.006B,620.49M,620.49M,225.32M,92.80M,525.11M,678.76M,193.02M,46.61M,,2.545B,,,,,,,3.950B,-2.041B,1.909B,572.29M,189.54M,761.82M,,,212.72M,2.884B,5.429B,465.16M,172.46M,637.62M,623.84M,1.261B,,,,,182.98M,,182.98M,,,,1.444B,1.794B,,1.794B,97.02M,97.02M,,63.59M,,424.81M,2.315B,3.760B,359.90M,5.601B,686.39M,4.890B,,,-152.28M,1.605B
2013-12,1.119B,0.00,1.119B,477.91M,477.91M,226.98M,79.86M,517.97M,659.54M,178.86M,52.51M,,2.487B,0.0,96.33M,882.51M,2.527B,,273.13M,3.779B,-1.974B,1.805B,576.56M,251.75M,828.31M,63.86M,,139.84M,2.870B,5.357B,461.51M,79.91M,541.42M,699.72M,1.241B,,,,,166.88M,,166.88M,,,,1.408B,1.795B,,1.795B,104.20M,104.20M,296.30M,11.22M,,137.77M,2.333B,3.741B,359.90M,5.454B,664.94M,4.708B,,,-166.57M,1.605B
2013-09,701.33M,,701.33M,659.74M,659.74M,217.26M,88.95M,609.75M,762.64M,178.64M,73.35M,,2.376B,,,,,,,3.666B,-1.946B,1.720B,580.34M,200.94M,781.27M,,18.92M,182.22M,2.702B,5.078B,481.59M,38.63M,520.22M,630.42M,1.151B,,,,,110.12M,,110.12M,,,,1.261B,1.796B,,1.796B,33.27M,33.27M,,11.62M,,637.04M,2.467B,3.727B,359.90M,5.374B,645.73M,4.722B,,,-318.79M,1.339B
2013-06,568.36M,,568.36M,366.29M,366.29M,257.59M,101.95M,572.77M,778.99M,182.49M,102.76M,,1.999B,,,,,,,3.651B,-1.941B,1.709B,578.91M,202.50M,781.40M,,30.92M,176.31M,2.698B,4.697B,413.14M,4.585M,417.73M,564.08M,981.81M,,,,,102.40M,,102.40M,,,,1.084B,1.794B,,1.794B,32.92M,32.92M,,9.905M,,663.52M,2.491B,3.575B,359.90M,5.246B,627.39M,4.741B,,,-380.66M,1.112B
2013-03,730.10M,,730.10M,516.59M,516.59M,250.88M,89.03M,440.06M,626.64M,186.88M,119.81M,,2.180B,,,,,,,3.625B,-1.919B,1.705B,585.74M,210.07M,795.81M,,16.79M,147.62M,2.666B,4.846B,412.32M,105.92M,518.24M,620.42M,1.139B,,,,,353.41M,,353.41M,,,,1.492B,1.540B,,1.540B,35.02M,35.02M,,12.13M,,666.18M,2.241B,3.733B,359.90M,5.178B,608.66M,4.670B,,,-376.34M,1.100B
2012-12,728.27M,,728.27M,461.38M,461.38M,256.97M,78.29M,496.98M,633.26M,168.34M,122.22M,,2.113B,0.0,92.92M,878.53M,2.589B,,,3.561B,-1.887B,1.674B,588.00M,214.71M,802.72M,,12.45M,152.12M,2.641B,4.755B,441.98M,2.329M,444.31M,650.91M,1.095B,,,,,375.90M,,375.90M,,,,1.471B,1.531B,,1.531B,35.66M,35.66M,532.45M,11.62M,,136.28M,2.235B,3.706B,359.90M,5.028B,592.98M,4.559B,,,-385.08M,1.037B
2012-09,466.24M,,466.24M,649.33M,649.33M,272.37M,95.59M,568.58M,726.49M,190.46M,103.44M,,2.136B,,,,,,,3.588B,-1.969B,1.618B,594.85M,220.22M,815.08M,,13.73M,154.84M,2.602B,4.738B,435.28M,12.63M,447.91M,644.96M,1.093B,,,,,460.08M,,460.08M,,,,1.553B,1.516B,,1.516B,35.77M,35.77M,,15.70M,,636.34M,2.188B,3.741B,359.90M,4.961B,567.98M,4.572B,,,-335.24M,981.26M
2012-06,589.78M,,589.78M,353.34M,353.34M,312.69M,99.44M,589.73M,791.80M,237.46M,121.19M,,2.094B,,,,,,,3.564B,-1.981B,1.583B,589.46M,219.03M,808.49M,,28.07M,154.53M,2.574B,4.668B,388.47M,1.93M,390.40M,569.90M,960.30M,,,,,486.67M,,486.67M,,,,1.447B,1.499B,,1.499B,27.70M,27.70M,,21.64M,,608.66M,2.135B,3.582B,359.90M,4.867B,557.39M,4.324B,,,-395.53M,1.064B
2012-03,567.34M,,567.34M,502.46M,502.46M,268.05M,108.98M,482.48M,649.45M,171.45M,121.75M,,2.012B,,,,,,,3.659B,-2.073B,1.586B,594.74M,225.92M,820.66M,,32.55M,147.91M,2.587B,4.599B,380.40M,100.74M,481.14M,598.21M,1.079B,,,,,244.46M,,244.46M,,,,1.324B,1.749B,,1.749B,26.84M,26.84M,,25.26M,,614.59M,2.390B,3.714B,359.90M,4.815B,503.95M,4.422B,,,-396.30M,860.33M
2011-12,693.69M,,693.69M,399.50M,399.50M,241.81M,91.96M,482.10M,648.95M,167.56M,136.86M,,2.047B,0.0,92.50M,895.86M,2.600B,,,3.589B,-2.029B,1.560B,516.74M,111.91M,628.66M,,33.44M,138.72M,2.361B,4.407B,420.02M,1.899M,421.92M,612.19M,1.034B,,,,,139.67M,,139.67M,,,,1.174B,1.748B,,1.748B,0.00,0.00,463.33M,23.63M,,140.55M,2.352B,3.526B,359.90M,4.708B,490.82M,4.259B,,,-442.33M,857.32M
2011-09,292.34M,,292.34M,620.74M,620.74M,221.78M,86.91M,502.91M,654.46M,139.78M,106.69M,,1.814B,,,,,,,3.507B,-1.995B,1.513B,517.16M,113.80M,630.96M,,11.31M,161.44M,2.316B,4.131B,430.25M,,430.25M,611.76M,1.042B,,,,,139.41M,,139.41M,,,,1.181B,1.499B,,1.499B,,,,27.00M,,495.54M,1.994B,3.176B,359.90M,4.633B,470.49M,4.244B,,,-292.26M,927.67M
2011-06,790.30M,,790.30M,296.95M,296.95M,221.82M,104.49M,490.06M,659.22M,175.90M,69.71M,,1.992B,,,,,,,3.459B,-1.965B,1.494B,527.72M,122.06M,649.78M,,14.20M,163.16M,2.321B,4.313B,399.84M,,399.84M,528.04M,927.88M,,,,,293.93M,,293.93M,,,,1.222B,1.541B,,1.541B,,,,33.43M,,503.86M,2.045B,3.267B,359.90M,4.512B,456.55M,4.111B,,,-205.82M,1.012B
2011-03,752.27M,,752.27M,433.52M,433.52M,214.84M,86.78M,391.05M,535.52M,171.96M,61.26M,,1.955B,,,,,,,3.375B,-1.931B,1.444B,527.02M,122.71M,649.73M,,21.46M,165.62M,2.281B,4.235B,381.50M,,381.50M,623.92M,1.005B,,,,,285.50M,,285.50M,,,,1.291B,1.541B,,1.541B,,,,33.57M,,494.32M,2.035B,3.326B,359.90M,4.458B,438.37M,4.175B,,,-205.74M,875.42M
2010-12,884.64M,,884.64M,390.06M,390.06M,209.06M,73.07M,404.67M,533.62M,141.13M,55.76M,,2.005B,0.0,71.06M,843.09M,2.411B,,,3.325B,-1.887B,1.438B,524.13M,123.08M,647.21M,,21.39M,161.21M,2.268B,4.273B,410.66M,9.402M,420.06M,373.96M,794.01M,,,,,285.48M,,285.48M,,,,1.299B,1.542B,,1.542B,,,,35.28M,,494.46M,2.036B,3.335B,359.90M,4.375B,434.86M,4.052B,,,-215.07M,902.32M
2010-03,303.79M,,303.79M,411.24M,411.24M,246.92M,77.59M,313.73M,481.85M,159.26M,56.88M,,1.413B,,,,,,,3.237B,-1.842B,1.395B,577.71M,125.33M,703.04M,,7.319M,180.62M,2.286B,3.699B,294.22M,,294.22M,552.12M,846.35M,,,,,55.95M,,55.95M,,,,902.30M,1.502B,,1.502B,4.64M,4.64M,,36.85M,,500.50M,2.007B,2.910B,359.90M,4.225B,399.51M,4.015B,,,-217.08M,752.22M
2009-12,253.60M,,253.60M,410.39M,410.39M,246.57M,84.00M,376.57M,519.71M,161.86M,39.87M,,1.385B,0.0,70.39M,807.16M,2.365B,,,3.243B,-1.838B,1.405B,571.58M,125.52M,697.10M,,4.353M,183.38M,2.290B,3.675B,287.94M,,287.94M,583.38M,871.32M,,,,,39.31M,,39.31M,,,,910.63M,1.503B,,1.503B,,,,39.88M,,501.33M,2.004B,2.915B,359.90M,4.148B,394.68M,3.980B,,,-202.84M,720.46M
2009-09,119.25M,,119.25M,567.61M,567.61M,254.80M,90.30M,410.13M,559.32M,185.29M,31.16M,,1.463B,,,,,,,3.348B,-1.935B,1.413B,567.16M,125.34M,692.51M,,24.78M,180.37M,2.310B,3.773B,285.23M,,285.23M,580.08M,865.31M,,,,,243.02M,,243.02M,,,,1.108B,1.503B,,1.503B,42.72M,42.72M,,40.45M,,481.10M,2.027B,3.136B,359.90M,4.088B,386.84M,3.989B,,,-248.13M,597.07M
2009-06,28.77M,,28.77M,272.54M,272.54M,281.96M,102.02M,454.43M,642.50M,169.26M,65.85M,,1.179B,,,,,,,3.400B,-1.960B,1.441B,563.62M,125.32M,688.94M,,21.18M,163.85M,2.314B,3.493B,279.71M,,279.71M,460.30M,740.01M,,,,,261.93M,,261.93M,,,,1.002B,1.504B,,1.504B,26.19M,26.19M,,39.42M,,503.64M,2.034B,3.036B,359.90M,3.991B,375.56M,4.008B,,,-301.05M,417.76M
2009-03,70.94M,,70.94M,331.03M,331.03M,260.73M,108.81M,399.14M,572.77M,171.02M,61.02M,,1.207B,,,,,,,3.428B,-1.981B,1.447B,555.02M,123.56M,678.58M,,19.30M,154.77M,2.300B,3.507B,239.63M,,239.63M,488.86M,728.50M,,,,,374.85M,,374.85M,,,,1.103B,1.505B,,1.505B,7.697M,7.697M,,37.51M,,503.60M,2.017B,3.120B,359.90M,3.986B,357.58M,4.012B,,,-342.45M,349.10M
2008-12,37.10M,,37.10M,455.15M,455.15M,215.31M,95.99M,419.02M,592.53M,189.26M,70.90M,,1.345B,0.0,70.23M,805.74M,2.561B,,,3.437B,-1.978B,1.459B,554.68M,110.77M,665.45M,,13.82M,151.56M,2.290B,3.635B,249.45M,,249.45M,519.25M,768.71M,,,,,501.50M,,501.50M,,,,1.270B,1.506B,,1.506B,3.646M,3.646M,,31.74M,,504.96M,2.015B,3.285B,359.90M,3.976B,352.38M,4.010B,,,-359.91M,318.20M
2008-09,135.63M,,135.63M,614.39M,614.39M,249.27M,111.74M,444.22M,674.32M,173.80M,52.51M,,1.651B,,,,,,,3.449B,-1.970B,1.480B,570.08M,163.74M,733.82M,,,567.34M,2.781B,4.431B,317.61M,,317.61M,516.58M,834.20M,,,,,729.30M,,729.30M,,,,1.563B,1.511B,,1.511B,172.49M,172.49M,,38.24M,,532.44M,2.216B,3.779B,359.90M,3.959B,345.79M,4.008B,27.56M,-70.62M,-43.06M,613.88M
2008-06,45.43M,,45.43M,302.95M,302.95M,265.34M,111.89M,451.23M,697.57M,188.16M,44.91M,,1.279B,,,,,,,3.490B,-1.997B,1.493B,578.69M,168.52M,747.21M,,,559.77M,2.800B,4.079B,281.15M,,281.15M,486.13M,767.28M,,,,,436.25M,,436.25M,,,1.579M,1.205B,1.514B,,1.514B,181.90M,181.90M,,42.34M,,527.69M,2.224B,3.429B,359.90M,3.901B,336.66M,4.008B,44.72M,-26.06M,18.66M,607.62M
