,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.972B,1.972B,997.90M,974.06M,485.32M,0.434M,-8.658M,31.55M,2.215M,-29.34M,,485.32M,488.74M,2.215M,31.55M,-29.34M,-10.17M,-29.34M,449.23M,98.51M,350.72M,,,-0.516M,350.20M,356.96M,555.20M,74.42M,480.78M,1.71,,,1.742,1.71,1.65,,,1.682,1.65,210.73M,211.96M,0.6559999999999999
2017-12,1.940B,1.940B,1.102B,837.24M,505.28M,42.21M,-39.96M,26.75M,0.924M,-25.83M,,505.28M,331.96M,0.924M,26.75M,-25.83M,-45.75M,-25.83M,260.39M,78.84M,181.55M,,,-0.416M,181.13M,208.99M,354.68M,67.54M,287.14M,0.88,,,1.012,0.88,0.85,,,0.981,0.85,211.11M,212.60M,0.6559999999999999
2017-09,2.033B,2.033B,1.090B,942.94M,477.45M,13.74M,-17.76M,24.92M,0.333M,-24.59M,,477.45M,465.48M,0.333M,24.92M,-24.59M,-40.09M,-24.59M,400.80M,126.79M,274.01M,,,-0.71M,273.30M,285.45M,487.96M,62.23M,425.72M,1.32,,,1.3769999999999998,1.32,1.28,,,1.337,1.28,212.04M,213.39M,0.6559999999999999
2017-06,1.663B,1.663B,897.14M,765.85M,443.37M,10.26M,-12.24M,24.42M,0.298M,-24.13M,,443.37M,322.47M,0.298M,24.42M,-24.13M,-17.23M,-24.13M,281.12M,78.39M,202.73M,,,0.774M,203.50M,212.33M,372.67M,67.13M,305.54M,0.98,,,1.021,0.98,0.95,,,0.9911,0.95,213.09M,214.64M,0.618
2017-03,1.880B,1.880B,970.33M,909.35M,459.39M,0.00,-252.73M,23.97M,0.229M,-23.74M,,459.39M,449.97M,0.229M,23.97M,-23.74M,-257.86M,-23.74M,168.36M,70.11M,98.25M,,,26.80M,125.04M,276.68M,257.28M,64.95M,192.33M,0.6,,,1.3119999999999998,0.6,0.58,,,1.287,0.58,212.93M,214.52M,0.618
2016-12,1.970B,1.970B,1.216B,753.92M,482.55M,7.62M,-0.113M,24.25M,0.833M,-23.41M,,482.55M,271.37M,0.833M,24.25M,-23.41M,-49.34M,-23.41M,198.62M,81.77M,116.85M,,,0.00,116.85M,116.92M,282.80M,59.94M,222.86M,0.56,,,0.5603,0.56,0.55,,,0.5503,0.55,212.87M,213.94M,0.618
2016-09,2.003B,2.003B,1.153B,850.85M,474.49M,20.80M,-23.13M,24.74M,0.354M,-24.39M,,474.49M,376.35M,0.354M,24.74M,-24.39M,-24.13M,-24.39M,327.84M,100.43M,227.40M,,,0.00,227.40M,243.46M,437.70M,85.12M,352.58M,1.09,,,1.165,1.09,1.06,,,1.135,1.06,213.88M,215.16M,0.618
2016-06,1.638B,1.638B,890.27M,747.40M,462.53M,9.468M,-31.57M,21.61M,0.273M,-21.34M,,462.53M,284.87M,0.273M,21.61M,-21.34M,-30.23M,-21.34M,233.30M,87.34M,145.96M,,,0.00,145.96M,166.67M,351.77M,96.87M,254.91M,0.7,,,0.7971,0.7,0.68,,,0.7766,0.68,213.39M,214.50M,0.583
2016-03,1.829B,1.829B,1.011B,817.38M,471.73M,5.593M,14.92M,21.35M,0.345M,-21.00M,,471.73M,345.64M,0.345M,21.35M,-21.00M,15.09M,-21.00M,339.73M,109.90M,229.83M,,,0.00,229.83M,219.73M,420.99M,59.91M,361.08M,1.09,,,1.043,1.09,1.06,,,1.014,1.06,216.30M,217.49M,0.583
2015-12,1.909B,1.909B,1.055B,854.36M,499.45M,25.60M,-37.43M,21.42M,0.696M,-20.73M,,499.45M,354.91M,0.696M,21.42M,-20.73M,-37.64M,-20.73M,296.54M,83.16M,213.38M,,,,213.38M,240.32M,380.04M,62.07M,317.96M,1.01,,,1.1340000000000001,1.01,0.98,,,1.103,0.98,217.33M,218.64M,0.583
2015-09,1.961B,1.961B,1.069B,892.06M,500.31M,9.249M,-126.32M,19.52M,0.878M,-18.64M,,500.31M,391.76M,0.878M,19.52M,-18.64M,-126.48M,-18.64M,246.64M,91.87M,154.77M,,,,154.77M,234.10M,330.21M,64.05M,266.16M,0.73,,,1.093,0.73,0.7,,,1.06,0.7,218.73M,220.08M,0.583
2015-06,1.579B,1.579B,843.42M,735.41M,455.54M,4.644M,-277.01M,20.03M,1.156M,-18.88M,,455.54M,279.86M,1.156M,20.03M,-18.88M,-277.12M,-18.88M,-16.14M,83.80M,-99.94M,,,,-99.94M,66.26M,64.36M,60.46M,3.897M,-0.47,,,0.2868,-0.47,-0.47,,,0.2868,-0.47,219.61M,219.61M,0.535
2015-03,1.938B,1.938B,1.037B,900.84M,514.01M,0.00,7.283M,20.01M,0.805M,-19.20M,,514.01M,386.83M,0.805M,20.01M,-19.20M,7.173M,-19.20M,374.80M,130.07M,244.74M,,,,244.74M,239.98M,453.15M,58.34M,394.81M,1.14,,,1.1179999999999999,1.14,1.1,,,1.079,1.1,220.64M,222.72M,0.535
2014-12,2.010B,2.010B,1.123B,887.06M,518.44M,0.00,-25.08M,21.60M,0.857M,-20.74M,,518.44M,368.62M,0.857M,21.60M,-20.74M,-26.32M,-20.74M,321.57M,119.06M,202.51M,,,,202.51M,219.04M,401.69M,58.53M,343.17M,0.94,,,1.015,0.94,0.85,,,0.924,0.85,221.37M,223.47M,0.535
2014-09,1.962B,1.962B,1.101B,860.14M,485.10M,0.00,-16.37M,21.90M,1.125M,-20.77M,,485.10M,375.04M,1.125M,21.90M,-20.77M,-8.844M,-20.77M,345.42M,121.68M,223.74M,,,,223.74M,229.45M,420.19M,52.87M,367.32M,1.03,,,1.056,1.03,1.0,,,1.025,1.0,221.87M,223.88M,0.535
2014-06,1.578B,1.578B,860.88M,717.47M,438.94M,0.00,-0.595M,21.87M,1.138M,-20.73M,,438.94M,278.53M,1.138M,21.87M,-20.73M,-1.066M,-20.73M,256.73M,88.56M,168.17M,,,,168.17M,168.57M,329.43M,50.83M,278.60M,0.78,,,0.7818,0.78,0.75,,,0.7518,0.75,222.79M,224.98M,0.485
2014-03,1.872B,1.872B,1.000B,871.49M,464.96M,,-2.925M,22.23M,0.946M,-21.28M,,464.96M,406.53M,0.946M,22.23M,-21.28M,-2.925M,-21.28M,382.32M,129.83M,252.50M,,,,252.50M,254.43M,453.86M,49.30M,404.55M,1.16,,,1.169,1.16,1.11,,,1.119,1.11,224.21M,227.05M,0.485
2013-12,1.956B,1.956B,1.099B,857.39M,545.41M,,-5.298M,22.92M,1.049M,-21.87M,,545.41M,311.98M,1.049M,22.92M,-21.87M,-3.674M,-21.87M,286.44M,100.36M,186.08M,,,,186.08M,189.52M,359.83M,50.48M,309.35M,0.85,,,0.8653,0.85,0.82,,,0.8351,0.82,224.37M,227.36M,0.485
2013-09,1.854B,1.854B,998.34M,855.55M,481.99M,,-2.929M,22.46M,0.696M,-21.76M,,481.99M,373.56M,0.696M,22.46M,-21.76M,-2.929M,-21.76M,348.88M,115.89M,232.98M,,,,232.98M,234.94M,423.01M,51.68M,371.33M,1.07,,,1.079,1.07,1.03,,,1.0390000000000001,1.03,223.99M,226.89M,0.485
2013-06,1.509B,1.509B,789.94M,718.57M,446.07M,,-3.587M,21.80M,0.705M,-21.09M,,446.07M,272.50M,0.705M,21.80M,-21.09M,-3.587M,-21.09M,247.82M,88.32M,159.50M,,,,159.50M,161.81M,319.75M,50.13M,269.62M,0.73,,,0.7403,0.73,0.7,,,0.7102,0.7,223.92M,226.84M,0.42
2013-03,1.827B,1.827B,978.09M,849.34M,450.67M,,-6.851M,24.34M,0.708M,-23.63M,,450.67M,398.67M,0.708M,24.34M,-23.63M,-6.851M,-23.63M,368.18M,126.28M,241.91M,,,,241.91M,246.41M,441.27M,48.75M,392.52M,1.11,,,1.13,1.11,1.06,,,1.08,1.06,224.40M,227.71M,0.42
2012-12,1.751B,1.751B,995.83M,755.21M,485.86M,,-16.73M,23.67M,1.005M,-22.67M,,485.86M,269.35M,1.005M,23.67M,-22.67M,-16.73M,-22.67M,229.95M,80.07M,149.88M,,,,149.88M,160.79M,300.81M,47.19M,253.62M,0.69,,,0.7387,0.69,0.66,,,0.708,0.66,223.96M,227.24M,0.42
2012-09,1.747B,1.747B,1.004B,742.76M,420.97M,,-20.06M,25.12M,0.585M,-24.54M,,420.97M,321.78M,0.585M,25.12M,-24.54M,-20.06M,-24.54M,277.20M,100.48M,176.72M,,,,176.72M,189.51M,355.53M,53.21M,302.32M,0.8,,,0.8568,0.8,0.77,,,0.826,0.77,225.32M,228.61M,0.38
2012-06,1.414B,1.414B,795.92M,618.52M,391.40M,,-4.845M,25.05M,0.704M,-24.34M,,391.40M,227.12M,0.704M,25.05M,-24.34M,-4.845M,-24.34M,197.93M,62.24M,135.68M,,,,135.68M,139.01M,277.74M,54.77M,222.98M,0.62,,,0.6347,0.62,0.59,,,0.6045,0.59,225.65M,228.85M,0.38
2012-03,1.732B,1.732B,988.67M,743.40M,405.56M,,-3.304M,24.67M,0.646M,-24.02M,,405.56M,337.83M,0.646M,24.67M,-24.02M,-3.304M,-24.02M,310.51M,111.86M,198.65M,,,,198.65M,200.77M,390.04M,54.87M,335.18M,0.91,,,0.9194,0.91,0.87,,,0.8792,0.87,225.23M,228.66M,0.38
2011-12,1.567B,1.567B,935.94M,631.21M,397.16M,,-5.041M,21.94M,0.621M,-21.31M,,397.16M,234.05M,0.621M,21.94M,-21.31M,-5.041M,-21.31M,207.70M,65.56M,142.13M,,,,142.13M,145.58M,287.83M,58.20M,229.63M,0.63,0.0,,0.6453,0.63,0.62,0.0,,0.635,0.62,225.68M,229.33M,0.345
2011-09,1.624B,1.624B,944.07M,680.18M,356.88M,,-2.187M,,,-23.04M,,356.88M,323.30M,,,-23.04M,-2.187M,-23.04M,298.08M,101.38M,196.70M,,,,196.70M,198.14M,378.07M,54.77M,323.30M,0.87,0.0,,0.8764,0.87,0.84,0.0,,0.8463,0.84,226.55M,229.85M,0.345
2011-06,1.325B,1.325B,760.85M,564.32M,345.92M,,,23.35M,,-23.35M,-9.952M,335.97M,228.35M,,23.35M,-23.35M,,-23.35M,205.00M,74.98M,130.02M,,,,130.02M,130.02M,280.09M,51.74M,228.35M,0.57,0.0,,0.57,0.57,0.55,0.0,,0.55,0.55,226.93M,230.30M,0.345
2011-03,1.564B,1.564B,908.04M,656.18M,377.80M,,-1.838M,25.27M,0.79M,-24.48M,,377.80M,278.39M,0.79M,25.27M,-24.48M,-1.838M,-24.48M,252.07M,91.96M,160.12M,,,,160.12M,161.28M,328.39M,51.05M,277.34M,0.7,0.0,,0.7051,0.7,0.69,0.0,,0.6951,0.69,227.13M,230.19M,0.345
2010-12,1.483B,1.483B,863.34M,619.47M,391.23M,,-0.351M,28.09M,0.441M,-27.65M,,391.23M,228.24M,0.441M,28.09M,-27.65M,-0.351M,-27.65M,200.25M,64.73M,135.51M,,,,135.51M,135.75M,279.71M,51.38M,228.33M,0.65,,,0.651,0.65,0.58,,,0.581,0.58,227.75M,230.84M,0.32
2010-09,1.547B,1.547B,891.90M,655.22M,357.62M,,2.052M,0.00,22.26M,22.26M,,357.62M,297.60M,22.26M,0.00,22.26M,2.052M,22.26M,277.39M,97.22M,180.17M,,,,180.17M,178.84M,329.83M,52.44M,277.39M,0.79,0.0,,0.7841,0.79,0.78,0.0,,0.7742,0.78,227.61M,230.49M,0.32
2010-06,1.233B,1.233B,686.70M,546.54M,336.98M,,-85.13M,22.78M,0.00,-22.78M,,336.98M,209.56M,0.00,22.78M,-22.78M,-85.13M,-22.78M,101.64M,54.92M,46.72M,,,,46.72M,102.06M,170.39M,45.97M,124.42M,0.21,0.0,,0.4531,0.21,0.2,0.0,,0.4403,0.2,227.59M,230.32M,0.32
2010-03,1.408B,1.408B,813.86M,593.98M,340.65M,,0.00,23.96M,0.215M,-23.75M,,340.65M,253.33M,0.215M,23.96M,-23.75M,,-23.75M,229.58M,82.19M,147.39M,,,,147.39M,147.39M,300.88M,47.33M,253.55M,0.65,0.0,,0.65,0.65,0.64,0.0,,0.64,0.64,227.97M,229.55M,0.32
2009-12,1.407B,1.407B,836.82M,570.52M,334.04M,,-24.12M,21.71M,0.184M,-21.53M,,334.04M,236.48M,0.184M,21.71M,-21.53M,-24.12M,-21.53M,190.83M,64.05M,126.78M,,,,126.78M,142.81M,256.08M,43.54M,212.54M,0.61,0.0,,0.6802,0.61,0.55,0.0,,0.6198,0.55,228.31M,229.63M,0.2975
2009-09,1.484B,1.484B,895.02M,589.10M,301.47M,,-8.008M,,,-22.30M,,301.47M,287.63M,,,-22.30M,-8.008M,-22.30M,257.32M,95.30M,162.02M,,,,162.02M,167.07M,332.45M,44.82M,287.63M,0.71,0.0,,0.7321,0.71,0.71,0.0,,0.732,0.71,228.01M,229.55M,0.2975
2009-06,1.171B,1.171B,717.89M,453.29M,298.71M,,-37.90M,,,-22.73M,,298.71M,154.58M,,,-22.73M,-37.90M,-22.73M,93.94M,22.64M,71.30M,,,,71.30M,100.07M,201.76M,47.18M,154.58M,0.31,0.0,,0.4364,0.31,0.31,0.0,,0.4359,0.31,227.56M,228.49M,0.2975
2009-03,1.236B,1.236B,795.80M,440.23M,274.46M,,-12.84M,24.17M,0.277M,-23.90M,,274.46M,165.77M,0.277M,24.17M,-23.90M,-12.84M,-23.90M,129.04M,53.14M,75.89M,,,,75.89M,84.24M,200.09M,46.88M,153.21M,0.33,0.0,,0.3667,0.33,0.33,0.0,,0.3666,0.33,227.48M,228.28M,0.2975
2008-12,1.377B,1.377B,879.85M,497.53M,284.06M,,-60.05M,25.46M,0.497M,-24.96M,,284.06M,213.47M,0.497M,25.46M,-24.96M,-60.05M,-24.96M,128.45M,46.30M,82.16M,,,,82.16M,120.56M,212.64M,58.73M,153.91M,0.36,0.0,,0.5289,0.36,0.36,0.0,,0.5281,0.36,227.46M,228.52M,0.2975
2008-09,1.490B,1.490B,988.38M,501.23M,272.40M,,-8.877M,,,-24.92M,,272.40M,228.83M,,,-24.92M,-8.877M,-24.92M,195.04M,70.50M,124.54M,,,,124.54M,130.21M,294.50M,65.67M,228.83M,0.55,0.0,,0.5749,0.55,0.54,0.0,,0.5648,0.54,227.47M,228.67M,0.2975
2008-06,1.105B,1.105B,722.93M,382.51M,266.61M,,-21.79M,,,-23.61M,,266.61M,115.90M,,,-23.61M,-21.79M,-23.61M,70.50M,29.04M,41.47M,,,,41.47M,55.63M,172.69M,56.79M,115.90M,0.18,0.0,,0.2419,0.18,0.18,0.0,,0.2419,0.18,228.66M,228.66M,0.2975
2008-03,1.160B,1.160B,783.89M,376.45M,249.95M,,-4.085M,26.46M,2.069M,-24.39M,,249.95M,126.50M,2.069M,26.46M,-24.39M,-4.085M,-24.39M,98.03M,34.79M,63.24M,,,,63.24M,65.88M,192.78M,68.30M,124.49M,0.28,0.0,,0.2916,0.28,0.28,0.0,,0.2915,0.28,227.58M,228.93M,0.2975
2007-12,1.342B,1.342B,924.74M,417.48M,232.76M,,-57.55M,,,,,232.76M,184.72M,,,,-57.55M,,99.10M,44.76M,54.34M,,,,54.34M,91.75M,-6.523M,83.15M,-89.67M,0.2393,,,0.4039,0.2393,0.2393,0.0,,0.4022,0.2393,227.31M,229.72M,0.2975
2007-09,1.399B,1.399B,928.85M,470.62M,229.81M,,-112.04M,,,,,229.81M,240.81M,,,,-112.04M,,95.72M,32.93M,62.78M,,,,62.78M,136.28M,324.59M,83.77M,240.81M,0.28,0.0,,0.7196,0.28,0.27,0.0,,0.589,0.27,167.16M,230.39M,0.2975
2007-06,1.052B,1.052B,722.48M,329.44M,216.87M,,-79.73M,,,,,216.87M,112.57M,,,,-79.73M,,3.627M,0.073M,3.554M,,,,3.554M,81.68M,196.46M,83.90M,112.57M,0.02,0.0,,0.4842,0.02,0.01,0.0,,0.3468,0.01,168.31M,231.96M,0.27
2007-03,1.153B,1.153B,739.08M,414.03M,216.43M,,-27.54M,,,,,216.43M,197.60M,,,,-27.54M,,141.80M,48.32M,93.47M,,,,93.47M,111.63M,257.70M,60.11M,197.60M,0.42,0.0,,0.4987,0.42,0.4,0.0,,0.4777,0.4,230.65M,233.71M,0.27
2006-12,1.337B,1.337B,854.54M,482.07M,200.26M,,-5.437M,,,,,200.26M,281.80M,,,,-5.437M,,244.84M,91.26M,153.57M,,,,153.57M,156.98M,332.99M,51.18M,281.80M,0.6624,,,0.6772,0.6624,0.65,0.0,,0.6645,0.65,230.76M,234.68M,0.27
2006-09,1.416B,1.416B,870.73M,545.47M,221.84M,,-1.568M,,,,,221.84M,323.63M,,,,-1.568M,,290.22M,105.10M,185.12M,,,,185.12M,186.12M,374.29M,50.67M,323.63M,0.81,0.0,,0.8158,0.81,0.78,0.0,,0.7842,0.78,173.23M,237.68M,0.27
2006-06,1.052B,1.052B,644.08M,407.99M,221.48M,,-4.24M,,,,,221.48M,186.51M,,,,-4.24M,,154.63M,56.73M,97.90M,,,,97.90M,100.58M,236.44M,49.92M,186.51M,0.42,0.0,,0.4353,0.42,0.41,0.0,,0.4212,0.41,175.78M,240.12M,0.245
2006-03,1.140B,1.140B,707.36M,432.14M,216.79M,,-3.331M,,,,,216.79M,215.35M,,,,-3.331M,,186.81M,64.34M,122.47M,,,,122.47M,124.65M,263.48M,48.14M,215.35M,0.52,0.0,,0.5322,0.52,0.5,0.0,,0.509,0.5,178.89M,243.15M,0.245
2005-12,1.337B,1.337B,816.01M,520.72M,225.00M,,-11.69M,,,,,225.00M,295.72M,,,,-11.69M,,259.77M,91.62M,168.15M,,,,168.15M,175.72M,350.58M,54.87M,295.72M,0.6964,,,0.7281,0.6964,0.68,0.0,,0.7108,0.68,238.95M,245.47M,0.245
2005-09,1.368B,1.368B,849.94M,518.30M,228.17M,,-84.84M,,,,,228.17M,290.13M,,,,-84.84M,,181.59M,67.44M,114.15M,,,,114.15M,167.49M,355.34M,65.20M,290.13M,0.48,0.0,,0.7701,0.48,0.46,0.0,,0.6747,0.46,183.85M,248.37M,0.245
2005-06,988.45M,988.45M,595.15M,393.30M,226.66M,,,,,,,226.66M,166.64M,,,,,,146.01M,52.79M,93.22M,,,,93.22M,93.22M,215.35M,48.71M,166.64M,0.39,0.0,,0.39,0.39,0.37,0.0,,0.37,0.37,184.36M,248.99M,0.22
2005-03,1.126B,1.126B,695.58M,430.83M,233.16M,,,,,,,233.16M,197.67M,,,,,,178.27M,65.25M,113.02M,,,,113.02M,113.02M,246.92M,49.25M,197.67M,0.47,0.0,,0.47,0.47,0.45,0.0,,0.45,0.45,185.72M,250.31M,0.22
2004-12,1.255B,1.255B,757.47M,497.63M,236.71M,,,,,,,236.71M,260.92M,,,,,,242.98M,88.94M,154.04M,,,,154.04M,154.04M,309.47M,48.55M,260.92M,0.626,,,0.626,0.626,0.62,0.0,,0.62,0.62,245.81M,251.14M,0.22
2004-09,1.255B,1.255B,756.41M,498.10M,216.70M,,,,,,,216.70M,281.40M,,,,,,263.15M,96.92M,166.23M,,,,166.23M,166.23M,328.54M,47.14M,281.40M,0.68,0.0,,0.68,0.68,0.66,0.0,,0.66,0.66,188.73M,252.68M,0.22
2004-06,893.69M,893.69M,533.20M,360.48M,209.56M,,,,,,,209.56M,150.92M,,,,,,135.44M,-11.78M,147.22M,,,,147.22M,147.22M,197.88M,46.96M,150.92M,0.58,0.0,,0.58,0.58,0.56,0.0,,0.56,0.56,198.07M,261.71M,0.1975
2004-03,1.013B,1.013B,625.63M,387.46M,204.13M,,,,,,,204.13M,183.32M,,,,,,168.47M,61.32M,107.15M,,,,107.15M,107.15M,230.34M,47.02M,183.32M,0.42,0.0,,0.42,0.42,0.41,0.0,,0.41,0.41,259.76M,262.05M,0.1975
2003-12,1.179B,1.179B,708.29M,470.96M,215.40M,,-10.91M,,,,-12.45M,202.95M,268.02M,,,,-10.91M,,228.54M,83.61M,144.94M,,0.00,,144.94M,151.86M,314.73M,46.72M,268.02M,0.555,0.0,0.0,0.5814,0.555,0.555,0.0,-0.0,0.5814,0.55,261.70M,262.31M,0.1975
2003-09,1.191B,1.191B,724.18M,466.83M,212.11M,,-0.234M,,,,0.234M,212.34M,254.49M,,,,-0.234M,,237.24M,86.26M,150.97M,,-7.368M,,143.60M,151.12M,300.27M,45.78M,254.49M,0.58,-0.03,0.0,0.5806,0.55,0.575,-0.03,-0.0282,0.5756,0.545,261.30M,263.30M,0.1975
2003-06,849.12M,849.12M,515.37M,333.74M,201.39M,,-3.885M,,,,3.885M,205.27M,128.47M,,,,-3.885M,,112.93M,41.44M,71.48M,,,,71.48M,73.94M,172.74M,44.27M,128.47M,0.275,0.0,,0.2844,0.275,0.27,0.0,,0.2793,0.27,262.26M,263.97M,0.1638
2003-03,953.16M,953.16M,596.88M,356.28M,187.55M,,,,,,,187.55M,168.73M,,,,,,154.12M,56.56M,97.56M,,,,97.56M,97.56M,212.53M,43.80M,168.73M,0.365,0.0,,0.365,0.365,0.365,0.0,,0.365,0.365,266.73M,268.46M,0.1638
2002-12,1.156B,1.156B,709.84M,446.19M,216.76M,,-8.278M,,,,,216.76M,229.43M,,,,-8.278M,,205.88M,75.56M,130.32M,,,,130.32M,135.56M,269.88M,40.45M,229.43M,0.48,0.0,,0.4995,0.48,0.475,0.0,,0.4942,0.475,269.21M,272.93M,0.1638
2002-09,1.152B,1.152B,717.20M,435.12M,218.05M,,-8.536M,,,,,218.05M,217.07M,,,,-8.536M,,194.42M,71.35M,123.06M,,,,123.06M,128.47M,263.50M,46.43M,217.07M,0.45,0.0,,0.4697,0.45,0.445,0.0,,0.4645,0.445,274.36M,276.69M,0.1638
2002-06,823.46M,823.46M,509.99M,313.47M,195.88M,,-1.976M,,,,1.976M,197.85M,115.62M,,,,-1.976M,,99.76M,36.61M,63.15M,,,,63.15M,64.40M,161.01M,45.39M,115.62M,0.23,0.0,,0.2346,0.23,0.23,0.0,,0.2345,0.23,273.66M,276.00M,0.1513
2002-03,988.51M,988.51M,624.02M,364.48M,202.74M,,-8.762M,,,,8.762M,211.50M,152.98M,,,,-8.762M,,137.51M,50.47M,87.04M,,,,87.04M,92.59M,198.61M,45.63M,152.98M,0.32,0.0,,0.3403,0.32,0.315,0.0,,0.3351,0.315,273.41M,276.44M,0.1513
