,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-09,177.87M,1.713B,1.891B,14.71M,,33.17M,16.02M,,0.992M,,1.941B,,,,,297.30M,,,297.30M,,297.30M,52.53M,,52.53M,,,5.673M,262.24M,11.69M,636.16M,2.577B,18.36M,40.62M,,58.98M,47.90M,106.89M,626.59M,626.59M,,626.59M,694.68M,1.207B,512.78M,,1.980B,1.235B,,1.235B,,279.72M,279.72M,,,,1.629B,3.609B,0.323M,-18.73B,17.70B,,,-2.589M,-1.031B
2015-06,187.29M,1.698B,1.885B,14.42M,,28.79M,16.06M,,0.848M,,1.931B,,,,,304.36M,,,304.36M,,304.36M,52.53M,,52.53M,,,5.673M,260.89M,11.76M,640.16M,2.571B,24.14M,33.73M,,57.87M,41.89M,99.75M,624.77M,624.77M,,624.77M,685.86M,1.186B,500.43M,,1.946B,1.234B,,1.234B,,277.83M,277.83M,,,,1.619B,3.565B,0.323M,-18.82B,17.83B,,,-3.128M,-994.32M
2015-03,705.88M,1.165B,1.871B,14.66M,,35.50M,21.40M,,0.252M,11.51M,1.940B,,,,,311.87M,,,311.87M,,311.87M,52.53M,,52.53M,,,5.673M,266.51M,29.45M,667.73M,2.608B,22.78M,33.79M,,56.57M,37.06M,93.64M,635.45M,635.45M,,635.45M,677.09M,1.165B,487.82M,,1.922B,1.25B,,1.25B,,276.50M,276.50M,,,,1.633B,3.556B,0.323M,-18.91B,17.97B,,,-2.915M,-947.88M
2014-12,191.61M,1.233B,1.425B,13.45M,,36.90M,16.19M,,,2.02M,1.480B,0.0,31.14M,243.30M,410.29M,,7.52M,1.858M,694.10M,-375.08M,319.03M,52.53M,,52.53M,,,5.673M,33.89M,8.028M,421.36M,1.901B,29.34M,47.08M,,76.41M,34.29M,110.70M,620.62M,620.62M,,620.62M,651.41M,651.41M,,,1.432B,740.18M,,740.18M,244.47M,269.05M,513.51M,,,,1.352B,2.785B,0.322M,-19.00B,18.12B,,,-2.998M,-883.47M
2014-09,233.95M,1.241B,1.475B,16.08M,,24.11M,12.79M,,0.257M,11.11M,1.523B,,,,,318.81M,,,318.81M,,318.81M,52.53M,,52.53M,,,,286.43M,26.67M,684.44M,2.207B,21.31M,18.06M,,39.38M,28.85M,68.23M,627.07M,627.07M,,627.07M,651.29M,1.115B,463.65M,,1.849B,750.00M,,750.00M,,268.07M,268.07M,,,,1.107B,2.956B,0.322M,-19.07B,18.32B,,,-3.049M,-748.75M
2014-06,237.36M,1.308B,1.545B,13.81M,,23.31M,16.89M,,0.262M,11.11M,1.597B,,,,,323.78M,,,323.78M,,323.78M,52.53M,,52.53M,,,,322.60M,26.69M,725.59M,2.323B,26.05M,19.80M,,45.85M,27.82M,73.67M,618.14M,618.14M,,618.14M,646.32M,1.118B,471.56M,,1.843B,750.00M,,750.00M,,266.59M,266.59M,,,,1.112B,2.955B,0.321M,-19.16B,18.53B,,,-3.107M,-632.85M
2014-03,267.05M,1.450B,1.717B,15.44M,,42.82M,17.30M,,1.759M,11.11M,1.790B,,,,,329.71M,,,329.71M,,329.71M,52.53M,,52.53M,,,,409.62M,27.30M,819.15M,2.609B,22.69M,8.752M,,31.44M,26.65M,58.09M,621.06M,621.06M,,621.06M,642.20M,1.335B,693.15M,,2.044B,750.00M,,750.00M,,265.63M,265.63M,,,,1.023B,3.067B,0.321M,-19.26B,18.81B,,,-3.072M,-457.62M
2013-12,339.22M,1.384B,1.723B,13.63M,,53.52M,13.50M,,1.743M,11.15M,1.803B,0.0,31.14M,240.57M,365.64M,,16.21M,2.189M,655.75M,-316.10M,339.65M,52.53M,,52.53M,,,5.811M,437.64M,20.00M,857.57M,2.661B,24.84M,19.85M,,44.70M,33.74M,78.43M,624.06M,624.06M,,624.06M,616.09M,1.277B,660.63M,,2.029B,750.00M,,750.00M,,260.62M,260.62M,,,,1.055B,3.084B,0.32M,-19.36B,18.94B,,,-3.085M,-423.56M
2013-09,117.59M,1.689B,1.807B,14.82M,,29.42M,13.94M,,0.253M,11.31M,1.862B,,,,,337.78M,,,337.78M,,337.78M,52.53M,,52.53M,0.413M,,5.811M,48.39M,20.44M,468.21M,2.330B,23.99M,25.32M,,49.31M,35.80M,85.10M,613.75M,613.75M,,613.75M,616.53M,1.024B,407.86M,,1.764B,750.00M,,750.00M,3.832M,260.96M,264.80M,,,,1.060B,2.824B,0.32M,-19.65B,19.16B,,,-3.207M,-493.82M
2013-06,578.30M,1.419B,1.997B,13.56M,14.84M,28.40M,15.66M,,0.256M,11.51M,2.053B,,,,,337.88M,,,337.88M,,337.88M,52.53M,,52.53M,0.413M,,5.811M,51.98M,19.60M,471.55M,2.525B,26.30M,25.70M,,52.00M,31.95M,83.95M,606.28M,606.28M,,606.28M,616.22M,1.015B,398.64M,,1.741B,750.00M,,750.00M,3.698M,259.52M,263.21M,,,,1.058B,2.799B,0.32M,-19.73B,19.46B,,,-3.293M,-273.93M
2013-03,78.62M,1.484B,1.562B,13.62M,15.23M,28.85M,12.27M,,0.286M,11.35M,1.615B,,,,,333.18M,,,333.18M,,333.18M,52.53M,,52.53M,0.413M,,5.811M,52.79M,8.579M,455.91M,2.071B,23.41M,32.28M,,55.68M,17.78M,73.47M,606.14M,606.14M,,606.14M,609.00M,997.92M,388.92M,,1.706B,100.00M,,100.00M,3.657M,255.44M,259.10M,,,,403.84M,2.110B,0.32M,-19.82B,19.78B,,,-0.675M,-39.14M
2012-12,130.74M,1.426B,1.556B,11.48M,,26.53M,15.41M,,44.76M,0.326M,1.643B,0.0,31.14M,236.17M,322.07M,,11.39M,2.223M,603.00M,-269.14M,333.86M,52.53M,,52.53M,0.413M,,5.811M,7.299M,16.02M,419.01M,2.062B,23.52M,21.92M,,45.44M,26.86M,72.29M,,,,,583.95M,583.95M,0.00,,695.02M,697.61M,,697.61M,386.91M,247.96M,634.87M,,,,1.377B,2.072B,0.319M,-19.90B,19.89B,,,-0.388M,-9.323M
2012-09,270.46M,1.222B,1.492B,11.27M,,11.27M,,,26.97M,,1.530B,,,,,,,,,,329.36M,,,53.06M,,,,55.19M,15.16M,452.78M,1.983B,11.14M,15.73M,,26.87M,42.98M,69.85M,603.11M,603.11M,,603.11M,563.71M,908.11M,344.40M,,1.617B,100.00M,,100.00M,3.322M,244.94M,248.26M,,,44.26M,392.52M,2.010B,0.319M,-20.01B,19.98B,,,-0.603M,-26.61M
2012-06,315.62M,1.122B,1.438B,12.65M,,12.65M,,,79.94M,,1.531B,,,,,,,,,,329.33M,,,53.20M,,,,,28.88M,411.41M,1.942B,16.02M,12.55M,,28.57M,34.64M,63.21M,,,,,577.41M,577.41M,,,672.64M,697.94M,,697.94M,341.73M,243.62M,585.36M,,,45.29M,1.329B,2.001B,0.318M,-20.08B,20.03B,,,-3.082M,-59.20M
2012-03,1.353B,32.80M,1.386B,13.55M,,13.55M,,,74.29M,,1.474B,,,,,,,,,,328.47M,,,53.52M,,,,,27.08M,409.08M,1.883B,15.69M,13.44M,,29.13M,43.04M,72.17M,,,,,542.98M,542.98M,,,642.62M,692.82M,,692.82M,333.18M,240.31M,573.50M,,,45.16M,1.311B,1.954B,0.318M,-20.15B,20.08B,,,-3.094M,-71.33M
2011-12,1.313B,32.86M,1.346B,14.97M,9.452M,24.43M,12.02M,,64.75M,0.379M,1.448B,0.0,31.14M,239.28M,315.37M,,6.157M,2.282M,594.23M,-267.10M,327.14M,52.53M,1.321M,53.85M,0.413M,,5.811M,2.758M,15.75M,408.40M,1.856B,19.28M,28.44M,,47.72M,49.85M,97.58M,,,,,521.10M,521.10M,,,658.92M,690.09M,,690.09M,325.53M,226.03M,551.56M,,,,1.285B,1.944B,0.317M,-20.22B,20.14B,,,-3.084M,-88.11M
2011-09,1.203B,32.14M,1.235B,14.83M,,14.83M,,,113.94M,,1.364B,,,,,,,,,,205.30M,,,54.17M,,,,,34.54M,294.02M,1.658B,16.95M,28.60M,0.218M,45.77M,38.32M,84.09M,,,,,501.92M,501.92M,,18.35M,639.23M,586.57M,,586.57M,336.88M,221.02M,557.90M,,,40.75M,1.185B,1.824B,0.316M,-20.27B,20.11B,,,-3.185M,-166.74M
2011-06,1.220B,174.58M,1.395B,14.52M,,14.52M,,,115.87M,,1.525B,,,,,,,,,,194.77M,,,54.50M,,,,,21.20M,270.46M,1.796B,13.08M,33.87M,1.308M,48.26M,51.99M,100.25M,,,,,514.73M,514.73M,,,651.76M,584.96M,,584.96M,326.11M,219.08M,545.20M,,,17.88M,1.148B,1.800B,0.316M,-20.33B,20.33B,,,-2.064M,-4.203M
2011-03,1.441B,506.01M,1.947B,15.85M,,15.85M,,,97.41M,,2.060B,,,,,,,,,,193.14M,,,54.82M,,,,,22.54M,270.50M,2.331B,15.99M,37.55M,10.51M,64.05M,45.81M,109.86M,,,,,501.56M,501.56M,,,645.09M,583.85M,,583.85M,317.94M,213.48M,531.43M,,,24.91M,1.140B,1.785B,0.315M,-20.32B,20.87B,,,-1.791M,545.33M
2010-12,1.560B,501.24M,2.061B,14.87M,,14.87M,,,102.22M,,2.178B,0.0,4.681M,131.27M,267.58M,,5.121M,13.96M,422.61M,-232.29M,190.32M,52.53M,2.619M,55.15M,,,,,20.58M,266.05M,2.444B,13.84M,41.06M,11.34M,66.23M,57.69M,123.93M,,,,,476.16M,476.16M,,,652.71M,581.63M,,581.63M,309.70M,205.56M,515.26M,,0.00,17.98M,1.115B,1.768B,0.313M,-20.36B,21.04B,,,-1.334M,676.43M
2010-06,862.92M,474.36M,1.337B,16.19M,,16.19M,85.02M,,,681.75M,2.120B,0.0,4.681M,130.54M,242.31M,,5.716M,12.39M,395.64M,-204.83M,190.81M,52.53M,3.266M,55.79M,,,,,25.12M,271.72M,2.392B,15.62M,14.77M,15.22M,45.61M,119.43M,165.04M,,,,,437.29M,437.29M,,340.52M,942.85M,575.93M,,575.93M,,203.91M,203.91M,,52.25M,193.13M,972.98M,1.916B,0.31M,-21.11B,21.52B,,,12.40M,423.89M
2010-03,1.090B,460.40M,1.550B,58.53M,,58.53M,134.48M,,,,1.743B,,,,,,,,,,398.56M,288.40M,19.67M,308.07M,,,,,42.12M,748.75M,2.492B,14.86M,23.62M,29.83M,68.31M,111.95M,180.26M,,,,,668.58M,668.58M,,,848.84M,575.54M,,575.54M,,255.37M,255.37M,,48.96M,179.98M,1.011B,1.860B,0.309M,-21.14B,21.72B,,,7.038M,583.48M
2009-12,1.477B,,1.477B,63.13M,,63.13M,167.72M,,,1.043M,1.709B,0.0,138.19M,181.11M,376.77M,,7.067M,28.05M,731.20M,-327.37M,403.82M,289.98M,22.42M,312.40M,7.146M,10.93M,,12.70M,14.09M,761.09M,2.470B,34.70M,24.57M,,59.27M,156.20M,215.47M,,,,,642.51M,642.51M,,28.50M,886.47M,574.38M,,574.38M,144.78M,245.73M,390.51M,3.204M,48.92M,16.91M,985.01M,1.871B,0.308M,-21.19B,21.74B,,,7.659M,549.74M
2009-09,1.432B,,1.432B,73.25M,,73.25M,151.00M,,,240.20M,1.897B,0.0,133.75M,130.75M,348.78M,,16.94M,53.30M,683.51M,-311.09M,372.41M,290.21M,24.68M,314.90M,,,,,37.40M,724.70M,2.621B,,,,246.59M,5.98M,252.57M,,,,,656.75M,656.75M,,44.17M,953.49M,571.53M,,571.53M,,224.54M,224.54M,3.114M,50.04M,86.69M,885.87M,1.839B,0.307M,-21.29B,22.01B,,,9.039M,732.06M
2009-06,1.308B,,1.308B,77.37M,,77.37M,167.16M,,,263.99M,1.817B,0.0,133.75M,129.76M,341.71M,,10.59M,52.59M,668.39M,-298.28M,370.11M,289.68M,37.33M,327.01M,6.745M,9.869M,,4.727M,14.84M,733.30M,2.550B,27.63M,39.25M,,66.88M,152.05M,218.93M,,,,,655.78M,655.78M,,81.73M,956.44M,570.71M,,570.71M,60.36M,222.11M,282.46M,3.61M,46.39M,16.25M,873.03M,1.829B,0.306M,-21.34B,22.01B,,,5.853M,674.31M
2009-03,942.39M,,942.39M,80.78M,,80.78M,172.81M,,,505.86M,1.702B,0.0,133.75M,129.20M,322.70M,,16.56M,52.38M,654.59M,-281.87M,372.72M,289.45M,34.30M,323.75M,,,,,34.33M,730.81M,2.433B,,,,195.36M,11.19M,206.55M,,,,,651.65M,657.00M,5.355M,60.54M,924.09M,569.04M,,569.04M,73.26M,219.94M,293.20M,3.766M,44.30M,16.00M,882.01M,1.806B,0.306M,-21.37B,21.95B,,,11.82M,582.25M
2008-12,789.07M,,789.07M,83.75M,27.95M,111.70M,22.78M,150.35M,64.48M,486.46M,1.625B,0.0,133.75M,185.53M,357.11M,,16.60M,,692.98M,-310.74M,382.24M,283.11M,35.31M,318.42M,,,,,247.74M,948.40M,2.573B,263.54M,,,263.54M,28.92M,292.46M,,,,,629.80M,635.26M,5.463M,49.16M,976.88M,1.262B,,1.262B,16.38M,,16.38M,,49.21M,218.32M,1.496B,2.473B,0.304M,-21.44B,21.47B,17.23M,-0.222M,17.01M,50.80M
2008-09,403.52M,248.79M,652.32M,68.19M,20.70M,88.89M,29.14M,,43.32M,694.28M,1.508B,0.0,133.75M,175.06M,321.31M,,,,630.11M,-256.01M,374.10M,355.06M,29.30M,384.36M,,,,245.77M,177.99M,1.182B,2.690B,12.06M,,,12.06M,212.41M,224.47M,,,,,591.75M,591.75M,,152.93M,969.15M,1.264B,,1.264B,,,,,59.95M,232.56M,1.496B,2.465B,0.303M,-21.32B,21.47B,,,10.97M,164.90M
