,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,299.29M,299.29M,48.15M,251.14M,17.28M,33.07M,50.34M,15.38M,,,40.79M,7.489M,-33.30M,,65.72M,185.42M,7.489M,40.79M,-33.30M,0.315M,-33.30M,152.44M,18.17M,134.26M,,,134.26M,134.26M,205.34M,12.12M,193.22M,1.38,,1.38,1.38,1.09,,1.09,1.09,97.25M,123.51M
2017-12,295.50M,295.50M,47.68M,247.82M,25.49M,33.13M,58.62M,12.77M,,0.00,40.47M,6.558M,-33.91M,,71.39M,176.43M,6.558M,40.47M,-33.91M,-0.476M,-33.91M,142.05M,39.21M,102.84M,,,102.84M,102.84M,194.73M,12.21M,182.51M,1.05,,1.05,1.05,0.83,,0.83,0.83,98.19M,124.23M
2017-09,292.43M,292.43M,47.33M,245.10M,18.67M,32.65M,51.32M,12.72M,,-0.186M,37.76M,5.832M,-31.92M,,64.04M,181.06M,5.832M,37.76M,-31.92M,0.409M,-31.92M,149.54M,34.64M,114.90M,,,114.90M,115.04M,199.79M,12.49M,187.30M,1.15,,1.151,1.15,0.93,,0.9312,0.93,99.61M,124.07M
2017-06,288.55M,288.55M,47.64M,240.91M,19.47M,32.96M,52.44M,13.51M,,10.61M,29.09M,3.309M,-25.78M,,65.95M,174.96M,3.309M,29.09M,-25.78M,10.69M,-25.78M,159.87M,36.77M,123.10M,,,123.10M,114.93M,201.03M,12.07M,188.96M,1.22,,1.139,1.22,0.99,,0.9241,0.99,101.06M,123.98M
2017-03,288.61M,288.61M,50.67M,237.94M,18.32M,31.01M,49.33M,13.34M,,,29.02M,2.245M,-26.78M,,62.67M,175.27M,2.245M,29.02M,-26.78M,-0.944M,-26.78M,147.55M,31.14M,116.41M,,,116.41M,116.41M,189.67M,13.10M,176.57M,1.14,,1.14,1.14,0.94,,0.94,0.94,102.47M,124.46M
2016-12,286.27M,286.27M,49.10M,237.17M,21.82M,32.84M,54.66M,13.74M,,0.00,28.98M,1.899M,-27.08M,,68.41M,168.76M,1.899M,28.98M,-27.08M,0.174M,-27.08M,141.85M,36.30M,105.55M,,,105.55M,105.55M,184.89M,14.05M,170.84M,1.01,,1.01,1.01,0.84,,0.84,0.84,104.06M,125.43M
2016-09,287.55M,287.55M,49.81M,237.75M,18.65M,30.00M,48.65M,14.32M,,0.00,28.92M,1.728M,-27.19M,,62.97M,174.78M,1.728M,28.92M,-27.19M,1.534M,-27.19M,149.12M,34.69M,114.43M,,,114.43M,113.32M,192.74M,14.70M,178.04M,1.08,,1.07,1.08,0.9,,0.8913,0.9,106.31M,127.75M
2016-06,286.47M,286.47M,48.75M,237.71M,19.76M,27.40M,47.16M,14.29M,,0.00,28.86M,1.522M,-27.34M,,61.45M,176.27M,1.522M,28.86M,-27.34M,0.187M,-27.34M,149.12M,35.91M,113.21M,,,113.21M,113.28M,192.53M,14.55M,177.98M,1.05,,1.051,1.05,0.87,,0.8705,0.87,108.07M,130.59M
2016-03,281.88M,281.88M,50.58M,231.29M,20.03M,27.76M,47.78M,16.74M,,,28.80M,1.042M,-27.76M,,64.53M,166.77M,1.042M,28.80M,-27.76M,2.079M,-27.76M,141.08M,33.63M,107.46M,,,107.46M,106.65M,184.76M,14.87M,169.89M,0.98,,0.9726,0.98,0.82,,0.8138,0.82,109.59M,131.58M
2015-12,272.62M,272.62M,49.00M,223.63M,22.51M,27.64M,50.15M,15.20M,,,28.57M,0.857M,-27.71M,,65.35M,158.28M,0.857M,28.57M,-27.71M,-5.193M,-27.71M,125.38M,23.85M,101.53M,,,101.53M,105.64M,168.88M,14.94M,153.95M,0.92,,0.957,0.92,0.76,,0.7908,0.76,110.92M,133.35M
2015-09,265.78M,265.78M,47.22M,218.56M,20.97M,28.12M,49.08M,15.02M,,,28.54M,0.639M,-27.90M,,64.10M,154.46M,0.639M,28.54M,-27.90M,-4.614M,-27.90M,121.94M,29.49M,92.46M,,,92.46M,96.06M,165.42M,14.93M,150.49M,0.82,,0.8519,0.82,0.7,,0.7274,0.7,112.96M,131.72M
2015-06,262.54M,262.54M,48.22M,214.32M,24.33M,24.68M,49.01M,16.35M,,,28.50M,0.373M,-28.13M,,65.35M,148.96M,0.373M,28.50M,-28.13M,2.828M,-28.13M,123.66M,30.65M,93.01M,,,93.01M,90.98M,168.04M,15.87M,152.17M,0.8,,0.7824,0.8,0.7,,0.6848,0.7,115.66M,133.25M
2015-03,258.42M,258.42M,48.35M,210.07M,22.38M,26.30M,48.68M,17.15M,,,22.02M,0.259M,-21.76M,,65.83M,144.24M,0.259M,22.02M,-21.76M,-5.814M,-21.76M,116.66M,28.43M,88.24M,,,88.24M,93.57M,154.43M,15.75M,138.68M,0.75,,0.7955,0.75,0.66,,0.6999,0.66,117.14M,133.85M
2014-12,255.92M,255.92M,47.48M,208.44M,23.76M,25.14M,48.90M,17.32M,,,21.59M,0.214M,-21.37M,,66.22M,142.22M,0.214M,21.59M,-21.37M,-0.373M,-21.37M,120.48M,55.00M,65.47M,,,65.47M,66.58M,157.83M,15.77M,142.06M,0.54,,0.5492,0.54,0.48,,0.4882,0.48,120.07M,135.83M
2014-09,255.02M,255.02M,46.93M,208.09M,24.30M,27.96M,52.27M,16.32M,,,21.53M,0.197M,-21.34M,,68.59M,139.50M,0.197M,21.53M,-21.34M,-6.67M,-21.34M,111.49M,16.30M,95.19M,,,95.19M,100.77M,148.84M,15.81M,133.03M,0.77,,0.8149,0.77,0.69,,0.7304,0.69,124.11M,138.11M
2014-06,250.38M,250.38M,45.99M,204.39M,23.65M,21.93M,45.58M,15.69M,,,21.49M,0.195M,-21.30M,,61.27M,143.12M,0.195M,21.49M,-21.30M,4.799M,-21.30M,126.62M,26.45M,100.18M,,,100.18M,96.03M,164.22M,16.11M,148.12M,0.77,,0.738,0.77,0.71,,0.6806,0.71,129.35M,141.14M
2014-03,248.80M,248.80M,48.03M,200.77M,20.29M,22.46M,42.75M,18.44M,,,21.38M,0.316M,-21.07M,,61.18M,139.58M,0.316M,21.38M,-21.07M,6.20M,-21.07M,124.72M,30.29M,94.42M,,,94.42M,90.42M,162.11M,16.01M,146.10M,0.71,,0.68,0.71,0.64,,0.6131,0.64,133.42M,148.60M
2013-12,245.63M,245.63M,46.58M,199.06M,25.06M,26.05M,51.12M,17.77M,,,21.24M,0.314M,-20.92M,,68.88M,130.17M,0.314M,21.24M,-20.92M,7.194M,-20.92M,116.44M,-175.70M,292.15M,,,292.15M,285.14M,152.92M,15.24M,137.68M,2.15,0.0,2.0980000000000003,2.15,1.94,0.0,1.893,1.94,135.66M,150.33M
2013-09,243.68M,243.68M,46.55M,197.12M,22.90M,24.06M,46.96M,17.46M,,,21.12M,0.32M,-20.80M,,64.41M,132.71M,0.32M,21.12M,-20.80M,-4.912M,-20.80M,107.00M,26.10M,80.90M,,,80.90M,84.92M,143.01M,14.89M,128.12M,0.57,,0.5984,0.57,0.53,,0.5563,0.53,141.70M,152.95M
2013-06,239.33M,239.33M,46.63M,192.70M,23.27M,20.45M,43.72M,16.90M,,,19.81M,0.62M,-19.19M,,60.62M,132.08M,0.62M,19.81M,-19.19M,5.541M,-19.19M,118.43M,31.54M,86.89M,,,86.89M,85.43M,153.65M,15.41M,138.24M,0.58,,0.5702,0.58,0.55,,0.5408,0.55,148.58M,158.64M
2013-03,236.45M,236.45M,47.25M,189.19M,18.10M,19.65M,37.75M,18.18M,,,12.60M,0.643M,-11.95M,,55.93M,133.26M,0.643M,12.60M,-11.95M,-6.42M,-11.95M,114.89M,30.38M,84.51M,,,84.51M,89.27M,142.60M,15.12M,127.49M,0.55,,0.5812,0.55,0.52,,0.5495,0.52,152.54M,161.35M
2012-12,230.20M,230.20M,42.04M,188.16M,20.75M,15.26M,36.01M,16.06M,,-0.73M,12.66M,1.409M,-11.25M,,52.07M,136.08M,1.409M,12.66M,-11.25M,6.457M,-11.25M,131.29M,30.20M,101.09M,4.552M,,105.64M,95.81M,159.12M,15.17M,143.95M,0.65,0.03,0.6159,0.68,0.62,0.03,0.5874,0.65,154.62M,162.02M
2012-09,223.53M,223.53M,41.46M,182.07M,22.93M,27.67M,50.60M,15.41M,,0.362M,12.62M,0.643M,-11.98M,,66.01M,116.06M,0.643M,12.62M,-11.98M,-2.385M,-11.98M,101.70M,24.88M,76.82M,1.091M,,77.91M,78.92M,127.70M,13.38M,114.32M,0.49,0.01,0.5035,0.5,0.46,0.01,0.4726,0.47,156.26M,166.58M
2012-06,214.14M,214.14M,42.84M,171.30M,26.31M,22.73M,49.04M,15.46M,,1.268M,12.58M,0.605M,-11.98M,,64.50M,106.80M,0.605M,12.58M,-11.98M,-2.52M,-11.98M,92.30M,23.83M,68.47M,0.00,,68.47M,69.84M,118.42M,13.53M,104.88M,0.43,0.0,0.4387,0.43,0.42,0.0,0.4283,0.42,157.60M,164.18M
2012-03,205.73M,205.73M,41.26M,164.47M,27.82M,23.51M,51.32M,14.76M,,1.641M,12.34M,0.30M,-12.04M,,66.09M,98.38M,0.30M,12.34M,-12.04M,1.055M,-12.04M,87.40M,21.29M,66.10M,1.904M,,68.01M,65.48M,112.48M,12.74M,99.74M,0.41,0.02,0.4061,0.43,0.41,0.01,0.4061,0.42,159.34M,162.88M
2011-12,203.65M,203.65M,42.02M,161.63M,27.77M,24.51M,52.28M,13.12M,,-1.308M,11.86M,0.584M,-11.28M,,65.40M,96.22M,0.584M,11.86M,-11.28M,-7.624M,-11.28M,77.33M,32.00M,45.33M,8.485M,,53.81M,47.24M,103.44M,14.25M,89.18M,0.28,0.06,0.292,0.34,0.28,0.06,0.2919,0.33,159.16M,160.02M
2011-09,196.96M,196.96M,41.69M,155.27M,25.09M,24.78M,49.86M,13.49M,,-2.285M,11.80M,0.763M,-11.03M,,63.35M,91.92M,0.763M,11.80M,-11.03M,-0.143M,-11.03M,80.74M,22.13M,58.62M,0.301M,,58.92M,58.72M,106.35M,13.81M,92.54M,0.36,0.0,0.3606,0.36,0.36,0.0,0.3606,0.36,163.05M,163.90M
2011-06,189.84M,189.84M,40.67M,149.18M,22.18M,28.21M,50.38M,13.07M,,-2.06M,111.86M,1.579M,-110.28M,,63.46M,85.72M,1.579M,111.86M,-110.28M,0.911M,-110.28M,-23.65M,-15.97M,-7.681M,-2.929M,,-10.61M,-8.273M,101.88M,13.67M,88.21M,-0.05,-0.01,-0.0535,-0.06,-0.05,-0.01,-0.0535,-0.06,167.47M,167.47M
2011-03,181.52M,181.52M,40.87M,140.65M,22.39M,33.63M,56.02M,13.59M,,-0.052M,11.82M,,-11.82M,,69.61M,71.04M,,11.82M,-11.82M,-0.052M,-11.82M,59.17M,16.88M,42.29M,-1.522M,,40.77M,42.33M,84.96M,13.97M,70.99M,0.25,-0.01,0.2502,0.24,0.25,-0.01,0.2502,0.24,170.19M,171.98M
2010-12,178.83M,178.83M,38.26M,140.56M,20.53M,36.55M,57.08M,13.18M,,12.86M,121.56M,-0.619M,-122.18M,,70.26M,70.30M,-0.619M,121.56M,-122.18M,15.31M,-122.18M,-46.66M,-14.99M,-31.67M,-8.838M,0.00,-40.50M,-40.39M,89.18M,14.28M,74.91M,-0.18,0.0,-0.2306,-0.18,-0.18,-0.01,-0.2302,-0.18,172.42M,173.96M
2010-09,172.29M,172.29M,39.75M,132.54M,18.41M,33.51M,51.93M,14.47M,,-8.177M,12.14M,2.732M,-9.408M,,66.39M,66.14M,2.732M,12.14M,-9.408M,-8.177M,-9.408M,52.37M,7.267M,45.10M,740.44M,-0.642M,784.90M,51.51M,78.08M,13.57M,64.51M,0.26,4.26,0.3006,4.52,0.26,4.22,0.3002,4.48,173.57M,175.03M
2010-06,167.88M,167.88M,39.85M,128.04M,23.14M,32.80M,55.94M,13.74M,,-7.874M,11.97M,2.046M,-9.92M,,69.67M,58.36M,2.046M,11.97M,-9.92M,-5.735M,-9.92M,42.71M,16.12M,26.58M,9.789M,-1.161M,35.21M,28.99M,72.57M,17.90M,54.67M,0.15,0.04,0.1697,0.19,0.15,0.04,0.1695,0.19,181.12M,182.75M
2010-03,161.58M,161.58M,38.81M,122.77M,21.31M,34.84M,56.15M,12.28M,,0.012M,12.00M,1.093M,-10.90M,,68.43M,54.34M,1.093M,12.00M,-10.90M,3.501M,-10.90M,46.93M,16.92M,30.01M,22.43M,-1.084M,51.36M,26.69M,80.84M,21.90M,58.93M,0.16,0.12,0.1478,0.28,0.16,0.12,0.1479,0.28,183.17M,184.26M
2009-12,155.15M,155.15M,36.32M,118.82M,20.73M,35.34M,56.06M,12.31M,,-5.983M,11.87M,0.53M,-11.34M,,68.38M,50.45M,0.53M,11.87M,-11.34M,-0.345M,-11.34M,38.76M,5.991M,32.77M,60.58M,-1.305M,92.05M,36.52M,75.18M,24.55M,50.63M,0.17,0.31,0.1967,0.48,0.17,0.31,0.1965,0.48,189.70M,190.60M
2009-09,156.81M,156.81M,42.16M,114.65M,20.54M,35.32M,55.86M,13.24M,,-9.177M,11.87M,0.533M,-11.33M,,69.10M,45.54M,0.533M,11.87M,-11.33M,-9.177M,-11.33M,25.03M,4.132M,20.90M,33.70M,-0.988M,53.61M,27.57M,57.22M,20.32M,36.90M,0.11,0.17,0.1498,0.28,0.11,0.17,0.1496,0.28,192.62M,193.47M
2009-06,154.34M,154.34M,42.98M,111.36M,18.12M,37.34M,55.46M,12.98M,,11.48M,11.80M,0.855M,-10.95M,,68.44M,42.92M,0.855M,11.80M,-10.95M,11.48M,-10.95M,32.50M,15.59M,16.90M,18.87M,-0.898M,34.87M,8.547M,65.17M,20.87M,44.30M,0.09,0.09,0.0513,0.18,0.09,0.09,0.0514,0.18,192.65M,193.43M
2009-03,253.56M,253.56M,62.88M,190.68M,38.19M,48.63M,86.82M,21.78M,3.221M,1.818M,11.80M,1.649M,-10.16M,,111.82M,78.86M,1.649M,11.80M,-10.16M,1.818M,-10.16M,70.52M,23.20M,47.32M,18.20M,-0.495M,65.02M,45.60M,102.85M,20.53M,82.32M,0.24,0.1,0.2337,0.34,0.24,0.1,0.2337,0.34,192.31M,192.80M
2008-12,-164.34M,-164.34M,-11.65M,-152.68M,-48.94M,16.13M,-32.80M,-8.778M,,75.10M,11.60M,-0.257M,-11.86M,,-49.26M,-103.42M,-0.257M,11.60M,-11.86M,82.36M,-11.86M,-32.92M,-19.54M,-14.16M,-100.48M,18.72M,-95.92M,-44.25M,-1.097M,20.23M,-21.32M,-0.06,-0.44,-0.313,-0.5,-0.06,-0.44,-0.3122,-0.5,192.94M,193.56M
2008-09,245.93M,245.93M,57.26M,188.67M,41.65M,49.68M,91.32M,21.76M,2.50M,-12.30M,11.04M,3.981M,-7.064M,,115.59M,73.08M,3.981M,11.04M,-7.064M,-12.30M,-7.064M,53.72M,8.876M,42.34M,-242.61M,-0.815M,-201.09M,51.79M,94.50M,29.74M,64.77M,0.21,-1.25,0.2629,-1.04,0.21,-1.25,0.2624,-1.04,193.85M,195.93M
2008-06,242.03M,242.03M,55.75M,186.28M,43.55M,48.57M,92.12M,23.54M,2.537M,-82.25M,10.82M,2.728M,-8.096M,,118.20M,68.08M,2.728M,10.82M,-8.096M,-82.25M,-8.096M,-22.26M,-8.059M,-13.03M,-55.16M,-0.989M,-69.18M,38.45M,23.37M,34.80M,-11.43M,-0.07,-0.28,0.1984,-0.35,-0.07,-0.28,0.1984,-0.35,195.52M,195.52M
2008-03,235.26M,235.26M,59.48M,175.78M,48.58M,54.49M,103.07M,25.22M,2.638M,-17.27M,10.92M,8.295M,-2.626M,,130.94M,44.84M,8.295M,10.92M,-2.626M,-17.27M,-2.626M,24.94M,6.649M,16.53M,-23.69M,-0.906M,-8.061M,28.30M,79.67M,43.81M,35.86M,0.08,-0.12,0.1413,-0.04,0.07,-0.12,0.1302,-0.04,206.55M,210.47M
2007-12,211.00M,211.00M,55.23M,155.77M,,,141.10M,21.54M,1.865M,-201.28M,,,,-3.783M,160.72M,-4.948M,,,,-205.71M,,-201.60M,-14.54M,-192.79M,-28.53M,-1.299M,-221.32M,-6.024M,50.67M,55.62M,-4.948M,-0.81,-0.12,0.0271,-0.93,-0.81,-0.12,0.0271,-0.93,223.12M,223.12M
2007-09,215.74M,215.74M,60.52M,155.22M,,,114.68M,25.26M,4.478M,-11.62M,,,,,144.42M,10.80M,,,,-11.41M,,5.427M,-7.964M,11.55M,3.401M,-2.054M,14.95M,19.11M,69.67M,58.87M,10.80M,0.05,0.01,0.0815,0.06,0.05,0.01,0.0808,0.06,240.05M,245.54M
2007-06,258.99M,258.99M,82.68M,176.31M,,,136.90M,31.87M,16.46M,-10.49M,,,,,185.23M,-8.916M,,,,-8.739M,,-11.30M,5.632M,-15.10M,10.39M,0.082M,-4.717M,-8.286M,48.14M,57.06M,-8.916M,-0.06,0.04,-0.032,-0.02,-0.06,0.04,-0.032,-0.02,243.85M,243.85M
2007-03,328.48M,328.48M,116.42M,212.06M,,,126.50M,42.18M,27.42M,55.69M,,,,,196.09M,15.98M,,,,56.13M,,71.66M,9.246M,62.30M,-0.542M,-0.569M,61.75M,13.79M,75.94M,59.96M,15.98M,0.25,0.0,0.0511,0.25,0.25,0.0,0.0547,0.25,243.85M,248.36M
2006-12,-171.62M,-171.62M,-138.76M,-32.87M,,,79.64M,-2.61M,-61.55M,8.645M,,,,,19.75M,-52.62M,,,,8.645M,,-36.46M,6.325M,-43.53M,17.92M,-0.751M,-25.62M,-48.72M,9.828M,62.45M,-52.62M,-0.13,0.01,-0.1513,-0.12,-0.13,0.01,-0.151,-0.12,243.82M,247.28M
2006-09,396.42M,396.42M,143.36M,253.06M,,,163.90M,33.16M,30.98M,-0.064M,,,,-0.084M,227.96M,25.10M,,,,-0.064M,,28.50M,13.77M,14.02M,1.259M,-0.719M,15.27M,14.05M,84.43M,59.32M,25.10M,0.06,0.0,0.0602,0.06,0.06,0.0,0.0602,0.06,243.54M,245.66M
2006-06,387.83M,387.83M,145.72M,242.12M,,,152.11M,31.02M,31.83M,3.025M,,,,,214.96M,27.16M,,,,3.025M,,35.11M,-341.54M,375.89M,0.901M,-0.758M,376.79M,374.07M,84.30M,57.15M,27.16M,1.54,0.0,1.5330000000000001,1.54,1.52,0.0,1.5130000000000001,1.52,244.74M,247.25M
2006-03,370.11M,370.11M,136.97M,233.14M,,,151.06M,28.26M,28.00M,14.41M,,,,,207.32M,25.82M,,,,14.41M,,40.70M,24.22M,15.37M,1.118M,-0.647M,16.49M,6.721M,78.43M,52.61M,25.82M,0.06,0.01,0.0248,0.07,0.06,0.01,0.0251,0.07,245.60M,248.08M
2005-12,381.13M,381.13M,124.86M,256.28M,,,155.79M,25.73M,27.74M,-21.47M,,,,,231.71M,24.57M,,,,-21.47M,,35.01M,10.09M,20.21M,253.71M,-1.305M,273.92M,35.49M,76.69M,52.12M,24.57M,0.08,0.99,0.1407,1.07,0.08,0.96,0.1396,1.05,251.70M,256.44M
2005-09,401.11M,401.11M,126.86M,274.26M,,,152.86M,24.87M,26.24M,3.924M,,,,,203.96M,70.30M,,,,3.924M,,81.13M,29.21M,51.92M,4.934M,-1.221M,56.85M,49.40M,118.88M,48.58M,70.30M,0.2,0.02,0.1904,0.22,0.2,0.01,0.1906,0.21,260.37M,266.08M
2005-06,434.22M,434.22M,134.43M,299.79M,,,188.10M,25.23M,24.82M,0.90M,,,,,238.15M,61.64M,,,,0.90M,,70.21M,34.28M,35.93M,4.31M,-1.048M,40.24M,35.39M,107.36M,45.72M,61.64M,0.13,0.02,0.1279,0.15,0.13,0.02,0.128,0.15,263.27M,271.17M
2005-03,387.27M,387.27M,122.39M,264.88M,,,168.28M,20.20M,22.84M,17.15M,,,,,211.32M,53.56M,,,,17.15M,,69.58M,24.42M,45.16M,4.015M,-1.128M,49.18M,34.03M,98.08M,44.52M,53.56M,0.18,0.01,0.1362,0.19,0.17,0.01,0.1276,0.19,253.99M,262.43M
2004-12,310.13M,310.13M,122.21M,187.92M,,,157.03M,14.03M,23.32M,57.55M,,,,,194.38M,-6.464M,,,,57.55M,,68.67M,4.718M,63.96M,,-0.741M,81.41M,10.36M,34.91M,41.37M,-6.464M,0.24,0.08,0.0291,0.32,0.24,0.08,0.0291,0.32,254.18M,254.18M
2004-09,325.31M,325.31M,121.94M,203.37M,,,122.70M,17.70M,22.79M,-6.405M,,,,,163.19M,40.18M,,,,-6.405M,,33.02M,-7.376M,40.40M,,-0.748M,40.40M,44.24M,86.11M,45.93M,40.18M,0.16,0.0,0.1751,0.16,0.16,0.0,0.1748,0.16,254.15M,259.73M
2004-06,256.04M,256.04M,102.24M,153.81M,,,85.44M,15.25M,18.22M,4.328M,,,,,118.92M,34.89M,,,,4.328M,,39.22M,17.28M,21.94M,,,21.94M,19.35M,75.41M,40.52M,34.89M,0.09,0.0,0.0796,0.09,0.09,0.0,0.0797,0.09,249.36M,253.07M
2004-03,229.11M,229.11M,91.48M,137.63M,,,75.41M,16.71M,15.11M,-14.77M,,,,,107.23M,30.40M,,,,-14.77M,,15.64M,6.567M,9.07M,,,9.07M,17.93M,67.66M,37.26M,30.40M,0.04,0.0,0.0763,0.04,0.04,0.0,0.0757,0.04,244.36M,248.16M
2003-12,214.16M,214.16M,93.32M,120.84M,,,77.15M,8.558M,-128.03M,-193.93M,,,,,111.10M,9.746M,,,,-193.93M,,-31.24M,9.08M,-40.32M,,,-32.29M,76.04M,62.39M,52.64M,9.746M,-0.28,0.03,0.5022,-0.25,-0.28,,0.2009,-0.25,148.76M,241.98M
2003-09,268.12M,268.12M,114.41M,153.71M,,,91.08M,13.82M,77.72M,1.068M,,,,,182.62M,-28.92M,,,,1.068M,,-27.85M,3.456M,-31.30M,,,-31.30M,-31.94M,78.76M,107.68M,-28.92M,-0.13,0.0,-0.1327,-0.13,-0.13,0.0,-0.1327,-0.13,240.37M,240.37M
2003-06,265.30M,265.30M,115.59M,149.71M,,,92.77M,13.25M,177.14M,-8.587M,,,,,283.16M,-133.45M,,,,-8.587M,,-142.04M,0.811M,-142.85M,,,-142.85M,-137.70M,74.79M,208.24M,-133.45M,-0.6,0.0,-0.5784,-0.6,-0.6,0.0,-0.5784,-0.6,238.90M,238.90M
