,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,134.26M,,,,,,12.12M,,12.12M,12.12M,,-4.128M,,,12.98M,,4.005M,,,-36.27M,-0.987M,,-31.99M,-69.25M,,89.99M,-7.662M,,-7.662M,,,1.300B,-0.16M,1.293B,,,,,-152.74M,-152.74M,,,7.811M,,-144.93M,475.14M,1.238B,0.167M,1.713B,,,,-152.74M,72.96M,43.33M
2017-12,102.84M,0.00,,,,0.00,12.21M,,12.21M,12.21M,,-5.768M,,,12.86M,,-10.70M,,,40.24M,9.209M,,38.30M,87.75M,,199.19M,-8.89M,,-8.89M,,,135.44M,-11.75M,126.55M,0.00,,0.00,,-146.88M,-146.88M,,,0.00,,-146.88M,296.10M,178.86M,0.176M,475.14M,,0.00,0.00,-146.88M,5.577M,30.61M
2017-09,114.90M,0.186M,,,,0.186M,12.49M,,12.49M,12.49M,,-4.505M,,,14.10M,,3.668M,,,13.53M,-3.744M,,24.04M,33.82M,,174.67M,-21.64M,,-21.64M,,,-508.32M,0.00,-529.96M,543.18M,,543.18M,,-148.53M,-148.53M,,,4.918M,,399.57M,251.70M,44.29M,0.116M,296.10M,,543.18M,0.00,-148.53M,-0.945M,27.82M
2017-06,123.10M,-10.61M,,,,-10.61M,12.07M,,12.07M,12.07M,,-2.823M,,,13.38M,,3.488M,,,29.32M,-5.886M,,18.67M,42.11M,,180.71M,-9.32M,,-9.32M,,,-231.13M,0.00,-240.45M,,,,,-152.71M,-152.71M,,,0.00,,-152.71M,463.88M,-212.45M,0.264M,251.70M,,,,-152.71M,5.801M,30.61M
2017-03,116.41M,,,,,,13.10M,,13.10M,13.10M,,-1.764M,,,12.56M,,3.821M,,,-67.61M,14.20M,,57.46M,4.052M,,148.19M,-9.654M,,-9.654M,,,236.34M,11.75M,238.43M,,,,,-173.05M,-173.05M,,,7.997M,,-165.05M,241.58M,221.56M,0.738M,463.88M,,,,-173.05M,17.86M,28.19M
2016-12,105.55M,0.00,,,,0.00,14.05M,,14.05M,14.05M,,,,,14.30M,,8.133M,,,48.53M,-14.28M,,26.09M,68.45M,,204.96M,-6.685M,,-6.685M,0.00,,14.89M,-0.171M,8.03M,0.00,,0.00,,-160.56M,-160.56M,,,0.00,,-160.56M,177.78M,52.44M,-0.61M,241.58M,,0.00,,-160.56M,-0.171M,30.61M
2016-09,114.43M,0.00,,,,0.00,14.70M,,14.70M,14.70M,,,,,12.85M,,-6.43M,,,20.37M,1.646M,,13.48M,35.50M,,171.04M,-149.43M,,-6.431M,-143.00M,,157.21M,-0.035M,7.746M,0.00,,0.00,,-177.70M,-177.70M,,,5.586M,,-172.11M,170.97M,6.677M,0.142M,177.78M,,0.00,,-177.70M,0.48M,27.29M
2016-06,113.21M,0.00,,,,0.00,14.55M,,14.55M,14.55M,,,,,11.13M,,2.782M,,,2.884M,9.887M,,12.91M,25.68M,,167.36M,-6.376M,,-6.376M,,,-72.04M,0.206M,-78.20M,,,,,-151.88M,-151.88M,,,0.00,,-151.88M,234.02M,-62.72M,-0.334M,170.97M,,,,-151.88M,0.283M,30.61M
2016-03,107.46M,,,,,,14.87M,,14.87M,14.87M,,,,,11.76M,,-5.121M,,,-31.54M,2.745M,,49.48M,20.68M,,149.64M,-7.082M,,-7.082M,,,26.78M,,19.70M,,,,,-172.36M,-172.36M,,,8.084M,,-164.28M,228.66M,5.065M,0.301M,234.02M,,,,-172.36M,13.71M,27.03M
2015-12,101.53M,,,5.072M,,5.072M,14.94M,,14.94M,14.94M,,,,,11.72M,19.42M,4.193M,1.319M,-4.034M,6.355M,,,48.33M,51.97M,,207.00M,-12.00M,,-12.00M,,,25.80M,-0.275M,13.52M,0.00,,0.00,,-150.59M,-150.59M,,,0.00,-19.42M,-170.01M,177.87M,50.51M,0.279M,228.66M,,0.00,,-150.59M,26.43M,30.80M
2015-09,92.46M,,,4.747M,,4.747M,14.93M,,14.93M,14.93M,,,,,12.22M,-8.054M,-2.215M,-0.301M,-4.402M,19.44M,,,26.50M,41.23M,,155.32M,-6.768M,,-6.768M,,,-14.44M,0.07M,-21.14M,0.00,,0.00,,-156.69M,-156.69M,,,5.676M,8.054M,-142.96M,187.29M,-8.776M,-0.639M,177.87M,,0.00,,-156.69M,-1.053M,25.84M
2015-06,93.01M,,,-2.708M,,-2.708M,15.87M,,15.87M,15.87M,,,,,12.00M,-5.373M,2.141M,0.264M,10.45M,24.04M,,,25.26M,60.01M,,174.96M,-8.849M,,-8.849M,,,-531.64M,0.051M,-540.44M,-1.587M,,-1.587M,,-157.56M,-157.56M,,,0.238M,5.373M,-153.53M,705.88M,-519.02M,0.422M,187.29M,,-1.587M,,-157.56M,1.372M,17.34M
2015-03,88.24M,,,7.019M,,7.019M,15.75M,,15.75M,15.75M,,,,,10.13M,-5.993M,-2.524M,-1.282M,-3.084M,-28.82M,,,53.24M,20.05M,,132.67M,-13.04M,,-13.04M,,,67.98M,-3.787M,51.16M,493.82M,,493.82M,,-178.33M,-178.33M,,,8.776M,5.993M,330.26M,191.61M,514.09M,0.184M,705.88M,,493.82M,,-178.33M,12.97M,25.49M
2014-12,65.47M,,,1.704M,,1.704M,15.77M,,15.77M,15.77M,,,,,9.696M,2.512M,3.888M,2.477M,-19.78M,47.96M,,,40.78M,71.44M,,170.47M,-9.269M,,-9.269M,,,7.827M,0.101M,-1.341M,0.00,,0.00,,-209.86M,-209.86M,,,1.781M,-2.512M,-210.59M,233.95M,-41.46M,-0.879M,191.61M,,0.00,,-209.86M,0.264M,17.32M
2014-09,95.19M,,,6.562M,,6.562M,15.81M,,15.81M,15.81M,,,,,14.92M,6.743M,3.668M,-2.317M,4.935M,-1.671M,,,23.90M,24.85M,,167.74M,-11.31M,,-11.31M,,,67.53M,0.277M,56.50M,0.00,,0.00,,-226.86M,-226.86M,,,6.846M,-6.743M,-226.76M,237.36M,-2.525M,-0.887M,233.95M,,0.00,,-226.86M,0.473M,20.26M
2014-06,100.18M,,,-5.246M,,-5.246M,16.11M,,16.11M,16.11M,,,,,9.372M,-15.31M,2.798M,1.573M,18.49M,33.71M,,,-40.56M,13.21M,,121.11M,-7.485M,,-7.485M,,,142.12M,0.04M,134.67M,0.00,,0.00,,-301.12M,-301.12M,,,0.302M,15.31M,-285.51M,267.05M,-29.73M,0.036M,237.36M,,0.00,,-301.12M,26.81M,17.30M
2014-03,94.42M,,,-5.269M,,-5.269M,16.01M,,16.01M,16.01M,,,,,9.993M,0.00,1.004M,-1.806M,7.925M,-34.58M,,,53.93M,25.47M,,141.63M,-11.26M,,-11.26M,,,-65.91M,0.034M,-77.14M,0.00,,0.00,,-145.56M,-145.56M,,,8.668M,,-136.89M,339.22M,-72.40M,0.23M,267.05M,,0.00,,-145.56M,7.651M,20.21M
2013-12,292.15M,,,-10.78M,,-10.78M,15.24M,,15.24M,15.24M,-29.00M,,,,9.643M,10.78M,6.328M,-0.654M,-2.694M,-28.12M,,,-115.44M,-146.91M,,147.44M,-15.39M,,-15.39M,,,321.44M,-0.023M,306.02M,0.00,,0.00,,-225.55M,-225.55M,,,4.006M,-10.78M,-232.32M,117.59M,221.14M,0.488M,339.22M,,0.00,0.00,-225.55M,9.078M,18.49M
2013-09,80.90M,,,5.286M,,5.286M,14.89M,,14.89M,14.89M,12.94M,,,,10.58M,-12.45M,2.227M,1.408M,,17.10M,,,1.612M,20.12M,,134.48M,-12.65M,,-12.65M,,,-269.67M,-0.725M,-283.05M,-0.434M,,-0.434M,,-331.92M,-331.92M,,,7.265M,12.45M,-312.64M,578.30M,-461.20M,0.49M,117.59M,,-0.434M,0.00,-331.92M,-0.476M,19.94M
2013-06,86.89M,,,-1.996M,,-1.996M,30.53M,,15.41M,15.41M,11.27M,,,,8.835M,-5.834M,1.318M,-0.974M,-3.21M,25.54M,,,9.59M,30.95M,,146.84M,-20.44M,,-20.44M,,,64.76M,0.205M,44.53M,638.73M,,638.73M,,-335.26M,-335.26M,,,0.663M,5.834M,309.97M,78.62M,501.34M,-1.656M,578.30M,,738.73M,-100.00M,-335.26M,16.80M,0.102M
2013-03,84.51M,,,6.433M,,6.433M,,,15.12M,15.12M,4.787M,,,,7.594M,-11.81M,4.309M,-2.28M,3.21M,4.549M,,,34.21M,39.69M,,150.64M,-17.12M,,-17.12M,,,-58.02M,-3.426M,-78.56M,,,,,-142.89M,-142.89M,,,8.733M,11.81M,-122.35M,130.74M,-50.28M,-1.837M,78.62M,,,,-142.89M,0.729M,20.39M
2012-12,105.64M,,,,,,,,15.17M,15.17M,-34.31M,,,,6.971M,2.329M,-4.145M,-0.275M,-14.42M,17.98M,,,76.35M,79.63M,,170.76M,-13.16M,,-13.16M,,,-203.18M,0.05M,-216.29M,0.00,,0.00,,-94.29M,-94.29M,,,2.73M,-2.329M,-93.89M,270.46M,-139.42M,-0.30M,130.74M,,0.00,0.00,-94.29M,-0.539M,0.447M
2012-09,77.91M,,,,,,,,13.38M,13.38M,15.18M,,,,9.807M,-9.127M,4.703M,1.389M,2.126M,1.364M,,,4.896M,9.775M,,121.62M,-13.63M,,-13.63M,,,-95.99M,-0.118M,-109.73M,0.00,,0.00,,-78.67M,-78.67M,,,11.22M,9.127M,-58.31M,315.62M,-46.42M,1.259M,270.46M,,0.00,0.00,-78.67M,-1.218M,20.35M
2012-06,68.47M,,,,,,,,13.53M,13.53M,8.575M,,,,8.454M,-8.071M,9.941M,0.821M,-6.867M,19.66M,,,20.46M,34.07M,,134.97M,-13.32M,,-13.32M,,,-1.090B,-0.52M,-1.103B,0.00,,0.00,,-77.58M,-77.58M,,,3.958M,8.071M,-65.55M,1.353B,-1.034B,-3.452M,315.62M,,0.00,0.00,-77.58M,8.007M,0.44M
2012-03,68.01M,,,,,,,,12.74M,12.74M,10.56M,,,,8.13M,-3.567M,1.006M,1.392M,9.822M,-52.53M,,,54.72M,13.40M,,110.28M,-12.92M,,-12.92M,,,-0.022M,,-12.94M,,,,,-75.15M,-75.15M,,,11.39M,3.756M,-60.00M,1.313B,37.34M,2.355M,1.353B,,,,-75.15M,13.19M,20.04M
2011-12,53.81M,,,,,,,,14.25M,14.25M,,,,,7.165M,-11.57M,9.282M,-0.213M,20.33M,3.869M,,,5.628M,29.61M,,124.21M,-129.22M,,-129.22M,,,-0.767M,0.05M,-129.93M,,,,-41.51M,-1.294M,-42.80M,0.00,0.00,,11.75M,117.86M,1.203B,112.14M,-1.579M,1.313B,-41.51M,,,-1.294M,1.268M,0.146M
2011-09,58.92M,,,,,,,,13.81M,13.81M,,,,,7.093M,-0.997M,5.177M,-0.392M,0.352M,15.40M,,,9.091M,24.45M,,108.45M,-33.96M,,-33.96M,,,142.25M,0.002M,108.29M,,,,9.065M,-238.13M,-229.07M,0.00,0.00,,-0.12M,-229.19M,1.220B,-12.45M,-4.93M,1.203B,9.065M,,,-238.13M,0.562M,19.96M
2011-06,-10.61M,,,,,,,,13.67M,13.67M,,,,,14.06M,2.761M,-0.502M,1.339M,-16.76M,-5.922M,,,14.91M,-6.438M,,12.95M,-13.92M,,-13.92M,,,332.32M,0.00,318.40M,,,,15.90M,-103.24M,-87.35M,-463.50M,-463.50M,,-2.761M,-553.61M,1.441B,-222.26M,1.595M,1.220B,15.90M,,,-103.24M,2.198M,100.02M
2011-03,40.77M,,,,,,,,13.97M,13.97M,,,,,14.95M,-3.615M,2.129M,-0.985M,3.975M,-16.81M,,,35.91M,22.08M,,90.29M,-15.56M,,-15.56M,,,-6.77M,-1.181M,-23.52M,,,,16.55M,-207.43M,-190.88M,,,,3.615M,-187.26M,1.560B,-120.49M,1.69M,1.441B,16.55M,,,-207.43M,2.539M,20.06M
2010-12,-40.50M,,,,,10.24M,,,14.28M,14.28M,,,,,9.977M,35.27M,1.039M,1.993M,19.00M,-57.23M,,,7.202M,-29.03M,,46.73M,-11.88M,,-11.88M,,-2.724M,1.011M,-0.10M,-13.69M,,,,-56.44M,-15.52M,-71.96M,,-518.22M,,-35.27M,-533.94M,2.060B,-500.91M,0.34M,1.560B,-56.44M,,,-15.52M,,109.24M
2010-09,785.54M,,,,,-735.49M,,,13.57M,13.57M,,,,,16.89M,-154.74M,-4.514M,1.07M,-27.40M,11.47M,,,11.75M,-3.104M,,-81.84M,-25.87M,,-25.87M,,1.149B,-8.682M,-0.915M,1.114B,,,,28.44M,-152.29M,-123.85M,,0.00,,154.74M,30.89M,862.92M,1.186B,10.89M,2.060B,28.44M,,,-152.29M,,19.82M
2010-06,36.37M,,,,,,,,17.90M,17.90M,,,,,13.22M,-4.356M,6.679M,5.505M,17.71M,30.87M,,,25.30M,79.38M,,149.20M,-22.87M,,-22.87M,,0.00,-13.05M,-3.773M,-39.70M,,,,10.61M,-228.19M,-217.58M,,0.00,,3.966M,-213.62M,1.090B,-227.47M,0.363M,862.92M,10.61M,,,-228.19M,,0.00
2010-03,52.44M,,,,,,,,21.90M,21.90M,,,,,12.08M,-8.097M,6.27M,4.579M,9.689M,-33.73M,,,35.98M,16.52M,,101.12M,-19.90M,,-19.90M,,15.58M,-453.18M,,-457.49M,,,,17.39M,-53.75M,-36.36M,,,,7.751M,-28.61M,1.477B,-384.98M,-2.154M,1.090B,17.39M,,,-53.75M,,19.81M
2009-12,93.35M,-12.71M,,,,-41.03M,,,24.55M,24.55M,,,,,11.76M,74.70M,-11.85M,11.28M,7.271M,29.18M,,,-38.55M,9.18M,,173.15M,-50.81M,,-44.74M,,187.20M,13.73M,,153.74M,,,,3.298M,-208.89M,-205.59M,,,,-76.17M,-279.69M,1.432B,47.20M,-2.344M,1.477B,3.298M,,,-208.89M,,0.00
2009-09,54.60M,12.71M,,,,12.71M,,,20.32M,20.32M,,,,,11.31M,-6.054M,-9.12M,5.717M,20.29M,-8.916M,,,-0.07M,17.02M,,100.78M,-25.25M,,-25.25M,,46.68M,0.166M,,21.59M,,,,11.96M,-29.04M,-17.08M,,,,6.042M,-11.04M,1.308B,111.33M,12.63M,1.432B,11.96M,,,-29.04M,,19.74M
2009-06,35.77M,,,,,,,,20.87M,20.87M,,,,,14.17M,-67.24M,24.35M,0.338M,1.821M,46.46M,,,6.288M,54.91M,,82.83M,-19.82M,,-19.82M,,233.13M,17.68M,,230.99M,,,,3.812M,-21.28M,-17.46M,,,,67.14M,49.67M,942.39M,363.49M,2.477M,1.308B,3.812M,,,-21.28M,,0.00
2009-03,65.52M,,,,,,,,20.53M,20.53M,,,,,13.93M,-27.29M,-6.943M,8.464M,-29.38M,-32.18M,,,25.79M,-27.30M,,38.44M,-20.99M,,-20.99M,,2.372M,96.75M,,78.13M,,,,17.13M,-1.361M,15.77M,,,,27.29M,43.06M,789.07M,159.63M,-6.314M,942.39M,17.13M,,,-1.361M,,19.52M
2008-12,-114.64M,382.81M,,,,302.28M,17.32M,2.905M,20.23M,20.23M,,,169.80M,,14.70M,-34.45M,-309.34M,23.50M,-22.48M,73.33M,,,-1.928M,72.42M,,120.99M,-32.90M,0.00,-32.90M,,213.68M,98.20M,-11.63M,267.35M,0.00,0.00,0.00,,-50.70M,71.73M,,,-120.59M,34.57M,-14.29M,403.52M,374.05M,11.49M,789.07M,,0.00,0.00,-50.70M,,0.00
2008-09,-200.28M,0.169M,-80.42M,,,-71.13M,24.43M,5.306M,29.74M,29.74M,,,0.00,,19.04M,-7.094M,311.98M,-0.639M,17.64M,-15.34M,,,32.17M,33.83M,,116.08M,-27.32M,0.00,-27.32M,,-15.68M,0.23M,-197.71M,-240.48M,0.00,0.00,0.00,,-128.30M,-128.30M,,,28.06M,7.076M,-93.16M,621.02M,-217.56M,0.067M,403.52M,,0.00,0.00,-128.30M,,35.68M
2008-06,-68.19M,-31.80M,79.58M,,-1.761M,91.92M,29.31M,5.495M,34.80M,34.80M,,,45.79M,1.838M,29.54M,0.00,2.055M,32.21M,-20.08M,4.366M,,,23.18M,39.68M,,177.45M,-34.60M,47.56M,12.96M,,46.45M,1.378M,,60.79M,0.00,-140.00M,-140.00M,,-1.87M,-1.87M,,,46.61M,-0.723M,-95.98M,483.02M,142.25M,-4.259M,621.02M,,0.00,-140.00M,-1.87M,,
2008-03,-7.155M,-1.221M,0.836M,,1.761M,26.89M,31.85M,11.96M,43.81M,43.81M,,,,-1.838M,26.80M,,0.575M,-1.025M,14.54M,-75.55M,,,42.47M,-19.56M,,69.51M,-26.17M,1.286M,-24.88M,,14.16M,-0.168M,,-10.89M,200.00M,-60.00M,140.00M,,-1.147B,-1.147B,,,45.92M,,-960.59M,1.377B,-901.97M,8.276M,483.02M,,200.00M,-60.00M,-1.147B,,
2007-12,-225.37M,,,,,70.86M,30.86M,24.75M,55.62M,55.62M,-16.44M,,,,,,182.50M,8.93M,1.548M,93.91M,,131.56M,-96.72M,139.23M,1.357M,207.75M,-58.72M,,-58.72M,,19.16M,61.86M,-1.138M,8.375M,,,-0.909M,86.98M,-1.728M,85.25M,,,,13.93M,98.28M,1.061B,314.40M,1.008M,1.377B,86.98M,,,-1.728M,,
2007-09,19.00M,,,,,-27.81M,29.01M,29.85M,58.87M,58.87M,27.91M,,,,,,64.50M,-2.425M,2.392M,-51.90M,,,20.02M,-31.91M,-1.357M,109.21M,-46.76M,,-46.76M,,0.00,15.14M,1.65M,-17.18M,,,1.225B,219.99M,-1.155B,-934.77M,,,,-0.525M,289.31M,676.29M,381.33M,3.697M,1.061B,219.99M,,,-1.155B,,
2007-06,-4.717M,,,,,40.30M,27.39M,29.67M,57.06M,57.06M,-16.59M,,,,,,-5.009M,-64.98M,130.66M,21.42M,-75.75M,-48.03M,76.70M,40.01M,,111.06M,-32.39M,,-32.39M,,0.00,56.22M,0.851M,24.68M,,,0.00,,,,,,,0.082M,0.082M,542.24M,135.82M,-1.775M,676.29M,,,,,,
2007-03,61.75M,,,,,-75.71M,28.18M,31.79M,59.96M,59.96M,5.123M,,,,,,42.58M,-45.86M,,-127.66M,75.75M,48.03M,,-49.74M,,43.98M,-15.12M,,-15.12M,,152.64M,56.03M,1.138M,194.69M,,,-199.00M,,,,,,,0.007M,-198.99M,501.78M,39.67M,0.791M,542.24M,,,,,,
2006-12,-25.62M,,,,,-15.95M,30.67M,31.78M,62.45M,62.45M,299.14M,,,,,,37.05M,18.89M,-223.78M,-24.48M,,96.77M,-80.78M,-213.38M,,143.68M,-42.57M,,-42.57M,,-60.97M,17.52M,1.41M,-84.61M,,,-1.019M,-1.128M,0.00,-1.128M,,,,1.625M,-0.522M,444.25M,58.55M,-1.014M,501.78M,-1.128M,,,0.00,,
2006-09,15.27M,,,,,1.905M,28.17M,31.15M,59.32M,59.32M,-3.349M,,,,,,17.06M,-0.987M,-28.26M,12.09M,,,19.74M,2.583M,,92.80M,-35.48M,,-35.48M,,-121.03M,37.08M,2.976M,-116.45M,,,22.64M,13.24M,0.00,13.24M,,,,1.765M,37.65M,430.38M,13.99M,-0.129M,444.25M,13.24M,,,0.00,,
2006-06,376.79M,,,,,16.29M,25.31M,31.83M,57.15M,57.15M,-296.90M,,,,,,-2.771M,27.14M,-88.78M,-9.256M,,-40.51M,61.04M,-50.37M,,100.18M,-36.77M,,-36.77M,,-256.33M,72.66M,-2.024M,-222.47M,,,175.08M,9.86M,-60.00M,-50.14M,,,,-5.352M,119.58M,432.50M,-2.702M,0.587M,430.38M,9.86M,,,-60.00M,,
2006-03,16.49M,,,,,-20.63M,24.61M,28.00M,52.61M,52.61M,1.115M,,,,,,32.05M,16.22M,-2.71M,2.475M,,40.51M,,56.49M,,138.13M,-66.80M,,-66.80M,,-166.46M,47.42M,46.96M,-138.88M,,,-1.077M,29.56M,-75.00M,-45.44M,,,,0.538M,-45.98M,478.66M,-46.72M,0.562M,432.50M,29.56M,,,-75.00M,,
2005-12,273.92M,,,,,-1.005M,24.38M,27.74M,52.12M,52.12M,0.206M,,,,,,59.66M,47.13M,-34.94M,-10.24M,,,-1.084M,0.867M,,135.20M,-31.16M,,-31.16M,,-94.68M,62.81M,0.64M,304.83M,,,1.65M,23.81M,-291.81M,-268.00M,,,,-1.942M,-268.29M,307.45M,171.73M,-3.017M,478.66M,23.81M,,,-291.81M,,
2005-09,56.85M,,,,,-1.947M,22.35M,26.24M,48.58M,48.58M,-1.494M,,,,,,-11.67M,12.27M,22.62M,-14.08M,,,14.46M,35.26M,,125.58M,-27.44M,,-27.44M,,-40.44M,0.143M,-2.974M,-70.70M,,,-1.65M,20.75M,-214.39M,-193.64M,,,,1.54M,-193.75M,447.72M,-138.87M,-0.762M,307.45M,20.75M,,,-214.39M,,
2005-06,49.03M,,,,,20.26M,21.78M,23.94M,45.72M,45.72M,-4.987M,,,,,,-5.679M,-22.07M,-43.41M,83.54M,,-36.70M,60.78M,42.14M,,146.48M,-35.18M,,-35.18M,,-26.22M,0.922M,-2.802M,-63.28M,,,,21.48M,-42.43M,-20.95M,,,,-0.385M,-21.33M,387.87M,61.87M,-1.667M,447.72M,21.48M,,,-42.43M,,
2005-03,49.18M,,,,,2.645M,20.80M,23.72M,44.52M,44.52M,-2.038M,,,,,,0.106M,-59.99M,-13.54M,16.29M,,36.70M,,-20.55M,,73.86M,-17.05M,,-17.05M,,,-26.90M,16.70M,-27.25M,,,,14.41M,,14.41M,,,,-0.55M,13.86M,329.13M,60.48M,-1.74M,387.87M,14.41M,,,,,
