,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,308.66M,,308.66M,801.88M,801.88M,315.38M,,78.22M,1.504B,0.00,,652.12M,10.25M,151.39M,813.76M,-683.74M,130.01M,210.39M,3.99M,214.38M,85.07M,,429.45M,1.934B,,160.86M,34.14M,195.00M,268.46M,463.46M,,,0.191M,,0.191M,,,,808.88M,0.559M,,0.559M,,,14.65M,15.21M,824.08M,,0.122M,29.24M,1.087B,,,-6.409M,1.109B,,AOR,Restated
2018-03,291.99M,,291.99M,784.89M,784.89M,302.96M,,88.62M,1.468B,0.00,,652.36M,10.24M,150.18M,812.78M,-675.94M,136.84M,210.83M,4.553M,215.38M,73.18M,,425.40M,1.894B,,146.11M,50.91M,197.02M,239.52M,436.55M,,,0.187M,,0.187M,,,,764.44M,0.608M,,0.608M,,,14.02M,14.62M,779.06M,,0.124M,30.50M,1.075B,,,9.015M,1.115B,,AOR,Restated
2017-12,294.75M,,294.75M,732.40M,732.40M,292.33M,,112.38M,1.432B,0.00,,650.70M,9.907M,148.76M,809.37M,-664.48M,144.89M,210.88M,4.946M,215.83M,74.87M,,435.58M,1.867B,,126.94M,34.45M,161.39M,256.80M,418.19M,,,0.183M,,0.183M,,,,747.90M,0.657M,,0.657M,,,13.64M,14.29M,762.19M,,0.124M,37.03M,1.065B,,,3.507M,1.105B,,AOR,Restated
2017-09,348.34M,,348.34M,737.90M,737.90M,277.75M,,73.33M,1.437B,0.00,,650.79M,9.702M,144.59M,805.09M,-658.48M,146.61M,210.88M,5.882M,216.76M,132.16M,,495.53M,1.933B,,132.34M,60.21M,192.55M,274.74M,467.29M,,,0.179M,,0.179M,,,,778.35M,0.704M,,0.704M,,,13.98M,14.69M,793.03M,,0.125M,84.42M,1.054B,,,1.704M,1.140B,,AOR,Restated
2017-06,297.80M,,297.80M,708.49M,708.49M,264.27M,,76.54M,1.347B,0.00,,650.24M,9.76M,141.03M,801.02M,-647.46M,153.56M,210.39M,6.255M,216.65M,118.82M,,489.03M,1.836B,,127.66M,53.90M,181.57M,245.30M,426.86M,,,0.175M,,0.175M,,,,719.44M,0.75M,,0.75M,,,11.56M,12.31M,731.75M,,0.126M,66.63M,1.043B,,,-5.506M,1.104B,,AOR,Restated
2017-03,260.14M,,260.14M,700.42M,700.42M,252.45M,,82.91M,1.296B,0.00,,650.76M,10.24M,137.54M,798.54M,-640.76M,157.78M,209.92M,3.37M,213.30M,108.21M,,479.29M,1.775B,,117.31M,49.04M,166.35M,238.59M,404.94M,,,0.171M,,0.171M,,,,682.60M,0.795M,,0.795M,,,10.87M,11.67M,694.27M,,0.127M,64.19M,1.032B,,,-15.64M,1.081B,,AOR,Restated
2016-12,260.20M,,260.20M,703.23M,703.23M,236.37M,,84.43M,1.284B,0.00,,645.71M,9.993M,133.54M,789.24M,-627.73M,161.51M,209.79M,3.671M,213.46M,118.76M,,493.74M,1.778B,,135.54M,29.18M,164.72M,243.30M,408.02M,,,0.167M,,0.167M,,,,679.90M,0.84M,,0.84M,,,10.64M,11.48M,691.37M,,0.128M,84.56M,1.022B,,,-20.50M,1.087B,,AOR,Restated
2016-09,292.45M,,292.45M,742.82M,742.82M,228.45M,156.43M,73.41M,1.494B,0.00,,641.38M,10.19M,131.31M,782.88M,-621.66M,161.22M,209.95M,3.981M,213.93M,,3.265M,378.41M,1.872B,,156.30M,31.47M,187.77M,276.90M,464.67M,,,0.163M,,0.163M,,,,729.68M,0.883M,,0.883M,,,46.49M,47.38M,777.05M,,0.129M,90.33M,1.012B,,,-7.239M,1.095B,,AOR,Restated
2016-06,238.71M,,238.71M,732.19M,732.19M,216.45M,147.92M,72.84M,1.408B,0.00,,627.33M,10.27M,127.90M,765.49M,-608.32M,157.17M,210.07M,4.306M,214.38M,,3.348M,374.90M,1.783B,,151.18M,24.13M,175.31M,245.27M,420.58M,,,0.16M,,0.16M,,,,668.18M,0.925M,,0.925M,,,44.40M,45.32M,713.50M,,0.13M,74.92M,1.001B,,,-6.501M,1.070B,,AOR,Restated
2016-03,214.12M,,214.12M,734.38M,734.38M,207.99M,145.40M,78.32M,1.380B,0.00,,612.65M,10.03M,122.60M,745.29M,-597.35M,147.93M,209.12M,4.22M,213.34M,,3.394M,364.66M,1.745B,,139.03M,64.57M,203.60M,214.29M,417.89M,,,0.156M,,0.156M,,,,655.32M,0.966M,,0.966M,,,43.63M,44.59M,699.91M,,0.131M,57.70M,989.42M,,,-2.308M,1.045B,,AOR,Restated
2015-12,224.58M,,224.58M,704.64M,704.64M,198.26M,,70.52M,1.198B,0.00,,598.52M,9.56M,118.49M,726.57M,-583.66M,142.91M,208.58M,4.508M,213.09M,,117.05M,473.05M,1.671B,,148.11M,28.44M,176.55M,240.79M,417.34M,,,0.153M,,0.153M,,,,655.55M,1.007M,,1.007M,,,10.71M,11.71M,667.26M,,0.131M,34.47M,979.48M,,,-10.29M,1.004B,,AOR,Restated
2015-09,251.82M,,251.82M,731.57M,731.57M,188.65M,141.74M,69.60M,1.383B,0.00,,595.67M,9.30M,112.99M,717.96M,-588.73M,129.23M,197.99M,,197.99M,,4.679M,331.90M,1.715B,,134.99M,48.63M,183.62M,286.03M,469.66M,,,0.15M,,0.15M,,,,664.17M,1.046M,,1.046M,,,43.58M,44.63M,708.80M,,0.133M,47.73M,964.84M,,,-6.227M,1.006B,,AOR,Restated
2015-06,313.13M,,313.13M,687.03M,687.03M,188.95M,137.04M,71.28M,1.397B,0.00,,585.08M,9.317M,113.69M,708.09M,-583.44M,124.65M,198.71M,,198.71M,,2.404M,325.77M,1.723B,,152.90M,57.91M,210.81M,233.69M,444.50M,,,0.146M,,0.146M,,,,663.80M,1.085M,,1.085M,,,43.64M,44.73M,708.52M,,0.134M,59.59M,953.80M,,,1.151M,1.015B,,AOR,Restated
2015-03,260.88M,,260.88M,661.25M,661.25M,182.69M,128.97M,82.49M,1.316B,0.00,,570.42M,9.279M,110.76M,690.46M,-570.11M,120.35M,198.26M,,198.26M,,2.389M,321.00M,1.637B,,141.70M,59.45M,201.15M,194.29M,395.44M,,,0.143M,,0.143M,,,,607.70M,1.123M,,1.123M,,,43.84M,44.96M,652.66M,,0.135M,47.36M,942.36M,,,-5.232M,984.62M,,AOR,Restated
2014-12,287.12M,,287.12M,657.68M,657.68M,172.24M,133.15M,73.10M,1.323B,0.00,,577.54M,9.045M,113.78M,700.37M,-578.61M,121.75M,199.49M,,199.49M,,2.742M,323.98M,1.647B,,175.11M,,175.11M,240.28M,415.39M,,,0.14M,,0.14M,,,,623.36M,1.159M,,1.159M,,,42.89M,44.05M,667.41M,,0.135M,36.84M,928.16M,,,14.73M,979.86M,,AOR,Restated
2014-09,290.88M,,290.88M,657.10M,657.10M,174.36M,126.89M,65.28M,1.315B,0.00,,560.97M,8.99M,113.73M,683.69M,-573.98M,109.71M,200.07M,,200.07M,,2.726M,312.51M,1.627B,,142.66M,38.46M,181.12M,314.09M,495.21M,,,0.137M,,0.137M,,,,623.90M,1.196M,,1.196M,,,29.33M,30.52M,654.43M,,0.136M,34.39M,912.98M,,,25.08M,972.58M,,AOR,Restated
2014-06,307.78M,,307.78M,617.20M,617.20M,161.17M,118.64M,69.13M,1.274B,0.00,,558.38M,8.704M,114.83M,681.92M,-572.00M,109.92M,200.89M,,200.89M,,3.719M,314.53M,1.588B,,128.51M,36.79M,165.30M,288.97M,454.27M,,,0.134M,,0.134M,,,,580.89M,1.231M,,1.231M,,,30.76M,31.99M,612.88M,,0.137M,35.44M,899.63M,,,40.36M,975.56M,,AOR,Restated
2014-03,267.74M,,267.74M,587.25M,587.25M,155.02M,111.57M,65.75M,1.187B,0.00,,554.81M,11.93M,119.79M,686.53M,-574.94M,111.59M,200.50M,0.222M,200.72M,,3.709M,316.01M,1.503B,,137.94M,33.54M,171.48M,240.89M,412.36M,,,0.131M,,0.131M,,,,537.55M,1.266M,,1.266M,,,32.37M,33.64M,571.18M,,0.137M,6.837M,886.70M,,,38.48M,932.15M,,AOR,Restated
2013-12,275.76M,,275.76M,551.90M,551.90M,149.39M,112.88M,82.59M,1.173B,0.00,,548.50M,11.49M,118.87M,678.86M,-566.21M,112.64M,200.83M,0.556M,201.39M,,3.71M,317.74M,1.490B,,139.68M,34.66M,174.34M,184.08M,358.42M,,,0.128M,,0.128M,,,,535.85M,1.30M,,1.30M,,,33.48M,34.78M,570.63M,,0.137M,13.32M,868.12M,,,38.07M,919.64M,,AOR,Restated
2013-09,279.75M,,279.75M,566.08M,566.08M,141.83M,113.28M,65.28M,1.166B,0.00,,530.69M,11.36M,116.72M,658.76M,-555.96M,102.80M,201.02M,0.956M,201.98M,,3.711M,308.49M,1.475B,,144.06M,34.30M,178.36M,247.54M,425.89M,,,0.125M,,0.125M,,,,551.93M,1.333M,,1.333M,,,22.66M,23.99M,575.92M,,0.138M,11.64M,847.72M,,,39.29M,898.78M,,AOR,Restated
2013-06,246.97M,,246.97M,557.31M,557.31M,132.99M,110.53M,71.30M,1.119B,0.00,,520.98M,11.47M,114.01M,646.45M,-544.51M,101.94M,200.52M,1.389M,201.91M,,5.372M,309.22M,1.428B,,127.48M,43.61M,171.10M,239.84M,410.93M,,,0.122M,,0.122M,,,,534.90M,1.365M,,1.365M,,,30.31M,31.68M,566.57M,,0.139M,0.059M,829.04M,,,32.52M,861.75M,,AOR,Restated
2013-03,225.35M,,225.35M,547.50M,547.50M,129.24M,104.22M,70.08M,1.076B,0.00,,516.77M,12.94M,120.26M,649.96M,-546.59M,103.37M,200.84M,1.822M,202.66M,,5.313M,311.34M,1.388B,,127.77M,49.24M,177.01M,198.11M,375.12M,,,1.811M,,1.811M,,,,499.08M,1.397M,,1.397M,,,32.74M,34.14M,533.22M,,0.14M,0.00,816.38M,,,38.01M,854.52M,,AOR,Restated
2012-12,287.64M,,287.64M,512.85M,512.85M,97.54M,102.99M,63.67M,1.065B,0.00,,516.87M,12.88M,122.06M,651.82M,-544.14M,107.68M,201.34M,2.256M,203.60M,,5.311M,316.59M,1.381B,,139.88M,44.24M,184.12M,196.57M,380.69M,,,0.117M,,0.117M,,,,501.64M,1.428M,,1.428M,,,36.20M,37.62M,539.26M,,0.139M,0.00,798.09M,,,43.78M,842.01M,,AOR,Restated
2012-09,289.43M,,289.43M,556.59M,556.59M,,106.97M,151.84M,1.105B,0.00,,508.93M,13.23M,119.21M,641.37M,-536.18M,105.18M,190.92M,0.466M,191.39M,,5.309M,301.88M,1.407B,,141.91M,24.32M,166.23M,366.30M,532.52M,0.117M,,0.117M,,0.117M,,,,532.64M,1.458M,,1.458M,,,36.74M,38.19M,570.84M,,0.141M,8.685M,784.33M,,,42.72M,835.87M,,AOR,Restated
2012-06,258.58M,,258.58M,531.85M,531.85M,,101.64M,148.60M,1.041B,0.00,,501.57M,13.00M,116.84M,631.41M,-525.91M,105.50M,190.39M,0.567M,190.96M,,7.276M,303.74M,1.344B,,123.71M,25.73M,149.43M,346.77M,496.20M,0.114M,,0.114M,,0.114M,,,,496.32M,1.487M,,1.487M,,,37.24M,38.72M,535.04M,,0.142M,0.00,770.71M,,,38.51M,809.36M,,AOR,Restated
2012-03,244.45M,,244.45M,523.45M,523.45M,,88.86M,149.78M,1.007B,0.00,,494.37M,12.74M,115.16M,622.27M,-517.79M,104.49M,189.85M,0.027M,189.88M,,7.727M,302.09M,1.309B,,110.25M,13.78M,124.02M,330.78M,454.80M,0.112M,,0.112M,,0.112M,,,,454.91M,1.516M,,1.516M,,,36.53M,38.05M,492.96M,,0.142M,0.00,770.58M,,,44.96M,815.68M,,AOR,Restated
2011-12,279.34M,,279.34M,493.33M,493.33M,87.65M,88.58M,57.79M,1.007B,0.00,,481.38M,15.14M,113.97M,610.49M,-502.52M,107.97M,189.42M,0.05M,189.47M,,7.713M,305.16M,1.312B,,117.60M,63.01M,180.61M,181.04M,361.64M,,,0.111M,,0.111M,,,,473.00M,1.545M,,1.545M,,,36.78M,38.33M,511.33M,,0.142M,0.00,759.48M,,,40.89M,800.50M,,AOR,Restated
2011-09,242.73M,,242.73M,516.05M,516.05M,,105.06M,141.16M,1.005B,0.00,,483.82M,15.06M,114.33M,613.20M,-506.78M,106.42M,189.39M,0.094M,189.48M,7.639M,,303.54M,1.309B,,120.89M,19.98M,140.87M,,140.87M,0.115M,,0.115M,,0.115M,,,,483.40M,1.572M,,1.572M,,,31.62M,33.19M,516.58M,,0.143M,0.00,748.28M,,,43.52M,791.95M,,AOR,Restated
2011-06,261.07M,,261.07M,495.38M,495.38M,,99.07M,139.59M,995.11M,0.00,,480.92M,15.14M,117.89M,613.95M,-506.65M,107.30M,190.49M,0.141M,190.63M,8.741M,,306.67M,1.302B,,110.97M,18.48M,129.46M,,129.46M,0.119M,,0.119M,,0.119M,,,,453.23M,1.60M,,1.60M,,,30.32M,31.92M,485.15M,,0.145M,0.00,758.35M,,,58.13M,816.63M,,AOR,Restated
2011-03,281.83M,,281.83M,466.54M,466.54M,,98.61M,137.66M,984.64M,0.00,,474.70M,15.05M,116.68M,606.43M,-500.33M,106.10M,190.38M,0.18M,190.56M,9.296M,,305.95M,1.291B,,110.80M,11.52M,122.32M,,122.32M,0.123M,,0.123M,,0.123M,,,,420.44M,1.626M,,1.626M,,,28.57M,30.20M,450.64M,,0.147M,0.00,785.26M,,,54.55M,839.96M,,AOR,Restated
2010-12,315.14M,,315.14M,423.18M,423.18M,,92.09M,141.46M,971.86M,0.00,,463.90M,14.72M,116.24M,594.86M,-491.21M,103.65M,189.79M,0.219M,190.01M,8.467M,,302.12M,1.274B,,,,93.69M,314.65M,408.34M,0.123M,,0.123M,,0.123M,,,,408.46M,1.656M,,1.656M,,,29.50M,31.15M,439.61M,,0.146M,0.00,787.10M,,,47.12M,834.37M,,AOR,Restated
2010-09,311.06M,,311.06M,427.77M,427.77M,,101.94M,129.90M,970.68M,0.00,,459.78M,14.75M,117.74M,592.28M,-488.50M,103.78M,189.31M,0.031M,189.34M,20.44M,,313.56M,1.284B,,106.94M,14.18M,121.13M,283.47M,404.60M,0.12M,,0.12M,,0.12M,,,,404.72M,1.688M,,1.688M,,,27.49M,29.17M,433.89M,,0.147M,0.00,802.76M,,,47.43M,850.34M,,AOR,Restated
2010-06,290.04M,,290.04M,384.64M,384.64M,,94.16M,128.78M,897.62M,0.00,,457.35M,14.97M,116.55M,588.87M,-480.56M,108.32M,188.61M,0.077M,188.69M,19.64M,,316.65M,1.214B,,96.63M,1.597M,98.23M,259.32M,357.54M,0.118M,,0.118M,,0.118M,,,,357.66M,1.719M,,1.719M,,,26.07M,27.79M,385.45M,,0.148M,0.00,797.77M,,,30.90M,828.82M,,AOR,Restated
2010-03,349.36M,,349.36M,373.48M,373.48M,,183.61M,,906.45M,0.00,,478.68M,15.30M,126.80M,620.77M,-503.81M,116.97M,189.30M,0.123M,189.42M,58.21M,,364.59M,1.271B,,93.89M,1.885M,95.78M,250.71M,346.48M,0.116M,,0.116M,,0.116M,,,,346.60M,1.749M,,1.749M,,,25.93M,27.68M,374.28M,,0.15M,0.00,855.96M,,,40.66M,896.77M,,AOR,Restated
2009-12,365.79M,,365.79M,362.39M,362.39M,,51.64M,142.80M,922.63M,0.00,,473.82M,15.25M,127.61M,616.68M,-492.03M,124.66M,189.34M,0.392M,189.73M,46.52M,,360.90M,1.284B,,,,101.61M,265.24M,366.86M,0.113M,,0.113M,,0.113M,,,,366.97M,1.779M,,1.779M,,,14.98M,16.76M,383.72M,,0.149M,0.00,854.08M,,,45.58M,899.81M,,AOR,Restated
2009-09,407.64M,,407.64M,364.53M,364.53M,,189.38M,,961.55M,0.00,,503.27M,15.34M,126.38M,644.98M,-515.24M,129.74M,189.12M,0.673M,189.80M,45.15M,,364.69M,1.326B,,,,104.26M,257.73M,361.99M,0.111M,,0.111M,,0.111M,,,,362.10M,1.808M,,1.808M,,,14.34M,16.15M,378.25M,,0.151M,0.00,896.93M,,,50.92M,948.00M,,AOR,Restated
2009-06,385.82M,,385.82M,374.02M,374.02M,,192.65M,,952.49M,0.00,,505.70M,15.84M,125.29M,646.83M,-509.54M,137.29M,188.45M,0.954M,189.40M,44.64M,,371.32M,1.324B,,,,,,95.22M,0.109M,,0.109M,,0.109M,,,,346.64M,1.836M,,1.836M,,,14.17M,16.00M,362.64M,,0.152M,0.00,919.36M,,,41.66M,961.17M,,AOR,Restated
2009-03,359.31M,,359.31M,412.12M,412.12M,,199.34M,,970.77M,0.00,,520.08M,16.14M,122.23M,658.45M,-516.85M,141.60M,187.10M,1.234M,188.34M,44.41M,,374.35M,1.345B,,,,111.30M,253.81M,365.10M,0.107M,,0.107M,,0.107M,,,,365.21M,1.865M,,1.865M,,,13.61M,15.47M,380.68M,,0.152M,0.00,939.25M,,,25.03M,964.43M,,AOR,Restated
2008-12,354.76M,,354.76M,484.81M,484.81M,,61.96M,131.38M,1.033B,0.00,,551.11M,16.11M,121.86M,689.09M,-543.39M,145.70M,187.53M,1.852M,189.38M,43.87M,,378.95M,1.412B,,,,111.64M,301.10M,412.75M,0.105M,,0.105M,,0.105M,,,,412.85M,1.892M,,1.892M,,,13.22M,15.11M,427.96M,,0.151M,0.00,949.47M,,,34.26M,983.89M,,AOR,Restated
2008-09,373.69M,,373.69M,586.76M,586.76M,,171.86M,,1.132B,0.00,122.52M,290.28M,277.40M,,690.20M,-541.41M,148.78M,189.67M,2.47M,192.14M,50.71M,,391.64M,1.524B,,121.40M,,121.40M,345.81M,467.21M,0.103M,,0.103M,,0.103M,,,0.183M,467.50M,3.541M,,3.541M,,,13.86M,17.40M,484.90M,,0.155M,23.57M,964.60M,,,50.72M,1.039B,,,Restated
2008-06,357.05M,,357.05M,631.32M,631.32M,,50.76M,115.87M,1.155B,0.00,123.42M,291.27M,269.89M,,684.58M,-531.49M,153.09M,190.88M,3.088M,193.96M,49.50M,,396.56M,1.552B,,127.97M,,127.97M,372.92M,500.89M,0.101M,,0.101M,,0.101M,,,14.84M,515.83M,3.633M,,3.633M,,,14.06M,17.70M,533.52M,,0.155M,,941.26M,7.758M,68.85M,76.61M,1.018B,,,Restated
2008-03,356.06M,,356.06M,622.62M,622.62M,,46.34M,108.23M,1.133B,0.00,118.86M,286.85M,264.57M,,670.28M,-519.79M,150.49M,190.78M,3.706M,194.48M,48.12M,,393.10M,1.526B,,113.27M,,113.27M,343.45M,456.72M,0.375M,,0.375M,,0.375M,,,24.70M,481.80M,3.644M,,3.644M,,,13.62M,17.27M,499.06M,,0.159M,,952.15M,,,74.99M,1.027B,,,Restated
2007-12,310.00M,,310.00M,593.17M,593.17M,,55.52M,100.95M,1.060B,0.00,,524.24M,16.09M,113.65M,653.99M,-501.68M,152.31M,191.07M,4.075M,195.14M,43.21M,,390.66M,1.450B,,108.07M,16.25M,124.32M,323.26M,447.58M,0.37M,,0.37M,,0.37M,,,,447.95M,3.753M,,3.753M,,,14.54M,18.30M,466.25M,,0.158M,0.00,915.04M,,,68.85M,984.05M,,,Restated
2007-09,328.66M,,328.66M,628.25M,628.25M,,50.22M,92.96M,1.100B,0.00,109.20M,275.11M,250.35M,,634.67M,-486.03M,148.64M,190.84M,4.827M,195.67M,43.13M,,387.43M,1.488B,,119.05M,,119.05M,344.21M,463.26M,0.366M,,0.366M,,0.366M,,,24.90M,488.52M,3.748M,,3.748M,,,12.01M,15.76M,504.28M,,0.161M,,917.00M,,,66.08M,983.24M,,,
2007-06,389.60M,,389.60M,591.57M,591.57M,,44.88M,91.53M,1.118B,0.00,103.90M,266.93M,244.15M,,614.98M,-467.98M,147.00M,189.93M,5.568M,195.50M,37.82M,,380.31M,1.498B,,116.05M,,116.05M,346.63M,462.68M,0.361M,,0.361M,,0.361M,,,13.29M,476.33M,3.663M,,3.663M,,,12.34M,16.00M,492.34M,,0.164M,,953.01M,,,52.38M,1.006B,,,
2007-03,449.90M,,449.90M,561.11M,561.11M,,40.35M,83.64M,1.135B,0.00,98.29M,256.92M,236.09M,,591.30M,-450.96M,140.33M,177.28M,1.267M,178.55M,35.48M,,354.36M,1.489B,,105.89M,,105.89M,310.73M,416.62M,0.367M,,0.367M,,0.367M,,,13.04M,430.02M,3.825M,,3.825M,,,10.91M,14.74M,444.76M,,0.167M,,1.003B,,,41.54M,1.045B,,,
2006-12,447.48M,,447.48M,531.82M,531.82M,,55.07M,77.99M,1.112B,0.00,94.77M,250.13M,224.64M,,569.53M,-437.45M,132.08M,177.12M,1.54M,178.66M,35.92M,,346.67M,1.459B,,99.48M,,99.48M,294.32M,393.81M,0.363M,,0.363M,,0.363M,,,8.568M,402.74M,3.831M,,3.831M,,,9.779M,13.61M,416.35M,,0.168M,,1.004B,,,38.58M,1.043B,,,
