,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,109.32M,,,16.15M,0.442M,16.59M,16.59M,-11.88M,11.39M,,11.39M,-30.79M,41.58M,9.368M,,,20.16M,147.75M,,-9.296M,,,,,-9.242M,-18.54M,,-0.046M,-0.046M,,-69.51M,-69.51M,-34.07M,-34.07M,,,-103.62M,,291.99M,25.58M,-8.914M,308.66M,,,-0.046M,-69.51M,,,,AOR,Restated
2018-03,96.17M,,,16.25M,0.463M,16.72M,16.72M,1.695M,10.56M,,10.56M,-49.79M,40.60M,-1.495M,,,-10.69M,116.22M,,-7.965M,,,,,-10.58M,-18.55M,,-0.044M,-0.044M,,-68.49M,-68.49M,-34.92M,-34.92M,,,-103.45M,,294.75M,-5.784M,3.018M,291.99M,,,-0.044M,-68.49M,,,,AOR,Restated
2017-12,47.05M,,,16.01M,0.416M,16.43M,16.43M,57.40M,11.03M,,11.03M,4.771M,-59.89M,-14.96M,,,-70.07M,64.53M,,-12.21M,,,0.539M,,-12.75M,-24.42M,,-0.043M,-0.043M,,-64.38M,-64.38M,-29.92M,-29.92M,,,-94.35M,,348.34M,-54.24M,0.657M,294.75M,,,-0.043M,-64.38M,,,,AOR,Restated
2017-09,84.70M,,,16.07M,0.481M,16.55M,16.55M,-13.33M,10.44M,,10.44M,-25.19M,48.80M,6.524M,,,30.14M,130.40M,,-7.354M,,,-0.056M,,-8.592M,-16.00M,,-0.042M,-0.042M,,-38.10M,-38.10M,-29.63M,-29.63M,,,-67.77M,,297.80M,46.63M,3.908M,348.34M,,,-0.042M,-38.10M,,,,AOR,Restated
2017-06,80.32M,,,15.95M,0.365M,16.31M,16.31M,-10.54M,10.87M,,10.87M,-0.92M,28.90M,7.892M,,,35.88M,134.56M,,-10.85M,,,-1.643M,,-10.31M,-22.80M,,-0.041M,-0.041M,,-48.56M,-48.56M,-30.85M,-30.85M,,,-79.45M,,260.14M,32.31M,5.343M,297.80M,,,-0.041M,-48.56M,,,,AOR,Restated
2017-03,78.52M,,,15.90M,0.301M,16.20M,16.20M,10.56M,9.857M,,9.857M,4.296M,20.36M,-17.99M,,,6.669M,123.50M,,-10.34M,,,,,-4.939M,-15.27M,,-0.041M,-0.041M,,-80.69M,-80.69M,-30.60M,-30.60M,,,-111.32M,,260.20M,-3.099M,3.041M,260.14M,,,-0.041M,-80.69M,,,,AOR,Restated
2016-12,77.79M,,,16.31M,0.309M,16.62M,16.62M,6.669M,9.896M,-1.01M,8.886M,23.84M,-59.82M,1.817M,,,-34.17M,81.66M,,-19.68M,,,-0.30M,,-9.244M,-29.22M,,-0.04M,-0.04M,,-49.70M,-49.70M,-28.20M,-28.20M,0.00,1.01M,-76.94M,,292.45M,-24.50M,-7.754M,260.20M,,,-0.04M,-49.70M,,,,AOR,Restated
2016-09,90.57M,,,16.06M,0.326M,16.39M,16.39M,-6.467M,10.71M,-0.01M,10.70M,-10.39M,54.34M,-2.023M,,,41.93M,153.23M,,-19.54M,,,-0.50M,,-6.584M,-26.62M,,-0.039M,-0.039M,,-44.78M,-44.78M,-28.07M,-28.07M,0.145M,0.01M,-72.73M,,238.71M,53.87M,-0.132M,292.45M,,,-0.039M,-44.78M,,,,AOR,Restated
2016-06,91.62M,,,15.59M,0.314M,15.90M,15.90M,-1.235M,11.74M,-0.407M,11.34M,-3.951M,9.779M,3.273M,,,9.101M,128.71M,,-24.93M,,,-1.40M,,-5.894M,-32.22M,,-0.037M,-0.037M,,-41.36M,-41.36M,-29.15M,-29.15M,0.018M,0.407M,-70.12M,,214.12M,26.36M,-1.768M,238.71M,,,-0.037M,-41.36M,,,,AOR,Restated
2016-03,83.42M,,,15.12M,0.288M,15.41M,15.41M,-0.835M,10.35M,-0.395M,9.953M,-25.38M,7.177M,-12.48M,,,-30.68M,78.49M,,-18.81M,,,,,-5.357M,-24.17M,,-0.038M,-0.038M,,-40.18M,-40.18M,-28.75M,-28.75M,0.06M,0.395M,-68.51M,,224.58M,-14.19M,3.736M,214.12M,,,-0.038M,-40.18M,,,,AOR,Restated
2015-12,93.44M,,,13.79M,0.192M,13.98M,13.98M,-1.667M,10.75M,-4.117M,6.635M,20.76M,-17.82M,-2.24M,,,0.697M,118.00M,,-26.78M,,,-14.67M,,-8.647M,-50.10M,,-0.036M,-0.036M,,-69.93M,-69.93M,-27.39M,-27.39M,0.018M,4.117M,-93.22M,,251.82M,-25.32M,-1.918M,224.58M,,,-0.036M,-69.93M,,,,AOR,Restated
2015-09,96.72M,,,12.92M,0.00,12.92M,12.92M,-5.926M,10.85M,-0.014M,10.84M,-52.47M,27.09M,1.507M,,,-23.87M,93.85M,,-18.75M,,,0.00,,-6.565M,-25.32M,,-0.035M,-0.035M,,-96.99M,-96.99M,-26.29M,-26.29M,0.177M,0.014M,-123.12M,,313.13M,-54.59M,-6.72M,251.82M,,,-0.035M,-96.99M,,,,AOR,Restated
2015-06,89.71M,,,13.56M,0.00,13.56M,13.56M,-9.025M,10.84M,-0.375M,10.47M,-21.60M,56.64M,0.781M,,,35.82M,141.92M,,-16.18M,,,0.00,,-5.558M,-21.74M,,-0.035M,-0.035M,,-45.02M,-45.02M,-26.51M,-26.51M,0.221M,0.375M,-70.97M,,260.88M,49.21M,3.035M,313.13M,,,-0.035M,-45.02M,,,,AOR,Restated
2015-03,77.92M,,,13.01M,0.00,13.01M,13.01M,8.039M,8.843M,-4.256M,4.587M,-22.43M,14.27M,-13.46M,,,-21.62M,84.48M,,-13.35M,,,,,-7.455M,-20.80M,,-0.034M,-0.034M,,-59.20M,-59.20M,-27.38M,-27.38M,1.113M,4.256M,-81.24M,,287.12M,-17.56M,-8.677M,260.88M,,,-0.034M,-59.20M,,,,AOR,Restated
2014-12,84.05M,,,12.95M,0.00,12.95M,12.95M,7.524M,10.86M,-5.53M,5.331M,-11.66M,-21.03M,2.608M,,,-30.08M,82.88M,,-26.62M,,,,,-7.591M,-34.21M,,-0.033M,-0.033M,,-29.14M,-29.14M,-24.85M,-24.85M,1.638M,5.53M,-46.86M,,290.88M,1.805M,-5.562M,287.12M,,,-0.033M,-29.14M,,,,AOR,Restated
2014-09,85.18M,,,12.11M,0.00,12.11M,12.11M,-8.024M,10.81M,-0.386M,10.42M,-54.60M,46.69M,-0.154M,,,-8.063M,93.68M,,-13.12M,,,,,-8.414M,-21.54M,,-0.032M,-0.032M,,-59.52M,-59.52M,-24.10M,-24.10M,2.058M,0.386M,-81.21M,,307.78M,-9.062M,-7.84M,290.88M,,,-0.032M,-59.52M,,,,AOR,Restated
2014-06,75.14M,,,11.86M,0.224M,12.09M,12.09M,-5.853M,10.38M,-0.551M,9.824M,-29.75M,45.35M,-3.103M,,,12.49M,104.91M,,-10.64M,,,,,-4.523M,-15.16M,,-0.032M,-0.032M,,-30.13M,-30.13M,-24.26M,-24.26M,1.952M,0.551M,-51.92M,,267.74M,37.83M,2.214M,307.78M,,,-0.032M,-30.13M,,,,AOR,Restated
2014-03,61.55M,,,12.20M,0.333M,12.53M,12.53M,2.71M,8.774M,-0.707M,8.067M,-38.91M,17.09M,-7.273M,,,-29.09M,59.22M,,-12.44M,,,,,-5.283M,-17.73M,,-0.031M,-0.031M,,-35.02M,-35.02M,-24.39M,-24.39M,8.676M,0.707M,-50.07M,,275.76M,-8.568M,0.541M,267.74M,,,-0.031M,-35.02M,,,,AOR,Restated
2013-12,66.88M,,,12.08M,0.40M,12.48M,12.48M,10.28M,10.31M,-6.539M,3.769M,13.34M,-12.43M,2.542M,,,3.454M,98.16M,,-21.61M,,,,,-5.573M,-27.18M,,-0.066M,-0.066M,,-61.19M,-61.19M,-23.58M,-23.58M,3.39M,6.539M,-74.90M,,279.75M,-3.926M,-0.057M,275.76M,,,-0.066M,-61.19M,,,,AOR,Restated
2013-09,66.36M,,,11.67M,0.433M,12.10M,12.10M,-10.25M,10.58M,-0.284M,10.30M,-6.288M,-0.142M,5.937M,,,-0.493M,81.12M,,-13.01M,,,,,-5.403M,-18.42M,,-0.042M,-0.042M,,-20.40M,-20.40M,-21.73M,-21.73M,7.499M,0.284M,-34.39M,,246.97M,28.32M,4.456M,279.75M,,,-0.042M,-20.40M,,,,AOR,Restated
2013-06,63.09M,,,11.58M,0.434M,12.01M,12.01M,-9.169M,9.768M,-0.288M,9.48M,-12.15M,32.92M,5.451M,,,26.22M,102.05M,,-11.02M,,,,,-3.407M,-14.43M,,-1.745M,-1.745M,,-40.71M,-40.71M,-21.86M,-21.86M,2.458M,0.288M,-61.57M,,225.35M,26.05M,-4.429M,246.97M,,,-1.745M,-40.71M,,,,AOR,Restated
2013-03,55.86M,,,11.75M,0.433M,12.18M,12.18M,-4.117M,8.208M,-0.992M,7.216M,-42.60M,6.081M,-9.382M,,,-45.90M,27.88M,,-8.082M,,,,,-29.67M,-37.75M,,-2.643M,-2.643M,,-45.67M,-45.67M,-22.02M,-22.02M,19.94M,0.992M,-49.41M,,287.64M,-59.27M,-3.011M,225.35M,,,-2.643M,-45.67M,,,,AOR,Restated
2012-12,58.62M,,,12.00M,0.211M,12.21M,12.21M,4.551M,10.57M,-5.371M,5.202M,47.22M,-24.39M,-4.975M,,,17.86M,97.92M,,-14.24M,,,-12.87M,,-2.825M,-29.93M,,-0.031M,-0.031M,,-59.33M,-59.33M,-21.44M,-21.44M,5.096M,5.371M,-70.33M,,289.43M,-2.338M,0.545M,287.64M,,,-0.031M,-59.33M,136.02M,0.405M,,AOR,Restated
2012-09,57.66M,,,12.04M,0.10M,12.14M,12.14M,-5.571M,10.69M,-0.209M,10.48M,-24.26M,20.68M,1.823M,,,-1.754M,75.97M,,-11.60M,,,-0.041M,,-2.156M,-13.80M,,-0.021M,-0.021M,,-16.09M,-16.09M,-20.82M,-20.82M,2.452M,0.209M,-34.26M,,258.58M,27.90M,2.949M,289.43M,,,-0.021M,-16.09M,,,,AOR,Restated
2012-06,45.33M,,,12.03M,0.052M,12.09M,12.09M,-12.42M,11.32M,-0.457M,10.86M,-15.80M,46.63M,3.063M,,,33.89M,92.07M,,-13.84M,,,-1.484M,,-2.118M,-17.44M,,-0.023M,-0.023M,,-44.99M,-44.99M,-20.86M,-20.86M,9.31M,0.457M,-56.10M,,244.45M,18.53M,-4.406M,258.58M,,,-0.023M,-44.99M,-7.028M,-0.107M,,AOR,Restated
2012-03,48.33M,,,12.25M,0.035M,12.28M,12.28M,-1.554M,8.886M,-2.438M,6.448M,-28.52M,-11.09M,-5.007M,,,-44.62M,23.21M,,-10.37M,,,,,-1.478M,-11.85M,,-0.032M,-0.032M,,-56.39M,-56.39M,-21.02M,-21.02M,26.08M,2.438M,-48.92M,,279.34M,-37.56M,2.676M,244.45M,,,-0.032M,-56.39M,7.028M,0.107M,,AOR,Restated
2011-12,,,,12.75M,0.035M,12.79M,12.79M,24.34M,12.71M,-3.124M,-60.60M,18.18M,-15.68M,,,7.608M,4.572M,96.65M,,-14.83M,,,,,-2.055M,-16.88M,,0.001M,0.001M,,-27.71M,-27.71M,,-20.28M,3.03M,3.124M,-41.84M,,242.73M,37.93M,-1.32M,279.34M,,,0.001M,-27.71M,31.56M,0.127M,,AOR,Restated
2011-09,,,,12.81M,0.039M,12.84M,12.84M,-0.405M,12.75M,-0.143M,44.17M,-33.97M,40.73M,,,-5.815M,0.944M,71.79M,,-13.33M,,0.00,,,-2.027M,-15.36M,,-0.032M,-0.032M,,-48.85M,-48.85M,,-19.72M,1.586M,0.143M,-66.87M,,261.07M,-10.44M,-7.905M,242.73M,,,-0.032M,-48.85M,25.61M,0.136M,,AOR,Restated
2011-06,,,,12.95M,0.04M,12.99M,12.99M,1.046M,13.33M,-0.323M,34.82M,-26.80M,32.11M,,,-0.548M,4.76M,68.93M,,-13.81M,,0.00,,,-1.77M,-15.58M,,-0.03M,-0.03M,,-60.58M,-60.58M,,-20.01M,4.032M,0.323M,-76.27M,,281.83M,-22.92M,2.159M,261.07M,,,-0.03M,-60.58M,15.04M,0.135M,,AOR,Restated
2011-03,,,,12.76M,0.039M,12.80M,12.80M,-7.827M,12.11M,-0.621M,28.31M,-38.72M,14.14M,,,-1.245M,-25.82M,18.95M,,-14.56M,,,,,-1.015M,-15.58M,,-0.03M,-0.03M,,-30.97M,-30.97M,,-20.29M,9.661M,0.621M,-41.01M,,315.14M,-37.64M,4.328M,281.83M,,,-0.03M,-30.97M,4.212M,0.138M,,AOR,Restated
2010-12,66.07M,,,13.18M,0.049M,13.23M,13.23M,22.32M,13.91M,-4.897M,10.03M,3.181M,-1.188M,,,-11.59M,3.679M,74.41M,,-13.04M,,,,,-2.812M,-16.44M,,-0.029M,-0.029M,,-72.27M,-72.27M,,-18.98M,32.28M,4.897M,-54.10M,,311.06M,3.869M,0.212M,315.14M,,,-0.029M,-72.27M,14.71M,0.145M,,AOR,Restated
2010-09,-20.66M,,,13.46M,0.047M,13.51M,13.51M,-7.766M,14.09M,-0.208M,12.86M,-35.91M,37.96M,,,4.892M,6.938M,50.49M,,-7.637M,,,,,-1.221M,-8.858M,,-0.029M,-0.029M,,-11.43M,-11.43M,,-18.98M,0.692M,0.208M,-29.53M,,290.04M,12.10M,8.915M,311.06M,,,-0.029M,-11.43M,10.70M,0.153M,,AOR,Restated
2010-06,20.66M,,,13.99M,0.046M,14.03M,14.03M,-0.34M,14.96M,-0.288M,19.94M,-19.09M,16.84M,,,-2.563M,-4.812M,36.46M,,-6.136M,,,,,-0.03M,-6.166M,,-0.028M,-0.028M,,-67.86M,-67.86M,,-19.04M,2.189M,0.288M,-84.45M,,349.36M,-54.15M,-5.169M,290.04M,,,-0.028M,-67.86M,10.87M,0.149M,,AOR,Restated
2010-03,,,,14.92M,0.269M,15.19M,15.19M,-6.842M,14.16M,-0.421M,8.475M,-16.18M,-10.50M,,,9.263M,-17.42M,14.52M,,-8.276M,,,,,0.639M,-7.637M,,-0.027M,-0.027M,,-3.904M,-3.904M,,-19.59M,3.196M,0.421M,-19.91M,,365.79M,-13.02M,-3.406M,349.36M,,,-0.027M,-3.904M,1.974M,0.152M,,AOR,Restated
2009-12,13.53M,,,15.56M,0.281M,15.84M,15.84M,3.152M,15.24M,-2.379M,1.399M,1.279M,-53.03M,62.37M,,-9.592M,1.029M,47.80M,,-10.25M,,,,,-1.355M,-11.60M,,-0.027M,-0.027M,,-63.21M,-63.21M,,-17.76M,2.815M,2.379M,-75.80M,,407.64M,-39.60M,-2.248M,365.79M,,,-0.027M,-63.21M,11.34M,0.121M,,AOR,Restated
2009-09,9.531M,,,15.46M,0.281M,15.74M,15.74M,0.787M,15.23M,-0.595M,-0.789M,15.44M,71.78M,-62.37M,,2.09M,26.94M,66.84M,,-6.852M,,,,,-2.11M,-8.962M,,-0.027M,-0.027M,,-28.93M,-28.93M,,-18.11M,4.229M,0.595M,-42.24M,,385.82M,15.64M,6.186M,407.64M,,,-0.027M,-28.93M,3.729M,0.108M,,AOR,Restated
2009-06,5.416M,,,16.52M,0.28M,16.80M,16.80M,-0.348M,15.95M,-1.601M,-1.648M,50.46M,-23.66M,,,16.06M,42.86M,77.44M,,-10.24M,,,,,-1.902M,-12.15M,,-0.026M,-0.026M,,-49.63M,-49.63M,,-18.19M,17.62M,1.601M,-48.62M,,359.31M,16.67M,9.841M,385.82M,,,-0.026M,-49.63M,-1.901M,0.105M,,AOR,Restated
2009-03,8.788M,,,16.26M,0.618M,16.88M,16.88M,2.161M,14.74M,-0.176M,0.199M,66.36M,-51.14M,,,-9.75M,5.479M,48.07M,,-13.90M,,,,,0.648M,-13.26M,,-0.025M,-0.025M,,-8.041M,-8.041M,,-18.10M,0.286M,0.176M,-25.70M,,354.76M,9.11M,-4.557M,359.31M,,,-0.025M,-8.041M,8.586M,0.107M,,AOR,Restated
2008-12,39.01M,,,16.71M,0.74M,17.45M,17.45M,3.62M,16.22M,-3.644M,5.541M,86.47M,-50.61M,,,-0.297M,35.56M,113.76M,,-17.93M,,0.00,,,-14.05M,-31.98M,,-1.635M,-1.635M,,-76.67M,-76.67M,,-16.60M,0.382M,3.644M,-90.88M,,373.69M,-9.104M,-9.832M,354.76M,,,-1.635M,-76.67M,-156.44M,-0.364M,,AOR,Restated
2008-09,65.82M,,,17.98M,0.618M,18.60M,18.60M,-8.222M,17.80M,0.092M,-21.93M,19.76M,-25.15M,,,1.693M,-3.696M,95.58M,,-16.65M,,0.00,,,-1.196M,-17.85M,,-0.024M,-0.024M,,-33.54M,-33.54M,,-17.12M,5.032M,-0.092M,-45.75M,,357.05M,31.99M,-15.35M,373.69M,,,-0.024M,-33.54M,62.22M,0.121M,,,Restated
2008-06,74.57M,,,18.29M,0.618M,18.91M,18.91M,-5.874M,17.76M,0.794M,30.83M,-11.66M,24.10M,,,-3.032M,9.412M,119.28M,,-22.41M,,0.00,,,-3.89M,-26.30M,,-0.30M,-0.30M,,-76.93M,-76.93M,,-17.34M,1.16M,-0.794M,-94.21M,,356.06M,-1.225M,2.208M,357.05M,,,-0.30M,-76.93M,64.90M,0.121M,,,Restated
2008-03,70.78M,,,17.61M,0.641M,18.25M,18.25M,4.433M,16.90M,-0.93M,3.693M,-27.28M,33.47M,,,-0.82M,5.368M,118.50M,,-16.70M,,-0.272M,,,-1.977M,-18.68M,,-0.021M,-0.021M,,-58.35M,-58.35M,,-17.54M,20.91M,0.93M,-54.08M,,310.00M,45.74M,0.32M,356.06M,,,-0.021M,-58.35M,29.32M,0.122M,,,Restated
2007-12,78.82M,,,17.76M,0.754M,18.52M,18.52M,-5.012M,,,-27.88M,32.93M,-3.472M,,-37.31M,-4.235M,-12.09M,100.72M,,-20.23M,83.07M,,,,-2.466M,-22.70M,,,-0.021M,-48.62M,-84.99M,-133.61M,,-16.06M,,-0.405M,-97.70M,,328.66M,-19.68M,1.028M,310.00M,,-48.62M,,-84.99M,,,,,Restated
2007-09,73.96M,,,17.84M,0.748M,18.58M,18.58M,-10.53M,,,17.09M,-32.00M,-6.111M,,13.71M,1.694M,-22.71M,76.39M,,-17.21M,-17.21M,,,,-3.52M,-20.73M,,,-0.019M,5.429M,-115.90M,-110.47M,,-16.21M,,1.766M,-124.93M,,389.60M,-69.27M,8.323M,328.66M,,5.429M,,-115.90M,,,,,
2007-06,72.73M,,,17.33M,0.818M,18.15M,18.15M,-6.875M,,,11.74M,-24.86M,43.69M,,10.15M,-4.301M,24.68M,120.42M,,-41.76M,-41.76M,,,,-4.224M,-45.98M,,,-0.295M,28.71M,-160.51M,-131.80M,,-16.37M,,5.655M,-142.81M,,449.90M,-68.37M,8.07M,389.60M,,28.71M,,-160.51M,,,,,
2007-03,70.71M,,,15.92M,0.274M,16.19M,16.19M,15.18M,,,10.41M,-30.80M,21.68M,,13.45M,-3.133M,1.204M,113.69M,,-24.10M,-24.10M,,,,-2.739M,-26.84M,,,-0.017M,14.48M,-91.55M,-77.07M,,-16.88M,,7.674M,-86.29M,,447.48M,0.557M,1.866M,449.90M,,14.48M,,-91.55M,,,,,
2006-12,75.37M,,,15.26M,0.246M,15.51M,15.51M,-13.28M,,,-1.061M,8.133M,-10.77M,,1.53M,3.989M,2.88M,79.42M,,-22.41M,-22.41M,,,,-1.399M,-23.81M,,,-0.017M,35.24M,-78.52M,-43.28M,,-13.48M,,16.86M,-39.92M,,431.66M,15.70M,0.126M,447.48M,,35.24M,,-78.52M,,,,,
2006-09,73.65M,,,15.17M,0.231M,15.40M,15.40M,-6.506M,,,14.30M,-28.97M,12.48M,,12.24M,-3.219M,-7.477M,89.36M,,-20.62M,-20.62M,,,,-1.224M,-21.85M,,,-0.015M,3.989M,-156.43M,-152.44M,,-13.38M,,2.09M,-163.75M,,528.46M,-96.24M,-0.565M,431.66M,,3.989M,,-156.43M,,,,,
2006-06,68.66M,,2.004M,14.84M,0.228M,15.07M,15.07M,-7.395M,,,2.885M,-26.40M,19.89M,,33.39M,-1.919M,24.97M,106.18M,,-19.20M,-19.20M,,,,-0.036M,-19.24M,,,-0.305M,37.43M,-74.25M,-36.82M,,-13.80M,,12.31M,-38.63M,,472.65M,48.32M,7.486M,528.46M,,37.43M,,-74.25M,,,,,
2006-03,65.50M,,-2.004M,14.96M,0.146M,15.11M,15.11M,7.861M,,,,-28.21M,27.95M,,19.00M,-3.963M,14.78M,101.25M,,-30.17M,-30.17M,,,,-0.959M,-31.13M,,,-0.011M,28.72M,-90.61M,-61.90M,,-13.74M,,18.67M,-56.97M,,458.36M,13.15M,1.144M,472.65M,,28.72M,,-90.61M,,,,,
2005-12,64.61M,,-28.61M,13.56M,-19.38M,-5.823M,-5.823M,-5.605M,,,,1.134M,-14.75M,,-8.75M,3.358M,-19.01M,89.94M,,-25.22M,-25.22M,,,0.00,3.47M,-21.75M,,,-0.013M,32.83M,-47.73M,-14.89M,,-11.98M,,,-26.89M,,420.73M,41.31M,-3.677M,458.36M,,32.83M,,-47.73M,,,,,
2005-09,64.44M,,20.28M,13.90M,8.05M,21.95M,21.95M,-13.79M,,,,-42.94M,13.64M,,-10.16M,0.904M,-38.56M,54.32M,,-19.53M,-19.53M,,,0.00,-2.766M,-22.30M,,,-0.034M,31.24M,-76.86M,-45.62M,,-11.90M,,,-57.55M,,441.06M,-25.52M,5.192M,420.73M,,31.24M,,-76.86M,,,,,
2005-06,57.23M,,-3.317M,11.83M,11.59M,23.42M,23.42M,6.915M,,,,-6.423M,34.65M,,0.70M,-2.605M,26.32M,110.57M,,-8.822M,-8.822M,,,22.58M,-3.559M,10.20M,,,0.777M,2.438M,-96.94M,-94.50M,,-11.83M,,,-105.55M,,430.00M,15.22M,-4.163M,441.06M,,2.438M,,-96.94M,,,,,
