,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2015-06,144.00M,-5.00M,,-8.00M,1.00M,7.00M,11.00M,6.00M,,118.00M,3.00M,0.00,8.00M,-31.00M,2.00M,42.00M,9.00M,66.00M,,,,367.00M,,2015-06,-108.00M,,,4.00M,,12.00M,,2015-06,0.00,,0.00,,-154.00M,-154.00M,,,-149.00M,-11.00M,,2.00M,-312.00M,,1.158B,-37.00M,1.121B,,2015-06,,0.00,-154.00M,4.00M,58.00M,,2015-06,AOR,Restated
2015-03,101.00M,-16.00M,,29.00M,10.00M,6.00M,10.00M,39.00M,,123.00M,13.00M,13.00M,8.00M,-37.00M,-14.00M,-57.00M,-11.00M,-91.00M,,,,87.00M,,2015-03,-89.00M,,,-30.00M,,,,2015-03,0.00,,0.00,,-253.00M,-253.00M,,,-152.00M,,,15.00M,-390.00M,,1.58B,-422.00M,1.158B,,2015-03,,0.00,-253.00M,1.00M,114.00M,,2015-03,AOR,Restated
2014-12,177.00M,76.00M,,12.00M,,,-48.00M,-20.00M,,125.00M,35.00M,1.00M,11.00M,-33.00M,56.00M,-20.00M,11.00M,-22.00M,,,0.00,325.00M,,2014-12,-156.00M,,239.00M,-24.00M,,56.00M,,2014-12,0.00,17.00M,17.00M,,-80.00M,-80.00M,,,-152.00M,-22.00M,35.00M,-39.00M,-241.00M,,1.62B,-40.00M,1.58B,,2014-12,,0.00,-80.00M,0.00,66.00M,,2014-12,AOR,Restated
2014-09,1.164B,-1.002B,,13.00M,,,-13.00M,-1.002B,,123.00M,45.00M,0.00,9.00M,-35.00M,33.00M,8.00M,13.00M,21.00M,,,-26.00M,353.00M,,2014-09,-105.00M,,-105.00M,711.00M,,18.00M,,2014-09,0.00,-11.00M,-11.00M,,-123.00M,-123.00M,,,-154.00M,-11.00M,30.00M,4.00M,-265.00M,,908.00M,712.00M,1.62B,,2014-09,,0.00,-123.00M,0.00,100.00M,,2014-09,AOR,Restated
2014-06,291.00M,-21.00M,,-12.00M,,,-44.00M,-77.00M,,126.00M,89.00M,1.00M,11.00M,-44.00M,-50.00M,34.00M,-7.00M,-17.00M,,,-35.00M,322.00M,,2014-06,-83.00M,,-83.00M,1.00M,,-11.00M,,2014-06,887.00M,0.00,887.00M,,0.00,0.00,,,-128.00M,-11.00M,39.00M,-888.00M,-101.00M,,780.00M,128.00M,908.00M,,2014-06,,887.00M,0.00,0.00,52.00M,,2014-06,AOR,Restated
2014-03,194.00M,-25.00M,,14.00M,,,-47.00M,-58.00M,,126.00M,36.00M,0.00,9.00M,-39.00M,66.00M,-88.00M,15.00M,-80.00M,,,-72.00M,109.00M,,2014-03,-51.00M,,-51.00M,19.00M,,-14.00M,,2014-03,,-6.00M,-6.00M,,0.00,0.00,,,-129.00M,,15.00M,2.00M,-118.00M,,835.00M,-55.00M,780.00M,,2014-03,,,0.00,0.00,101.00M,,2014-03,AOR,Restated
2013-12,54.00M,-16.00M,,1.00M,,,22.00M,6.00M,,129.00M,-102.00M,367.00M,8.00M,-16.00M,15.00M,-13.00M,-17.00M,-96.00M,,,13.00M,348.00M,,2013-12,-110.00M,,-110.00M,5.00M,0.00,-6.00M,,2013-12,-677.00M,-1.00M,-678.00M,0.00,0.00,0.00,0.00,0.00,-128.00M,-23.00M,21.00M,9.00M,-799.00M,,1.397B,-562.00M,835.00M,,2013-12,0.00,550.00M,0.00,8.00M,91.00M,,2013-12,AOR,Restated
2013-09,167.00M,-21.00M,,-2.00M,,,27.00M,4.00M,,120.00M,24.00M,2.00M,12.00M,-58.00M,20.00M,36.00M,-3.00M,77.00M,,,-58.00M,343.00M,,2013-09,-69.00M,,-69.00M,-1.58B,0.00,2.00M,,2013-09,331.00M,1.00M,332.00M,116.00M,0.00,116.00M,0.00,0.00,-128.00M,0.00,9.00M,10.00M,339.00M,,2.362B,-965.00M,1.397B,,2013-09,116.00M,494.00M,0.00,0.00,109.00M,,2013-09,AOR,Restated
2013-06,198.00M,-14.00M,,4.00M,,,28.00M,18.00M,,111.00M,23.00M,3.00M,10.00M,-50.00M,67.00M,32.00M,-10.00M,34.00M,,,-62.00M,374.00M,,2013-06,-47.00M,,-47.00M,8.00M,22.00M,-12.00M,,2013-06,-21.00M,4.00M,-17.00M,781.00M,,781.00M,669.00M,669.00M,-109.00M,0.00,51.00M,3.00M,1.378B,,639.00M,1.723B,2.362B,,2013-06,1.45B,0.00,,0.00,55.00M,,2013-06,AOR,Restated
2013-03,144.00M,-7.00M,,4.00M,,,24.00M,21.00M,,112.00M,26.00M,,12.00M,-34.00M,-135.00M,-68.00M,-14.00M,-66.00M,,,-59.00M,-61.00M,,2013-03,-35.00M,,-35.00M,6.00M,,-13.00M,,2013-03,-156.00M,3.00M,-153.00M,,,,,,-93.00M,,81.00M,9.00M,-156.00M,,898.00M,-259.00M,639.00M,,2013-03,,,,0.00,111.00M,,2013-03,AOR,Restated
2012-12,142.00M,-30.00M,,2.00M,,,20.00M,-8.00M,,118.00M,40.00M,5.00M,9.00M,-46.00M,2.00M,-20.00M,-5.00M,-5.00M,,,20.00M,252.00M,,2012-12,-59.00M,,-59.00M,44.00M,110.00M,-6.00M,,2012-12,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,-92.00M,,39.00M,2.00M,-51.00M,,608.00M,290.00M,898.00M,,2012-12,0.00,0.00,,0.00,61.00M,,2012-12,AOR,Restated
2012-09,117.00M,-22.00M,,-10.00M,,,19.00M,-13.00M,,112.00M,62.00M,7.00M,10.00M,-8.00M,-101.00M,-22.00M,-9.00M,14.00M,,,-47.00M,122.00M,,2012-09,-75.00M,,-75.00M,12.00M,-97.00M,-6.00M,,2012-09,-181.00M,-12.00M,-193.00M,0.00,,0.00,0.00,0.00,-81.00M,,66.00M,-1.00M,-209.00M,,861.00M,-253.00M,608.00M,,2012-09,0.00,0.00,,0.00,122.00M,,2012-09,AOR,Restated
