,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,2.103B,248.53B,250.63B,11.11B,827.00M,,11.11B,,261.74B,,,,,38.54B,262.65B,14.56B,310.84B,499.14B,,,,,,,,,,,,,,33.62B,33.62B,,,,,78.10B,20.04B,,565.00M,,131.76B,435.79B,,4.766B,22.67B,80.84B,47.71B,,,,2.22B,62.79B,,AOR,Restated
2017-12,2.362B,249.38B,251.74B,10.25B,734.00M,,10.25B,,261.99B,,1.594B,,1.594B,37.02B,264.45B,14.03B,311.35B,498.30B,,,,,,,,,,,,,,31.64B,31.64B,,,,,78.39B,19.03B,,537.00M,,129.06B,432.59B,,4.766B,21.46B,81.08B,47.60B,,,,5.465B,65.17B,,AOR,Restated
2017-09,2.433B,247.55B,249.98B,11.16B,867.00M,,11.16B,,261.14B,,,,,36.09B,262.44B,20.95B,308.64B,503.07B,,,,,,,,,,,,,,31.04B,31.04B,,,,,80.09B,20.14B,,544.00M,,131.26B,430.06B,,4.766B,28.39B,80.98B,47.60B,,,,5.939B,72.47B,,AOR,Restated
2017-06,2.517B,247.38B,249.90B,10.92B,893.00M,,10.92B,,260.82B,,,,,34.64B,262.97B,20.17B,307.23B,499.76B,,,,,,,,,,,,,,31.81B,31.81B,,,,,76.42B,19.99B,,592.00M,,128.23B,425.44B,,4.766B,30.42B,80.91B,47.33B,,,,4.962B,73.73B,,AOR,Restated
2017-03,1.918B,241.77B,243.69B,11.13B,1.158B,,11.13B,,254.82B,,,,,33.88B,257.98B,20.88B,302.25B,500.16B,,,,,,,,,,,,,,30.75B,30.75B,,,,,76.05B,19.84B,,598.00M,,126.64B,425.50B,,4.766B,29.59B,80.85B,44.92B,,,,3.781B,74.07B,,AOR,Restated
2016-12,1.868B,253.84B,255.71B,10.46B,2.003B,,10.46B,,266.17B,,1.528B,,1.528B,33.24B,270.40B,21.33B,314.26B,498.26B,,,,,,,,,,,,,,30.91B,30.91B,,,,,77.08B,19.63B,,558.00M,,127.62B,421.41B,,4.766B,28.71B,81.06B,41.47B,,,,3.23B,76.30B,,AOR,Restated
2016-09,2.498B,271.39B,273.89B,11.61B,2.336B,,11.61B,,285.50B,,,,,32.41B,288.21B,18.41B,331.97B,514.57B,,,,,,,,,,,,,,32.28B,32.28B,,,,,72.49B,21.05B,,502.00M,,125.81B,425.40B,,4.766B,32.08B,81.28B,38.52B,,,,9.057B,88.66B,,AOR,Restated
2016-06,1.784B,274.42B,276.21B,12.08B,2.512B,,12.08B,,288.28B,,,,,31.26B,292.06B,18.54B,335.32B,510.35B,,,,,,,,,,,,,,33.33B,33.33B,,,,,74.14B,22.16B,,591.00M,,129.64B,419.81B,,4.766B,31.95B,81.23B,36.26B,,,,8.259B,89.95B,,AOR,Restated
2016-03,1.499B,264.70B,266.20B,12.41B,2.865B,,12.41B,,278.61B,,,,,30.68B,283.69B,20.12B,325.77B,502.78B,,,,,,,,,,,,,,31.95B,31.95B,,,,,73.95B,22.06B,,563.00M,,127.96B,413.70B,,4.766B,30.40B,81.42B,33.58B,,,,5.525B,88.52B,,AOR,Restated
2015-12,1.629B,258.38B,260.01B,11.45B,2.143B,,11.45B,,271.46B,,1.613B,,1.613B,29.56B,279.00B,20.39B,319.68B,496.84B,,,,,,,,,,,,,,29.25B,29.25B,,,,,74.94B,21.32B,,552.00M,,125.51B,406.63B,,4.766B,30.94B,81.51B,30.10B,,,,2.537B,89.66B,,AOR,Restated
2015-09,1.569B,265.36B,266.93B,12.08B,4.793B,,12.08B,,279.01B,,,,,28.24B,287.04B,19.51B,326.55B,501.98B,,,,,,,,,,,,,,30.72B,30.72B,,,,,71.44B,22.69B,,620.00M,,124.84B,402.37B,,4.766B,33.12B,81.44B,26.88B,,,,6.557B,99.00B,,AOR,Restated
2015-06,1.937B,268.93B,270.87B,13.26B,4.616B,,13.26B,,285.38B,,,,,27.14B,291.61B,18.66B,328.18B,509.99B,,,,,,,,,,,,,,30.36B,30.36B,,,,,72.94B,22.79B,1.546B,384.00M,,127.63B,405.34B,,4.766B,33.71B,81.33B,23.16B,,,,7.62B,104.26B,,AOR,Restated
2015-03,1.823B,272.78B,274.61B,13.45B,3.476B,,13.45B,,289.68B,,,,,25.31B,296.66B,18.01B,332.11B,520.70B,,,,,,,,,,,,,,32.00B,32.00B,,,,,74.49B,22.44B,2.651B,388.00M,,131.58B,412.33B,,4.766B,32.07B,81.30B,20.82B,,,,10.66B,107.98B,,AOR,Restated
2014-12,1.758B,271.10B,272.86B,12.03B,2.364B,,12.03B,,284.89B,,1.454B,,1.454B,24.99B,296.26B,19.34B,331.38B,515.58B,,,,,,,,,,,,,,31.22B,31.22B,,,,,77.26B,21.32B,,374.00M,,129.80B,408.31B,,4.766B,29.78B,80.96B,19.22B,,,,10.62B,106.90B,,AOR,Restated
2014-09,1.933B,283.64B,285.57B,13.24B,2.80B,,13.24B,,300.40B,,,,,23.40B,309.13B,19.61B,341.53B,527.19B,,,,,,,,,,,,,,36.22B,36.22B,,,,,78.67B,23.70B,2.502B,402.00M,0.00,141.09B,418.21B,,4.766B,29.30B,80.90B,17.72B,,,,11.33B,108.58B,,AOR,Restated
2014-06,1.827B,287.19B,289.02B,14.08B,2.669B,,14.08B,,304.71B,,,,,22.94B,313.39B,19.91B,344.52B,529.11B,,,,,,,,,,,,,,38.41B,38.41B,,,,,79.98B,23.69B,2.416B,420.00M,0.00,144.50B,420.53B,,4.766B,27.29B,80.97B,16.37B,,,,11.51B,108.16B,,AOR,Restated
2014-03,2.49B,280.60B,283.08B,14.27B,2.12B,,14.27B,,298.96B,,,,,21.57B,306.92B,21.63B,336.36B,547.11B,,,,,,,,,,,,,,39.51B,39.51B,,,,,81.16B,23.38B,3.039B,560.00M,27.00M,147.11B,442.72B,,4.766B,24.39B,80.98B,15.39B,,,,9.085B,103.83B,,AOR,Restated
2013-12,2.241B,279.89B,282.13B,12.94B,1.74B,,12.94B,,296.74B,,1.475B,,1.475B,20.76B,307.00B,21.92B,336.27B,541.33B,,,,,,,,,,,,,,41.69B,41.69B,,,,,81.55B,21.95B,2.511B,611.00M,30.00M,147.73B,440.25B,,4.766B,22.96B,80.90B,14.52B,,,,6.36B,100.47B,,AOR,Restated
2013-09,2.058B,282.36B,284.42B,13.72B,2.122B,,13.72B,,299.85B,,,,,19.71B,309.43B,21.67B,336.97B,540.74B,,,,,,,,,,,,,,42.23B,42.23B,,,,,83.23B,23.61B,2.722B,656.00M,66.00M,151.85B,441.30B,,4.766B,21.14B,80.50B,14.12B,,,,6.509B,98.79B,,AOR,Restated
2013-06,1.762B,281.44B,283.21B,14.20B,2.319B,,14.20B,,300.21B,,,,,19.86B,309.14B,20.04B,337.38B,537.44B,,,,,,,,,,,,,,42.61B,42.61B,,,,,84.05B,23.58B,3.124B,692.00M,80.00M,153.45B,439.28B,,4.766B,19.11B,80.47B,13.92B,,,,7.039B,97.46B,,AOR,Restated
2013-03,1.227B,293.59B,294.81B,15.31B,2.418B,,15.31B,,313.41B,,,,,19.49B,321.25B,17.74B,348.92B,548.88B,,,,,,,,,,,,,,45.27B,45.27B,,,,,85.77B,24.20B,3.711B,663.00M,388.00M,159.34B,448.70B,,4.766B,16.38B,80.46B,13.92B,,,,11.84B,99.52B,,AOR,Restated
2012-12,1.151B,298.77B,299.92B,13.99B,2.742B,,13.99B,,317.58B,,1.469B,,1.469B,19.48B,327.22B,17.47B,355.23B,548.63B,,,,,,,,,,,,,,48.50B,48.50B,,,,,87.99B,22.54B,4.061B,667.00M,334.00M,163.42B,449.96B,,4.766B,14.18B,80.41B,13.92B,,,,12.57B,98.00B,,AOR,Restated
2012-09,1.608B,22.56B,24.16B,14.56B,,,28.68B,,52.85B,,,,,19.33B,320.43B,,354.91B,550.72B,,,,,,,,,,,,,,73.75B,73.75B,,,,,87.41B,24.42B,4.314B,907.00M,,189.89B,448.15B,,4.766B,18.17B,81.77B,13.92B,,,,10.89B,101.67B,,AOR,Restated
2012-06,1.232B,24.36B,25.60B,14.55B,,,14.55B,,43.90B,,,,,19.39B,321.35B,16.20B,358.21B,555.38B,,,,,,,,,,,,,,73.90B,73.90B,,,,,87.87B,24.46B,4.138B,932.00M,,190.36B,449.74B,,4.766B,16.31B,81.76B,5.926B,,,,7.791B,104.71B,,AOR,Restated
2012-03,1.315B,20.79B,22.10B,15.65B,,,15.65B,,41.97B,,,,,19.52B,314.78B,15.96B,344.88B,554.40B,,,,,,,,,,,,,,76.10B,76.10B,,,126.38B,,89.78B,25.03B,4.222B,1.014B,,321.51B,449.94B,,4.766B,13.98B,81.77B,3.942B,,,,6.873B,103.45B,,AOR,Restated
2011-12,1.474B,286.55B,288.03B,14.72B,2.886B,,14.72B,,307.25B,35.54B,1.373B,,1.373B,19.49B,314.67B,19.62B,378.37B,553.05B,,,,,,,,,,,,,,75.25B,75.25B,,,,,91.14B,23.46B,4.733B,855.00M,8.523B,203.12B,450.66B,,4.766B,10.77B,80.46B,942.00M,,,,6.481B,101.54B,,AOR,Restated
2011-09,1.542B,29.10B,30.64B,15.59B,,,15.59B,,46.23B,,,,,19.28B,316.94B,,354.32B,544.26B,,,1.612B,,1.612B,1.612B,,,,,,,1.612B,77.39B,77.39B,,,,,93.78B,25.95B,5.066B,10.18B,,202.19B,448.05B,,4.764B,-5.466B,81.78B,872.00M,,,,5.829B,86.03B,,AOR,Restated
2011-06,2.59B,30.49B,33.08B,16.63B,,,16.63B,,54.35B,,,,,19.25B,311.11B,,410.75B,616.80B,,,,,,,,,,,1.337B,1.337B,1.337B,79.46B,79.46B,,,,,94.93B,26.20B,5.347B,12.52B,,205.94B,511.59B,,4.761B,-1.357B,81.06B,872.00M,,,,9.093B,92.68B,,AOR,Restated
2011-03,1.801B,38.87B,40.67B,17.51B,,,17.51B,,63.18B,,,,,19.69B,308.53B,,397.64B,611.25B,,,,,,,,,,,1.908B,1.908B,1.908B,82.17B,82.17B,,,122.78B,,94.98B,26.34B,5.50B,12.42B,,331.76B,513.80B,,4.508B,-3.202B,77.70B,873.00M,,,,6.896B,85.03B,,AOR,Restated
2010-12,1.558B,43.74B,45.30B,15.71B,,,15.71B,,66.93B,,,,,20.24B,309.46B,0.00,380.13B,683.44B,,,,,,,,,,,,,,106.46B,106.46B,2.369B,2.369B,,,91.15B,23.80B,5.735B,28.35B,,229.52B,569.77B,,72.35B,-3.466B,9.683B,873.00M,71.98B,,,7.624B,85.32B,,AOR,Restated
2010-09,1.668B,34.46B,36.13B,17.04B,1.262B,,17.04B,,60.80B,43.11B,1.447B,,1.447B,24.20B,376.26B,53.00M,461.63B,871.96B,,3.38B,3.455B,,6.835B,6.835B,,,,,,,6.835B,113.89B,113.89B,,,936.00M,4.064B,86.30B,24.63B,6.455B,29.90B,,236.27B,761.22B,,72.34B,-14.49B,5.864B,873.00M,71.98B,,,18.00B,80.84B,,AOR,Restated
2010-06,2.84B,39.11B,41.95B,18.33B,17.86B,,18.33B,,60.28B,3.608B,2.64B,,2.64B,42.68B,398.38B,3.999B,472.95B,850.53B,,705.00M,,7.719B,8.424B,8.424B,,0.00,0.00,0.00,,,8.424B,134.74B,134.74B,,,950.00M,4.282B,85.60B,24.83B,5.716B,29.18B,,256.13B,745.88B,,72.34B,-12.12B,6.297B,873.00M,71.98B,,,9.829B,75.47B,,AOR,Restated
2010-03,2.133B,38.80B,40.93B,18.72B,18.91B,,18.72B,6.46B,73.49B,3.259B,2.565B,,2.565B,41.44B,329.48B,6.805B,643.80B,863.70B,,708.00M,,6.878B,7.586B,7.586B,2.285B,,2.285B,2.285B,,,9.871B,137.14B,137.14B,,,143.96B,3.876B,86.49B,26.35B,6.296B,28.66B,,404.12B,760.04B,,72.34B,-9.871B,6.356B,874.00M,71.98B,,,7.053B,75.00B,,AOR,Restated
2009-12,4.40B,47.26B,51.66B,16.55B,20.33B,,16.55B,,77.34B,4.142B,6.195B,,6.195B,47.79B,461.90B,4.108B,548.13B,847.58B,,4.393B,4.95B,,9.343B,9.343B,4.739B,,4.739B,4.739B,0.00,0.00,14.08B,136.73B,136.73B,,,1.641B,4.535B,85.39B,21.36B,5.403B,29.21B,,255.06B,748.55B,,70.14B,-11.49B,6.358B,874.00M,69.78B,,,5.693B,69.82B,,AOR,Restated
2009-09,4.957B,55.17B,60.13B,15.48B,31.98B,1.246B,16.73B,,87.58B,4.543B,5.847B,,5.847B,31.98B,492.27B,4.966B,561.01B,844.34B,,2.254B,,9.65B,11.90B,11.90B,9.607B,,9.607B,9.607B,,,21.51B,163.21B,163.21B,,,3.181B,5.401B,81.60B,23.13B,5.292B,4.983B,,281.80B,766.65B,,68.01B,-2.618B,14.66B,8.273B,67.65B,,,925.00M,72.71B,,AOR,Restated
2009-06,5.802B,59.34B,65.14B,17.38B,25.34B,817.00M,18.20B,,83.34B,4.984B,6.439B,,6.439B,57.72B,468.01B,11.14B,576.97B,830.41B,,2.886B,,9.925B,12.81B,12.81B,197.00M,,197.00M,197.00M,,,13.01B,179.50B,179.50B,,,2.687B,5.966B,82.09B,23.37B,4.876B,4.175B,,298.48B,768.28B,,372.00M,-3.073B,80.26B,8.314B,4.00M,,,-11.29B,57.96B,,AOR,Restated
2009-03,4.029B,53.41B,57.44B,18.05B,27.69B,1.108B,19.16B,,76.60B,5.346B,6.798B,,6.798B,61.06B,457.41B,14.81B,571.52B,819.76B,,2.579B,,8.778B,11.36B,11.36B,196.00M,,196.00M,196.00M,,,11.55B,187.01B,187.01B,,,4.093B,6.198B,87.40B,24.69B,3.196B,7.45B,,312.59B,766.55B,,7.391B,-16.71B,72.32B,8.382B,21.00M,,,-8.86B,45.76B,,AOR,Restated
2008-12,8.642B,46.67B,55.31B,21.09B,30.82B,,21.09B,,90.17B,5.566B,6.952B,,6.952B,65.64B,466.28B,11.73B,573.77B,860.42B,,2.133B,,9.104B,11.24B,11.24B,613.00M,,613.00M,613.00M,,,11.85B,192.59B,192.59B,,,4.498B,10.83B,89.26B,25.74B,6.238B,8.095B,,329.15B,799.61B,,40.37B,-12.37B,39.49B,8.45B,40.00B,,,-6.328B,52.71B,,AOR,Restated
2008-09,18.57B,52.48B,71.05B,19.11B,33.72B,,19.11B,,100.19B,5.73B,10.33B,,10.33B,33.72B,526.59B,14.83B,711.37B,1.022T,,5.556B,,11.00B,16.56B,16.56B,5.60B,,5.60B,5.60B,0.00,0.00,22.16B,218.95B,218.95B,,,5.946B,45.37B,90.88B,28.45B,6.325B,11.71B,100.00M,396.01B,939.34B,,7.37B,49.29B,32.50B,8.50B,,,,-9.48B,71.18B,,AOR,Restated
2008-06,2.229B,69.49B,71.72B,20.05B,33.31B,,20.05B,,103.32B,5.692B,10.66B,,10.66B,67.70B,572.56B,8.211B,747.12B,1.050T,,4.12B,0.00,11.17B,15.29B,15.29B,15.06B,,15.06B,15.06B,,,30.35B,163.58B,163.58B,,,6.165B,78.24B,88.75B,28.74B,24.23B,11.15B,100.00M,389.80B,960.64B,,7.37B,73.74B,9.446B,8.568B,,,,-3.903B,78.09B,,AOR,Restated
2008-03,2.489B,61.67B,64.16B,20.44B,,2.762B,23.20B,,87.36B,5.635B,10.18B,,10.18B,34.37B,518.97B,,901.66B,1.051T,,88.80B,0.00,,88.80B,88.80B,,13.26B,13.26B,13.26B,,,102.06B,145.65B,145.65B,,,5.662B,9.674B,491.55B,28.89B,,10.83B,,681.42B,960.45B,,6.878B,79.73B,2.938B,8.395B,,,,-1.271B,79.70B,,AOR,Restated
2007-12,2.284B,51.35B,53.64B,18.40B,31.23B,672.00M,19.07B,,86.81B,5.518B,9.414B,,9.414B,64.96B,566.43B,0.00,662.54B,1.048T,,8.946B,,11.19B,20.13B,20.13B,13.11B,,13.11B,13.11B,3.823B,3.823B,37.07B,162.94B,162.94B,,,4.903B,86.67B,85.50B,27.70B,18.03B,10.52B,,385.75B,942.04B,,6.878B,89.03B,2.848B,6.685B,,,,4.643B,95.80B,,AOR,Restated
2007-09,2.249B,48.46B,50.71B,18.20B,,,18.20B,,68.90B,6.093B,8.909B,,8.909B,7.822B,110.51B,,888.25B,1.072T,,100.19B,9.288B,,109.48B,109.48B,10.12B,,10.12B,10.12B,,,119.60B,151.09B,151.09B,,,4.737B,23.37B,222.56B,27.91B,4.736B,10.40B,,434.40B,957.54B,,6.878B,94.83B,2.818B,5.378B,,,,6.194B,104.07B,,AOR,Restated
2007-06,1.635B,41.56B,43.20B,20.15B,,,20.15B,,63.35B,5.06B,8.59B,,8.59B,7.607B,489.13B,,856.06B,1.034T,,94.13B,8.996B,,103.12B,103.12B,14.52B,,14.52B,14.52B,,,117.65B,141.19B,141.19B,,,4.29B,19.46B,217.22B,28.02B,4.297B,9.29B,,414.48B,920.15B,,6.878B,92.25B,2.708B,3.358B,,,,8.187B,104.33B,,AOR,Restated
2007-03,1.702B,34.71B,36.41B,19.73B,,,19.73B,,56.14B,4.898B,8.687B,,8.687B,7.521B,89.04B,,828.71B,999.75B,,75.51B,10.99B,,86.50B,86.50B,13.38B,,13.38B,13.38B,,,99.88B,133.94B,133.94B,,,4.245B,17.58B,213.42B,27.14B,4.056B,8.166B,,400.37B,888.43B,,6.878B,88.49B,2.674B,1.993B,,,,9.854B,103.06B,,AOR,Restated
2006-12,1.59B,27.48B,29.07B,17.79B,29.57B,,17.79B,,46.86B,4.381B,8.628B,,8.628B,57.99B,530.61B,,617.70B,979.41B,,8.776B,9.546B,9.094B,27.42B,27.42B,13.36B,,13.36B,13.36B,,,40.78B,135.32B,135.32B,,,5.249B,93.95B,328.26B,26.27B,,7.778B,191.00M,589.24B,869.96B,,6.878B,85.00B,2.59B,1.897B,,,,9.11B,101.68B,,AOR,Restated
2006-09,1.425B,22.72B,24.14B,17.54B,,,17.54B,,41.68B,9.141B,8.576B,,8.576B,27.82B,453.34B,,782.34B,941.54B,,68.49B,8.497B,,76.99B,76.99B,13.30B,,13.30B,13.30B,,,90.28B,114.28B,114.28B,,,4.813B,15.07B,208.67B,26.07B,5.645B,6.29B,,374.54B,838.91B,,6.878B,81.99B,2.572B,2.027B,,,,6.744B,96.15B,,AOR,Restated
2006-06,2.14B,21.19B,23.33B,18.24B,,,18.24B,,41.56B,8.415B,8.425B,,8.425B,55.12B,438.50B,,754.58B,900.67B,,74.12B,5.101B,,79.22B,79.22B,13.06B,,13.06B,13.06B,,,92.28B,104.98B,104.98B,,,4.542B,7.803B,207.77B,26.11B,5.727B,6.038B,,356.94B,806.73B,,6.878B,78.19B,2.533B,2.095B,,,,2.201B,87.71B,,AOR,Restated
2006-03,1.248B,17.34B,18.59B,18.00B,,,18.00B,,36.59B,8.059B,8.208B,,8.208B,53.52B,434.90B,,738.93B,879.80B,,67.95B,6.615B,,74.56B,74.56B,13.46B,,13.46B,13.46B,,,88.03B,97.82B,97.82B,,,4.384B,9.691B,203.39B,25.04B,6.429B,5.872B,,346.76B,785.35B,,6.878B,75.43B,2.513B,2.143B,,,,5.709B,88.39B,,AOR,Restated
2005-12,1.897B,15.34B,17.24B,15.33B,,,15.33B,,32.57B,7.446B,8.093B,,8.093B,52.90B,424.61B,,718.82B,853.37B,,63.97B,6.607B,,70.58B,70.58B,9.208B,,9.208B,9.208B,,,79.79B,99.25B,99.25B,,,4.877B,11.05B,196.85B,24.24B,5.975B,5.124B,,342.24B,761.74B,,6.878B,72.33B,2.339B,2.197B,,,,6.967B,86.32B,,AOR,
2005-09,2.108B,16.24B,18.35B,15.18B,,,15.18B,,33.52B,6.841B,8.354B,,8.354B,51.24B,369.05B,,657.16B,843.40B,,62.61B,8.551B,,71.16B,71.16B,9.701B,,9.701B,9.701B,,,80.86B,93.63B,93.63B,,,4.255B,10.69B,190.30B,24.23B,5.223B,5.12B,,328.34B,748.80B,,6.878B,73.25B,2.249B,2.266B,,,,9.175B,89.28B,,AOR,Restated
2005-06,1.738B,17.46B,19.20B,15.31B,,,15.31B,,34.52B,6.225B,8.423B,,8.423B,50.33B,367.15B,,646.94B,828.64B,,,,,61.10B,61.10B,12.86B,,12.86B,12.86B,,,73.96B,88.75B,88.75B,9.657B,9.657B,4.154B,8.303B,183.87B,24.08B,4.343B,5.119B,,323.15B,734.45B,,6.878B,71.43B,2.069B,2.301B,,,,10.80B,88.88B,,AOR,Restated
2005-03,2.361B,22.02B,24.38B,15.72B,,,15.72B,,40.10B,6.19B,8.577B,,8.577B,48.36B,364.34B,,630.28B,828.26B,,57.00B,7.289B,,64.29B,64.29B,11.96B,,11.96B,11.96B,,,76.24B,91.33B,91.33B,,,4.612B,19.46B,182.46B,23.76B,4.881B,4.96B,,326.50B,740.42B,,6.878B,67.75B,1.991B,2.312B,,,,8.374B,82.68B,,AOR,Restated
2004-12,2.009B,16.10B,18.11B,15.14B,,,15.14B,,33.25B,6.192B,8.601B,,8.601B,46.04B,349.66B,,612.20B,798.66B,,53.68B,7.042B,,60.72B,60.72B,9.693B,,9.693B,9.693B,,,70.41B,84.08B,84.08B,7.042B,7.042B,4.248B,21.26B,177.39B,23.09B,4.866B,4.584B,,321.98B,713.27B,,6.878B,64.39B,1.954B,2.211B,,,,9.593B,80.61B,,AOR,
2004-09,2.072B,14.67B,16.74B,16.93B,,,16.93B,,33.68B,5.999B,8.407B,,8.407B,43.44B,325.57B,,578.05B,776.42B,,57.22B,9.273B,,66.50B,66.50B,9.224B,,9.224B,9.224B,,,75.72B,80.98B,80.98B,,,3.61B,19.47B,169.96B,23.28B,23.62B,4.159B,,320.92B,693.16B,,6.878B,68.46B,575.00M,1.706B,,,,4.70B,78.90B,,AOR,Restated
