,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-03,6.13B,6.13B,,,,,,,-9.549B,-9.549B,,,-7.657B,,2.959B,892.00M,1.98B,,0.00,-87.00M,,1.98B,1.98B,388.00M,2.959B,,15.20,0.00,0.00,15.20,15.20,,15.00,0.00,0.00,15.00,15.00,,130.75M,132.05M,0.84,,AOR,
2001-12,43.65B,43.65B,,,,,,,25.07B,25.07B,,,32.35B,,495.00M,,589.00M,,0.00,153.00M,,589.00M,589.00M,361.00M,495.00M,,4.60,0.00,0.00,4.60,4.60,,4.40,0.00,-0.0011,4.40,4.40,,130.55M,132.70M,0.84,,AOR,Restated
2001-09,5.48B,5.48B,,,,,,,-6.41B,-6.41B,,,-7.825B,,617.00M,164.00M,408.00M,,-81.00M,-45.00M,,327.00M,408.00M,445.00M,617.00M,,3.00,-0.60,-0.0000,3.00,2.40,,3.00,-0.60,-0.6183,3.00,2.40,,131.00M,132.55M,0.84,,AOR,
2001-06,5.412B,5.412B,,,,,,,-6.945B,-6.945B,,,-5.797B,,2.385B,704.00M,1.627B,,0.00,-54.00M,,1.627B,1.627B,338.00M,2.385B,,13.80,0.00,0.00,13.80,13.80,,13.80,0.00,0.00,13.80,13.80,,116.60M,117.90M,0.74,,AOR,
2001-03,5.417B,5.417B,,,,,,,-7.086B,-7.086B,,,-5.409B,,2.272B,362.00M,1.538B,,-6.00M,-69.00M,,1.532B,1.538B,293.00M,2.272B,,13.20,0.00,0.00,13.20,13.20,,13.00,0.00,-0.0514,13.00,13.00,,116.70M,117.95M,0.74,,AOR,
2000-12,42.19B,42.19B,,,,,,,19.60B,19.60B,,,25.34B,,3.024B,,1.814B,,,-7.00M,,2.002B,2.002B,325.00M,3.024B,,11.40,0.00,,11.40,11.40,,11.20,0.00,,11.20,11.20,,173.02M,175.97M,0.74,,AOR,Restated
2000-09,4.821B,4.821B,,,,,,,-6.376B,-6.376B,,,-4.985B,,2.064B,611.00M,1.453B,,,-67.00M,,1.386B,1.386B,294.00M,2.064B,,12.00,0.00,,12.00,12.00,,12.00,0.00,,12.00,12.00,,115.70M,117.00M,0.74,,AOR,
2000-06,5.059B,5.059B,,,,,,,-6.44B,-6.44B,,,-5.098B,,2.096B,623.00M,1.473B,,,-66.00M,,1.407B,1.407B,282.00M,2.096B,,12.20,0.00,,12.20,12.20,,12.00,0.00,,12.00,12.00,,115.65M,116.95M,0.666,,AOR,
2000-03,4.782B,4.782B,,,,,,,-6.469B,-6.469B,,,-4.92B,,1.991B,308.00M,1.401B,,,-55.00M,,1.346B,1.346B,275.00M,1.991B,,11.60,0.00,,11.60,11.60,,11.47,0.00,,11.47,11.47,,115.95M,117.30M,0.666,,AOR,
1999-12,23.34B,23.34B,,,,,,,,,,,774.00M,,9.399B,,2.443B,,,-581.00M,,2.443B,2.443B,143.00M,9.399B,,15.12,0.00,,15.12,15.12,,14.92,0.00,,14.92,14.92,,173.90M,176.32M,0.666,,AOR,Restated
1999-09,8.879B,8.879B,,,,,,,,,,,2.487B,,0.00,51.00M,1.267B,,,549.00M,,1.267B,1.267B,412.00M,0.00,,10.94,0.00,,10.94,10.94,,10.81,0.00,,10.81,10.81,,116.04M,117.54M,0.666,,,
1999-06,9.424B,9.424B,,,,,,,,,,,2.462B,,0.00,569.00M,1.277B,,,70.00M,,1.277B,1.277B,267.00M,0.00,,11.07,0.00,,11.07,11.07,,10.81,0.00,,10.81,10.81,,116.12M,117.62M,0.5980,,,
1999-03,9.087B,9.087B,,,,,,,,,,,2.439B,,0.00,522.00M,1.199B,,,80.00M,,1.199B,1.199B,249.00M,0.00,,10.35,0.00,,10.35,10.35,,10.25,0.00,,10.25,10.25,,116.00M,117.60M,0.5980,,,
1998-12,21.55B,21.55B,,,,,,,,,,,1.091B,,7.583B,458.00M,1.884B,,,-479.00M,,1.884B,1.884B,274.00M,7.583B,,11.40,0.00,,11.40,11.40,,11.40,0.00,,11.40,11.40,,98.41M,98.41M,0.5980,,AOR,Restated
1998-09,8.308B,8.308B,,,,,,,,,,,2.189B,,0.00,470.00M,1.076B,,,78.00M,,1.076B,1.076B,240.00M,0.00,,9.40,0.00,,9.40,9.40,,9.20,0.00,,9.20,9.20,,114.47M,116.96M,0.5980,,,
1998-06,8.057B,8.057B,,,,,,,,,,,2.059B,,0.00,439.00M,1.076B,,,25.00M,,1.076B,1.076B,225.00M,0.00,,9.472,0.00,,9.472,9.472,,9.204,0.00,,9.204,9.204,,113.79M,116.72M,0.5340,,,
1998-03,7.628B,7.628B,,,,,,,,,,,2.001B,,0.00,418.00M,1.01B,,,29.00M,,1.01B,1.01B,213.00M,0.00,,8.858,0.00,,8.858,8.858,,8.644,0.00,,8.644,8.644,,113.76M,116.57M,0.5340,,,
1997-12,8.916B,8.916B,,,,,,,,,,,3.166B,,0.00,521.50M,1.263B,,,48.50M,,1.263B,1.263B,234.80M,0.00,,7.80,0.00,,7.80,7.80,,7.40,0.00,,7.40,7.40,,159.24M,165.38M,0.5340,,AOR,
1997-09,6.984B,6.984B,,,,,,,,,,,1.415B,,0.00,344.30M,840.30M,,,5.30M,,840.30M,840.30M,228.70M,0.00,,8.40,0.00,,8.40,8.40,,8.40,0.00,,8.40,8.40,,100.04M,100.04M,0.5340,,,
1997-06,7.144B,7.144B,,,,,,,,,,,1.382B,,0.00,343.90M,826.50M,,,9.60M,,826.50M,826.50M,217.50M,0.00,,8.40,0.00,,8.40,8.40,,8.40,0.00,,8.40,8.40,,98.39M,98.39M,0.4740,,,
1997-03,6.617B,6.617B,,,,,,,,,,,1.321B,,0.00,315.30M,780.90M,,,10.70M,,780.90M,780.90M,204.00M,0.00,,7.80,0.00,,7.80,7.80,,7.80,0.00,,7.80,7.80,,100.12M,100.12M,0.4740,,,
1996-12,-5.451B,-5.451B,,,,,,,,,,,-15.48B,,4.013B,299.16M,770.26M,,,-76.53M,,770.26M,770.26M,201.70M,4.013B,,7.756,0.00,,7.756,7.756,,7.756,0.00,,7.756,7.756,,99.27M,99.39M,0.4740,,AOR,
1996-09,6.553B,6.553B,,,,,,,,,,,1.303B,,0.00,286.60M,731.40M,,,9.30M,,731.40M,731.40M,210.30M,0.00,,7.40,0.00,,7.40,7.40,,7.40,0.00,,7.40,7.40,,98.84M,98.84M,0.4740,,,
1996-06,6.424B,6.424B,,,,,,,,,,,1.269B,,0.00,283.70M,724.40M,,,11.90M,,724.40M,724.40M,205.30M,0.00,,7.40,0.00,,7.40,7.40,,7.20,0.00,,7.20,7.20,,97.89M,100.61M,0.4020,,,
1996-03,6.084B,6.084B,,,,,,,,,,,1.216B,,0.00,246.50M,671.20M,,,12.10M,,671.20M,671.20M,188.30M,0.00,,6.60,0.00,,6.60,6.60,,6.60,0.00,,6.60,6.60,,101.70M,101.70M,0.4020,,,
1995-12,-4.532B,-4.532B,,,,,,,,,,,-13.51B,,3.466B,248.20M,673.78M,,,-64.02M,,673.78M,673.78M,193.60M,3.466B,,6.726,0.00,,6.726,6.726,,6.726,0.00,,6.726,6.726,,100.51M,100.51M,0.4020,,AOR,
1995-09,6.031B,6.031B,,,,,,,,,,,1.094B,,0.00,248.20M,630.70M,,,10.20M,,630.70M,630.70M,190.20M,0.00,,6.20,0.00,,6.20,6.20,,6.20,0.00,,6.20,6.20,,101.73M,101.73M,0.4020,,,
1995-06,5.968B,5.968B,,,,,,,,,,,1.082B,,0.00,245.50M,633.80M,,,8.10M,,633.80M,633.80M,181.00M,0.00,,6.20,0.00,,6.20,6.20,,6.20,0.00,,6.20,6.20,,102.23M,102.23M,0.7280,,,
1995-03,5.552B,5.552B,,,,,,,,,,,998.20M,,0.00,213.60M,572.20M,,,9.40M,,572.20M,572.20M,169.80M,0.00,,5.80,0.00,,5.80,5.80,,5.80,0.00,,5.80,5.80,,98.66M,98.66M,0.3640,,,
1994-12,-3.482B,-3.482B,,,,,,,,,,,-11.29B,,2.952B,206.86M,577.72M,,,,,577.72M,577.72M,163.60M,2.952B,,5.913,0.00,,5.913,5.913,,5.913,0.00,,5.913,5.913,,97.30M,101.13M,0.3640,,AOR,
1994-09,5.228B,5.228B,,,,,,,,,,,910.90M,,0.00,205.80M,542.50M,,,,,542.50M,542.50M,155.20M,0.00,,5.40,0.00,,5.40,5.40,,5.40,0.00,,5.40,5.40,,100.46M,100.46M,0.3660,,,
1994-06,5.181B,5.181B,,,,,,,,,,,927.30M,,0.00,191.00M,549.70M,,,,,549.70M,549.70M,134.70M,0.00,,5.40,0.00,,5.40,5.40,,5.40,0.00,,5.40,5.40,,101.80M,101.80M,0.3180,,,
1994-03,4.848B,4.848B,,,,,,,,,,,896.60M,,0.00,172.80M,505.60M,,,,,505.60M,505.60M,128.40M,0.00,,5.00,0.00,,5.00,5.00,,5.00,0.00,,5.00,5.00,,101.12M,101.12M,0.3180,,,
1993-12,4.994B,4.994B,,,,,,,,,,,885.50M,,0.00,180.20M,510.20M,,0.00,,,510.20M,510.20M,130.50M,0.00,,5.40,0.00,0.00,5.40,5.40,,5.20,0.00,0.0015,5.20,5.20,,93.65M,97.73M,0.3180,,,
1993-09,4.744B,4.744B,,,,,,,,,,,840.00M,,0.00,169.20M,451.10M,,,,,451.10M,451.10M,115.60M,0.00,,4.60,0.00,,4.60,4.60,,4.60,0.00,,4.60,4.60,,98.07M,98.07M,0.3180,,,
1993-06,4.642B,4.642B,,,,,,,,,,,834.10M,,0.00,168.60M,481.60M,,,,,481.60M,481.60M,118.10M,0.00,,4.80,0.00,,4.80,4.80,,4.80,0.00,,4.80,4.80,,100.33M,100.33M,0.2959,,,
1993-03,4.317B,4.317B,,,,,,,,,,,824.70M,,0.00,165.00M,495.90M,,,,,495.90M,495.90M,108.00M,0.00,,4.60,0.00,,4.60,4.60,,4.60,0.00,,4.60,4.60,,107.80M,107.80M,0.2959,,,
1992-12,4.494B,4.494B,,,,,,,,,,,797.80M,,0.00,145.80M,440.90M,,,,,472.80M,440.90M,103.50M,0.00,,4.60,0.20,,4.60,4.80,,4.60,0.20,,4.60,4.80,,97.13M,97.13M,0.2959,,,
1992-09,4.295B,4.295B,,,,,,,,,,,770.30M,,0.00,96.10M,344.60M,,,,,344.60M,344.60M,104.20M,0.00,,3.40,0.00,,3.40,3.40,,3.40,0.00,,3.40,3.40,,101.35M,101.35M,0.2959,,,
1992-06,4.207B,4.207B,,,,,,,,,,,737.60M,,0.00,135.60M,425.60M,,,,,425.60M,425.60M,95.10M,0.00,,4.20,0.00,,4.20,4.20,,4.20,0.00,,4.20,4.20,,101.33M,101.33M,0.2639,,,
1992-03,4.087B,4.087B,,,,,,,,,,,715.90M,,0.00,134.60M,413.90M,,,,,413.90M,413.90M,89.10M,0.00,,4.00,0.00,,4.00,4.00,,4.00,0.00,,4.00,4.00,,103.48M,103.48M,0.2639,,,
1991-12,4.214B,4.214B,,,,,,,,,,,686.40M,,0.00,119.10M,399.80M,,,,,399.80M,399.80M,,0.00,,4.00,0.00,,4.00,4.00,,3.80,0.00,,3.80,3.80,,98.01M,103.29M,0.2639,,,
1991-09,3.912B,3.912B,,,,,,,,,,,674.60M,,0.00,110.20M,376.80M,,,,,376.80M,376.80M,,0.00,,3.80,0.00,,3.80,3.80,,3.80,0.00,,3.80,3.80,,99.16M,99.16M,0.2639,,,
1991-06,3.851B,3.851B,,,,,,,,,,,647.10M,,0.00,119.50M,401.00M,,,,,401.00M,401.00M,,0.00,,4.00,0.00,,4.00,4.00,,4.00,0.00,,4.00,4.00,,100.25M,100.25M,0.2319,,,
1991-03,3.815B,3.815B,,,,,,,,,,,620.50M,,0.00,120.80M,375.40M,,,,,375.40M,375.40M,,0.00,,3.80,0.00,,3.80,3.80,,3.80,0.00,,3.80,3.80,,98.79M,98.79M,0.2319,,,
1990-12,4.039B,4.039B,,,,,,,,,,,592.30M,,0.00,85.20M,382.00M,,,,,382.00M,382.00M,,0.00,,3.80,0.00,,3.80,3.80,,3.80,0.00,,3.80,3.80,,97.97M,97.97M,0.2319,,,
1990-09,3.700B,3.700B,,,,,,,,,,,552.40M,,0.00,93.10M,336.80M,,,,,336.80M,336.80M,,0.00,,3.40,0.00,,3.40,3.40,,3.40,0.00,,3.40,3.40,,99.06M,99.06M,0.2319,,,
1990-06,3.637B,3.637B,,,,,,,,,,,558.00M,,0.00,95.10M,367.90M,,,,,367.90M,367.90M,,0.00,,3.80,0.00,,3.80,3.80,,3.80,0.00,,3.80,3.80,,96.82M,96.82M,0.2019,,,
1990-03,3.495B,3.495B,,,,,,,,,,,541.70M,,0.00,95.80M,355.70M,,,,,355.70M,355.70M,,0.00,,3.60,0.00,,3.60,3.60,,3.60,0.00,,3.60,3.60,,98.81M,98.81M,0.2019,,,
1989-12,3.545B,3.545B,,,,,,,,,,,,,,,348.10M,,,,,348.10M,348.10M,,,,3.60,0.00,,3.60,3.60,,3.60,0.00,,3.60,3.60,,93.54M,93.54M,0.2019,,,
1989-09,3.337B,3.337B,,,,,,,,,,,,,,,323.80M,,,,,323.80M,323.80M,,,,3.40,0.00,,3.40,3.40,,3.40,0.00,,3.40,3.40,,95.24M,95.24M,0.2019,,,
1989-06,3.34B,3.34B,,,,,,,,,,,,,,,352.20M,,,,,352.20M,352.20M,,,,3.60,0.00,,3.60,3.60,,3.60,0.00,,3.60,3.60,,97.83M,97.83M,0.1679,,,
1989-03,3.254B,3.254B,,,,,,,,,,,,,,,343.40M,,,,,343.40M,343.40M,,,,3.40,0.00,,3.40,3.40,,3.40,0.00,,3.40,3.40,,101.00M,101.00M,0.1679,,,
1988-12,3.431B,3.431B,,,,,,,,,,,,,,,329.20M,,,,,329.20M,329.20M,,,,3.40,0.00,,3.40,3.40,,3.40,0.00,,3.40,3.40,,93.78M,93.78M,0.1679,,,
1988-09,3.431B,3.431B,,,,,,,,,,,,,,,273.90M,,,,,273.90M,273.90M,,,,2.80,0.00,,2.80,2.80,,2.80,0.00,,2.80,2.80,,97.82M,97.82M,0.1679,,,
1988-06,3.153B,3.153B,,,,,,,,,,,,,,,313.50M,,,,,313.50M,313.50M,,,,3.20,0.00,,3.20,3.20,,3.20,0.00,,3.20,3.20,,97.97M,97.97M,0.1259,,,
1988-03,3.196B,3.196B,,,,,,,,,,,,,,,300.40M,,,,,300.40M,300.40M,,,,3.00,0.00,,3.00,3.00,,3.00,0.00,,3.00,3.00,,100.13M,100.13M,0.1259,,,
1987-12,3.304B,3.304B,,,,,,,,,,,,,,,269.90M,,,,,269.90M,269.90M,,,,2.80,0.00,,2.80,2.80,,2.80,0.00,,2.80,2.80,,93.50M,93.50M,0.1259,,,
1987-09,2.652B,2.652B,,,,,,,,,,,,,,,232.00M,,,,,232.00M,232.00M,,,,2.40,0.00,,2.40,2.40,,2.40,0.00,,2.40,2.40,,96.67M,96.67M,0.1060,,,
1987-06,2.684B,2.684B,,,,,,,,,,,,,,,235.20M,,,,,235.20M,235.20M,,,,2.40,0.00,,2.40,2.40,,2.40,0.00,,2.40,2.40,,98.00M,98.00M,0.1060,,,
1987-03,2.504B,2.504B,,,,,,,,,,,,,,,207.40M,,,,,207.40M,207.40M,,,,2.20,0.00,,2.20,2.20,,2.20,0.00,,2.20,2.20,,94.27M,94.27M,0.1060,,,
1986-12,2.569B,2.569B,,,,,,,,,,,,,,,202.60M,,,,,202.60M,202.60M,,,,2.00,0.00,,2.00,2.00,,2.00,0.00,,2.00,2.00,,95.06M,95.06M,0.1060,,,
1986-09,2.249B,2.249B,,,,,,,,,,,,,,,176.20M,,,,,176.20M,176.20M,,,,1.80,0.00,,1.80,1.80,,1.80,0.00,,1.80,1.80,,97.89M,97.89M,0.0940,,,
1986-06,2.129B,2.129B,,,,,,,,,,,,,,,153.90M,,,,,153.90M,153.90M,,,,1.60,0.00,,1.60,1.60,,1.60,0.00,,1.60,1.60,,96.19M,96.19M,0.0940,,,
1986-03,1.773B,1.773B,,,,,,,,,,,,,,,123.90M,,,,,123.90M,123.90M,,,,1.40,0.00,,1.40,1.40,,1.40,0.00,,1.40,1.40,,88.50M,88.50M,0.0940,,,
1985-12,1.796B,1.796B,,,,,,,,,,,,,,,108.50M,,,,,108.50M,108.50M,,,,1.20,0.00,,1.20,1.20,,1.20,0.00,,1.20,1.20,,85.09M,85.09M,,,,
1985-09,1.446B,1.446B,,,,,,,,,,,,,,,100.50M,,,,,100.50M,100.50M,,,,1.00,0.00,,1.00,1.00,,1.00,0.00,,1.00,1.00,,100.50M,100.50M,,,,
1985-06,1.284B,1.284B,,,,,,,,,,,,,,,84.60M,,,,,84.60M,84.60M,,,,1.00,0.00,,1.00,1.00,,1.00,0.00,,1.00,1.00,,84.60M,84.60M,,,,
1985-03,1.114B,1.114B,,,,,,,,,,,,,,,80.00M,,,,,80.00M,80.00M,,,,1.00,0.00,,1.00,1.00,,1.00,0.00,,1.00,1.00,,80.00M,80.00M,,,,
1984-12,1.128B,1.128B,,,,,,,,,,,,,,,37.70M,,,,,37.70M,37.70M,,,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,84.12M,84.12M,,,,
1984-09,1.042B,1.042B,,,,,,,,,,,,,,,61.20M,,,,,61.20M,61.20M,,,,0.80,0.00,,0.80,0.80,,0.80,0.00,,0.80,0.80,,76.50M,76.50M,,,,
1984-06,1.027B,1.027B,,,,,,,,,,,,,,,94.90M,,,,,94.90M,94.90M,,,,1.00,0.00,,1.00,1.00,,1.00,0.00,,1.00,1.00,,94.90M,94.90M,,,,
1984-03,974.50M,974.50M,,,,,,,,,,,,,,,108.70M,,,,,108.70M,108.70M,,,,1.20,0.00,,1.20,1.20,,1.20,0.00,,1.20,1.20,,90.58M,90.58M,,,,
