,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-02,9.383B,9.383B,8.212B,1.171B,848.62M,-3.00M,,,,3.00M,851.62M,319.20M,,,,-3.00M,,320.93M,128.37M,192.56M,,,192.56M,194.36M,404.34M,,2002-02,0.43,0.00,,0.43,,2002-02,0.41,0.00,0.4138,0.41,,479.93M,,,2002-02,,
2001-11,8.467B,8.467B,7.434B,1.032B,816.80M,,,,,,816.80M,215.35M,,,,,,216.09M,86.44M,129.66M,,,129.66M,129.66M,289.47M,,2001-11,0.29,0.00,,0.29,,2001-11,0.28,0.00,0.28,0.28,,477.40M,,,2001-11,,
2001-08,11.13B,11.13B,9.988B,1.147B,1.035B,,,,,,828.32M,318.42M,,,,,,317.89M,127.16M,190.73M,,,190.73M,190.73M,403.49M,,2001-08,0.42,0.00,,0.42,,2001-08,0.41,0.00,0.41,0.41,,478.39M,,,2001-08,,
2001-05,7.719B,7.719B,6.754B,964.55M,718.61M,,,,,,789.90M,174.65M,,,,,,175.43M,70.17M,105.26M,,,105.26M,105.26M,257.26M,,2001-05,0.23,0.00,,0.23,,2001-05,0.23,0.00,0.23,0.23,,475.84M,,,2001-05,,
2001-02,8.306B,8.306B,7.207B,1.099B,742.98M,,,,,,811.90M,287.37M,,,,,,294.30M,117.72M,176.58M,,,176.58M,176.58M,356.28M,,2001-02,0.39,0.00,,0.39,,2001-02,0.38,0.00,0.38,0.38,,475.49M,,,2001-02,,
2000-11,7.637B,7.637B,6.649B,988.34M,711.81M,,,,,,776.51M,211.83M,,,,,,215.87M,86.35M,129.52M,,,129.52M,129.52M,276.53M,,2000-11,0.29,0.00,,0.29,,2000-11,0.28,0.00,0.28,0.28,,473.92M,,,2000-11,,
2000-08,10.59B,10.59B,9.243B,1.346B,937.13M,,,,,,1.019B,326.71M,,,,,,333.64M,133.45M,200.18M,,,200.18M,200.18M,408.60M,,2000-08,0.44,0.00,,0.44,,2000-08,0.43,0.00,0.43,0.43,,473.72M,,,2000-08,,
2000-05,6.895B,6.895B,6.026B,868.47M,613.15M,,,,,,671.26M,197.21M,,,,,,200.55M,80.22M,120.33M,,,120.33M,120.33M,255.32M,,2000-05,0.27,0.00,,0.27,,2000-05,0.26,0.00,0.26,0.26,,478.75M,,,2000-05,,
2000-02,7.737B,7.737B,6.738B,999.40M,646.30M,,,,,,701.10M,298.30M,,,,,,302.70M,121.10M,181.60M,,,181.60M,181.60M,353.10M,,2000-02,0.41,0.00,,0.41,,2000-02,0.39,0.00,0.39,0.39,,465.64M,,,2000-02,,
1999-11,6.944B,6.944B,6.061B,882.90M,608.10M,10.70M,,,,,667.70M,215.20M,,,,10.70M,,215.50M,86.20M,129.30M,,,129.30M,122.88M,274.80M,,1999-11,0.29,0.00,,0.29,,1999-11,0.28,0.00,0.2661,0.28,,461.79M,,,1999-11,,
1999-08,8.812B,8.812B,7.678B,1.134B,807.70M,,,,,,881.80M,252.00M,,,,,,255.30M,102.10M,153.20M,0.00,,153.20M,153.20M,326.10M,,1999-08,0.35,0.00,0.00,0.35,,1999-08,0.33,0.00,0.33,0.33,,528.37M,,,1999-08,,
1999-05,6.054B,6.054B,5.290B,764.30M,535.80M,10.70M,,,,,588.00M,176.30M,,,,10.70M,,176.50M,70.60M,105.90M,,,105.90M,99.48M,228.50M,,1999-05,0.24,0.00,,0.24,,1999-05,0.23,0.00,0.2161,0.23,,460.43M,,,1999-05,,
1999-02,6.592B,6.592B,5.742B,850.60M,550.60M,11.20M,,,,,597.50M,253.10M,,,,11.20M,,253.40M,101.40M,152.00M,,,152.00M,145.28M,300.00M,,1999-02,0.35,0.00,,0.35,,1999-02,0.33,0.00,0.3154,0.33,,460.61M,,,1999-02,,
1998-11,5.998B,5.998B,5.236B,761.90M,531.70M,6.00M,,,,,583.30M,178.60M,,,,6.00M,,173.70M,69.50M,104.20M,-118.00M,,-13.80M,100.60M,230.20M,,1998-11,0.24,-0.27,0.00,-0.03,,1998-11,0.23,-0.27,0.2222,-0.03,,460.00M,,,1998-11,,
1998-08,7.707B,7.707B,6.731B,975.70M,662.70M,7.70M,,,,,717.10M,258.60M,,,,7.70M,,251.20M,100.50M,150.70M,,,150.70M,146.08M,313.00M,,1998-08,0.35,0.00,,0.35,,1998-08,0.33,0.00,0.3209,0.33,,509.57M,,,1998-08,,
