,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2018-05,5.877B,1.167B,7.044B,1.593B,,1.593B,10.63B,10.63B,,430.00M,19.69B,0.00,6.093B,15.79B,7.161B,,1.07B,30.11B,-10.93B,19.18B,,,,,,,734.00M,19.91B,39.60B,,,10.70B,3.738B,14.44B,,,,,1.679B,3.289B,19.41B,6.492B,,6.492B,,,304.00M,1.255B,7.747B,27.16B,,2018-05,6.001B,,,-1.038B,12.14B,AOR,Restated
2018-02,4.781B,1.049B,5.83B,2.001B,,2.001B,10.67B,10.67B,,397.00M,18.90B,0.00,6.129B,15.74B,7.025B,,909.00M,29.80B,-10.75B,19.05B,,,,,,,755.00M,19.80B,38.70B,,,10.06B,4.02B,14.08B,,,,,1.656B,3.176B,18.91B,6.505B,,6.505B,,,299.00M,1.232B,7.737B,26.65B,,2018-02,5.92B,,,-897.00M,11.75B,AOR,Restated
2017-11,5.689B,1.196B,6.885B,1.559B,,1.559B,11.21B,11.21B,,240.00M,19.90B,0.00,5.915B,15.52B,6.859B,,812.00M,29.11B,-10.43B,18.68B,,,,,,,799.00M,19.48B,39.38B,,,11.99B,3.764B,15.76B,,,,,1.59B,3.014B,20.36B,6.478B,,6.478B,,,278.00M,1.184B,7.662B,28.02B,,2017-11,5.811B,,,-1.037B,11.08B,AOR,Restated
2017-08,4.546B,1.233B,5.779B,1.432B,,1.432B,9.834B,9.834B,,272.00M,17.32B,0.00,5.69B,15.13B,6.681B,,843.00M,28.34B,-10.18B,18.16B,,,,,,,869.00M,19.03B,36.35B,,,9.608B,3.664B,13.27B,,,,,1.498B,2.725B,17.50B,6.573B,,6.573B,,,301.00M,1.20B,7.773B,25.27B,,2017-08,5.80B,,,-1.014B,10.78B,AOR,Restated
2017-05,4.538B,1.187B,5.725B,1.462B,,1.462B,9.736B,9.736B,,333.00M,17.26B,0.00,5.505B,14.51B,6.507B,,803.00M,27.32B,-9.789B,17.54B,,,,,,,840.00M,18.38B,35.63B,,,9.425B,3.437B,12.86B,,1.158B,1.158B,,1.479B,5.895B,21.39B,2.821B,,2.821B,,,287.00M,1.231B,4.052B,25.45B,,2017-05,5.709B,,,-1.321B,9.898B,AOR,Restated
2017-02,4.744B,1.221B,5.965B,1.597B,,1.597B,9.53B,9.53B,,368.00M,17.46B,0.00,5.436B,14.40B,6.363B,,697.00M,26.89B,-9.549B,17.34B,,,,,,,828.00M,18.17B,35.63B,,,8.764B,3.69B,12.45B,,2.257B,2.257B,,1.458B,2.691B,18.86B,2.815B,,2.815B,,,272.00M,1.243B,4.058B,22.92B,,2017-02,5.631B,,,-1.333B,12.44B,AOR,Restated
2016-11,4.805B,1.311B,6.116B,1.498B,,1.498B,10.72B,10.72B,,235.00M,18.57B,0.00,5.389B,14.06B,6.173B,,816.00M,26.44B,-9.282B,17.16B,,,,,,,806.00M,17.96B,36.53B,,,11.00B,3.396B,14.40B,,1.159B,1.159B,,1.414B,2.189B,19.16B,3.933B,,3.933B,,,258.00M,1.207B,5.14B,24.30B,,2016-11,5.528B,,,-1.439B,11.97B,AOR,Restated
2016-08,3.379B,1.35B,4.729B,1.252B,,1.252B,8.969B,8.969B,,268.00M,15.22B,0.00,5.395B,13.99B,6.077B,,701.00M,26.17B,-9.124B,17.04B,,,,,,,902.00M,17.94B,33.16B,,,7.612B,3.498B,11.11B,,1.10B,1.10B,,1.362B,2.003B,15.58B,4.061B,,4.061B,,,253.00M,1.195B,5.256B,20.83B,,2016-08,5.49B,,,-1.099B,12.08B,AOR,Restated
2016-05,4.884B,1.137B,6.021B,1.30B,,1.30B,8.927B,8.927B,,294.00M,16.54B,0.00,5.266B,13.64B,5.834B,,707.00M,25.45B,-8.961B,16.49B,,,,,,,840.00M,17.33B,33.87B,,,8.828B,3.259B,12.09B,,1.193B,1.193B,,1.416B,2.303B,17.00B,3.921B,,3.921B,,,243.00M,1.205B,5.126B,22.12B,,2016-05,5.404B,,,-1.126B,11.50B,AOR,Restated
2016-02,3.633B,1.222B,4.855B,1.453B,,1.453B,8.908B,8.908B,,313.00M,15.53B,0.00,5.14B,13.21B,5.623B,,727.00M,24.70B,-8.637B,16.06B,,,,,,,794.00M,16.86B,32.39B,,,8.222B,3.465B,11.69B,,89.00M,89.00M,,1.377B,2.28B,15.43B,4.886B,,4.886B,,,234.00M,835.00M,5.721B,21.15B,,2016-02,5.341B,,,-1.344B,11.00B,AOR,Restated
2015-11,5.054B,1.229B,6.283B,1.359B,,1.359B,10.38B,10.38B,834.00M,,18.86B,0.00,5.079B,13.15B,5.48B,,647.00M,24.36B,-8.489B,15.87B,,,,,,,726.00M,16.59B,35.45B,,,10.38B,3.248B,13.63B,,1.281B,1.281B,,1.35B,2.036B,18.29B,4.845B,,4.845B,1.233B,1.233B,232.00M,,6.078B,24.37B,,2015-11,5.247B,,,-1.105B,10.85B,AOR,Restated
2015-08,4.801B,1.618B,6.419B,,1.224B,1.224B,8.908B,8.908B,,228.00M,16.78B,0.00,4.961B,12.62B,5.274B,,811.00M,23.66B,-8.263B,15.40B,,,,,,,837.00M,16.24B,33.02B,,,9.011B,3.771B,12.78B,124.00M,1.283B,1.283B,299.00M,1.568B,782.00M,16.54B,4.852B,,4.852B,,,226.00M,783.00M,5.635B,22.17B,,2015-08,5.218B,,,-1.121B,10.62B,AOR,Restated
2015-05,5.063B,1.742B,6.805B,1.195B,,1.195B,8.869B,8.869B,765.00M,,17.63B,0.00,4.971B,12.47B,5.145B,,733.00M,23.32B,-8.232B,15.08B,,,,,,,774.00M,15.86B,33.49B,,466.00M,9.361B,2.979B,12.34B,,1.20B,1.20B,,1.336B,1.86B,16.74B,4.826B,,4.826B,1.115B,1.115B,227.00M,,5.941B,22.68B,,2015-05,5.147B,,,-726.00M,10.59B,AOR,Restated
2015-02,5.866B,1.587B,7.453B,1.287B,,1.287B,8.558B,8.558B,760.00M,,18.06B,0.00,4.907B,12.35B,5.016B,,607.00M,22.88B,-8.012B,14.87B,,,,,,,670.00M,15.54B,33.60B,,433.00M,8.735B,3.191B,11.93B,,1.20B,1.20B,,1.318B,3.805B,18.25B,3.83B,,3.83B,1.096B,1.096B,219.00M,,4.926B,23.18B,,2015-02,5.064B,,,-797.00M,10.21B,AOR,Restated
2014-11,5.969B,1.65B,7.619B,1.248B,,1.248B,9.644B,9.644B,645.00M,,19.16B,0.00,4.697B,12.54B,5.022B,,499.00M,22.76B,-7.961B,14.80B,,,,,,,659.00M,15.46B,34.61B,,420.00M,10.20B,2.992B,13.20B,,,,,1.305B,1.519B,16.02B,5.034B,,5.034B,990.00M,990.00M,211.00M,,6.024B,22.04B,,2014-11,4.963B,,,-388.00M,12.36B,AOR,Restated
2014-08,5.738B,1.577B,7.315B,,1.148B,1.148B,8.456B,8.456B,669.00M,,17.59B,0.00,4.716B,12.52B,4.845B,,592.00M,22.68B,-7.845B,14.83B,,,,,,,606.00M,15.44B,33.02B,,,8.491B,3.582B,12.07B,122.00M,,,250.00M,1.504B,713.00M,14.41B,5.093B,,5.093B,1.004B,1.004B,212.00M,,6.097B,20.51B,,2014-08,4.919B,,,-76.00M,12.30B,AOR,Restated
2014-05,5.736B,1.539B,7.275B,1.115B,,1.115B,8.483B,8.483B,660.00M,,17.53B,0.00,4.632B,12.21B,4.808B,,615.00M,22.27B,-7.684B,14.58B,,,,,,,585.00M,15.17B,32.70B,,474.00M,8.835B,2.82B,11.66B,,,,,1.297B,1.735B,14.69B,4.985B,,4.985B,1.008B,1.008B,202.00M,,5.993B,20.68B,,2014-05,4.835B,,,-69.00M,11.82B,AOR,Restated
2014-02,5.13B,1.352B,6.482B,1.244B,,1.244B,8.267B,8.267B,641.00M,,16.63B,0.00,4.576B,11.98B,4.679B,,597.00M,21.83B,-7.486B,14.35B,,,,,,,584.00M,14.93B,31.57B,,432.00M,8.139B,3.005B,11.14B,,,,,1.27B,1.47B,13.88B,4.985B,,4.985B,988.00M,988.00M,194.00M,,5.973B,19.86B,,2014-02,4.771B,,,-157.00M,11.52B,AOR,Restated
2013-11,4.699B,1.74B,6.439B,1.145B,,1.145B,9.337B,9.337B,552.00M,,17.47B,0.00,4.53B,11.91B,4.60B,,544.00M,21.59B,-7.333B,14.25B,,,,,,,592.00M,14.85B,32.32B,,395.00M,9.594B,2.783B,12.38B,,,,,1.24B,1.316B,14.93B,4.987B,,4.987B,990.00M,990.00M,188.00M,,5.977B,20.91B,,2013-11,4.689B,,,-41.00M,11.22B,AOR,Restated
2013-08,4.644B,1.48B,6.124B,,1.201B,1.201B,7.894B,7.894B,621.00M,,15.84B,0.00,4.409B,11.56B,4.472B,,585.00M,21.02B,-7.141B,13.88B,,,,,,67.00M,259.00M,14.44B,30.28B,,459.00M,8.331B,2.747B,11.08B,95.00M,,,204.00M,1.371B,713.00M,13.26B,4.998B,,4.998B,1.016B,1.016B,179.00M,,6.014B,19.27B,,2013-08,4.67B,,,-122.00M,10.83B,AOR,Restated
2013-05,5.448B,1.062B,6.51B,1.134B,,1.134B,7.635B,7.635B,584.00M,,15.86B,0.00,4.343B,11.38B,4.517B,,400.00M,20.64B,-7.091B,13.55B,,,,,,,597.00M,14.14B,30.01B,,432.00M,8.22B,2.625B,10.84B,,,,,1.212B,1.452B,13.51B,4.887B,,4.887B,963.00M,963.00M,175.00M,,5.85B,19.36B,,2013-05,4.587B,,,81.00M,10.47B,AOR,Restated
2013-02,4.413B,1.238B,5.651B,1.30B,,1.30B,7.582B,7.582B,577.00M,,15.11B,0.00,4.236B,11.20B,4.451B,,436.00M,20.32B,-6.933B,13.39B,,,,,,,593.00M,13.98B,29.09B,,415.00M,7.856B,2.771B,10.63B,,64.00M,64.00M,,1.199B,1.155B,13.04B,4.806B,,4.806B,955.00M,955.00M,171.00M,,5.761B,18.81B,,2013-02,4.521B,,,111.00M,10.11B,AOR,Restated
2012-11,3.897B,1.679B,5.576B,1.175B,,1.175B,8.152B,8.152B,502.00M,,15.40B,0.00,4.135B,11.11B,4.365B,,412.00M,20.02B,-6.772B,13.25B,,,,,,,667.00M,13.92B,29.32B,,374.00M,9.199B,2.605B,11.80B,,12.00M,12.00M,,1.169B,1.15B,14.14B,1.366B,,1.366B,990.00M,990.00M,167.00M,,2.356B,16.49B,,2012-11,4.391B,,,173.00M,12.66B,AOR,Restated
2012-08,3.528B,1.326B,4.854B,,1.026B,1.026B,7.096B,7.096B,550.00M,,13.53B,0.00,4.032B,10.88B,4.261B,,374.00M,19.55B,-6.585B,12.96B,66.00M,,66.00M,,,225.00M,132.00M,13.61B,27.14B,,485.00M,7.788B,2.493B,10.28B,86.00M,,,159.00M,1.26B,633.00M,12.26B,1.381B,,1.381B,981.00M,981.00M,157.00M,,2.362B,14.62B,,2012-08,4.369B,,,156.00M,12.36B,AOR,Restated
2012-05,4.791B,1.185B,5.976B,1.018B,,1.018B,7.044B,7.044B,553.00M,,14.59B,0.00,3.95B,10.64B,4.206B,,244.00M,19.04B,-6.443B,12.60B,,,,,,,649.00M,13.24B,27.84B,,378.00M,7.68B,1.765B,9.445B,,,,,1.122B,1.799B,12.37B,1.373B,,1.373B,914.00M,914.00M,598.00M,,2.287B,14.65B,,2012-05,4.653B,,,319.00M,12.58B,AOR,Restated
2012-02,4.389B,1.396B,5.785B,1.092B,,1.092B,6.934B,6.934B,549.00M,,14.36B,0.00,3.893B,10.49B,4.116B,,287.00M,18.79B,-6.268B,12.52B,,,,,,,632.00M,13.15B,27.51B,,373.00M,6.707B,1.891B,8.598B,,900.00M,900.00M,,1.087B,1.824B,12.41B,1.38B,,1.38B,903.00M,903.00M,587.00M,,2.283B,14.69B,,2012-02,4.585B,,,306.00M,12.23B,AOR,Restated
2011-11,4.319B,1.596B,5.915B,982.00M,,982.00M,7.618B,7.618B,478.00M,,14.99B,0.00,3.816B,10.29B,4.053B,,279.00M,18.44B,-6.058B,12.38B,,,,,,,630.00M,13.01B,28.00B,,353.00M,7.929B,1.749B,9.678B,,934.00M,934.00M,,1.033B,1.666B,13.31B,1.33B,,1.33B,916.00M,916.00M,538.00M,,2.246B,15.56B,,2011-11,4.527B,,,205.00M,11.91B,AOR,Restated
2011-08,4.009B,1.604B,5.613B,,968.00M,965.00M,6.638B,6.638B,490.00M,,13.71B,0.00,3.819B,10.28B,4.002B,,269.00M,18.37B,-5.936B,12.43B,,,,,,,623.00M,13.06B,26.76B,,457.00M,7.001B,2.411B,9.412B,74.00M,900.00M,900.00M,141.00M,1.114B,550.00M,12.05B,1.253B,,1.253B,885.00M,885.00M,571.00M,,2.138B,14.19B,,2011-08,4.516B,,,373.00M,12.00B,AOR,Restated
2011-04,4.082B,2.133B,6.215B,948.00M,,948.00M,6.396B,6.396B,510.00M,,14.07B,0.00,3.838B,10.01B,3.969B,,332.00M,18.15B,-5.847B,12.30B,,,,,,,605.00M,12.90B,26.97B,,376.00M,7.176B,1.605B,8.781B,,901.00M,901.00M,,1.004B,1.808B,12.49B,1.247B,,1.247B,692.00M,692.00M,578.00M,,1.939B,14.43B,,2011-04,4.483B,,,484.00M,11.96B,,
2011-01,3.355B,2.024B,5.379B,1.116B,,1.116B,6.127B,6.127B,516.00M,,13.14B,0.00,3.779B,9.845B,3.851B,,247.00M,17.72B,-5.62B,12.10B,,,,,,,476.00M,12.58B,25.72B,,363.00M,6.333B,1.746B,8.079B,,1.00M,1.00M,,978.00M,1.688B,10.75B,2.144B,,2.144B,702.00M,702.00M,541.00M,,2.846B,13.59B,,2011-01,4.378B,,,340.00M,11.58B,,
2010-11,3.739B,1.545B,5.284B,985.00M,,985.00M,6.852B,6.852B,437.00M,,13.56B,0.00,3.738B,9.723B,3.756B,,232.00M,17.45B,-5.43B,12.02B,,,,,,,466.00M,12.48B,26.04B,,343.00M,7.548B,1.575B,9.123B,,24.00M,24.00M,,945.00M,1.41B,11.50B,2.143B,,2.143B,691.00M,691.00M,508.00M,,2.834B,14.34B,,2010-11,4.242B,,,270.00M,11.20B,AOR,Restated
2010-08,3.214B,1.535B,4.749B,,886.00M,884.00M,5.638B,5.638B,437.00M,,11.71B,0.00,3.484B,9.096B,3.513B,,267.00M,16.36B,-5.046B,11.31B,71.00M,,71.00M,357.00M,,,179.00M,12.11B,23.82B,,401.00M,6.348B,1.622B,7.97B,72.00M,26.00M,26.00M,98.00M,967.00M,1.028B,10.06B,2.141B,,2.141B,681.00M,681.00M,101.00M,,2.822B,12.88B,,2010-08,4.115B,,,122.00M,10.83B,AOR,Restated
2010-04,4.413B,854.00M,5.267B,818.00M,,818.00M,5.546B,5.546B,426.00M,,12.06B,0.00,3.402B,8.932B,3.486B,,150.00M,15.97B,-4.912B,11.06B,,,,,,,784.00M,11.84B,23.90B,,349.00M,6.324B,1.437B,7.761B,,30.00M,30.00M,,921.00M,1.477B,10.19B,2.132B,,2.132B,606.00M,606.00M,98.00M,,2.738B,12.93B,,2010-04,4.107B,,,151.00M,10.87B,,
2010-02,4.134B,585.00M,4.719B,951.00M,,951.00M,5.365B,5.365B,466.00M,,11.50B,0.00,3.402B,8.869B,3.436B,,150.00M,15.86B,-4.752B,11.10B,,,,,,,760.00M,11.86B,23.37B,,345.00M,5.943B,1.569B,7.512B,,91.00M,91.00M,,912.00M,1.35B,9.865B,2.134B,,2.134B,624.00M,624.00M,92.00M,,2.758B,12.62B,,2010-02,4.009B,,,145.00M,10.65B,AOR,Restated
2009-11,3.617B,572.00M,4.189B,849.00M,,849.00M,6.223B,6.223B,366.00M,,11.63B,0.00,3.358B,8.724B,3.382B,,244.00M,15.71B,-4.593B,11.12B,,,,,,,736.00M,11.85B,23.48B,,326.00M,6.643B,1.45B,8.093B,,80.00M,80.00M,,883.00M,1.229B,10.28B,2.135B,,2.135B,627.00M,627.00M,86.00M,,2.762B,13.05B,,2009-11,3.905B,,,150.00M,10.34B,AOR,Restated
2009-08,3.157B,570.00M,3.727B,,837.00M,834.00M,5.405B,5.405B,371.00M,,10.34B,0.00,3.341B,8.453B,3.265B,,264.00M,15.32B,-4.423B,10.90B,71.00M,,71.00M,322.00M,56.00M,,123.00M,11.64B,21.98B,,356.00M,5.806B,1.469B,7.275B,79.00M,96.00M,96.00M,65.00M,889.00M,942.00M,9.281B,2.13B,,2.13B,464.00M,464.00M,80.00M,,2.594B,11.88B,,2009-08,3.811B,,,110.00M,10.02B,AOR,Restated
2009-05,3.083B,585.00M,3.668B,,,747.00M,,5.277B,395.00M,,10.09B,0.00,3.241B,8.014B,3.238B,,307.00M,14.80B,-4.302B,10.50B,,,,,,,719.00M,11.22B,21.30B,,,5.37B,1.607B,6.977B,,92.00M,92.00M,842.00M,842.00M,1.348B,9.259B,2.145B,,2.145B,336.00M,336.00M,91.00M,,2.481B,11.74B,,2009-05,3.722B,,,-57.00M,9.473B,AOR,Restated
2009-02,2.705B,577.00M,3.282B,880.00M,,880.00M,,4.995B,534.00M,,9.691B,0.00,3.189B,7.771B,3.154B,,371.00M,14.48B,-4.131B,10.35B,,,,,,,692.00M,11.05B,20.74B,,,5.00B,1.70B,6.70B,,173.00M,173.00M,795.00M,795.00M,1.33B,8.998B,2.198B,,2.198B,332.00M,332.00M,88.00M,,2.53B,11.53B,,2009-02,3.661B,,,-218.00M,9.121B,,Restated
2008-11,2.215B,602.00M,2.817B,775.00M,,775.00M,,5.933B,575.00M,,10.10B,0.00,3.127B,7.692B,3.064B,,298.00M,14.18B,-3.989B,10.19B,,,,,,,705.00M,10.90B,21.00B,,,5.847B,1.548B,7.395B,,169.00M,169.00M,770.00M,770.00M,1.204B,9.538B,2.196B,,2.196B,327.00M,327.00M,85.00M,,2.523B,12.06B,,2008-11,3.583B,,,-240.00M,8.851B,,Restated
2008-08,2.619B,655.58M,3.275B,747.97M,,747.97M,,5.039B,399.65M,,9.462B,0.00,3.217B,7.749B,3.057B,,305.88M,14.33B,-3.974B,10.35B,,,,,,,865.31M,11.22B,20.68B,,,5.225B,1.604B,6.829B,,140.41M,140.41M,748.44M,748.44M,1.157B,8.874B,2.206B,,2.206B,328.31M,328.31M,81.86M,,2.534B,11.41B,,2008-08,3.543B,,,285.66M,9.192B,,Restated
2008-05,2.849B,805.96M,3.655B,682.57M,,682.57M,,5.306B,435.55M,,10.08B,0.00,3.188B,7.710B,3.082B,,220.78M,14.20B,-3.951B,10.25B,,,,,,,875.86M,11.12B,21.20B,,,5.721B,1.532B,7.252B,,97.57M,97.57M,784.81M,784.81M,1.391B,9.526B,2.187B,,2.187B,298.35M,298.35M,77.05M,,2.485B,12.01B,,2008-05,3.472B,,,393.30M,9.116B,,Restated
2008-02,2.267B,832.97M,3.100B,815.22M,,815.22M,,5.236B,518.19M,,9.669B,0.00,3.134B,7.497B,2.997B,,242.90M,13.87B,-3.823B,10.05B,,,,,,,951.53M,11.00B,20.67B,,,5.338B,1.599B,6.937B,,137.93M,137.93M,,,2.094B,9.169B,2.182B,,2.182B,297.91M,297.91M,73.57M,,2.480B,11.65B,,2008-02,3.279B,,,429.99M,8.946B,,
2007-11,2.742B,467.70M,3.210B,763.07M,,763.07M,,5.773B,555.44M,,10.30B,0.00,3.109B,7.432B,2.898B,,194.26M,13.63B,-3.714B,9.920B,,,,,,,782.61M,10.70B,21.00B,,,6.168B,1.505B,7.673B,,36.80M,36.80M,751.21M,751.21M,1.233B,9.694B,2.182B,,2.182B,295.12M,295.12M,70.48M,,2.477B,12.17B,,2007-11,3.197B,,,477.52M,8.762B,,
2007-08,2.780B,575.79M,3.356B,762.02M,,762.02M,,4.879B,327.15M,,9.324B,0.00,3.010B,7.036B,2.747B,,276.09M,13.07B,-3.549B,9.520B,,,,,,,762.65M,10.28B,19.61B,,,5.125B,1.495B,6.620B,,113.74M,113.74M,692.18M,692.18M,1.156B,8.582B,2.108B,,2.108B,224.20M,224.20M,69.32M,,2.332B,10.91B,,2007-08,3.118B,371.40M,-0.815M,370.59M,8.623B,,
2007-05,3.161B,660.09M,3.821B,621.55M,,621.55M,,4.955B,293.07M,,9.690B,0.00,2.926B,6.845B,2.652B,,102.38M,12.53B,-3.428B,9.098B,,,,,,,749.72M,9.848B,19.54B,,,5.189B,1.433B,6.622B,,62.05M,62.05M,664.52M,664.52M,1.238B,8.587B,2.159B,,2.159B,243.91M,243.91M,67.70M,,2.403B,10.99B,,2007-05,2.949B,,,300.89M,8.481B,,
2007-02,1.572B,661.41M,2.233B,792.24M,,792.24M,,4.931B,319.35M,,8.276B,0.00,2.848B,6.645B,2.570B,,143.57M,12.21B,-3.290B,8.917B,,,,,,,732.68M,9.649B,17.93B,,,4.962B,1.506B,6.468B,,461.12M,461.12M,654.21M,654.21M,1.081B,8.664B,168.02M,,168.02M,238.15M,238.15M,66.15M,,406.17M,9.071B,,2007-02,2.931B,,,245.00M,8.788B,,
