,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2018-05,762.00M,,,,,,327.00M,327.00M,43.00M,,85.00M,,-13.00M,,-26.00M,674.00M,,,253.00M,901.00M,2.105B,2018-05,-585.00M,,-585.00M,,-117.00M,8.00M,-694.00M,,0.00,10.00M,10.00M,,-54.00M,-54.00M,-219.00M,-219.00M,,-3.00M,-266.00M,,4.781B,1.145B,-49.00M,5.877B,2018-05,,,10.00M,-54.00M,118.00M,3.00M,2018-05,AOR,Restated
2018-02,713.00M,,,,,,344.00M,344.00M,-62.00M,,112.00M,,15.00M,,613.00M,-1.572B,,,-54.00M,-1.013B,109.00M,2018-02,-508.00M,,-508.00M,,142.00M,-7.00M,-373.00M,,0.00,-410.00M,-410.00M,,-60.00M,-60.00M,-220.00M,-220.00M,,0.00,-690.00M,,5.689B,-954.00M,46.00M,4.781B,2018-02,,-377.00M,-33.00M,-60.00M,347.00M,24.00M,2018-02,AOR,Restated
2017-11,651.00M,,,,,,335.00M,335.00M,-2.00M,,234.00M,,-5.00M,,-1.415B,2.058B,,,150.00M,793.00M,2.006B,2017-11,-820.00M,,-820.00M,,39.00M,-4.00M,-785.00M,,-58.00M,377.00M,319.00M,,-124.00M,-124.00M,0.00,0.00,,-253.00M,-58.00M,,4.546B,1.163B,-20.00M,5.689B,2017-11,,377.00M,-58.00M,-124.00M,314.00M,54.00M,2017-11,AOR,Restated
2017-08,932.00M,,,,,,441.00M,441.00M,-76.00M,,110.00M,,52.00M,,58.00M,24.00M,,,293.00M,375.00M,1.834B,2017-08,-779.00M,,-779.00M,,-39.00M,2.00M,-816.00M,,2.682B,7.00M,2.689B,,-233.00M,-233.00M,-3.508B,-3.508B,,-25.00M,-1.077B,,4.538B,-59.00M,67.00M,4.546B,2017-08,,,-857.00M,-233.00M,656.00M,32.00M,2017-08,AOR,Restated
2017-05,706.00M,,,,,,320.00M,320.00M,2.00M,,82.00M,,-17.00M,,-217.00M,655.00M,,,75.00M,513.00M,1.606B,2017-05,-540.00M,,-540.00M,,36.00M,6.00M,-498.00M,,-1.10B,29.00M,-1.071B,,-46.00M,-46.00M,-198.00M,-198.00M,,-1.00M,-1.316B,,4.744B,-208.00M,2.00M,4.538B,2017-05,,,-1.071B,-46.00M,71.00M,45.00M,2017-05,AOR,Restated
2017-02,521.00M,,,,,,312.00M,312.00M,-4.00M,,111.00M,,41.00M,,1.248B,-2.128B,,,392.00M,-488.00M,493.00M,2017-02,-516.00M,,-516.00M,,95.00M,24.00M,-397.00M,,0.00,-94.00M,-94.00M,,-68.00M,-68.00M,0.00,0.00,,-3.00M,-165.00M,,4.805B,-69.00M,8.00M,4.744B,2017-02,,,-94.00M,-68.00M,287.00M,20.00M,2017-02,AOR,Restated
2016-11,555.00M,,,,,,297.00M,297.00M,49.00M,,211.00M,,-90.00M,,-1.983B,3.707B,,,47.00M,1.771B,2.793B,2016-11,-667.00M,,-667.00M,,14.00M,-2.00M,-655.00M,,0.00,-178.00M,-178.00M,,-122.00M,-122.00M,-198.00M,-198.00M,,-162.00M,-660.00M,,3.379B,1.478B,-52.00M,4.805B,2016-11,,,-178.00M,-122.00M,171.00M,34.00M,2016-11,AOR,Restated
2016-08,785.00M,,,,,,408.00M,408.00M,111.00M,,97.00M,74.00M,-82.00M,,-33.00M,-1.484B,,,-45.00M,-1.562B,-169.00M,2016-08,-849.00M,,-849.00M,,-204.00M,28.00M,-1.025B,,3.00M,208.00M,211.00M,,-136.00M,-136.00M,-394.00M,-394.00M,,-12.00M,-331.00M,,4.884B,-1.525B,20.00M,3.379B,2016-08,,176.00M,35.00M,-136.00M,408.00M,30.00M,2016-08,AOR,Restated
2016-05,549.00M,,,,,,291.00M,291.00M,173.00M,,75.00M,0.00,20.00M,,106.00M,434.00M,,,211.00M,751.00M,1.859B,2016-05,-461.00M,,-461.00M,,94.00M,-1.00M,-368.00M,,94.00M,-80.00M,14.00M,,-137.00M,-137.00M,-176.00M,-176.00M,,-2.00M,-301.00M,,3.633B,1.19B,61.00M,4.884B,2016-05,,97.00M,-83.00M,-137.00M,98.00M,41.00M,2016-05,AOR,Restated
2016-02,555.00M,,,,,,285.00M,285.00M,2.00M,,101.00M,0.00,-1.00M,,1.375B,-1.917B,,,391.00M,-151.00M,791.00M,2016-02,-624.00M,,-624.00M,,0.00,4.00M,-620.00M,,-1.20B,-110.00M,-1.31B,,-71.00M,-71.00M,-176.00M,-176.00M,,-6.00M,-1.563B,,5.054B,-1.392B,-29.00M,3.633B,2016-02,,16.00M,-1.326B,-71.00M,149.00M,21.00M,2016-02,AOR,Restated
2015-11,487.00M,,,,,,271.00M,271.00M,-17.00M,,186.00M,-74.00M,6.00M,,-1.473B,1.435B,,,-10.00M,-48.00M,811.00M,2015-11,-715.00M,,-715.00M,,387.00M,-4.00M,-332.00M,,,63.00M,63.00M,,-142.00M,-142.00M,0.00,0.00,,-145.00M,-224.00M,,4.801B,255.00M,-2.00M,5.054B,2015-11,,83.00M,-20.00M,-142.00M,298.00M,31.00M,2015-11,AOR,Restated
2015-08,778.00M,,,,,,351.00M,351.00M,-59.00M,,93.00M,-2.00M,-17.00M,,-210.00M,94.00M,,,0.00,-116.00M,1.028B,2015-08,-805.00M,,-805.00M,,106.00M,-6.00M,-705.00M,,95.00M,31.00M,126.00M,,-256.00M,-256.00M,-351.00M,-351.00M,,0.00,-481.00M,,5.063B,-158.00M,-104.00M,4.801B,2015-08,,87.00M,39.00M,-256.00M,577.00M,24.00M,2015-08,AOR,Restated
2015-05,519.00M,,,,,,262.00M,262.00M,-42.00M,,65.00M,-12.00M,29.00M,,-285.00M,549.00M,,,144.00M,408.00M,1.229B,2015-05,-421.00M,,-421.00M,,-153.00M,-21.00M,-595.00M,,1.037B,-14.00M,1.023B,,-123.00M,-123.00M,-2.358B,-2.358B,,-12.00M,-1.47B,,5.866B,-836.00M,33.00M,5.063B,2015-05,,1.036B,-13.00M,-123.00M,177.00M,37.00M,2015-05,AOR,Restated
2015-02,607.00M,,,,,,260.00M,260.00M,,,86.00M,-10.00M,5.00M,,933.00M,-1.208B,,,227.00M,-48.00M,900.00M,2015-02,-612.00M,,-612.00M,,64.00M,21.00M,-527.00M,,-8.00M,-77.00M,-85.00M,,-84.00M,-84.00M,-156.00M,-156.00M,,60.00M,-265.00M,,5.969B,108.00M,-211.00M,5.866B,2015-02,,38.00M,-123.00M,-84.00M,582.00M,89.00M,2015-02,AOR,Restated
2014-11,505.00M,,,,,,254.00M,254.00M,,,150.00M,-62.00M,-22.00M,,-1.328B,1.445B,,,186.00M,303.00M,1.128B,2014-11,-555.00M,,-555.00M,,-84.00M,-14.00M,-653.00M,,,15.00M,15.00M,,-18.00M,-18.00M,,,,-105.00M,-108.00M,,5.738B,367.00M,-136.00M,5.969B,2014-11,,15.00M,,-18.00M,-150.00M,-33.00M,2014-11,AOR,Restated
2014-08,-199.00M,,,,,,-150.00M,-150.00M,,,-109.00M,60.00M,1.00M,,418.00M,-17.00M,,,-753.00M,-352.00M,-810.00M,2014-08,454.00M,,454.00M,,-172.00M,3.00M,285.00M,,,95.00M,212.00M,,-163.00M,-163.00M,-174.00M,-174.00M,-33.00M,138.00M,-20.00M,,5.736B,-545.00M,61.00M,5.738B,2014-08,,183.00M,29.00M,-163.00M,-869.00M,-109.00M,2014-08,AOR,Restated
2014-05,1.383B,,,,,,708.00M,708.00M,,,251.00M,-75.00M,19.00M,,-584.00M,603.00M,,,839.00M,858.00M,3.142B,2014-05,-1.426B,,-1.426B,,-56.00M,-5.00M,-1.487B,,,-30.00M,-30.00M,,-171.00M,-171.00M,-273.00M,-273.00M,22.00M,-90.00M,-542.00M,,5.13B,1.113B,-21.00M,5.736B,2014-05,,59.00M,-89.00M,-171.00M,-211.00M,-53.00M,2014-05,AOR,Restated
2014-02,473.00M,,,,,,240.00M,240.00M,,,73.00M,-4.00M,-9.00M,,1.023B,-1.368B,,,285.00M,-60.00M,713.00M,2014-02,-447.00M,,-447.00M,,396.00M,-14.00M,-65.00M,,,-26.00M,-26.00M,,0.00,0.00,-137.00M,-137.00M,6.00M,4.00M,-153.00M,,4.699B,495.00M,-64.00M,5.13B,2014-02,,17.00M,-43.00M,0.00,211.00M,21.00M,2014-02,AOR,Restated
2013-11,431.00M,,,,,,231.00M,231.00M,,,112.00M,-65.00M,11.00M,,-1.42B,1.311B,,,328.00M,219.00M,939.00M,2013-11,-574.00M,,-574.00M,,-265.00M,13.00M,-826.00M,,,22.00M,22.00M,,0.00,0.00,,,5.00M,-98.00M,-71.00M,,4.644B,42.00M,13.00M,4.699B,2013-11,,22.00M,,0.00,0.00,32.00M,2013-11,AOR,Restated
2013-08,622.00M,,,,,,295.00M,295.00M,-8.00M,,75.00M,-3.00M,0.00,,-303.00M,80.00M,,,-195.00M,-418.00M,563.00M,2013-08,-704.00M,,-704.00M,,-440.00M,9.00M,-1.135B,,107.00M,-13.00M,94.00M,,0.00,0.00,-271.00M,-271.00M,-47.00M,52.00M,-172.00M,,5.448B,-744.00M,-60.00M,4.644B,2013-08,,151.00M,-57.00M,0.00,-1.492B,-150.00M,2013-08,AOR,Restated
2013-05,464.00M,,,,,,221.00M,221.00M,-18.00M,,51.00M,-7.00M,5.00M,,-73.00M,401.00M,,,305.00M,633.00M,1.349B,2013-05,-436.00M,,-436.00M,,176.00M,-1.00M,-261.00M,,114.00M,-28.00M,86.00M,,0.00,0.00,-120.00M,-120.00M,12.00M,3.00M,-19.00M,,4.413B,1.069B,-34.00M,5.448B,2013-05,,143.00M,-57.00M,0.00,491.00M,64.00M,2013-05,AOR,Restated
2013-02,554.00M,,,,,,217.00M,217.00M,35.00M,,66.00M,-13.00M,-18.00M,,533.00M,-1.046B,,,95.00M,-418.00M,423.00M,2013-02,-455.00M,,-455.00M,,496.00M,-41.00M,0.00,,3.496B,-237.00M,3.259B,,0.00,0.00,-3.169B,-3.169B,25.00M,-1.00M,114.00M,,3.897B,537.00M,-21.00M,4.413B,2013-02,,3.317B,-58.00M,0.00,-118.00M,-31.00M,2013-02,AOR,Restated
2012-11,421.00M,,,,,,213.00M,213.00M,-2.00M,,93.00M,-38.00M,6.00M,,-1.055B,1.283B,,,181.00M,409.00M,1.102B,2012-11,-488.00M,,-488.00M,,-419.00M,52.00M,-855.00M,,,247.00M,247.00M,,-36.00M,-36.00M,,,10.00M,-100.00M,121.00M,,3.528B,368.00M,1.00M,3.897B,2012-11,,362.00M,-115.00M,-36.00M,118.00M,31.00M,2012-11,AOR,Restated
2012-08,622.00M,,,,,,292.00M,292.00M,4.00M,,62.00M,-14.00M,-3.00M,,-56.00M,-56.00M,,,-121.00M,-233.00M,730.00M,2012-08,-580.00M,,-580.00M,,-138.00M,-1.00M,-719.00M,,3.00M,45.00M,48.00M,,-180.00M,-180.00M,-237.00M,-237.00M,38.00M,-939.00M,-1.27B,,4.791B,-1.259B,-4.00M,3.528B,2012-08,,48.00M,0.00,-180.00M,-1.451B,-223.00M,2012-08,AOR,Restated
2012-05,405.00M,,,,,,202.00M,202.00M,0.00,,45.00M,-10.00M,12.00M,,-107.00M,469.00M,,,67.00M,429.00M,1.083B,2012-05,-268.00M,,-268.00M,,204.00M,-1.00M,-65.00M,,-902.00M,489.00M,-413.00M,,-140.00M,-140.00M,-104.00M,-104.00M,32.00M,6.00M,-619.00M,,4.389B,399.00M,3.00M,4.791B,2012-05,,484.00M,-897.00M,-140.00M,858.00M,167.00M,2012-05,AOR,Restated
2012-02,412.00M,,,,,,209.00M,209.00M,7.00M,,58.00M,-4.00M,11.00M,,735.00M,-1.066B,,,218.00M,-113.00M,580.00M,2012-02,-289.00M,-7.00M,-296.00M,,200.00M,-4.00M,-100.00M,,51.00M,-271.00M,-220.00M,,-149.00M,-149.00M,-105.00M,-105.00M,14.00M,1.00M,-459.00M,,4.319B,21.00M,49.00M,4.389B,2012-02,,-186.00M,-34.00M,-149.00M,-511.00M,-112.00M,2012-02,AOR,Restated
2011-11,328.00M,,,,,,205.00M,205.00M,-14.00M,,76.00M,-36.00M,8.00M,,-1.062B,991.00M,,,168.00M,97.00M,664.00M,2011-11,-343.00M,7.00M,-336.00M,,-11.00M,-5.00M,-352.00M,,78.00M,194.00M,272.00M,,-163.00M,-163.00M,,,25.00M,-67.00M,67.00M,,4.009B,379.00M,-69.00M,4.319B,2011-11,,355.00M,-83.00M,-163.00M,148.00M,56.00M,2011-11,AOR,Restated
2011-08,500.00M,,,,,,273.00M,273.00M,106.00M,,55.00M,-2.00M,7.00M,,-285.00M,286.00M,,,1.00M,2.00M,941.00M,2011-08,-472.00M,-9.00M,-481.00M,0.00,529.00M,10.00M,58.00M,,0.00,-550.00M,-550.00M,,-277.00M,-277.00M,-210.00M,-210.00M,12.00M,10.00M,-1.015B,,4.082B,-16.00M,-57.00M,4.009B,2011-08,,36.00M,-586.00M,-277.00M,283.00M,1.00M,2011-08,AOR,Restated
2011-05,341.00M,,,,,,196.00M,196.00M,-16.00M,,43.00M,-15.00M,7.00M,,-206.00M,418.00M,,,43.00M,255.00M,811.00M,2011-05,-278.00M,1.00M,-277.00M,0.00,-100.00M,0.00,-377.00M,,0.00,354.00M,354.00M,,-108.00M,-108.00M,-90.00M,-90.00M,80.00M,5.00M,241.00M,,3.355B,675.00M,52.00M,4.082B,2011-05,,35.00M,319.00M,-108.00M,202.00M,55.00M,2011-05,AOR,Restated
2011-02,369.00M,,,,,,195.00M,195.00M,-6.00M,,52.00M,-11.00M,-31.00M,,761.00M,-861.00M,,,218.00M,118.00M,726.00M,2011-02,-234.00M,1.00M,-233.00M,0.00,-486.00M,-5.00M,-724.00M,,0.00,-415.00M,-415.00M,,-94.00M,-94.00M,0.00,0.00,81.00M,12.00M,-416.00M,,3.739B,-414.00M,30.00M,3.355B,2011-02,,-73.00M,-342.00M,-94.00M,175.00M,1.00M,2011-02,AOR,Restated
2010-11,332.00M,,,,,,191.00M,191.00M,,,57.00M,-17.00M,40.00M,,-912.00M,961.00M,,,108.00M,157.00M,720.00M,2010-11,-306.00M,7.00M,-299.00M,165.00M,-3.00M,,-137.00M,,0.00,71.00M,71.00M,,-145.00M,-145.00M,-89.00M,-89.00M,112.00M,-36.00M,-87.00M,,3.214B,496.00M,29.00M,3.739B,2010-11,,81.00M,-10.00M,-145.00M,82.00M,54.00M,2010-11,AOR,Restated
2010-08,437.00M,,29.00M,29.00M,,,246.00M,246.00M,7.00M,,51.00M,-1.00M,-34.00M,-327.00M,-93.00M,13.00M,,,,-124.00M,611.00M,2010-08,-411.00M,1.00M,-410.00M,0.00,-683.00M,-10.00M,-1.103B,,-1.00M,-117.00M,-118.00M,,-435.00M,-435.00M,-180.00M,-180.00M,67.00M,-41.00M,-707.00M,,4.413B,-1.199B,0.00,3.214B,2010-08,,-110.00M,-8.00M,-435.00M,291.00M,0.00,2010-08,AOR,Restated
2010-05,311.00M,,-7.00M,-7.00M,,,180.00M,180.00M,3.00M,,39.00M,-3.00M,0.00,141.00M,-183.00M,328.00M,,,,286.00M,809.00M,2010-05,-138.00M,1.00M,-137.00M,0.00,-269.00M,0.00,-406.00M,,-44.00M,25.00M,-19.00M,,-110.00M,-110.00M,-79.00M,-79.00M,82.00M,3.00M,-123.00M,,4.134B,280.00M,-1.00M,4.413B,2010-05,,40.00M,-59.00M,-110.00M,52.00M,57.00M,2010-05,AOR,Restated
2010-02,305.00M,,-14.00M,-14.00M,,,185.00M,185.00M,-1.00M,,48.00M,-1.00M,-3.00M,-1.00M,858.00M,-767.00M,,,,90.00M,609.00M,2010-02,-193.00M,1.00M,-192.00M,0.00,-12.00M,-6.00M,-210.00M,,-4.00M,76.00M,72.00M,,-6.00M,-6.00M,0.00,0.00,50.00M,0.00,116.00M,,3.617B,515.00M,2.00M,4.134B,2010-02,,94.00M,-22.00M,-6.00M,253.00M,0.00,2010-02,AOR,Restated
2009-11,270.00M,,-8.00M,-8.00M,,,184.00M,184.00M,-2.00M,,52.00M,-5.00M,-3.00M,187.00M,-795.00M,871.00M,,,,263.00M,751.00M,2009-11,-313.00M,1.00M,-312.00M,0.00,8.00M,8.00M,-296.00M,,-35.00M,29.00M,-6.00M,,0.00,0.00,-79.00M,-79.00M,36.00M,44.00M,-5.00M,,3.157B,450.00M,10.00M,3.617B,2009-11,,62.00M,-68.00M,0.00,41.00M,53.00M,2009-11,AOR,Restated
2009-08,378.00M,,-11.00M,-11.00M,,,241.00M,241.00M,-2.00M,,49.00M,0.00,53.00M,-245.00M,-48.00M,-8.00M,,,,-159.00M,549.00M,2009-08,-353.00M,2.00M,-351.00M,,40.00M,-12.00M,-323.00M,,-2.00M,-29.00M,-31.00M,,0.00,0.00,-157.00M,-157.00M,18.00M,-9.00M,-179.00M,,3.083B,47.00M,27.00M,3.157B,2009-08,,41.00M,-72.00M,0.00,249.00M,-2.00M,2009-08,AOR,Restated
2009-05,212.00M,,-8.00M,-8.00M,,,171.00M,171.00M,9.00M,,43.00M,0.00,18.00M,204.00M,-226.00M,270.00M,,,,248.00M,693.00M,2009-05,-226.00M,1.00M,-225.00M,,5.00M,1.00M,-219.00M,,-2.00M,-55.00M,-57.00M,,-2.00M,-2.00M,-70.00M,-70.00M,20.00M,0.00,-109.00M,,2.705B,365.00M,13.00M,3.083B,2009-05,,330.00M,-387.00M,-2.00M,492.00M,158.00M,2009-05,AOR,Restated
2009-02,243.00M,,-8.00M,-8.00M,,,161.00M,161.00M,-10.00M,,45.00M,0.00,10.00M,232.00M,976.00M,-784.00M,,,,424.00M,865.00M,2009-02,-296.00M,4.00M,-292.00M,,38.00M,-3.00M,-257.00M,,-1.00M,-86.00M,-87.00M,,0.00,0.00,-69.00M,-69.00M,29.00M,0.00,-127.00M,,2.215B,481.00M,9.00M,2.705B,2009-02,,252.00M,-339.00M,0.00,-204.00M,-105.00M,2009-02,,Restated
2008-11,266.00M,,-6.00M,-6.00M,,,155.00M,155.00M,3.00M,,44.00M,-2.00M,35.00M,-191.00M,-1.096B,777.00M,,,,-510.00M,-15.00M,2008-11,-375.00M,0.00,-375.00M,,74.00M,-1.00M,-302.00M,,-1.00M,40.00M,39.00M,,-67.00M,-67.00M,0.00,0.00,2.00M,2.00M,-24.00M,,2.619B,-341.00M,-63.00M,2.215B,2008-11,,1.046B,-1.007B,-67.00M,28.00M,53.00M,2008-11,,Restated
2008-08,410.00M,6.00M,-12.00M,-6.00M,,,217.00M,217.00M,55.00M,-4.00M,50.00M,-6.00M,-7.00M,-156.00M,209.00M,-319.00M,,,,-266.00M,443.00M,2008-08,-450.00M,33.00M,-417.00M,,169.00M,-3.00M,-251.00M,,-2.00M,-52.00M,-54.00M,,-234.00M,-234.00M,,-139.00M,24.00M,-2.00M,-405.00M,,2.849B,-213.00M,-17.00M,2.619B,2008-08,,1.701B,-1.755B,-234.00M,-933.00M,-216.00M,2008-08,,Restated
2008-05,295.17M,-6.00M,-29.00M,-10.63M,,,149.46M,149.46M,-14.03M,4.00M,116.00M,-35.00M,-64.22M,289.81M,-81.64M,260.68M,,,,468.86M,909.61M,2008-05,-370.24M,4.524M,-365.72M,,-281.98M,379.98M,-267.71M,,36.00M,188.00M,75.70M,-119.13M,-253.98M,-373.12M,,-62.94M,282.00M,24.23M,-54.14M,,2.267B,587.77M,-6.416M,2.849B,2008-05,-119.13M,3.701B,-3.477B,-253.98M,318.00M,110.00M,2008-05,,Restated
2008-02,327.83M,,,-14.37M,,,145.54M,145.54M,-15.97M,,,,46.22M,208.19M,519.64M,-634.68M,,,,93.14M,582.39M,2008-02,-341.76M,5.476M,-336.28M,,-154.02M,-382.98M,-873.29M,,,,162.30M,50.13M,-123.02M,-72.88M,,-63.06M,,-208.23M,-181.86M,,2.742B,-472.77M,-2.584M,2.267B,2008-02,50.13M,,,-123.02M,,,2008-02,,
2007-11,262.00M,,,-10.00M,,,141.00M,141.00M,-4.00M,,,,29.00M,-97.00M,-839.00M,789.00M,,,,-147.00M,271.00M,2007-11,-437.00M,5.00M,-432.00M,,115.00M,-8.00M,-325.00M,,,,-14.00M,69.00M,-284.00M,-215.00M,,,,227.00M,-2.00M,,2.78B,-56.00M,19.00M,2.742B,2007-11,69.00M,,,-284.00M,,,2007-11,,
2007-08,372.42M,,,-7.541M,,,177.96M,177.96M,-80.29M,,,,36.33M,-24.49M,106.90M,-58.50M,,,,23.91M,522.79M,2007-08,-497.26M,1.618M,-495.64M,,82.86M,-1.312M,-414.10M,,,,-69.96M,132.29M,-471.45M,-339.16M,,-128.11M,,33.08M,-504.14M,,3.161B,-395.45M,14.25M,2.780B,2007-08,132.29M,,,-471.45M,,,2007-08,,
