,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,11.64B,11.64B,9.977B,1.658B,,155.00M,-155.00M,,,1.658B,155.00M,-155.00M,-143.00M,-155.00M,1.36B,203.00M,1.157B,,,,1.157B,1.157B,1.794B,279.00M,1.515B,4.05,,,4.05,4.05,4.02,,,4.02,4.02,285.50M,287.90M,2.0
2017-12,13.84B,13.84B,12.14B,1.709B,0.00,174.00M,-174.00M,,0.00,1.709B,174.00M,-174.00M,37.00M,-174.00M,1.572B,2.389B,-817.00M,,,,-744.00M,-817.00M,2.061B,315.00M,1.746B,-2.5,0.25,,-2.5,-2.25,-2.5,0.25,,-2.5,-2.25,285.70M,288.50M,2.0
2017-09,12.34B,12.34B,10.74B,1.60B,0.00,162.00M,-162.00M,,0.00,1.60B,162.00M,-162.00M,-141.00M,-162.00M,1.297B,334.00M,963.00M,,,,963.00M,963.00M,1.758B,299.00M,1.459B,3.35,,,3.35,3.35,3.32,,,3.32,3.32,287.10M,290.00M,1.82
2017-06,12.56B,12.56B,10.91B,1.656B,,160.00M,-160.00M,,,1.656B,160.00M,-160.00M,-154.00M,-160.00M,1.342B,387.00M,955.00M,,,,955.00M,955.00M,1.798B,296.00M,1.502B,3.31,,,3.31,3.31,3.28,,,3.28,3.28,288.50M,291.20M,1.82
2017-03,11.21B,11.21B,9.806B,1.406B,,155.00M,-155.00M,,,1.406B,155.00M,-155.00M,-216.00M,-155.00M,1.035B,246.00M,789.00M,,,,789.00M,789.00M,1.475B,285.00M,1.19B,2.72,,,2.72,2.72,2.69,,,2.69,2.69,290.00M,292.80M,1.82
2016-12,13.79B,13.79B,12.10B,1.692B,0.00,171.00M,-171.00M,,0.00,1.692B,171.00M,-171.00M,-398.00M,-171.00M,1.123B,256.00M,867.00M,-8.00M,,,859.00M,867.00M,1.621B,327.00M,1.294B,3.29,0.1,,3.29,3.39,3.25,0.1,,3.25,3.35,291.20M,294.70M,1.82
2016-09,11.55B,11.55B,10.17B,1.384B,0.00,162.00M,-162.00M,,0.00,1.384B,162.00M,-162.00M,205.00M,-162.00M,1.427B,338.00M,1.089B,1.306B,,,2.395B,1.089B,1.884B,295.00M,1.589B,3.64,4.38,,3.64,8.02,3.61,4.32,,3.61,7.93,298.50M,302.10M,1.65
2016-06,11.58B,11.58B,10.35B,1.23B,0.00,165.00M,-165.00M,,0.00,1.23B,165.00M,-165.00M,145.00M,-165.00M,1.21B,311.00M,899.00M,122.00M,,,1.021B,899.00M,1.672B,297.00M,1.375B,2.97,0.4,,2.97,3.37,2.93,0.39,,2.93,3.32,303.10M,307.10M,1.65
2016-03,10.37B,10.37B,9.193B,1.175B,-80.00M,165.00M,-165.00M,,-80.00M,1.175B,165.00M,-165.00M,-16.00M,-165.00M,994.00M,188.00M,806.00M,92.00M,,,898.00M,870.88M,1.455B,296.00M,1.159B,2.65,0.3,,2.863,2.95,2.61,0.3,,2.82,2.91,304.50M,308.70M,1.65
2015-12,11.52B,11.52B,10.32B,1.204B,-67.00M,142.00M,-142.00M,,-67.00M,1.204B,142.00M,-142.00M,-80.00M,-142.00M,982.00M,165.00M,817.00M,116.00M,,,933.00M,872.74M,1.424B,300.00M,1.124B,3.05,0.39,,3.2319999999999998,3.05,3.01,0.38,,3.19,3.01,305.50M,309.90M,1.65
2015-09,10.06B,10.06B,8.948B,1.112B,-15.00M,104.00M,-104.00M,,-15.00M,1.112B,104.00M,-104.00M,81.00M,-104.00M,1.089B,333.00M,756.00M,109.00M,,,865.00M,766.41M,1.429B,236.00M,1.193B,2.45,0.35,,2.484,2.8,2.42,0.35,,2.4530000000000003,2.77,308.40M,312.70M,1.5
2015-06,11.64B,11.64B,10.27B,1.371B,0.00,104.00M,-104.00M,,0.00,1.371B,104.00M,-104.00M,76.00M,-104.00M,1.343B,414.00M,929.00M,,,,929.00M,929.00M,1.693B,246.00M,1.447B,2.98,,,2.98,2.98,2.94,,,2.94,2.94,312.00M,316.10M,1.5
2015-03,10.11B,10.11B,8.848B,1.263B,0.00,93.00M,-93.00M,,0.00,1.263B,93.00M,-93.00M,96.00M,-93.00M,1.266B,388.00M,878.00M,,,,878.00M,878.00M,1.603B,244.00M,1.359B,2.78,,,2.78,2.78,2.74,,,2.74,2.74,315.40M,320.20M,1.5
2014-12,6.876B,6.876B,6.18B,696.00M,0.00,87.00M,-87.00M,,0.00,696.00M,87.00M,-87.00M,68.00M,-87.00M,677.00M,134.00M,543.00M,,,,904.00M,543.00M,1.032B,268.00M,764.00M,2.87,0.0,,2.87,2.87,2.82,0.0,,2.82,2.82,315.00M,320.60M,1.5
2014-09,11.11B,11.11B,9.839B,1.275B,0.00,82.00M,-82.00M,,0.00,1.275B,82.00M,-82.00M,118.00M,-82.00M,1.311B,423.00M,888.00M,,,,888.00M,888.00M,1.64B,247.00M,1.393B,2.81,,,2.81,2.81,2.76,,,2.76,2.76,316.30M,321.80M,1.33
2014-06,11.31B,11.31B,9.965B,1.341B,,85.00M,-85.00M,,,1.341B,85.00M,-85.00M,85.00M,-85.00M,1.341B,452.00M,889.00M,,,,889.00M,889.00M,1.668B,242.00M,1.426B,2.81,,,2.81,2.81,2.76,,,2.76,2.76,316.80M,322.10M,1.33
2014-03,10.65B,10.65B,9.279B,1.371B,,86.00M,-86.00M,,,1.371B,86.00M,-86.00M,63.00M,-86.00M,1.348B,415.00M,933.00M,,,,933.00M,933.00M,1.671B,237.00M,1.434B,2.92,,,2.92,2.92,2.87,,,2.87,2.87,319.10M,325.10M,1.33
2013-12,11.53B,11.53B,10.43B,1.104B,-366.00M,86.00M,-86.00M,,-366.00M,1.104B,86.00M,-86.00M,-272.00M,-86.00M,746.00M,258.00M,488.00M,0.00,,,488.00M,727.42M,1.118B,286.00M,832.00M,1.53,0.0,,2.279,1.53,1.5,0.0,,2.234,1.5,319.70M,326.20M,1.33
2013-09,11.35B,11.35B,10.16B,1.184B,0.00,84.00M,-84.00M,,0.00,1.184B,84.00M,-84.00M,73.00M,-84.00M,1.173B,331.00M,842.00M,31.00M,,,873.00M,842.00M,1.489B,232.00M,1.257B,2.62,0.1,,2.62,2.72,2.57,0.09,,2.57,2.66,321.30M,327.50M,1.15
2013-06,11.41B,11.41B,10.18B,1.224B,0.00,88.00M,-88.00M,,0.00,1.224B,88.00M,-88.00M,75.00M,-88.00M,1.211B,352.00M,859.00M,,,,859.00M,859.00M,1.539B,240.00M,1.299B,2.68,,,2.68,2.68,2.64,,,2.64,2.64,320.80M,325.90M,1.15
2013-03,11.07B,11.07B,9.999B,1.071B,-30.00M,92.00M,-92.00M,,-30.00M,1.071B,92.00M,-92.00M,46.00M,-92.00M,1.025B,264.00M,761.00M,,,,761.00M,783.26M,1.349B,232.00M,1.117B,2.37,,,2.439,2.37,2.33,,,2.398,2.33,321.70M,326.30M,1.15
2012-12,12.10B,12.10B,11.08B,1.02B,-25.00M,94.00M,-94.00M,,-25.00M,1.02B,94.00M,-94.00M,32.00M,-94.00M,958.00M,389.00M,569.00M,0.00,,,569.00M,585.25M,1.329B,277.00M,1.052B,1.76,0.0,,1.81,1.76,1.73,0.0,,1.78,1.73,322.80M,327.80M,1.15
2012-09,11.87B,11.87B,10.83B,1.043B,-23.00M,97.00M,-97.00M,,-23.00M,1.043B,97.00M,-97.00M,100.00M,-97.00M,1.046B,319.00M,727.00M,0.00,,,727.00M,742.98M,1.39B,247.00M,1.143B,2.25,0.0,,2.299,2.25,2.21,0.0,,2.259,2.21,323.50M,328.30M,1.0
2012-06,11.92B,11.92B,10.75B,1.172B,0.00,96.00M,-96.00M,,0.00,1.172B,96.00M,-96.00M,41.00M,-96.00M,1.117B,336.00M,781.00M,,,,781.00M,781.00M,1.446B,233.00M,1.213B,2.41,,,2.41,2.41,2.38,,,2.38,2.38,324.50M,328.80M,1.0
2012-03,11.29B,11.29B,10.28B,1.009B,0.00,96.00M,-96.00M,,0.00,1.009B,96.00M,-96.00M,38.00M,-96.00M,951.00M,283.00M,668.00M,,,,668.00M,668.00M,1.278B,231.00M,1.047B,2.06,,,2.06,2.06,2.03,,,2.03,2.03,324.10M,328.60M,1.0
2011-12,12.21B,12.21B,11.05B,1.164B,-343.00M,96.00M,-96.00M,,-343.00M,1.164B,96.00M,-96.00M,-102.00M,-96.00M,966.00M,268.00M,698.00M,-15.00M,,,683.00M,945.84M,1.331B,269.00M,1.062B,2.16,-0.05,,2.929,2.11,2.13,-0.05,,2.889,2.08,322.40M,326.70M,1.0
2011-09,12.12B,12.12B,11.12B,996.00M,42.00M,89.00M,-89.00M,,0.00,996.00M,89.00M,-89.00M,42.00M,-89.00M,949.00M,284.00M,665.00M,35.00M,,,700.00M,635.57M,1.285B,247.00M,1.038B,2.01,0.11,,1.921,2.12,1.99,0.11,,1.902,2.1,329.80M,333.60M,0.75
2011-06,11.54B,11.54B,10.64B,906.00M,96.00M,84.00M,-84.00M,,0.00,906.00M,84.00M,-84.00M,96.00M,-84.00M,918.00M,170.00M,748.00M,-6.00M,,,742.00M,669.76M,1.248B,246.00M,1.002B,2.18,-0.02,,1.952,2.16,2.16,-0.02,,1.9340000000000002,2.14,342.80M,346.60M,0.75
2011-03,10.63B,10.63B,9.812B,814.00M,69.00M,85.00M,-85.00M,,0.00,814.00M,85.00M,-85.00M,69.00M,-85.00M,798.00M,242.00M,556.00M,-26.00M,,,530.00M,507.91M,1.129B,246.00M,883.00M,1.59,-0.07,,1.452,1.52,1.57,-0.07,,1.4340000000000002,1.5,348.50M,352.60M,0.75
2010-12,12.76B,12.76B,11.43B,1.333B,-469.00M,87.00M,-87.00M,,-469.00M,1.333B,87.00M,-87.00M,-190.00M,-87.00M,1.056B,235.00M,821.00M,140.00M,,,961.00M,1.186B,1.582B,439.00M,1.143B,2.3,0.38,,3.326,2.68,2.26,0.38,,3.273,2.64,355.50M,359.90M,0.75
2010-09,11.34B,11.34B,10.55B,789.00M,125.00M,85.00M,-85.00M,,0.00,789.00M,85.00M,-85.00M,125.00M,-85.00M,829.00M,272.00M,557.00M,3.00M,,,560.00M,473.01M,1.127B,213.00M,914.00M,1.55,0.01,,1.317,1.56,1.53,0.01,,1.2990000000000002,1.54,360.10M,363.90M,0.63
2010-06,11.28B,11.28B,10.24B,1.042B,54.00M,86.00M,-86.00M,,0.00,1.042B,86.00M,-86.00M,54.00M,-86.00M,1.01B,296.00M,714.00M,110.00M,,,824.00M,675.83M,1.297B,201.00M,1.096B,1.94,0.3,,1.8359999999999999,2.24,1.92,0.3,,1.817,2.22,367.60M,371.70M,0.63
2010-03,10.34B,10.34B,9.441B,896.00M,70.00M,87.00M,-87.00M,,0.00,896.00M,87.00M,-87.00M,70.00M,-87.00M,879.00M,360.00M,519.00M,14.00M,,,533.00M,473.50M,1.165B,199.00M,966.00M,1.4,0.03,,1.278,1.43,1.38,0.03,,1.26,1.41,373.50M,377.70M,0.63
2009-12,12.08B,12.08B,10.90B,1.171B,246.00M,86.00M,-86.00M,,0.00,1.171B,86.00M,-86.00M,246.00M,-86.00M,1.136B,332.00M,804.00M,-28.00M,,,776.00M,629.89M,1.611B,389.00M,1.222B,2.12,-0.06,,1.659,2.06,2.1,-0.07,,1.6440000000000001,2.03,377.60M,381.70M,0.63
2009-09,10.77B,10.77B,9.781B,986.00M,54.00M,74.00M,-74.00M,,0.00,986.00M,74.00M,-74.00M,54.00M,-74.00M,1.048B,262.00M,786.00M,11.00M,,,797.00M,745.50M,1.337B,215.00M,1.122B,2.06,0.03,,1.954,2.09,2.04,0.03,,1.935,2.07,381.40M,385.50M,0.57
2009-06,11.07B,11.07B,10.06B,1.012B,46.00M,74.00M,-74.00M,,0.00,1.012B,74.00M,-74.00M,46.00M,-74.00M,1.05B,319.00M,731.00M,3.00M,,,734.00M,698.98M,1.332B,208.00M,1.124B,1.89,0.01,,1.807,1.9,1.87,0.01,,1.788,1.88,386.90M,390.90M,0.57
2009-03,10.37B,10.37B,9.368B,1.005B,-3.00M,76.00M,-76.00M,,0.00,1.005B,76.00M,-76.00M,-3.00M,-76.00M,978.00M,312.00M,666.00M,,,,666.00M,668.04M,1.256B,202.00M,1.054B,1.69,0.0,,1.695,1.69,1.68,0.0,,1.685,1.68,393.40M,397.50M,0.57
2008-12,9.773B,9.773B,8.581B,1.192B,370.00M,68.00M,-68.00M,,0.00,1.192B,68.00M,-68.00M,370.00M,-68.00M,1.093B,320.00M,773.00M,,,,823.00M,511.33M,1.394B,233.00M,1.161B,1.95,0.13,,1.288,2.08,1.92,0.12,,1.273,2.04,395.50M,404.30M,0.57
2008-09,10.58B,10.58B,9.455B,1.122B,-13.00M,85.00M,-85.00M,,0.00,1.122B,85.00M,-85.00M,-13.00M,-85.00M,1.144B,362.00M,782.00M,,,,782.00M,790.89M,1.443B,214.00M,1.229B,1.97,0.0,,1.992,1.97,1.92,0.0,,1.942,1.92,397.40M,407.10M,0.42
2008-06,11.04B,11.04B,9.848B,1.191B,34.00M,92.00M,-92.00M,,0.00,1.191B,92.00M,-92.00M,34.00M,-92.00M,1.305B,423.00M,882.00M,,,,882.00M,859.02M,1.599B,202.00M,1.397B,2.21,0.0,,2.1519999999999997,2.21,2.15,0.0,,2.094,2.15,399.30M,409.50M,0.42
2008-03,9.983B,9.983B,8.914B,1.069B,-7.00M,87.00M,-87.00M,,0.00,1.069B,87.00M,-87.00M,-7.00M,-87.00M,1.084B,354.00M,730.00M,,,,730.00M,734.71M,1.367B,196.00M,1.171B,1.8,0.0,,1.8119999999999998,1.8,1.75,0.0,,1.761,1.75,406.60M,416.80M,0.42
2007-12,10.84B,10.84B,9.717B,1.124B,423.00M,87.00M,-87.00M,,0.00,1.124B,87.00M,-87.00M,423.00M,-87.00M,1.182B,383.00M,799.00M,,,,799.00M,513.06M,1.517B,248.00M,1.269B,1.94,0.0,,1.247,1.94,1.89,0.0,,1.214,1.89,412.40M,422.90M,0.42
2007-09,11.10B,11.10B,9.949B,1.146B,-18.00M,79.00M,-79.00M,,0.00,1.146B,79.00M,-79.00M,-18.00M,-79.00M,1.119B,353.00M,766.00M,,,,766.00M,778.32M,1.40B,202.00M,1.198B,1.85,0.0,,1.88,1.85,1.8,0.0,,1.829,1.8,413.50M,424.50M,0.35
2007-06,10.65B,10.65B,9.597B,1.054B,177.00M,,,,-177.00M,1.231B,,,177.00M,,1.138B,360.00M,778.00M,,,,778.00M,656.99M,1.415B,184.00M,1.231B,1.87,0.0,,1.579,1.87,1.82,0.0,,1.537,1.82,416.04M,427.47M,0.35
2007-03,9.275B,9.275B,8.365B,910.00M,112.00M,,,,-112.00M,1.022B,,,112.00M,,929.00M,239.00M,690.00M,,,,690.00M,606.81M,1.207B,185.00M,1.022B,1.64,0.0,,1.442,1.64,1.6,0.0,,1.4069999999999998,1.6,420.73M,431.25M,0.35
2006-12,10.84B,10.84B,9.809B,1.031B,103.00M,,,,416.00M,615.00M,,,103.00M,,1.049B,320.00M,729.00M,,,,729.00M,657.42M,1.351B,217.00M,1.134B,1.72,0.0,,1.551,1.72,1.68,0.0,,1.515,1.68,423.62M,434.92M,0.35
2006-09,9.605B,9.605B,8.802B,803.00M,102.00M,,,,-102.00M,905.00M,,,102.00M,,815.00M,186.00M,629.00M,,,,629.00M,550.28M,1.09B,185.00M,905.00M,1.48,0.0,,1.295,1.48,1.46,0.0,,1.2770000000000001,1.46,425.00M,430.82M,0.3
2006-06,9.961B,9.961B,9.121B,840.00M,103.00M,,,,-103.00M,943.00M,,,103.00M,,851.00M,271.00M,580.00M,,,,580.00M,509.80M,1.131B,188.00M,943.00M,1.35,0.0,,1.187,1.35,1.34,0.0,,1.178,1.34,429.63M,432.84M,0.3
2006-03,9.214B,9.214B,8.454B,760.00M,211.00M,,,,-211.00M,971.00M,,,211.00M,,877.00M,286.00M,591.00M,,,,591.00M,448.81M,1.145B,174.00M,971.00M,1.36,0.0,,1.033,1.36,1.34,0.0,,1.018,1.34,434.56M,441.04M,0.3
2005-12,10.23B,10.23B,9.508B,721.00M,165.00M,,,,284.00M,437.00M,,,165.00M,,793.00M,225.00M,568.00M,,,,568.00M,449.82M,1.082B,196.00M,886.00M,1.31,0.0,,1.037,1.31,1.29,0.0,,1.022,1.29,433.38M,440.81M,0.3
2005-09,9.201B,9.201B,8.585B,616.00M,90.00M,,,,-90.00M,706.00M,,,90.00M,,613.00M,186.00M,427.00M,,,,427.00M,364.31M,882.00M,176.00M,706.00M,0.97,0.0,,0.8276,0.97,0.96,0.0,,0.8191,0.96,440.21M,444.79M,0.25
2005-06,9.295B,9.295B,8.637B,658.00M,106.00M,,,,106.00M,658.00M,,,106.00M,,670.00M,209.00M,461.00M,,,,461.00M,388.07M,828.00M,170.00M,658.00M,1.03,0.0,,0.867,1.03,1.02,0.0,,0.8586,1.02,447.57M,451.96M,0.25
2005-03,8.488B,8.488B,7.946B,542.00M,88.00M,,,,88.00M,542.00M,,,88.00M,,540.00M,171.00M,369.00M,,,,369.00M,308.87M,705.00M,163.00M,542.00M,0.84,0.0,,0.7031,0.84,0.83,0.0,,0.6947,0.83,439.29M,444.58M,0.25
2004-12,9.965B,9.965B,9.515B,450.00M,,,,,,450.00M,,,,,346.00M,-26.00M,372.00M,,,,372.00M,372.00M,742.00M,171.00M,571.00M,0.84,0.0,,0.84,0.84,0.83,0.0,,0.83,0.83,444.68M,447.40M,0.25
2004-09,8.438B,8.438B,7.921B,517.00M,44.00M,,,,44.00M,517.00M,,,44.00M,,452.00M,145.00M,307.00M,,,,307.00M,277.12M,686.00M,169.00M,517.00M,0.69,0.0,,0.6228,0.69,0.69,0.0,,0.6228,0.69,444.93M,444.93M,0.22
2004-06,8.776B,8.776B,8.243B,533.00M,11.00M,,,,11.00M,533.00M,,,11.00M,,438.00M,142.00M,296.00M,,,,296.00M,288.57M,687.00M,154.00M,533.00M,0.67,0.0,,0.6532,0.67,0.66,0.0,,0.6434,0.66,441.79M,448.48M,0.22
2004-03,8.347B,8.347B,7.879B,468.00M,68.00M,,,,68.00M,468.00M,,,68.00M,,428.00M,137.00M,291.00M,,,,291.00M,244.77M,630.00M,162.00M,468.00M,0.66,0.0,,0.5551,0.66,0.65,0.0,,0.5467,0.65,440.91M,447.69M,0.22
2003-12,8.978B,8.978B,8.422B,556.00M,,,,,,556.00M,,,,,505.00M,161.00M,344.00M,,,,344.00M,344.00M,770.00M,171.00M,599.00M,0.77,0.0,,0.77,0.77,0.77,0.0,,0.77,0.77,448.26M,448.26M,0.22
2003-09,8.078B,8.078B,7.54B,538.00M,-110.00M,,,,-110.00M,538.00M,,,-110.00M,,311.00M,94.00M,217.00M,,,,217.00M,293.75M,689.00M,151.00M,538.00M,0.49,0.0,,0.6633,0.49,0.48,0.0,,0.6498,0.48,442.86M,452.08M,0.12
2003-06,7.709B,7.709B,7.299B,410.00M,60.00M,,,,60.00M,410.00M,,,60.00M,,351.00M,109.00M,242.00M,,,,242.00M,200.63M,558.00M,148.00M,410.00M,0.54,0.0,,0.4477,0.54,0.54,0.0,,0.4477,0.54,448.15M,448.15M,0.12
2003-03,7.059B,7.059B,6.587B,472.00M,33.00M,,,,33.00M,472.00M,,,33.00M,,365.00M,115.00M,250.00M,,,,250.00M,227.40M,611.00M,139.00M,472.00M,0.56,0.0,,0.5094,0.56,0.55,0.0,,0.5003,0.55,446.43M,454.55M,0.12
2002-12,7.78B,7.78B,7.305B,475.00M,-893.00M,,,,-893.00M,475.00M,,,-893.00M,,-559.00M,-217.00M,-342.00M,-5.00M,,,-347.00M,204.34M,-161.00M,155.00M,-316.00M,-0.77,-0.01,,0.444,-0.78,-0.77,-0.01,,0.4271,-0.78,450.03M,456.40M,0.11
2002-09,6.542B,6.542B,5.989B,553.00M,23.00M,,,,23.00M,553.00M,,,23.00M,,429.00M,129.00M,300.00M,-10.00M,,,290.00M,283.92M,684.00M,131.00M,553.00M,0.67,-0.02,,0.634,0.65,0.66,-0.02,,0.6245,0.64,446.15M,453.12M,0.11
2002-06,6.29B,6.29B,5.807B,483.00M,43.00M,,,,43.00M,483.00M,,,43.00M,,381.00M,30.00M,351.00M,-12.00M,,,339.00M,311.39M,621.00M,138.00M,483.00M,0.79,-0.03,,0.7012,0.76,0.78,-0.03,,0.6924,0.75,446.05M,452.00M,0.11
2002-03,5.966B,5.966B,5.528B,438.00M,36.00M,,,,36.00M,438.00M,,,36.00M,,326.00M,102.00M,224.00M,-6.00M,,,218.00M,199.26M,572.00M,134.00M,438.00M,0.51,-0.01,,0.4533,0.5,0.5,-0.01,,0.4444,0.49,436.00M,444.90M,0.11
2001-12,7.334B,7.334B,6.978B,356.00M,,,,,,356.00M,,,,,-194.00M,-48.00M,-146.00M,-1.362B,,,-1.508B,-146.00M,-131.00M,223.00M,-354.00M,-0.35,-3.19,,-0.35,-3.54,-0.35,-3.19,,-0.35,-3.54,432.50M,439.10M,0.11
2001-09,6.221B,6.221B,5.783B,438.00M,-380.00M,,,,-380.00M,438.00M,,,-380.00M,,114.00M,-27.00M,-87.00M,300.00M,,,213.00M,141.00M,579.00M,141.00M,438.00M,-0.2,0.7,,0.3327,0.5,-0.2,0.7,,0.3327,0.5,428.00M,428.00M,0.11
2001-06,5.961B,5.961B,5.568B,393.00M,26.00M,,,,26.00M,393.00M,,,26.00M,,239.00M,95.00M,144.00M,,,,144.00M,128.33M,658.00M,265.00M,393.00M,0.34,0.0,,0.303,0.34,0.33,0.0,,0.2941,0.33,423.53M,436.36M,0.11
2001-03,4.747B,4.747B,4.397B,350.00M,43.00M,,,,43.00M,350.00M,,,43.00M,,196.00M,70.00M,126.00M,-21.00M,,,105.00M,98.36M,544.00M,194.00M,350.00M,0.3,-0.05,,0.2347,0.25,0.3,-0.05,,0.2354,0.25,423.30M,427.80M,0.11
2000-12,6.807B,6.807B,7.02B,-213.00M,115.00M,,,,-724.00M,511.00M,,,115.00M,,383.00M,157.00M,226.00M,,,,89.00M,157.00M,265.00M,163.00M,102.00M,0.59,-0.1,,0.4252,0.25,0.59,-0.1,,0.4252,0.25,418.78M,418.78M,0.11
2000-09,5.96B,5.96B,5.299B,661.00M,-434.00M,,,,253.00M,408.00M,,,-434.00M,,-255.00M,449.00M,-704.00M,,,,-704.00M,-443.60M,661.00M,253.00M,408.00M,-1.74,0.0,,-1.0959999999999999,-1.74,-1.74,0.0,,-1.0959999999999999,-1.74,404.60M,404.60M,0.11
2000-06,6.212B,6.212B,5.544B,668.00M,-103.00M,,,,240.00M,428.00M,,,-103.00M,,105.00M,63.00M,42.00M,,,,42.00M,103.80M,668.00M,240.00M,428.00M,0.11,0.0,,0.2719,0.11,0.11,0.0,,0.2719,0.11,381.82M,381.82M,0.11
