,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2016-03,1.452B,,1.452B,8.62B,,8.62B,,8.801B,,1.574B,5.223B,,472.00M,15.77B,,,,,,,,5.417B,13.58B,4.121B,17.70B,,5.893B,5.377B,34.39B,50.16B,2.715B,1.963B,4.678B,,4.678B,,956.00M,956.00M,6.856B,6.856B,,2.422B,14.91B,14.32B,14.32B,,,,12.87B,,4.877B,32.07B,46.98B,303.00M,14.13B,,,-11.25B,3.177B
2015-12,1.09B,,1.09B,7.254B,,7.254B,1.03B,8.081B,,740.00M,4.819B,,441.00M,14.57B,0.0,112.00M,6.007B,7.261B,886.00M,14.27B,-8.877B,5.389B,10.70B,4.022B,14.72B,,6.068B,8.557B,34.73B,49.30B,1.745B,1.707B,3.452B,,3.452B,,956.00M,956.00M,6.703B,6.703B,,2.807B,13.92B,14.30B,14.30B,,,,12.88B,0.00,4.902B,32.29B,46.21B,303.00M,14.24B,0.00,,-11.44B,3.097B
2015-09,3.30B,,3.30B,6.74B,,6.74B,,7.28B,,592.00M,3.237B,1.263B,515.00M,15.06B,,,,,,,,4.677B,10.83B,,10.83B,,4.096B,4.957B,24.56B,39.62B,2.215B,1.947B,4.162B,,4.162B,,952.00M,952.00M,5.339B,5.339B,,2.527B,12.98B,7.46B,7.46B,,,,12.46B,,3.908B,23.82B,36.80B,306.00M,13.83B,0.00,,-11.32B,2.813B
2015-06,3.202B,,3.202B,7.064B,,7.064B,,7.195B,,667.00M,3.032B,1.469B,520.00M,15.29B,,,,,,,,4.64B,10.87B,,10.87B,,4.035B,5.019B,24.56B,39.85B,2.016B,1.808B,3.824B,,3.824B,,452.00M,452.00M,5.549B,5.549B,,2.799B,12.62B,7.95B,7.95B,,,,12.48B,,3.815B,24.24B,36.87B,309.00M,14.13B,0.00,,-11.46B,2.982B
2015-03,3.486B,,3.486B,6.545B,,6.545B,,7.306B,,807.00M,3.087B,1.468B,632.00M,15.22B,,,,,,,,4.654B,10.84B,,10.84B,,4.024B,5.015B,24.53B,39.75B,1.945B,1.722B,3.667B,,3.667B,,,,5.548B,5.548B,,2.352B,11.57B,8.404B,8.404B,,,,12.50B,,3.763B,24.66B,36.23B,313.00M,14.92B,0.00,,-11.72B,3.52B
2014-12,1.446B,,1.446B,5.877B,,5.877B,,6.731B,,774.00M,2.804B,1.451B,744.00M,12.32B,0.0,99.00M,5.723B,7.031B,636.00M,13.49B,-8.738B,4.751B,10.86B,324.00M,11.19B,,4.013B,4.774B,24.72B,37.05B,1.562B,1.824B,3.386B,,3.386B,,,,5.775B,5.775B,,1.951B,11.11B,6.142B,6.142B,,,,12.52B,,3.877B,22.53B,33.65B,314.00M,14.96B,0.00,,-11.87B,3.40B
2014-09,2.963B,,2.963B,6.081B,,6.081B,,7.365B,,501.00M,2.898B,1.183B,559.00M,13.68B,,,,,,,,4.59B,10.77B,,10.77B,,2.954B,4.931B,23.25B,36.93B,2.00B,1.919B,3.919B,,3.919B,,,,5.904B,5.904B,,2.31B,12.13B,6.165B,6.165B,,,,10.46B,,3.604B,20.23B,32.36B,314.00M,14.12B,0.00,,-9.864B,4.574B
2014-06,3.436B,,3.436B,6.434B,,6.434B,,7.341B,,576.00M,2.646B,1.153B,494.00M,14.16B,,,,,,,,4.559B,10.50B,,10.50B,,3.113B,4.91B,23.09B,37.25B,1.956B,1.813B,3.769B,,3.769B,,,,6.199B,6.199B,,2.179B,12.15B,6.169B,6.169B,,,,10.95B,,3.668B,20.78B,32.93B,315.00M,13.99B,0.00,,-9.984B,4.319B
2014-03,3.264B,,3.264B,6.255B,,6.255B,,7.08B,,735.00M,2.949B,1.135B,631.00M,14.23B,,,,,,,,4.612B,10.37B,,10.37B,,2.782B,4.921B,22.68B,36.92B,1.942B,1.722B,3.664B,,3.664B,,,,6.197B,6.197B,,2.134B,12.00B,6.152B,6.152B,,,,10.34B,,3.632B,20.12B,32.12B,315.00M,13.92B,0.00,,-9.437B,4.80B
2013-12,2.617B,,2.617B,5.834B,,5.834B,,7.073B,,738.00M,2.977B,1.088B,813.00M,13.33B,0.0,99.00M,5.602B,7.043B,622.00M,13.37B,-8.66B,4.706B,10.35B,,10.35B,,2.85B,4.955B,22.86B,36.19B,1.397B,1.809B,3.206B,,3.206B,,,,6.349B,6.349B,,1.565B,11.12B,6.152B,6.152B,,,,10.26B,,3.735B,20.15B,31.27B,319.00M,14.20B,0.00,,-9.601B,4.918B
2013-09,2.661B,,2.661B,6.919B,,6.919B,,7.186B,,610.00M,2.92B,1.167B,452.00M,14.12B,,,,,,,,4.598B,10.53B,,10.53B,,4.657B,4.999B,24.79B,38.91B,1.928B,1.737B,3.665B,,3.665B,,,,6.35B,6.35B,,2.278B,12.29B,6.156B,6.156B,,,,15.35B,,3.827B,25.34B,37.63B,318.00M,13.69B,0.00,,-12.74B,1.277B
2013-06,2.845B,,2.845B,6.826B,,6.826B,,7.338B,,718.00M,2.895B,1.233B,580.00M,14.38B,,,,,,,,4.594B,10.35B,,10.35B,,4.681B,4.941B,24.57B,38.95B,2.044B,1.688B,3.732B,,3.732B,,,,6.383B,6.383B,,2.138B,12.25B,6.14B,6.14B,,,,15.98B,,3.875B,26.00B,38.25B,319.00M,13.42B,0.00,,-13.04B,694.00M
2013-03,3.065B,,3.065B,6.968B,,6.968B,,7.188B,,831.00M,2.895B,1.261B,683.00M,14.87B,,,,,,,,4.617B,10.36B,,10.36B,,4.75B,4.985B,24.71B,39.58B,2.123B,1.71B,3.833B,,3.833B,,150.00M,150.00M,6.406B,6.406B,,2.236B,12.62B,6.154B,6.154B,,,,16.62B,,3.88B,26.65B,39.28B,318.00M,13.27B,0.00,,-13.28B,304.00M
2012-12,1.898B,,1.898B,6.563B,,6.563B,,7.00B,,869.00M,2.937B,1.269B,1.188B,13.86B,0.0,101.00M,5.388B,6.728B,768.00M,12.98B,-8.31B,4.675B,10.37B,,10.37B,,4.809B,4.948B,24.80B,38.66B,2.038B,1.649B,3.687B,,3.687B,,150.00M,150.00M,6.503B,6.503B,,1.815B,12.16B,6.158B,6.158B,,,,16.50B,,3.807B,26.46B,38.62B,321.00M,13.21B,0.00,,-13.49B,39.00M
2012-09,4.652B,,4.652B,,,6.428B,,7.00B,,822.00M,2.878B,1.281B,552.00M,15.79B,,,,,,,,4.486B,10.18B,,10.18B,,4.073B,4.788B,23.53B,39.32B,2.184B,,2.184B,,2.184B,,150.00M,150.00M,6.396B,6.396B,,2.213B,12.67B,6.374B,6.374B,,,12.97B,1.245B,,3.625B,24.21B,36.88B,321.00M,12.70B,0.00,,-10.58B,2.442B
2012-06,3.802B,,3.802B,,,6.569B,,6.643B,,904.00M,2.521B,1.327B,581.00M,14.80B,,,,,,,,4.495B,10.16B,,10.16B,,4.186B,4.747B,23.59B,38.39B,2.359B,,2.359B,,2.359B,,150.00M,150.00M,6.287B,6.287B,,1.804B,12.27B,6.343B,6.343B,,,12.78B,1.267B,,3.529B,23.91B,36.18B,322.00M,12.73B,19.00M,,-10.86B,2.204B
2012-03,3.518B,,3.518B,,,6.72B,,6.574B,,937.00M,2.38B,1.332B,611.00M,14.56B,,,,,,,,4.53B,10.17B,,10.17B,,4.29B,4.789B,23.78B,38.34B,2.384B,,2.384B,,2.384B,,,,6.148B,6.148B,,2.055B,12.21B,6.472B,6.472B,,,13.19B,1.281B,,3.613B,24.56B,36.77B,322.00M,12.28B,4.00M,,-11.03B,1.573B
2011-12,3.582B,,3.582B,6.064B,,6.064B,,7.129B,,777.00M,2.481B,1.339B,628.00M,14.09B,0.0,98.00M,5.159B,6.408B,805.00M,12.47B,-7.859B,4.611B,10.15B,,10.15B,,4.388B,4.667B,23.81B,37.91B,2.269B,1.664B,3.933B,,3.933B,,,,6.399B,6.399B,,1.798B,12.13B,6.46B,6.46B,,,,14.78B,,3.541B,24.78B,36.91B,321.00M,11.94B,0.00,,-11.26B,1.001B
2011-09,4.564B,3.00M,4.567B,,,6.523B,,6.801B,,305.00M,1.789B,1.184B,606.00M,14.67B,,,,,,,,4.428B,9.606B,,9.606B,,3.096B,4.388B,21.52B,36.19B,2.328B,,2.328B,,2.328B,,500.00M,500.00M,5.544B,5.544B,,1.972B,12.14B,6.538B,6.538B,,,9.979B,1.254B,,3.329B,21.10B,33.24B,321.00M,11.19B,0.00,,-8.567B,2.943B
2011-06,3.268B,254.00M,3.522B,,,6.547B,,7.028B,,446.00M,2.226B,1.14B,519.00M,13.95B,,,,,,,,4.421B,9.615B,,9.615B,,3.268B,4.46B,21.76B,35.72B,2.219B,,2.219B,,2.219B,,,,6.037B,6.037B,,1.981B,12.06B,5.031B,5.031B,,,10.72B,1.24B,,3.383B,20.37B,32.43B,333.00M,11.63B,0.00,,-8.671B,3.288B
2011-03,3.357B,504.00M,3.861B,,,6.583B,,6.958B,,608.00M,2.277B,1.156B,489.00M,14.74B,,,,,,,,4.461B,9.609B,,9.609B,,3.412B,4.452B,21.93B,36.68B,2.374B,,2.374B,,2.374B,,,,5.844B,5.844B,,2.404B,12.43B,5.023B,5.023B,,,10.83B,1.227B,,3.38B,20.46B,32.89B,345.00M,12.27B,0.00,,-8.828B,3.791B
2010-12,2.261B,516.00M,2.777B,5.692B,,5.692B,,6.508B,,643.00M,2.363B,1.147B,518.00M,12.89B,0.0,111.00M,5.005B,6.172B,670.00M,11.96B,-7.404B,4.554B,9.605B,,9.605B,,3.485B,4.576B,22.22B,35.11B,1.627B,,1.627B,,1.627B,,,,5.89B,5.89B,,2.014B,11.40B,5.019B,5.019B,,,10.61B,1.213B,,3.376B,20.22B,31.62B,346.00M,12.16B,0.00,,-9.01B,3.497B
2010-09,2.656B,767.00M,3.423B,6.275B,,6.275B,,6.491B,,319.00M,2.093B,930.00M,413.00M,13.94B,,,,,,,,4.347B,9.588B,158.00M,9.746B,,3.339B,4.009B,21.61B,35.55B,2.352B,,2.352B,,2.352B,,,,5.06B,5.06B,,2.336B,11.64B,5.019B,5.019B,,,10.51B,1.292B,,3.178B,20.00B,31.63B,358.00M,12.15B,,,-8.59B,3.918B
2010-06,2.722B,877.00M,3.599B,6.383B,,6.383B,,6.328B,,454.00M,2.36B,962.00M,409.00M,14.21B,,,,,,,,4.381B,9.797B,179.00M,9.976B,,3.614B,3.889B,22.03B,36.24B,2.271B,,2.271B,,2.271B,,,,5.18B,5.18B,,2.71B,11.86B,5.019B,5.019B,,,,12.50B,,3.123B,20.65B,32.50B,360.00M,11.99B,0.00,,-8.614B,3.734B
2010-03,3.288B,,3.288B,6.61B,,6.61B,,5.897B,,548.00M,2.476B,839.00M,706.00M,13.92B,,,,,,,,4.436B,9.938B,283.00M,10.22B,,3.625B,3.922B,22.37B,36.29B,2.247B,,2.247B,,2.247B,,,,5.274B,5.274B,,2.406B,11.57B,5.053B,5.053B,,,,12.51B,,3.122B,20.69B,32.26B,369.00M,12.27B,0.00,,-8.608B,4.028B
2009-12,2.391B,346.00M,2.737B,6.061B,,6.061B,,5.565B,,559.00M,2.183B,815.00M,681.00M,12.48B,0.0,112.00M,5.01B,6.283B,,11.40B,-6.885B,4.52B,9.948B,,9.948B,,3.779B,4.387B,22.63B,35.11B,2.03B,,2.03B,,2.03B,,,,5.049B,5.049B,,1.976B,10.70B,5.052B,5.052B,,,10.82B,1.308B,,3.096B,20.28B,30.98B,373.00M,12.35B,0.00,,-8.595B,4.129B
2009-09,2.709B,,2.709B,6.067B,,6.067B,,5.791B,,310.00M,2.079B,747.00M,841.00M,12.44B,,,,,,,,4.43B,9.944B,338.00M,10.28B,,4.596B,3.856B,23.30B,35.74B,2.245B,,2.245B,,2.245B,,242.00M,242.00M,4.934B,4.934B,,2.377B,11.58B,3.563B,3.563B,,,,14.26B,,3.194B,21.02B,32.60B,378.00M,11.88B,0.00,,-9.119B,3.14B
2009-06,2.672B,,2.672B,6.131B,,6.131B,,5.387B,,310.00M,1.852B,785.00M,473.00M,11.91B,,,,,,,,4.441B,9.725B,339.00M,10.06B,,4.542B,3.698B,22.88B,34.79B,2.162B,,2.162B,,2.162B,,242.00M,242.00M,4.795B,4.795B,,2.378B,11.29B,3.563B,3.563B,,,,13.97B,,3.146B,20.68B,31.97B,382.00M,11.55B,0.00,,-9.109B,2.82B
2009-03,2.384B,,2.384B,6.097B,,6.097B,,5.019B,,522.00M,1.921B,726.00M,543.00M,11.67B,,,,,,,,4.443B,9.684B,351.00M,10.04B,,4.644B,3.614B,22.86B,34.53B,2.165B,,2.165B,,2.165B,,242.00M,242.00M,4.902B,4.902B,,2.452B,11.36B,3.563B,3.563B,,,,13.68B,,3.105B,20.35B,31.71B,386.00M,11.58B,0.00,,-9.15B,2.819B
2008-12,2.168B,,2.168B,5.296B,,5.296B,,4.631B,,667.00M,1.902B,755.00M,562.00M,10.68B,0.0,109.00M,4.756B,6.034B,,10.90B,-6.411B,4.488B,9.526B,355.00M,9.881B,,4.651B,3.736B,22.76B,33.44B,2.03B,,2.03B,,2.03B,,242.00M,242.00M,4.535B,4.535B,,2.051B,10.54B,3.563B,3.563B,,,12.00B,1.386B,,3.079B,20.03B,30.57B,393.00M,11.62B,0.00,,-9.149B,2.865B
2008-09,2.463B,71.00M,2.534B,5.391B,,5.391B,,4.163B,,539.00M,1.736B,653.00M,396.00M,10.71B,,,,,,,,4.294B,9.56B,390.00M,9.95B,,937.00M,3.14B,18.65B,29.36B,2.03B,,2.03B,,2.03B,,1.00M,1.00M,4.313B,4.313B,,2.52B,10.53B,3.804B,3.804B,,,,2.511B,,2.701B,9.016B,19.55B,398.00M,11.24B,0.00,,-1.833B,9.808B
2008-06,3.214B,96.00M,3.31B,5.218B,,5.218B,,3.86B,,520.00M,1.623B,724.00M,433.00M,11.31B,,,,,,10.24B,-5.985B,4.256B,9.484B,409.00M,9.893B,,849.00M,3.155B,18.15B,29.46B,1.993B,,1.993B,,1.993B,,1.001B,1.001B,,,,8.262B,11.26B,3.803B,3.803B,,,,,,5.068B,8.871B,20.13B,394.00M,10.76B,,,-1.816B,9.334B
2008-03,2.799B,148.00M,2.947B,5.413B,,5.413B,,4.017B,,485.00M,1.619B,732.00M,469.00M,11.18B,,,,,,10.24B,-5.985B,4.258B,9.399B,428.00M,9.827B,,824.00M,3.06B,17.97B,29.15B,1.906B,,1.906B,,1.906B,,104.00M,104.00M,,,,7.864B,9.874B,4.803B,4.803B,,,,,,5.105B,9.908B,19.78B,400.00M,10.80B,,,-1.838B,9.367B
2007-12,2.648B,333.00M,2.981B,4.925B,,4.925B,,4.039B,,518.00M,1.718B,756.00M,560.00M,10.94B,0.0,112.00M,4.574B,5.619B,,10.30B,-5.985B,4.32B,9.387B,463.00M,9.85B,,760.00M,3.056B,17.99B,28.93B,2.163B,,2.163B,,2.163B,,104.00M,104.00M,4.212B,4.212B,,2.014B,10.04B,4.303B,4.303B,,,1.192B,928.00M,,2.661B,9.084B,19.12B,409.00M,11.25B,0.00,,-1.851B,9.805B
2007-09,3.094B,335.00M,3.429B,4.937B,,4.937B,,3.687B,,395.00M,1.387B,834.00M,487.00M,11.07B,,,,,,9.644B,-5.573B,4.071B,9.369B,502.00M,9.871B,,1.736B,3.035B,18.71B,29.79B,1.964B,,1.964B,,1.964B,,104.00M,104.00M,,,,7.823B,9.891B,4.303B,4.303B,,,,,,8.165B,12.47B,22.36B,411.00M,10.60B,,,-3.588B,7.428B
2007-06,3.008B,329.00M,3.337B,5.239B,,5.239B,,3.798B,,425.00M,1.379B,932.00M,611.00M,11.50B,,,,,,9.583B,-5.573B,4.01B,9.38B,538.00M,9.918B,,1.661B,2.727B,18.32B,29.81B,2.137B,,2.137B,,2.137B,,105.00M,105.00M,,,,8.322B,10.56B,4.302B,4.302B,,,,,,7.789B,12.09B,22.66B,412.00M,10.30B,,,-3.557B,7.159B
2007-03,2.778B,296.00M,3.074B,4.902B,,4.902B,,3.911B,,426.00M,1.375B,964.00M,545.00M,10.86B,,,,,,9.564B,-5.573B,3.991B,9.353B,574.00M,9.927B,,1.473B,2.602B,17.99B,28.85B,2.099B,,2.099B,,2.099B,,17.00M,17.00M,,,,7.804B,9.92B,4.405B,4.405B,,,,,,7.50B,11.90B,21.82B,417.00M,9.842B,330.00M,,-3.561B,7.028B
2006-12,1.912B,381.00M,2.293B,4.595B,,4.595B,,3.857B,,504.00M,1.657B,900.00M,719.00M,10.16B,0.0,121.00M,4.258B,5.25B,,9.629B,-5.573B,4.056B,9.25B,605.00M,9.855B,,1.487B,2.434B,18.07B,28.23B,2.221B,,2.221B,,2.221B,,34.00M,34.00M,3.856B,3.856B,,1.858B,9.553B,4.405B,4.405B,,,,4.521B,,2.868B,11.79B,21.35B,421.00M,9.269B,755.00M,,-3.561B,6.884B
