,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2011-12,683.00M,,,,,,269.00M,269.00M,,,41.00M,,-170.00M,490.00M,-649.00M,-98.00M,,614.00M,357.00M,1.089B,-418.00M,,,,0.00,43.00M,-999.00M,-632.00M,,-632.00M,,-148.00M,-148.00M,,,,,-325.00M,35.00M,-2.00M,-1.072B,4.564B,-982.00M,,3.582B,,0.00,,-148.00M
2011-09,700.00M,,,,,,247.00M,247.00M,,,37.00M,,187.00M,8.00M,427.00M,115.00M,,-1.17B,-620.00M,551.00M,-241.00M,,,,250.00M,34.00M,43.00M,1.98B,,1.98B,,-1.004B,-1.004B,,,,,-246.00M,21.00M,-49.00M,702.00M,3.268B,1.296B,,4.564B,,1.98B,,-1.004B
2011-06,742.00M,,,,,,246.00M,246.00M,,,40.00M,,-127.00M,39.00M,55.00M,-153.00M,,52.00M,-7.00M,894.00M,-198.00M,,,,260.00M,204.00M,266.00M,,,,-43.00M,-999.00M,-1.042B,,,,,-258.00M,60.00M,-9.00M,-1.249B,3.357B,-89.00M,,3.268B,-43.00M,,,-999.00M
2011-03,530.00M,,,,,,246.00M,246.00M,,,39.00M,,49.00M,-900.00M,93.00M,745.00M,,917.00M,855.00M,1.719B,-130.00M,,,,,32.00M,-98.00M,,,,43.00M,-314.00M,-271.00M,,,,,-266.00M,,12.00M,-525.00M,2.261B,1.096B,,3.357B,43.00M,,,-314.00M
2010-12,704.00M,,,,-539.00M,-74.00M,439.00M,439.00M,184.00M,,68.00M,,-388.00M,486.00M,-267.00M,-718.00M,,-94.00M,-593.00M,414.00M,-680.00M,,394.00M,,250.00M,74.00M,294.00M,0.00,,0.00,-57.00M,-854.00M,-911.00M,,,-269.00M,,-269.00M,,19.00M,-1.102B,2.656B,-394.00M,-1.00M,2.261B,-57.00M,0.00,,-854.00M
2010-09,560.00M,,,,188.00M,25.00M,213.00M,213.00M,320.00M,,18.00M,,232.00M,53.00M,259.00M,112.00M,,-1.254B,-830.00M,513.00M,-171.00M,,-171.00M,,110.00M,-2.00M,-63.00M,0.00,,0.00,12.00M,-319.00M,-307.00M,,,-229.00M,,-229.00M,,0.00,-536.00M,2.722B,-86.00M,20.00M,2.656B,12.00M,0.00,,-319.00M
2010-06,824.00M,,,,179.00M,22.00M,201.00M,201.00M,-87.00M,,41.00M,,214.00M,73.00M,103.00M,25.00M,,-169.00M,32.00M,1.225B,-131.00M,,-131.00M,,-638.00M,-27.00M,-796.00M,,,,21.00M,-731.00M,-710.00M,,,-233.00M,,-233.00M,,-47.00M,-990.00M,3.288B,-561.00M,-5.00M,2.722B,21.00M,,,-731.00M
2010-03,533.00M,,,,172.00M,27.00M,199.00M,199.00M,121.00M,,41.00M,,183.00M,-609.00M,-302.00M,217.00M,,1.266B,572.00M,1.649B,-92.00M,,-92.00M,,107.00M,-23.00M,-8.00M,,,,24.00M,-516.00M,-492.00M,,,-238.00M,,-238.00M,,,-730.00M,2.391B,911.00M,-14.00M,3.288B,24.00M,,,-516.00M
2009-12,776.00M,,,,-544.00M,-81.00M,389.00M,389.00M,,,58.00M,,-1.217B,35.00M,-130.00M,-482.00M,,-287.00M,-864.00M,-291.00M,-685.00M,,-371.00M,-15.00M,110.00M,37.00M,-553.00M,,,,-48.00M,-489.00M,-537.00M,,,-240.00M,,-240.00M,,105.00M,550.00M,2.709B,-294.00M,-24.00M,2.391B,-48.00M,,,-489.00M
2009-09,797.00M,,,,188.00M,27.00M,215.00M,215.00M,,,24.00M,13.00M,1.089B,92.00M,-208.00M,71.00M,-219.00M,-509.00M,-773.00M,1.424B,-182.00M,,-182.00M,-233.00M,-389.00M,25.00M,-779.00M,,,,25.00M,-393.00M,-368.00M,,,-219.00M,,-219.00M,,-13.00M,-600.00M,2.672B,45.00M,-8.00M,2.709B,25.00M,,,-393.00M
2009-06,734.00M,,,,181.00M,27.00M,208.00M,208.00M,,,42.00M,-13.00M,-561.00M,-33.00M,68.00M,-2.00M,-107.00M,859.00M,785.00M,1.136B,-167.00M,,-167.00M,-31.00M,0.00,-10.00M,-208.00M,,,,7.00M,-470.00M,-463.00M,,,-222.00M,,-222.00M,,13.00M,-672.00M,2.384B,256.00M,32.00M,2.672B,7.00M,,,-470.00M
2009-03,666.00M,,,,175.00M,27.00M,202.00M,202.00M,,,30.00M,,620.00M,-779.00M,33.00M,120.00M,326.00M,,-300.00M,1.218B,-132.00M,,-132.00M,-156.00M,0.00,-4.00M,-292.00M,,,,16.00M,-499.00M,-483.00M,,,-227.00M,,-227.00M,,,-710.00M,2.168B,216.00M,0.00,2.384B,16.00M,,,-499.00M
2008-12,823.00M,,,,205.00M,28.00M,233.00M,233.00M,,,40.00M,90.00M,-1.08B,93.00M,-165.00M,87.00M,-91.00M,,819.00M,997.00M,-423.00M,,-423.00M,-38.00M,10.00M,7.00M,-444.00M,491.00M,,491.00M,-242.00M,-593.00M,-835.00M,,,-227.00M,,-227.00M,,-239.00M,-810.00M,2.463B,-257.00M,-38.00M,2.168B,-242.00M,,0.00,-593.00M
2008-09,782.00M,,,,187.00M,27.00M,214.00M,214.00M,,,40.00M,-47.00M,211.00M,-160.00M,-113.00M,35.00M,94.00M,,-144.00M,1.056B,-229.00M,,-229.00M,-107.00M,25.00M,-67.00M,-378.00M,-1.00B,,-1.00B,125.00M,-408.00M,-283.00M,,,-170.00M,,-170.00M,,47.00M,-1.406B,3.214B,-728.00M,-23.00M,2.463B,125.00M,,-1.00B,-408.00M
2008-06,882.00M,,,,175.00M,27.00M,202.00M,202.00M,,,40.00M,-43.00M,120.00M,217.00M,-4.00M,81.00M,-7.00M,,287.00M,1.488B,-170.00M,,-170.00M,-77.00M,52.00M,39.00M,-156.00M,-103.00M,,-103.00M,53.00M,-745.00M,-692.00M,,,-168.00M,,-168.00M,,43.00M,-920.00M,2.799B,412.00M,3.00M,3.214B,53.00M,,-103.00M,-745.00M
2008-03,730.00M,,,,160.00M,36.00M,196.00M,196.00M,,,35.00M,,556.00M,-483.00M,99.00M,-257.00M,4.00M,,-637.00M,880.00M,-104.00M,,-104.00M,-11.00M,185.00M,1.00M,71.00M,,,,64.00M,-1.185B,-1.121B,,,-172.00M,,-172.00M,,491.00M,-802.00M,2.648B,149.00M,2.00M,2.799B,64.00M,,,-1.185B
2007-12,799.00M,,,,212.00M,36.00M,248.00M,248.00M,,,33.00M,-22.00M,-608.00M,8.00M,-331.00M,198.00M,,-18.00M,-143.00M,417.00M,-460.00M,,-460.00M,-12.00M,-24.00M,67.00M,-429.00M,0.00,,0.00,38.00M,-322.00M,-284.00M,,,-175.00M,,-175.00M,,22.00M,-437.00M,3.094B,-449.00M,,2.648B,38.00M,0.00,0.00,-322.00M
2007-09,766.00M,,,-759.00M,166.00M,36.00M,202.00M,202.00M,,,116.00M,-102.00M,912.00M,286.00M,-8.00M,-170.00M,-720.00M,412.00M,-200.00M,935.00M,-226.00M,,-226.00M,-189.00M,-6.00M,-32.00M,-453.00M,-32.00M,,0.00,58.00M,-411.00M,-353.00M,,,-440.00M,,-145.00M,,102.00M,-396.00M,3.008B,86.00M,,3.094B,58.00M,0.00,-32.00M,-411.00M
2007-06,778.00M,,,220.00M,147.00M,37.00M,184.00M,184.00M,,,,,,-337.00M,-3.00M,37.00M,525.00M,,222.00M,1.404B,-170.00M,,-170.00M,-41.00M,-7.00M,-90.00M,-308.00M,,,-15.00M,105.00M,-661.00M,-556.00M,,,,,-295.00M,,,-866.00M,2.778B,230.00M,,3.008B,105.00M,,,-661.00M
2007-03,690.00M,,,539.00M,141.00M,44.00M,185.00M,185.00M,,,,,,-281.00M,285.00M,-131.00M,195.00M,,68.00M,1.482B,-84.00M,,-84.00M,-95.00M,85.00M,79.00M,-15.00M,,,-17.00M,149.00M,-733.00M,-584.00M,,,,,,,,-601.00M,1.912B,866.00M,,2.778B,149.00M,,,-733.00M
2006-12,729.00M,,,,171.00M,46.00M,217.00M,217.00M,,,,,159.00M,181.00M,-421.00M,312.00M,-608.00M,-311.00M,-847.00M,315.00M,-440.00M,,-440.00M,-39.00M,14.00M,44.00M,-421.00M,,,-10.00M,-61.00M,-197.00M,-258.00M,,,,,-149.00M,,129.00M,-288.00M,2.288B,-394.00M,,1.912B,-61.00M,,,-197.00M
2006-09,629.00M,,,-580.00M,145.00M,40.00M,185.00M,185.00M,,,,,,-356.00M,-153.00M,-14.00M,155.00M,786.00M,418.00M,652.00M,-190.00M,,-190.00M,-429.00M,35.00M,-118.00M,-702.00M,,,0.00,180.00M,-317.00M,-137.00M,,,,,-128.00M,,-353.00M,-618.00M,2.956B,-668.00M,,2.288B,180.00M,,,-317.00M
2006-06,580.00M,,,580.00M,149.00M,39.00M,188.00M,188.00M,,,,,-549.00M,486.00M,39.00M,-69.00M,358.00M,,814.00M,1.613B,-165.00M,-156.00M,-321.00M,-321.00M,27.00M,200.00M,-415.00M,,,-194.00M,117.00M,-718.00M,-601.00M,,,,,-129.00M,,,-924.00M,2.682B,274.00M,,2.956B,117.00M,,,-718.00M
2006-03,591.00M,,,,135.00M,39.00M,174.00M,174.00M,,,,,549.00M,-217.00M,5.00M,-12.00M,95.00M,,-129.00M,1.185B,-98.00M,156.00M,58.00M,-153.00M,-28.00M,6.00M,-117.00M,,,-6.00M,391.00M,-883.00M,-492.00M,,,,,-132.00M,,,-630.00M,2.244B,438.00M,,2.682B,391.00M,,,-883.00M
2005-12,568.00M,,,,159.00M,37.00M,196.00M,196.00M,,,,,,-107.00M,-253.00M,124.00M,-110.00M,-920.00M,-1.266B,56.00M,-503.00M,-806.00M,-1.309B,787.00M,-3.00M,27.00M,-498.00M,,,-94.00M,88.00M,-306.00M,-218.00M,,,,,-130.00M,,,-454.00M,3.14B,-896.00M,,2.244B,88.00M,,,-306.00M
2005-09,427.00M,,,,138.00M,38.00M,176.00M,176.00M,,,,,,-159.00M,107.00M,-79.00M,-138.00M,559.00M,290.00M,893.00M,-154.00M,806.00M,652.00M,-3.00M,-12.00M,-805.00M,-168.00M,,,0.00,31.00M,-568.00M,-537.00M,,,,,-110.00M,,,-647.00M,3.062B,78.00M,,3.14B,31.00M,,,-568.00M
2005-06,461.00M,,,,132.00M,38.00M,170.00M,170.00M,,,,,,-66.00M,23.00M,119.00M,-371.00M,361.00M,66.00M,697.00M,-119.00M,-762.00M,-881.00M,0.00,-8.00M,804.00M,-85.00M,,,-39.00M,176.00M,-302.00M,-126.00M,,,,,-112.00M,,,-277.00M,2.727B,335.00M,,3.062B,176.00M,,,-302.00M
2005-03,369.00M,,,,126.00M,37.00M,163.00M,163.00M,,,,,,-58.00M,84.00M,75.00M,915.00M,,1.016B,1.548B,-89.00M,762.00M,673.00M,-413.00M,-10.00M,2.00M,252.00M,,,,111.00M,-134.00M,-23.00M,,,,,-110.00M,,,-133.00M,1.06B,1.667B,,2.727B,111.00M,,,-134.00M
2004-12,372.00M,,,,133.00M,38.00M,171.00M,171.00M,,,,,,-252.00M,-174.00M,175.00M,-71.00M,-642.00M,-964.00M,89.00M,-376.00M,,-376.00M,188.00M,-309.00M,-11.00M,-508.00M,,,-1.115B,90.00M,-208.00M,-118.00M,,,,,-111.00M,,,-1.344B,2.823B,-1.763B,,1.06B,90.00M,,,-208.00M
2004-09,307.00M,,,,133.00M,36.00M,169.00M,169.00M,,,,,,-200.00M,259.00M,28.00M,337.00M,139.00M,563.00M,1.039B,-133.00M,,-133.00M,,-87.00M,8.00M,-212.00M,,,0.00,38.00M,-187.00M,-149.00M,,,,,-98.00M,,,-247.00M,2.243B,580.00M,,2.823B,38.00M,,,-187.00M
2004-06,296.00M,,,,119.00M,35.00M,154.00M,154.00M,,,,,,344.00M,156.00M,-92.00M,-627.00M,503.00M,284.00M,734.00M,-154.00M,,-154.00M,4.00M,0.00,15.00M,-135.00M,,,-122.00M,18.00M,-278.00M,-260.00M,,,,,-98.00M,,,-480.00M,2.124B,119.00M,,2.243B,18.00M,,,-278.00M
2004-03,291.00M,,,,126.00M,36.00M,162.00M,162.00M,,,,,,21.00M,278.00M,177.00M,133.00M,,609.00M,1.062B,-106.00M,,-106.00M,-4.00M,240.00M,17.00M,147.00M,,,-15.00M,18.00M,,18.00M,,,,,-98.00M,,,-95.00M,1.01B,1.114B,,2.124B,18.00M,,,
2003-12,344.00M,,,,136.00M,35.00M,171.00M,171.00M,,,,,,-355.00M,-117.00M,118.00M,255.00M,-751.00M,-850.00M,135.00M,-320.00M,,-320.00M,-368.00M,7.00M,35.00M,-646.00M,,,-17.00M,4.00M,-203.00M,-199.00M,,,,,-98.00M,,,-314.00M,1.835B,-825.00M,,1.01B,4.00M,,,-203.00M
2003-09,217.00M,,,,120.00M,31.00M,151.00M,151.00M,,,,,,-147.00M,-136.00M,131.00M,-364.00M,433.00M,-83.00M,285.00M,-165.00M,,-165.00M,0.00,-18.00M,11.00M,-172.00M,,,-151.00M,18.00M,0.00,18.00M,,,,,-54.00M,,,-187.00M,1.909B,-74.00M,,1.835B,18.00M,,,0.00
