,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,192.60M,,192.60M,385.60M,385.60M,312.30M,542.10M,854.40M,,122.40M,1.555B,0.0,120.10M,812.60M,2.112B,,212.10M,3.256B,-1.527B,1.729B,5.942B,5.916B,11.86B,,158.40M,13.75B,15.30B,512.10M,88.60M,,600.70M,101.60M,702.30M,,144.00M,,,144.00M,,144.00M,107.70M,1.034B,4.688B,,4.688B,1.377B,1.377B,,206.00M,105.10M,6.376B,7.410B,28.90M,2.239B,5.740B,,,,,-116.70M,7.891B
2018-01,186.20M,,186.20M,422.70M,422.70M,324.50M,584.60M,909.10M,,91.90M,1.610B,0.0,119.90M,807.50M,2.049B,,153.20M,3.130B,-1.496B,1.634B,5.949B,5.971B,11.92B,,165.40M,13.72B,15.33B,471.20M,,,471.20M,117.30M,588.50M,,254.00M,,,254.00M,,254.00M,247.40M,1.090B,4.688B,,4.688B,1.381B,1.381B,,,366.00M,6.435B,7.525B,28.90M,2.127B,5.740B,,,,,-91.10M,7.804B
2017-10,180.30M,,180.30M,481.60M,481.60M,356.50M,655.20M,1.012B,,112.20M,1.786B,0.0,121.30M,805.70M,2.046B,,104.90M,3.078B,-1.462B,1.616B,6.086B,6.051B,12.14B,,162.90M,13.92B,15.70B,507.40M,,,507.40M,138.20M,645.60M,,463.90M,,499.60M,963.50M,,963.50M,245.40M,1.854B,4.294B,,4.294B,2.172B,2.172B,,,344.90M,6.811B,8.666B,28.40M,1.384B,5.738B,,,,,-113.70M,7.036B
2017-07,183.20M,,183.20M,433.70M,433.70M,341.10M,640.20M,981.30M,,93.90M,1.692B,0.0,121.30M,791.20M,2.001B,,98.70M,3.013B,-1.417B,1.596B,6.092B,6.104B,12.20B,,157.40M,13.95B,15.64B,477.60M,,,477.60M,162.40M,640.00M,,283.90M,,499.30M,783.20M,,783.20M,327.70M,1.751B,4.445B,,4.445B,2.170B,2.170B,,,343.90M,6.959B,8.710B,28.40M,1.278B,5.732B,,,,,-106.70M,6.932B
2017-04,166.80M,,166.80M,438.70M,438.70M,343.30M,562.40M,905.70M,,130.60M,1.642B,0.0,115.60M,766.20M,1.983B,,116.90M,2.982B,-1.364B,1.618B,6.077B,6.150B,12.23B,,153.40M,14.00B,15.64B,477.20M,85.10M,,562.30M,106.00M,668.30M,,454.00M,,499.00M,953.00M,,953.00M,123.10M,1.833B,4.446B,,4.446B,2.167B,2.167B,,256.40M,88.00M,6.957B,8.790B,28.40M,1.240B,5.725B,,,,,-143.40M,6.850B
2017-01,139.60M,,139.60M,421.40M,421.40M,353.70M,641.90M,995.60M,,134.30M,1.691B,0.0,115.10M,757.20M,1.962B,,66.60M,2.900B,-1.326B,1.574B,6.085B,6.262B,12.35B,,199.80M,14.12B,15.81B,428.50M,,,428.50M,147.60M,576.10M,,142.00M,,,142.00M,,142.00M,279.10M,997.20M,4.945B,,4.945B,2.246B,2.246B,,,381.30M,7.573B,8.570B,29.10M,1.481B,5.878B,,,,,-146.40M,7.242B
2016-10,121.80M,,121.80M,517.80M,517.80M,358.50M,669.90M,1.028B,,137.20M,1.805B,0.0,115.10M,748.10M,1.931B,,66.20M,2.861B,-1.274B,1.587B,6.08B,6.387B,12.47B,,199.00M,14.25B,16.06B,435.80M,,,435.80M,180.00M,615.80M,,406.00M,,,406.00M,,406.00M,284.50M,1.306B,4.945B,,4.945B,2.245B,2.245B,,,381.40M,7.572B,8.878B,29.10M,1.433B,5.874B,,,,,-156.10M,7.180B
2016-07,109.60M,,109.60M,523.00M,523.00M,392.40M,622.20M,1.015B,,93.50M,1.741B,0.0,115.00M,742.20M,1.894B,,73.00M,2.824B,-1.225B,1.598B,6.085B,6.440B,12.53B,,197.50M,14.32B,16.06B,452.00M,,,452.00M,176.30M,628.30M,,306.00M,,,306.00M,,306.00M,354.10M,1.288B,5.046B,,5.046B,2.245B,2.245B,,,386.70M,7.678B,8.966B,29.10M,1.344B,5.869B,,,,,-145.90M,7.096B
2016-04,109.80M,,109.80M,450.10M,450.10M,339.40M,560.00M,899.40M,,114.10M,1.573B,0.0,114.60M,727.70M,1.871B,,91.30M,2.804B,-1.177B,1.628B,6.091B,6.494B,12.59B,,197.50M,14.41B,15.98B,459.40M,77.90M,,537.30M,112.30M,649.60M,,284.00M,,,284.00M,,284.00M,139.80M,1.213B,5.146B,,5.146B,2.230B,2.230B,,298.20M,88.10M,7.763B,8.976B,29.10M,1.268B,5.860B,,,,,-148.40M,7.008B
2016-01,140.50M,,140.50M,503.80M,503.80M,319.80M,622.20M,942.00M,,212.10M,1.798B,0.0,114.50M,718.50M,1.851B,,73.10M,2.757B,-1.133B,1.624B,5.945B,6.715B,12.66B,,199.30M,14.48B,16.28B,371.00M,,,371.00M,145.30M,516.30M,,138.00M,,,138.00M,,138.00M,351.70M,1.006B,5.146B,,5.146B,2.462B,2.462B,,,341.90M,7.95B,8.956B,29.90M,1.415B,6.027B,,,,,-146.80M,7.326B
2015-10,139.00M,,139.00M,605.40M,605.40M,335.40M,716.00M,1.051B,,210.20M,2.006B,0.0,116.60M,705.20M,1.865B,,89.80M,2.776B,-1.115B,1.662B,6.002B,6.839B,12.84B,,186.40M,14.69B,16.69B,341.40M,,,341.40M,140.50M,481.90M,,370.00M,,,370.00M,,370.00M,280.80M,1.133B,5.494B,,5.494B,2.477B,2.477B,,,357.10M,8.329B,9.462B,29.90M,1.310B,6.022B,,,,,-128.80M,7.233B
2015-07,133.60M,,133.60M,507.90M,507.90M,372.80M,778.00M,1.151B,,233.20M,2.026B,0.0,113.60M,701.10M,1.811B,,100.70M,2.726B,-1.070B,1.657B,6.001B,6.892B,12.89B,,183.00M,14.73B,16.76B,347.10M,,,347.10M,113.50M,460.60M,,302.60M,,,302.60M,,302.60M,295.90M,1.059B,5.695B,,5.695B,2.522B,2.522B,,,352.40M,8.569B,9.628B,29.90M,1.214B,6.017B,,,,,-130.90M,7.13B
2015-04,125.60M,,125.60M,430.10M,430.10M,348.60M,815.00M,1.164B,,264.60M,1.984B,0.0,113.70M,666.30M,1.784B,,135.30M,2.699B,-1.021B,1.678B,6.012B,6.950B,12.96B,,182.20M,14.82B,16.81B,402.80M,76.50M,,479.30M,104.90M,584.20M,,226.00M,,,226.00M,,226.00M,112.00M,1.023B,5.945B,,5.945B,2.397B,2.397B,,263.50M,91.40M,8.697B,9.719B,29.90M,1.159B,6.008B,,,,,-109.80M,7.087B
2015-01,111.70M,,111.70M,373.90M,373.90M,368.80M,575.40M,944.20M,,85.80M,1.516B,0.0,102.50M,563.60M,1.475B,,167.80M,2.309B,-985.90M,1.323B,3.135B,2.974B,6.109B,,147.90M,7.58B,9.096B,232.30M,,,232.30M,17.40M,249.70M,,264.00M,,24.00M,288.00M,,288.00M,172.40M,710.10M,1.892B,,1.892B,1.026B,1.026B,,,243.90M,3.161B,3.871B,25.40M,1.326B,3.982B,,,,,-109.50M,5.224B
2014-10,105.30M,,105.30M,453.20M,453.20M,409.20M,656.00M,1.065B,,102.10M,1.726B,0.0,102.50M,552.50M,1.448B,,165.20M,2.268B,-963.30M,1.305B,3.143B,3.004B,6.146B,,157.70M,7.609B,9.335B,251.30M,,,251.30M,37.20M,288.50M,,545.90M,,,545.90M,,545.90M,169.70M,1.004B,1.891B,,1.891B,1.028B,1.028B,,,246.70M,3.166B,4.170B,25.50M,1.231B,3.983B,,,,,-74.20M,5.165B
2014-07,149.40M,,149.40M,392.50M,392.50M,391.80M,692.70M,1.084B,,101.80M,1.728B,0.0,100.50M,523.20M,1.403B,,179.90M,2.207B,-932.30M,1.275B,3.099B,3.000B,6.098B,,149.00M,7.522B,9.250B,279.40M,,,279.40M,59.90M,339.30M,,,470.00M,,470.00M,,470.00M,210.00M,1.019B,1.881B,,1.881B,1.020B,1.020B,,,245.50M,3.146B,4.166B,25.50M,1.138B,3.978B,,,,,-56.90M,5.084B
2014-04,153.50M,,153.50M,309.40M,309.40M,359.50M,571.50M,931.00M,,145.20M,1.539B,0.0,99.70M,516.00M,1.384B,,163.90M,2.164B,-898.00M,1.266B,3.098B,3.024B,6.122B,,133.00M,7.521B,9.060B,289.20M,59.00M,,348.20M,58.50M,406.70M,,243.20M,,100.00M,343.20M,,343.20M,78.60M,885.80M,1.873B,,1.873B,1.021B,1.021B,,194.20M,56.80M,3.145B,4.031B,25.40M,1.091B,3.966B,,,,,-51.60M,5.030B
2014-01,168.60M,,168.60M,365.20M,365.20M,318.00M,546.80M,864.80M,,109.50M,1.508B,0.0,104.00M,512.70M,1.352B,,106.30M,2.074B,-889.20M,1.185B,3.097B,3.048B,6.145B,,150.50M,7.481B,8.989B,220.20M,,,220.20M,55.30M,275.50M,,,,,150.00M,,150.00M,182.80M,608.30M,1.879B,,1.879B,1.004B,1.004B,,,292.10M,3.176B,3.784B,26.10M,1.201B,4.073B,,,,,-94.30M,5.205B
2013-10,150.50M,,150.50M,464.20M,464.20M,351.20M,672.50M,1.024B,,123.90M,1.762B,0.0,103.20M,516.00M,1.368B,,69.10M,2.057B,-893.50M,1.163B,3.101B,3.076B,6.177B,,143.60M,7.484B,9.246B,261.60M,,,261.60M,71.40M,333.00M,,,207.00M,150.00M,357.00M,,357.00M,206.00M,896.00M,1.884B,,1.884B,999.80M,999.80M,,,298.70M,3.182B,4.078B,26.30M,1.133B,4.092B,,,,,-83.00M,5.168B
2013-07,157.50M,,157.50M,357.30M,357.30M,356.80M,702.50M,1.059B,,55.80M,1.630B,0.0,99.60M,503.10M,1.354B,,54.80M,2.012B,-872.60M,1.139B,3.051B,3.064B,6.115B,,149.50M,7.404B,9.034B,264.80M,,,264.80M,83.10M,347.90M,,,85.00M,150.00M,235.00M,,235.00M,220.20M,803.10M,1.867B,,1.867B,979.80M,979.80M,,,308.80M,3.156B,3.959B,26.30M,1.041B,4.088B,,,,,-79.30M,5.075B
2013-04,256.40M,,256.40M,313.70M,313.70M,326.60M,618.90M,945.50M,,79.60M,1.595B,0.0,98.50M,494.40M,1.268B,,124.90M,1.985B,-842.80M,1.142B,3.053B,3.089B,6.142B,,151.80M,7.437B,9.032B,285.80M,55.40M,,341.20M,57.40M,398.60M,,,0.00,50.00M,50.00M,,50.00M,78.70M,596.80M,1.968B,,1.968B,987.20M,987.20M,,230.10M,101.10M,3.286B,3.883B,26.60M,1.076B,4.125B,,,,,-76.60M,5.149B
2013-01,438.81M,,438.81M,360.20M,360.20M,302.31M,575.85M,878.16M,,68.77M,1.746B,0.0,96.02M,490.28M,1.228B,,121.33M,1.936B,-814.01M,1.122B,3.054B,3.114B,6.168B,,149.12M,7.439B,9.184B,251.58M,,,251.58M,89.83M,341.41M,,,,,50.00M,,50.00M,202.05M,593.46M,2.019B,,2.019B,999.32M,999.32M,,,312.92M,3.331B,3.924B,27.12M,1.111B,4.199B,,,,,-74.86M,5.260B
2012-10,203.56M,,203.56M,469.37M,469.37M,362.24M,613.19M,975.43M,,87.71M,1.736B,0.0,92.53M,488.89M,1.233B,,110.92M,1.925B,-811.83M,1.113B,3.054B,3.138B,6.192B,,147.64M,7.453B,9.189B,290.05M,,,290.05M,131.23M,421.29M,,,,,50.00M,,50.00M,234.78M,706.07M,2.019B,,2.019B,996.87M,996.87M,,,313.87M,3.330B,4.036B,27.12M,1.013B,4.194B,,,,,-80.21M,5.153B
2012-07,311.47M,,311.47M,390.92M,390.92M,372.18M,647.16M,1.019B,,78.59M,1.800B,0.0,90.32M,479.46M,1.209B,,111.84M,1.891B,-789.98M,1.101B,3.053B,3.162B,6.215B,,145.48M,7.462B,9.262B,283.20M,,,283.20M,115.04M,398.24M,,,,,50.00M,,50.00M,262.23M,710.47M,2.020B,,2.020B,995.39M,995.39M,,,312.92M,3.328B,4.039B,27.61M,1.014B,4.268B,,,,,-84.39M,5.223B
2012-04,229.70M,,229.70M,347.50M,347.50M,318.10M,643.50M,961.60M,,104.70M,1.644B,0.0,89.60M,460.20M,1.160B,,143.00M,1.853B,-757.00M,1.096B,3.055B,3.187B,6.242B,,134.00M,7.472B,9.115B,274.70M,52.90M,,327.60M,62.10M,389.70M,,,,,50.00M,,50.00M,93.90M,616.90M,2.020B,,2.020B,992.70M,992.70M,,216.40M,105.30M,3.335B,3.952B,27.60M,961.20M,4.261B,,,,,-84.00M,5.163B
2012-01,370.43M,,370.43M,364.72M,364.72M,360.20M,630.61M,990.82M,,80.03M,1.806B,0.0,88.43M,407.87M,1.154B,,171.60M,1.822B,-757.64M,1.064B,3.034B,3.234B,6.267B,,98.09M,7.430B,9.236B,232.42M,,,232.42M,54.09M,286.51M,,,,,,,,207.83M,494.34M,2.071B,,2.071B,1.030B,1.030B,,,256.28M,3.357B,3.852B,28.31M,1.019B,4.373B,,,,,-32.73M,5.384B
2011-10,496.29M,,496.29M,462.17M,462.17M,439.41M,704.54M,1.144B,,91.30M,2.194B,0.0,87.49M,383.14M,1.078B,,129.35M,1.678B,-729.54M,948.22M,2.898B,3.099B,5.997B,,76.44M,7.022B,9.215B,260.65M,,,260.65M,97.02M,357.68M,,,,,,,,187.24M,544.92M,2.072B,,2.072B,1.031B,1.031B,,,204.02M,3.307B,3.852B,28.46M,977.70M,4.390B,,,,,-29.85M,5.363B
2011-07,102.48M,,102.48M,350.29M,350.29M,460.77M,753.05M,1.214B,,73.18M,1.740B,0.0,87.00M,369.85M,1.064B,,103.80M,1.625B,-699.29M,925.69M,2.904B,3.133B,6.036B,,80.09M,7.042B,8.782B,288.08M,,38.38M,326.46M,81.36M,407.82M,,,306.70M,,306.70M,,306.70M,160.72M,875.23M,1.318B,,1.318B,1.038B,1.038B,,,201.73M,2.559B,3.434B,28.60M,922.94M,4.407B,,,,,-7.538M,5.348B
2011-04,319.84M,,319.84M,344.41M,344.41M,345.34M,518.24M,863.58M,,109.16M,1.637B,0.0,77.07M,347.95M,1.023B,,76.78M,1.524B,-656.59M,867.88M,2.813B,2.940B,5.753B,,66.95M,6.688B,8.325B,234.92M,50.24M,,285.15M,62.59M,347.74M,,,,,,,,72.62M,482.68M,1.304B,,1.304B,1.043B,1.043B,,158.51M,44.17M,2.550B,3.032B,28.54M,866.93M,4.397B,,,,,3.629M,5.292B
2011-01,549.58M,38.60M,588.18M,289.55M,289.55M,289.75M,445.53M,735.28M,23.78M,52.27M,1.689B,0.0,72.20M,305.20M,1.025B,,77.65M,1.480B,-639.28M,841.07M,2.809B,2.955B,5.764B,,64.63M,6.670B,8.359B,174.88M,,0.00,174.88M,82.25M,257.14M,,,,,,,,165.62M,422.76M,1.30B,,1.30B,1.104B,1.104B,,,168.19M,2.573B,2.995B,28.99M,887.84M,4.461B,,,,,-10.91M,5.363B
2010-10,487.46M,48.09M,535.55M,415.83M,415.83M,303.80M,518.81M,822.61M,32.03M,48.17M,1.854B,0.0,63.53M,312.07M,1.020B,,57.96M,1.453B,-612.16M,841.10M,2.807B,2.989B,5.797B,,61.28M,6.699B,8.553B,194.19M,,0.00,194.19M,113.89M,308.08M,,,,,,,,168.84M,476.92M,1.30B,,1.30B,1.104B,1.104B,,,168.43M,2.572B,3.049B,29.88M,902.53M,4.593B,,,,,-17.79M,5.504B
2010-07,522.77M,57.08M,579.85M,305.42M,305.42M,270.34M,495.59M,765.93M,,49.44M,1.701B,0.0,63.19M,310.41M,1.008B,,43.82M,1.425B,-578.03M,847.19M,2.807B,3.007B,5.814B,,57.21M,6.718B,8.419B,183.60M,,,183.60M,79.24M,262.84M,,,,,10.00M,,10.00M,181.40M,454.24M,1.30B,,1.30B,1.104B,1.104B,,,165.48M,2.570B,3.024B,29.88M,800.57M,4.588B,,,,,-19.78M,5.395B
2010-04,283.57M,,283.57M,238.87M,238.87M,241.67M,413.27M,654.94M,,46.25M,1.224B,0.0,62.98M,308.36M,997.37M,,31.43M,1.400B,-541.83M,858.31M,2.808B,3.027B,5.834B,,58.66M,6.751B,7.975B,179.51M,47.65M,75.98M,303.13M,52.54M,355.67M,,,,,10.00M,,10.00M,53.15M,478.90M,900.00M,,900.00M,1.102B,1.102B,,132.56M,35.57M,2.170B,2.649B,0.00,746.06M,4.605B,,,,,-20.58M,5.326B
2010-01,125.56M,,125.56M,281.68M,281.68M,253.54M,409.90M,663.44M,,52.15M,1.123B,0.0,60.01M,300.63M,987.56M,,34.87M,1.383B,-515.44M,867.62M,2.804B,3.043B,5.847B,0.00,61.82M,6.777B,7.899B,150.44M,,,150.44M,112.49M,262.93M,0.00,,,10.00M,10.00M,,10.00M,195.35M,468.28M,900.00M,,900.00M,1.152B,1.152B,,,139.14M,2.191B,2.659B,29.78M,673.10M,4.572B,,,,,-30.39M,5.240B
2009-10,409.71M,,409.71M,411.24M,411.24M,256.68M,505.36M,762.04M,,48.35M,1.631B,0.0,58.55M,292.01M,939.65M,,71.30M,1.362B,-488.42M,873.09M,2.803B,3.070B,5.873B,0.00,61.18M,6.807B,8.438B,200.09M,,,200.09M,145.00M,345.09M,350.00M,,,210.25M,560.25M,,560.25M,201.76M,1.107B,900.00M,,900.00M,1.150B,1.150B,,,145.73M,2.196B,3.303B,29.74M,579.32M,4.563B,,,,,-32.38M,5.135B
2009-07,289.77M,,289.77M,307.51M,307.51M,289.22M,497.62M,786.84M,,58.32M,1.442B,0.0,54.77M,283.18M,921.69M,,45.40M,1.305B,-466.65M,838.39M,2.803B,3.088B,5.891B,10.51M,52.17M,6.792B,8.235B,196.13M,,,196.13M,,196.13M,350.00M,,,200.99M,550.99M,,550.99M,253.64M,1.001B,910.00M,,910.00M,1.150B,1.150B,,,140.01M,2.200B,3.200B,29.74M,481.01M,4.559B,,,,,-31.30M,5.034B
2009-04,456.69M,,456.69M,266.04M,266.04M,194.33M,409.59M,603.93M,,72.24M,1.399B,0.0,51.13M,273.34M,901.61M,,48.59M,1.275B,-436.25M,838.43M,2.791B,3.099B,5.890B,12.81M,51.66M,6.793B,8.192B,198.95M,41.45M,17.69M,258.09M,115.53M,373.62M,350.00M,,,276.73M,626.73M,,626.73M,60.89M,1.061B,910.00M,,910.00M,1.146B,1.146B,,104.58M,30.60M,2.191B,3.252B,0.00,424.50M,4.578B,,,,,-57.27M,4.940B
2009-01,359.91M,,359.91M,259.11M,259.11M,258.42M,400.03M,658.45M,,66.83M,1.344B,0.0,51.02M,265.42M,888.59M,,59.96M,1.265B,-423.39M,841.60M,2.689B,3.271B,5.959B,,101.15M,6.902B,8.247B,176.40M,,,176.40M,,176.40M,350.00M,,,277.47M,627.47M,,627.47M,319.66M,1.124B,910.00M,,910.00M,1.177B,1.177B,,,121.52M,2.208B,3.332B,29.61M,371.62M,4.543B,,,,,-29.21M,4.915B
2008-10,166.31M,,166.31M,267.50M,267.50M,164.96M,335.65M,500.61M,,70.94M,1.005B,0.0,45.76M,208.16M,614.12M,,47.36M,915.40M,-401.40M,514.00M,1.121B,638.39M,1.760B,,97.18M,2.371B,3.376B,146.80M,,,146.80M,,146.80M,,,,,75.00M,,75.00M,245.53M,467.33M,1.113B,,1.113B,168.23M,168.23M,,,115.29M,1.397B,1.864B,0.00,331.63M,1.203B,,,,,-22.23M,1.512B
2008-07,142.70M,,142.70M,182.69M,182.69M,130.70M,341.07M,471.77M,,37.92M,835.08M,0.0,45.94M,202.86M,607.37M,,41.49M,897.66M,-391.74M,505.92M,1.149B,632.91M,1.782B,,108.91M,2.397B,3.232B,154.94M,,,154.94M,,154.94M,,,,,75.00M,,75.00M,173.81M,403.75M,713.94M,,713.94M,172.15M,172.15M,,,125.19M,1.011B,1.415B,0.00,592.09M,1.199B,,,,,25.85M,1.817B
