,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,185.90M,0.00,,-7.20M,-5.90M,49.10M,52.10M,101.20M,101.20M,-11.50M,0.00,-1.40M,-34.80M,36.10M,52.40M,11.90M,-24.70M,5.20M,80.90M,,314.40M,-111.60M,4.50M,-107.10M,0.00,,1.30M,-105.80M,0.00,-110.00M,-110.00M,,-0.10M,-0.10M,-88.90M,-88.90M,,-1.70M,-196.80M,186.20M,11.80M,-5.40M,192.60M,,0.00,200.00M,-0.10M
2018-01,831.30M,0.00,,-31.60M,-26.30M,52.10M,51.60M,103.70M,103.70M,-791.90M,176.90M,4.10M,23.40M,60.10M,105.20M,-30.40M,0.00,12.90M,147.80M,,469.00M,-80.30M,8.90M,-71.40M,0.00,,5.90M,-65.50M,-100.70M,-210.00M,-310.70M,,-0.20M,-0.20M,-88.00M,-88.00M,,-5.10M,-404.00M,180.30M,-0.50M,6.40M,186.20M,,789.60M,-1.100B,-0.20M
2017-10,194.60M,0.00,,0.00,0.00,50.60M,51.60M,102.20M,102.20M,,,6.10M,6.00M,-48.80M,-32.40M,-29.80M,15.10M,-82.70M,-178.60M,,130.30M,-60.40M,,-60.40M,0.00,,-7.80M,-68.20M,-150.00M,180.10M,30.10M,,-0.10M,-0.10M,-88.50M,-88.50M,,-2.60M,-61.10M,183.20M,1.00M,-3.90M,180.30M,,10.00M,20.10M,-0.10M
2017-07,126.80M,,,-0.80M,-0.80M,54.50M,51.50M,106.00M,106.00M,,,6.60M,1.60M,7.30M,-71.20M,87.80M,4.30M,35.90M,64.10M,,304.30M,-69.60M,,-69.60M,0.00,,31.50M,-38.10M,0.00,-170.10M,-170.10M,,-6.60M,-6.60M,-84.90M,-84.90M,,1.50M,-260.10M,166.80M,6.10M,10.30M,183.20M,,0.00,-170.10M,-6.60M
2017-04,110.40M,,,-22.20M,-21.70M,52.10M,52.10M,104.20M,104.20M,-79.40M,57.50M,0.00,-3.10M,-18.10M,88.20M,-20.80M,-18.00M,65.00M,96.30M,,264.20M,-55.80M,0.10M,-55.70M,,,-26.50M,-41.60M,0.00,312.00M,312.00M,,-418.60M,-418.60M,-87.20M,-87.20M,,0.10M,-193.70M,139.60M,28.90M,-1.70M,166.80M,,170.00M,142.00M,-418.60M
2017-01,134.60M,,,-5.20M,-1.30M,52.60M,51.70M,104.30M,104.30M,0.00,75.70M,6.90M,-0.60M,96.90M,34.10M,-34.70M,22.10M,-18.50M,99.90M,,419.50M,-52.60M,0.40M,-52.20M,,,0.40M,-51.80M,0.00,-264.00M,-264.00M,,-0.20M,-0.20M,-87.20M,-87.20M,,0.10M,-351.30M,121.80M,16.40M,1.40M,139.60M,,-122.00M,-142.00M,-0.20M
2016-10,177.30M,,,-0.50M,-0.50M,53.00M,51.80M,104.80M,104.80M,,,7.00M,-7.10M,4.40M,-15.40M,-35.10M,-15.30M,-83.70M,-145.10M,,136.40M,-33.80M,,-33.80M,,,0.00,-33.80M,-100.00M,100.00M,0.00,,-0.70M,-0.70M,-87.10M,-87.10M,,-0.10M,-87.90M,109.60M,14.70M,-2.50M,121.80M,,100.00M,-100.00M,-0.70M
2016-07,170.00M,,,-0.80M,-0.80M,54.00M,51.70M,105.70M,105.70M,,,8.10M,29.40M,-74.30M,-117.30M,52.90M,20.10M,45.10M,-73.50M,,238.90M,-50.20M,,-50.20M,,,-12.30M,-62.50M,-100.00M,22.00M,-78.00M,,-18.10M,-18.10M,-77.80M,-77.80M,,0.70M,-173.20M,109.80M,3.20M,-3.40M,109.60M,,22.00M,-100.00M,-18.10M
2016-04,191.00M,0.00,,-6.20M,-4.40M,56.20M,50.20M,106.40M,106.40M,,0.00,7.70M,5.30M,57.10M,48.00M,-44.80M,-13.10M,78.20M,125.40M,,336.20M,-40.60M,3.80M,-36.80M,0.00,,27.80M,-9.00M,0.00,146.00M,146.00M,,-433.30M,-433.30M,-80.10M,-80.10M,,0.20M,-367.20M,140.50M,-40.00M,9.30M,109.80M,,58.00M,88.00M,-433.30M
2016-01,185.30M,-25.30M,,-0.60M,-24.70M,55.10M,52.20M,107.30M,107.30M,,0.00,10.50M,-8.00M,99.50M,84.50M,95.90M,-8.40M,0.40M,271.90M,,542.30M,-43.40M,0.00,-43.40M,177.70M,,-7.60M,126.70M,-350.00M,-232.00M,-582.00M,,-0.40M,-0.40M,-80.00M,-80.00M,,0.10M,-662.30M,139.00M,6.70M,-5.20M,140.50M,,-144.00M,-438.00M,-0.40M
2015-10,176.00M,,,-0.90M,0.40M,54.70M,53.00M,107.70M,107.70M,,,8.70M,4.10M,-97.70M,99.20M,14.10M,22.60M,-59.60M,-21.40M,,275.50M,-64.40M,0.20M,-64.20M,0.00,,6.30M,-57.90M,-200.00M,67.40M,-132.60M,,-0.50M,-0.50M,-80.10M,-80.10M,,0.00,-213.20M,133.60M,4.40M,1.00M,139.00M,,67.40M,-200.00M,-0.50M
2015-07,136.40M,,,-0.90M,0.40M,55.70M,53.00M,108.70M,108.70M,,,7.70M,1.50M,-80.80M,8.40M,-16.70M,13.50M,127.90M,52.30M,,307.00M,-53.00M,,-53.00M,7.90M,,7.00M,-38.10M,-250.00M,76.60M,-173.40M,,-6.90M,-6.90M,-76.40M,-76.40M,,0.50M,-256.20M,125.60M,12.70M,-4.70M,133.60M,,76.60M,-250.00M,-6.90M
2015-04,-90.30M,0.00,,-11.40M,-11.40M,43.40M,34.40M,77.80M,77.80M,,,7.60M,159.40M,87.10M,41.80M,-36.30M,31.10M,-43.90M,79.80M,,227.50M,-85.60M,1.00M,-84.60M,-1.24B,,-18.10M,-1.343B,1.289B,-38.00M,1.251B,,-9.00M,-9.00M,-65.00M,-65.00M,,-40.90M,1.136B,111.70M,20.50M,-6.60M,125.60M,,5.367B,-4.116B,-9.00M
2015-01,160.90M,0.00,,-1.20M,-3.20M,37.90M,25.20M,63.10M,63.10M,,,3.80M,-9.90M,75.40M,113.90M,-45.80M,-2.60M,67.80M,208.70M,,427.70M,-48.40M,0.40M,-48.00M,-0.20M,,-10.70M,-58.90M,0.00,-281.90M,-281.90M,,-4.00M,-4.00M,-65.10M,-65.10M,,0.90M,-350.10M,105.30M,18.70M,-12.30M,111.70M,,-281.90M,0.00,-4.00M
2014-10,158.30M,,,-1.80M,-0.30M,37.90M,25.20M,63.10M,63.10M,,,5.20M,-6.80M,-57.70M,22.90M,-59.50M,18.50M,-51.70M,-127.50M,,92.00M,-64.70M,0.00,-64.70M,-80.30M,,3.00M,-142.00M,0.00,75.90M,75.90M,,-0.70M,-0.70M,-65.00M,-65.00M,,1.60M,11.80M,149.40M,-38.20M,-5.90M,105.30M,,75.90M,0.00,-0.70M
2014-07,116.00M,,,-1.30M,-0.80M,38.30M,24.90M,63.20M,63.20M,,,6.90M,-5.70M,-83.00M,-153.30M,-24.10M,27.10M,45.60M,-187.70M,,-8.10M,-49.00M,1.20M,-47.80M,0.00,,-4.30M,-52.10M,-100.00M,221.60M,121.60M,,-10.60M,-10.60M,-58.90M,-58.90M,,7.80M,59.90M,153.50M,-0.30M,-3.80M,149.40M,,221.60M,-100.00M,-10.60M
2014-04,118.50M,,,-3.10M,-5.50M,40.30M,24.80M,65.10M,65.10M,,,4.90M,35.80M,56.50M,-64.90M,85.50M,-29.60M,8.60M,56.10M,,266.90M,-130.60M,8.90M,-121.70M,0.00,,-1.40M,-113.10M,-50.00M,248.40M,198.40M,,-281.50M,-281.50M,-60.60M,-60.60M,-0.40M,-26.20M,-170.30M,168.60M,-16.50M,1.40M,153.50M,,248.40M,-50.00M,-281.50M
2014-01,166.70M,,,-3.30M,-2.60M,40.10M,24.90M,65.00M,65.00M,,,5.70M,0.60M,96.90M,154.80M,-78.00M,-2.90M,14.90M,185.70M,,421.10M,-65.50M,0.40M,-65.10M,0.20M,,0.60M,-64.30M,0.00,-207.00M,-207.00M,,-61.50M,-61.50M,-61.00M,-61.00M,0.10M,0.10M,-329.30M,150.50M,27.50M,-9.40M,168.60M,,-207.00M,0.00,-61.50M
2013-10,153.40M,,,-1.90M,-1.10M,39.50M,24.70M,64.20M,64.20M,,,6.70M,2.50M,-103.00M,40.60M,2.70M,-8.40M,-71.70M,-139.80M,,85.90M,-47.10M,0.30M,-46.80M,-102.00M,,-1.80M,-150.60M,0.00,122.00M,122.00M,,-0.10M,-0.10M,-61.00M,-61.00M,0.20M,-1.40M,59.70M,157.50M,-5.00M,-2.00M,150.50M,,122.00M,0.00,-0.10M
2013-07,126.60M,,,-1.10M,-0.90M,37.60M,24.50M,62.10M,62.10M,,,5.60M,-6.80M,-44.30M,-115.10M,2.20M,14.00M,38.70M,-104.50M,,82.10M,-36.30M,1.10M,-35.20M,,,-7.10M,-42.30M,0.00,85.00M,85.00M,,-165.40M,-165.40M,-55.40M,-55.40M,0.10M,0.10M,-135.60M,256.40M,-95.80M,-3.10M,157.50M,,85.00M,0.00,-165.40M
2013-04,130.30M,,,,-38.60M,46.30M,24.20M,70.50M,70.50M,,,5.50M,-6.30M,46.20M,-67.70M,9.30M,,34.00M,26.40M,,172.20M,-60.00M,0.20M,-59.80M,0.00,,0.40M,-59.40M,,0.00,-50.00M,,-188.70M,-188.70M,-56.30M,-56.30M,0.30M,0.90M,-293.80M,438.80M,-181.00M,-1.40M,256.40M,,0.00,,-188.70M
2013-01,154.20M,,,,0.70M,35.80M,24.20M,60.00M,60.00M,,,5.30M,10.20M,109.30M,97.50M,-90.30M,,-22.90M,93.60M,,324.00M,-48.00M,2.50M,-45.50M,0.00,,11.30M,-34.20M,,,,,-0.20M,-0.20M,-56.30M,-56.30M,1.10M,0.50M,-54.90M,203.60M,234.90M,0.30M,438.80M,,,,-0.20M
2012-10,148.80M,,,,1.70M,35.90M,24.20M,60.10M,60.10M,,,6.20M,27.30M,-78.30M,44.10M,-20.40M,,-6.60M,-61.20M,,182.90M,-52.20M,0.30M,-51.90M,0.00,,-11.80M,-63.70M,,0.00,0.00,,-171.10M,-171.10M,-57.40M,-57.40M,0.60M,0.20M,-227.70M,311.50M,-108.50M,0.60M,203.60M,,0.00,,-171.10M
2012-07,110.90M,,,,1.00M,36.10M,24.20M,60.30M,60.30M,,,4.30M,-2.00M,-44.00M,-58.70M,105.90M,,-1.00M,2.20M,,176.70M,-46.30M,0.30M,-46.00M,,,17.70M,-28.30M,,0.00,0.00,,-4.20M,-4.20M,-52.80M,-52.80M,0.20M,-7.80M,-64.60M,229.70M,83.80M,-2.00M,311.50M,,0.00,,-4.20M
2012-04,104.09M,0.013M,,,0.305M,36.64M,25.28M,61.92M,61.92M,,,5.176M,-44.17M,17.73M,30.16M,103.47M,,-7.421M,146.94M,,261.66M,-77.31M,1.216M,-76.09M,-30.81M,0.00,-19.38M,-126.28M,0.04M,0.00,0.04M,,-225.28M,-225.28M,-54.31M,-54.31M,1.081M,0.615M,-277.85M,370.43M,-142.48M,1.794M,229.70M,,0.04M,,-225.28M
2012-01,116.84M,0.00,,,0.382M,27.96M,22.03M,49.99M,49.99M,,,3.97M,17.27M,97.93M,194.25M,-68.83M,,-2.501M,220.84M,,409.30M,-61.18M,1.881M,-59.30M,-379.51M,0.00,1.229M,-437.58M,0.00,,0.00,,-45.93M,-45.93M,-54.56M,-54.56M,1.201M,2.186M,-97.11M,496.29M,-125.38M,-0.475M,370.43M,,0.00,,-45.93M
2011-10,127.25M,11.29M,,,13.29M,28.23M,20.56M,48.79M,48.79M,,,6.522M,19.57M,-113.87M,58.24M,-58.52M,,16.91M,-97.24M,,118.17M,-68.08M,0.773M,-67.30M,9.268M,0.00,-2.232M,-60.27M,748.56M,-306.70M,441.86M,,-39.21M,-39.21M,-54.67M,-54.67M,0.276M,-7.635M,340.63M,102.48M,398.53M,-4.721M,496.29M,,441.86M,,-39.21M
2011-07,111.52M,,,,0.725M,27.57M,20.24M,47.80M,47.80M,,,6.032M,6.125M,7.512M,-330.85M,96.59M,,-3.691M,-230.45M,,-58.24M,-67.63M,0.13M,-67.50M,-362.85M,18.60M,-0.018M,-411.77M,,306.70M,306.70M,,-5.385M,-5.385M,-50.16M,-50.16M,0.242M,2.534M,253.93M,319.84M,-216.07M,-1.298M,102.48M,,306.70M,,-5.385M
2011-04,94.90M,0.00,,,-15.71M,28.72M,18.29M,47.01M,47.01M,,0.445M,6.014M,54.74M,-52.42M,-125.60M,67.61M,,13.43M,-130.38M,,-2.78M,-68.97M,0.798M,-68.17M,0.00,20.04M,-0.001M,-48.13M,0.00,,0.00,,-141.77M,-141.77M,-50.94M,-50.94M,4.531M,3.207M,-184.97M,549.58M,-235.88M,6.068M,319.80M,,0.00,0.00,-141.77M
2011-01,132.00M,0.00,,,0.784M,26.83M,18.52M,45.34M,45.34M,,17.16M,5.718M,10.12M,126.84M,89.35M,-51.35M,,-1.12M,163.71M,,374.83M,-49.06M,4.663M,-44.40M,0.00,9.50M,-0.11M,-35.01M,0.00,,0.00,,-242.18M,-242.18M,-47.73M,-47.73M,7.869M,2.517M,-279.53M,487.46M,60.30M,1.821M,549.58M,,0.00,0.00,-242.18M
2010-10,149.73M,0.00,-0.134M,,0.893M,17.83M,18.50M,36.33M,36.33M,,,6.94M,23.38M,-110.06M,-56.04M,0.628M,,-5.023M,-170.49M,,46.78M,-35.13M,0.049M,-35.08M,0.00,9.00M,-0.029M,-26.11M,-10.00M,,-10.00M,,-0.114M,-0.114M,-47.74M,-47.74M,0.775M,0.263M,-56.82M,522.77M,-36.14M,0.828M,487.46M,,0.00,-10.00M,-0.114M
2010-07,102.88M,,0.134M,,0.134M,38.81M,18.50M,57.31M,57.31M,,,5.328M,3.849M,-66.96M,-111.91M,-10.59M,,-7.289M,-196.74M,,-27.24M,-26.95M,0.29M,-26.66M,0.00,-57.04M,0.04M,-83.65M,400.00M,0.00,400.00M,,-5.033M,-5.033M,-47.59M,-47.59M,1.325M,2.213M,350.91M,283.57M,240.02M,-0.817M,522.77M,,400.00M,,-5.033M
2010-04,120.61M,,-2.888M,,-10.72M,29.34M,18.40M,47.73M,47.73M,,1.851M,7.153M,13.18M,44.62M,5.467M,-5.419M,,-14.54M,32.81M,,201.90M,-24.32M,0.193M,-24.13M,,0.00,0.094M,-4.478M,-350.00M,350.00M,0.00,,-0.138M,-0.138M,-41.64M,-41.64M,0.103M,0.109M,-41.56M,125.56M,155.86M,2.147M,283.57M,,0.00,0.00,-0.138M
2010-01,135.48M,,1.267M,,1.267M,27.74M,18.57M,46.31M,46.31M,,9.807M,5.698M,15.50M,129.59M,99.20M,-89.78M,,-13.81M,125.20M,,323.76M,-23.23M,0.012M,-23.22M,,0.00,-0.014M,-23.23M,-200.00M,-350.00M,-550.00M,,-0.206M,-0.206M,-41.59M,-41.59M,4.638M,1.437M,-585.72M,409.71M,-285.20M,1.048M,125.56M,,0.00,-550.00M,-0.206M
2009-10,139.99M,,1.621M,,1.237M,25.88M,18.31M,44.19M,44.19M,,,6.686M,6.686M,-104.01M,24.13M,94.42M,,7.026M,21.56M,,213.66M,-62.16M,0.00,-62.16M,,11.12M,-0.658M,-51.70M,0.00,,0.00,,-0.352M,-0.352M,-82.99M,-41.59M,0.47M,-0.427M,-41.90M,289.77M,120.06M,-0.124M,409.71M,,0.00,0.00,-0.352M
2009-07,98.06M,,,,0.384M,25.27M,18.38M,43.65M,43.65M,,,6.412M,6.412M,-38.67M,-174.96M,22.39M,,16.89M,-174.36M,,-25.85M,-27.27M,0.00,-27.27M,,2.404M,-0.16M,-25.03M,-75.00M,,-75.00M,,-4.873M,-4.873M,,-41.41M,1.202M,0.713M,-119.36M,456.69M,-170.24M,3.319M,289.77M,,0.00,-75.00M,-4.873M
2009-04,94.27M,,,,,25.43M,16.06M,41.49M,41.49M,,0.743M,9.269M,-4.491M,-5.337M,53.55M,-2.881M,,-108.70M,-24.57M,,157.98M,-24.02M,-1.767M,-25.79M,-5.186M,1.705M,-1.429M,-30.70M,0.00,0.00,0.00,,-0.669M,-0.669M,,-37.85M,0.126M,0.676M,-37.72M,359.91M,89.57M,7.219M,456.69M,,0.00,0.00,-0.669M
2009-01,77.94M,,,,,23.97M,19.81M,43.78M,43.78M,,0.748M,12.84M,7.549M,38.64M,104.25M,-15.05M,,23.18M,151.02M,,280.29M,-29.12M,0.558M,-28.56M,-16.07M,0.442M,0.619M,-43.57M,400.00M,0.00,309.16M,-1.85M,0.00,-1.85M,,-347.02M,1.85M,-1.485M,-39.35M,166.31M,197.37M,-3.773M,359.91M,-1.85M,400.00M,0.00,0.00
2008-10,51.45M,,,,,15.01M,1.482M,16.49M,16.49M,,,,3.236M,-91.18M,-42.20M,34.86M,,-19.44M,-117.96M,,-46.78M,-33.57M,0.937M,-32.64M,-0.483M,0.414M,6.088M,-26.62M,,,90.84M,1.217M,0.00,1.217M,,17.45M,,0.646M,110.15M,142.70M,36.76M,-0.509M,166.31M,1.217M,,,0.00
2008-07,42.29M,,,,,15.04M,1.471M,16.51M,16.51M,,,,2.799M,-20.76M,-80.94M,73.90M,,21.70M,-6.094M,,55.50M,-22.20M,1.072M,-21.12M,-55.59M,0.452M,0.17M,-76.10M,,,,0.633M,-3.356M,-2.723M,,-17.45M,,-0.311M,-20.48M,184.18M,-41.08M,-0.398M,142.70M,0.633M,,,-3.356M
2008-04,37.05M,,,,,14.97M,1.182M,16.15M,16.15M,,,,4.087M,-11.39M,-19.85M,-18.11M,,27.41M,-60.45M,,13.16M,-22.87M,1.766M,-21.10M,-53.99M,0.675M,0.616M,-73.80M,,,0.00,0.567M,-66.22M,-65.65M,,-16.60M,,-0.822M,-83.07M,327.66M,-143.71M,0.225M,184.18M,0.567M,,,-66.22M
2008-01,42.40M,,,,,14.88M,1.402M,16.28M,16.28M,,,,2.981M,80.37M,46.80M,-37.74M,,-13.10M,76.34M,,138.00M,-17.24M,1.176M,-16.07M,-3.469M,23.55M,-0.649M,3.365M,,,0.00,0.025M,-82.67M,-82.65M,,-17.24M,,-0.749M,-100.63M,287.12M,40.73M,-0.189M,327.66M,0.025M,,,-82.67M
2007-10,50.17M,,,,,13.88M,1.417M,15.30M,15.30M,,,,3.147M,-72.61M,1.701M,40.73M,,-7.636M,-37.81M,,30.80M,-19.53M,0.294M,-19.24M,-26.64M,146.28M,-3.856M,96.55M,,,-33.00M,0.328M,0.00,0.328M,,-17.23M,,-0.211M,-50.11M,206.66M,77.23M,3.229M,287.12M,0.328M,,,0.00
2007-07,40.76M,,,,,14.77M,0.121M,14.89M,14.89M,,,,2.826M,-13.97M,-63.68M,22.11M,,6.689M,-48.85M,,9.627M,-16.79M,0.296M,-16.49M,-133.45M,-142.38M,3.712M,-288.60M,,,285.00M,16.33M,-3.627M,12.70M,,-17.01M,,2.969M,283.66M,200.12M,4.682M,1.861M,206.66M,16.33M,,,-3.627M
2007-04,42.50M,,,,,14.96M,0.342M,15.30M,15.30M,,,,2.975M,-5.82M,-6.282M,9.074M,,-9.034M,-21.92M,,61.38M,-14.10M,1.431M,-12.67M,0.00,3.077M,-0.364M,-9.955M,,,0.166M,,-0.182M,25.58M,,-15.81M,,-16.14M,-6.207M,152.17M,45.22M,2.731M,200.12M,,,,-0.182M
2007-01,40.43M,,,,,14.48M,0.118M,14.60M,14.60M,,,,3.813M,60.10M,20.44M,-34.71M,,-0.061M,45.78M,,104.62M,-11.07M,-0.982M,-12.05M,4.034M,8.41M,0.007M,0.397M,,,0.295M,,-15.26M,-15.26M,,-15.88M,,3.467M,-27.38M,77.70M,77.64M,-3.169M,152.17M,,,,-15.26M
2006-10,45.57M,,,,,12.78M,1.027M,13.80M,13.80M,,,,4.726M,-33.41M,9.014M,7.213M,,-0.302M,-17.49M,,46.61M,-16.94M,1.065M,-15.87M,38.94M,2.592M,-0.72M,24.94M,,,-49.21M,,-35.64M,-35.64M,,-16.13M,,11.21M,-89.76M,96.14M,-18.21M,-0.228M,77.70M,,,,-35.64M
2006-07,28.72M,,,,,15.13M,0.041M,15.17M,15.17M,,,,9.832M,2.975M,-31.32M,19.45M,,15.98M,7.084M,,60.81M,-14.90M,0.799M,-14.10M,-19.41M,-7.807M,-1.113M,-42.42M,,,20.60M,,-1.047M,-1.047M,,-15.81M,,1.982M,5.729M,71.96M,24.11M,0.071M,96.14M,,,,-1.047M
2006-04,35.70M,,,,-6.754M,16.50M,7.371M,23.88M,23.88M,,,,,-24.69M,24.28M,-0.499M,,13.03M,-12.25M,,73.70M,-20.46M,-6.811M,-27.27M,,2.193M,1.114M,-15.21M,,,-9.269M,,-51.60M,-51.60M,,-15.61M,,-0.115M,-76.59M,89.25M,-18.10M,0.807M,71.96M,,,,-51.60M
2006-01,31.31M,,,,1.116M,16.43M,-4.516M,11.91M,11.91M,,,,,65.58M,30.11M,-89.80M,,15.10M,20.99M,,65.33M,-12.47M,9.574M,-2.895M,,12.72M,0.225M,10.05M,,,-3.286M,,-9.299M,-9.299M,,-15.63M,,-0.439M,-28.65M,42.36M,46.73M,0.157M,89.25M,,,,-9.299M
2005-10,46.44M,,,,,14.89M,4.566M,19.46M,19.46M,,,,-2.849M,-24.60M,-2.182M,-4.057M,,6.847M,-23.99M,,39.06M,-16.63M,0.335M,-16.30M,,4.385M,0.078M,-11.83M,,,-12.88M,,-4.622M,-4.622M,,-15.71M,,1.101M,-32.11M,47.49M,-4.881M,-0.245M,42.36M,,,,-4.622M
