,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,1.838B,1.838B,1.176B,662.07M,,,1.687M,77.59M,,,,284.83M,489.28M,172.79M,,,,1.687M,,111.70M,42.86M,68.83M,,,,1.39M,68.83M,67.79M,309.84M,137.05M,172.79M,,0.53,0.00,,0.5219,0.53,,0.5266,0.00,,0.5185,0.5266,,127.88M,128.06M,0.15,,,
2003-12,1.515B,1.515B,968.89M,545.93M,,,-6.443M,54.07M,,,,316.18M,513.63M,32.30M,,,,-6.443M,,-34.08M,-25.57M,-8.51M,,0.00,,1.39M,-8.51M,-4.644M,175.68M,143.38M,32.30M,,-0.42,0.38,0.00,-0.3897,-0.08,,-0.42,0.38,0.0000,-0.3897,-0.08,,127.53M,127.70M,0.15,,,
2003-09,1.640B,1.640B,1.034B,606.45M,,,4.678M,53.17M,,,,277.96M,479.14M,127.32M,,,,4.678M,,68.65M,23.28M,45.37M,,-4.741M,,1.39M,40.63M,42.28M,284.77M,157.46M,127.32M,,0.35,-0.04,0.00,0.3257,0.31,,0.3455,-0.04,-0.0373,0.3212,0.3082,,127.17M,127.30M,0.15,,,
2003-06,1.330B,1.330B,767.00M,563.04M,,,0.754M,51.46M,,,,298.99M,459.33M,103.70M,,,,0.754M,,44.93M,16.67M,28.26M,,,,1.389M,28.26M,27.78M,212.59M,96.29M,103.70M,,0.21,0.00,,0.2063,0.21,,0.21,0.00,,0.2063,0.21,,126.75M,126.86M,0.1375,,,
2003-03,1.584B,1.584B,965.04M,619.14M,,,0.576M,73.97M,,,,235.16M,455.11M,164.03M,,,,0.576M,,101.06M,39.47M,61.59M,,,,1.39M,61.59M,61.24M,316.27M,152.24M,164.03M,,0.47,0.00,,0.4672,0.47,,0.47,0.00,,0.4672,0.47,,127.01M,127.11M,0.1375,,,
2002-12,1.467B,1.467B,914.98M,551.93M,,,24.11M,50.48M,,,,51.93M,419.16M,132.77M,,,,24.11M,,89.98M,32.55M,57.42M,,,,1.39M,57.42M,42.04M,449.53M,-171.80M,132.77M,,0.16,0.28,,0.0398,0.44,,0.16,0.28,,0.0398,0.44,,128.08M,128.08M,0.1375,,,
2002-09,1.361B,1.361B,797.50M,563.55M,,,32.06M,47.58M,,,,252.38M,445.45M,118.10M,,,,32.06M,,82.44M,32.48M,49.96M,,,,1.39M,49.96M,30.54M,283.14M,165.04M,118.10M,,0.38,0.00,,0.2298,0.38,,0.3751,0.00,,0.2250,0.3751,,129.34M,129.51M,0.1375,,,
2002-06,1.673B,1.673B,1.158B,514.87M,,,1.653M,54.86M,,,,272.17M,420.82M,94.05M,,,,1.653M,,26.70M,-3.55M,30.25M,,,,1.389M,30.25M,29.25M,187.83M,71.73M,94.05M,,0.22,0.00,,0.2124,0.22,,0.22,0.00,,0.2124,0.22,,129.68M,129.99M,0.125,,,
2002-03,1.284B,1.284B,726.62M,557.85M,,,-14.00M,74.60M,,,,250.34M,443.56M,114.29M,,,,-14.00M,,33.40M,13.37M,20.03M,,,,1.39M,20.03M,28.43M,254.96M,140.67M,114.29M,,0.14,0.00,,0.2048,0.14,,0.14,0.00,,0.2047,0.14,,129.50M,129.75M,0.125,,,
2001-12,1.299B,1.299B,754.80M,543.76M,,,638.94M,48.46M,,,,875.02M,1.053B,-509.23M,,,,638.94M,,59.08M,7.988M,51.09M,,0.00,,5.491M,51.09M,-501.46M,-379.72M,129.51M,-509.23M,,0.37,0.19,0.00,-3.843,0.39,,0.3358,0.19,-0.0018,-3.873,0.3307,,131.17M,131.30M,0.125,,,
2001-09,1.531B,1.531B,985.06M,545.60M,,,17.72M,39.65M,,,,254.51M,432.23M,113.38M,,,,17.72M,,60.82M,25.18M,35.64M,,,,1.004M,35.64M,25.00M,251.44M,138.07M,113.38M,,0.26,0.00,,0.1804,0.26,,0.26,0.00,,0.1806,0.26,,133.54M,133.87M,0.125,,,
2001-06,1.583B,1.583B,1.010B,573.42M,,,7.673M,55.20M,,,,240.70M,431.90M,141.52M,,,,7.673M,,75.21M,28.48M,46.73M,,,-2.437M,,46.73M,41.96M,277.51M,135.99M,141.52M,,0.35,0.00,,0.3144,0.35,,0.35,0.00,,0.3145,0.35,,133.91M,134.15M,0.10,,,
2001-03,1.801B,1.801B,1.167B,633.57M,,,0.807M,75.89M,,,,-541.11M,315.26M,318.31M,,,,0.807M,,249.60M,112.30M,137.30M,,-22.43M,-2.325M,2.704M,114.87M,136.81M,1.099B,780.48M,318.31M,,0.93,-0.15,0.00,0.9266,0.78,,0.93,-0.15,-0.1559,0.9266,0.7772,,143.91M,144.31M,0.10,,,
2000-12,1.497B,1.497B,800.68M,696.70M,,,-13.65M,59.73M,,,,313.22M,523.62M,173.08M,,,,-13.65M,,90.96M,35.26M,55.70M,,,,2.739M,-178.18M,64.06M,328.52M,155.44M,173.08M,,0.37,-1.65,,0.4282,-1.28,,0.37,-1.65,,0.4275,-1.28,,143.71M,145.38M,0.10,,,
2000-09,1.582B,1.582B,918.78M,663.17M,,,16.28M,59.17M,,,,293.49M,485.83M,177.34M,,,,16.28M,,113.85M,45.55M,68.30M,,,-2.325M,2.752M,68.30M,58.53M,310.51M,129.14M,177.34M,,0.46,0.00,,0.3920,0.46,,0.45,0.00,,0.3830,0.45,,143.54M,145.65M,0.10,,,
2000-06,1.415B,1.415B,816.16M,598.81M,,,-0.49M,61.32M,,,,263.68M,452.27M,146.54M,,,,-0.49M,,63.56M,47.44M,16.12M,,,-2.325M,3.913M,16.12M,16.41M,273.80M,113.77M,146.54M,,0.09,0.00,,0.0921,0.09,,0.08,0.00,,0.0819,0.08,,143.28M,152.58M,0.10,,,
2000-03,1.382B,1.382B,768.37M,613.95M,,,2.847M,58.36M,,,,240.17M,416.12M,197.83M,,,,2.847M,,133.93M,54.59M,79.34M,,,-0.499M,4.758M,79.34M,77.64M,315.41M,117.58M,197.83M,,0.55,0.00,,0.5374,0.55,,0.55,0.00,,0.5374,0.55,,135.67M,135.67M,0.10,,,
1999-12,1.149B,1.149B,547.70M,601.10M,,,-76.30M,59.30M,,,,-25.50M,442.80M,158.30M,,,,-76.30M,,15.20M,25.60M,-10.40M,,,-8.20M,5.30M,-10.40M,35.38M,567.30M,,158.30M,,-0.12,0.00,,0.2276,-0.12,,-0.1210,0.00,,0.2202,-0.1210,,131.71M,134.18M,0.10,,,
1999-09,1.240B,1.240B,592.80M,647.70M,,,-24.90M,70.60M,,,,217.40M,480.80M,166.90M,,,,-24.90M,,74.70M,37.80M,36.90M,,,0.10M,5.70M,36.90M,51.84M,359.70M,,166.90M,,0.24,0.00,,0.3549,0.24,,0.24,0.00,,0.3549,0.24,,130.00M,130.00M,0.00,,,
1999-06,1.039B,1.039B,377.40M,661.17M,,,2.10M,60.90M,,,,407.80M,571.60M,89.57M,,,,2.10M,,25.30M,19.10M,6.20M,,,-0.30M,5.90M,6.20M,4.94M,192.47M,,89.57M,,0.0022,,,-0.0073,0.0022,,0.0022,,,-0.0073,0.0022,,132.14M,132.14M,0.00,,,
1999-03,1.043B,1.043B,380.40M,663.00M,,,2.00M,70.60M,,,,287.70M,552.30M,110.70M,,,,2.00M,,40.40M,16.00M,24.40M,,,-0.80M,5.90M,24.40M,23.19M,304.70M,,110.70M,,0.14,0.00,,0.1309,0.14,,0.14,0.00,,0.1309,0.14,,132.14M,132.14M,0.00,,,
1998-12,959.60M,959.60M,,,,,,,,,,,,-2.501B,,,,,,,,-105.50M,,,,,-105.50M,-105.50M,-2.501B,,-2.501B,,-1.01,0.00,,-1.01,-1.01,,-1.01,0.00,,-1.01,-1.01,,120.29M,120.29M,0.00,,,
1998-09,974.40M,974.40M,,,,,,,,,,,,974.40M,,,,,,,,-3.10M,,,,,-3.10M,-3.10M,974.40M,,974.40M,,-0.02,0.00,,-0.02,-0.02,,-0.02,0.00,,-0.02,-0.02,,155.00M,155.00M,0.00,,,
1998-06,874.80M,874.80M,306.10M,568.70M,,,-0.20M,61.30M,,,,306.70M,474.80M,93.90M,,,,-0.20M,,23.30M,10.20M,13.10M,,,0.70M,6.80M,13.10M,13.22M,200.70M,,93.90M,,0.05,0.00,,0.0510,0.05,,0.05,0.00,,0.0510,0.05,,126.00M,126.00M,0.00,,,
1998-03,958.90M,958.90M,,,,,,,,,,,,958.90M,,,,,,,,-17.90M,,,,,-17.90M,-17.90M,958.90M,,958.90M,,-0.14,0.00,,-0.14,-0.14,,-0.14,0.00,,-0.14,-0.14,,127.86M,127.86M,0.00,,,
1997-12,979.00M,979.00M,,,,,,,,,,,,-2.662B,,,,,,,,-6.70M,,,,,-6.70M,-6.70M,-2.662B,,-2.662B,,-0.2720,,,-0.2720,-0.2720,,-0.2720,,,-0.2720,-0.2720,,136.86M,136.86M,0.00,,,
1997-09,977.10M,977.10M,,,,,,,,,,,,977.10M,,,,,,,,-51.70M,,,,,-51.70M,-51.70M,977.10M,,977.10M,,-0.24,0.00,,-0.24,-0.24,,-0.24,0.00,,-0.24,-0.24,,215.42M,215.42M,0.00,,,
1997-06,903.30M,903.30M,276.90M,626.40M,,,6.90M,59.70M,,,,478.10M,639.40M,-13.00M,,,,6.90M,,-77.40M,-20.90M,-56.50M,,,0.40M,7.90M,-56.50M,-61.54M,88.60M,,-13.00M,,-0.50,0.00,,-0.5391,-0.50,,-0.50,0.00,,-0.5391,-0.50,,128.80M,128.80M,0.00,,,
1997-03,975.40M,975.40M,,,,,,,,,,,,975.40M,,,,,,,,0.90M,,,,,0.90M,0.90M,975.40M,,975.40M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,136.05M,136.05M,0.25,,,
1996-12,936.50M,936.50M,320.20M,616.30M,,,19.00M,60.10M,,,,438.30M,656.30M,-40.00M,,,,19.00M,,-98.20M,-30.30M,-67.90M,,,-6.70M,8.50M,-67.90M,-81.04M,117.90M,,-40.00M,,-0.60,0.00,,-0.7032,-0.60,,-0.60,0.00,,-0.7025,-0.60,,127.25M,128.20M,0.25,,,
1996-09,955.50M,955.50M,308.10M,647.40M,,,11.20M,64.80M,,,,399.40M,566.60M,80.80M,,,,11.20M,,24.20M,14.50M,9.70M,,,3.30M,8.60M,9.70M,2.98M,183.20M,,80.80M,,0.01,0.00,,-0.0511,0.01,,0.01,0.00,,-0.0511,0.01,,110.00M,110.00M,0.25,,,
1996-06,871.90M,871.90M,199.70M,672.20M,,,14.80M,61.40M,,,,401.00M,566.20M,106.00M,,,,14.80M,,46.40M,26.50M,19.90M,,,3.70M,8.30M,19.90M,11.02M,209.80M,,106.00M,,0.09,0.00,,0.0211,0.09,,0.09,0.00,,0.0211,0.09,,128.89M,128.89M,0.44,,,
1996-03,1.028B,1.028B,311.70M,716.50M,,,10.00M,71.30M,,,,346.90M,523.40M,193.10M,,,,10.00M,,133.20M,59.30M,73.90M,,,3.70M,8.40M,73.90M,67.90M,298.30M,,193.10M,,0.51,0.00,,0.4633,0.51,,0.51,0.00,,0.4633,0.51,,128.43M,128.43M,0.44,,,
1995-12,980.50M,980.50M,228.30M,752.20M,,,19.70M,61.30M,,,,271.60M,547.70M,204.50M,,,,19.70M,,139.30M,66.70M,72.60M,,,-6.10M,8.40M,72.60M,60.78M,419.30M,,204.50M,,0.50,0.00,,0.4077,0.50,,0.50,0.00,,0.4077,0.50,,128.08M,128.08M,0.44,,,
1995-09,985.10M,985.10M,242.90M,742.20M,,,12.50M,63.40M,,,,337.90M,504.00M,238.20M,,,,12.50M,,173.70M,75.60M,98.10M,,,3.60M,8.60M,98.10M,90.60M,340.90M,,238.20M,,0.71,0.00,,0.6505,0.71,,0.71,0.00,,0.6505,0.71,,126.06M,126.06M,0.44,,,
1995-06,840.30M,840.30M,200.30M,640.00M,,,7.90M,59.00M,,,,290.90M,465.90M,174.10M,,,,7.90M,,104.30M,53.60M,50.70M,,,3.90M,8.40M,50.70M,45.96M,290.10M,,174.10M,,0.34,0.00,,0.3019,0.34,,0.34,0.00,,0.3019,0.34,,124.41M,124.41M,0.44,,,
1995-03,944.70M,944.70M,237.60M,707.10M,,,8.30M,65.80M,,,,302.50M,470.20M,236.90M,,,,8.30M,,165.90M,65.50M,100.40M,,,2.30M,14.10M,100.40M,95.38M,338.80M,,236.90M,,0.69,0.00,,0.6498,0.69,,0.69,0.00,,0.6498,0.69,,125.07M,125.07M,0.44,,,
1994-12,898.20M,898.20M,203.90M,694.30M,,,21.30M,56.40M,,,,341.80M,498.30M,196.00M,,,,21.30M,,138.70M,63.20M,75.50M,,,3.60M,10.70M,75.50M,62.72M,296.10M,,196.00M,,0.52,0.00,,0.4175,0.52,,0.52,0.00,,0.4175,0.52,,124.63M,124.63M,0.44,,,
1994-09,923.70M,923.70M,220.70M,703.00M,,,10.40M,63.60M,,,,346.60M,491.60M,211.40M,,,,10.40M,,145.10M,69.10M,76.00M,,,3.70M,10.90M,76.00M,69.76M,292.80M,,211.40M,,0.52,0.00,,0.4702,0.52,,0.52,0.00,,0.4702,0.52,,125.19M,125.19M,0.44,,,
1994-06,854.60M,854.60M,182.20M,672.40M,,,22.90M,59.90M,,,,325.60M,488.40M,184.00M,,,,22.90M,,130.50M,58.60M,71.90M,,,3.70M,10.80M,71.90M,58.16M,286.90M,,184.00M,,0.49,0.00,,0.3798,0.49,,0.49,0.00,,0.3798,0.49,,124.69M,124.69M,0.44,,,
1994-03,966.20M,966.20M,225.60M,740.60M,,,21.30M,67.10M,,,,317.00M,490.00M,250.60M,,,,21.30M,,195.80M,89.30M,106.50M,,,3.40M,10.60M,106.50M,93.72M,356.50M,,250.60M,,0.77,0.00,,0.6674,0.77,,0.77,0.00,,0.6674,0.77,,124.55M,124.55M,0.44,,,
1993-12,901.90M,901.90M,,,,,,,,,,,,901.90M,,,,,,,,65.90M,,0.00,,,65.90M,65.90M,901.90M,,901.90M,,0.62,0.03,0.00,0.62,0.65,,0.62,0.03,0.0329,0.62,0.65,,91.95M,91.95M,0.44,,,
1993-09,915.20M,915.20M,,,,,,,,,,,,915.20M,,,,,,,,49.70M,,,,,49.70M,49.70M,915.20M,,915.20M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,134.32M,134.32M,0.44,,,
1993-06,853.80M,853.80M,,,,,,,,,,,,853.80M,,,,,,,,18.20M,,,,,18.20M,18.20M,853.80M,,853.80M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,130.00M,130.00M,0.44,,,
1993-03,958.20M,958.20M,,,,,,,,,,,,958.20M,,,,,,,,64.40M,,51.70M,,,116.10M,64.40M,958.20M,,958.20M,,0.48,0.39,0.00,0.48,0.87,,0.48,0.39,0.3874,0.48,0.87,,133.45M,133.45M,0.44,,,
1992-12,867.70M,867.70M,,,,,,,,,,,,867.70M,,,,,,,,96.80M,,,,,96.80M,96.80M,867.70M,,867.70M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,185.38M,185.38M,0.44,,,
1992-09,867.70M,867.70M,,,,,,,,,,,,867.70M,,,,,,,,63.30M,,,,,63.30M,63.30M,867.70M,,867.70M,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,134.68M,134.68M,0.44,,,
1992-06,718.70M,718.70M,,,,,,,,,,,,718.70M,,,,,,,,66.40M,,,,,66.40M,66.40M,718.70M,,718.70M,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,110.60M,110.60M,0.44,,,
1992-03,762.70M,762.70M,,,,,,,,,,,,762.70M,,,,,,,,76.50M,,,,,76.50M,76.50M,762.70M,,762.70M,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,105.08M,105.08M,0.44,,,
1991-12,722.80M,722.80M,,,,,,,,,,,,722.80M,,,,,,,,17.40M,,,,,17.40M,17.40M,722.80M,,722.80M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,119.25M,119.25M,0.44,,,
1991-09,692.70M,692.70M,,,,,,,,,,,,692.70M,,,,,,,,78.10M,,,,,78.10M,78.10M,692.70M,,692.70M,,0.60,0.00,,0.60,0.60,,0.60,0.00,,0.60,0.60,,111.83M,111.83M,0.44,,,
1991-06,637.00M,637.00M,,,,,,,,,,,,637.00M,,,,,,,,61.30M,,,,,61.30M,61.30M,637.00M,,637.00M,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,110.65M,110.65M,0.44,,,
1991-03,701.30M,701.30M,,,,,,,,,,,,701.30M,,,,,,,,79.90M,,,,,79.90M,79.90M,701.30M,,701.30M,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,109.21M,109.21M,0.44,,,
1990-12,891.30M,891.30M,,,,,,,,,,,,891.30M,,,,,,,,83.30M,,,,,83.30M,83.30M,891.30M,,891.30M,,0.6614,,,0.6614,0.6614,,0.6614,,,0.6614,0.6614,,109.62M,109.62M,0.44,,,
1990-09,600.90M,600.90M,,,,,,,,,,,,600.90M,,,,,,,,65.90M,,,,,65.90M,65.90M,600.90M,,600.90M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,89.67M,89.67M,0.44,,,
1990-06,526.40M,526.40M,,,,,,,,,,,,526.40M,,,,,,,,40.70M,,,,,40.70M,40.70M,526.40M,,526.40M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,78.65M,78.65M,0.44,,,
1990-03,597.70M,597.70M,,,,,,,,,,,,597.70M,,,,,,,,66.10M,,,,,66.10M,66.10M,597.70M,,597.70M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,89.67M,89.67M,0.44,,,
1989-12,574.10M,574.10M,,,,,,,,,,,,574.10M,,,,,,,,46.00M,0.00,,,,46.00M,,574.10M,,574.10M,,,0.00,,,0.00,,,0.00,,,0.00,,108.67M,108.67M,0.44,,,
1989-09,562.40M,562.40M,,,,,,,,,,,,562.40M,,,,,,,,56.00M,,,,,56.00M,,562.40M,,562.40M,,0.52,-0.01,,0.52,0.51,,0.52,-0.01,,0.52,0.51,,108.67M,108.67M,0.44,,,
1989-06,510.20M,510.20M,,,,,,,,,,,,510.20M,,,,,,,,40.40M,-3.40M,,,,37.00M,,510.20M,,510.20M,,0.37,-0.03,,0.37,0.34,,0.37,-0.03,,0.37,0.34,,108.67M,108.67M,,,,
1989-03,559.60M,559.60M,,,,,,,,,,,,559.60M,,,,,,,,60.80M,9.30M,,,,70.10M,,559.60M,,559.60M,,0.56,0.09,,0.56,0.65,,0.56,0.09,,0.56,0.65,,108.67M,108.67M,,,,
1988-12,527.90M,527.90M,,,,,,,,,,,,527.90M,,,,,,,,98.10M,3.80M,,,,101.90M,,527.90M,,527.90M,,,0.0350,,,0.0350,,,0.0350,,,0.0350,,108.67M,108.67M,,,,
1988-09,543.90M,543.90M,,,,,,,,,,,,543.90M,,,,,,,,65.70M,-3.40M,,,,62.30M,,543.90M,,543.90M,,0.60,-0.03,,0.60,0.57,,0.60,-0.03,,0.60,0.57,,108.67M,108.67M,,,,
1988-06,469.90M,469.90M,,,,,,,,,,,,469.90M,,,,,,,,44.00M,-1.20M,,,,42.80M,,469.90M,,469.90M,,0.41,-0.01,,0.41,0.40,,0.41,-0.01,,0.41,0.40,,108.67M,108.67M,,,,
1988-03,537.50M,537.50M,,,,,,,,,,,,537.50M,,,,,,,,55.60M,9.90M,,,,65.50M,,537.50M,,537.50M,,0.51,0.09,,0.51,0.60,,0.51,0.09,,0.51,0.60,,108.67M,108.67M,,,,
1987-12,346.90M,346.90M,,,,,,,,,,,,346.90M,,,,,,,,59.70M,,,,,59.70M,,346.90M,,346.90M,,,,,,,,,,,,,,108.67M,108.67M,,,,
1987-09,499.10M,499.10M,,,,,,,,,,,,499.10M,,,,,,,,55.40M,,,,,55.40M,,499.10M,,499.10M,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,108.67M,108.67M,,,,
1987-06,491.70M,491.70M,,,,,,,,,,,,491.70M,,,,,,,,53.00M,,,,,53.00M,,491.70M,,491.70M,,0.49,0.00,,0.49,0.49,,0.49,0.00,,0.49,0.49,,108.67M,108.67M,,,,
1987-03,540.30M,540.30M,,,,,,,,,,,,540.30M,,,,,,,,85.00M,,,,,85.00M,,540.30M,,540.30M,,0.78,0.00,,0.78,0.78,,0.78,0.00,,0.78,0.78,,108.67M,108.67M,,,,
1986-12,513.20M,513.20M,,,,,,,,,,,,513.20M,,,,,,,,56.80M,,,,,56.80M,,513.20M,,513.20M,,,,,,,,,,,,,,108.67M,108.67M,,,,
1986-09,471.80M,471.80M,,,,,,,,,,,,471.80M,,,,,,,,65.10M,,,,,65.10M,,471.80M,,471.80M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,108.63M,108.63M,,,,
1986-06,497.20M,497.20M,,,,,,,,,,,,497.20M,,,,,,,,98.10M,,,,,98.10M,,497.20M,,497.20M,,0.91,0.00,,0.91,0.91,,0.91,0.00,,0.91,0.91,,108.23M,108.23M,,,,
1986-03,549.90M,549.90M,,,,,,,,,,,,549.90M,,,,,,,,80.90M,,,,,80.90M,,549.90M,,549.90M,,0.75,0.00,,0.75,0.75,,0.75,0.00,,0.75,0.75,,107.21M,107.21M,,,,
1985-12,534.00M,534.00M,,,,,,,,,,,,534.00M,,,,,,,,102.50M,,,,,102.50M,,534.00M,,534.00M,,,,,,,,,,,,,,107.28M,107.28M,,,,
1985-09,477.10M,477.10M,,,,,,,,,,,,477.10M,,,,,,,,66.40M,,,,,66.40M,,477.10M,,477.10M,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,106.51M,106.51M,,,,
1985-06,479.00M,479.00M,,,,,,,,,,,,479.00M,,,,,,,,67.50M,,,,,67.50M,,479.00M,,479.00M,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,105.88M,105.88M,,,,
1985-03,590.90M,590.90M,,,,,,,,,,,,590.90M,,,,,,,,96.40M,,,,,96.40M,,590.90M,,590.90M,,0.92,0.00,,0.92,0.92,,0.92,0.00,,0.92,0.92,,104.53M,104.53M,,,,
1984-12,529.20M,529.20M,,,,,,,,,,,,529.20M,,,,,,,,69.60M,,,,,69.60M,,529.20M,,529.20M,,,,,,,,,,,,,,104.53M,104.53M,,,,
1984-09,500.50M,500.50M,,,,,,,,,,,,500.50M,,,,,,,,75.90M,,,,,75.90M,,500.50M,,500.50M,,0.74,0.00,,0.74,0.74,,0.74,0.00,,0.74,0.74,,102.78M,102.78M,,,,
1984-06,482.10M,482.10M,,,,,,,,,,,,482.10M,,,,,,,,54.40M,,,,,54.40M,,482.10M,,482.10M,,0.54,0.00,,0.54,0.54,,0.54,0.00,,0.54,0.54,,102.78M,102.78M,,,,
1984-03,583.50M,583.50M,,,,,,,,,,,,583.50M,,,,,,,,89.00M,,,,,89.00M,,583.50M,,583.50M,,0.90,0.00,,0.90,0.90,,0.90,0.00,,0.90,0.90,,99.88M,99.88M,,,,
