,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,,303.81M,,303.81M,1.086B,1.250B,,264.17M,210.53M,683.21M,2.771B,698.40M,1.690B,31.19B,-7.228B,23.96B,4.427B,4.427B,580.45M,,,646.63M,34.27B,37.04B,,984.34M,,,,984.34M,,984.34M,1.049B,1.097B,2.147B,2.147B,,,965.08M,4.096B,,12.02B,,12.02B,3.390B,3.390B,1.026B,415.40M,,155.57M,1.054B,21.76B,25.86B,,1.669B,3.671B,6.225B,317.77M,,,,-63.13M,11.18B,,AOR,Restated
2017-12,,38.16M,,38.16M,925.08M,1.126B,,223.06M,138.01M,741.87M,2.487B,693.70M,1.537B,30.75B,-7.134B,23.62B,4.427B,4.427B,585.42M,,,605.69M,33.73B,36.22B,,1.085B,,,,1.085B,,1.085B,1.088B,549.63M,1.638B,1.638B,,,866.29M,3.589B,,11.78B,,11.78B,3.298B,3.298B,1.228B,377.26M,,155.57M,1.074B,21.55B,25.13B,,1.669B,3.561B,6.240B,317.77M,,,,-66.40M,11.09B,,AOR,Restated
2017-09,,125.76M,,125.76M,919.96M,1.067B,,305.04M,159.94M,746.14M,2.403B,679.90M,1.461B,29.65B,-7.113B,22.54B,3.519B,3.519B,570.26M,,,627.29M,30.76B,33.16B,,794.20M,,,149.79M,943.98M,,943.98M,18.24M,957.70M,975.94M,975.94M,,,700.51M,2.620B,,10.47B,,10.47B,6.002B,6.002B,946.63M,391.91M,,155.57M,881.06M,19.55B,22.17B,,1.669B,3.474B,6.236B,317.77M,,,,-63.62M,11.00B,,AOR,Restated
2017-06,,24.64M,,24.64M,833.94M,992.13M,,286.30M,157.36M,870.39M,2.331B,594.00M,1.307B,29.04B,-6.969B,22.07B,3.519B,3.519B,565.46M,,,590.69M,30.33B,32.66B,,587.17M,,,,587.17M,,587.17M,937.50M,1.484B,2.421B,2.421B,,,777.15M,3.786B,,8.899B,,8.899B,5.900B,5.900B,1.074B,402.14M,,155.57M,860.58M,17.99B,21.77B,,1.669B,3.364B,6.233B,317.77M,,,,-62.94M,10.89B,,AOR,Restated
2017-03,,45.76M,,45.76M,879.45M,1.046B,,361.78M,182.66M,875.04M,2.511B,585.10M,1.147B,28.50B,-6.859B,21.64B,3.519B,3.519B,561.58M,,,556.19M,29.84B,32.36B,,745.86M,,,,745.86M,,745.86M,975.50M,773.88M,1.749B,1.749B,,,838.53M,3.334B,,9.268B,,9.268B,5.759B,5.759B,1.078B,415.80M,,155.57M,848.78M,18.22B,21.55B,,1.669B,3.284B,6.231B,317.77M,,,,-62.14M,10.80B,,AOR,Restated
2016-12,,30.25M,,30.25M,847.30M,1.016B,,328.72M,215.28M,887.62M,2.478B,591.60M,1.012B,28.07B,-6.722B,21.35B,3.519B,3.519B,544.64M,,,522.26M,29.58B,32.05B,,884.52M,,,,884.52M,,884.52M,1.148B,773.88M,1.922B,1.922B,,,831.70M,3.639B,,8.829B,,8.829B,5.607B,5.607B,1.142B,413.68M,,155.57M,853.26M,17.70B,21.34B,,1.669B,3.175B,6.250B,317.77M,,,,-65.28M,10.71B,,AOR,Restated
2016-09,,40.06M,,40.06M,963.28M,1.156B,,311.05M,155.61M,752.38M,2.415B,635.30M,1.247B,27.54B,-6.728B,20.81B,3.519B,3.519B,525.81M,,,344.65M,28.67B,31.08B,,679.50M,,,166.84M,846.35M,,846.35M,734.50M,373.88M,1.108B,1.108B,,,687.30M,2.642B,,9.235B,,9.235B,5.443B,5.443B,1.116B,427.38M,,155.57M,875.59M,17.80B,20.44B,,1.669B,3.087B,6.257B,309.98M,,,,-65.62M,10.64B,,AOR,Restated
2016-06,,38.73M,,38.73M,806.34M,1.114B,,292.55M,106.56M,863.36M,2.415B,583.50M,1.122B,27.07B,-6.617B,20.45B,3.519B,3.519B,518.75M,,,319.18M,28.47B,30.88B,,631.57M,,,133.94M,765.51M,,765.51M,767.00M,178.88M,945.88M,945.88M,,,592.38M,2.304B,,9.436B,,9.436B,5.399B,5.399B,1.295B,381.57M,,155.57M,875.27M,18.07B,20.37B,,1.669B,2.963B,6.253B,309.98M,,,,-65.36M,10.51B,,AOR,Restated
2016-03,,50.97M,,50.97M,890.98M,1.127B,,359.22M,133.81M,919.31M,2.591B,575.50M,1.113B,26.61B,-6.514B,20.10B,3.519B,3.519B,502.95M,,,299.40M,28.12B,30.71B,,646.44M,,,135.98M,782.42M,,782.42M,769.50M,378.88M,1.148B,1.148B,,,663.11M,2.594B,,9.145B,,9.145B,5.284B,5.284B,1.355B,344.46M,,155.57M,869.22M,17.68B,20.27B,,1.669B,2.900B,6.244B,309.98M,,,,-65.18M,10.44B,,AOR,Restated
2015-12,,23.95M,,23.95M,775.48M,1.283B,,336.48M,129.03M,845.84M,2.619B,558.60M,1.062B,26.29B,-6.397B,19.89B,3.519B,3.519B,516.48M,,,295.24M,27.96B,30.58B,,813.65M,,,,813.65M,,813.65M,1.161B,228.88M,1.390B,1.390B,,,786.31M,2.990B,,8.806B,,8.806B,5.148B,5.148B,1.407B,337.10M,,155.57M,871.50M,17.24B,20.23B,,1.669B,2.797B,6.262B,309.98M,,,,-66.84M,10.35B,,AOR,Restated
2015-09,,35.78M,119.70M,155.48M,928.06M,1.138B,,302.22M,117.86M,653.89M,2.368B,555.30M,1.220B,25.70B,-6.289B,19.41B,3.519B,3.519B,476.78M,,,324.38M,27.68B,30.05B,,610.75M,,,157.80M,768.55M,,768.55M,1.016B,228.88M,1.244B,1.244B,169.27M,169.27M,789.49M,2.972B,,8.757B,,8.757B,4.613B,4.613B,1.498B,365.69M,,155.57M,872.38M,16.78B,19.75B,,1.669B,2.748B,6.261B,309.98M,,,,-73.55M,10.29B,,AOR,Restated
2015-06,,36.47M,124.83M,161.30M,903.58M,1.227B,,289.56M,62.88M,709.66M,2.450B,547.50M,1.021B,25.27B,-6.189B,19.08B,3.519B,3.519B,497.92M,,,316.82M,27.43B,29.88B,,598.72M,,,,598.72M,,598.72M,953.70M,278.88M,1.233B,1.233B,203.38M,203.38M,804.31M,2.839B,,8.690B,,8.690B,4.606B,4.606B,1.637B,380.97M,,155.57M,875.98M,16.86B,19.69B,,1.669B,2.644B,6.253B,309.98M,,,,-72.03M,10.19B,,AOR,Restated
2015-03,,71.03M,,71.03M,1.131B,1.461B,,281.49M,231.95M,747.35M,2.793B,547.90M,1.082B,24.89B,-6.075B,18.81B,3.519B,3.519B,518.06M,,,329.39M,27.16B,29.95B,,739.32M,,,157.14M,896.47M,,896.47M,1.004B,245.58M,1.249B,1.249B,218.58M,218.58M,747.65M,3.112B,,8.602B,,8.602B,4.575B,4.575B,1.605B,396.62M,,155.57M,870.42M,16.73B,19.84B,,1.668B,2.569B,6.241B,296.12M,,,,-72.41M,10.11B,,AOR,Restated
2014-12,,38.70M,,38.70M,856.35M,1.405B,,349.66M,226.19M,672.49M,2.692B,551.30M,913.10M,24.66B,-6.010B,18.65B,3.519B,3.519B,515.02M,,,312.37M,27.05B,29.74B,,868.23M,,,,868.23M,,868.23M,956.82M,245.58M,1.202B,1.202B,160.29M,160.29M,903.45M,3.134B,,8.568B,,8.568B,4.467B,4.467B,1.639B,409.63M,,155.57M,874.39M,16.63B,19.76B,,1.667B,2.449B,6.236B,300.47M,,,,-74.01M,9.977B,,AOR,Restated
2014-09,,41.71M,114.72M,156.43M,848.51M,1.030B,,333.87M,135.50M,445.96M,2.102B,541.70M,1.082B,24.16B,-5.903B,18.25B,3.519B,3.519B,518.03M,,,347.60M,25.88B,27.98B,,608.64M,,,,608.64M,,608.64M,1.047B,245.58M,1.293B,1.293B,,,1.028B,2.930B,,8.167B,,8.167B,4.258B,4.258B,787.55M,420.93M,,155.57M,863.16M,15.16B,18.09B,,1.667B,2.351B,6.220B,306.98M,,,,-40.17M,9.891B,,AOR,Restated
2014-06,,34.10M,115.99M,150.08M,807.51M,1.001B,,281.72M,168.02M,467.16M,2.068B,506.50M,967.40M,23.76B,-5.784B,17.98B,3.519B,3.519B,513.99M,,,370.43M,25.72B,27.79B,,561.70M,,,,561.70M,,561.70M,905.00M,395.58M,1.301B,1.301B,,,940.53M,2.803B,,8.147B,,8.147B,4.270B,4.270B,825.00M,449.44M,,155.57M,882.69M,15.23B,18.04B,,1.667B,2.241B,6.202B,313.90M,,,,-41.51M,9.754B,,AOR,Restated
2014-03,,89.15M,,89.15M,980.03M,1.183B,,228.19M,292.54M,573.03M,2.366B,510.20M,833.40M,23.41B,-5.696B,17.71B,3.519B,3.519B,507.93M,,,504.06M,25.73B,28.10B,,711.59M,,,,711.59M,,711.59M,571.15M,530.53M,1.102B,1.102B,,,976.87M,2.790B,,8.318B,,8.318B,4.210B,4.210B,890.02M,546.39M,,155.57M,871.05M,15.58B,18.37B,,1.667B,2.238B,6.185B,321.06M,,,,-44.32M,9.724B,,AOR,Restated
2013-12,,43.36M,,43.36M,765.39M,1.007B,,303.23M,197.66M,535.79M,2.087B,508.70M,709.80M,23.16B,-5.583B,17.58B,3.519B,3.519B,488.52M,,,365.69M,25.71B,27.80B,,742.25M,,,,742.25M,,742.25M,1.093B,533.35M,1.626B,1.626B,,,907.05M,3.276B,,7.777B,,7.777B,4.029B,4.029B,896.84M,624.05M,,155.57M,923.05M,14.91B,18.18B,,1.665B,2.126B,6.193B,326.54M,,,,-46.03M,9.612B,,AOR,Restated
2013-09,,57.94M,,57.94M,784.50M,958.60M,,304.70M,222.70M,474.20M,2.018B,505.20M,967.70M,22.71B,-5.524B,17.19B,3.519B,3.519B,468.09M,88.89M,,279.53M,26.43B,28.44B,,554.01M,,,,554.01M,,554.01M,1.343B,608.35M,1.951B,1.951B,,,873.07M,3.378B,,7.444B,,7.444B,3.954B,3.954B,1.809B,766.80M,,155.57M,898.00M,15.55B,18.93B,,1.665B,2.064B,6.186B,330.46M,,,,-67.39M,9.517B,,AOR,Restated
2013-06,,36.06M,,36.06M,789.41M,982.94M,,280.60M,174.48M,577.01M,2.051B,504.60M,887.80M,22.37B,-5.438B,16.93B,3.519B,3.519B,501.88M,89.31M,,286.46M,26.15B,28.20B,,532.04M,,,,532.04M,,532.04M,794.50M,888.35M,1.683B,1.683B,,,866.63M,3.082B,,7.651B,,7.651B,3.745B,3.745B,1.957B,788.93M,,155.57M,899.27M,15.71B,18.79B,,1.665B,1.970B,6.176B,334.87M,,,,-69.47M,9.407B,,AOR,Restated
2013-03,,60.82M,99.12M,159.93M,832.99M,1.029B,,239.23M,104.45M,625.54M,2.158B,503.00M,908.00M,22.07B,-5.336B,16.74B,3.519B,3.519B,492.00M,94.97M,,311.62M,26.17B,28.33B,,633.46M,,,,633.46M,,633.46M,1.287B,947.33M,2.234B,2.234B,,,971.85M,3.840B,,7.031B,,7.031B,3.614B,3.614B,2.098B,840.04M,,155.57M,873.64M,15.14B,18.98B,,1.665B,1.914B,6.174B,336.80M,,,,-70.90M,9.345B,,AOR,Restated
2012-12,,45.75M,,45.75M,792.82M,1.009B,,267.71M,199.95M,705.02M,2.227B,429.30M,1.012B,21.84B,-5.237B,16.60B,3.519B,3.519B,400.33M,90.61M,,327.77M,26.08B,28.30B,,764.35M,,,,764.35M,,764.35M,1.120B,763.34M,1.884B,1.884B,,,995.81M,3.644B,,7.282B,,7.282B,3.463B,3.463B,2.130B,882.65M,,155.57M,967.56M,15.42B,19.07B,,1.663B,1.803B,6.183B,338.62M,,,,-72.85M,9.237B,,AOR,Restated
2012-09,,73.45M,81.62M,155.07M,773.42M,956.06M,,267.28M,112.96M,647.62M,2.139B,20.18B,1.280B,21.46B,-5.157B,16.30B,3.518B,3.518B,394.21M,93.26M,,5.309B,25.62B,27.76B,,542.69M,,,,542.69M,,542.69M,1.359B,879.75M,2.239B,2.239B,,,1.019B,3.801B,,6.834B,,6.834B,3.430B,3.430B,2.016B,912.35M,0.00,155.57M,1.433B,14.78B,18.58B,,1.662B,1.736B,6.184B,340.69M,,,,-64.21M,9.177B,,AOR,Restated
2012-06,,28.48M,79.23M,107.71M,661.91M,864.17M,,262.56M,95.16M,624.40M,1.954B,19.96B,1.169B,21.13B,-5.071B,16.05B,3.518B,3.518B,372.30M,93.62M,,5.513B,25.55B,27.51B,,601.00M,,,,601.00M,,601.00M,1.248B,683.21M,1.932B,1.932B,,,957.76M,3.490B,,7.097B,,7.097B,3.249B,3.249B,2.064B,946.62M,0.00,155.57M,1.436B,14.95B,18.44B,,1.662B,1.636B,6.179B,342.63M,,,,-66.39M,9.068B,,AOR,Restated
2012-03,,283.38M,62.70M,346.08M,485.77M,621.66M,,219.09M,94.74M,241.90M,1.523B,12.94B,877.20M,13.81B,-3.20B,10.61B,287.59M,287.59M,74.05M,94.26M,,3.386B,14.45B,15.98B,,412.88M,,,,412.88M,,412.88M,660.00M,267.29M,927.29M,927.29M,,,627.51M,1.968B,,5.071B,,5.071B,1.923B,1.923B,1.241B,924.31M,3.359M,116.20M,662.32M,9.939B,11.91B,,981.59M,1.699B,1.802B,344.77M,,,,-68.82M,4.068B,,AOR,Restated
2011-12,,6.559M,70.97M,77.53M,488.00M,663.21M,,248.96M,112.63M,255.14M,1.357B,,,,,10.40B,287.59M,287.59M,60.31M,98.36M,,172.56M,14.29B,15.65B,,633.28M,,,,633.28M,,633.28M,317.00M,331.58M,648.58M,648.58M,,,665.82M,1.948B,,4.727B,,4.727B,1.868B,1.868B,1.326B,959.88M,2.956M,116.20M,420.01M,9.684B,11.63B,,980.26M,1.652B,1.798B,346.67M,,,,-70.69M,4.013B,,AOR,Restated
2011-09,,16.72M,74.52M,91.25M,494.55M,632.86M,,237.79M,130.01M,235.46M,1.327B,12.38B,823.30M,13.20B,-3.108B,10.10B,287.59M,287.59M,52.18M,91.43M,,2.874B,13.40B,14.73B,,476.21M,,115.28M,,591.50M,77.32M,668.82M,30.00M,334.33M,364.33M,364.33M,,,502.16M,1.535B,,4.745B,,4.745B,1.815B,1.815B,701.99M,909.25M,2.453M,116.20M,947.27M,9.235B,10.77B,,980.05M,1.588B,1.793B,348.76M,,,,-55.21M,3.956B,,AOR,Restated
2011-06,,15.11M,74.68M,89.79M,470.92M,674.42M,,230.75M,100.76M,242.14M,1.338B,11.95B,970.30M,12.92B,-3.057B,9.864B,287.59M,287.59M,58.15M,86.73M,,2.808B,13.10B,14.44B,,373.80M,,104.12M,,477.92M,69.58M,547.51M,137.00M,336.99M,473.99M,473.99M,,,454.53M,1.476B,,4.503B,,4.503B,1.777B,1.777B,798.47M,884.28M,1.847M,116.20M,969.95M,9.049B,10.53B,,979.88M,1.546B,1.786B,351.39M,,,,-45.79M,3.915B,,AOR,Restated
2011-03,,15.36M,79.34M,94.70M,540.13M,793.33M,,202.56M,95.35M,221.03M,1.407B,11.85B,891.10M,12.74B,-3.022B,9.716B,287.59M,287.59M,52.85M,88.55M,,2.866B,13.01B,14.42B,,352.61M,,116.23M,,468.83M,76.85M,545.68M,189.00M,66.29M,255.29M,255.29M,,,406.22M,1.207B,,4.631B,,4.631B,1.709B,1.709B,810.26M,885.68M,1.497M,,1.173B,9.208B,10.42B,,1.096B,1.518B,1.781B,352.79M,116.20M,,,-41.27M,4.002B,,AOR,Restated
2010-12,,23.40M,78.31M,101.70M,523.64M,822.12M,,244.04M,100.44M,238.70M,1.507B,11.70B,845.50M,12.55B,-2.982B,9.568B,287.59M,287.59M,51.20M,123.24M,,2.936B,12.97B,14.47B,,417.28M,,107.07M,,524.35M,74.74M,599.09M,267.00M,66.29M,333.29M,333.29M,,,412.77M,1.345B,,4.814B,,4.814B,1.637B,1.637B,1.051B,909.67M,1.457M,116.20M,787.15M,9.315B,10.66B,,978.91M,1.453B,1.778B,354.73M,,,,-43.37M,3.811B,,AOR,Restated
2010-09,,41.18M,79.97M,121.15M,526.28M,678.20M,,247.25M,178.74M,10.65M,1.236B,11.45B,837.30M,12.28B,-2.966B,9.318B,287.59M,287.59M,45.73M,134.70M,,3.276B,13.06B,14.30B,,379.18M,,69.87M,,449.05M,107.83M,556.88M,156.00M,66.29M,222.29M,222.29M,,,277.98M,1.057B,,4.883B,,4.883B,1.546B,1.546B,759.26M,996.21M,1.435M,116.20M,1.216B,9.516B,10.57B,,978.68M,1.369B,1.773B,356.95M,,,,-40.98M,3.723B,,AOR,Restated
2010-06,,88.78M,101.57M,190.35M,495.64M,674.48M,,226.20M,121.84M,,1.213B,11.35B,714.90M,12.07B,-2.925B,9.142B,287.59M,287.59M,48.00M,160.38M,,3.379B,13.02B,14.23B,,390.05M,,55.07M,,445.12M,87.78M,532.90M,157.31M,66.29M,223.60M,223.60M,,,209.12M,965.62M,,4.950B,,4.950B,1.477B,1.477B,799.76M,1.010B,1.065M,,1.368B,9.604B,10.57B,,978.43M,1.314B,1.768B,359.39M,,,,-41.80M,3.659B,,AOR,Restated
2010-03,,30.01M,81.96M,111.97M,570.87M,732.74M,,229.84M,151.64M,17.38M,1.244B,11.20B,646.21M,11.85B,-2.889B,8.958B,287.59M,287.59M,41.76M,153.65M,,3.421B,12.86B,14.11B,,385.18M,,64.24M,,449.42M,92.88M,542.30M,100.31M,66.29M,166.60M,166.60M,,,210.35M,919.24M,,4.965B,,4.965B,1.472B,1.472B,786.20M,972.04M,116.20M,,1.249B,9.445B,10.36B,,978.38M,1.287B,1.764B,361.54M,,,,-42.74M,3.625B,,AOR,Restated
2009-12,,26.95M,66.24M,93.19M,512.77M,769.70M,,277.08M,96.10M,31.78M,1.268B,11.11B,571.70M,11.68B,-2.842B,8.840B,287.59M,287.59M,54.90M,189.75M,,3.418B,12.79B,14.06B,,457.58M,,50.25M,,507.83M,83.76M,591.59M,100.31M,66.29M,166.60M,166.60M,,,221.22M,979.41M,,4.935B,,4.935B,1.380B,1.380B,781.43M,955.65M,0.00,116.20M,1.332B,9.500B,10.48B,,977.28M,1.247B,1.762B,361.60M,,,,-43.47M,3.578B,,AOR,Restated
2009-09,,248.98M,83.16M,332.13M,591.47M,755.94M,,281.41M,110.12M,,1.480B,10.92B,561.22M,11.48B,-2.862B,8.623B,287.59M,287.59M,55.35M,217.78M,,3.343B,12.53B,14.01B,,410.12M,,73.80M,,483.93M,89.16M,573.09M,325.23M,66.29M,391.52M,391.52M,,,229.98M,1.195B,,4.848B,,4.848B,1.362B,1.535B,964.46M,858.31M,116.20M,,955.65M,9.162B,10.36B,,977.00M,1.204B,1.758B,361.60M,,,,-37.77M,3.533B,,AOR,Restated
2009-06,,481.15M,79.98M,561.13M,557.59M,728.56M,,258.73M,77.38M,,1.626B,10.77B,521.46M,11.29B,-2.817B,8.469B,287.59M,287.59M,51.12M,224.92M,,3.469B,12.50B,14.13B,,440.52M,,15.90M,,456.42M,80.99M,537.40M,493.99M,66.29M,560.28M,560.28M,,,221.81M,1.319B,,4.343B,,4.343B,1.335B,1.514B,966.72M,838.89M,116.20M,,1.527B,9.190B,10.51B,,976.73M,1.181B,1.754B,361.60M,,,,-38.96M,3.502B,,AOR,Restated
2009-03,,416.83M,85.52M,502.35M,695.60M,893.71M,,235.72M,115.39M,,1.747B,10.67B,454.96M,11.12B,-2.811B,8.314B,287.59M,287.59M,29.84M,229.26M,,3.666B,12.53B,14.27B,,466.29M,,51.40M,,517.69M,74.68M,592.37M,493.99M,54.29M,548.27M,548.27M,,,240.60M,1.381B,,624.06M,4.353B,4.977B,1.283B,1.468B,979.33M,897.94M,116.20M,,997.33M,9.320B,10.70B,,976.72M,1.139B,1.751B,361.60M,,,,-37.10M,3.456B,,AOR,Restated
