,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,1.58B,4.247B,1.083B,5.33B,4.605B,,1.945B,7.353B,1.978B,3.579B,5.557B,1.193B,,,19.43B,1.90B,,,4.11B,,6.01B,-3.949B,2.061B,5.941B,483.00M,6.424B,57.00M,,911.00M,2.174B,1.027B,12.65B,32.09B,,13.05B,1.197B,14.25B,5.30B,19.55B,39.00M,1.041B,537.00M,1.617B,,1.617B,1.062B,1.062B,,23.13B,4.494B,,4.494B,86.00M,956.00M,1.042B,1.843B,,867.00M,10.82B,33.95B,,16.00M,-1.075B,510.00M,,,-1.314B,-1.863B,,AOR,Restated
2018-01,1.462B,5.475B,1.266B,6.741B,4.396B,,2.445B,7.708B,1.887B,3.768B,5.655B,1.113B,,,21.22B,1.894B,,,4.04B,,5.934B,-3.908B,2.026B,5.935B,503.00M,6.438B,58.00M,,1.713B,2.648B,1.145B,14.03B,35.24B,,12.85B,1.173B,14.02B,6.054B,20.08B,37.00M,966.00M,526.00M,1.529B,,1.529B,1.039B,1.039B,,23.35B,6.34B,,6.34B,100.00M,945.00M,1.045B,1.93B,,1.069B,14.64B,37.99B,,16.00M,-1.346B,417.00M,,,-1.829B,-2.742B,,AOR,Restated
2017-10,1.599B,6.997B,1.149B,8.146B,4.414B,,1.891B,7.162B,1.929B,3.857B,5.786B,1.224B,,,22.32B,2.082B,,,3.876B,,5.958B,-4.08B,1.878B,5.622B,3.00M,5.625B,61.00M,,1.695B,342.00M,994.00M,10.60B,32.91B,,13.28B,1.109B,14.39B,5.046B,19.43B,33.00M,943.00M,96.00M,1.072B,,1.072B,1.012B,1.012B,,22.41B,6.747B,,6.747B,1.41B,921.00M,2.331B,1.999B,,827.00M,13.91B,36.32B,,16.00M,-2.386B,380.00M,,,-1.418B,-3.408B,,AOR,Restated
2017-07,1.551B,6.967B,1.02B,7.987B,4.233B,,1.94B,6.945B,1.80B,3.384B,5.184B,1.327B,,,21.44B,2.065B,,,3.914B,,5.979B,-4.272B,1.707B,5.622B,,5.622B,,,1.662B,372.00M,1.128B,10.49B,31.93B,,12.80B,1.014B,13.82B,5.417B,19.24B,34.00M,936.00M,92.00M,1.062B,,1.062B,997.00M,997.00M,,22.06B,6.744B,,6.744B,1.586B,894.00M,2.48B,2.506B,,834.00M,14.21B,36.27B,,17.00M,-2.526B,288.00M,,,-2.118B,-4.339B,,AOR,Restated
2017-04,1.40B,6.223B,,6.223B,3.771B,,1.722B,6.297B,1.655B,3.101B,4.756B,1.026B,,,18.30B,2.043B,,,3.82B,,5.863B,-4.202B,1.661B,5.622B,,5.622B,,,3.101B,,,10.38B,28.69B,,11.08B,922.00M,12.00B,4.848B,16.85B,34.00M,,76.00M,110.00M,,110.00M,980.00M,980.00M,,18.60B,6.71B,,6.71B,1.412B,872.00M,2.284B,2.543B,,744.00M,14.04B,32.64B,,17.00M,-2.779B,521.00M,,,-1.714B,-3.955B,,AOR,Restated
2017-01,1.51B,6.331B,,6.331B,3.478B,,1.742B,5.981B,1.578B,2.977B,4.555B,908.00M,,,17.78B,2.338B,,,3.729B,,6.067B,-4.337B,1.73B,5.622B,,5.622B,,,1.628B,249.00M,1.188B,10.42B,28.19B,,10.95B,955.00M,11.91B,5.103B,17.01B,32.00M,,68.00M,100.00M,,100.00M,952.00M,952.00M,,18.59B,6.688B,,6.688B,1.198B,866.00M,2.064B,2.627B,,759.00M,13.93B,32.52B,,17.00M,-3.339B,664.00M,,,-1.669B,-4.327B,,AOR,Restated
2016-10,1.628B,6.288B,0.00,6.288B,4.114B,,1.70B,6.609B,1.381B,3.103B,4.484B,1.087B,,,18.47B,2.421B,,,3.663B,,6.084B,-4.348B,1.736B,5.622B,,5.622B,55.00M,,1.591B,254.00M,1.261B,10.52B,28.99B,,11.10B,986.00M,12.09B,4.963B,17.05B,27.00M,0.00,51.00M,78.00M,,78.00M,919.00M,919.00M,,18.81B,6.735B,,6.735B,1.116B,865.00M,1.981B,2.705B,,737.00M,14.07B,32.88B,,17.00M,-3.498B,1.03B,,,-1.438B,-3.889B,,AOR,Restated
2016-07,1.194B,5.636B,,5.636B,4.008B,,1.799B,6.535B,1.296B,2.665B,3.961B,1.27B,0.00,,17.40B,2.384B,,,3.628B,,6.012B,-4.405B,1.607B,5.618B,,5.618B,,,1.155B,166.00M,1.276B,9.822B,27.22B,,10.40B,876.00M,11.28B,5.172B,16.45B,34.00M,,41.00M,75.00M,,75.00M,877.00M,877.00M,,18.11B,6.76B,,6.76B,1.594B,830.00M,2.424B,2.002B,0.00,730.00M,13.04B,31.15B,,17.00M,-3.982B,986.00M,,,-947.00M,-3.926B,,AOR,Restated
2016-04,1.599B,4.636B,,4.636B,3.884B,,1.361B,6.121B,1.206B,2.341B,3.547B,1.081B,0.00,,15.38B,2.362B,,,3.57B,,5.932B,-4.36B,1.572B,5.672B,,5.672B,,,954.00M,598.00M,1.342B,10.14B,25.52B,,9.099B,934.00M,10.03B,5.18B,15.21B,35.00M,,29.00M,64.00M,,64.00M,885.00M,885.00M,,16.86B,6.708B,,6.708B,1.793B,809.00M,2.602B,2.075B,0.00,760.00M,13.45B,30.31B,,17.00M,-1.266B,967.00M,,,-4.504B,-4.786B,,AOR,Restated
2016-01,1.266B,3.688B,,3.688B,4.114B,,1.223B,6.096B,1.575B,2.477B,4.052B,1.319B,0.00,,15.16B,0.00,2.319B,,3.50B,,5.819B,-4.29B,1.529B,5.68B,,5.68B,,,989.00M,882.00M,1.282B,10.36B,25.52B,,9.041B,925.00M,9.966B,5.33B,15.30B,49.00M,,,49.00M,,49.00M,863.00M,863.00M,,16.76B,6.683B,,6.683B,1.977B,825.00M,2.802B,2.124B,0.00,692.00M,13.66B,30.43B,,17.00M,-5.026B,1.222B,,,-1.122B,-4.909B,,AOR,Restated
2015-10,2.17B,7.584B,,7.584B,4.825B,,1.316B,7.083B,1.468B,2.82B,4.288B,1.193B,1.047B,,51.79B,2.272B,,,3.459B,,5.731B,-4.239B,1.492B,5.68B,,5.68B,,,,216.00M,47.71B,55.10B,106.88B,,10.19B,1.25B,11.44B,5.234B,16.68B,34.00M,,2.16B,2.194B,,2.194B,1.051B,1.051B,21.52B,42.19B,6.677B,,6.677B,1.813B,812.00M,2.625B,2.203B,383.00M,783.00M,36.54B,78.73B,,18.00M,32.09B,1.963B,,,-6.302B,27.77B,,AOR,Restated
2015-07,3.952B,17.17B,,17.17B,12.75B,,2.804B,15.56B,2.416B,4.284B,6.70B,,,12.57B,52.00B,0.00,535.00M,9.083B,16.86B,,26.48B,-15.45B,11.03B,33.02B,2.249B,35.27B,,,8.733B,,,55.04B,107.03B,,15.55B,629.00M,16.18B,12.20B,28.37B,11.03B,,,11.03B,,11.03B,6.277B,6.277B,,49.03B,14.47B,,14.47B,2.965B,4.317B,7.282B,5.305B,408.00M,1.884B,30.56B,79.59B,,18.00M,30.76B,2.101B,,,-5.848B,27.04B,,AOR,Restated
2015-04,2.996B,14.77B,,14.77B,12.32B,,2.842B,15.16B,2.38B,3.847B,6.227B,,,12.73B,48.88B,0.00,538.00M,8.886B,16.48B,,25.90B,-14.89B,11.01B,31.22B,1.729B,32.95B,,,8.552B,,,52.51B,101.40B,,14.92B,1.144B,16.07B,12.32B,28.39B,5.594B,,,5.594B,,5.594B,6.055B,6.055B,,43.19B,15.46B,,15.46B,,,,,401.00M,15.58B,31.04B,74.23B,,18.00M,30.56B,2.187B,,,-6.002B,26.77B,,AOR,Restated
2015-01,2.674B,12.92B,,12.92B,12.30B,,2.907B,15.20B,2.472B,4.103B,6.575B,,,13.50B,48.20B,0.00,540.00M,9.068B,15.96B,,25.57B,-14.54B,11.03B,31.11B,1.906B,33.01B,,,8.619B,,,52.66B,100.86B,,14.87B,1.565B,16.44B,13.44B,29.88B,3.509B,,,3.509B,,3.509B,6.241B,6.241B,,42.53B,15.55B,,15.55B,,,,,397.00M,15.88B,31.43B,73.96B,,18.00M,29.63B,2.538B,,,-5.675B,26.51B,,AOR,Restated
2014-10,2.446B,15.13B,,15.13B,13.83B,,5.324B,21.32B,2.442B,3.973B,6.415B,4.518B,2.754B,,50.14B,0.00,540.00M,9.048B,16.66B,,26.25B,-14.91B,11.34B,31.14B,2.128B,33.27B,,,3.613B,1.495B,3.346B,53.06B,103.21B,,15.90B,3.286B,19.19B,10.71B,29.90B,533.00M,298.00M,2.655B,3.486B,,3.486B,6.143B,6.143B,,43.74B,16.04B,,16.04B,1.124B,3.931B,5.055B,6.379B,396.00M,2.01B,32.34B,76.08B,,18.00M,29.16B,3.43B,,,-5.881B,26.73B,,AOR,Restated
2014-07,3.06B,14.47B,,14.47B,14.20B,,3.13B,17.33B,2.258B,3.991B,6.249B,,,11.24B,49.29B,0.00,552.00M,8.976B,17.20B,,26.73B,-15.30B,11.43B,31.13B,2.336B,33.47B,,,8.981B,,,53.88B,103.17B,,15.14B,1.228B,16.37B,12.93B,29.30B,2.705B,,,2.705B,,2.705B,6.434B,6.434B,,42.48B,17.13B,,17.13B,1.228B,3.865B,5.093B,4.653B,393.00M,4.918B,31.79B,74.27B,,19.00M,27.98B,4.116B,,,-3.61B,28.51B,,AOR,Restated
2014-04,2.742B,15.10B,,15.10B,14.29B,,3.112B,17.40B,2.112B,3.728B,5.84B,,,11.55B,49.88B,0.00,552.00M,8.919B,17.09B,,26.56B,-15.21B,11.35B,31.13B,2.562B,33.70B,,,9.043B,,,54.09B,103.97B,,13.52B,1.263B,14.78B,13.02B,27.81B,5.396B,,,5.396B,,5.396B,6.416B,6.416B,,43.28B,17.19B,,17.19B,1.481B,3.835B,5.316B,4.979B,397.00M,4.625B,32.11B,75.39B,,19.00M,27.66B,4.337B,,,-3.829B,28.18B,,AOR,Restated
2014-01,2.939B,16.16B,,16.16B,13.49B,,3.054B,16.55B,2.247B,3.757B,6.004B,,,11.97B,50.68B,0.00,553.00M,8.876B,16.74B,,26.17B,-14.91B,11.26B,31.13B,2.82B,33.95B,,,9.131B,,,54.34B,105.02B,,12.64B,1.224B,13.86B,13.20B,27.06B,6.621B,,,6.621B,,6.621B,6.754B,6.754B,,43.61B,17.97B,,17.97B,,,,,395.00M,15.29B,33.26B,76.88B,,19.00M,26.44B,4.966B,,,-3.667B,27.75B,,AOR,Restated
2013-10,3.124B,12.16B,,12.16B,15.88B,,5.723B,24.02B,2.199B,3.847B,6.046B,4.238B,3.893B,,50.36B,0.00,626.00M,8.942B,16.56B,,26.13B,-14.67B,11.46B,31.12B,3.169B,34.29B,,,3.878B,2.345B,3.333B,55.31B,105.68B,,14.02B,3.906B,17.92B,10.70B,28.63B,5.979B,,,5.979B,,5.979B,6.477B,6.477B,,45.52B,16.61B,,16.61B,2.668B,3.907B,6.575B,5.098B,387.00M,2.005B,32.50B,78.02B,,19.00M,25.56B,5.465B,,,-3.778B,27.27B,,AOR,Restated
2013-07,2.812B,13.25B,,13.25B,14.34B,,3.113B,17.45B,2.218B,4.322B,6.54B,,,12.72B,49.96B,0.00,634.00M,8.847B,16.47B,,25.95B,-14.62B,11.33B,31.12B,3.485B,34.60B,,,9.913B,,,55.84B,105.80B,,13.29B,979.00M,14.27B,13.47B,27.74B,7.624B,,,7.624B,,7.624B,6.571B,6.571B,,46.01B,17.12B,,17.12B,,,,,375.00M,17.69B,34.81B,80.82B,,19.00M,24.15B,5.868B,,,-5.433B,24.60B,,AOR,Restated
2013-04,3.159B,13.24B,,13.24B,14.61B,,3.212B,17.82B,2.221B,3.778B,5.999B,,,12.51B,49.57B,0.00,634.00M,8.768B,16.52B,,25.92B,-14.44B,11.48B,31.13B,3.869B,35.00B,,,10.20B,,,56.68B,106.25B,,12.31B,1.015B,13.33B,13.81B,27.14B,6.928B,,,6.928B,,6.928B,6.757B,6.757B,,44.66B,19.86B,,19.86B,,,,,399.00M,17.80B,37.66B,82.32B,,19.00M,23.32B,5.717B,,,-5.522B,23.53B,,AOR,Restated
2013-01,2.812B,12.59B,,12.59B,14.24B,,3.316B,17.55B,2.316B,4.058B,6.374B,,,13.04B,49.55B,0.00,636.00M,8.752B,16.47B,,25.86B,-14.17B,11.69B,31.03B,4.183B,35.21B,,,10.25B,,,57.15B,106.70B,,11.66B,851.00M,12.51B,14.28B,26.79B,6.475B,,,6.475B,,6.475B,7.603B,7.603B,,44.39B,21.75B,,21.75B,,,,,395.00M,17.27B,39.02B,83.41B,,20.00M,22.24B,6.308B,,,-5.672B,22.90B,,AOR,Restated
2012-10,2.969B,11.30B,,11.30B,16.41B,,5.801B,25.51B,2.223B,4.094B,6.317B,3.73B,3.783B,,50.64B,0.00,636.00M,8.744B,16.50B,,25.88B,-13.93B,11.95B,31.07B,4.515B,35.58B,,,4.292B,2.882B,3.419B,58.13B,108.77B,,13.35B,4.11B,17.46B,11.01B,28.47B,538.00M,365.00M,5.744B,6.647B,,6.647B,7.494B,7.494B,,46.67B,21.79B,,21.79B,2.948B,3.371B,6.319B,7.78B,397.00M,3.381B,39.27B,85.94B,,20.00M,21.52B,6.454B,,,-5.559B,22.44B,,AOR,Restated
2012-07,,9.509B,,9.509B,15.69B,,3.116B,18.80B,2.874B,4.418B,7.292B,,,14.63B,50.24B,0.00,652.00M,8.835B,16.80B,,26.29B,-14.22B,12.07B,36.80B,7.966B,44.77B,,,10.48B,,,67.32B,117.56B,,12.55B,712.00M,13.27B,14.67B,27.94B,5.681B,,,5.681B,,5.681B,7.598B,7.598B,,44.92B,24.06B,,24.06B,,,,,409.00M,16.56B,40.63B,85.55B,,20.00M,28.38B,6.478B,,,-3.276B,31.60B,,AOR,Restated
2012-04,,8.311B,,8.311B,16.61B,3.139B,,19.75B,2.788B,4.518B,7.306B,,,14.32B,49.69B,0.00,652.00M,8.804B,16.62B,,26.08B,-13.84B,12.24B,44.94B,9.808B,54.75B,,,11.02B,,,78.00B,127.69B,,12.90B,871.00M,13.77B,17.19B,30.96B,4.252B,,,4.252B,,4.252B,7.582B,7.582B,,42.80B,25.82B,,25.82B,,,,,409.00M,17.37B,43.19B,85.99B,,20.00M,37.76B,6.576B,,,-3.066B,41.29B,,AOR,Restated
2012-01,,8.113B,,8.113B,15.89B,,3.123B,19.02B,2.645B,4.626B,7.271B,,,14.35B,48.75B,0.00,652.00M,8.683B,16.58B,,25.92B,-13.79B,12.12B,44.64B,10.03B,54.67B,,,11.06B,,,77.85B,126.60B,,12.38B,929.00M,13.30B,14.88B,28.19B,5.438B,,,5.438B,,5.438B,7.53B,7.53B,,44.29B,25.46B,,25.46B,,,,,410.00M,17.27B,42.73B,87.02B,,20.00M,36.18B,6.466B,,,-3.507B,39.16B,,AOR,Restated
2011-10,2.695B,8.043B,,8.043B,18.22B,,5.924B,26.63B,2.621B,4.869B,7.49B,3.486B,5.374B,,51.02B,0.00,687.00M,8.62B,16.16B,,25.46B,-13.17B,12.29B,44.55B,10.90B,55.45B,,,4.015B,2.779B,3.961B,78.50B,129.52B,,14.75B,3.462B,18.21B,12.70B,30.91B,523.00M,3.215B,4.345B,8.083B,,8.083B,7.449B,7.449B,,50.44B,22.55B,,22.55B,5.163B,3.453B,8.616B,5.414B,379.00M,3.49B,40.07B,90.51B,,20.00M,35.27B,6.837B,,,-3.498B,38.62B,,AOR,Restated
2011-07,,12.95B,,12.95B,18.12B,,3.167B,21.29B,2.607B,4.82B,7.427B,,,14.61B,56.28B,0.00,651.00M,8.497B,15.92B,,25.07B,-13.11B,11.96B,38.77B,6.729B,45.50B,,,11.18B,,,68.64B,124.92B,,14.49B,788.00M,15.28B,15.88B,31.15B,6.666B,,,6.666B,,6.666B,7.39B,7.39B,,48.94B,19.03B,,19.03B,,,,,395.00M,17.73B,36.76B,85.70B,,20.00M,35.10B,6.978B,,,-3.274B,38.82B,,AOR,Restated
2011-04,,12.74B,,12.74B,18.62B,3.179B,,21.80B,2.399B,4.379B,6.778B,,,14.76B,56.08B,0.00,652.00M,8.447B,15.45B,,24.55B,-12.66B,11.89B,38.76B,7.08B,45.84B,,,11.32B,,,69.05B,125.13B,,14.22B,848.00M,15.07B,16.93B,32.00B,8.406B,,,8.406B,,8.406B,7.397B,7.397B,,51.37B,14.51B,,14.51B,,,,,372.00M,17.45B,31.96B,83.33B,,21.00M,35.15B,9.842B,,,-3.592B,41.42B,,AOR,Restated
2011-01,,9.934B,,9.934B,16.55B,,2.982B,19.53B,2.22B,4.527B,6.747B,,,15.19B,51.40B,0.00,521.00M,8.307B,14.87B,,23.70B,-12.12B,11.58B,38.51B,7.431B,45.94B,,,11.02B,,,68.53B,119.93B,,13.45B,789.00M,14.24B,16.08B,30.33B,3.381B,,,3.381B,,3.381B,6.927B,6.927B,,43.61B,17.02B,,17.02B,,,,,341.00M,17.75B,34.78B,78.39B,,22.00M,34.00B,10.88B,,,-3.698B,41.21B,,AOR,Restated
2010-10,,10.93B,,10.93B,18.48B,,2.986B,21.47B,2.035B,4.431B,6.466B,,,15.32B,54.18B,0.00,530.00M,8.523B,13.87B,,22.93B,-11.16B,11.76B,38.48B,7.848B,46.33B,,,3.584B,2.07B,6.571B,70.32B,124.50B,,14.36B,4.018B,18.38B,12.99B,31.37B,7.046B,,,7.046B,,7.046B,6.727B,6.727B,,49.40B,15.26B,,15.26B,5.239B,3.303B,8.542B,6.754B,332.00M,3.765B,34.32B,83.72B,,22.00M,32.70B,11.57B,,,-3.837B,40.45B,,AOR,Restated
2010-07,,14.72B,5.00M,14.72B,15.62B,,2.799B,18.42B,2.319B,4.887B,7.206B,,,14.02B,54.36B,0.00,529.00M,8.252B,13.65B,,22.43B,-10.96B,11.48B,35.41B,7.085B,42.49B,,,11.68B,,,65.65B,120.02B,,14.88B,947.00M,15.83B,15.33B,31.16B,7.842B,,,7.842B,,7.842B,6.583B,6.583B,,49.29B,12.20B,,12.20B,,,,,300.00M,15.69B,27.89B,77.18B,,23.00M,31.78B,13.67B,,,-2.94B,42.54B,,AOR,Restated
2010-04,,14.13B,39.00M,14.17B,14.75B,2.795B,,17.55B,2.125B,4.311B,6.436B,,,13.54B,51.70B,0.00,527.00M,8.019B,13.22B,,21.77B,-10.53B,11.24B,34.31B,7.019B,41.33B,,11.73B,,,,64.30B,115.99B,,13.35B,1.043B,14.39B,17.42B,31.81B,3.934B,,,3.934B,,3.934B,6.526B,6.526B,,42.27B,13.73B,,13.73B,,,,,301.00M,16.18B,29.91B,72.18B,,23.00M,31.63B,14.61B,,,-2.756B,43.51B,,AOR,Restated
2010-01,,13.55B,60.00M,13.61B,14.50B,2.765B,,17.27B,2.303B,4.327B,6.63B,,,14.19B,51.70B,0.00,521.00M,7.776B,12.95B,,21.25B,-10.09B,11.16B,33.07B,6.266B,39.33B,,,11.42B,,,61.92B,113.62B,,13.56B,983.00M,14.54B,15.02B,29.56B,1.862B,,,1.862B,,1.862B,6.412B,6.412B,,40.87B,14.01B,,14.01B,,,,,263.00M,16.84B,30.85B,71.73B,,23.00M,30.39B,14.16B,,,-2.944B,41.63B,,AOR,Restated
